datadate	Fiscal Year	tic	Company Name	Nation	Total Assets	Return on Assets	Net Income	Cost of Goods Sold	Total Revenue	Expense: R&D	Expense: Admin, Selling	# Employees	Description	Log Total Assets	Log R&D
20101231	2010	QMCI	QUOTEMEDIA INC	USA	$2.63 	-0.739642721	($1.95)	$3.11 	$7.81 	$1.22 	$5.54 	50	Quotemedia, Inc. develops financial software and distributes market data and research information to online brokerages, clearing firms, banks, media properties, public companies, and financial service corporations worldwide.	0.967364002	0.202124184
20101231	2010	INCY	INCYTE CORP	USA	$489.58 	-0.065047459	($31.85)	$155.11 	$169.88 	$123.88 		247	Incyte Corporation focuses on the discovery and development of proprietary small molecule drugs for hematologic and oncology indications, and inflammatory and autoimmune diseases.	6.193549923	4.819313355
20101231	2010	SIRI	SIRIUS XM RADIO INC	USA	$7,383.09 	0.005831572	$43.06 	$1,099.64 	$2,816.99 	$45.39 	$914.86 	1479	Sirius XM Radio Inc. provides satellite radio services in the United States and Canada.	8.906946987	3.815291817
20100630	2010	AZPN	ASPEN TECHNOLOGY INC	USA	$394.71 	-0.272210442	($107.45)	$61.81 	$166.34 	$48.23 	$208.48 	1289	Aspen Technology, Inc., together with its subsidiaries, provides integrated process optimization software solutions for manufacturers in process industries, and engineering and construction firms.	5.978158919	3.875939765
20101231	2010	3CMXX	CIMETRIX INC	USA	$2.45 	0.777460188	$1.90 	$1.52 	$6.81 	$0.85 	$3.26 	25	Cimetrix Incorporated, a software company, engages in the design, development, marketing, and support of factory automation solutions for the semiconductor and electronics industries worldwide.	0.895679778	-0.167235919
20100731	2010	ESIC	EASYLINK SERVICES INTL CORP	USA	$104.49 	0.163591295	$17.09 	$14.46 	$81.44 	$7.28 	$47.16 	282	EasyLink Services International Corporation provides value added services that facilitate the electronic exchange of documents and information between enterprises, their trading communities, and their customers.	4.649053091	1.984443813
20101231	2010	3FIND	FINDEX.COM INC	USA	$0.67 	-0.73880597	($0.50)	$0.51 	$1.78 	$0.16 	$1.43 	10	FindEx.com Inc. engages in the development, publishing, marketing, distribution, and direct sale of consumer and business software products worldwide.	-0.400477567	-1.814005078
20101231	2010	ACIW	ACI WORLDWIDE INC	USA	$601.53 	0.04520979	$27.20 	$123.70 	$418.42 	$74.08 	$214.73 	2134	ACI Worldwide, Inc. develops, markets, installs, and supports software products and services to facilitate electronic payments worldwide.	6.399474747	4.305091593
20101231	2010	NATI	NATIONAL INSTRUMENTS CORP	USA	$959.68 	0.113700163	$109.12 	$161.18 	$873.22 	$158.15 	$545.86 	5280	National Instruments Corporation manufactures and supplies measurement and automation products. It provides application software and modular hardware that combines with industry-standard computers, networks, and third party devices to create measurement, automation, and embedded systems.	6.86660198	5.063537627
20101231	2010	SXCI	SXC HEALTH SOLUTIONS CORP	USA	$816.31 	0.079302078	$64.74 	$1,831.17 	$1,948.39 	$12.43 		1216	SXC Health Solutions Corp. provides pharmacy benefit management (PBM) services and healthcare information technology solutions to the healthcare benefits management industry in North America.	6.70479296	2.519951992
20101231	2010	3DVNTF	DIVERSINET CORP	CAN	$12.77 	0.146224937	$1.87 	$0.02 	$4.93 	$3.11 	$6.78 	36	Diversinet Corp. provides applications that securely connect people with their healthcare information through providers and payers.	2.546942041	1.135265606
20101231	2010	MMUS	MAKEMUSIC INC	USA	$22.62 	0.044737191	$1.01 	$1.76 	$17.15 	$5.52 	$13.84 	100	MakeMusic, Inc. develops and markets proprietary music technology solutions.	3.118878678	1.709102236
20101231	2010	ATEA	ASTEA INTERNATIONAL INC	USA	$14.30 	-0.10979021	($1.57)	$10.91 	$21.39 	$3.04 	$9.91 	179	Astea International Inc. develops, markets, and supports service management software solutions worldwide. It licenses its solutions to various companies that sell and service equipment, and/or sell and deliver professional services.	2.660259537	1.112186409
20101231	2010	GVP	GSE SYSTEMS INC	USA	$53.61 	-0.041947999	($2.25)	$33.90 	$47.21 	$1.60 	$10.97 	248	GSE Systems, Inc. provides simulation and educational solutions and services to nuclear and fossil electric utility, and chemical and petrochemical industries in the United States, Europe, and Asia.	3.981810228	0.470003629
20101231	2010	SMSI	SMITH MICRO SOFTWARE INC	USA	$234.89 	0.052560326	$12.35 	$3.73 	$130.50 	$42.76 	$96.61 	549	Smith Micro Software, Inc. designs, develops, and markets software products and services primarily for the mobile computing and communications industries worldwide. The company operates in two segments, Wireless, and Productivity and Graphics segments.	5.459125834	3.7555797
20100630	2010	EGAM	EGAMES INC	USA	$1.66 	-0.206979543	($0.34)	$1.46 	$3.60 	$0.93 	$2.67 	13	eGames, Inc. develops, publishes, markets, and sells software games primarily for the personal computer (PC) in North America and internationally. The company publishes third-party PC game titles and develops its own proprietary PC game titles for distribution at retail and on the Internet.	0.508021696	-0.071496002
20101231	2010	KKPNY	KONINKLIJKE KPN NV	NLD	$30,169.73 	0.078858259	$2,379.13 	$10,555.49 	$17,777.81 	$108.81 			Koninklijke KPN N.V., through its subsidiaries, provides telecommunications, and information, communication, and technology (ICT) services primarily in the Netherlands, Belgium, and Germany. It offers fixed and mobile telephony, Internet, and TV services to consumers.	10.31459422	4.68956648
20101231	2010	TLK	TELEKOMUNIKASI INDONESIA	IDN	$11,243.00 	0.115627502	$1,300.00 	$3,003.00 	$7,735.00 	$1.00 	$550.00 	26847	Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk provides telecommunication and network services worldwide.	9.327500992	0
20101231	2010	ADVS	ADVENT SOFTWARE INC	USA	$490.83 	0.049208885	$24.15 	$70.47 	$283.50 	$51.42 	$158.27 	1051	Advent Software, Inc. provides software and services that automate work flows and data across investment management organizations, as well as the information flows between an investment management organization and external parties.	6.196089686	3.939949408
20101231	2010	ACCL	ACCELRYS INC	USA	$363.28 	-0.056727281	($20.61)	$21.00 	$80.21 	$22.08 	$68.63 	580	Accelrys, Inc. engages in the design, development, marketing, and support of software based solutions that facilitate the discovery and development of products and processes in the pharmaceutical, biotechnology, energy, chemicals, aerospace, and consumer packaged goods industries worldwide.	5.895179392	3.094672221
20101231	2010	CTXS	CITRIX SYSTEMS INC	USA	$3,703.60 	0.074809645	$277.07 	$99.54 	$1,874.66 	$326.65 	$1,313.28 	5637	Citrix Systems, Inc. designs, develops, and markets technology solutions that deliver information technology services on-demand worldwide.	8.217060599	5.788880077
20100930	2010	NUAN	NUANCE COMMUNICATIONS INC	USA	$3,769.70 	-0.005066452	($19.10)	$340.03 	$1,118.95 	$152.07 	$540.34 	6100	Nuance Communications, Inc. provides voice and language solutions for businesses and consumers worldwide.	8.234750436	5.024347517
20100630	2010	ADEP	ADEPT TECHNOLOGY INC	USA	$34.99 	-0.040809328	($1.43)	$27.92 	$51.63 	$5.65 	$23.12 	163	Adept Technology, Inc., together with its subsidiaries, provides intelligent robotics systems and services for packaging, solar, medical, disk drive/electronics, machine tool automation, and automotive electronics sectors.	3.555119464	1.7313015
20100630	2010	OTEX	OPEN TEXT CORP	CAN	$1,714.02 	0.051080965	$87.55 	$236.06 	$912.02 	$129.38 	$410.88 	3861	Open Text Corporation develops, markets, sells, licenses, and supports enterprise content management (ECM) solutions primarily in North America and Europe.	7.446599101	4.862738352
20101231	2010	CSGS	CSG SYSTEMS INTL INC	USA	$879.70 	0.02549625	$22.43 	$252.85 	$549.38 	$78.05 	$148.39 	3512	CSG Systems International, Inc. provides outsourced customer care and billing solutions primarily to the cable and direct broadcast satellite industry in North America. It offers Advanced Convergent Platform, a customer care and billing solution, and related services and software products.	6.779578667	4.357349647
20101231	2010	PGI	PREMIERE GLOBAL SERVICES INC	USA	$541.66 	0.008918928	$4.83 	$179.14 	$441.75 	$14.14 	$194.75 	1700	Premiere Global Services, Inc. (PGi) provides virtual meetings solutions. People around the world come together using its video, Web, and audio conferencing solutions. The company primarily offers three solutions, including iMeet, GlobalMeet, and ReadyConference.	6.29463296	2.648724735
20100731	2010	IDT	IDT CORP	USA	$517.80 	0.039185392	$20.29 	$1,110.72 	$1,401.45 	$8.01 	$230.38 	1200	IDT Corporation operates as a telecommunications and energy company. It operates in three segments: Telecom Platform Services, Consumer Phone Services, and Genie Energy.	6.249579411	2.080441042
20101231	2010	JDAS	JDA SOFTWARE GROUP INC	USA	$1,113.53 	0.015911589	$17.72 	$233.70 	$617.21 	$72.16 	$234.15 	3000	JDA Software Group, Inc. provides enterprise software solutions to enable planning, optimization, and execution of merchandising and supply chain processes primarily in the Americas, Europe, and the Asia Pacific.	7.015288632	4.278858159
20101231	2010	CIMT	CIMATRON LTD	ISR	$34.90 	0.045586086	$1.59 	$5.24 	$36.07 	$6.01 	$27.38 	280	Cimatron Ltd. designs, develops, manufactures, markets, and supports computer-aided design/computer aided manufacturing (CAD/CAM) software products.	3.552515482	1.794090085
20101231	2010	YHOO	YAHOO INC	USA	$14,928.10 	0.082506325	$1,231.66 	$1,976.66 	$6,324.65 	$1,082.18 	$2,835.00 	13600	Yahoo! Inc., together with its consolidated subsidiaries, operates as a digital media company that delivers personalized digital content and experiences, across devices and worldwide.	9.61100089	6.986729108
20101231	2010	SSNC	SS&C TECHNOLOGIES HLDGS INC	USA	$1,275.73 	0.025407494	$32.41 	$125.20 	$328.91 	$31.44 	$83.13 	1399	SS&C Technologies Holdings, Inc. provides software products and software-enabled services to the financial service providers.	7.151270707	3.448144579
20101231	2010	DATA	DATATRAK INTERNATIONAL INC	USA	$2.69 	0.037588389	$0.10 	$1.17 	$7.39 	$0.92 	$6.10 	42	DATATRAK International, Inc., a technology and services company, provides electronic clinical solutions for the clinical trials industry primarily in the United States.	0.98842533	-0.085557888
20110430	2010	DAEG	DAEGIS INC	USA	$62.73 	-0.265645424	($16.67)	$8.05 	$46.99 	$7.74 	$30.87 		Daegis Inc. provides application development, data management, migration, and archiving software solutions worldwide.	4.138903565	2.045884758
20101231	2010	ANSS	ANSYS INC	USA	$2,126.88 	0.071998556	$153.13 	$56.88 	$580.24 	$88.99 	$243.59 	1660	ANSYS, Inc. engages in the development and marketing of engineering simulation software and services used by engineers and designers in aerospace, automotive, manufacturing, electronics, biomedical, energy, and defense industries.	7.662409515	4.488524004
20101231	2010	DASTY	DASSAULT SYSTEMS SA	FRA	$4,075.97 	0.071781914	$292.58 	$255.96 	$2,075.01 	$427.39 	$1,231.50 		Dassault Systemes S.A. provides 3D and product lifecycle management solutions in France and internationally.	8.31286428	6.057706304
20101231	2010	CHKP	CHECK POINT SOFTWARE TECHN	ISR	$3,605.30 	0.125600019	$452.83 	$105.21 	$1,097.87 	$105.75 	$398.29 	2239	Check Point Software Technologies Ltd. develops, markets, and supports a range of software, and combined hardware and software products and services for information technology (IT) security applications worldwide.	8.190160819	4.661058905
20101031	2010	VSNT	VERSANT CORP	USA	$39.13 	0.042270439	$1.65 	$1.50 	$15.77 	$3.78 	$11.64 	61	Versant Corporation engages in the design, development, and marketing of object-oriented database management system products to solve complex data management and data integration problems of enterprises.	3.66686388	1.329194769
20101231	2010	PEGA	PEGASYSTEMS INC	USA	$337.48 	-0.017455798	($5.89)	$116.73 	$336.60 	$55.19 	$196.46 	1509	Pegasystems Inc. develops, markets, licenses, and supports software to automate various business processes worldwide. The company offers PegaRULES Process Commander (PRPC) that provides capabilities designed to model, execute, monitor, and analyze results.	5.821509212	4.010836134
20101231	2010	MGT	MGT CAPITAL INVESTMENTS INC	GBR	$11.48 	-0.840972464	($9.65)	$11.74 	$0.54 	$1.58 		30	MGT Capital Investments, Inc., through its subsidiaries, engages in the medical imaging business in United Kingdom, other parts of Europe, the United States, Japan, and China.	2.440257898	0.454889991
20101231	2010	BITS	BITSTREAM INC  -CL A	USA	$21.82 	-0.148338299	($3.24)	$10.64 	$23.14 	$7.18 	$14.65 	148	Bitstream Inc. operates as a software development company worldwide. It provides mobile browsing technology products, including BOLT Browser, a WebKit based browser for mobile phones; BOLT Lite, a lower version of BOLT Browser; and BOLT Library SDK, a software developers kit.	3.082597807	1.971299383
20110131	2010	SEAC	SEACHANGE INTERNATIONAL INC	USA	$305.19 	0.096555927	$29.47 	$97.79 	$216.73 	$48.40 	$96.41 	1202	SeaChange International, Inc. develops, manufactures, and markets digital video systems, as well as provides related services to cable system operators, and telecommunications and broadcast television companies worldwide.	5.72093781	3.879561795
20101231	2010	3GOJO	GRAPHON CORP	USA	$3.35 	-0.249850568	($0.84)	$0.70 	$7.52 	$2.47 	$7.06 	33	GraphOn Corporation engages in the development, marketing, sale, and support of business connectivity software. The company provides Unix, Linux, and Windows server based software, focusing on Web enabling applications.	1.207765603	0.903002838
