Weight	Price	Clarity	Color
1.01	$3,588.00 	SI3	D
1.01	$3,302.00 	SI3	D
1.01	$2,722.00 	SI3	D
1	$3,270.00 	SI3	D
1.02	$3,047.00 	SI3	D
1.01	$3,318.00 	I1	D
1	$2,785.00 	I1	D
1.01	$2,810.00 	I1	D
1	$2,138.00 	I1	D
1	$2,138.00 	I1	D
1.03	$2,415.00 	I1	D
1.03	$3,633.00 	I1	D
1	$2,569.00 	I1	D
1.01	$2,810.00 	I1	D
1	$6,181.00 	VS1	E
1.01	$5,723.00 	VS1	E
1.01	$6,508.00 	VS1	E
1.03	$6,528.00 	VS1	E
1	$6,549.00 	VS1	E
1.04	$7,672.00 	VS1	E
1	$7,562.00 	VS1	E
1.01	$9,676.00 	VS1	E
1.01	$6,952.00 	VS2	E
1.01	$6,365.00 	VS2	E
1.03	$6,857.00 	VS2	E
1	$5,823.00 	VS2	E
1	$7,525.00 	VS2	E
1.04	$7,919.00 	VS2	E
1	$7,167.00 	VS2	E
1.02	$6,830.00 	VS2	E
1.02	$7,585.00 	VS2	E
1	$6,271.00 	VS2	E
1.03	$7,382.00 	VS2	E
1.03	$6,459.00 	VS2	E
1	$6,271.00 	VS2	E
1.02	$7,713.00 	VS2	E
1.02	$6,579.00 	VS2	E
1.01	$5,215.00 	SI1	E
1.02	$5,577.00 	SI1	E
1.01	$5,369.00 	SI1	E
1	$4,784.00 	SI1	E
1.02	$5,267.00 	SI1	E
1	$3,645.00 	SI1	E
1.01	$4,832.00 	SI1	E
1.01	$4,832.00 	SI1	E
1	$4,936.00 	SI1	E
1.01	$5,369.00 	SI1	E
1	$5,192.00 	SI1	E
1.01	$4,561.00 	SI1	E
1	$5,419.00 	SI1	E
1.01	$5,074.00 	SI1	E
1	$5,620.00 	SI1	E
1.01	$4,832.00 	SI1	E
1.01	$5,822.00 	SI1	E
1	$5,161.00 	SI1	E
1.01	$5,613.00 	SI1	E
1	$4,475.00 	SI2	E
1.01	$4,945.00 	SI2	E
1.02	$3,812.00 	SI2	E
1.01	$4,815.00 	SI2	E
1	$4,188.00 	SI2	E
1.01	$4,230.00 	SI2	E
1	$4,188.00 	SI2	E
1.01	$3,775.00 	SI2	E
1.01	$2,781.00 	SI2	E
1	$2,756.00 	SI2	E
1	$4,381.00 	SI2	E
1	$3,737.00 	SI2	E
1.03	$4,512.00 	SI2	E
1	$3,930.00 	SI2	E
1	$3,866.00 	SI2	E
1	$3,737.00 	SI2	E
1	$3,222.00 	SI2	E
1.01	$4,099.00 	SI2	E
1.04	$5,361.00 	SI2	E
1	$3,092.00 	SI2	E
1.01	$3,449.00 	SI2	E
1.02	$5,127.00 	SI2	E
1.02	$4,929.00 	SI2	E
1.01	$5,055.00 	SI2	E
1.01	$4,881.00 	SI2	E
1.01	$4,230.00 	SI2	E
1	$4,381.00 	SI2	E
1	$4,639.00 	SI2	E
1.04	$5,026.00 	SI2	E
1.01	$2,812.00 	SI3	E
1.01	$2,812.00 	SI3	E
1	$2,693.00 	SI3	E
1.02	$3,401.00 	SI3	E
1.01	$2,812.00 	SI3	E
1.03	$3,161.00 	SI3	E
1	$2,964.00 	SI3	E
1.01	$3,742.00 	SI3	E
1.01	$3,742.00 	SI3	E
1.01	$2,243.00 	I2	E
1.01	$4,009.00 	I1	E
1.01	$2,928.00 	I1	E
1.01	$2,274.00 	I1	E
1.01	$2,482.00 	I1	E
1.04	$2,847.00 	I1	E
1	$2,543.00 	I1	E
1.01	$2,274.00 	I1	E
1	$2,460.00 	I1	E
1.02	$11,640.00 	IF	F
1.01	$10,232.00 	IF	F
1.01	$10,574.00 	VVS1	F
1.04	$11,016.00 	VVS1	F
1	$10,658.00 	VVS1	F
1.01	$10,115.00 	VVS2	F
1.01	$10,115.00 	VVS2	F
1.04	$10,122.00 	VVS2	F
1.01	$9,649.00 	VVS2	F
1.01	$9,650.00 	VVS2	F
1.02	$9,852.00 	VVS2	F
1	$6,898.00 	VS1	F
1.02	$8,042.00 	VS1	F
1.02	$6,696.00 	VS1	F
1	$7,798.00 	VS1	F
1.01	$6,861.00 	VS1	F
1	$6,070.00 	VS1	F
1.01	$6,330.00 	VS1	F
1.01	$7,636.00 	VS1	F
1.01	$8,611.00 	VS1	F
1	$6,701.00 	VS1	F
1.01	$6,967.00 	VS1	F
1.01	$6,444.00 	VS2	F
1.01	$6,270.00 	VS2	F
1	$5,822.00 	VS2	F
1.02	$6,582.00 	VS2	F
1.01	$7,142.00 	VS2	F
1.01	$6,617.00 	VS2	F
1.02	$5,664.00 	VS2	F
1.01	$7,369.00 	VS2	F
1.04	$6,205.00 	VS2	F
1.01	$5,609.00 	VS2	F
1.04	$7,795.00 	VS2	F
1.01	$5,747.00 	VS2	F
1.02	$6,596.00 	VS2	F
1.01	$7,490.00 	VS2	F
1.01	$7,403.00 	VS2	F
1.01	$6,531.00 	VS2	F
1.01	$6,531.00 	VS2	F
1.01	$5,853.00 	VS2	F
1	$6,116.00 	VS2	F
1.03	$5,581.00 	SI1	F
1	$3,841.00 	SI1	F
1.01	$5,700.00 	SI1	F
1.02	$5,028.00 	SI1	F
1	$4,784.00 	SI1	F
1	$5,146.00 	SI1	F
1.01	$5,125.00 	SI1	F
1.03	$4,180.00 	SI1	F
1	$5,293.00 	SI1	F
1	$4,844.00 	SI1	F
1.01	$5,078.00 	SI1	F
1.02	$5,668.00 	SI1	F
1	$5,509.00 	SI1	F
1	$4,957.00 	SI1	F
1	$5,364.00 	SI1	F
1	$5,364.00 	SI1	F
1	$5,437.00 	SI1	F
1.03	$5,550.00 	SI1	F
1.02	$4,806.00 	SI1	F
1.01	$5,713.00 	SI1	F
1.03	$5,525.00 	SI1	F
1	$5,437.00 	SI1	F
1	$4,929.00 	SI1	F
1.03	$5,226.00 	SI1	F
1.02	$5,175.00 	SI1	F
1.01	$5,125.00 	SI1	F
1.01	$5,125.00 	SI1	F
1.01	$5,272.00 	SI1	F
1.01	$4,434.00 	SI2	F
1.04	$4,439.00 	SI2	F
1.01	$4,619.00 	SI2	F
1.01	$3,695.00 	SI2	F
1	$4,146.00 	SI2	F
1.04	$4,122.00 	SI2	F
1.01	$4,003.00 	SI2	F
1.02	$4,043.00 	SI2	F
1.01	$3,695.00 	SI2	F
1.02	$4,105.00 	SI2	F
1.02	$3,731.00 	SI2	F
1.01	$4,311.00 	SI2	F
1.01	$3,942.00 	SI2	F
1	$4,076.00 	SI2	F
1.04	$4,774.00 	SI2	F
1.01	$4,603.00 	SI2	F
1.04	$6,173.00 	SI2	F
1.03	$4,911.00 	SI2	F
1	$3,970.00 	SI2	F
1.03	$3,952.00 	SI2	F
1.01	$4,117.00 	SI2	F
1	$4,329.00 	SI2	F
1.04	$3,805.00 	SI2	F
1.01	$3,880.00 	SI2	F
1.01	$3,387.00 	SI2	F
1.01	$4,927.00 	SI2	F
1.04	$3,678.00 	SI2	F
1.01	$4,681.00 	SI2	F
1.03	$4,396.00 	SI2	F
1.04	$3,678.00 	SI2	F
1.01	$2,702.00 	SI3	F
1.02	$3,253.00 	SI3	F
1	$3,443.00 	SI3	F
1.03	$3,545.00 	SI3	F
1.03	$2,843.00 	SI3	F
1	$2,452.00 	SI3	F
1.02	$3,511.00 	SI3	F
1.03	$3,181.00 	SI3	F
1.02	$3,253.00 	SI3	F
1.01	$2,610.00 	SI3	F
1.04	$3,685.00 	SI3	F
1.03	$2,133.00 	I2	F
1.03	$2,413.00 	I1	F
1	$2,156.00 	I1	F
1.03	$2,972.00 	I1	F
1	$6,652.00 	IF	G
1.02	$9,029.00 	VVS1	G
1.02	$7,607.00 	VVS1	G
1.03	$7,508.00 	VVS1	G
1.02	$8,069.00 	VVS1	G
1.01	$7,125.00 	VVS2	G
1.01	$6,952.00 	VVS2	G
1.04	$8,840.00 	VVS2	G
1.01	$7,737.00 	VVS2	G
1.01	$8,195.00 	VVS2	G
1.03	$7,693.00 	VS1	G
1.01	$7,591.00 	VS1	G
1.01	$7,408.00 	VS1	G
1	$6,714.00 	VS1	G
1.03	$7,382.00 	VS1	G
1.01	$6,696.00 	VS1	G
1.01	$6,696.00 	VS1	G
1.01	$7,691.00 	VS1	G
1	$4,878.00 	VS1	G
1.03	$7,382.00 	VS1	G
1.01	$6,334.00 	VS1	G
1.01	$6,786.00 	VS1	G
1.03	$6,228.00 	VS2	G
1	$6,208.00 	VS2	G
1	$5,633.00 	VS2	G
1.01	$6,701.00 	VS2	G
1.01	$5,700.00 	VS2	G
1.01	$5,945.00 	VS2	G
1.04	$6,456.00 	VS2	G
1	$4,971.00 	VS2	G
1.01	$6,677.00 	VS2	G
1.03	$6,976.00 	VS2	G
1.01	$6,515.00 	VS2	G
1.01	$6,515.00 	VS2	G
1.01	$6,758.00 	VS2	G
1.01	$6,922.00 	VS2	G
1.02	$6,662.00 	VS2	G
1.02	$6,744.00 	VS2	G
1.02	$6,744.00 	VS2	G
1.02	$6,744.00 	VS2	G
1.02	$4,901.00 	VS2	G
1.03	$5,896.00 	VS2	G
1.01	$5,700.00 	VS2	G
1	$5,385.00 	VS2	G
1.01	$5,439.00 	VS2	G
1	$5,966.00 	VS2	G
1	$5,966.00 	VS2	G
1.01	$6,107.00 	VS2	G
1.01	$6,266.00 	VS2	G
1.01	$5,773.00 	VS2	G
1.01	$6,321.00 	VS2	G
1	$5,028.00 	SI1	G
1.03	$5,226.00 	SI1	G
1	$3,837.00 	SI1	G
1.01	$5,015.00 	SI1	G
1.04	$5,365.00 	SI1	G
1	$3,801.00 	SI1	G
1.01	$5,078.00 	SI1	G
1.01	$5,125.00 	SI1	G
1.02	$4,916.00 	SI1	G
1.01	$4,525.00 	SI1	G
1.01	$4,457.00 	SI1	G
1.01	$4,869.00 	SI1	G
1.02	$5,334.00 	SI1	G
1.01	$4,816.00 	SI1	G
1.02	$5,194.00 	SI1	G
1.03	$5,314.00 	SI1	G
1.02	$5,263.00 	SI1	G
1.03	$4,615.00 	SI1	G
1	$4,413.00 	SI1	G
1	$4,073.00 	SI1	G
1.04	$3,967.00 	SI2	G
1.01	$3,164.00 	SI2	G
1.02	$4,609.00 	SI2	G
1.02	$4,489.00 	SI2	G
1.01	$4,208.00 	SI2	G
1	$3,990.00 	SI2	G
1	$3,579.00 	SI2	G
1.01	$4,208.00 	SI2	G
1.01	$4,800.00 	SI2	G
1.02	$3,950.00 	SI2	G
1.04	$4,816.00 	SI2	G
1	$3,579.00 	SI2	G
1	$3,696.00 	SI2	G
1	$3,403.00 	SI2	G
1	$3,579.00 	SI2	G
1.01	$3,733.00 	SI2	G
1.01	$3,852.00 	SI2	G
1.02	$3,891.00 	SI2	G
1.04	$4,299.00 	SI2	G
1	$4,342.00 	SI2	G
1.01	$3,969.00 	SI2	G
1.04	$3,722.00 	SI2	G
1.01	$3,615.00 	SI2	G
1.04	$4,562.00 	SI2	G
1.01	$4,543.00 	SI2	G
1.01	$4,430.00 	SI2	G
1.01	$2,977.00 	SI3	G
1	$3,141.00 	SI3	G
1	$2,785.00 	SI3	G
1	$2,354.00 	SI3	G
1	$2,785.00 	SI3	G
1	$2,354.00 	SI3	G
1	$2,785.00 	SI3	G
1.01	$3,172.00 	SI3	G
1.01	$2,394.00 	I1	G
1.01	$3,440.00 	I1	G
1	$3,193.00 	I1	G
1.02	$2,530.00 	I1	G
1.02	$2,337.00 	I1	G
1.01	$3,009.00 	I1	G
1.01	$3,428.00 	I1	G
1.02	$6,992.00 	VVS2	H
1	$3,562.00 	VVS2	H
1.01	$3,326.00 	VS1	H
1	$4,936.00 	VS1	H
1	$5,620.00 	VS1	H
1	$5,620.00 	VS1	H
1.01	$6,582.00 	VS1	H
1	$6,368.00 	VS1	H
1	$6,443.00 	VS1	H
1.04	$6,001.00 	VS1	H
1	$5,468.00 	VS1	H
1.01	$5,215.00 	VS1	H
1	$5,136.00 	VS2	H
1.01	$5,326.00 	VS2	H
1.01	$5,043.00 	VS2	H
1	$4,637.00 	VS2	H
1.02	$4,584.00 	VS2	H
1.03	$5,217.00 	VS2	H
1	$5,351.00 	VS2	H
1.03	$5,511.00 	VS2	H
1.04	$5,712.00 	VS2	H
1.04	$5,643.00 	VS2	H
1.03	$5,217.00 	VS2	H
1.01	$5,479.00 	VS2	H
1.02	$5,949.00 	VS2	H
1	$5,623.00 	VS2	H
1.04	$5,643.00 	SI1	H
1	$3,803.00 	SI1	H
1.03	$5,472.00 	SI1	H
1	$4,656.00 	SI1	H
1.01	$4,702.00 	SI1	H
1.01	$5,564.00 	SI1	H
1.01	$5,142.00 	SI1	H
1.01	$4,811.00 	SI1	H
1.01	$5,142.00 	SI1	H
1.01	$4,811.00 	SI1	H
1	$5,092.00 	SI1	H
1.02	$4,750.00 	SI1	H
1.04	$4,792.00 	SI1	H
1	$3,673.00 	SI1	H
1	$4,934.00 	SI1	H
1	$4,263.00 	SI1	H
1.02	$4,950.00 	SI1	H
1.03	$5,066.00 	SI1	H
1	$4,919.00 	SI1	H
1.01	$4,637.00 	SI1	H
1.01	$4,637.00 	SI1	H
1.03	$4,526.00 	SI1	H
1	$4,722.00 	SI1	H
1.03	$3,852.00 	SI2	H
1.01	$4,176.00 	SI2	H
1	$4,315.00 	SI2	H
1	$2,954.00 	SI2	H
1.02	$3,012.00 	SI2	H
1.02	$4,401.00 	SI2	H
1.01	$4,358.00 	SI2	H
1.01	$3,858.00 	SI2	H
1.03	$4,444.00 	SI2	H
1.02	$4,107.00 	SI2	H
1.03	$4,148.00 	SI2	H
1.03	$3,852.00 	SI2	H
1.02	$3,814.00 	SI2	H
1.04	$4,488.00 	SI2	H
1.04	$4,188.00 	SI2	H
1.04	$4,188.00 	SI2	H
1.01	$4,358.00 	SI2	H
1	$3,740.00 	SI2	H
1.01	$4,183.00 	SI2	H
1	$4,200.00 	SI2	H
1.01	$4,125.00 	SI2	H
1.03	$3,614.00 	SI2	H
1.03	$3,436.00 	SI2	H
1.01	$4,410.00 	SI2	H
1.01	$4,142.00 	SI2	H
1.02	$4,319.00 	SI2	H
1.01	$4,410.00 	SI2	H
1.02	$4,386.00 	SI2	H
1	$4,300.00 	SI2	H
1.04	$4,471.00 	SI2	H
1.01	$4,881.00 	SI2	H
1	$3,222.00 	SI2	H
1.04	$3,649.00 	SI2	H
1	$3,049.00 	SI2	H
1	$3,509.00 	SI2	H
1.02	$4,518.00 	SI2	H
1.03	$4,563.00 	SI2	H
1.03	$3,732.00 	SI2	H
1.03	$4,207.00 	SI2	H
1	$3,337.00 	SI2	H
1.02	$3,696.00 	SI2	H
1	$4,200.00 	SI2	H
1.01	$4,648.00 	SI2	H
1.04	$4,541.00 	SI2	H
1.01	$3,079.00 	SI2	H
1.01	$4,648.00 	SI2	H
1.03	$3,852.00 	SI2	H
1.01	$3,777.00 	SI2	H
1.02	$3,403.00 	SI2	H
1.02	$3,990.00 	SI2	H
1.01	$2,536.00 	SI3	H
1.01	$2,324.00 	SI3	H
1	$2,304.00 	SI3	H
1	$2,304.00 	SI3	H
1.02	$3,031.00 	SI3	H
1.01	$2,906.00 	SI3	H
1.02	$2,042.00 	I1	H
1.01	$3,608.00 	I1	H
1.01	$2,134.00 	I1	H
1	$2,188.00 	I1	H
1.01	$1,726.00 	I2	H
1.03	$2,542.00 	I1	H
1.01	$1,726.00 	I2	H
1.03	$2,245.00 	I1	H
1.02	$2,739.00 	I1	H
1	$4,137.00 	VVS2	I
1.02	$5,463.00 	VVS2	I
1	$3,935.00 	VS1	I
1.04	$4,433.00 	VS1	I
1.02	$4,941.00 	VS1	I
1.01	$5,437.00 	VS1	I
1.04	$5,328.00 	VS1	I
1.03	$5,078.00 	VS1	I
1.03	$5,724.00 	VS1	I
1.03	$4,526.00 	VS1	I
1.01	$3,695.00 	VS2	I
1	$4,557.00 	VS2	I
1.04	$4,471.00 	SI1	I
1.02	$3,696.00 	SI1	I
1.02	$4,494.00 	SI1	I
1.02	$4,454.00 	SI1	I
1.01	$4,343.00 	SI1	I
1.01	$4,410.00 	SI1	I
1.01	$4,410.00 	SI1	I
1.02	$4,386.00 	SI1	I
1.04	$4,816.00 	SI1	I
1.02	$4,454.00 	SI1	I
1.02	$4,724.00 	SI1	I
1.03	$3,886.00 	SI1	I
1.04	$4,488.00 	SI1	I
1.02	$4,425.00 	SI1	I
1.04	$4,471.00 	SI1	I
1.01	$4,823.00 	SI1	I
1.01	$4,125.00 	SI1	I
1.02	$4,753.00 	SI1	I
1.01	$3,079.00 	SI1	I
1.02	$4,107.00 	SI1	I
1.01	$4,183.00 	SI1	I
1	$4,027.00 	SI1	I
1.02	$3,961.00 	SI2	I
1.01	$3,556.00 	SI2	I
1.02	$3,221.00 	SI2	I
1	$3,262.00 	SI2	I
1.01	$4,276.00 	SI2	I
1.02	$4,172.00 	SI2	I
1.01	$3,921.00 	SI2	I
1	$3,935.00 	SI2	I
1.04	$3,284.00 	SI2	I
1.04	$4,128.00 	SI2	I
1.01	$2,905.00 	SI3	I
1.01	$2,845.00 	SI3	I
1	$2,547.00 	SI3	I
1.01	$2,766.00 	SI3	I
1	$2,547.00 	SI3	I
1	$2,156.00 	SI3	I
1	$1,860.00 	I1	I
1.02	$2,059.00 	I1	I
1	$2,189.00 	I1	I
1	$2,025.00 	I1	I
1.01	$2,041.00 	I1	I
1	$2,354.00 	I1	I
1.01	$2,041.00 	I1	I
1.01	$2,041.00 	I1	I
1.01	$3,050.00 	I1	I
1	$2,123.00 	I1	I
1.01	$2,440.00 	I1	I
1.02	$4,453.00 	VS1	J
1	$4,107.00 	VS1	J
1	$3,814.00 	VS1	J
1.02	$4,069.00 	VS1	J
1	$3,696.00 	VS1	J
1	$2,974.00 	VS2	J
1.03	$4,177.00 	VS2	J
1.01	$3,167.00 	VS2	J
1.01	$4,096.00 	VS2	J
1.04	$3,859.00 	VS2	J
1.01	$3,965.00 	VS2	J
1	$3,136.00 	VS2	J
1.02	$3,845.00 	VS2	J
1.04	$4,245.00 	VS2	J
1	$3,677.00 	VS2	J
1	$3,883.00 	SI1	J
1	$3,883.00 	SI1	J
1.02	$3,961.00 	SI1	J
1.02	$3,961.00 	SI1	J
1	$3,780.00 	SI1	J
1.03	$3,088.00 	SI1	J
1	$3,262.00 	SI1	J
1.04	$4,266.00 	SI1	J
1.04	$4,128.00 	SI1	J
1.02	$3,473.00 	SI1	J
1.01	$3,294.00 	SI1	J
1.02	$3,821.00 	SI1	J
1.04	$3,500.00 	SI1	J
1.01	$3,817.00 	SI1	J
1.03	$3,359.00 	SI1	J
1.01	$3,556.00 	SI1	J
1	$3,003.00 	SI1	J
1	$2,733.00 	SI1	J
1.04	$3,440.00 	SI1	J
1.01	$2,663.00 	SI1	J
1.01	$4,183.00 	SI1	J
1	$3,003.00 	SI1	J
1.02	$3,105.00 	SI2	J
1	$3,044.00 	SI2	J
1	$3,044.00 	SI2	J
1	$3,625.00 	SI2	J
1.01	$2,810.00 	SI2	J
1.03	$3,235.00 	SI2	J
1.04	$3,518.00 	SI2	J
1.01	$3,660.00 	SI2	J
1.01	$3,660.00 	SI2	J
1.02	$3,696.00 	SI2	J
1.01	$3,172.00 	SI2	J
1.01	$2,731.00 	SI2	J
1.03	$3,732.00 	SI2	J
1.01	$2,575.00 	SI3	J
1.02	$2,912.00 	SI3	J
1.01	$2,399.00 	SI3	J
1.04	$2,752.00 	SI3	J
1.01	$1,821.00 	I1	J
1.01	$2,112.00 	I1	J
1.02	$1,984.00 	I1	J
1.04	$1,867.00 	I1	J
1.03	$3,707.00 	VS1	K
1.01	$2,939.00 	VS1	K
1.02	$2,645.00 	VS2	K
1.04	$2,939.00 	SI1	K
1.02	$2,883.00 	SI1	K
1.01	$3,074.00 	SI1	K
1.04	$3,033.00 	SI1	K
1.01	$2,426.00 	SI1	K
1.01	$3,626.00 	SI1	K
1.01	$3,081.00 	SI1	K
1.01	$3,398.00 	SI1	K
1.01	$3,398.00 	SI1	K
1	$2,188.00 	SI2	K
1.03	$2,616.00 	SI2	K
1	$3,020.00 	SI2	K
1.01	$3,050.00 	SI2	K
1.03	$2,689.00 	SI2	K
1.01	$2,388.00 	SI2	K
1.04	$2,171.00 	I1	K
1	$2,569.00 	VS1	L
1	$3,191.00 	VS2	L
1	$2,625.00 	VS2	L
1.03	$2,769.00 	SI1	L
1	$2,501.00 	SI1	L
1.04	$3,062.00 	SI2	L
1.01	$2,606.00 	SI2	L
1.01	$2,027.00 	SI3	L
1.01	$2,027.00 	SI3	L
1	$1,712.00 	SI3	L
1	$1,589.00 	I1	L
1.01	$2,147.00 	VS2	M
1	$2,368.00 	SI1	M
1.01		N	F
