Location	Market Share (%)	Samples per MD	Primary Details per MD
Harrisburg-Lebanon-Carlisle PA	29.036882	0.236018957	0.053744076
Hartford CT	33.5456131	0.124381625	0.039575972
Honolulu HI	31.6041862	0.15446339	0.04112337
Houston TX	33.4980194	0.127000203	0.02815475
Indianapolis IN	28.5944187	0.068512436	0.015438761
Jacksonville FL	33.1161096	0.136917563	0.06172043
Jersey City NJ	27.6149332	0.879288437	0.02935197
Johnson City-Kingsport-Bristol TN-VA	35.1720434	0.44005848	0.040204678
Kansas City MO-KS	33.9990698	0.095759234	0.064295486
Knoxville TN	35.204912	0.323818898	0.103838583
Lakeland-Winter Haven FL	32.4853689	0.126789366	0.04396728
Lancaster PA	31.2002198	0.054054054	0.08018018
Lansing-East Lansing MI	28.8681446	0	0.004823151
Las Vegas NV-AZ	33.400227	0.244585987	0.024522293
Lexington KY	38.5291936	0.358374384	0.034605911
Little Rock-North Little Rock AR	34.0305175	0.140226629	0.061614731
Los Angeles-Long Beach CA	33.7923536	0.08826214	0.022426068
Louisville KY-IN	35.4491066	0.151824818	0.038321168
McAllen-Edinburg-Mission TX	31.89804	0.481675393	0
Melbourne-Titusville-Palm Bay FL	28.1335102	0.213893967	0
Memphis TN-AR-MS	28.2572731	0.246505718	0.060673444
Miami FL	33.7291143	0.099552836	0.025064721
Middlesex-Somerset-Hunterdon NJ	31.4317516	0.101654846	0.038711584
Milwaukee-Waukesha WI	32.4777994	0.123178185	0.038692995
Minneapolis-St. Paul MN-WI	36.381218	0.169930876	0.036175115
Mobile AL	34.1876979	0.212121212	0.033910534
Monmouth-Ocean NJ	27.0253875	0.324649299	0.076152305
Nashville TN	36.41984	0.340385812	0.028624767
Nassau-Suffolk NY	30.2424522	0.126028901	0.02835193
New Haven-Meriden CT	32.2824149	0.161209068	0.026448363
New Orleans LA	34.0148562	0.153197819	0.04090233
New York NY	31.6062347	0.085658482	0.021930804
Newark NJ	31.110588	0.149678604	0.034894399
Norfolk-Virginia Beach-Newport News VA-NC	27.4006101	0.101289134	0.043585022
Oakland CA	38.3146957	0.086276263	0.027939204
Oklahoma City OK	33.7070867	0.088170463	0.039676708
Omaha NE-IA	34.3359266	0.043877551	0.065306122
Orange County CA	35.1765771	0.222328549	0.066570973
Orlando FL	32.6835419	0.032738095	0.016369048
Philadelphia PA-NJ	33.4163063	0.18161695	0.040518604
Phoenix-Mesa AZ	35.3945756	0.083878644	0.020404521
Pittsburgh PA	30.6620358	0.215472482	0.028089304
Portland-Vancouver OR-WA	38.7239156	0.073945194	0.01892127
Providence-Fall River-Warwick RI-MA	31.137158	0.236724248	0.045489443
Raleigh-Durham-Chapel Hill NC	33.7553151	0.0280866	0.01170275
Richmond-Petersburg VA	33.0667915	0.152892562	0.085123967
Riverside-San Bernardino CA	35.6842551	0	0.03189854
Rochester NY	38.0999768	0.136789057	0.051835853
Sacramento CA	34.3066218	0.142030848	0.009318766
St. Louis MO-IL	32.7384165	0.23010323	0.032367632
Salt Lake City-Ogden UT	39.6038849	0.09754522	0.013565892
San Antonio TX	36.2142784	0.286028603	0.051210121
San Diego CA	39.298157	0.093610698	0.051263002
San Francisco CA	38.6694957	0.136943907	0.037562863
San Jose CA	36.0726969	0.026830632	0.008384572
Sarasota-Bradenton FL	32.2193101	0.056653491	0.077075099
Scranton-Wilkes Barre-Hazleton PA	26.0663616	0.295294118	0.048470588
Seattle-Bellevue-Everett WA	42.951761	0.052530429	0.032351057
Springfield MA	36.633883	0.132545932	0.072965879
Stockton-Lodi CA	39.7369776	0.05811138	0.069007264
Syracuse NY	28.1768825	0.144144144	0.034534535
Tacoma WA	35.705593	0.17057903	0.025039124
Tampa-St. Petersburg-Clearwater FL	31.6864337	0.212130937	0.073523748
Toledo OH	36.4054973	0.121484814	0.048931384
Tucson AZ	37.286066	0.494382023	0.034363296
Tulsa OK	32.5680106	0.208370436	0.036064114
Vallejo-Fairfield-Napa CA	40.1666216	0	0
Ventura CA	36.7045382	0.089333333	0.026
Washington DC-MD-VA-WV	34.9153185	0.122973637	0.026264942
West Palm Beach-Boca Raton FL	32.6805242	0.155517439	0.068038879
Wichita KS	27.9927626	0	0.048630137
Wilmington-Newark DE-MD	32.0948327	0.375499334	0.031291611
Worcester MA-CT	33.8982794	0.067625899	0.002158273
Youngstown-Warren OH	26.7729881	0.253709199	0.020771513
