Price ($)	Weight (carats)	Clarity Grade	Clarity	Clarity * Weight
$1,504.00 	0.46	VVS1	1	0.46
$1,071.00 	0.32	VVS1	1	0.32
$1,071.00 	0.3	VVS1	1	0.3
$1,589.00 	0.46	VVS1	1	0.46
$1,641.00 	0.49	VVS1	1	0.49
$1,117.00 	0.34	VVS1	1	0.34
$1,109.00 	0.45	VVS1	1	0.45
$1,457.00 	0.43	VVS1	1	0.43
$1,531.00 	0.43	VVS1	1	0.43
$1,488.00 	0.39	VVS1	1	0.39
$1,488.00 	0.39	VVS1	1	0.39
$1,476.00 	0.41	VVS1	1	0.41
$1,163.00 	0.36	VVS1	1	0.36
$1,522.00 	0.5	VS1	0	0
$1,524.00 	0.5	VS1	0	0
$1,206.00 	0.5	VS1	0	0
$1,365.00 	0.5	VS1	0	0
$1,378.00 	0.5	VS1	0	0
$1,600.00 	0.5	VVS1	1	0.5
$1,847.00 	0.5	VS1	0	0
$1,616.00 	0.5	VVS1	1	0.5
