Accept Offer?	Dummy Variable	Balance	Profit
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	8630.19	805.019
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	6381.8	580.18
No	0		-8
No	0		-8
Yes	1	5259.61	467.961
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	5048.79	446.879
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	1851.03	127.103
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	3707.3	312.73
No	0		-8
Yes	1	1084.98	50.498
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
Yes	1	10.83	-56.917
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	354.33	-22.567
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	61.74	-51.826
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	22.81	-55.719
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	7668.53	708.853
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	7285.49	670.549
No	0		-8
No	0		-8
Yes	1	6638.71	605.871
No	0		-8
No	0		-8
No	0		-8
Yes	1	1857.32	127.732
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	518.25	-6.175
No	0		-8
No	0		-8
Yes	1	704.64	12.464
No	0		-8
Yes	1	5189.08	460.908
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
Yes	1	582.6	0.26
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	463.96	-11.604
No	0		-8
No	0		-8
No	0		-8
Yes	1	3361.27	278.127
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	0	-58
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	893.41	31.341
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
Yes	1	633.08	5.308
No	0		-8
No	0		-8
Yes	1	1739.46	115.946
No	0		-8
No	0		-8
Yes	1	1333.53	75.353
No	0		-8
No	0		-8
No	0		-8
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	444.6	-13.54
Yes	1	103.92	-47.608
Yes	1	65.55	-51.445
No	0		-8
No	0		-8
No	0		-8
Yes	1	5448.26	486.826
Yes	1	13920	1334
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	20	-56
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
Yes	1	3437.93	285.793
Yes	1	0	-58
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
No	0		-8
