Rating	Vehicle Category	D(Economy)	D(Standard)	D(Premium)	Manufacturer	D(US)	D(Europe)	D(Asia)
8	Economy	1	0	0	Asia	0	0	1
7.5	Economy	1	0	0	Asia	0	0	1
8	Economy	1	0	0	Asia	0	0	1
8.5	Economy	1	0	0	Asia	0	0	1
9.5	Economy	1	0	0	Asia	0	0	1
8	Economy	1	0	0	Asia	0	0	1
8	Economy	1	0	0	Asia	0	0	1
8.5	Economy	1	0	0	Asia	0	0	1
7.5	Economy	1	0	0	Asia	0	0	1
6	Standard	0	1	0	Asia	0	0	1
7	Standard	0	1	0	Asia	0	0	1
6.5	Standard	0	1	0	Asia	0	0	1
8	Standard	0	1	0	Asia	0	0	1
9	Standard	0	1	0	Asia	0	0	1
7	Standard	0	1	0	Asia	0	0	1
6	Standard	0	1	0	Asia	0	0	1
9	Standard	0	1	0	Asia	0	0	1
8	Standard	0	1	0	Asia	0	0	1
9	Standard	0	1	0	Asia	0	0	1
6	Standard	0	1	0	Asia	0	0	1
7	Standard	0	1	0	Asia	0	0	1
6	Standard	0	1	0	Asia	0	0	1
6.5	Standard	0	1	0	Asia	0	0	1
5.5	Standard	0	1	0	Asia	0	0	1
5.5	Standard	0	1	0	Asia	0	0	1
6.5	Standard	0	1	0	Asia	0	0	1
7.5	Standard	0	1	0	Asia	0	0	1
7.5	Standard	0	1	0	Asia	0	0	1
7	Standard	0	1	0	Asia	0	0	1
9	Standard	0	1	0	Asia	0	0	1
4	Premium	0	0	1	Asia	0	0	1
3.5	Premium	0	0	1	Asia	0	0	1
4	Premium	0	0	1	Asia	0	0	1
2.5	Premium	0	0	1	Asia	0	0	1
3	Premium	0	0	1	Asia	0	0	1
5.5	Premium	0	0	1	Asia	0	0	1
4.5	Premium	0	0	1	Asia	0	0	1
4.5	Premium	0	0	1	Asia	0	0	1
3.5	Premium	0	0	1	Asia	0	0	1
4	Premium	0	0	1	Asia	0	0	1
3.5	Premium	0	0	1	Asia	0	0	1
4.5	Premium	0	0	1	Asia	0	0	1
5	Premium	0	0	1	Asia	0	0	1
4.5	Premium	0	0	1	Asia	0	0	1
3	Premium	0	0	1	Asia	0	0	1
5	Premium	0	0	1	Asia	0	0	1
5.5	Premium	0	0	1	Asia	0	0	1
5	Premium	0	0	1	Asia	0	0	1
4	Premium	0	0	1	Asia	0	0	1
5.5	Premium	0	0	1	Asia	0	0	1
4.5	Premium	0	0	1	Asia	0	0	1
3.5	Premium	0	0	1	Asia	0	0	1
4	Premium	0	0	1	Asia	0	0	1
4.5	Premium	0	0	1	Asia	0	0	1
4	Premium	0	0	1	Asia	0	0	1
4	Premium	0	0	1	Asia	0	0	1
3.5	Premium	0	0	1	Asia	0	0	1
1	Premium	0	0	1	Asia	0	0	1
