Nation	GDP (billion dollars)	CO2 (million tons)	Log GDP	Log CO2
Qatar	$40.70 	56.5	3.706228092	4.034240638
Saudi Arabia	$249.50 	410.5	5.519458915	6.017375929
Syrian Arab Republic	$28.50 	59.8	3.349904087	4.091005661
United Arab Emirates	$118.10 	147	4.771531723	4.990432587
Yemen	$13.30 	22.2	2.587764035	3.100092289
Albania	$5.90 	2.7	1.774952351	0.993251773
Armenia	$4.00 	4.3	1.386294361	1.458615023
Azerbaijan	$20.20 	25.2	3.005682604	3.226843995
Belarus	$24.70 	60.8	3.206803244	4.107589789
Bosnia and Herzegovina	$8.10 	19.1	2.091864062	2.949688335
Bulgaria	$19.30 	42.2	2.960105096	3.742420221
Croatia	$28.30 	19.8	3.342861805	2.985681938
Cyprus	$12.10 	7.5	2.493205453	2.014903021
Georgia	$5.30 	5.7	1.667706821	1.740466175
Gibraltar	$0.80 	0.5	-0.223143551	-0.693147181
Kazakhstan	$37.80 	189.5	3.632309103	5.244389025
Kyrgyzstan	$2.00 	7.1	0.693147181	1.960094784
Latvia	$11.20 	6.8	2.415913778	1.916922612
Lithuania	$17.20 	12.4	2.844909384	2.517696473
FYR of Macedonia	$4.40 	8.3	1.481604541	2.116255515
Malta	$4.40 	2.4	1.481604541	0.875468737
Republic of Moldova	$2.00 	5.7	0.693147181	1.740466175
Romania	$56.00 	78.4	4.025351691	4.361823927
Russian Federation	$397.50 	1532.6	5.985194934	7.334720919
Serbia	$9.00 	46.3	2.197224577	3.835141961
Tajikistan	$1.70 	2.8	0.530628251	1.029619417
Turkmenistan	$9.30 	48.8	2.2300144	3.887730313
Ukraine	$45.40 	256.4	3.815512105	5.546738725
Uzbekistan	$24.80 	112.4	3.210843653	4.722063938
Argentina	$398.00 	166.6	5.986452005	5.11559573
Bolivia	$11.80 	12.9	2.468099532	2.557227311
Brazil	$856.00 	337.8	6.752270376	5.822454004
Colombia	$141.70 	60.6	4.953712147	4.104294893
Costa Rica	$23.10 	6.3	3.139832618	1.840549633
Cuba	$47.80 	26.8	3.86702564	3.288401888
Dominican Republic	$37.30 	18.1	3.618993327	2.895911938
Ecuador	$24.10 	28.5	3.182211841	3.349904087
El Salvador	$15.80 	6.8	2.76000994	1.916922612
Guatemala	$26.10 	14.5	3.261935314	2.674148649
Haiti	$3.90 	2.4	1.360976553	0.875468737
Honduras	$10.30 	7.1	2.332143895	1.960094784
Jamaica	$10.00 	8.3	2.302585093	2.116255515
Netherlands Antilles	$1.30 	5	0.262364265	1.609437912
Nicaragua	$5.00 	4.2	1.609437912	1.435084525
Panama	$19.80 	7.3	2.985681938	1.987874348
Paraguay	$9.10 	4.1	2.208274414	1.410986974
Peru	$85.00 	38.6	4.442651257	3.653252277
Trinidad and Tobago	$14.10 	40.2	2.646174797	3.693866996
Uruguay	$29.90 	7.7	3.39785848	2.041220329
Venezuela	$160.00 	154.6	5.075173815	5.040841136
Other Latin America	$26.60 	16.4	3.280911216	2.797281335
Bangladesh	$78.20 	50.7	4.359269648	3.925925911
Brunei Darussalam	$6.80 	8.1	1.916922612	2.091864062
Cambodia	$7.50 	4.3	2.014903021	1.458615023
Chinese Taipei	$412.10 	250.1	6.021266038	5.521860838
India	$874.90 	1585.8	6.774109594	7.368844291
Indonesia	$258.50 	376.3	5.554895694	5.930386698
DPR of Korea	$11.50 	66.2	2.442347035	4.192680463
Malaysia	$137.10 	164.2	4.920710587	5.101085197
Mongolia	$1.90 	12	0.641853886	2.48490665
Myanmar	$19.90 	10.1	2.990719732	2.312535424
Nepal	$7.60 	3.4	2.028148247	1.223775432
Pakistan	$111.50 	136.9	4.714024591	4.919250732
Philippines	$111.70 	70.5	4.715816706	4.25561271
Singapore	$143.50 	44.8	4.966335035	3.802208139
Sri Lanka	$25.00 	12.7	3.218875825	2.541601994
Thailand	$173.90 	227.8	5.158480421	5.428468051
Vietnam	$58.80 	114.1	4.074141855	4.737075257
Other Asia	$45.70 	15.2	3.822098298	2.721295428
People's Rep. of China	$2,937.50 	6831.6	7.985314159	8.829314186
Hong Kong, China	$231.30 	45.6	5.443715569	3.819907717
