Name	Artist	Genre	Megabytes (MB)	Time (seconds)	Format	Format Dummy	Dummy * Time
God Bless The Child	Blood  Sweat   Tears	Rock	59.3126564	352	AIFF	1	352
Fishers Hornpipe	Bob Carlin  Kirk Sutphin  Joe Newberry  Scott Ainslie and Paul Brown	Country	27.8293743	165	AIFF	1	165
When the Wagon Was New	Bob Carlin  Kirk Sutphin  Joe Newberry  Scott Ainslie and Paul Brown	Country	35.2291756	209	AIFF	1	209
You Angel You	Bob Dylan	Rock	29.2626362	173	AIFF	1	173
To Ramona	Bob Dylan	Rock	39.3226757	233	AIFF	1	233
Tangled Up In Blue	Bob Dylan	Rock	57.7604904	343	AIFF	1	343
I Want You	Bob Dylan	Rock	31.5168896	187	AIFF	1	187
Solid Rock	Bob Dylan	Rock	39.9125977	237	AIFF	1	237
Idiot Wind	Bob Dylan	Rock	78.845068	468	AIFF	1	468
Buckets Of Rain	Bob Dylan	Rock	34.2376976	203	AIFF	1	203
Its All Over Now  Baby Blue [Take 1]	Bob Dylan	Soundtrack	3.31408405	213	AAC	0	0
Tombstone Blues [Alternate Take]	Bob Dylan	Soundtrack	3.35839653	216	AAC	0	0
Wiggle Wiggle	Bob Dylan	Rock	21.7820816	129	AIFF	1	129
Ragged   Dirty	Bob Dylan	Rock	41.9582405	249	AIFF	1	249
Lo And Behold	Bob Dylan   The Band	Rock	28.073843	166	AIFF	1	166
Please  Mrs. Henry	Bob Dylan   The Band	Rock	25.7971611	153	AIFF	1	153
3 A.M.	Bob James	Jazz	55.2662125	328	AIFF	1	328
Rousseau	Bob James	Jazz	60.8895092	361	AIFF	1	361
Hypocrites	Bob Marley	Reggae	26.1851807	155	AIFF	1	155
Im Hurting Inside (Alternate Mix)	Bob Marley	Reggae	35.0990505	208	AIFF	1	208
No More Trouble	Bob Marley	Reggae	40.2378426	239	AIFF	1	239
Concrete Jungle	Bob Marley	Reggae	42.2049904	250	AIFF	1	250
Get Up Stand Up	Bob Marley	Reggae	32.728138	194	AIFF	1	194
War	Bob Marley	Reggae	36.4919586	216	AIFF	1	216
Natural Mystic	Bob Marley	Reggae	35.0608997	208	AIFF	1	208
Steal Your Heart Away	Bonnie Raitt	Rock	57.9511509	344	AIFF	1	344
One Part Be My Lover	Bonnie Raitt	Rock	51.5091457	306	AIFF	1	306
Kokomo	Bonnie Raitt	Rock	50.4885483	300	AIFF	1	300
Come To Me	Bonnie Raitt	Rock	50.8474255	302	AIFF	1	302
Angel From Montgomery	Bonnie Raitt	Rock	53.2968369	316	AIFF	1	316
El Vergel	Bostich	Electronica/Dance	36.4964447	216	AIFF	1	216
Quit	Brad Mehldau Trio	Jazz	6.7112999	434	AAC	0	0
Secret Love	Brad Mehldau Trio	Jazz	9.40561962	608	AAC	0	0
Sidney In Da House	Branford Marsalis	Jazz	6.06982327	392	AAC	0	0
In The Crease	Branford Marsalis Quartet	Jazz	68.9129009	409	AIFF	1	409
Tain Mutiny	Branford Marsalis Quartet	Jazz	84.7151299	503	AIFF	1	503
Night	Bruce Springsteen	Rock	30.5860214	181	AIFF	1	181
Born To Run	Bruce Springsteen	Rock	45.4753399	270	AIFF	1	270
Buckwheats Special	Buckwheat Zydeco	World	53.3528957	317	AIFF	1	317
Hot Tamale Baby	Buckwheat Zydeco	World	41.7047749	247	AIFF	1	247
Bucks Nouvelle Jole Blon	Buckwheat Zydeco   Ils Sont Partis Band	Soundtrack	47.408884	281	AIFF	1	281
No Name Blues	Bud Powell	Jazz	67.1543407	399	AIFF	1	399
I Aint Foolin	Bud Powell	Jazz	33.8429298	201	AIFF	1	201
Bud On Bach	Bud Powell	Jazz	2.36685848	153	AAC	0	0
Cleopatras Dream	Bud Powell	Jazz	4.07629395	265	AAC	0	0
I Am A Child	Buffalo Springfield	Rock	23.9645996	142	AIFF	1	142
Moliendo Cafe	Carlos Guedes	Jazz	4.35860825	284	AAC	0	0
I Feel the Earth Move	Carole King	Pop	2.77857399	180	AAC	0	0
Wrap Around Joy	Carole King	Pop	2.77621746	180	AAC	0	0
Monday Without You	Carole King	Pop	40.7470036	242	AIFF	1	242
Safe Harbor Rag   Wild Hog In The Woods	Cathy Fink	Folk	27.5018215	163	AIFF	1	163
Sleepy Lu	Cathy Fink	Folk	19.0948715	113	AIFF	1	113
Isadoras Reel	Cathy Fink	Folk	19.5659142	116	AIFF	1	116
Said The Banjo To The Whipporwill	Cathy Fink	Folk	21.10466	125	AIFF	1	125
Cinema Paradiso (Main Theme)	Charlie Haden   Pat Metheny	Jazz	4.13070679	267	AAC	0	0
This Time the Dreams on Me	Charlie Parker	Jazz	36.7723389	218	AIFF	1	218
Cool Blues	Charlie Parker	Jazz	22.6232147	134	AIFF	1	134
Dont Take Your Guns To Town	Charlie Robison	Country	38.1855106	226	AIFF	1	226
Say It Again (Part 2)	Chick Corea	Jazz	14.8847313	88	AIFF	1	88
Tempus Fugit	Chick Corea	Jazz	96.3744488	572	AIFF	1	572
Blue Monk	Chick Corea	Jazz	45.318327	269	AIFF	1	269
Dusk In Sandi	Chick Corea	Jazz	57.9847832	344	AIFF	1	344
Brazil	Chick Corea	Jazz	30.9404449	183	AIFF	1	183
Whole Heap Of Little Horses	The Chieftains	Country	28.085104	166	AIFF	1	166
Ill Be All Smiles Tonight	The Chieftains	Country	45.4686794	270	AIFF	1	270
Katie Dear	The Chieftains	Country	45.0694027	267	AIFF	1	267
I Shall Be Released (Live)	Chrissie Hynde	Rock	44.7665977	266	AIFF	1	266
Formosa	Ciro Monteiro	Latin	28.2420788	167	AIFF	1	167
Guitar In My Hand	Clarence Gatemouth Brown	Blues	52.6015224	312	AIFF	1	312
Harvard Blues [41]   Jimmy Rushing	Count Basie	Jazz	3.11705112	202	AAC	0	0
Aint It The Truth [42]	Count Basie	Jazz	2.71669483	176	AAC	0	0
Oh  Lady Be Good	Count Basie	Jazz	2.88915539	188	AAC	0	0
I Aint Got Nobody	Count Basie	Jazz	2.74638939	178	AAC	0	0
Ticke Toe	Count Basie   His Orchestra	Jazz	2.45508766	159	AAC	0	0
Rock Bye Basie	Count Basie   His Orchestra	Jazz	3.45025635	222	AAC	0	0
Baby  Dont Tell On Me	Count Basie   His Orchestra	Jazz	3.48278141	226	AAC	0	0
Round Here	Counting Crows	Rock	55.7462711	331	AIFF	1	331
Omaha	Counting Crows	Rock	36.933836	219	AIFF	1	219
Mr. Jones	Counting Crows	Rock	45.8342323	272	AIFF	1	272
Have You Seen Me Lately?	Counting Crows	Rock	42.2655678	251	AIFF	1	251
Millers Angels	Counting Crows	Rock	66.2728405	393	AIFF	1	393
A Long December	Counting Crows	Rock	50.0780754	297	AIFF	1	297
Comin Back Soon (The Bereft Mans Song)	Crash Test Dummies	Alternative   Punk	45.1165047	268	AIFF	1	268
Supermans Song	Crash Test Dummies	Alternative   Punk	45.6413517	271	AIFF	1	271
Wrapping Paper	Cream	Rock	23.789587	141	AIFF	1	141
Susie Q	Creedence Clearwater Revival	Rock	4.26275349	276	AAC	0	0
Proud Mary	Creedence Clearwater Revival	Rock	2.93541336	188	AAC	0	0
Sweet Hitch Hiker	Creedence Clearwater Revival	Rock	2.73287201	175	AAC	0	0
Wooden Ships	Crosby  Stills  Nash   Young	Rock	5.03779888	330	AAC	0	0
Guinnevere	Crosby  Stills  Nash   Young	Rock	4.28389931	282	AAC	0	0
Little Ditty	Cyrus Chestnut	Jazz	6.80319977	442	AAC	0	0
Cornbread Pudding	Cyrus Chestnut	Jazz	6.08462524	393	AAC	0	0
So Much to Say	Dave Matthews Band	Rock	41.5590019	247	AIFF	1	247
Crash Into Me	Dave Matthews Band	Rock	53.2183323	316	AIFF	1	316
41	Dave Matthews Band	Rock	67.2709808	399	AIFF	1	399
Carol Of The Bells	David Benoit	Holiday	37.3376026	221	AIFF	1	221
Remembering What You Said	David Benoit	Jazz	46.0405998	273	AIFF	1	273
Sao Paulo	David Benoit	Jazz	53.2968254	316	AIFF	1	316
Cat On A Windowsill	David Benoit	Jazz	46.8772469	278	AIFF	1	278
Funkallero	David Benoit	Jazz	36.3394241	216	AIFF	1	216
Mediterranean Nights	David Benoit   Russ Freeman	Jazz	70.2206211	417	AIFF	1	417
Teardrops In My Eyes	David Grisman	Country	29.9198265	177	AIFF	1	177
La Sirena	David Hidalgo	Latin	29.1056404	173	AIFF	1	173
When Silence Was Golden	David Schnaufer	Folk	31.1759586	185	AIFF	1	185
Baby Baby All The Time	Diana Krall	Jazz	3.34300995	215	AAC	0	0
Pick Yourself Up	Diana Krall	Jazz	2.826931	181	AAC	0	0
The Christmas Song	Diane Schuur	Holiday	40.7133846	242	AIFF	1	242
The Mans Too Strong	Dire Straits	Rock	4.3324213	280	AAC	0	0
Brothers In Arms	Dire Straits	Rock	6.47301388	419	AAC	0	0
It Never Rains	Dire Straits	Rock	80.3815575	477	AIFF	1	477
Tunnel Of Love	Dire Straits	Rock	82.5797787	490	AIFF	1	490
Telegraph Road (Live Remix)	Dire Straits	Rock	120.935774	718	AIFF	1	718
Cowboy Take Me Away	Dixie Chicks	Country	49.0081291	291	AIFF	1	291
Tortured  Tangled Hearts	Dixie Chicks	Country	37.1469536	220	AIFF	1	220
I Let A Song Go Out Of My Heart	Dizzy Gillespie   Stan Getz	Jazz	5.80164051	379	AAC	0	0
Girl Of My Dreams	Dizzy Gillespie   Stan Getz	Jazz	3.04163361	199	AAC	0	0
Siboney (Parts 1 And 2)	Dizzy Gillespie   Stan Getz	Jazz	7.90394306	514	AAC	0	0
Telling Me Lies	Dolly Parton  Linda Ronstadt   Emmylou Harris	Country	44.6992798	265	AIFF	1	265
Ive Had Enough	Dolly Parton  Linda Ronstadt   Emmylou Harris	Country	35.7293453	212	AIFF	1	212
Waltz For Suzy	Dudley Moore	Jazz	41.6666794	247	AIFF	1	247
Do Nothin Til You Hear From Me	Duke Ellington	Jazz	34.8859844	207	AIFF	1	207
In My Solitude	Duke Ellington	Jazz	56.1230965	333	AIFF	1	333
Sophisticated Lady	Duke Ellington	Jazz	42.7994328	254	AIFF	1	254
Take The A Train	Duke Ellington	Jazz	56.7443867	337	AIFF	1	337
Reflections in D	Duke Ellington	Jazz	36.5637684	217	AIFF	1	217
New Kid In Town	The Eagles	Rock	51.0650425	303	AIFF	1	303
Mi Magdalena	Eliades Ochoa Y El Cuarteto Patria	Latin	3.14296246	203	AAC	0	0
Simplicidaje	Emily Remler	Jazz	49.629446	295	AIFF	1	295
When He Calls	Emmylou Harris	Country	27.5354939	163	AIFF	1	163
Drifting Too Far	Emmylou Harris	Country	48.6649723	289	AIFF	1	289
Who Will Sing for Me	Emmylou Harris	Country	25.9878159	154	AIFF	1	154
Good King Wenceslas	Empire Brass	Holiday	25.2296295	149	AIFF	1	149
I Shot The Sheriff [Live]	Eric Clapton	Rock	79.024538	469	AIFF	1	469
I Found A Love	Eric Clapton	Rock	36.8441219	219	AIFF	1	219
Someone Like You	Eric Clapton	Rock	45.5246944	270	AIFF	1	270
Lay Down Sally	Eric Clapton	Rock	38.8224602	230	AIFF	1	230
Wonderful Tonight	Eric Clapton	Rock	37.4721527	222	AIFF	1	222
Hoochie Coochie Man	Eric Clapton	Rock	32.9412251	195	AIFF	1	195
Someday After A While	Eric Clapton	Rock	45.0985279	268	AIFF	1	268
Groaning The Blues	Eric Clapton	Rock	61.7351551	366	AIFF	1	366
Come Back Baby	Eric Clapton	Rock	39.5649147	235	AIFF	1	235
Lonely Stranger	Eric Clapton	Rock	55.0531235	327	AIFF	1	327
Stardust	Errol Garner	Jazz	28.0401573	166	AIFF	1	166
Night And Day	Errol Garner	Jazz	33.4548645	198	AIFF	1	198
Time Is A Healer	Eva Cassidy	Folk	43.1089363	256	AIFF	1	256
True Love	The Fabulous Thunderbirds	Rock	32.1000805	190	AIFF	1	190
Do Me A Favor	Fats Waller	Jazz	32.3961506	192	AIFF	1	192
Tell Me With Your Kisses	Fats Waller	Jazz	33.2754345	197	AIFF	1	197
Cariño Sincero	Flaco Jiménez	Unclassifiable	24.7025356	146	AIFF	1	146
Pillow	Flim   The BBs	Jazz	48.1647701	286	AIFF	1	286
Flakey Jakey	Flim   The BBs	Jazz	43.2816391	257	AIFF	1	257
Sunflowers	Francis Dunnery	Alternative   Punk	35.3278236	209	AIFF	1	209
Embraceable You	Frank Sinatra	Country	34.5001545	205	AIFF	1	205
Un Lunes Por La Mañana	Freddy Fender	Latin	33.4235058	198	AIFF	1	198
Zealots	The Fugees	Hip Hop/Rap	43.8312168	260	AIFF	1	260
Cowboys	The Fugees	Hip Hop/Rap	54.4251442	323	AIFF	1	323
Little Birdie	Gaither Carlton	Pop	24.099165	143	AIFF	1	143
Bags Groove	Gary Burton	Jazz	5.03263092	325	AAC	0	0
House On The Hill	Gary Burton	Jazz	5.28460407	341	AAC	0	0
Or Else	Gary Burton	Jazz	4.44719315	287	AAC	0	0
Was It So Long Ago?	Gary Burton	Jazz	7.23621082	468	AAC	0	0
Willow Weep For Me	George Benson	Jazz	79.0356922	469	AIFF	1	469
Clockwise (Alternate Take)	George Benson	Jazz	50.2866306	298	AIFF	1	298
Isnt It A Pity	George Harrison	Rock	72.8674049	433	AIFF	1	433
Run Of The Mill	George Harrison	Rock	28.9419136	172	AIFF	1	172
I Live For You	George Harrison	Rock	36.5974159	217	AIFF	1	217
Cloud 9	George Harrison	Rock	32.9412136	195	AIFF	1	195
Dark Horse	George Harrison	Rock	43.0057583	255	AIFF	1	255
All Those Years Ago	George Harrison	Rock	45.1142254	268	AIFF	1	268
Ill Never Let A Day Pass By	George Shearer	Jazz	27.5422249	163	AIFF	1	163
Mujer	Gipsy Kings	World	43.2098789	256	AIFF	1	256
Los Peces En El Rio	Gipsy Kings	World	33.0870438	196	AIFF	1	196
Cataluña	Gipsy Kings	World	37.2209606	221	AIFF	1	221
Prelude No.15 In G Major  BWV 884	Glenn Gould	Classical	11.7669601	69	AIFF	1	69
Prelude No.17 In A Flat Major  BWV 886	Glenn Gould	Classical	30.3909416	180	AIFF	1	180
Bach (JS): The Well Tempered Clavier  Book 2   09. Prelude   Fugue 5 In D  BWV 874   Praeludium	Glenn Gould	Classical	42.727726	253	AIFF	1	253
Bach (JS): The Well Tempered Clavier  Book 2   13. Prelude   Fugue 7 In E Flat  BWV 876   Praeludium	Glenn Gould	Classical	14.8556919	88	AIFF	1	88
Bach (JS): The Well Tempered Clavier  Book 2   17. Prelude   Fugue 9 In E Major  BWV 878   Praeludium	Glenn Gould	Classical	23.0943871	137	AIFF	1	137
Bach (JS): The Well Tempered Clavier  Book 2   22. Prelude   Fugue 11 In F  BWV 880   Fuga	Glenn Gould	Classical	15.6699066	93	AIFF	1	93
High Time	Grateful Dead	Rock	53.1353378	315	AIFF	1	315
Dont Deny Me	Gregg Allman	Rock	46.6080627	277	AIFF	1	277
Memphis In The Meantime	Gregg Allman	Rock	37.6134758	223	AIFF	1	223
Begin the Beguine	Guy Van Duser And Billy Novick	Jazz	34.8432941	207	AIFF	1	207
Sondras Blues	Guy Van Duser And Billy Novick	Jazz	55.232542	328	AIFF	1	328
High Society	Guy Van Duser And Billy Novick	Jazz	31.6334953	188	AIFF	1	188
Do You Know What It Means To Miss New Orleans	Harry Connick  Jr.	Jazz	54.4183769	323	AIFF	1	323
Colomby Day	Harry Connick  Jr.	Jazz	61.6790771	366	AIFF	1	366
Just A Boy	Harry Connick  Jr.	Jazz	62.183773	369	AIFF	1	369
Sweethearts On Parade	Herb Ellis and Red Mitchell	Jazz	39.3854694	234	AIFF	1	234
Theres No Bad Blues	Herb Ellis and Red Mitchell	Jazz	51.8455658	308	AIFF	1	308
Over The Rainbow	Herb Ellis and Red Mitchell	Jazz	69.1708183	411	AIFF	1	411
Tijuana For Dummies	Hiperboreal	Electronica/Dance	52.3884106	311	AIFF	1	311
How Bold	Holly Near	Folk	41.8954067	249	AIFF	1	249
How Was I To Know	Holly Near	Folk	39.3742352	234	AIFF	1	234
Running From An Angel	Hootie   The Blowfish	Rock	36.6198673	217	AIFF	1	217
Cracked Rear View	Hootie   The Blowfish	Rock	9.03044891	53	AIFF	1	53
Juicy Lucy	Horace Silver	Jazz	5.32736492	346	AAC	0	0
Short Grass	Ian   Sylvia	Folk	2.13582325	139	AAC	0	0
Gifts Are For Giving	Ian   Sylvia	Folk	3.00632858	196	AAC	0	0
Satisfied Mind	Ian   Sylvia	Folk	3.30895519	215	AAC	0	0
Twenty Four Hours From Tulsa	Ian   Sylvia	Folk	2.84959126	186	AAC	0	0
Every Time I Feel The Spirit	Ian   Sylvia	Folk	1.67098999	108	AAC	0	0
Blood And Fire	Indigo Girls	Rock	46.9669552	279	AIFF	1	279
Tried To Be True	Indigo Girls	Rock	30.1755447	179	AIFF	1	179
Hammer And A Nail	Indigo Girls	Rock	38.8897781	231	AIFF	1	231
1 2 3	Indigo Girls	Rock	43.1134644	256	AIFF	1	256
Miles Away	Jackson Browne	Rock	3.60187817	232	AAC	0	0
Casino Nation	Jackson Browne	Rock	70.0927715	416	AIFF	1	416
Chasing You Into The Light	Jackson Browne	Rock	43.7078457	259	AIFF	1	259
When The Stone Begins To Turn	Jackson Browne	Rock	49.0956345	291	AIFF	1	291
Ive Got A Feeling	The James Cotton Blues Band	Blues	49.9434814	296	AIFF	1	296
Folsom Prison Blues	James Intveld	Country	31.8488979	189	AIFF	1	189
On The 4th Of July	James Taylor	Pop	34.6055584	205	AIFF	1	205
As the Rain	Jeb Loy Nichols	Alternative   Punk	44.2349434	262	AIFF	1	262
Appetizer 2	Jerry Garcia  David Grisman   Tony Rice	Rock	4.92562866	29	AIFF	1	29
Appetizer 3	Jerry Garcia  David Grisman   Tony Rice	Rock	4.48374939	26	AIFF	1	26
House Of The Rising Sun	Jerry Garcia  David Grisman   Tony Rice	Rock	81.6309662	485	AIFF	1	485
Ec Stacy	Jess Stacy	Jazz	49.0238514	291	AIFF	1	291
Room Full Of Mirrors	Jimi Hendrix	Rock	33.4907913	199	AIFF	1	199
Dolly Dagger	Jimi Hendrix	Rock	47.6488647	283	AIFF	1	283
Are You Experienced?	The Jimi Hendrix Experience	Rock	43.0528736	255	AIFF	1	255
Hey Joe	The Jimi Hendrix Experience	Rock	35.5611	211	AIFF	1	211
Little Miss Lover	The Jimi Hendrix Experience	Rock	24.3100128	144	AIFF	1	144
Gypsy Eyes	The Jimi Hendrix Experience	Rock	37.8804092	225	AIFF	1	225
Have You Ever Been (To Electric Ladyland)	The Jimi Hendrix Experience	Rock	21.8718681	130	AIFF	1	130
Wild Thing	The Jimi Hendrix Experience	Rock	67.4212933	400	AIFF	1	400
Gloria	The Jimi Hendrix Experience	Rock	88.7414036	527	AIFF	1	527
The Peacocks	Jimmy Rowles	Jazz	40.5563755	241	AIFF	1	241
Tuition Blues	Jimmy Smith	Jazz	5.42936611	351	AAC	0	0
My Funny Valentine	Jimmy Smith	Jazz	10.2294922	663	AAC	0	0
Its Only A Paper Moon	Jimmy Smith	Jazz	9.65458965	628	AAC	0	0
Cane River	Jimmy Witherspoon	Blues	25.6804657	152	AIFF	1	152
Mean Old Frisco Blues	Jimmy Witherspoon	Blues	32.0327721	190	AIFF	1	190
Plane Wreck At Los Gatos (Deportee)	Joe Ely	Latin	36.7589169	218	AIFF	1	218
As Long As I Live	Joe Pass	Jazz	46.7404232	277	AIFF	1	277
Blues For Monty	Joe Pass	Jazz	64.7632446	384	AIFF	1	384
Tricrotism	Joe Pass	Jazz	60.8222275	361	AIFF	1	361
Dindi	Joe Pass	Jazz	44.2573643	263	AIFF	1	263
Naima	John Coltrane	Jazz	44.6341858	265	AIFF	1	265
In The Manger	John Doan	Holiday	47.6959362	283	AIFF	1	283
The Angels First Noel	John Doan	Holiday	35.0003262	208	AIFF	1	208
Infant King	John Doan	Holiday	41.3346672	245	AIFF	1	245
Gone  Gone  Gone	John Hartford	Folk	1.78671169	114	AAC	0	0
Highway	John Lee Hooker	Blues	66.9457283	397	AIFF	1	397
Susie	John Lee Hooker	Blues	44.9414845	267	AIFF	1	267
Hideaway	John Mayall   The Bluesbreakers	Rock	32.6944828	194	AIFF	1	194
Wont Pass Me By	Johnny Adams	Blues	44.2730331	263	AIFF	1	263
Angel Eyes	Johnny Adams	Blues	37.095293	220	AIFF	1	220
Personal Jesus	Johnny Cash	Country	33.6926575	200	AIFF	1	200
Redemption	Johnny Cash	Country	30.8955631	183	AIFF	1	183
Like A Soldier	Johnny Cash	Country	28.6502819	170	AIFF	1	170
The One Rose (Thats Left In My Heart)	Johnny Cash	Rock	24.641983	146	AIFF	1	146
Meet Me In Heaven	Johnny Cash	Rock	33.8653507	201	AIFF	1	201
Highway 61 Revisited	Johnny Winter	Folk	51.4463711	305	AIFF	1	305
Enemies Within	Joshua Redman	Jazz	94.8603954	563	AIFF	1	563
Walkin In And Out Of Your Arms	k.d. lang	Country	31.1625061	185	AIFF	1	185
Nowhere To Stand	k.d. lang	Country	44.8854237	266	AIFF	1	266
Smoke Dreams	k.d. lang	Country	38.4635963	228	AIFF	1	228
Save Me	k.d. lang	Country	45.9732723	273	AIFF	1	273
Zou	Kassav	World	51.7603016	307	AIFF	1	307
Youre The One	Kate Bush	Alternative   Punk	59.0950966	351	AIFF	1	351
Tell Everybody I Know	Keb Mo	Blues	31.947546	189	AIFF	1	189
She Just Wants To Dance	Keb Mo	Blues	35.1999683	209	AIFF	1	209
Blues	Keith Jarrett	Jazz	54.2276936	322	AIFF	1	322
partIIa	Keith Jarrett	Jazz	13.8191433	894	AAC	0	0
Cumberland Gap	Kyle Creed	Folk	12.8704777	76	AIFF	1	76
Big Eyed Rabbit	Kyle Creed and Fred Cockerham	Folk	18.1977215	108	AIFF	1	108
Inner City Blues	Larry Coryel	Jazz	35.5319424	211	AIFF	1	211
Misty	Larry Coryel	Jazz	45.7310333	271	AIFF	1	271
The Lighthouse	Laurie Lewis	Country	4.11724377	266	AAC	0	0
