Calendar Date	Date	Sony % Change	Market % Change	Dow % Change	Small-Big	High-Low	Momentum	Market-Dow %Change	(Market+Dow)/2 %Chg	Value-Weighted	Risk-Free	Return DJIA	Sony	Return S&P 500	S&P % Change
1/31/1996	1996	0.5883	2.3844	5.00626102	-2.44	0.36	0.55	-2.621861	3.69533051	0.028144	0.0043	0.05436261	0.010183	0.0326	2.83
2/29/1996	1996.08333	-6.0352	1.241	1.28404964	2.06	-2.32	0.58	-0.0430496	1.26252482	0.01631	0.0039	0.016740496	-0.056452	0.0069	0.3
3/29/1996	1996.16667	3.8579	0.7027	1.46065681	1.31	1.23	-1.89	-0.7579568	1.0816784	0.010927	0.0039	0.018506568	0.042479	0.0079	0.4
4/30/1996	1996.25	5.7128	2.0911	-0.7832423	4.89	-3.98	-0.93	2.8743423	0.65392885	0.025511	0.0046	-0.003232423	0.061728	0.0134	0.88
5/31/1996	1996.33333	-1.0014	2.26	0.91056088	3.22	-1.38	1.55	1.34943912	1.58528044	0.0268	0.0042	0.013305609	-0.005814	0.0229	1.87
6/28/1996	1996.41667	2.7189	-1.2298	-0.1971002	-3.68	1.93	0.95	-1.0326998	-0.7134501	-0.008298	0.004	0.002028998	0.031189	0.0023	-0.17
7/31/1996	1996.5	-3.6636	-5.8319	-2.6733108	-3.57	4.39	-0.14	-3.1585892	-4.2526054	-0.053819	0.0045	-0.022233108	-0.032136	-0.0457	-5.02
8/30/1996	1996.58333	-1.5819	2.8363	1.16897307	2.31	-0.59	-0.12	1.66732693	2.00263654	0.032463	0.0041	0.015789731	-0.011719	0.0188	1.47
9/30/1996	1996.66667	0.4585	4.8615	4.29557791	-0.82	-3.83	2.7	0.56592209	4.57853895	0.053015	0.0044	0.047355779	0.008985	0.0542	4.98
10/31/1996	1996.75	-5.7245	0.9432	2.08264783	-4.11	4.81	3.82	-1.1394478	1.51292392	0.013632	0.0042	0.025026478	-0.053045	0.0261	2.19
11/29/1996	1996.83333	6.8514	6.1402	7.75535033	-3.6	0.21	-2.39	-1.6151503	6.94777517	0.065502	0.0041	0.081653503	0.072614	0.0734	6.93
12/31/1996	1996.91667	1.0874	-1.5958	-1.5859334	3.15	0.94	0.6	-0.0098666	-1.5908667	-0.011358	0.0046	-0.011259334	0.015474	-0.0215	-2.61
1/31/1997	1997	2.2167	4.8949	5.20764151	-1.51	-2.3	1.95	-0.3127415	5.05127075	0.053449	0.0045	0.056576415	0.026667	0.0613	5.68
2/28/1997	1997.08333	7.0312	-0.5044	0.55890864	-2.57	4.72	-2.02	-1.0633086	0.02725432	-0.001144	0.0039	0.009489086	0.074212	0.0059	0.2
3/31/1997	1997.16667	-4.6351	-4.912	-4.7084403	-0.3	3.88	0.98	-0.2035597	-4.8102202	-0.04482	0.0043	-0.042784403	-0.042051	-0.0426	-4.69
4/30/1997	1997.25	5.7183	3.8003	6.03329905	-5.14	-1	4.81	-2.232999	4.91679952	0.042303	0.0043	0.064632991	0.061483	0.0584	5.41
5/30/1997	1997.33333	15.694	6.6724	4.10481323	4.79	-4.35	-5.2	2.56758677	5.38860662	0.071624	0.0049	0.045948132	0.16184	0.0586	5.37
6/30/1997	1997.41667	2.8558	4.0445	4.29168511	1.52	0.7	2.67	-0.2471851	4.16809255	0.044145	0.0037	0.046616851	0.032258	0.0435	3.98
7/31/1997	1997.5	15.266	7.2202	6.73584189	-2.42	-0.38	3.84	0.48435811	6.97802095	0.076502	0.0043	0.071658419	0.15696	0.0781	7.38
8/29/1997	1997.58333	-13.8538	-4.0367	-7.7092639	7.48	1.03	-2.53	3.67256386	-5.8729819	-0.036267	0.0041	-0.072992639	-0.134438	-0.0574	-6.15
9/30/1997	1997.66667	6.3884	5.4033	3.79540031	2.68	-0.28	1.46	1.60789969	4.59935015	0.058433	0.0044	0.042354003	0.068284	0.0532	4.88
10/31/1997	1997.75	-10.5996	-3.8728	-6.7530841	-0.81	2.31	-0.44	2.88028413	-5.3129421	-0.034528	0.0042	-0.063330841	-0.101796	-0.0345	-3.87
11/28/1997	1997.83333	-1.427	2.6559	4.73020833	-5.05	1.03	0.29	-2.0743083	3.69305416	0.030459	0.0039	0.051202083	-0.01037	0.0446	4.07
12/31/1997	1997.91667	8.2026	1.2972	0.60805555	-2.34	3.82	3.84	0.68914445	0.95262777	0.017772	0.0048	0.010880556	0.086826	0.0157	1.09
1/30/1998	1998	3.0135	0.0229	-0.4521288	-1.01	-1.82	0.08	0.47502879	-0.2146144	0.004529	0.0043	-0.000221288	0.034435	0.0102	0.59
2/27/1998	1998.08333	-4.0518	6.933	7.6947404	0.21	-0.72	-1.1	-0.7617404	7.3138702	0.07323	0.0039	0.080847404	-0.036618	0.0704	6.65
3/31/1998	1998.16667	-6.0735	4.7424	2.58330125	-1.18	1.67	2.14	2.15909875	3.66285063	0.051324	0.0039	0.029733013	-0.056835	0.0499	4.6
4/30/1998	1998.25	-0.577	0.6562	2.56506467	0.46	0.31	0.78	-1.9088647	1.61063233	0.010862	0.0043	0.029950647	-0.00147	0.0091	0.48
5/29/1998	1998.33333	-1.7245	-2.9755	-2.2030821	-3.58	4.27	1.86	-0.7724179	-2.589291	-0.025755	0.004	-0.018030821	-0.013245	-0.0188	-2.28
6/30/1998	1998.41667	2.2746	2.7855	0.17505947	-3.28	-1.84	7.26	2.61044053	1.48027973	0.031955	0.0041	0.005850595	0.026846	0.0394	3.53
7/31/1998	1998.5	-1.6346	-2.7264	-1.1677597	-4.88	-1.08	3.69	-1.5586403	-1.9470798	-0.023264	0.004	-0.007677597	-0.012346	-0.0116	-1.56
8/31/1998	1998.58333	-17.2682	-16.1966	-15.562006	-5.7	5.14	1.91	-0.6345937	-15.879303	-0.157666	0.0043	-0.151320063	-0.168382	-0.1458	-15.01
9/30/1998	1998.66667	-3.0276	5.9235	3.56635869	-0.16	-3.96	-0.61	2.35714131	4.74492934	0.063835	0.0046	0.040263587	-0.025676	0.0624	5.78
10/30/1998	1998.75	-4.4146	7.1157	9.23650025	-3.19	-2.71	-5.36	-2.1208003	8.17610013	0.074357	0.0032	0.095565003	-0.040946	0.0803	7.71
11/30/1998	1998.83333	10.6957	5.8885	5.79386285	1.12	-3.29	1.18	0.09463715	5.84118143	0.061985	0.0031	0.061038629	0.110057	0.0591	5.6
12/31/1998	1998.91667	-1.9185	5.9254	0.33167273	-0.27	-4.8	9.03	5.59372727	3.12853636	0.063054	0.0038	0.007116727	-0.015385	0.0564	5.26
1/29/1999	1999	1.1257	3.4845	1.58216089	0.67	-5.61	3.02	1.90233911	2.53333045	0.038345	0.0035	0.019321609	0.014757	0.041	3.75
2/26/1999	1999.08333	1.8741	-4.1605	-0.9082963	-5.68	1.71	-0.13	-3.2522037	-2.5343981	-0.038105	0.0035	-0.005582963	0.022241	-0.0323	-3.58
3/31/1999	1999.16667	22.0627	3.3561	4.72312822	-3.89	-2.88	-1.36	-1.3670282	4.03961411	0.037861	0.0043	0.051531282	0.224927	0.0388	3.45
4/30/1999	1999.25	0.9305	4.53	9.87794199	3.37	2.45	-9.14	-5.347942	7.203971	0.049	0.0037	0.10247942	0.013005	0.0379	3.42
5/28/1999	1999.33333	0.6735	-2.4121	-2.4653049	3.69	2.69	-5.25	0.05320494	-2.4387025	-0.020721	0.0034	-0.021253049	0.010135	-0.025	-2.84
6/30/1999	1999.41667	17.7271	4.7021	3.49270948	3.37	-4.3	4.96	1.20939052	4.09740474	0.051021	0.004	0.038927095	0.181271	0.0544	5.04
7/30/1999	1999.5	13.0402	-3.4435	-3.2571831	2.23	0.54	1.6	-0.1863169	-3.3503415	-0.030635	0.0038	-0.028771831	0.134202	-0.032	-3.58
8/31/1999	1999.58333	1.3075	-1.3885	1.24423321	-1.24	-0.99	3.06	-2.6327332	-0.0721334	-0.009985	0.0039	0.016342332	0.016975	-0.0063	-1.02
9/30/1999	1999.66667	17.6312	-2.6768	-4.9362856	3.25	-3.08	6.49	2.25948563	-3.8065428	-0.022868	0.0039	-0.045462856	0.180212	-0.0286	-3.25
10/29/1999	1999.75	6.0656	5.8149	3.41102448	-6.78	-3.26	5.48	2.40387552	4.61296224	0.062049	0.0039	0.038010245	0.064556	0.0625	5.86
11/30/1999	1999.83333	14.9373	3.3214	1.01886235	7.66	-7.99	5.57	2.30253765	2.17013118	0.036814	0.0036	0.013788624	0.152973	0.0191	1.55
12/31/1999	1999.91667	54.1579	7.9321	5.25333349	6.82	-9.19	13.2	2.67876651	6.59271675	0.083721	0.0044	0.056933335	0.545979	0.0578	5.34
1/31/2000	2000	-11.5601	-4.3688	-5.2511254	4.39	0.23	1.9	0.88232543	-4.8099627	-0.039588	0.0041	-0.048411254	-0.111501	-0.050904	-5.5004
2/29/2000	2000.08333	23.483	2.7544	-7.8539548	22.06	-12.87	18.4	10.6083548	-2.5497774	0.031844	0.0043	-0.074239548	0.23913	-0.020108	-2.4408
3/31/2000	2000.16667	-11.0418	4.8823	7.36556191	-16.62	7.91	-6.85	-2.4832619	6.12393095	0.053523	0.0047	0.078355619	-0.105718	0.09672	9.202
4/28/2000	2000.25	-19.9156	-6.4066	-2.1814006	-7.64	9.26	-8.47	-4.2251994	-4.2940003	-0.059466	0.0046	-0.017214006	-0.194556	-0.030796	-3.5396
5/31/2000	2000.33333	-19.669	-4.4047	-2.4711363	-4.66	3.8	-9.1	-1.9335637	-3.4379182	-0.039047	0.005	-0.019711363	-0.19169	-0.021915	-2.6915
6/30/2000	2000.41667	3.027	4.764	-1.1074479	13.74	-9.92	16.55	5.87144788	1.82827606	0.05164	0.004	-0.007074479	0.03427	0.023934	1.9934
7/31/2000	2000.5	-0.8776	-2.1906	0.2291384	-2.79	8.45	-0.08	-2.4197384	-0.9807308	-0.017106	0.0048	0.007091384	-0.003976	-0.016341	-2.1141
8/31/2000	2000.58333	21.1234	7.0811	6.08735333	-0.9	-1.29	5.77	0.99374667	6.58422667	0.075811	0.005	0.065873533	0.216234	0.060699	5.5699
9/29/2000	2000.66667	-12.0747	-5.6238	-5.5405392	-1.84	6.87	2.18	-0.0832608	-5.5821696	-0.051138	0.0051	-0.050305392	-0.115647	-0.053483	-5.8583
10/31/2000	2000.75	-18.3309	-3.0157	2.44650085	-3.63	4.8	-4.7	-5.4622008	-0.2845996	-0.024557	0.0056	0.030065009	-0.177709	-0.004949	-1.0549
11/30/2000	2000.83333	-10.751	-10.7634	-5.5837663	-3.07	12.39	-2.49	-5.1796337	-8.1735831	-0.102534	0.0051	-0.050737663	-0.10241	-0.080069	-8.5169
12/29/2000	2000.91667	-7.2114	1.5299	3.0863494	1.59	6.13	6.83	-1.5564494	2.3081247	0.020299	0.005	0.035863494	-0.067114	0.004053	-0.0947
1/31/2001	2001	5.2873	3.4124	0.38111691	6.98	-5.67	-25.01	3.03128309	1.89675845	0.039524	0.0054	0.009211169	0.058273	0.034637	2.9237
2/28/2001	2001.08333	-3.1636	-10.3167	-3.9912403	-1.14	13.88	12.56	-6.3254597	-7.1539702	-0.099267	0.0039	-0.036012403	-0.027736	-0.092291	-9.6191
3/30/2001	2001.16667	0.718	-7.4686	-6.3140691	0.53	6.37	8.4	-1.1545309	-6.8913346	-0.070286	0.0044	-0.058740691	0.01158	-0.064205	-6.8605
4/30/2001	2001.25	5.7	8.0011	8.2769609	0.28	-4.39	-8.12	-0.2758609	8.13903045	0.083911	0.0039	0.086669609	0.0609	0.076814	7.2914
5/31/2001	2001.33333	1.5717	0.7366	1.32853744	3.01	2.82	2.13	-0.5919374	1.03256872	0.010566	0.0032	0.016485374	0.018917	0.00509	0.189
6/29/2001	2001.41667	-16.029	-2.0274	-4.0331365	6.39	-2.11	0.3	2.00573647	-3.0302682	-0.017474	0.0028	-0.037531365	-0.15749	-0.025004	-2.7804
7/31/2001	2001.5	-25.0416	-2.1316	-0.1056635	-4.18	5.61	5.58	-2.0259365	-1.1186317	-0.018316	0.003	0.001943365	-0.247416	-0.010772	-1.3772
8/31/2001	2001.58333	-9.6396	-6.2195	-5.7558838	2.18	3.32	5.61	-0.4636162	-5.9876919	-0.059095	0.0031	-0.054458838	-0.093296	-0.064108	-6.7208
9/28/2001	2001.66667	-26.1096	-9.4343	-11.357565	-6.53	1.63	11.54	1.92326476	-10.395932	-0.091543	0.0028	-0.110775648	-0.258296	-0.081723	-8.4523
10/31/2001	2001.75	14.8402	2.577	2.3522346	6.83	-6.99	-8.42	0.2247654	2.4646173	0.02797	0.0022	0.025722346	0.150602	0.018099	1.5899
11/30/2001	2001.83333	24.6991	7.7035	8.3854603	0.39	0.82	-8.62	-0.6819603	8.04448015	0.078735	0.0017	0.085554603	0.248691	0.075176	7.3476
12/31/2001	2001.91667	-5.6007	1.6344	1.57571654	5.12	0.39	0.01	0.05868346	1.60505827	0.017844	0.0015	0.017257165	-0.054507	0.007574	0.6074
1/31/2002	2002	-0.8939	-1.7446	-1.1535139	1.15	3.46	3.73	-0.5910861	-1.4490569	-0.016046	0.0014	-0.010135139	-0.007539	-0.015574	-1.6974
2/28/2002	2002.08333	3.0872	-2.3013	1.74631048	-1.67	3.92	6.81	-4.0476105	-0.2774948	-0.021713	0.0013	0.018763105	0.032172	-0.020766	-2.2066
3/28/2002	2002.16667	11.9933	4.3388	2.81682534	4.34	1.14	-1.68	1.52197466	3.57781267	0.044688	0.0013	0.029468253	0.121233	0.036739	3.5439
4/30/2002	2002.25	4.6856	-5.1154	-4.5494871	5.84	4.21	7.92	-0.5659129	-4.8324436	-0.049654	0.0015	-0.043994871	0.048356	-0.061418	-6.2918
5/31/2002	2002.33333	7.074	-1.1878	-0.3508339	-3.68	2.46	3.05	-0.8369661	-0.7693169	-0.010478	0.0014	-0.002108339	0.07214	-0.009081	-1.0481
6/28/2002	2002.41667	-8.7516	-7.1551	-7.0012627	3.55	1.47	6.19	-0.1538373	-7.0781813	-0.070251	0.0013	-0.068712627	-0.086216	-0.072465	-7.3765
7/31/2002	2002.5	-14.7828	-8.2635	-5.6315076	-5.16	-3.65	3.4	-2.6319924	-6.9475038	-0.081135	0.0015	-0.054815076	-0.146328	-0.078995	-8.0495
8/30/2002	2002.58333	-4.155	0.6565	-0.9765964	-2.19	2.17	1.73	1.63309643	-0.1600482	0.007965	0.0014	-0.008365964	-0.04015	0.004881	0.3481
9/30/2002	2002.66667	-5.4447	-10.1365	-12.508789	2.69	1.16	9.14	2.3722886	-11.322644	-0.099965	0.0014	-0.123687886	-0.053047	-0.110013	-11.1413
10/31/2002	2002.75	5.0668	7.3526	10.4646816	-3.01	-6.51	-5.49	-3.1120816	8.90864078	0.074926	0.0014	0.106046816	0.052068	0.086436	8.5036
11/29/2002	2002.83333	2.4471	6.0075	5.82329185	3.18	-1.54	-16.31	0.18420815	5.91539593	0.061275	0.0012	0.059432919	0.025671	0.05707	5.587
12/31/2002	2002.91667	-6.9646	-5.4416	-6.3426258	-0.52	3.86	9.65	0.90102579	-5.8921129	-0.053316	0.0011	-0.062326258	-0.068546	-0.060333	-6.1433
1/31/2003	2003	-3.3922	-2.4392	-3.5504048	1.4	-0.9	1.56	1.11120478	-2.9948024	-0.023392	0.001	-0.034504048	-0.032922	-0.027415	-2.8415
2/28/2003	2003.08333	-5.0462	-1.629	-2.1105344	-0.27	-1.46	1.22	0.48153438	-1.8697672	-0.01539	0.0009	-0.020205344	-0.049562	-0.017004	-1.7904
3/31/2003	2003.16667	-7.302	0.9325	1.18055982	0.83	-1.73	1.51	-0.2480598	1.05652991	0.010325	0.001	0.012805598	-0.07202	0.008358	0.7358
4/30/2003	2003.25	-29.6759	8.1762	6.00550629	1.11	-0.02	-9.44	2.17069371	7.09085315	0.082762	0.001	0.061055063	-0.295759	0.081044	8.0044
5/30/2003	2003.33333	10.4193	6.2571	4.27516594	4.69	0.16	-10.77	1.98193406	5.26613297	0.063471	0.0009	0.043651659	0.105093	0.050899	4.9999
6/30/2003	2003.41667	2.314	1.5335	1.42741275	1.48	0.66	-0.97	0.10608725	1.48045638	0.016335	0.001	0.015274128	0.02414	0.011322	1.0322
7/31/2003	2003.5	11.3586	2.2412	2.69402714	5.62	-2.08	-0.29	-0.4528271	2.46761357	0.023112	0.0007	0.027640271	0.114286	0.016224	1.5524
8/29/2003	2003.58333	5.539	2.4266	1.90123611	2.65	1.79	-0.54	0.52536389	2.16391806	0.024966	0.0007	0.019712361	0.05609	0.017873	1.7173
9/30/2003	2003.66667	5.8596	-0.9912	-1.5749309	0.57	0.92	-0.07	0.58373087	-1.2830654	-0.009112	0.0008	-0.014949309	0.059396	-0.011944	-1.2744
10/31/2003	2003.75	1.0794	5.9618	5.60176924	2.87	1.84	3.88	0.36003076	5.78178462	0.060318	0.0007	0.056717692	0.011494	0.054962	5.4262
11/28/2003	2003.83333	-2.4848	1.5894	-0.2603864	2.2	1.46	1.59	1.8497864	0.6645068	0.016594	0.0007	-0.001903864	-0.024148	0.007129	0.6429
12/31/2003	2003.91667	0.8516	4.4728	6.78391766	-2.78	2.64	-5.69	-2.3111177	5.62835883	0.045528	0.0008	0.068639177	0.009316	0.050765	4.9965
1/30/2004	2004	17.1784	2.2348	0.25667172	2.61	1.66	2.58	1.97812828	1.24573586	0.023048	0.0007	0.003266717	0.172484	0.017276	1.6576
2/27/2004	2004.08333	0.6534	1.4859	0.8538955	-1.15	0.34	-1.13	0.6320045	1.16989775	0.015459	0.0006	0.009138955	0.007134	0.012209	1.1609
3/31/2004	2004.16667	2.3113	-1.1594	-2.2273933	1.87	-0.01	0.19	1.06799333	-1.6933967	-0.010694	0.0009	-0.021373933	0.024013	-0.016359	-1.7259
4/30/2004	2004.25	-8.2359	-2.5031	-1.3556693	-2.56	-1.7	-5.38	-1.1474307	-1.9293847	-0.024231	0.0008	-0.012756693	-0.081559	-0.016791	-1.7591
5/28/2004	2004.33333	-4.0444	1.3525	-0.4230115	-0.15	-0.26	1.65	1.77551155	0.46474423	0.014125	0.0006	-0.003630115	-0.039844	0.012083	1.1483
6/30/2004	2004.41667	3.1204	2.0782	2.34460826	2.28	1.68	2.08	-0.2664083	2.21140413	0.021582	0.0008	0.024246083	0.032004	0.017989	1.7189
7/30/2004	2004.5	-9.0356	-3.8667	-2.9342731	-3.82	4.39	-2.31	-0.9324269	-3.4004865	-0.037667	0.001	-0.028342731	-0.089356	-0.034291	-3.5291
8/31/2004	2004.58333	-0.0523	0.1613	0.22738637	-1.54	1.12	-1.52	-0.0660864	0.19434319	0.002713	0.0011	0.003373864	0.000577	0.002287	0.1187
9/30/2004	2004.66667	-0.5889	1.9446	-1.0304908	2.85	0.34	5.26	2.97509082	0.45705459	0.020546	0.0011	-0.009204908	-0.004789	0.009364	0.8264
10/29/2004	2004.75	1.2276	1.6705	-0.6337955	0.42	-0.89	-1.5	2.30429549	0.51835225	0.017805	0.0011	-0.005237955	0.013376	0.014014	1.2914
11/30/2004	2004.83333	4.1829	4.671	3.84452703	4.11	1.91	3.22	0.82647297	4.25776352	0.04821	0.0015	0.03994527	0.043329	0.038595	3.7095
12/31/2004	2004.91667	6.9907	3.3579	3.2441937	0.19	-0.36	-2.83	0.1137063	3.30104685	0.035179	0.0016	0.034041937	0.071507	0.032458	3.0858
1/31/2005	2005	-5.1395	-2.8156	-2.8778867	-1.62	2.49	3.12	0.06228675	-2.8467434	-0.026556	0.0016	-0.027178867	-0.049795	-0.02529	-2.689
2/28/2005	2005.08333	1.92	2.1072	2.47385682	-0.75	2.78	3.24	-0.3666568	2.29052841	0.022672	0.0016	0.026338568	0.0208	0.018903	1.7303
3/31/2005	2005.16667	6.0075	-1.9035	-2.6479007	-1.3	1.66	0.92	0.74440073	-2.2757004	-0.016935	0.0021	-0.024379007	0.062175	-0.019118	-2.1218
4/29/2005	2005.25	-8.4809	-2.7286	-3.1732246	-3.96	-0.48	-0.83	0.4446246	-2.9509123	-0.025186	0.0021	-0.029632246	-0.082709	-0.020109	-2.2209
5/31/2005	2005.33333	1.2855	3.5555	2.45776532	2.95	-1.16	0.43	1.09773468	3.00663266	0.037955	0.0024	0.026977653	0.015255	0.029952	2.7552
6/30/2005	2005.41667	-7.8232	0.9234	-2.0691246	2.57	2.75	2.06	2.9925246	-0.5728623	0.011534	0.0023	-0.018391246	-0.075932	-0.000143	-0.2443
7/29/2005	2005.5	-5.844	4.0927	3.32147025	2.76	-0.46	0.04	0.77122975	3.70708513	0.043327	0.0024	0.035614703	-0.05604	0.035968	3.3568
8/31/2005	2005.58333	3.1143	-0.8946	-1.7971464	-0.89	1.42	2.21	0.90254639	-1.3458732	-0.005946	0.003	-0.014971464	0.034143	-0.011222	-1.4222
9/30/2005	2005.66667	-1.233	0.7665	0.54098	-0.63	1.17	3.47	0.22552	0.65374	0.010565	0.0029	0.0083098	-0.00943	0.006949	0.4049
10/31/2005	2005.75	-1.4451	-2.3501	-1.4870844	-1.04	-0.7	-1.29	-0.8630156	-1.9185922	-0.020801	0.0027	-0.012170844	-0.011751	-0.017741	-2.0441
11/30/2005	2005.83333	12.5254	3.7285	3.19380792	1	-1.81	0.37	0.53469208	3.46115396	0.040385	0.0031	0.035038079	0.128354	0.035186	3.2086
12/30/2005	2005.91667	9.9205	0.0255	-1.1377963	-0.48	0.48	0.76	1.16329625	-0.5561481	0.003455	0.0032	-0.008177963	0.102405	-0.000952	-0.4152
1/31/2006	2006	19.5029	3.6533	1.02494752	5.39	1.14	2.75	2.62835248	2.33912376	0.040033	0.0035	0.013749475	0.198529	0.025467	2.1967
2/28/2006	2006.08333	-4.4709	-0.504	0.84317217	-0.36	-0.83	-1.8	-1.3471722	0.16958609	-0.00164	0.0034	0.011831722	-0.041309	0.000453	-0.2947
3/31/2006	2006.16667	-1.8706	1.5355	0.68435893	3.54	-0.07	1.23	0.85114107	1.10992946	0.019055	0.0037	0.010543589	-0.015006	0.011065	0.7365
4/28/2006	2006.25	5.8696	0.9362	1.96075411	-1.23	3.08	0.66	-1.0245541	1.44847705	0.012962	0.0036	0.023207541	0.062296	0.012187	0.8587
5/31/2006	2006.33333	-8.1333	-3.5348	-2.1791647	-2.99	2.78	-3.72	-1.3556353	-2.8569823	-0.031048	0.0043	-0.017491647	-0.077033	-0.030917	-3.5217
6/30/2006	2006.41667	-2.9017	-0.4408	-0.5619762	-0.49	1.5	1.48	0.12117616	-0.5013881	-0.000408	0.004	-0.001619762	-0.025017	0.000087	-0.3913
7/31/2006	2006.5	4.0278	-0.5904	-0.0819794	-3.94	3.3	-2.18	-0.5084206	-0.3361897	-0.001904	0.004	0.003180206	0.044278	0.005086	0.1086
8/31/2006	2006.58333	-6.0299	2.0861	1.32750216	0.81	-1.73	-3.46	0.75859784	1.70680108	0.025061	0.0042	0.017475022	-0.056099	0.021274	1.7074
9/29/2006	2006.66667	-7.1905	1.5324	2.20766166	-1.21	-0.43	-0.94	-0.6752617	1.87003083	0.019424	0.0041	0.026176617	-0.067805	0.024566	2.0466
10/31/2006	2006.75	1.1262	3.3026	3.0291437	1.65	0.48	-0.23	0.2734563	3.16587185	0.037126	0.0041	0.034391437	0.015362	0.031508	2.7408
11/30/2006	2006.83333	-4.2511	1.9505	0.74880354	0.73	0.51	-1.01	1.20169646	1.34965177	0.023705	0.0042	0.011688035	-0.038311	0.016467	1.2267
12/29/2006	2006.91667	8.278	0.6833	1.57366537	-0.89	2.54	0.83	-0.8903654	1.12848269	0.010833	0.004	0.019736654	0.08678	0.012616	0.8616
1/31/2007	2007	7.7318	1.5028	0.83207006	0.06	-0.1	0.26	0.67072994	1.16743503	0.019428	0.0044	0.012720701	0.081718	0.014059	0.9659
2/28/2007	2007.08333	11.2755	-1.7757	-3.1772482	1.43	0.24	-1.32	1.40154823	-2.4764741	-0.013957	0.0038	-0.027972482	0.116555	-0.021846	-2.5646
3/30/2007	2007.16667	-2.6212	0.8649	0.26869252	-0.23	0.43	2.49	0.59620748	0.56679626	0.012949	0.0043	0.006986925	-0.021912	0.00998	0.568
4/30/2007	2007.25	5.0462	3.5421	5.29530781	-2.09	-0.96	-0.17	-1.7532078	4.4187039	0.039821	0.0044	0.057353078	0.054862	0.043291	3.8891
5/31/2007	2007.33333	7.9265	3.4832	3.91315617	-0.06	-0.09	-0.32	-0.4299562	3.69817809	0.038932	0.0041	0.043231562	0.083365	0.032549	2.8449
6/29/2007	2007.41667	-11.3705	-1.8756	-2.0071748	0.67	-1.03	0.25	0.13157483	-1.9413874	-0.014756	0.004	-0.016071748	-0.109705	-0.017816	-2.1816
7/31/2007	2007.5	2.2669	-3.5756	-1.8664447	-2.7	-2.93	2.79	-1.7091553	-2.7210224	-0.031756	0.004	-0.014664447	0.026669	-0.031982	-3.5982
8/31/2007	2007.58333	-9.8246	0.7456	0.68316463	-0.14	-2.37	0.11	0.06243537	0.71438231	0.011656	0.0042	0.011031646	-0.094046	0.012864	0.8664
9/28/2007	2007.66667	0.4919	3.766	3.70680394	-2.47	-2.13	4.61	0.05919606	3.73640197	0.04086	0.0032	0.040268039	0.008119	0.035794	3.2594
10/31/2007	2007.75	2.593	2.2635	-0.0725841	0.09	-1.92	4.89	2.33608409	1.09545796	0.025835	0.0032	0.002474159	0.02913	0.014822	1.1622
11/30/2007	2007.83333	8.7785	-5.2622	-4.347822	-2.73	-1.02	0.89	-0.914378	-4.805011	-0.049222	0.0034	-0.04007822	0.091185	-0.044043	-4.7443
12/31/2007	2007.91667	0.3414	-0.7119	-1.0694484	0.07	-0.05	6.51	0.35754839	-0.8906742	-0.004419	0.0027	-0.007994484	0.006114	-0.008628	-1.1328
