Time	Date	Year	Quarter	D(1)	D(2)	D(3)	Revenue	Cost of Goods Sold	Gross Profit (million)	Pct Change (year over year)	Lag Pct Change	Lag 2 Pct Change	Lag 3 Pct Change	Lag 4 Pct Change	Lag 5 Pct Change	Log Gross Profit	Segment
2004.5	20040831	2004	3	0	0	1	$6,081.00 	$4,508.00 	$1,573.00 	7.666	10.64	17.02937976	2.784048157	19.2653061	10.745234	7.360739903	2.5
2004.75	20041130	2004	4	0	0	0	$6,646.00 	$4,997.00 	$1,649.00 	20.717	7.67	10.64162754	17.02937976	2.78404816	19.2653061	7.407924323	2.75
2005	20050228	2005	1	1	0	0	$9,227.00 	$6,909.00 	$2,318.00 	7.764	20.72	7.665982204	10.64162754	17.0293798	2.78404816	7.748460024	3
2005.25	20050531	2005	2	0	1	0	$6,118.00 	$4,451.00 	$1,667.00 	17.893	7.76	20.71742313	7.665982204	10.6416275	17.0293798	7.418780883	3.25
2005.5	20050831	2005	3	0	0	1	$6,702.00 	$4,878.00 	$1,824.00 	15.957	17.89	7.763830776	20.71742313	7.6659822	10.6416275	7.508787171	3.5
2005.75	20051130	2005	4	0	0	0	$7,335.00 	$5,436.00 	$1,899.00 	15.161	15.96	17.89250354	7.763830776	20.7174231	7.6659822	7.549082711	3.75
2006	20060228	2006	1	1	0	0	$10,693.00 	$7,901.00 	$2,792.00 	20.449	15.16	15.9567705	17.89250354	7.76383078	20.7174231	7.934513464	4
2006.25	20060531	2006	2	0	1	0	$6,959.00 	$5,073.00 	$1,886.00 	13.137	20.45	15.16070346	15.9567705	17.8925035	7.76383078	7.542213463	4.25
2006.5	20060831	2006	3	0	0	1	$7,603.00 	$5,576.00 	$2,027.00 	11.129	13.14	20.44866264	15.16070346	15.9567705	17.8925035	7.614312147	4.5
2006.75	20061130	2006	4	0	0	0	$8,473.00 	$6,355.00 	$2,118.00 	11.532	11.13	13.13737253	20.44866264	15.1607035	15.9567705	7.658227526	4.75
2007	20070228	2007	1	1	0	0	$12,899.00 	$9,652.00 	$3,247.00 	16.297	11.53	11.12938597	13.13737253	20.4486626	15.1607035	8.085486772	5
2007.25	20070531	2007	2	0	1	0	$7,927.00 	$5,900.00 	$2,027.00 	7.476	16.3	11.53238547	11.12938597	13.1373725	20.4486626	7.614312147	5.25
2007.5	20070831	2007	3	0	0	1	$8,750.00 	$6,467.00 	$2,283.00 	12.63	7.48	16.29656161	11.53238547	11.129386	13.1373725	7.733245647	5.5
2007.75	20071130	2007	4	0	0	0	$9,928.00 	$7,451.00 	$2,477.00 	16.95	12.63	7.476139979	16.29656161	11.5323855	11.129386	7.81480343	5.75
2008	20080229	2008	1	1	0	0	$13,418.00 	$10,079.00 	$3,339.00 	2.833	16.95	12.62950173	7.476139979	16.2965616	11.5323855	8.11342664	6
2008.25	20080531	2008	2	0	1	0	$8,990.00 	$6,704.00 	$2,286.00 	12.778	2.83	16.94995279	12.62950173	7.47613998	16.2965616	7.734558844	6.25
2008.5	20080831	2008	3	0	0	1	$9,801.00 	$7,260.00 	$2,541.00 	11.301	12.78	2.833384663	16.94995279	12.6295017	7.47613998	7.840312983	6.5
2008.75	20081130	2008	4	0	0	0	$11,500.00 	$8,390.00 	$3,110.00 	25.555	11.3	12.7775037	2.833384663	16.9499528	12.6295017	8.042378005	6.75
2009	20090228	2009	1	1	0	0	$14,724.00 	$10,870.00 	$3,854.00 	15.424	25.56	11.30091984	12.7775037	2.83338466	16.9499528	8.256866849	7
2009.25	20090531	2009	2	0	1	0	$10,095.00 	$7,321.00 	$2,774.00 	21.347	15.42	25.55510698	11.30091984	12.7775037	2.83338466	7.928045601	7.25
2009.5	20090831	2009	3	0	0	1	$11,022.00 	$8,106.00 	$2,916.00 	14.758	21.35	15.42377958	25.55510698	11.3009198	12.7775037	7.977968093	7.5
2009.75	20091130	2009	4	0	0	0	$12,024.00 	$8,851.00 	$3,173.00 	2.026	14.76	21.34733158	15.42377958	25.555107	11.3009198	8.062432792	7.75
2010	20100228	2010	1	1	0	0	$16,553.00 	$12,330.00 	$4,223.00 	9.574	2.03	14.7579693	21.34733158	15.4237796	25.555107	8.348301055	8
2010.25	20100531	2010	2	0	1	0	$10,787.00 	$7,751.00 	$3,036.00 	9.445	9.57	2.025723473	14.7579693	21.3473316	15.4237796	8.018296139	8.25
2010.5	20100831	2010	3	0	0	1	$11,339.00 	$8,183.00 	$3,156.00 	8.23	9.44	9.574468085	2.025723473	14.7579693	21.3473316	8.057060682	8.5
2010.75	20101130	2010	4	0	0	0	$11,890.00 	$8,657.00 	$3,233.00 	1.891	8.23	9.444844989	9.574468085	2.02572347	14.7579693	8.081165778	8.75
2011	20110228	2011	1	1	0	0	$16,256.00 	$12,042.00 	$4,214.00 	-0.213	1.89	8.230452675	9.444844989	9.57446809	2.02572347	8.346167594	9
2011.25	20110531	2011	2	0	1	0	$10,940.00 	$7,936.00 	$3,004.00 	-1.054	-0.21	1.890954932	8.230452675	9.44484499	9.57446809	8.007700013	9.25
2011.5	20110831	2011	3	0	0	1	$11,347.00 	$8,236.00 	$3,111.00 	-1.426	-1.05	-0.213118636	1.890954932	8.23045267	9.44484499	8.042699497	9.5
2011.75	20111130	2011	4	0	0	0	$11,788.00 	$8,681.00 	$3,107.00 	-3.897	-1.43	-1.054018445	-0.213118636	1.89095493	8.23045267	8.041412909	9.75
2012	20120228	2012	1	1	0	0	$16,630.00 	$12,315.00 	$4,315.00 	2.397	-3.9	-1.425855513	-1.054018445	-0.2131186	1.89095493	8.369852604	10
2012.25	20120531	2012	2	0	1	0					2.4	-3.897309001	-1.425855513	-1.0540184	-0.2131186		10.25
2012.5	20120831	2012	3	0	0	1						2.396772663	-3.897309001	-1.4258555	-1.0540184		10.5
2012.75	20121130	2012	4	0	0	0							2.396772663	-3.897309	-1.4258555		10.75
