Site	Region	Type of Location	Specialty	Sex of Physician	MD Age	Years of Experience	Journal Subscriber	Attend Conference	Direct to Consumer	Hospital Affliations	Practice Size	Patient Visits	Details Nosorr	Details Paenex	Details Other	Minutes Nosorr	Samples Nosorr	Samples Paenex	Samples Other	nrx.nosorr	nrx.paenex	nrx.other	therapy.days.nosorr	therapy.days.paenex	therapy.days.other	NRx/Visit
Warwick	w	urban	RH	female	36	10	No	Yes	0.58	6	2	113	2	1	3	6	21	16	21	46	51	92	915	1031	1733	0.40707965
Gary	c	urban	PD	female	41	17	No	No	2.13	5	1	15	3	2	1	11	57	52	2	2	3	3	10	28	24	0.13333333
Gary	c	urban	RH	male	43	22	No	No	2.13	2	4	145	2	3	3	15	36	39	15	47	105	86	913	1979	1521	0.32413793
Gary	c	rural	GP	male	52	25	Yes	No	2.13	5	1	58	3	1	2	21	46	7	17	20	27	27	180	263	235	0.34482759
Gary	c	rural	PD	male	49	28	No	No	2.13	1	2	34	1	1	1	9	10	28	1	8	10	10	51	57	63	0.23529412
Gary	c	rural	GP	male	43	18	No	Yes	2.13	7	2	61	5	1	1	41	73	4	10	32	30	20	279	293	199	0.52459016
Gary	c	rural	RH	female	52	25	No	No	2.13	3	2	109	1	2	2	6	24	33	16	40	71	79	785	1186	1515	0.36697248
Gary	c	rural	GP	male	41	16	No	No	2.13	0	2	65	3	1	2	11	64	26	24	19	31	35	176	266	394	0.29230769
Gary	c	urban	RH	female	34	8	No	Yes	2.13	3	5	130	3	2	3	19	32	30	33	56	69	82	1125	1336	1564	0.43076923
Gary	c	rural	GP	female	56	31	Yes	No	2.13	1	1	33	3	1	2	16	55	22	22	10	16	11	101	142	97	0.3030303
Gary	c	urban	PD	male	54	32	Yes	No	2.13	2	1	11	1	1	1	11	6	7	1	4	2	5	12	10	19	0.36363636
Gary	c	rural	RH	male	42	19	No	No	2.13	3	2	126	3	1	2	31	45	24	14	51	74	72	1104	1397	1351	0.4047619
Gary	c	urban	PD	male	47	21	Yes	Yes	2.13	5	1	7	2	1	1	17	32	17	12	3	1	2	13	3	10	0.42857143
Gary	c	rural	RH	male	58	32	No	No	2.13	2	1	83	2	2	1	13	22	32	5	39	55	56	762	928	937	0.46987952
Gary	c	rural	GP	female	45	19	No	No	2.13	0	1	62	5	1	1	40	94	31	4	24	22	26	187	233	272	0.38709677
Gary	c	urban	PD	male	45	20	Yes	Yes	2.13	7	4	18	1	1	1	5	37	22	30	5	4	7	26	28	54	0.27777778
Gary	c	rural	RH	male	40	13	No	No	2.13	0	1	122	4	1	1	23	64	14	12	69	78	77	1187	1375	1517	0.56557377
Gary	c	urban	RH	male	31	6	Yes	Yes	2.13	3	2	74	4	2	1	32	37	14	12	36	43	43	665	818	767	0.48648649
Gary	c	urban	GP	male	29	2	Yes	Yes	2.13	6	2	90	3	1	2	20	48	34	14	41	44	48	364	399	485	0.45555556
North Charleston	e	rural	PD	male	50	19	No	No	0.65	0	5	66	3	1	1	11	58	12	5	9	20	31	64	115	184	0.13636364
North Charleston	e	rural	RH	female	46	25	No	No	0.65	1	3	220	4	1	4	21	83	15	46	46	123	188	940	2437	3549	0.20909091
North Charleston	e	urban	RH	male	43	17	Yes	No	0.65	3	5	268	7	3	5	56	139	38	61	50	154	201	1035	2941	3917	0.18656716
North Charleston	e	urban	PD	male	50	24	No	No	0.65	4	4	60	2	1	4	9	15	5	45	3	10	30	9	53	184	0.05
North Charleston	e	urban	RH	male	53	32	Yes	Yes	0.65	6	6	250	6	4	7	31	86	63	45	25	169	196	482	3060	3705	0.1
North Charleston	e	urban	GP	male	48	18	Yes	Yes	0.65	7	3	89	5	3	5	29	84	48	48	12	42	44	122	351	371	0.13483146
North Charleston	e	rural	GP	male	57	29	No	No	0.65	1	4	102	4	2	2	16	72	43	5	17	72	49	166	692	411	0.16666667
North Charleston	e	urban	PD	male	49	26	Yes	No	0.65	3	2	32	3	1	1	8	47	68	5	2	12	17	10	70	119	0.0625
North Charleston	e	rural	PD	male	59	39	No	No	0.65	1	5	61	5	1	1	36	103	32	1	12	23	21	70	147	131	0.19672131
North Charleston	e	urban	PD	male	46	21	Yes	No	0.65	5	4	48	2	2	1	24	38	22	6	5	20	9	48	102	46	0.10416667
North Charleston	e	urban	GP	male	48	24	No	Yes	0.65	3	8	194	8	1	3	35	158	13	36	31	67	119	313	541	1148	0.15979381
North Charleston	e	urban	GP	male	52	28	No	No	0.65	5	7	181	7	3	2	52	143	47	9	25	116	69	214	1092	665	0.13812155
North Charleston	e	urban	GP	male	52	27	No	No	0.65	1	5	206	5	3	4	27	92	49	43	45	111	112	384	958	1029	0.2184466
North Charleston	e	urban	GP	male	47	21	No	No	0.65	5	3	108	2	6	2	2	15	74	11	15	76	37	127	671	351	0.13888889
North Charleston	e	urban	GP	male	39	12	Yes	Yes	0.65	7	3	84	5	2	2	27	78	15	5	14	52	49	128	485	465	0.16666667
North Charleston	e	urban	GP	female	55	30	Yes	Yes	0.65	6	4	183	7	2	6	31	79	8	45	14	75	118	111	684	1048	0.07650273
North Charleston	e	rural	PD	female	57	32	No	No	0.65	1	2	32	2	2	1	19	43	29	5	2	8	10	10	50	71	0.0625
North Charleston	e	urban	RH	male	49	27	No	No	0.65	4	5	315	8	2	7	42	115	31	49	46	165	280	876	3275	5225	0.14603175
North Charleston	e	urban	PD	male	43	16	Yes	No	0.65	2	4	67	1	1	2	5	27	12	21	2	18	30	10	99	184	0.02985075
High Point	e	urban	RH	male	40	15	No	No	0.94	0	5	291	12	3	4	53	165	50	27	58	203	194	1059	3841	3771	0.19931271
High Point	e	urban	GP	female	41	16	No	No	0.94	0	3	169	4	2	2	16	74	25	16	32	102	79	294	911	703	0.18934911
High Point	e	urban	GP	male	41	16	No	No	0.94	5	3	150	4	5	2	27	61	88	16	27	96	57	260	790	547	0.18
High Point	e	rural	PD	male	51	25	No	No	0.94	2	4	65	2	2	1	6	42	11	1	10	19	20	56	115	105	0.15384615
High Point	e	urban	GP	male	34	5	Yes	Yes	0.94	7	5	123	6	3	4	43	120	46	21	29	69	67	263	642	668	0.23577236
High Point	e	urban	GP	male	46	20	Yes	Yes	0.94	6	4	183	5	2	3	52	93	45	18	43	98	92	428	841	907	0.23497268
High Point	e	urban	GP	female	45	20	Yes	Yes	0.94	7	4	129	6	1	2	63	125	13	16	30	67	83	285	523	749	0.23255814
High Point	e	urban	GP	male	51	30	Yes	No	0.94	4	6	167	5	2	3	25	64	49	38	28	80	72	217	699	667	0.16766467
High Point	e	urban	RH	male	47	19	Yes	No	0.94	3	9	254	5	2	4	36	86	48	31	71	181	178	1321	3670	3392	0.27952756
High Point	e	urban	GP	female	41	13	No	No	0.94	0	6	113	5	3	3	21	82	40	28	20	56	56	172	525	505	0.17699115
High Point	e	rural	RH	female	49	27	Yes	No	0.94	3	4	222	16	3	4	101	210	53	37	64	159	172	1166	2925	3429	0.28828829
High Point	e	urban	GP	male	47	22	Yes	Yes	0.94	7	8	196	6	3	5	29	68	70	43	36	106	115	322	952	996	0.18367347
High Point	e	urban	PD	male	40	20	No	Yes	0.94	4	7	134	4	3	3	12	62	24	10	12	40	50	67	225	276	0.08955224
High Point	e	rural	RH	male	52	32	No	No	0.94	1	1	239	5	5	4	33	46	108	30	52	198	147	1003	3894	2757	0.21757322
High Point	e	urban	PD	male	52	23	Yes	Yes	0.94	7	4	53	2	1	2	15	29	18	4	5	15	25	26	90	154	0.09433962
High Point	e	urban	RH	female	35	10	Yes	Yes	0.94	4	5	270	7	3	2	46	96	52	20	47	209	152	952	4322	3003	0.17407407
High Point	e	urban	PD	female	38	14	Yes	Yes	0.94	1	2	47	3	2	1	22	47	17	4	5	13	14	30	80	83	0.10638298
High Point	e	urban	GP	female	41	15	No	No	0.94	7	3	118	9	4	2	29	140	33	13	26	83	51	244	719	458	0.22033898
High Point	e	rural	PD	female	47	22	No	No	0.94	1	3	27	1	1	1	10	16	6	33	1	6	9	7	37	50	0.03703704
Albany	e	urban	PD	male	49	25	No	No	0.61	6	7	103	2	1	2	10	16	12	30	7	27	42	62	167	262	0.06796117
Albany	e	urban	GP	female	41	19	Yes	No	0.61	4	5	111	3	3	3	17	68	72	32	16	59	63	148	493	529	0.14414414
Albany	e	rural	RH	female	59	35	Yes	No	0.61	5	5	301	10	4	9	74	186	96	68	45	182	252	763	3381	4693	0.14950166
Albany	e	rural	GP	female	50	25	No	No	0.61	0	2	126	6	2	2	50	134	34	30	20	70	53	209	616	492	0.15873016
Albany	e	urban	GP	male	41	18	Yes	Yes	0.61	2	5	192	9	2	3	57	137	38	12	28	103	95	245	1022	860	0.14583333
Albany	e	urban	PD	female	38	13	No	No	0.61	0	6	103	4	2	1	31	66	15	9	14	32	32	61	223	153	0.13592233
Albany	e	urban	PD	male	43	15	No	Yes	0.61	5	4	64	3	1	2	23	36	10	7	6	16	27	22	123	149	0.09375
Albany	e	urban	PD	male	48	24	No	No	0.61	3	4	86	2	2	8	11	31	38	65	5	22	41	30	151	218	0.05813953
Albany	e	urban	RH	female	43	23	Yes	Yes	0.61	5	7	316	10	5	3	65	128	90	23	50	278	152	1026	5437	2938	0.15822785
Albany	e	rural	PD	female	61	39	No	No	0.61	0	5	44	4	1	3	32	57	14	25	3	12	18	24	71	126	0.06818182
Albany	e	rural	GP	male	62	34	No	No	0.61	1	4	131	9	1	3	32	142	16	19	23	49	73	247	459	547	0.17557252
Albany	e	rural	GP	male	58	33	No	No	0.61	1	4	149	6	2	2	38	96	25	19	28	78	72	213	696	626	0.18791946
Albany	e	rural	RH	male	58	33	No	No	0.61	3	4	293	7	1	7	45	75	11	75	43	121	274	797	2239	5494	0.14675768
Albany	e	rural	GP	male	61	39	No	No	0.61	2	3	150	6	5	4	37	73	65	34	17	83	79	152	743	733	0.11333333
Albany	e	urban	RH	male	37	13	No	No	0.61	2	7	303	10	2	3	56	164	38	30	77	183	226	1519	3451	4344	0.25412541
Albany	e	urban	PD	female	49	26	Yes	Yes	0.61	7	6	96	2	1	1	6	39	15	6	11	31	33	53	171	179	0.11458333
Albany	e	rural	RH	male	53	30	No	Yes	0.61	2	4	186	5	1	3	37	89	7	40	46	102	156	821	2004	2991	0.24731183
Albany	e	rural	PD	male	59	37	Yes	Yes	0.61	7	2	29	1	1	1	6	22	13	12	4	10	13	23	42	106	0.13793103
Albany	e	urban	RH	male	59	29	No	Yes	0.61	6	6	241	5	3	4	33	55	57	24	44	202	174	761	3821	3050	0.18257261
Albany	e	urban	RH	male	58	33	Yes	No	0.61	0	4	334	6	2	2	32	107	23	22	69	240	248	1304	4363	4710	0.20658683
Gastonia	e	urban	GP	female	50	23	Yes	Yes	0.65	6	4	120	3	1	3	25	21	9	16	21	56	59	175	518	605	0.175
Gastonia	e	urban	RH	female	47	25	No	Yes	0.65	7	3	248	7	4	4	33	98	38	42	42	196	167	907	3666	3290	0.16935484
Gastonia	e	rural	RH	male	60	33	Yes	Yes	0.65	5	5	322	10	7	4	80	138	122	15	41	277	146	861	5349	2873	0.12732919
Gastonia	e	urban	PD	male	39	15	No	Yes	0.65	7	5	91	8	1	3	42	84	5	40	10	26	42	68	193	282	0.10989011
Gastonia	e	urban	RH	female	44	17	No	Yes	0.65	1	5	259	10	6	4	48	109	89	25	44	207	136	722	3826	2466	0.16988417
Gastonia	e	urban	PD	female	53	32	Yes	Yes	0.65	7	3	53	5	2	4	22	51	34	21	4	10	25	27	71	171	0.0754717
Gastonia	e	urban	GP	male	40	16	Yes	Yes	0.65	7	3	144	5	4	2	32	126	48	5	21	110	60	216	936	466	0.14583333
Gastonia	e	urban	PD	female	58	37	Yes	No	0.65	6	10	102	5	2	4	26	52	24	69	5	33	56	35	130	335	0.04901961
Gastonia	e	urban	GP	male	47	25	Yes	Yes	0.65	7	7	242	6	3	5	51	73	21	27	27	130	144	267	1179	1256	0.11157025
Gastonia	e	urban	GP	male	38	13	No	No	0.65	2	2	91	5	1	4	47	65	9	29	19	43	64	199	341	619	0.20879121
Gastonia	e	urban	RH	male	47	23	Yes	Yes	0.65	7	10	215	6	2	8	29	109	24	70	41	102	167	774	1988	3212	0.19069767
Gastonia	e	rural	GP	male	51	28	No	No	0.65	2	3	132	2	2	4	12	28	41	17	18	65	86	156	597	690	0.13636364
Gastonia	e	rural	GP	female	45	16	No	No	0.65	2	6	170	4	2	3	34	50	35	14	19	88	85	180	713	754	0.11176471
Gastonia	e	urban	PD	female	50	23	No	Yes	0.65	4	4	64	6	2	1	19	115	16	7	7	23	13	32	134	70	0.109375
Gastonia	e	urban	RH	male	60	39	No	Yes	0.65	7	4	281	8	5	4	32	128	56	35	38	240	180	787	4983	3562	0.13523132
Gastonia	e	rural	RH	male	46	17	No	No	0.65	1	4	239	6	4	6	34	125	68	62	39	144	188	760	2587	3503	0.16317992
Gastonia	e	urban	RH	male	43	22	No	No	0.65	4	5	254	8	4	5	78	167	35	34	42	182	187	701	3310	3683	0.16535433
Gastonia	e	urban	PD	female	35	13	Yes	Yes	0.65	7	4	70	3	2	3	25	50	19	31	5	17	28	19	101	178	0.07142857
Gastonia	e	urban	PD	male	42	15	No	No	0.65	2	6	81	2	2	1	8	39	59	5	6	28	25	26	134	172	0.07407407
Wilkes Barre	e	rural	GP	male	66	43	No	No	4.91	0	5	101	2	2	2	14	11	42	15	39	50	36	389	432	361	0.38613861
Wilkes Barre	e	rural	RH	male	61	37	No	No	4.91	0	3	261	14	3	4	82	154	58	24	154	171	149	2895	3277	2804	0.59003831
Wilkes Barre	e	urban	GP	female	41	20	No	No	4.91	1	6	123	5	2	2	9	62	45	27	51	51	49	461	416	448	0.41463415
Wilkes Barre	e	urban	PD	female	36	5	No	Yes	4.91	5	6	84	6	3	1	13	73	39	14	18	26	19	107	178	91	0.21428571
Wilkes Barre	e	urban	GP	male	47	20	Yes	Yes	4.91	4	3	188	6	2	1	34	48	11	19	96	67	54	834	595	480	0.5106383
Wilkes Barre	e	urban	RH	male	41	16	Yes	Yes	4.91	7	4	158	6	2	2	51	57	20	7	113	78	67	2382	1396	1238	0.71518987
Wilkes Barre	e	rural	RH	male	58	31	No	No	4.91	2	6	287	6	4	7	47	84	63	65	128	184	189	2483	3574	3706	0.44599303
Wilkes Barre	e	urban	RH	male	43	20	No	No	4.91	1	4	180	7	1	2	33	127	40	9	127	95	113	2557	1796	2075	0.70555556
Wilkes Barre	e	urban	PD	male	56	35	No	No	4.91	3	3	70	4	2	2	12	64	27	15	24	16	14	128	115	94	0.34285714
Wilkes Barre	e	urban	RH	male	53	33	No	No	4.91	1	6	217	6	4	4	13	96	75	24	100	131	104	1951	2362	2054	0.46082949
Wilkes Barre	e	rural	RH	male	60	32	No	No	4.91	3	4	267	8	2	3	78	107	4	41	172	121	163	3198	2413	3042	0.64419476
Wilkes Barre	e	rural	RH	male	53	29	No	No	4.91	2	5	281	10	3	7	67	225	55	55	137	134	176	2631	2599	3084	0.48754448
Wilkes Barre	e	urban	PD	female	43	18	No	Yes	4.91	6	6	82	6	4	3	20	82	57	37	15	17	23	76	110	122	0.18292683
Wilkes Barre	e	urban	RH	male	56	33	Yes	No	4.91	6	5	251	4	5	6	29	52	48	30	108	147	142	1877	2725	2681	0.43027888
Wilkes Barre	e	rural	PD	female	54	29	Yes	No	4.91	4	2	66	1	1	2	8	23	14	17	16	11	17	104	56	107	0.24242424
Wilkes Barre	e	urban	RH	male	42	18	Yes	Yes	4.91	7	3	223	11	2	3	67	234	48	25	161	120	130	3038	2098	2495	0.72197309
Wilkes Barre	e	urban	PD	male	35	12	Yes	Yes	4.91	5	6	101	3	1	2	15	32	16	16	28	25	30	195	165	143	0.27722772
Wilkes Barre	e	rural	GP	female	50	29	No	No	4.91	3	4	167	3	1	3	20	74	9	20	84	56	84	748	526	741	0.50299401
San Bernardino	w	urban	PD	female	30	5	Yes	Yes	0.62	5	2	21	1	2	1	12	12	16	22	5	5	9	37	34	68	0.23809524
San Bernardino	w	rural	RH	male	49	21	No	No	0.62	3	1	144	5	2	2	27	101	21	13	57	111	78	1123	2285	1552	0.39583333
San Bernardino	w	urban	PD	female	37	7	Yes	Yes	0.62	3	1	10	2	1	1	23	27	23	2	2	2	5	10	28	30	0.2
San Bernardino	w	urban	GP	male	28	7	Yes	Yes	0.62	3	4	63	2	1	1	15	43	23	6	25	31	27	236	279	225	0.3968254
San Bernardino	w	urban	PD	male	33	7	No	No	0.62	4	1	11	1	1	1	35	18	30	2	2	1	4	21	7	35	0.18181818
San Bernardino	w	urban	PD	female	33	7	No	No	0.62	4	8	53	3	2	1	15	76	20	1	6	13	12	37	73	69	0.11320755
San Bernardino	w	urban	GP	female	41	21	No	No	0.62	1	1	30	2	1	1	7	17	9	3	16	17	9	138	138	87	0.53333333
San Bernardino	w	urban	GP	male	37	13	No	Yes	0.62	7	2	56	2	1	1	14	26	35	6	15	35	22	131	284	190	0.26785714
San Bernardino	w	urban	PD	female	29	5	No	No	0.62	3	5	45	1	2	1	7	19	35	9	11	19	11	82	135	85	0.24444444
San Bernardino	w	rural	RH	male	41	19	Yes	Yes	0.62	2	1	93	3	2	3	22	50	19	40	28	67	68	556	1300	1300	0.30107527
San Bernardino	w	urban	GP	female	34	5	No	No	0.62	2	3	53	3	1	2	18	27	7	14	14	26	23	139	258	223	0.26415094
San Bernardino	w	urban	RH	female	32	8	Yes	Yes	0.62	6	5	127	4	2	2	26	51	33	5	39	84	89	778	1633	1671	0.30708661
