Sales (Dollars)	Volume (Gallons)	Washes	DayWeek	Price (cents)	Site	Dummy	Dummy * Volume
2099	3292	199	fri	137.9	Site 1	1	3292
2082	2221	264	sat	137.9	Site 1	1	2221
1788	2816	181	mon	137.9	Site 1	1	2816
2004	2686	141	tue	137.9	Site 1	1	2686
1868	3207	432	wed	137.9	Site 1	1	3207
2038	2925	202	thu	139.9	Site 1	1	2925
2596	3603	282	fri	139.9	Site 1	1	3603
1700	2165	115	sat	139.9	Site 1	1	2165
1815	3338	38	mon	139.9	Site 1	1	3338
1917	3107	106	tue	139.9	Site 1	1	3107
2143	2906	150	wed	137.9	Site 1	1	2906
2420	3448	185	thu	137.9	Site 1	1	3448
2486	3433	215	fri	137.9	Site 1	1	3433
1812	2104	192	sat	137.9	Site 1	1	2104
2463	3283	127	mon	137.9	Site 1	1	3283
2222	3750	150	tue	135.9	Site 1	1	3750
2324	3494	183	wed	135.9	Site 1	1	3494
2219	3154	120	thu	135.9	Site 1	1	3154
2505	3465	377	fri	135.9	Site 1	1	3465
2047	2216	206	sat	135.9	Site 1	1	2216
2231	3236	96	mon	135.9	Site 1	1	3236
2067	3425	103	tue	135.9	Site 1	1	3425
2293	3667	139	wed	135.9	Site 1	1	3667
2152	3618	149	thu	135.9	Site 1	1	3618
1366	2257	152	sat	135.9	Site 1	1	2257
2210	3606	95	mon	135.9	Site 1	1	3606
2029	3460	19	tue	136.9	Site 1	1	3460
2742	2336	24	wed	136.9	Site 1	1	2336
2161	3113	56	thu	141.9	Site 1	1	3113
2223	3058	149	fri	141.9	Site 1	1	3058
2186	2429	365	sat	141.9	Site 1	1	2429
2306	3501	148	mon	141.9	Site 1	1	3501
1933	3183	21	tue	141.9	Site 1	1	3183
2485	3337	109	wed	141.9	Site 1	1	3337
2817	3566	146	thu	141.9	Site 1	1	3566
2491	3398	120	fri	141.9	Site 1	1	3398
1896	2519	294	sat	141.9	Site 1	1	2519
2382	3716	271	mon	141.9	Site 1	1	3716
2552	3856	254	tue	141.9	Site 1	1	3856
2094	3488	117	wed	141.9	Site 1	1	3488
2447	3457	80	thu	141.9	Site 1	1	3457
2440	3831	125	fri	141.9	Site 1	1	3831
2041	2280	253	sat	141.9	Site 1	1	2280
2261	2411	193	mon	141.9	Site 1	1	2411
2114	3208	510	tue	141.9	Site 1	1	3208
2866	3539	255	wed	141.9	Site 1	1	3539
2752	3719	197	thu	141.9	Site 1	1	3719
2502	4150	255	fri	141.9	Site 1	1	4150
1786	2927	363	sat	141.9	Site 1	1	2927
2157	3044	368	mon	141.9	Site 1	1	3044
2025	3390	207	tue	143.9	Site 1	1	3390
2327	3840	296	wed	143.9	Site 1	1	3840
2502	3697	292	thu	145.9	Site 1	1	3697
2552	4104	248	fri	145.9	Site 1	1	4104
2017	3749	128	mon	146.9	Site 1	1	3749
2019	3511	92	tue	146.9	Site 1	1	3511
2302	3972	184	wed	146.9	Site 1	1	3972
2419	3413	72	thu	146.9	Site 1	1	3413
2921	3882	157	fri	147.9	Site 1	1	3882
2273	3950	135	mon	149.9	Site 1	1	3950
2183	3292	256	tue	151.9	Site 1	1	3292
2428	3979	239	thu	151.9	Site 1	1	3979
2489	4668	216	fri	156.9	Site 1	1	4668
2037	3832	198	mon	157.9	Site 1	1	3832
2324	3930	210	tue	157.9	Site 1	1	3930
2591	3853	591	wed	157.9	Site 1	1	3853
2362	4014	260	thu	157.9	Site 1	1	4014
3001	4759	380	fri	156.9	Site 1	1	4759
1801	2661	420	sat	154.9	Site 1	1	2661
1744	4165	88	tue	154.9	Site 1	1	4165
2428	4139	96	wed	154.9	Site 1	1	4139
2409	3664	99	thu	154.9	Site 1	1	3664
2819	3851	206	fri	154.9	Site 1	1	3851
1897	2522	248	sat	154.9	Site 1	1	2522
1536	1208	22	mon	154.9	Site 1	1	1208
2475	3844	111	tue	153.9	Site 1	1	3844
2484	3766	227	wed	153.9	Site 1	1	3766
2117	3535	88	thu	153.9	Site 1	1	3535
2488	3900	165	fri	153.9	Site 1	1	3900
2553	3900	0	sat	151.9	Site 1	1	3900
2251	3814	0	mon	151.9	Site 1	1	3814
2435	3387	231	tue	151.9	Site 1	1	3387
2446	4009	295	wed	151.9	Site 1	1	4009
2063	1951	169	thu	151.9	Site 1	1	1951
2582	3779	385	fri	149.9	Site 1	1	3779
1663	2368	119	sat	145.9	Site 1	1	2368
2302	3379	216	mon	145.9	Site 1	1	3379
2248	3549	274	tue	143.9	Site 1	1	3549
2712	3807	246	wed	143.9	Site 1	1	3807
2307	4009	230	thu	143.9	Site 1	1	4009
2576	3759	195	fri	143.9	Site 1	1	3759
1978	2378	435	sat	141.9	Site 1	1	2378
2116	4090	482	mon	141.9	Site 1	1	4090
2292	3241	567	tue	141.9	Site 1	1	3241
2373	3874	291	wed	139.9	Site 1	1	3874
2444	4142	447	thu	139.9	Site 1	1	4142
2578	3645	313	fri	139.9	Site 1	1	3645
1953	2419	241	sat	139.9	Site 1	1	2419
2151	3289	244	mon	139.9	Site 1	1	3289
2901	3872	251	tue	139.9	Site 1	1	3872
2514	4136	264	wed	139.9	Site 1	1	4136
2078	3626	38	thu	139.9	Site 1	1	3626
2492	4240	198	fri	139.9	Site 1	1	4240
1897	2415	167	sat	139.9	Site 1	1	2415
2072	3028	174	mon	139.9	Site 1	1	3028
2538	3731	316	tue	139.9	Site 1	1	3731
2422	3851	275	wed	139.9	Site 1	1	3851
2415	3818	217	thu	139.9	Site 1	1	3818
2969	4268	295	fri	139.9	Site 1	1	4268
1775	2514	301	sat	139.9	Site 1	1	2514
2082	3708	404	mon	139.9	Site 1	1	3708
2121	3367	302	tue	139.9	Site 1	1	3367
2471	3685	302	wed	139.9	Site 1	1	3685
2467	3415	275	thu	138.9	Site 1	1	3415
2671	4226	264	fri	138.9	Site 1	1	4226
1876	2061	38	sat	138.9	Site 1	1	2061
1976	3805	113	mon	138.9	Site 1	1	3805
2156	3427	193	tue	138.9	Site 1	1	3427
2339	3670	260	wed	138.9	Site 1	1	3670
2258	3939	272	thu	138.9	Site 1	1	3939
2776	3798	131	fri	138.9	Site 1	1	3798
2084	2668	288	sat	138.9	Site 1	1	2668
2346	3945	212	mon	138.9	Site 1	1	3945
2320	3787	250	tue	138.9	Site 1	1	3787
2539	3854	244	wed	138.9	Site 1	1	3854
2393	3598	205	thu	138.9	Site 1	1	3598
2629	3717	261	fri	138.9	Site 1	1	3717
2044	2536	197	sat	136.9	Site 1	1	2536
2018	401	125	mon	136.9	Site 1	1	401
2350	2361	182	thu	136.9	Site 1	1	2361
2452	4005	361	fri	136.9	Site 1	1	4005
2041	2391	221	sat	136.9	Site 1	1	2391
2038	3129	20	mon	136.9	Site 1	1	3129
2181	3874	219	tue	136.9	Site 1	1	3874
2516	4072	284	wed	136.9	Site 1	1	4072
2181	3603	240	thu	136.9	Site 1	1	3603
2427	4173	287	fri	137.9	Site 1	1	4173
2111	3993	173	mon	137.9	Site 1	1	3993
2182	3153	172	tue	137.9	Site 1	1	3153
2794	3812	231	wed	136.9	Site 1	1	3812
1893	2369	185	fri	136.9	Site 1	1	2369
1586	2567	319	sat	136.9	Site 1	1	2567
2293	3682	237	mon	136.9	Site 1	1	3682
2381	3476	454	tue	136.9	Site 1	1	3476
2957	4352	267	wed	136.9	Site 1	1	4352
2533	3829	304	thu	136.9	Site 1	1	3829
2721	3772	293	fri	136.9	Site 1	1	3772
2079	3826	120	mon	136.9	Site 1	1	3826
2170	3169	86	tue	136.9	Site 1	1	3169
2174	3737	256	wed	136.9	Site 1	1	3737
2240	3612	170	thu	136.9	Site 1	1	3612
2489	3749	74	fri	136.9	Site 1	1	3749
1849	2511	95	sat	135.9	Site 1	1	2511
2403	4028	324	mon	135.9	Site 1	1	4028
2477	3572	710	tue	139.9	Site 1	1	3572
2535	3621	763	wed	139.9	Site 1	1	3621
2262	3930	600	thu	139.9	Site 1	1	3930
2966	4338	627	fri	139.9	Site 1	1	4338
2048	1677	313	sat	139.9	Site 1	1	1677
2414	3673	344	mon	139.9	Site 1	1	3673
2416	3811	323	tue	139.9	Site 1	1	3811
2323	3286	228	wed	139.9	Site 1	1	3286
1645	1985	178	fri	139.9	Site 1	1	1985
1509	1849	162	sat	139.9	Site 1	1	1849
2410	3066	244	tue	139.9	Site 1	1	3066
2175	3115	185	wed	139.9	Site 1	1	3115
1158	2624	251	thu	139.9	Site 2	0	0
1880	2884	170	fri	141.9	Site 2	0	0
1365	2652	255	mon	141.9	Site 2	0	0
1258	2652	826	tue	141.9	Site 2	0	0
1407	2860	223	thu	141.9	Site 2	0	0
1712	3040	195	fri	141.9	Site 2	0	0
767	2361	66	mon	141.9	Site 2	0	0
1225	2280	64	tue	141.9	Site 2	0	0
1718	2788	279	wed	141.9	Site 2	0	0
1303	2716	140	thu	141.9	Site 2	0	0
1864	3108	173	fri	141.9	Site 2	0	0
1321	2429	187	mon	141.9	Site 2	0	0
1599	2677	140	tue	144.9	Site 2	0	0
1982	2198	136	wed	144.9	Site 2	0	0
1276	2039	115	thu	144.9	Site 2	0	0
2092	3182	100	fri	141.9	Site 2	0	0
1121	2121	60	mon	146.9	Site 2	0	0
1214	1785	48	tue	146.9	Site 2	0	0
1220	2347	105	wed	146.9	Site 2	0	0
1400	2406	221	thu	146.9	Site 2	0	0
1925	3585	499	fri	147.9	Site 2	0	0
1264	2667	195	mon	147.9	Site 2	0	0
1394	3117	328	tue	147.9	Site 2	0	0
1648	3039	152	wed	147.9	Site 2	0	0
1060	2599	68	thu	151.9	Site 2	0	0
1772	3507	153	fri	153.9	Site 2	0	0
1301	3273	225	mon	157.9	Site 2	0	0
1630	3271	450	tue	157.9	Site 2	0	0
1280	3188	143	wed	157.9	Site 2	0	0
1461	2975	118	thu	157.9	Site 2	0	0
1750	3588	180	fri	157.9	Site 2	0	0
1186	3009	199	mon	157.9	Site 2	0	0
1384	3029	251	tue	157.9	Site 2	0	0
1334	2750	78	wed	157.9	Site 2	0	0
1207	2962	54	thu	157.9	Site 2	0	0
1777	3181	74	fri	157.9	Site 2	0	0
1320	2496	118	mon	156.9	Site 2	0	0
1132	1661	0	tue	155.9	Site 2	0	0
1294	3400	0	wed	155.9	Site 2	0	0
1335	2533	69	thu	157.9	Site 2	0	0
1750	3153	169	fri	159.9	Site 2	0	0
1220	2436	68	mon	159.9	Site 2	0	0
1228	2509	48	tue	159.9	Site 2	0	0
1646	2728	51	wed	157.9	Site 2	0	0
1462	2970	594	thu	157.9	Site 2	0	0
1778	3856	670	fri	157.9	Site 2	0	0
1050	2222	521	mon	162.9	Site 2	0	0
1372	2448	275	tue	162.9	Site 2	0	0
1523	1983	219	wed	162.9	Site 2	0	0
1244	3022	181	thu	161.9	Site 2	0	0
1899	4148	509	fri	159.9	Site 2	0	0
1477	3145	528	mon	159.9	Site 2	0	0
1235	2552	230	tue	159.9	Site 2	0	0
1964	2850	422	wed	159.9	Site 2	0	0
1273	2816	393	thu	159.9	Site 2	0	0
1705	3126	495	fri	158.9	Site 2	0	0
1305	2446	447	mon	157.9	Site 2	0	0
1426	2994	228	tue	156.9	Site 2	0	0
1348	2954	123	wed	156.9	Site 2	0	0
1203	3529	327	thu	155.9	Site 2	0	0
1825	3577	238	fri	155.9	Site 2	0	0
1660	3577	627	sat	155.9	Site 2	0	0
1127	2826	349	mon	155.9	Site 2	0	0
1198	2766	305	tue	155.9	Site 2	0	0
1488	3071	254	wed	155.9	Site 2	0	0
1632	2956	262	thu	155.9	Site 2	0	0
1896	3389	356	fri	155.9	Site 2	0	0
2234	3389	565	sat	153.9	Site 2	0	0
1386	2409	99	mon	153.9	Site 2	0	0
1113	2228	275	tue	153.9	Site 2	0	0
1383	2320	326	wed	151.9	Site 2	0	0
1561	3215	356	thu	149.9	Site 2	0	0
1669	2264	247	fri	149.9	Site 2	0	0
2048	3054	428	sat	149.9	Site 2	0	0
1484	2695	182	mon	149.9	Site 2	0	0
1436	2786	516	tue	149.9	Site 2	0	0
1671	2692	180	wed	147.9	Site 2	0	0
1176	1737	137	thu	147.9	Site 2	0	0
1861	4057	135	fri	147.9	Site 2	0	0
1448	2677	246	mon	147.9	Site 2	0	0
1187	2614	158	tue	147.9	Site 2	0	0
1748	2957	233	wed	145.9	Site 2	0	0
1288	3067	499	thu	145.9	Site 2	0	0
1779	3065	417	fri	145.9	Site 2	0	0
1394	2566	244	mon	143.9	Site 2	0	0
1317	2686	238	tue	143.9	Site 2	0	0
1427	2682	314	wed	143.9	Site 2	0	0
1578	2838	224	thu	143.9	Site 2	0	0
1629	3276	378	fri	141.9	Site 2	0	0
1869	2787	337	sat	139.9	Site 2	0	0
1237	1277	168	mon	139.9	Site 2	0	0
1310	2530	280	tue	137.9	Site 2	0	0
1582	3179	305	wed	135.9	Site 2	0	0
2174	3323	501	thu	135.9	Site 2	0	0
1843	2385	517	fri	135.9	Site 2	0	0
2237	3091	633	sat	135.9	Site 2	0	0
1313	2869	346	mon	135.9	Site 2	0	0
1318	2941	370	tue	135.9	Site 2	0	0
1672	2968	424	wed	135.9	Site 2	0	0
1736	2865	274	thu	135.9	Site 2	0	0
2176	3136	409	fri	136.9	Site 2	0	0
2103	2818	626	sat	136.9	Site 2	0	0
1318	2828	171	mon	136.9	Site 2	0	0
1253	2338	0	tue	136.9	Site 2	0	0
1624	2666	187	wed	136.9	Site 2	0	0
1518	3036	425	thu	136.9	Site 2	0	0
1913	3407	508	fri	136.9	Site 2	0	0
1644	3182	463	sat	136.9	Site 2	0	0
1142	1930	246	mon	136.9	Site 2	0	0
1342	2904	213	tue	135.9	Site 2	0	0
1722	2566	295	wed	135.9	Site 2	0	0
1415	2889	312	thu	135.9	Site 2	0	0
1877	3704	334	fri	135.9	Site 2	0	0
1919	2992	309	sat	135.9	Site 2	0	0
1321	2610	235	tue	138.9	Site 2	0	0
1706	2632	101	wed	138.9	Site 2	0	0
1523	2413	63	thu	138.9	Site 2	0	0
1772	3242	249	fri	138.9	Site 2	0	0
2619	2588	339	sat	138.9	Site 2	0	0
1403	2545	109	mon	138.9	Site 2	0	0
1536	2416	96	tue	138.9	Site 2	0	0
1531	2866	189	wed	138.9	Site 2	0	0
1501	2973	252	thu	139.9	Site 2	0	0
1852	3325	213	fri	139.9	Site 2	0	0
1872	2928	200	sat	139.9	Site 2	0	0
1330	3087	67	mon	139.9	Site 2	0	0
1293	2608	114	tue	139.9	Site 2	0	0
1611	2543	170	wed	139.9	Site 2	0	0
1448	3210	154	thu	139.9	Site 2	0	0
1877	3648	193	fri	139.9	Site 2	0	0
1637	2694	318	sat	139.9	Site 2	0	0
1236	2303	130	mon	139.9	Site 2	0	0
1834	2586	162	tue	139.9	Site 2	0	0
1576	2974	193	wed	137.9	Site 2	0	0
1363	2977	43	thu	137.9	Site 2	0	0
1612	3189	177	fri	137.9	Site 2	0	0
2002	2592	316	sat	137.9	Site 2	0	0
1231	2684	106	mon	137.9	Site 2	0	0
1394	2665	109	tue	137.9	Site 2	0	0
1559	2854	151	wed	137.9	Site 2	0	0
1438	3067	85	thu	137.9	Site 2	0	0
1303	2452	177	sat	137.9	Site 2	0	0
1382	2448	72	mon	137.9	Site 2	0	0
1319	2379	84	tue	137.9	Site 2	0	0
1469	2916	8	wed	137.9	Site 2	0	0
1153	2819	78	thu	142.9	Site 2	0	0
1340	2847	120	fri	142.9	Site 2	0	0
1909	2940	336	sat	143.9	Site 2	0	0
1281	2721	107	mon	143.9	Site 2	0	0
1067	2330	36	tue	143.9	Site 2	0	0
1474	2874	58	wed	143.9	Site 2	0	0
1476	3065	147	thu	143.9	Site 2	0	0
1712	3742	219	fri	143.9	Site 2	0	0
1884	3070	327	sat	143.9	Site 2	0	0
1402	2469	168	mon	143.9	Site 2	0	0
1395	2851	228	tue	143.9	Site 2	0	0
1521	2798	86	wed	143.9	Site 2	0	0
1270	2840	193	thu	143.9	Site 2	0	0
1605	3258	174	fri	143.9	Site 2	0	0
1963	3010	288	sat	143.9	Site 2	0	0
1153	2152	137	mon	143.9	Site 2	0	0
1278	2371	219	tue	143.9	Site 2	0	0
1748	2670	258	wed	143.9	Site 2	0	0
1741	2873	271	thu	143.9	Site 2	0	0
1739	3193	336	fri	143.9	Site 2	0	0
1887	2955	318	sat	143.9	Site 2	0	0
1316	2989	256	mon	143.9	Site 2	0	0
1296	2728	286	tue	145.9	Site 2	0	0
1755	2520	287	wed	145.9	Site 2	0	0
1093	2695	241	thu	146.9	Site 2	0	0
1667	3470	113	fri	146.9	Site 2	0	0
1714	2527	164	sat	146.9	Site 2	0	0
1314	2195	51	mon	147.9	Site 2	0	0
1265	2195	68	tue	147.9	Site 2	0	0
1336	2876	0	wed	147.9	Site 2	0	0
1313	2334	0	thu	148.9	Site 2	0	0
1686	2771	15	fri	148.9	Site 2	0	0
1444	2107	131	mon	151.9	Site 2	0	0
1235	2352	94	tue	153.9	Site 2	0	0
1465	2930	89	wed	153.9	Site 2	0	0
1223	3154	133	thu	153.9	Site 2	0	0
1961	2860	197	fri	158.9	Site 2	0	0
1738	3396	320	sat	159.9	Site 2	0	0
1172	2167	99	mon	159.9	Site 2	0	0
1286	2533	149	tue	159.9	Site 2	0	0
1372	2763	129	wed	159.9	Site 2	0	0
1430	2627	238	thu	159.9	Site 2	0	0
1374	2857	269	fri	159.9	Site 2	0	0
1686	3291	189	sat	159.9	Site 2	0	0
866	1678	20	mon	159.9	Site 2	0	0
1193	1484	70	tue	159.9	Site 2	0	0
1202	2341	114	wed	159.9	Site 2	0	0
1281	2786	106	thu	159.9	Site 2	0	0
1571	2471	186	fri	159.9	Site 2	0	0
1600	2812	332	sat	157.9	Site 2	0	0
1304	2224	133	mon	157.9	Site 2	0	0
1261	2268	97	tue	157.9	Site 2	0	0
1274	2376	79	wed	157.9	Site 2	0	0
1127	2380	43	thu	157.9	Site 2	0	0
1335	2621	119	fri	157.9	Site 2	0	0
1612	2653	293	sat	157.9	Site 2	0	0
1160	1857	169	mon	157.9	Site 2	0	0
1220	2403	107	tue	155.9	Site 2	0	0
1299	2368	223	wed	155.9	Site 2	0	0
1253	2551	79	thu	155.9	Site 2	0	0
1668	2182	228	fri	155.9	Site 2	0	0
1579	2690	121	sat	153.9	Site 2	0	0
1104	1796	206	mon	153.9	Site 2	0	0
1237	2172	212	tue	153.9	Site 2	0	0
1354	2329	184	wed	151.9	Site 2	0	0
1408	2180	213	thu	149.9	Site 2	0	0
1889	3049	350	sat	149.9	Site 2	0	0
1196	1768	170	mon	149.9	Site 2	0	0
1498	1824	268	tue	147.9	Site 2	0	0
1218	2217	197	wed	147.9	Site 2	0	0
1362	2427	218	thu	147.9	Site 2	0	0
1398	2230	304	fri	147.9	Site 2	0	0
1480	2872	282	sat	145.9	Site 2	0	0
1097	1447	142	mon	145.9	Site 2	0	0
1145	2111	131	tue	145.9	Site 2	0	0
1346	2486	95	wed	145.9	Site 2	0	0
1142	2310	8	thu	144.9	Site 2	0	0
1856	2342	86	fri	144.9	Site 2	0	0
1563	2565	151	sat	144.9	Site 2	0	0
1060	1902	97	mon	144.9	Site 2	0	0
1134	1559	24	tue	144.9	Site 2	0	0
1305	2651	139	wed	142.9	Site 2	0	0
1608	2429	197	thu	142.9	Site 2	0	0
1748	2896	251	fri	142.9	Site 2	0	0
1652	2685	349	sat	142.9	Site 2	0	0
1322	2222	239	mon	142.9	Site 2	0	0
1380	2017	142	tue	142.9	Site 2	0	0
1627	2138	173	wed	142.9	Site 2	0	0
1511	2758	273	thu	142.9	Site 2	0	0
1890	2557	267	fri	142.9	Site 2	0	0
1689	2252	67	sat	142.9	Site 2	0	0
1700	1610	363	sat	139.9	Site 2	0	0
1299	1521	193	mon	139.9	Site 2	0	0
1660	2497	221	tue	137.9	Site 2	0	0
1366	2411	211	wed	137.9	Site 2	0	0
1460	2688	193	thu	137.9	Site 2	0	0
1495	2635	168	fri	137.9	Site 2	0	0
1651	2689	298	sat	137.9	Site 2	0	0
1249	2173	247	mon	137.9	Site 2	0	0
1186	2040	193	tue	137.9	Site 2	0	0
1509	2523	243	wed	137.9	Site 2	0	0
1425	2539	301	thu	137.9	Site 2	0	0
1622	2817	280	fri	137.9	Site 2	0	0
1837	2628	298	sat	137.9	Site 2	0	0
1228	2545	12	mon	137.9	Site 2	0	0
1230	2533	92	tue	137.9	Site 2	0	0
1382	2840	173	wed	138.9	Site 2	0	0
1301	2635	205	thu	139.9	Site 2	0	0
1742	2985	153	fri	139.9	Site 2	0	0
1179	2320	142	mon	139.9	Site 2	0	0
1209	2589	237	tue	139.9	Site 2	0	0
1617	2601	217	wed	139.9	Site 2	0	0
1143	1911	212	thu	137.9	Site 2	0	0
1368	2167	235	fri	137.9	Site 2	0	0
1379	2126	230	sat	137.9	Site 2	0	0
1658	2439	157	mon	137.9	Site 2	0	0
1285	2564	129	tue	135.9	Site 2	0	0
1462	2660	198	wed	135.9	Site 2	0	0
1295	2513	234	thu	134.9	Site 2	0	0
1675	3257	312	fri	134.9	Site 2	0	0
1214	2493	149	mon	134.9	Site 2	0	0
1306	2172	81	tue	134.9	Site 2	0	0
1464	2838	146	wed	134.9	Site 2	0	0
1554	2860	0	thu	134.9	Site 2	0	0
1813	2696	68	fri	134.9	Site 2	0	0
1770	1573	132	sat	134.9	Site 2	0	0
1236	2508	187	mon	134.9	Site 2	0	0
1279	2796	831	tue	138.9	Site 2	0	0
1597	2615	656	wed	138.9	Site 2	0	0
1547	2907	672	thu	138.9	Site 2	0	0
1683	3060	653	fri	138.9	Site 2	0	0
2276	2967	367	sat	138.9	Site 2	0	0
1655	2842	322	mon	138.9	Site 2	0	0
1840	3187	317	tue	138.9	Site 2	0	0
2309	3047	25	wed	138.9	Site 2	0	0
1313	1905	108	fri	138.9	Site 2	0	0
1449	1891	227	sat	138.9	Site 2	0	0
1472	2267	165	mon	138.9	Site 2	0	0
1694	2539	286	tue	138.9	Site 2	0	0
