Selling Price	Crime Rate	Miles Phila	PopChg	Name	County	Residuals Selling Price	1000/Crime Rate	Residuals Selling Price 2
60	6.5	9	-4.9	Phila, NE	Phila	-16468.739	15.3846154	-58093.044
61.8	4.99	9	-6.4	Phila, NW	Phila	-49227.949	20.0400802	-62336.967
38	5.48	4.5	-5.1	Phila, SW	Phila	-61813.371	18.2481752	-83810.64
38	5.35	2	-9.2	Phila, South	Phila	-64788.667	18.6915888	-84386.298
42	6.99	4	-5.7	Phila, West	Phila	-23254.161	14.3061516	-74692.936
96.2	36.61	0	4.8	Phila,CC	Phila	.	2.73149413	.
103.087	2.46	24	3.9	Phoenixville	Chester	-65844.792	40.6504065	-47807.173
147.72	5.86	25	1.5	Plymouth	Montgome	56603.6488	17.0648464	27445.6083
78.175	5.32	41	2.2	Pottstown	Montgome	-25300.274	18.7969925	-44348.138
92.215	1.74	14	7.8	Prospect Park	Delaware	-93195.356	57.4712644	-80516.728
271.804	1.55	17	1.2	Radnor	Delaware	82045.1343	64.516129	89926.3276
119.566	1.45	12	-2.9	Ridley Park	Delaware	-72481.555	68.9655172	-68088.058
100.231	2.41	15	1.9	Ridley Town	Delaware	-69845.137	41.4937759	-51758.071
284.833	.	18	-1.3	Rose Valley	Delaware	.	.	.
95.831	2.12	32	3.2	Royersford	Montgome	-80882.336	47.1698113	-63526.942
123.9	.	15	5.6	Rutledge	Delaware	.	.	.
229.711	0.98	22	5.3	Schuylkill	Chester	26906.6046	102.040816	-882.82326
74.308	2.99	7	1.8	Sharon Hill	Delaware	-82493.738	33.4448161	-67231.568
259.506	0.72	40	17.4	Solebury	Bucks	50751.0121	138.888889	-18925.564
159.573	1.94	15	-2.1	Springfield	Montgome	-21259.977	51.5463918	-5466.8058
147.176	4.11	12	-1.7	Springfield	Delaware	16007.5837	24.3309002	17468.507
205.732	1.12	12	-0.2	Swarthmore	Delaware	6131.76978	89.2857143	-8302.6053
215.783	2.12	20	1.1	Tredyffin	Chester	39069.6641	47.1698113	56425.0577
116.71	4.28	20	12.9	U. Chichester	Delaware	-10567.644	23.364486	-11742.853
359.112	0.94	36	4	U. Makefield	Bucks	155392.129	106.382979	122880.996
189.959	6.17	22	-2.1	U. Merion	Montgome	105937.586	16.2074554	70797.7098
133.198	1.94	22	-2	U. Moreland	Montgome	-47634.977	51.5463918	-31841.806
242.821	0.66	21	1.6	U. Providence	Delaware	32692.7984	151.515152	-52002.517
142.811	1.59	20	-1.6	U. Southampton	Bucks	-46032.39	62.8930818	-36959.563
200.498	1.88	36	11	U. Uwchlan	Chester	18291.8094	53.1914894	33322.4583
199.065	1.32	20	7.8	Upper Darby	Montgome	4042.14864	75.7575758	2593.20161
93.648	3.45	8	-0.7	Upper Darby	Delaware	-52625.767	28.9855072	-42102.302
163.001	2.21	50	8	Uwchlan T.	Chester	-11652.515	45.2488688	6136.90734
436.348	2.21	15	1.3	Villanova	Montgome	261694.485	45.2488688	279483.907
124.478	7.19	22	4.6	W. Chester	Chester	63801.2182	13.9082058	8301.69381
168.276	3.19	26	5.9	W. Goshen	Chester	16051.641	31.3479624	29458.6574
276.744	.	33	6.1	W. Pikeland	Chester	.	.	.
114.157	4.46	38	14.6	W. Whiteland	Chester	-9001.0033	22.4215247	-13071.66
130.088	2.86	19	-0.2	Warminster	Bucks	-29689.034	34.965035	-13425.181
152.624	2.4	19	23.1	Warrington	Bucks	-17681.006	41.6666667	410.475037
174.232	1.38	25	4.7	Westtown	Chester	-19417.638	72.4637681	-17963.637
196.515	2.99	16	1.8	Whitemarsh	Montgome	39713.2621	33.4448161	54975.4325
247.33	.	14	13.2	Whitpain	Montgome	.	.	.
232.714	0.99	21	0.2	Willistown	Chester	30138.4735	101.010101	3458.29536
245.92	2.26	10	0.3	Wynnewood	Montgome	72410.8293	44.2477876	90355.5536
130.953	1.3	24	5.2	Yardley	Bucks	-64527.589	76.9230769	-67031.902
