Product ID	Package Types	Chi-Squared	p-value
ID92418248	3	2.33381355	0.67461976
ID57917394	3	13.0136669	0.01120921
ID98316823	3	10.2770938	0.03600999
ID70545861	3	3.51095858	0.47621403
ID6187399	3	11.5437967	0.02108661
ID67850313	4	24.0088385	0.00052031
ID80990698	5	8.10148918	0.42361972
ID92119938	5	7.54403641	0.47922633
ID28199410	5	9.96455747	0.26752234
ID47188288	3	0.92697718	0.920659
ID65549104	3	7.33774796	0.11908044
ID88164734	2	5.94613192	0.05114626
ID66076954	3	7.93415661	0.09402012
ID84940196	4	75.6303191	2.84E-14
ID14293051	4	8.30246622	0.21677073
ID81003307	4	27.6845641	0.00010772
ID76970457	3	5.6406929	0.22763647
ID50187033	3	8.25932655	0.08252754
ID94139428	3	7.29473103	0.12110892
ID68573258	3	7.88089307	0.09603997
ID61261826	4	3.50875446	0.74280459
ID80324787	4	9.26958263	0.15897491
ID28293276	3	0.38494028	0.98369122
ID25620585	5	12.8763488	0.11617547
ID32269698	3	7.7366857	0.10171411
ID1518238	4	4.90799053	0.55566715
ID78841557	3	0.8262633	0.93489283
ID24235372	3	5.81209952	0.21362713
ID81848381	2	1.92910524	0.38115368
ID41182393	4	9.48003236	0.14832644
ID36023082	4	10.6608028	0.0994427
ID18319624	3	5.00934001	0.28634049
ID65672797	3	6.98401528	0.13673536
ID2748573	3	2.31935159	0.67724805
ID13456953	4	9.74094305	0.13599397
ID86254110	3	3.37952256	0.49643197
ID71946606	3	4.70846318	0.31853947
ID70913409	3	5.71388725	0.22155851
ID40521685	4	0.87220269	0.98999655
ID83824357	3	3.44585242	0.48615922
ID54867746	4	4.5614744	0.60115333
ID25991707	3	1.00868747	0.90847584
ID86968577	3	3.32147066	0.50553763
ID1012447	3	4.19000887	0.38090126
ID41931633	4	12.6039476	0.04977461
ID19093137	4	17.5134615	0.00757037
ID95064441	4	3.61810234	0.72819613
ID72370116	4	8.00086116	0.23804022
ID93563168	4	2.84481202	0.82805737
ID64279073	5	8.26697621	0.40783526
ID93518306	2	1.15408293	0.5615573
ID90315363	3	3.9638521	0.41092004
ID63450393	4	6.09581582	0.41254285
ID49896036	3	5.80691825	0.21403922
ID72110351	3	1.36008486	0.85110193
ID45471286	4	3.17304016	0.78683613
ID53363119	3	4.53513723	0.33840142
ID82678331	3	0.59657243	0.96344381
ID72253172	3	7.85673756	0.09696931
ID35066497	4	18.2267709	0.00568978
ID9432737	3	4.4839801	0.34445125
ID90380331	3	8.55946786	0.07310502
ID10717683	3	2.72219114	0.60533707
ID44286510	3	0.91727231	0.92206985
ID77298753	3	1.08769014	0.89622035
ID71653593	5	12.2654836	0.13974592
ID29142974	5	5.36591772	0.71784557
ID41566636	3	3.31547561	0.50648403
ID59674604	3	101.698215	0
ID25606006	3	8.75530071	0.06751545
ID37678496	3	6.85680085	0.14365194
ID13100917	3	5.27560919	0.2601689
ID13932745	4	14.8054339	0.0218252
ID80649014	5	50.9619214	2.67E-08
ID91791610	2	3.19472211	0.20243002
ID87847793	3	7.99152663	0.09188908
ID10455667	3	1.56636638	0.81482402
ID28738959	3	4.0189428	0.40344829
ID48065214	5	13.5498023	0.09428096
ID15847704	3	6.36555584	0.17346103
ID82997910	2	6.18612821	0.04536274
ID44933158	4	5.27669733	0.50884551
ID54834903	4	10.8620058	0.09273609
ID27603606	4	14.7030094	0.02269677
ID8428343	3	1.69527268	0.79157617
ID48328470	3	1.82854022	0.76725682
ID47916714	3	4.28497054	0.36881088
ID92516473	4	4.65113295	0.58927056
ID49381245	5	9.31088794	0.31675243
ID25210261	3	64.135747	3.91E-13
ID89917159	4	14.7734028	0.02209427
ID12674974	4	13.2832589	0.03875192
ID93630085	3	3.60447092	0.46217208
ID38104141	4	6.2360944	0.39726915
ID84148522	3	6.71953334	0.15147296
ID51475899	3	5.22282966	0.26518828
ID90421100	4	3.69484378	0.71789165
ID28787840	3	3.97440384	0.409481
ID82698472	3	5.83607111	0.21172963
ID81485533	3	11.0113962	0.02643624
ID43838539	3	16.2632137	0.00268556
ID52825723	3	2.25615472	0.68876273
ID85082656	3	6.56403088	0.16080037
ID2053423	3	1.6841946	0.79358665
ID14370577	3	4.42556092	0.3514655
ID43893091	3	3.88428366	0.42189281
ID17667053	2	4.33129579	0.11467561
ID76670548	4	10.0092847	0.12426156
ID25348485	4	10.6117312	0.10114351
ID73765614	3	0.42685191	0.98022001
ID89170934	3	0.57532385	0.9657659
ID68179233	3	9.80552346	0.04383418
ID33327552	5	10.547408	0.22868509
ID33277617	3	5.05100435	0.28210405
ID67500074	3	2.2888132	0.68280653
ID15211332	3	46.3115903	2.12E-09
ID36275729	3	8.62862902	0.07108276
ID60180230	3	2.91767311	0.57169579
ID78698799	5	17.1282145	0.02880134
ID8252636	4	13.8292264	0.03160307
ID26128962	3	2.45610791	0.65251222
ID13477924	3	5.5951976	0.2314874
ID68997502	2	1.3586691	0.50695423
ID56690754	3	0.96664474	0.91481085
ID61239665	2	3.05406601	0.21717908
ID88638320	3	1.33379753	0.85561575
ID32716711	3	8.63031388	0.07103416
ID64944952	4	3.31309618	0.76864716
ID98658807	4	6.94343375	0.32611013
ID80183152	3	1.71304805	0.78834609
ID56639601	3	5.81963122	0.21302934
ID66311589	3	3.93674954	0.41463354
ID39712936	3	6.84060038	0.14455538
ID64707594	3	9.85004236	0.0430309
ID76418178	3	4.40481607	0.35398349
ID41210048	3	1.72468334	0.78622913
ID38746038	5	9.74646221	0.28327384
ID75684552	3	3.87531565	0.42314295
ID29091860	3	17.4425263	0.00158535
ID70784570	3	4.49976994	0.34257476
ID18269545	3	6.13626123	0.18920068
ID87714437	3	1.60050999	0.80870047
ID19648505	4	7.27494407	0.29616731
ID11939753	3	2.55469283	0.6348697
ID44743620	3	1.72617859	0.78595694
ID38024395	3	7.56045903	0.10907267
ID75065916	4	7.25510326	0.29789846
ID35517539	2	0.41025238	0.81454452
ID59426013	4	8.71862887	0.19003146
ID64530879	3	15.5259094	0.00372599
ID23531940	3	54.4858993	4.16E-11
ID88151325	3	2.00632879	0.73459477
ID17032379	3	4.6153603	0.32908702
ID7494275	5	7.82168348	0.45107981
ID65300536	5	3.24421871	0.91810985
ID90050124	4	41.976815	1.86E-07
ID22464554	4	7.18083591	0.30444703
ID47925926	4	8.64184699	0.19474467
ID17539216	3	8.17487407	0.08537834
ID78483869	2	0.30271954	0.85953841
ID77011378	3	7.96047464	0.09303684
ID42632966	3	1.84321121	0.76456784
ID74948077	4	7.6399732	0.26568377
ID22022792	5	4.94255882	0.76369753
ID43648382	3	9.26483099	0.0548103
ID95178837	3	4.90737695	0.29693391
ID56368063	2	0.58477241	0.74648019
ID27606181	4	3.28366759	0.7724932
ID94656076	3	9.54421261	0.04884666
ID60111315	3	3.87038415	0.42383155
ID37584795	3	4.96091931	0.29133098
ID19952642	2	0.31926114	0.85245866
ID92824032	4	11.3718798	0.07754091
ID39678975	5	16.8722614	0.03146704
ID42867179	3	55.0719631	3.14E-11
ID78039631	2	8.79594016	0.01230229
ID1374147	3	53.2870962	7.42E-11
ID16372128	4	11.3247846	0.07884248
ID34476500	4	11.5042497	0.07398739
ID51853213	3	5.86413229	0.20952732
ID26954231	3	2.98209958	0.56082545
ID49522685	3	3.97425385	0.40950143
ID81598604	2	2.37524597	0.30494526
ID54422282	3	13.9841679	0.00734576
ID78852778	4	5.34893078	0.49990012
ID32674300	3	2.50889571	0.64304359
ID8600185	2	7.53067929	0.02315974
ID38056630	3	10.8355091	0.02847621
ID85554140	3	4.97170993	0.29021257
ID36991499	5	7.76521418	0.45673442
ID90495186	4	5.16357879	0.5230108
ID9799303	4	3.10829629	0.79513695
ID65163622	2	2.75252082	0.25252111
ID60209770	2	2.57004834	0.2766439
ID22749753	3	2.8185853	0.58862884
ID73840845	4	3.68048279	0.71982273
ID32786179	5	18.0736042	0.02068138
ID51710270	3	11.5138897	0.02135704
ID27654329	4	8.71042472	0.19053042
ID20751452	4	3.73702162	0.71221371
ID19986939	3	4.80129113	0.30830051
ID41773494	4	3.26726783	0.77463119
ID60918575	4	7.59643555	0.26918466
ID86913824	5	10.4632515	0.23400426
ID3336456	3	0.82999359	0.93438237
ID72991633	2	4.14015752	0.12617584
ID52618034	3	4.98895549	0.28843261
ID57804834	3	1.83840776	0.76544844
ID16372014	5	8.93110697	0.34814102
ID93232735	5	10.6563437	0.22194161
ID61110712	3	9.9364412	0.04151204
ID84559604	4	2.55103254	0.86271316
ID73629344	4	9.58502798	0.14325049
ID17398004	3	10.7082729	0.03004586
ID61831435	4	6.35561372	0.38455476
ID45136375	4	4.72448623	0.57960368
ID89739594	4	8.44242584	0.2074479
ID21114071	5	11.8696889	0.15711343
ID38957719	4	5.67370719	0.46071528
ID3273120	3	58.8931568	4.96E-12
ID5726742	3	10.3537093	0.03487289
ID11266114	3	4.57400109	0.33386282
ID49543577	4	7.06646631	0.31474418
ID62148933	3	3.61895151	0.46002343
ID16470825	3	10.8083292	0.02880472
ID76122964	3	0.82832891	0.93461034
ID79297297	3	5.49121811	0.24050249
ID66102487	5	13.6934315	0.09011434
ID46348077	4	4.50554184	0.60860012
ID99471842	4	7.00032511	0.32081713
ID27900514	3	6.68678769	0.15339518
ID97247459	5	13.9494148	0.08309346
ID55147233	3	6.53302229	0.16272157
ID85598719	3	2.03810563	0.72875016
ID12374396	4	6.7346397	0.34608622
ID32239144	5	2.36766979	0.96761627
ID8814677	3	6.37310292	0.1729636
ID92696366	3	8.82421559	0.06564662
ID1219525	3	11.5840564	0.02072782
ID72182011	5	6.11810276	0.63400445
ID78544311	4	7.07809232	0.31368565
ID53377388	4	8.39030756	0.21087977
ID64774591	3	2.74875647	0.60071022
ID58408451	3	5.6614859	0.22589518
ID32499167	4	6.55570403	0.36389381
ID86333562	3	7.46396264	0.11330893
ID23396784	3	2.48818254	0.64675314
ID35968626	3	3.94257364	0.41383345
ID23805841	3	1.49834735	0.82693417
ID99239524	3	1.57544677	0.81319819
ID57017986	3	1.30039716	0.86130814
ID23114925	4	6.71243583	0.34826145
ID22465432	3	4.07226377	0.39631434
ID49359855	3	5.45706602	0.24352927
ID37092301	3	5.53132144	0.23698999
ID51543381	4	6.71133658	0.3483694
ID99374106	3	3.50204862	0.47756692
ID82399097	4	29.9567702	0.00004006
ID70511394	4	9.58604583	0.14320204
ID57748081	2	3.90828621	0.14168583
ID65893901	3	3.06780787	0.54654274
ID66521749	2	4.47811106	0.1065591
ID11927303	3	4.97081457	0.29030523
ID57068409	3	71.8024344	9.44E-15
ID95017174	4	21.0620177	0.00178813
ID47480925	3	7.71933799	0.1024174
ID77142610	5	7.84462745	0.44879285
ID63164047	4	23.9196946	0.00054032
ID37605975	4	8.45079532	0.20690115
ID92850828	3	12.6538071	0.01309728
ID83114313	3	3.47131826	0.48225285
ID12330777	3	15.9303247	0.0031141
ID69363651	3	3.94633773	0.41331696
ID17253187	4	9.86148717	0.1306076
ID24193104	2	1.27218812	0.52935602
ID67183704	4	9.14973345	0.16533064
ID62550984	4	7.64987182	0.26489285
ID76499418	3	3.23916247	0.51862886
ID57289184	2	3.49129067	0.17453232
ID67008762	3	15.0223091	0.00465517
ID60244574	4	8.82053173	0.18392565
ID20243399	5	3.88693746	0.8671775
ID74935105	4	5.11878003	0.52867158
ID52082395	3	6.8237548	0.14550031
ID51766971	2	6.38280917	0.04111408
ID99052488	3	18.3815317	0.00103922
ID30033374	3	6.54837176	0.16176797
ID57986380	3	0.77409534	0.94188682
ID35000439	4	8.13489164	0.22838648
ID6736578	3	6.27367787	0.17962086
ID3214853	4	7.97950204	0.23960889
ID90687773	3	3.0152575	0.55527535
ID54981461	3	5.49586446	0.24009324
ID33773429	3	3.20473893	0.52416587
ID5125562	3	9.8049438	0.04384473
ID4419334	3	2.43534951	0.65624866
ID24582145	3	5.75019579	0.21859666
ID53070212	5	9.84808295	0.27585088
ID15878105	4	5.06879354	0.53502064
ID22870569	5	10.706462	0.2188925
ID30603120	4	10.8101591	0.09442391
ID8940934	4	6.47997403	0.37162104
ID70583915	4	9.13817645	0.16595496
ID75652757	3	4.20170397	0.37939588
ID50455739	5	5.34337078	0.72032448
ID42870115	4	2.96886857	0.8127439
ID54819940	3	9.50949669	0.04955248
ID48041495	4	33.2971625	9.19E-06
ID76161588	3	6.65355148	0.15536888
ID4792131	3	3.44115101	0.48688269
ID89811078	3	8.31545751	0.08068259
ID93096254	3	1.28909459	0.86322306
ID36333246	3	5.17361483	0.26994288
ID3775851	3	5.62684408	0.22880273
ID11609981	3	12.9031278	0.01175896
ID76320678	3	6.61583407	0.15763666
ID43654044	4	4.27923512	0.6389453
ID7818065	4	7.22639465	0.30041701
ID88805172	3	3.96310006	0.41102275
ID78282617	3	3.48757663	0.47976986
ID60058156	4	5.03318488	0.53956401
ID12764789	4	5.31272002	0.50437448
ID62866403	4	19.4256727	0.003502
ID90118078	3	4.25900431	0.37208676
ID51577617	3	20.041679	0.00049003
ID74017878	3	9.55684612	0.0485922
ID97023923	4	16.4081254	0.01172321
ID58841731	4	7.69031954	0.26168041
ID29176557	3	5.64486296	0.22728632
ID95313374	3	7.47284808	0.11291255
ID2624287	3	3.59127611	0.46413599
ID50199138	2	5.12105362	0.07726403
ID39492081	4	9.76465374	0.13491927
ID31898697	3	9.82619735	0.04345938
ID85465869	2	3.0030537	0.22278973
ID42803132	3	5.7938024	0.21508553
ID17980677	5	6.20627581	0.62413811
ID71008711	3	4.9386544	0.29365005
ID30307811	3	8.65908784	0.07020904
ID74390312	3	2.20537356	0.69804561
ID42546057	5	12.9183366	0.11469045
ID67192982	4	5.90363426	0.43407127
ID4502707	3	1.17447763	0.88228257
ID43630500	3	4.42895482	0.35105492
ID78763658	2	8.47593329	0.01443692
ID92980337	3	3.35865993	0.49969208
ID99699228	4	11.3859593	0.07715564
ID30232109	4	5.67328021	0.46076563
ID46013742	3	2.49049296	0.64633898
ID22156108	3	10.9319478	0.02733957
ID430737	3	9.07314111	0.05929708
ID83604001	5	11.3578577	0.18223508
ID81976848	4	7.80803704	0.2525071
ID97776757	3	0.9433397	0.91826235
ID14108823	2	0.70663331	0.70235475
ID74120891	4	11.8897062	0.06447504
ID38595232	3	3.14672826	0.53357796
ID14139131	3	1.46134652	0.83346567
ID43215599	3	0.73694374	0.94669607
ID9470721	3	1.39064739	0.84581891
ID14638790	2	3.04998497	0.21762269
ID74448798	3	7.11635853	0.1298655
ID6971073	3	4.29855655	0.36710588
ID85974535	4	3.34397319	0.7645992
ID16675766	3	0.97831351	0.91306635
ID56468226	3	5.53326384	0.236821
ID58824838	3	2.83052543	0.58657505
ID5999905	4	25.9075348	0.00023165
ID55279533	5	45.2834577	3.25E-07
ID38624162	3	8.32209668	0.08046696
ID76110937	3	5.20538974	0.2668649
ID76948152	3	2.18018361	0.70265883
ID46013908	3	10.003689	0.04036559
ID75681166	2	25.819771	2.47E-06
ID52277922	2	31.8506038	1.21E-07
ID10012105	4	5.24605906	0.51266362
ID65365239	4	5.51652083	0.47946219
ID88891511	3	3.12452321	0.53720726
ID20061050	4	5.31928402	0.5035619
ID85678993	3	5.17441826	0.26986468
ID10750316	4	7.85273199	0.24909235
ID11857528	3	3.71095933	0.44653396
ID60469659	3	3.51162745	0.47611257
ID57383345	3	1.30792727	0.86002912
ID81758049	3	3.31331228	0.50682581
ID54144817	3	2.41314653	0.66025278
ID86306627	4	4.47020248	0.61331737
ID66436452	4	11.4214117	0.07619328
ID51571896	4	1.41985673	0.96463937
ID96486161	3	5.59479238	0.23152196
ID24306867	3	1.22122655	0.87459159
ID33560589	3	13.7816684	0.00802549
ID95289798	4	14.898563	0.02106051
ID26924659	3	6.91959561	0.14019873
ID20906117	3	4.67767342	0.32199661
ID24378063	2	0.48015261	0.78656784
ID65273758	2	1.8396282	0.39859313
ID77410133	3	1.85109579	0.76312201
ID66758134	4	11.0072947	0.08815124
ID18922035	3	2.89918118	0.57483647
ID70513309	4	15.536336	0.0164713
ID52822438	3	11.8379061	0.01859824
ID65726372	3	3.7353218	0.44300943
ID50039408	3	2.99793712	0.55817068
ID17338159	2	1.00584966	0.60475925
ID90032571	3	2.65027277	0.61794385
ID37920694	5	117.657715	0
ID44116284	4	10.5710874	0.10257204
ID41899036	3	5.6263093	0.22884787
ID58700737	3	1.18704294	0.88022727
ID29443884	3	1.70114751	0.79050917
ID24563057	3	13.787481	0.00800515
ID80682115	5	11.9685485	0.1526127
ID53420672	3	31.5953315	2.31E-06
ID28103265	3	2.4375925	0.65584458
ID91794396	3	24.2389728	0.00007153
ID19909957	4	38.9234481	7.41E-07
ID39760408	3	7.42971686	0.11484871
ID98663932	3	5.9628476	0.20194007
ID81691468	3	5.91375878	0.20568206
ID26737653	3	9.23298749	0.05553254
ID50069742	3	3.66679053	0.45297446
ID75226804	4	10.0269982	0.12351966
ID57663619	3	13.245966	0.01013445
ID97060132	3	17.6174529	0.00146565
ID61876096	4	4.50948648	0.60807414
ID48498658	4	13.2348875	0.03945391
ID28419890	2	0.94635029	0.62302094
ID14076148	3	29.4781489	0.00000625
ID31522153	4	3.9582966	0.68232015
ID88510084	3	8.00623514	0.09135006
ID29878841	5	40.0088137	3.19E-06
ID34277955	5	24.9575056	0.00158054
ID39400101	3	2.72321463	0.60515851
ID21469215	3	4.67567273	0.32222231
ID42762991	4	9.70560769	0.13760957
ID77248541	3	3.03921305	0.55128477
ID97590142	2	0.65302503	0.72143535
ID16702810	3	3.96186828	0.41119101
ID84726808	3	4.26422092	0.37142682
ID38332413	3	0.91828513	0.92192299
ID52927489	3	12.7598053	0.01251106
ID55596546	4	6.33400425	0.38683302
ID64500382	4	11.4171518	0.07630833
ID10894965	3	0.79659183	0.93890439
ID50798541	4	15.8478368	0.01459441
ID3475993	5	7.51124587	0.48260578
ID41277651	3	5.44852601	0.24429127
ID8020307	5	7.09787593	0.52611041
ID81754780	5	10.9930946	0.20209077
ID22178451	3	4.42417466	0.35163332
ID74216463	4	6.32233156	0.38806744
ID23731648	3	15.2719517	0.00416917
ID29720805	3	3.21640678	0.52228505
ID98656560	4	16.2921581	0.01226885
ID20311329	4	2.07033951	0.91311707
ID17147924	3	2.50620393	0.64352523
ID47586124	3	3.40531215	0.49242109
ID65899403	3	1.42686164	0.83951316
ID54633929	3	5.25006738	0.26258771
ID60239310	3	3.72918988	0.44389467
ID70749443	4	4.52689786	0.60575393
ID74004122	4	3.25718844	0.77594326
ID67552102	4	9.0774865	0.16926695
ID28085117	3	5.73404193	0.21991008
ID41517416	3	7.03232721	0.13418971
ID82960559	5	5.74413144	0.67586791
ID46558118	3	4.21957241	0.37710477
ID69855269	4	4.91441255	0.5548364
ID27583054	5	12.1479333	0.14472451
ID7067659	2	3.6724582	0.15941744
ID18152054	5	46.1644347	2.21E-07
ID87575202	4	5.14404401	0.52547575
ID98268066	4	5.46101012	0.48618163
ID6833070	2	3.92562721	0.14046266
ID52407060	2	1.58852987	0.4519133
ID95749670	4	4.39714015	0.6230972
ID60168965	5	17.4950617	0.0253476
ID33349786	4	8.16666634	0.22614548
ID75114745	2	0.72306413	0.69660826
ID30995343	2	1.23716906	0.53870642
ID61322023	3	3.90590695	0.41888971
ID25517588	4	0.62679974	0.99593671
ID81588432	3	10.0054383	0.04033617
ID37974150	5	12.609014	0.12602908
ID79129002	3	6.62083384	0.15733432
ID29930694	3	1.70925752	0.7890353
ID59259971	3	5.32221138	0.25580484
ID24044851	4	13.2260816	0.03958298
ID57007321	3	2.81079051	0.58997152
ID14643990	3	7.74753511	0.10127656
ID73878799	4	6.41262382	0.37858799
ID5224179	3	3.39424598	0.49413953
ID25292140	4	6.59588049	0.35984029
ID79380194	4	8.81651023	0.18416342
ID80562037	4	2.76742562	0.8374199
ID70382940	4	3.08282743	0.79838165
ID53436963	3	8.42677422	0.07713815
ID79972046	3	5.48519615	0.24103382
ID67379386	3	2.7698216	0.59705319
ID26819389	3	5.31467437	0.25650635
ID37781536	3	3.95057599	0.41273598
ID32690885	5	9.51695094	0.30057786
ID52692615	3	6.15044134	0.1881914
ID72600997	3	2.62639427	0.62215469
ID5437282	4	4.11512132	0.66110068
ID87964086	3	2.91472383	0.57219609
ID24287961	3	1.8110785	0.77045486
ID99895514	3	12.2464721	0.01560953
ID53861159	2	3.04416065	0.21825737
ID26681850	4	8.23242785	0.22156485
ID60680015	4	2.30512064	0.88960854
ID66115244	5	7.41460225	0.49263041
ID60195771	5	6.61368318	0.57882728
ID1673319	4	4.85744425	0.56222287
ID1777777	2	3.63357946	0.16254673
ID85426732	3	2.44419781	0.65465513
ID56891218	3	0.87784024	0.92771825
ID57464430	3	6.00025403	0.1991293
ID3050686	3	4.14467981	0.38677953
ID59187736	3	3.72973591	0.44381579
ID78399715	5	12.5575212	0.12800803
ID40506097	3	7.66074115	0.10482664
ID7056167	3	1.77351116	0.77732492
ID32656335	3	3.95614678	0.41197327
ID68109457	2	1.21395177	0.54499651
ID4767657	3	5.23172364	0.2643367
ID31852169	4	7.4025068	0.28522106
ID99036818	4	6.47239263	0.37240084
ID95906545	3	9.08831104	0.05892963
ID62771404	5	9.35047405	0.3135983
ID68900529	3	1.81636848	0.76948631
ID57557788	2	4.86581967	0.08778103
ID90625120	3	2.65064255	0.61787874
ID60856410	4	6.522432	0.36727485
ID95904976	3	7.59694135	0.10750978
ID33296992	3	23.0753816	0.00012231
ID86937356	4	16.9432436	0.00949411
ID88841618	2	0.23831148	0.88766954
ID23325352	4	3.71579752	0.71507202
ID65961007	4	3.17818806	0.78617301
ID79676144	4	6.20365691	0.40076749
ID55344877	3	2.34038704	0.67342599
ID49674911	2	1.33967773	0.51179104
ID46463062	3	8.61059356	0.07160495
ID56855539	4	6.74642889	0.34493525
ID51237300	4	2.01485246	0.91832756
ID29375517	3	8.6278789	0.0711044
ID68695596	4	21.0832641	0.00177247
ID87317852	4	5.07806218	0.53384081
ID16402531	3	2.92887869	0.56979706
ID86955811	4	16.2773474	0.01234027
ID75447549	4	4.92432877	0.5535546
ID90318813	5	18.3822165	0.01853657
ID64155358	3	2.67023383	0.61443327
ID96850850	5	72.2334609	1.76E-12
ID63062096	3	6.60588775	0.15823967
ID82164052	3	0.73068069	0.94749217
ID38118042	3	6.96699374	0.13764277
ID75736794	3	1.6167259	0.80578287
ID29775742	2	1.34983347	0.50919882
ID31227958	3	11.3798537	0.02261088
ID93855599	5	9.49957347	0.30191854
ID45477239	3	1.98730255	0.73809443
ID84543026	2	3.9078311	0.14171808
ID31578790	5	6.07315003	0.63903816
ID4322051	3	11.6819492	0.01987993
ID79037362	5	7.87677242	0.44559914
ID41174720	4	17.8467015	0.00662694
ID59858101	5	71.463898	2.51E-12
ID30146175	2	0.90603582	0.63570675
