Company Name	Total Assets	Net Income	Return on Assets	Cost of Goods Sold	Total Revenue	Expense: Admin, Selling	# Employees
LOWE'S COMPANIES INC	$33,699.00 	$2,010.00 	0.059645687	$31,663.00 	$48,815.00 	$12,006.00 	234000
MEDCO HEALTH SOLUTIONS INC	$17,097.30 	$1,427.30 	0.083481018	$61,606.10 	$65,968.30 	$1,406.00 	24625
CVS CAREMARK CORP	$62,169.00 	$3,427.00 	0.055123936	$74,687.00 	$96,413.00 	$14,092.00 	280000
NORDSTROM INC	$7,462.00 	$613.00 	0.082149558	$5,570.00 	$9,700.00 	$2,685.00 	54000
OMNICARE INC	$7,363.41 	($106.11)	-0.014410301	$4,687.17 	$6,146.21 	$932.35 	15200
PENNEY (J C) CO	$13,042.00 	$389.00 	0.029826714	$10,799.00 	$17,759.00 	$5,613.00 	156000
PEP BOYS-MANNY MOE & JACK	$1,556.67 	$36.63 	0.023531611	$1,392.14 	$1,988.64 	$442.24 	18279
PIER 1 IMPORTS INC/DE	$743.58 	$100.13 	0.13465317	$841.08 	$1,396.47 	$431.90 	17000
PUBLIX SUPER MARKETS INC	$10,159.09 	$1,338.15 	0.131719219	$17,604.10 	$25,328.05 	$5,295.29 	148000
AUTONATION INC	$5,974.20 	$226.60 	0.037929765	$10,333.50 	$12,461.00 	$1,552.10 	19000
RITE AID CORP	$7,555.85 	($555.42)	-0.073509135	$18,016.86 	$25,214.91 	$6,553.61 	91800
ROSS STORES INC	$3,116.20 	$554.80 	0.178036162	$5,569.04 	$7,866.10 	$1,229.78 	49500
RUDDICK CORP	$1,889.89 	$112.04 	0.059284528	$2,965.25 	$4,400.45 	$1,105.79 	25200
SAFEWAY INC	$15,148.10 	$589.80 	0.038935576	$28,280.10 	$41,050.00 	$10,448.10 	180000
SUPERVALU INC	$13,758.00 	($1,510.00)	-0.109754325	$28,199.00 	$37,572.00 	$7,578.00 	142000
SYMS CORP	$270.77 	($32.86)	-0.121344738	$271.34 	$445.13 	$199.86 	2500
RADIOSHACK CORP	$2,175.40 	$206.10 	0.094741197	$2,454.40 	$4,472.70 	$1,554.70 	36400
TOYS R US INC	$8,832.00 	$168.00 	0.019021739	$8,939.00 	$13,864.00 	$3,900.00 	71000
UNITED STATIONERS INC	$1,908.66 	$112.76 	0.059076432	$4,064.84 	$4,832.24 	$532.35 	5950
VILLAGE SUPER MARKET  -CL A	$357.13 	$25.38 	0.071069558	$918.90 	$1,261.83 	$280.77 	4900
WAL-MART STORES INC	$180,663.00 	$16,389.00 	0.090715863	$307,646.00 	$420,016.00 	$81,020.00 	2100000
WALGREEN CO	$26,275.00 	$2,091.00 	0.079581351	$47,374.00 	$67,420.00 	$15,381.00 	244000
WEIS MARKETS INC	$992.08 	$68.29 	0.068836113	$1,858.19 	$2,620.38 	$608.31 	17700
WILLIAMS-SONOMA INC	$2,131.76 	$200.23 	0.093925588	$1,985.67 	$3,504.16 	$1,046.13 	28000
WINN-DIXIE STORES INC	$1,838.07 	$28.90 	0.015721407	$5,077.96 	$7,247.80 	$2,031.37 	49000
FOOT LOCKER INC	$2,896.00 	$169.00 	0.058356354	$3,533.00 	$5,049.00 	$1,138.00 	38007
ZALE CORP	$1,160.38 	($93.67)	-0.08072521	$802.17 	$1,616.31 	$869.38 	12800
TJX COMPANIES INC	$7,971.76 	$1,343.14 	0.168487322	$15,578.96 	$21,942.19 	$3,710.05 	166000
TUESDAY MORNING CORP	$350.54 	$10.75 	0.030661615	$498.69 	$828.27 	$293.85 	10100
BIG LOTS INC	$1,619.60 	$222.52 	0.137394503	$2,939.79 	$4,952.24 	$1,576.50 	35600
FREDS INC	$595.53 	$29.59 	0.049681963	$1,314.74 	$1,841.76 	$451.06 	9852
TRANS WORLD ENTMT CORP	$348.72 	($30.96)	-0.088789415	$431.89 	$652.42 	$235.49 	4700
INGLES MARKETS INC  -CL A	$1,529.30 	$31.74 	0.02075394	$2,556.54 	$3,399.23 	$653.67 	18800
SAKS INC	$2,143.10 	$47.85 	0.022325603	$1,668.49 	$2,785.75 	$895.38 	12900
CASUAL MALE RETAIL GRP INC	$182.61 	$15.37 	0.08417254	$213.22 	$393.64 	$150.93 	2464
HANCOCK FABRICS INC	$140.92 	($10.46)	-0.074232027	$158.78 	$275.47 	$105.65 	4300
AMERICA'S CAR-MART INC	$276.41 	$28.18 	0.101932282	$195.99 	$341.86 	$133.11 	1025
TIFFANY & CO	$3,735.67 	$368.40 	0.098617677	$1,111.58 	$3,085.29 	$1,210.87 	9200
FERRELLGAS PARTNERS  -LP	$1,442.35 	$32.71 	0.022677559	$1,775.19 	$2,099.06 	$74.54 	3685
FASTENAL CO	$1,468.28 	$265.36 	0.180725378	$1,053.88 	$2,269.47 	$745.11 	13285
GSI COMMERCE INC	$1,107.16 	($36.50)	-0.032968978	$565.40 	$1,357.99 	$698.79 	5304
OFFICE DEPOT INC	$4,569.44 	($44.62)	-0.009765536	$8,067.64 	$11,633.09 	$3,319.13 	40000
STAPLES INC	$13,911.67 	$881.95 	0.063396285	$17,501.78 	$24,545.11 	$4,913.19 	89019
ANN INC	$926.82 	$73.40 	0.079192292	$780.68 	$1,980.20 	$978.58 	19400
WET SEAL INC	$368.53 	$12.57 	0.0341083	$384.47 	$581.19 	$148.83 	6982
AUTOZONE INC	$5,571.59 	$738.31 	0.132513424	$3,458.78 	$7,362.62 	$2,392.33 	63000
DSW INC	$1,041.48 	$17.79 	0.017085351	$961.85 	$1,822.38 	$638.69 	10500
VALUEVISION MEDIA INC  -CL A	$238.36 	($25.87)	-0.108525376	$362.57 	$562.27 	$200.67 	905
BON-TON STORES INC	$1,656.24 	$21.49 	0.012977596	$1,860.18 	$3,046.49 	$942.66 	26500
WHOLE FOODS MARKET INC	$3,986.54 	$245.83 	0.061665755	$5,605.29 	$9,005.79 	$2,694.93 	58300
CHRISTOPHER & BANKS CORP	$234.16 	($22.17)	-0.094664827	$292.71 	$448.13 	$143.74 	6400
MENS WEARHOUSE INC	$1,320.32 	$67.70 	0.051273254	$1,128.23 	$2,102.66 	$787.26 	16600
STEIN MART INC	$436.44 	$48.75 	0.111705053	$852.30 	$1,181.51 	$287.39 	11500
BUCKLE INC	$494.84 	$134.68 	0.272170624	$500.93 	$949.84 	$208.36 	7600
KOHL'S CORP	$13,564.00 	$1,114.00 	0.082129165	$11,359.00 	$18,391.00 	$4,462.00 	136000
BED BATH & BEYOND INC	$5,646.19 	$791.33 	0.140153374	$5,135.57 	$8,758.50 	$2,150.65 	45000
FINISH LINE INC  -CL A	$664.85 	$68.83 	0.103533906	$788.11 	$1,229.00 	$304.30 	11500
BOOKS-A-MILLION INC	$274.80 	$8.94 	0.032528875	$346.86 	$494.96 	$118.43 	5300
SPORT CHALET INC	$127.12 	($3.02)	-0.023717747	$260.13 	$362.48 	$92.65 	3100
DESTINATION MATERNITY CORP	$205.15 	$16.83 	0.08203106	$240.17 	$531.19 	$241.02 	4367
PACIFIC SUNWEAR CALIF INC	$401.28 	($96.65)	-0.240851683	$668.47 	$929.51 	$300.53 	11500
SHOE CARNIVAL INC	$345.15 	$26.82 	0.077709369	$503.92 	$739.19 	$179.15 	4300
CHICOS FAS INC	$1,416.02 	$115.39 	0.081491729	$742.27 	$1,904.95 	$889.63 	18900
O'REILLY AUTOMOTIVE INC	$5,047.83 	$419.37 	0.083079908	$2,608.30 	$5,397.53 	$1,887.32 	46858
PETSMART INC	$2,470.22 	$239.87 	0.097103497	$3,803.34 	$5,693.80 	$1,225.80 	47000
SPARTAN STORES INC	$751.40 	$32.31 	0.04299597	$1,976.55 	$2,533.06 	$452.86 	8600
BARNES & NOBLE INC	$3,596.47 	($73.92)	-0.02055351	$5,205.71 	$6,998.57 	$1,619.72 	35000
COSTCO WHOLESALE CORP	$23,815.00 	$1,303.00 	0.054713416	$67,200.00 	$77,946.00 	$7,876.00 	147000
URBAN OUTFITTERS INC	$1,794.32 	$272.96 	0.152123282	$1,245.08 	$2,274.10 	$522.42 	16000
TALBOTS INC	$668.52 	$10.82 	0.016177623	$693.73 	$1,252.36 	$440.48 	9096
WEST MARINE INC	$308.89 	$13.23 	0.042821624	$432.46 	$622.80 	$160.76 	3927
TRACTOR SUPPLY CO	$1,463.47 	$167.97 	0.114776211	$2,434.67 	$3,638.34 	$867.64 	14700
AMERN EAGLE OUTFITTERS INC	$1,880.00 	$140.65 	0.074812314	$1,797.93 	$2,967.56 	$713.20 	39900
NUTRISYSTEM INC	$149.95 	$33.64 	0.224316953	$224.81 	$509.52 	$219.72 	647
PANTRY INC	$1,896.45 	($165.62)	-0.087328957	$5,495.61 	$6,367.76 	$639.87 	14419
DOLLAR TREE INC	$2,380.50 	$397.30 	0.166897711	$3,608.80 	$5,882.40 	$1,457.60 	63860
PC MALL INC	$334.09 	$7.57 	0.022667477	$1,188.86 	$1,368.31 	$156.83 	2657
BORDERS GROUP INC	$964.70 	($299.00)	-0.309940914	$1,823.10 	$2,274.90 	$660.20 	16400
SYSTEMAX INC	$894.10 	$42.55 	0.047590874	$3,079.56 	$3,589.99 	$422.91 	5600
STAR GAS PARTNERS  -LP	$582.51 	$28.32 	0.048617358	$904.05 	$1,212.78 	$240.02 	2729
AMERIGAS PARTNERS  -LP	$1,696.22 	$165.21 	0.097400748	$1,396.78 	$2,320.34 	$609.71 	5800
SUBURBAN PROPANE PRTNRS  -LP	$970.26 	$115.32 	0.118850617	$888.02 	$1,136.69 	$61.66 	2598
COST PLUS INC	$348.65 	$2.86 	0.008197356	$602.79 	$916.56 	$274.28 	5922
COLLECTIVE BRANDS INC	$2,268.50 	$112.80 	0.049724488	$2,038.80 	$3,375.70 	$1,011.50 	29000
99 CENTS ONLY STORES	$824.22 	$74.31 	0.090156088	$842.76 	$1,423.88 	$433.83 	12000
RUSH ENTERPRISES INC	$1,167.93 	$31.28 	0.026784071	$1,213.04 	$1,497.93 	$227.47 	3010
STATER BROS HOLDINGS INC	$1,322.79 	$24.58 	0.018585003	$2,625.59 	$3,606.84 	$819.70 	16300
BIOSCRIP INC	$663.99 	($69.14)	-0.104131714	$1,369.65 	$1,638.62 	$223.60 	2589
HOT TOPIC INC	$310.61 	($8.24)	-0.026512603	$433.99 	$708.24 	$247.09 	8900
ABERCROMBIE & FITCH  -CL A	$2,947.90 	$150.28 	0.050979646	$1,027.44 	$3,468.78 	$1,990.31 	85000
HIBBETT SPORTS INC	$314.27 	$46.40 	0.147646095	$434.55 	$664.95 	$143.23 	6050
PENSKE AUTOMOTIVE GROUP INC	$4,069.83 	$108.28 	0.026605767	$9,012.04 	$10,713.59 	$1,412.97 	14800
STAGE STORES INC	$796.08 	$37.64 	0.047281443	$1,004.27 	$1,470.59 	$345.26 	13500
LITHIA MOTORS INC  -CL A	$971.68 	$13.72 	0.014118904	$1,750.17 	$2,131.60 	$299.37 	4039
COLDWATER CREEK INC	$506.72 	($44.11)	-0.087051505	$610.49 	$981.10 	$350.66 	9198
CARMAX INC	$6,839.91 	$380.88 	0.055684659	$7,821.51 	$9,402.14 	$905.09 	15565
AMAZON.COM INC	$18,797.00 	$1,152.00 	0.061286376	$26,009.00 	$34,204.00 	$6,131.00 	33700
BJ'S WHOLESALE CLUB INC	$2,321.68 	$95.01 	0.040923471	$9,570.29 	$10,877.24 	$946.41 	24800
PRICESMART INC	$572.57 	$49.32 	0.086129959	$1,145.00 	$1,395.89 	$160.73 	4728
PETMED EXPRESS INC	$106.29 	$20.87 	0.19636456	$147.69 	$231.64 	$49.56 	204
CHILDRENS PLACE RETAIL STRS	$854.33 	$83.12 	0.097297183	$1,010.85 	$1,674.00 	$455.86 	20800
A.C. MOORE ARTS & CRAFTS INC	$237.46 	($30.18)	-0.127097231	$246.15 	$448.06 	$214.00 	4710
GROUP 1 AUTOMOTIVE INC	$2,201.96 	$50.30 	0.02284506	$4,632.14 	$5,509.17 	$694.94 	7454
SONIC AUTOMOTIVE INC  -CL A	$2,250.76 	$89.93 	0.039954878	$5,766.17 	$6,880.84 	$896.30 	9200
PC CONNECTION INC	$420.94 	$22.96 	0.054546837	$1,738.87 	$1,974.20 	$191.23 	1556
MARINEMAX INC	$336.76 	$2.50 	0.007414776	$332.93 	$450.34 	$122.95 	1158
SCHOOL SPECIALTY INC	$637.54 	($356.27)	-0.558821038	$437.54 	$762.08 	$274.76 	1919
HASTINGS ENTERTAINMENT INC	$229.68 	$1.71 	0.007423275	$304.50 	$521.06 	$184.14 	5848
BELK INC	$2,389.63 	$127.63 	0.053409083	$2,213.30 	$3,513.28 	$920.17 	24000
DELIAS INC	$139.70 	($21.64)	-0.154921512	$136.57 	$220.70 	$95.75 	2605
1-800-FLOWERS.COM	$256.09 	($4.22)	-0.016482744	$398.94 	$667.71 	$240.14 	2200
GAIAM INC	$207.80 	$4.28 	0.020572963	$133.75 	$274.27 	$129.69 	574
ASBURY AUTOMOTIVE GROUP INC	$1,486.30 	$38.10 	0.025634125	$3,287.30 	$3,936.00 	$498.60 	7100
BIG 5 SPORTING GOODS CORP	$392.36 	$20.56 	0.052406488	$580.47 	$897.61 	$261.99 	8900
GAMESTOP CORP	$5,063.80 	$408.00 	0.080571903	$6,936.10 	$9,473.70 	$1,700.30 	68000
ADVANCE AUTO PARTS INC	$3,354.22 	$346.05 	0.103169533	$2,799.45 	$5,925.20 	$2,376.38 	51017
AEROPOSTALE INC	$773.20 	$231.34 	0.299198005	$1,455.55 	$2,400.43 	$499.37 	17828
OVERSTOCK.COM INC	$217.96 	$13.89 	0.063722994	$899.05 	$1,089.87 	$166.34 	1500
TRAVELCENTERS OF AMERICA LLC	$894.09 	($65.57)	-0.073338337	$5,880.96 	$5,962.48 	$80.56 	15170
KIRKLAND'S INC	$195.08 	$26.43 	0.135490089	$244.76 	$415.30 	$115.75 	3948
DICKS SPORTING GOODS INC	$2,597.54 	$182.08 	0.070096045	$3,316.36 	$4,871.49 	$1,127.96 	26700
CONN'S INC	$849.03 	($1.01)	-0.001188416	$472.76 	$789.67 	$268.15 	27000
GOLFSMITH INTL HOLDINGS INC	$175.03 	($5.49)	-0.031383012	$222.34 	$351.85 	$123.40 	1621
NEW YORK & CO INC	$355.21 	($76.46)	-0.215255764	$746.44 	$1,021.70 	$281.74 	7949
GENERAL NUTRITION CNTRS INC	$2,382.48 	$98.17 	0.041206309	$1,133.04 	$1,822.40 	$424.59 	13086
BUILD-A-BEAR WORKSHOP INC	$275.79 	$0.10 	0.000377093	$213.26 	$401.45 	$164.32 	5500
INERGY LP	$3,097.10 	($23.80)	-0.007684608	$1,165.90 	$1,786.00 	$309.00 	3082
ZUMIEZ INC	$301.63 	$24.20 	0.080240426	$289.65 	$478.85 	$130.93 	4840
CITI TRENDS INC	$306.40 	$20.85 	0.068054386	$383.32 	$622.53 	$187.23 	5000
HARRY & DAVID HOLDINGS INC	$243.21 	($39.23)	-0.161290057	$252.85 	$426.77 	$179.06 	1026
SUSSER HOLDINGS CORP	$914.34 	$0.79 	0.000859637	$3,626.85 	$3,930.63 	$186.59 	7165
LIQUIDITY SERVICES INC	$164.90 	$12.01 	0.072848445	$211.06 	$286.79 	$46.13 	704
DELEK US HOLDINGS INC	$1,144.60 	($79.90)	-0.069806046	$3,641.90 	$3,755.60 	$59.00 	3395
GENERAL FINANCE CORP/DE	$346.88 	($11.25)	-0.032434848	$87.81 	$156.31 	$37.67 	407
LIBERTY MEDIA INTERACTIVE	$16,294.00 	$871.00 	0.05345526	$6,504.00 	$8,932.00 	$749.00 	
LIBERTY MEDIA CORP -CONSOL	$26,600.00 	$1,892.00 	0.07112782	$7,788.00 	$10,982.00 	$1,274.00 	24073
SALLY BEAUTY HOLDINGS INC	$1,589.41 	$143.83 	0.090491326	$1,511.72 	$2,916.09 	$1,012.32 	22900
CLEAN ENERGY FUELS CORP	$583.50 	($2.52)	-0.004311918	$141.89 	$211.83 	$62.21 	710
US AUTO PARTS NETWORK INC	$153.54 	($13.93)	-0.090701264	$163.20 	$262.28 	$82.83 	1621
HHGREGG INC	$549.65 	$48.21 	0.08770752	$1,447.89 	$2,077.65 	$517.16 	5600
VITAMIN SHOPPE INC	$485.72 	$29.25 	0.060212017	$501.95 	$751.48 	$169.37 	3581
ULTA SALON COSMETCS & FRAG	$730.49 	$71.03 	0.097236368	$905.82 	$1,454.84 	$365.20 	11700
LUMBER LIQUIDATORS HLDGS INC	$242.29 	$26.27 	0.108407281	$398.68 	$620.28 	$173.17 	1191
TITAN MACHINERY INC	$648.85 	$22.34 	0.03443344	$910.95 	$1,094.49 	$130.54 	1874
VITACOST.COM INC	$102.11 	($15.19)	-0.148778219	$164.21 	$220.68 	$57.05 	415
HSN INC	$1,345.74 	$98.52 	0.073210858	$1,935.77 	$2,999.28 	$823.40 	5800
PERFUMANIA HOLDINGS INC	$300.47 	($3.72)	-0.012393834	$303.95 	$484.80 	$162.16 	1996
RUE21 INC	$260.79 	$30.24 	0.11597026	$399.90 	$634.73 	$163.01 	7243
TOPS HOLDING CORP	$680.35 	($26.95)	-0.039617786	$1,619.48 	$2,257.54 	$519.48 	12700
EXPRESS INC	$862.75 	$127.39 	0.147653605	$1,162.49 	$1,905.81 	$463.01 	16000
FRESH MARKET INC	$258.00 	$22.92 	0.088817141	$654.99 	$974.21 	$216.35 	7300
GORDMANS STORES INC	$125.13 	$15.60 	0.124650375	$298.96 	$523.32 	$183.92 	4200
GNC HOLDINGS INC	$2,425.08 	$96.57 	0.03982008	$1,132.89 	$1,822.17 	$426.19 	13086
NGL ENERGY PARTNERS LP	$163.83 	$10.16 	0.062038783	$893.94 	$939.18 	$29.36 	353
BLUESTEM BRANDS INC-REDH	$614.00 	($11.52)	-0.018768669	$270.51 	$521.31 	$177.23 	831
TILLY'S INC -REDH	$130.97 	$24.42 	0.186418679	$215.70 	$332.60 	$75.68 	3100
BLUE NILE INC	$151.81 	$14.14 	0.093155305	$257.82 	$332.89 	$50.65 	193
CABELAS INC	$4,531.18 	$112.16 	0.024752719	$1,575.45 	$2,663.24 	$817.53 	13700
