Date	Market Return	Day of Week	Year	Month	D(Jan)	D(Feb)	D(Mar)	D(Apr)	D(May)	D(Jun)	D(Jul)	D(Aug)	D(Sep)	D(Oct)	D(Nov)	D(Dec)
20100208	-0.00823	Monday	2010	2	0	1	0	0	0	0	0	0	0	0	0	0
20100209	0.013882	Tuesday	2010	2	0	1	0	0	0	0	0	0	0	0	0	0
20100210	-0.001473	Wednesday	2010	2	0	1	0	0	0	0	0	0	0	0	0	0
20100211	0.012092	Thursday	2010	2	0	1	0	0	0	0	0	0	0	0	0	0
20100212	-0.000656	Friday	2010	2	0	1	0	0	0	0	0	0	0	0	0	0
20100216	0.017967	Tuesday	2010	2	0	1	0	0	0	0	0	0	0	0	0	0
20100217	0.00466	Wednesday	2010	2	0	1	0	0	0	0	0	0	0	0	0	0
20100218	0.006188	Thursday	2010	2	0	1	0	0	0	0	0	0	0	0	0	0
20100219	0.002455	Friday	2010	2	0	1	0	0	0	0	0	0	0	0	0	0
20100222	-0.001113	Monday	2010	2	0	1	0	0	0	0	0	0	0	0	0	0
20100223	-0.013062	Tuesday	2010	2	0	1	0	0	0	0	0	0	0	0	0	0
20100224	0.008521	Wednesday	2010	2	0	1	0	0	0	0	0	0	0	0	0	0
20100225	-0.000715	Thursday	2010	2	0	1	0	0	0	0	0	0	0	0	0	0
20100226	0.00185	Friday	2010	2	0	1	0	0	0	0	0	0	0	0	0	0
20100301	0.011973	Monday	2010	3	0	0	1	0	0	0	0	0	0	0	0	0
20100302	0.004407	Tuesday	2010	3	0	0	1	0	0	0	0	0	0	0	0	0
20100303	0.001601	Wednesday	2010	3	0	0	1	0	0	0	0	0	0	0	0	0
20100304	0.003093	Thursday	2010	3	0	0	1	0	0	0	0	0	0	0	0	0
20100305	0.014478	Friday	2010	3	0	0	1	0	0	0	0	0	0	0	0	0
20100308	0.000734	Monday	2010	3	0	0	1	0	0	0	0	0	0	0	0	0
20100309	0.001687	Tuesday	2010	3	0	0	1	0	0	0	0	0	0	0	0	0
20100310	0.005053	Wednesday	2010	3	0	0	1	0	0	0	0	0	0	0	0	0
20100311	0.003972	Thursday	2010	3	0	0	1	0	0	0	0	0	0	0	0	0
20100312	0.000743	Friday	2010	3	0	0	1	0	0	0	0	0	0	0	0	0
20100315	-0.000682	Monday	2010	3	0	0	1	0	0	0	0	0	0	0	0	0
20100316	0.008741	Tuesday	2010	3	0	0	1	0	0	0	0	0	0	0	0	0
20100317	0.005593	Wednesday	2010	3	0	0	1	0	0	0	0	0	0	0	0	0
20100318	-0.002025	Thursday	2010	3	0	0	1	0	0	0	0	0	0	0	0	0
20100319	-0.006885	Friday	2010	3	0	0	1	0	0	0	0	0	0	0	0	0
20100322	0.005856	Monday	2010	3	0	0	1	0	0	0	0	0	0	0	0	0
20100323	0.007662	Tuesday	2010	3	0	0	1	0	0	0	0	0	0	0	0	0
20100324	-0.006607	Wednesday	2010	3	0	0	1	0	0	0	0	0	0	0	0	0
20100325	-0.002434	Thursday	2010	3	0	0	1	0	0	0	0	0	0	0	0	0
20100326	0.000645	Friday	2010	3	0	0	1	0	0	0	0	0	0	0	0	0
20100329	0.006781	Monday	2010	3	0	0	1	0	0	0	0	0	0	0	0	0
20100330	0.000455	Tuesday	2010	3	0	0	1	0	0	0	0	0	0	0	0	0
20100331	-0.002771	Wednesday	2010	3	0	0	1	0	0	0	0	0	0	0	0	0
20100401	0.00864	Thursday	2010	4	0	0	0	1	0	0	0	0	0	0	0	0
20100405	0.009532	Monday	2010	4	0	0	0	1	0	0	0	0	0	0	0	0
20100406	0.002102	Tuesday	2010	4	0	0	0	1	0	0	0	0	0	0	0	0
20100407	-0.005359	Wednesday	2010	4	0	0	0	1	0	0	0	0	0	0	0	0
20100408	0.002843	Thursday	2010	4	0	0	0	1	0	0	0	0	0	0	0	0
20100409	0.006691	Friday	2010	4	0	0	0	1	0	0	0	0	0	0	0	0
20100412	0.001784	Monday	2010	4	0	0	0	1	0	0	0	0	0	0	0	0
20100413	0.000735	Tuesday	2010	4	0	0	0	1	0	0	0	0	0	0	0	0
20100414	0.012322	Wednesday	2010	4	0	0	0	1	0	0	0	0	0	0	0	0
20100415	0.000098	Thursday	2010	4	0	0	0	1	0	0	0	0	0	0	0	0
20100416	-0.016104	Friday	2010	4	0	0	0	1	0	0	0	0	0	0	0	0
20100419	0.002261	Monday	2010	4	0	0	0	1	0	0	0	0	0	0	0	0
20100420	0.009795	Tuesday	2010	4	0	0	0	1	0	0	0	0	0	0	0	0
20100421	-0.000546	Wednesday	2010	4	0	0	0	1	0	0	0	0	0	0	0	0
20100422	0.003573	Thursday	2010	4	0	0	0	1	0	0	0	0	0	0	0	0
20100423	0.007441	Friday	2010	4	0	0	0	1	0	0	0	0	0	0	0	0
20100426	-0.003211	Monday	2010	4	0	0	0	1	0	0	0	0	0	0	0	0
20100427	-0.023846	Tuesday	2010	4	0	0	0	1	0	0	0	0	0	0	0	0
20100428	0.005229	Wednesday	2010	4	0	0	0	1	0	0	0	0	0	0	0	0
20100429	0.013619	Thursday	2010	4	0	0	0	1	0	0	0	0	0	0	0	0
20100430	-0.016825	Friday	2010	4	0	0	0	1	0	0	0	0	0	0	0	0
20100503	0.012862	Monday	2010	5	0	0	0	0	1	0	0	0	0	0	0	0
20100504	-0.025348	Tuesday	2010	5	0	0	0	0	1	0	0	0	0	0	0	0
20100505	-0.009193	Wednesday	2010	5	0	0	0	0	1	0	0	0	0	0	0	0
20100506	-0.032545	Thursday	2010	5	0	0	0	0	1	0	0	0	0	0	0	0
20100507	-0.015838	Friday	2010	5	0	0	0	0	1	0	0	0	0	0	0	0
20100510	0.044896	Monday	2010	5	0	0	0	0	1	0	0	0	0	0	0	0
20100511	-0.000931	Tuesday	2010	5	0	0	0	0	1	0	0	0	0	0	0	0
20100512	0.016244	Wednesday	2010	5	0	0	0	0	1	0	0	0	0	0	0	0
20100513	-0.010841	Thursday	2010	5	0	0	0	0	1	0	0	0	0	0	0	0
20100514	-0.019385	Friday	2010	5	0	0	0	0	1	0	0	0	0	0	0	0
20100517	-0.000563	Monday	2010	5	0	0	0	0	1	0	0	0	0	0	0	0
20100518	-0.013635	Tuesday	2010	5	0	0	0	0	1	0	0	0	0	0	0	0
20100519	-0.007144	Wednesday	2010	5	0	0	0	0	1	0	0	0	0	0	0	0
20100520	-0.040349	Thursday	2010	5	0	0	0	0	1	0	0	0	0	0	0	0
20100521	0.015276	Friday	2010	5	0	0	0	0	1	0	0	0	0	0	0	0
20100524	-0.012031	Monday	2010	5	0	0	0	0	1	0	0	0	0	0	0	0
20100525	-0.000157	Tuesday	2010	5	0	0	0	0	1	0	0	0	0	0	0	0
20100526	-0.00287	Wednesday	2010	5	0	0	0	0	1	0	0	0	0	0	0	0
20100527	0.035092	Thursday	2010	5	0	0	0	0	1	0	0	0	0	0	0	0
20100528	-0.011746	Friday	2010	5	0	0	0	0	1	0	0	0	0	0	0	0
20100601	-0.018501	Tuesday	2010	6	0	0	0	0	0	1	0	0	0	0	0	0
20100602	0.026561	Wednesday	2010	6	0	0	0	0	0	1	0	0	0	0	0	0
20100603	0.004793	Thursday	2010	6	0	0	0	0	0	1	0	0	0	0	0	0
20100604	-0.035853	Friday	2010	6	0	0	0	0	0	1	0	0	0	0	0	0
20100607	-0.014002	Monday	2010	6	0	0	0	0	0	1	0	0	0	0	0	0
20100608	0.009217	Tuesday	2010	6	0	0	0	0	0	1	0	0	0	0	0	0
20100609	-0.003829	Wednesday	2010	6	0	0	0	0	0	1	0	0	0	0	0	0
20100610	0.029495	Thursday	2010	6	0	0	0	0	0	1	0	0	0	0	0	0
20100611	0.006185	Friday	2010	6	0	0	0	0	0	1	0	0	0	0	0	0
20100614	0.000012	Monday	2010	6	0	0	0	0	0	1	0	0	0	0	0	0
20100615	0.023846	Tuesday	2010	6	0	0	0	0	0	1	0	0	0	0	0	0
20100616	-0.001212	Wednesday	2010	6	0	0	0	0	0	1	0	0	0	0	0	0
20100617	0.000908	Thursday	2010	6	0	0	0	0	0	1	0	0	0	0	0	0
20100618	0.001705	Friday	2010	6	0	0	0	0	0	1	0	0	0	0	0	0
20100621	-0.004316	Monday	2010	6	0	0	0	0	0	1	0	0	0	0	0	0
20100622	-0.016132	Tuesday	2010	6	0	0	0	0	0	1	0	0	0	0	0	0
20100623	-0.002925	Wednesday	2010	6	0	0	0	0	0	1	0	0	0	0	0	0
20100624	-0.016249	Thursday	2010	6	0	0	0	0	0	1	0	0	0	0	0	0
20100625	0.006049	Friday	2010	6	0	0	0	0	0	1	0	0	0	0	0	0
20100628	-0.003124	Monday	2010	6	0	0	0	0	0	1	0	0	0	0	0	0
20100629	-0.032886	Tuesday	2010	6	0	0	0	0	0	1	0	0	0	0	0	0
20100630	-0.008951	Wednesday	2010	6	0	0	0	0	0	1	0	0	0	0	0	0
20100701	-0.003937	Thursday	2010	7	0	0	0	0	0	0	1	0	0	0	0	0
20100702	-0.0036	Friday	2010	7	0	0	0	0	0	0	1	0	0	0	0	0
20100706	0.003311	Tuesday	2010	7	0	0	0	0	0	0	1	0	0	0	0	0
20100707	0.030875	Wednesday	2010	7	0	0	0	0	0	0	1	0	0	0	0	0
20100708	0.009558	Thursday	2010	7	0	0	0	0	0	0	1	0	0	0	0	0
20100709	0.0089	Friday	2010	7	0	0	0	0	0	0	1	0	0	0	0	0
20100712	-0.001339	Monday	2010	7	0	0	0	0	0	0	1	0	0	0	0	0
20100713	0.017184	Tuesday	2010	7	0	0	0	0	0	0	1	0	0	0	0	0
20100714	-0.000638	Wednesday	2010	7	0	0	0	0	0	0	1	0	0	0	0	0
20100715	0.00042	Thursday	2010	7	0	0	0	0	0	0	1	0	0	0	0	0
20100716	-0.028522	Friday	2010	7	0	0	0	0	0	0	1	0	0	0	0	0
20100719	0.005	Monday	2010	7	0	0	0	0	0	0	1	0	0	0	0	0
20100720	0.01263	Tuesday	2010	7	0	0	0	0	0	0	1	0	0	0	0	0
20100721	-0.012841	Wednesday	2010	7	0	0	0	0	0	0	1	0	0	0	0	0
20100722	0.023554	Thursday	2010	7	0	0	0	0	0	0	1	0	0	0	0	0
20100723	0.009626	Friday	2010	7	0	0	0	0	0	0	1	0	0	0	0	0
20100726	0.011607	Monday	2010	7	0	0	0	0	0	0	1	0	0	0	0	0
20100727	-0.002526	Tuesday	2010	7	0	0	0	0	0	0	1	0	0	0	0	0
20100728	-0.00746	Wednesday	2010	7	0	0	0	0	0	0	1	0	0	0	0	0
20100729	-0.002607	Thursday	2010	7	0	0	0	0	0	0	1	0	0	0	0	0
20100730	0.00152	Friday	2010	7	0	0	0	0	0	0	1	0	0	0	0	0
20100802	0.020544	Monday	2010	8	0	0	0	0	0	0	0	1	0	0	0	0
20100803	-0.005141	Tuesday	2010	8	0	0	0	0	0	0	0	1	0	0	0	0
20100804	0.007461	Wednesday	2010	8	0	0	0	0	0	0	0	1	0	0	0	0
20100805	-0.002492	Thursday	2010	8	0	0	0	0	0	0	0	1	0	0	0	0
20100806	-0.003544	Friday	2010	8	0	0	0	0	0	0	0	1	0	0	0	0
20100809	0.005842	Monday	2010	8	0	0	0	0	0	0	0	1	0	0	0	0
20100810	-0.007991	Tuesday	2010	8	0	0	0	0	0	0	0	1	0	0	0	0
20100811	-0.0292	Wednesday	2010	8	0	0	0	0	0	0	0	1	0	0	0	0
20100812	-0.004668	Thursday	2010	8	0	0	0	0	0	0	0	1	0	0	0	0
20100813	-0.003873	Friday	2010	8	0	0	0	0	0	0	0	1	0	0	0	0
20100816	0.00145	Monday	2010	8	0	0	0	0	0	0	0	1	0	0	0	0
20100817	0.013884	Tuesday	2010	8	0	0	0	0	0	0	0	1	0	0	0	0
20100818	0.002325	Wednesday	2010	8	0	0	0	0	0	0	0	1	0	0	0	0
20100819	-0.016702	Thursday	2010	8	0	0	0	0	0	0	0	1	0	0	0	0
20100820	-0.00331	Friday	2010	8	0	0	0	0	0	0	0	1	0	0	0	0
20100823	-0.004849	Monday	2010	8	0	0	0	0	0	0	0	1	0	0	0	0
20100824	-0.01443	Tuesday	2010	8	0	0	0	0	0	0	0	1	0	0	0	0
20100825	0.004572	Wednesday	2010	8	0	0	0	0	0	0	0	1	0	0	0	0
20100826	-0.006642	Thursday	2010	8	0	0	0	0	0	0	0	1	0	0	0	0
20100827	0.018436	Friday	2010	8	0	0	0	0	0	0	0	1	0	0	0	0
20100830	-0.014211	Monday	2010	8	0	0	0	0	0	0	0	1	0	0	0	0
20100831	0.000134	Tuesday	2010	8	0	0	0	0	0	0	0	1	0	0	0	0
20100901	0.029083	Wednesday	2010	9	0	0	0	0	0	0	0	0	1	0	0	0
20100902	0.009531	Thursday	2010	9	0	0	0	0	0	0	0	0	1	0	0	0
20100903	0.01297	Friday	2010	9	0	0	0	0	0	0	0	0	1	0	0	0
20100907	-0.011857	Tuesday	2010	9	0	0	0	0	0	0	0	0	1	0	0	0
20100908	0.006322	Wednesday	2010	9	0	0	0	0	0	0	0	0	1	0	0	0
20100909	0.003759	Thursday	2010	9	0	0	0	0	0	0	0	0	1	0	0	0
20100910	0.004483	Friday	2010	9	0	0	0	0	0	0	0	0	1	0	0	0
20100913	0.012854	Monday	2010	9	0	0	0	0	0	0	0	0	1	0	0	0
20100914	-0.000108	Tuesday	2010	9	0	0	0	0	0	0	0	0	1	0	0	0
20100915	0.002958	Wednesday	2010	9	0	0	0	0	0	0	0	0	1	0	0	0
20100916	-0.000756	Thursday	2010	9	0	0	0	0	0	0	0	0	1	0	0	0
20100917	0.001132	Friday	2010	9	0	0	0	0	0	0	0	0	1	0	0	0
20100920	0.015165	Monday	2010	9	0	0	0	0	0	0	0	0	1	0	0	0
20100921	-0.003097	Tuesday	2010	9	0	0	0	0	0	0	0	0	1	0	0	0
20100922	-0.005024	Wednesday	2010	9	0	0	0	0	0	0	0	0	1	0	0	0
20100923	-0.008098	Thursday	2010	9	0	0	0	0	0	0	0	0	1	0	0	0
20100924	0.021174	Friday	2010	9	0	0	0	0	0	0	0	0	1	0	0	0
20100927	-0.004456	Monday	2010	9	0	0	0	0	0	0	0	0	1	0	0	0
20100928	0.005781	Tuesday	2010	9	0	0	0	0	0	0	0	0	1	0	0	0
20100929	-0.001081	Wednesday	2010	9	0	0	0	0	0	0	0	0	1	0	0	0
20100930	-0.001993	Thursday	2010	9	0	0	0	0	0	0	0	0	1	0	0	0
20101001	0.004938	Friday	2010	10	0	0	0	0	0	0	0	0	0	1	0	0
20101004	-0.008282	Monday	2010	10	0	0	0	0	0	0	0	0	0	1	0	0
20101005	0.02055	Tuesday	2010	10	0	0	0	0	0	0	0	0	0	1	0	0
20101006	-0.000341	Wednesday	2010	10	0	0	0	0	0	0	0	0	0	1	0	0
20101007	-0.002127	Thursday	2010	10	0	0	0	0	0	0	0	0	0	1	0	0
20101008	0.007606	Friday	2010	10	0	0	0	0	0	0	0	0	0	1	0	0
20101011	0.000551	Monday	2010	10	0	0	0	0	0	0	0	0	0	1	0	0
20101012	0.003649	Tuesday	2010	10	0	0	0	0	0	0	0	0	0	1	0	0
20101013	0.008783	Wednesday	2010	10	0	0	0	0	0	0	0	0	0	1	0	0
20101014	-0.003667	Thursday	2010	10	0	0	0	0	0	0	0	0	0	1	0	0
20101015	0.000698	Friday	2010	10	0	0	0	0	0	0	0	0	0	1	0	0
20101018	0.00629	Monday	2010	10	0	0	0	0	0	0	0	0	0	1	0	0
20101019	-0.017199	Tuesday	2010	10	0	0	0	0	0	0	0	0	0	1	0	0
20101020	0.011258	Wednesday	2010	10	0	0	0	0	0	0	0	0	0	1	0	0
20101021	0.000278	Thursday	2010	10	0	0	0	0	0	0	0	0	0	1	0	0
20101022	0.002655	Friday	2010	10	0	0	0	0	0	0	0	0	0	1	0	0
20101025	0.003727	Monday	2010	10	0	0	0	0	0	0	0	0	0	1	0	0
20101026	-0.000427	Tuesday	2010	10	0	0	0	0	0	0	0	0	0	1	0	0
20101027	-0.003318	Wednesday	2010	10	0	0	0	0	0	0	0	0	0	1	0	0
20101028	0.001148	Thursday	2010	10	0	0	0	0	0	0	0	0	0	1	0	0
20101029	0.001653	Friday	2010	10	0	0	0	0	0	0	0	0	0	1	0	0
20101101	0.000149	Monday	2010	11	0	0	0	0	0	0	0	0	0	0	1	0
20101102	0.00904	Tuesday	2010	11	0	0	0	0	0	0	0	0	0	0	1	0
20101103	0.003443	Wednesday	2010	11	0	0	0	0	0	0	0	0	0	0	1	0
20101104	0.019912	Thursday	2010	11	0	0	0	0	0	0	0	0	0	0	1	0
20101105	0.004012	Friday	2010	11	0	0	0	0	0	0	0	0	0	0	1	0
20101108	-0.0009	Monday	2010	11	0	0	0	0	0	0	0	0	0	0	1	0
20101109	-0.00848	Tuesday	2010	11	0	0	0	0	0	0	0	0	0	0	1	0
20101110	0.005431	Wednesday	2010	11	0	0	0	0	0	0	0	0	0	0	1	0
20101111	-0.003616	Thursday	2010	11	0	0	0	0	0	0	0	0	0	0	1	0
20101112	-0.013381	Friday	2010	11	0	0	0	0	0	0	0	0	0	0	1	0
20101115	-0.00128	Monday	2010	11	0	0	0	0	0	0	0	0	0	0	1	0
20101116	-0.016842	Tuesday	2010	11	0	0	0	0	0	0	0	0	0	0	1	0
20101117	0.001621	Wednesday	2010	11	0	0	0	0	0	0	0	0	0	0	1	0
20101118	0.015551	Thursday	2010	11	0	0	0	0	0	0	0	0	0	0	1	0
20101119	0.003732	Friday	2010	11	0	0	0	0	0	0	0	0	0	0	1	0
20101122	-0.000274	Monday	2010	11	0	0	0	0	0	0	0	0	0	0	1	0
20101123	-0.014125	Tuesday	2010	11	0	0	0	0	0	0	0	0	0	0	1	0
20101124	0.015676	Wednesday	2010	11	0	0	0	0	0	0	0	0	0	0	1	0
20101126	-0.006878	Friday	2010	11	0	0	0	0	0	0	0	0	0	0	1	0
20101129	-0.00091	Monday	2010	11	0	0	0	0	0	0	0	0	0	0	1	0
20101130	-0.005788	Tuesday	2010	11	0	0	0	0	0	0	0	0	0	0	1	0
20101201	0.020811	Wednesday	2010	12	0	0	0	0	0	0	0	0	0	0	0	1
20101202	0.012216	Thursday	2010	12	0	0	0	0	0	0	0	0	0	0	0	1
20101203	0.003956	Friday	2010	12	0	0	0	0	0	0	0	0	0	0	0	1
20101206	0.000028	Monday	2010	12	0	0	0	0	0	0	0	0	0	0	0	1
20101207	0.000185	Tuesday	2010	12	0	0	0	0	0	0	0	0	0	0	0	1
20101208	0.001546	Wednesday	2010	12	0	0	0	0	0	0	0	0	0	0	0	1
20101209	0.003571	Thursday	2010	12	0	0	0	0	0	0	0	0	0	0	0	1
20101210	0.006423	Friday	2010	12	0	0	0	0	0	0	0	0	0	0	0	1
20101213	0.000187	Monday	2010	12	0	0	0	0	0	0	0	0	0	0	0	1
20101214	0.000282	Tuesday	2010	12	0	0	0	0	0	0	0	0	0	0	0	1
20101215	-0.005249	Wednesday	2010	12	0	0	0	0	0	0	0	0	0	0	0	1
20101216	0.005846	Thursday	2010	12	0	0	0	0	0	0	0	0	0	0	0	1
20101217	0.001562	Friday	2010	12	0	0	0	0	0	0	0	0	0	0	0	1
20101220	0.00182	Monday	2010	12	0	0	0	0	0	0	0	0	0	0	0	1
20101221	0.007181	Tuesday	2010	12	0	0	0	0	0	0	0	0	0	0	0	1
20101222	0.003139	Wednesday	2010	12	0	0	0	0	0	0	0	0	0	0	0	1
20101223	-0.00119	Thursday	2010	12	0	0	0	0	0	0	0	0	0	0	0	1
20101227	0.000674	Monday	2010	12	0	0	0	0	0	0	0	0	0	0	0	1
20101228	0.000791	Tuesday	2010	12	0	0	0	0	0	0	0	0	0	0	0	1
20101229	0.002731	Wednesday	2010	12	0	0	0	0	0	0	0	0	0	0	0	1
20101230	-0.000805	Thursday	2010	12	0	0	0	0	0	0	0	0	0	0	0	1
20101231	-0.000238	Friday	2010	12	0	0	0	0	0	0	0	0	0	0	0	1
20110103	0.011205	Monday	2011	1	1	0	0	0	0	0	0	0	0	0	0	0
20110104	-0.003887	Tuesday	2011	1	1	0	0	0	0	0	0	0	0	0	0	0
20110105	0.005375	Wednesday	2011	1	1	0	0	0	0	0	0	0	0	0	0	0
20110106	-0.002518	Thursday	2011	1	1	0	0	0	0	0	0	0	0	0	0	0
20110107	-0.001947	Friday	2011	1	1	0	0	0	0	0	0	0	0	0	0	0
20110110	-0.000719	Monday	2011	1	1	0	0	0	0	0	0	0	0	0	0	0
20110111	0.005025	Tuesday	2011	1	1	0	0	0	0	0	0	0	0	0	0	0
20110112	0.00902	Wednesday	2011	1	1	0	0	0	0	0	0	0	0	0	0	0
20110113	-0.001888	Thursday	2011	1	1	0	0	0	0	0	0	0	0	0	0	0
20110114	0.006637	Friday	2011	1	1	0	0	0	0	0	0	0	0	0	0	0
20110118	0.002164	Tuesday	2011	1	1	0	0	0	0	0	0	0	0	0	0	0
20110119	-0.012229	Wednesday	2011	1	1	0	0	0	0	0	0	0	0	0	0	0
20110120	-0.003821	Thursday	2011	1	1	0	0	0	0	0	0	0	0	0	0	0
20110121	0.001268	Friday	2011	1	1	0	0	0	0	0	0	0	0	0	0	0
20110124	0.006284	Monday	2011	1	1	0	0	0	0	0	0	0	0	0	0	0
20110125	-0.000435	Tuesday	2011	1	1	0	0	0	0	0	0	0	0	0	0	0
20110126	0.00733	Wednesday	2011	1	1	0	0	0	0	0	0	0	0	0	0	0
20110127	0.002121	Thursday	2011	1	1	0	0	0	0	0	0	0	0	0	0	0
20110128	-0.017211	Friday	2011	1	1	0	0	0	0	0	0	0	0	0	0	0
20110131	0.007621	Monday	2011	1	1	0	0	0	0	0	0	0	0	0	0	0
20110201	0.01701	Tuesday	2011	2	0	1	0	0	0	0	0	0	0	0	0	0
20110202	-0.002218	Wednesday	2011	2	0	1	0	0	0	0	0	0	0	0	0	0
20110203	0.002927	Thursday	2011	2	0	1	0	0	0	0	0	0	0	0	0	0
20110204	0.002168	Friday	2011	2	0	1	0	0	0	0	0	0	0	0	0	0
20110207	0.006122	Monday	2011	2	0	1	0	0	0	0	0	0	0	0	0	0
20110208	0.004563	Tuesday	2011	2	0	1	0	0	0	0	0	0	0	0	0	0
20110209	-0.003428	Wednesday	2011	2	0	1	0	0	0	0	0	0	0	0	0	0
20110210	0.001331	Thursday	2011	2	0	1	0	0	0	0	0	0	0	0	0	0
20110211	0.006107	Friday	2011	2	0	1	0	0	0	0	0	0	0	0	0	0
20110214	0.003389	Monday	2011	2	0	1	0	0	0	0	0	0	0	0	0	0
20110215	-0.003185	Tuesday	2011	2	0	1	0	0	0	0	0	0	0	0	0	0
20110216	0.007512	Wednesday	2011	2	0	1	0	0	0	0	0	0	0	0	0	0
20110217	0.003948	Thursday	2011	2	0	1	0	0	0	0	0	0	0	0	0	0
20110218	0.001228	Friday	2011	2	0	1	0	0	0	0	0	0	0	0	0	0
20110222	-0.021038	Tuesday	2011	2	0	1	0	0	0	0	0	0	0	0	0	0
20110223	-0.006546	Wednesday	2011	2	0	1	0	0	0	0	0	0	0	0	0	0
20110224	-0.00013	Thursday	2011	2	0	1	0	0	0	0	0	0	0	0	0	0
20110225	0.012918	Friday	2011	2	0	1	0	0	0	0	0	0	0	0	0	0
20110228	0.005333	Monday	2011	2	0	1	0	0	0	0	0	0	0	0	0	0
20110301	-0.014888	Tuesday	2011	3	0	0	1	0	0	0	0	0	0	0	0	0
20110302	0.002832	Wednesday	2011	3	0	0	1	0	0	0	0	0	0	0	0	0
20110303	0.016077	Thursday	2011	3	0	0	1	0	0	0	0	0	0	0	0	0
20110304	-0.00589	Friday	2011	3	0	0	1	0	0	0	0	0	0	0	0	0
20110307	-0.009401	Monday	2011	3	0	0	1	0	0	0	0	0	0	0	0	0
20110308	0.008079	Tuesday	2011	3	0	0	1	0	0	0	0	0	0	0	0	0
20110309	-0.00244	Wednesday	2011	3	0	0	1	0	0	0	0	0	0	0	0	0
20110310	-0.019775	Thursday	2011	3	0	0	1	0	0	0	0	0	0	0	0	0
20110311	0.006951	Friday	2011	3	0	0	1	0	0	0	0	0	0	0	0	0
20110314	-0.005471	Monday	2011	3	0	0	1	0	0	0	0	0	0	0	0	0
20110315	-0.011139	Tuesday	2011	3	0	0	1	0	0	0	0	0	0	0	0	0
20110316	-0.016629	Wednesday	2011	3	0	0	1	0	0	0	0	0	0	0	0	0
20110317	0.01221	Thursday	2011	3	0	0	1	0	0	0	0	0	0	0	0	0
20110318	0.004854	Friday	2011	3	0	0	1	0	0	0	0	0	0	0	0	0
20110321	0.016433	Monday	2011	3	0	0	1	0	0	0	0	0	0	0	0	0
20110322	-0.003236	Tuesday	2011	3	0	0	1	0	0	0	0	0	0	0	0	0
20110323	0.002868	Wednesday	2011	3	0	0	1	0	0	0	0	0	0	0	0	0
20110324	0.008543	Thursday	2011	3	0	0	1	0	0	0	0	0	0	0	0	0
20110325	0.003131	Friday	2011	3	0	0	1	0	0	0	0	0	0	0	0	0
20110328	-0.003323	Monday	2011	3	0	0	1	0	0	0	0	0	0	0	0	0
20110329	0.007159	Tuesday	2011	3	0	0	1	0	0	0	0	0	0	0	0	0
20110330	0.008218	Wednesday	2011	3	0	0	1	0	0	0	0	0	0	0	0	0
20110331	-0.000603	Thursday	2011	3	0	0	1	0	0	0	0	0	0	0	0	0
20110401	0.005456	Friday	2011	4	0	0	0	1	0	0	0	0	0	0	0	0
20110404	0.001175	Monday	2011	4	0	0	0	1	0	0	0	0	0	0	0	0
20110405	0.001333	Tuesday	2011	4	0	0	0	1	0	0	0	0	0	0	0	0
