datadate	Fiscal Year	tic	Company Name	Nation	Total Assets	Return on Assets	Net Income	Cost of Goods Sold	Total Revenue	Expense: R&D	Expense: Admin, Selling	# Employees	Book Value per Share	log(R&D)	log(assets)	log(cgs)	log(revenue)
20101130	2010	ADBE	ADOBE SYSTEMS INC	USA	$8,141.15 	0.095156113	$774.68 	$211.43 	$3,800.00 	$680.33 	$2,308.03 	9117	10.3455	6.522580914	9.004686481	5.353903434	8.242756346
20101231	2010	3BCST	BROADCAST INTERNATIONAL INC	USA	$10.71 	-1.742670401	($18.66)	$4.38 	$7.31 	$2.71 	$7.11 	41	-0.2149	0.99768637	2.371177885	1.476591999	1.989653586
20110131	2010	CMVT	COMVERSE TECHNOLOGY INC	USA	$2,813.92 	-0.047024047	($132.32)	$632.68 	$1,623.43 	$253.09 	$942.40 	5900	2.0193	5.533741206	7.942334519	6.449960023	7.392294626
20100930	2010	CMPD	COMPUMED INC	USA	$0.74 	-0.510121457	($0.38)	$0.74 	$1.76 	$0.01 	$1.25 	10	0.0115	-5.298317367	-0.299754654	-0.303811454	0.566449528
20101231	2010	CDNS	CADENCE DESIGN SYSTEMS INC	USA	$1,732.12 	0.073053999	$126.54 	$88.10 	$935.95 	$376.41 	$758.17 	4600	1.0357	5.930686945	7.457099062	4.478415778	6.84156633
20101231	2010	EBIX	EBIX INC	USA	$303.30 	0.194589515	$59.02 	$29.60 	$132.19 	$13.61 	$45.54 	1179	6.4211	2.610584366	5.714722415	3.387740577	4.884225152
20101231	2010	TEF	TELEFONICA SA	ESP	$172,198.45 	0.078343285	$13,490.59 	$58,346.45 	$81,762.25 	$1,057.54 		285106	21.5881	6.96369979	12.05640286	10.97415375	11.31157095
20101231	2010	3ANTS	ANTS SOFTWARE INC	USA	$29.20 	-1.453013699	($42.43)	$5.83 	$6.18 	$3.32 	$16.15 	68	-0.0736	1.200867989	3.374168709	1.762845459	1.821965311
20110331	2010	TIGR	TIGERLOGIC CORP	USA	$40.04 	-0.074404316	($2.98)	$1.37 	$13.67 	$5.96 	$14.77 	97	1.2052	1.784399115	3.689829003	0.312618558	2.615203651
20110331	2010	BMC	BMC SOFTWARE INC	USA	$4,485.40 	0.101707763	$456.20 	$323.30 	$2,065.30 	$176.50 	$1,001.00 	6200	9.3843	5.173320876	8.408582957	5.778580685	7.633030773
20110331	2010	VOD	VODAFONE GROUP PLC	GBR	$242,677.86 	0.052691441	$12,787.05 	$36,810.90 	$73,634.64 	$460.58 	$13,427.36 	83862	27.2422	6.132482223	12.39949015	10.51354933	11.20687089
20100630	2010	3SOMD	STUDIO ONE MEDIA INC	USA	$2.87 	-1.856545961	($5.33)	$0.38 	$0.21 	$0.01 	$4.82 	27	0.0418	-5.11599581	1.055008651	-0.95972029	-1.57987911
20101231	2010	COMT.1	COMAMTECH INC -OLD	CAN	$8.91 	-0.37432675	($3.34)	$0.03 	$1.26 	$0.83 	$4.43 	2	3.9299	-0.181521877	2.187398683	-3.688879454	0.232697764
20110331	2010	SYMC	SYMANTEC CORP	USA	$12,719.00 	0.046937652	$597.00 	$673.00 	$6,190.00 	$862.00 	$3,860.00 	18600	5.9736	6.759255271	9.450852218	6.51174533	8.730690366
20101231	2010	ZIXI	ZIX CORP	USA	$66.85 	0.616481182	$41.21 	$5.06 	$33.07 	$5.09 	$21.19 	123	0.6979	1.627081348	4.202481221	1.621761662	3.498505564
20110331	2010	ERTS	ELECTRONIC ARTS INC	USA	$4,928.00 	-0.056006494	($276.00)	$1,383.00 	$3,589.00 	$1,153.00 	$2,201.00 	7645	7.7098	7.05012252	8.502688505	7.232010332	8.185628891
20100930	2010	PMTC	PARAMETRIC TECHNOLOGY CORP	USA	$1,307.06 	0.018643311	$24.37 	$261.12 	$1,010.05 	$201.57 	$611.97 	5317	6.452	5.306121832	7.17553868	5.564972412	6.917754124
20101231	2010	TI	TELECOM ITALIA SPA - NEW	ITA	$118,267.92 	0.035015876	$4,141.26 	$21,437.40 	$36,922.32 	$926.18 		84129	19.8424	6.831064281	11.68070787	9.972892153	10.5165715
20101130	2010	PRGS	PROGRESS SOFTWARE CORP	USA	$936.82 	0.051846507	$48.57 	$68.35 	$530.33 	$90.64 	$310.09 	1576	15.5198	4.506928714	6.842494364	4.224700084	6.273505111
20110331	2010	THQI	THQ INC	USA	$774.41 	-0.17574525	($136.10)	$197.39 	$665.26 	$79.37 	$278.56 	1750	3.0283	4.374170859	6.652094993	5.285201731	6.500174935
20101031	2010	SNPS	SYNOPSYS INC	USA	$3,286.54 	0.07213146	$237.06 	$191.73 	$1,380.66 	$449.23 	$881.99 	6707	14.1446	6.10753278	8.097590923	5.256072485	7.230317649
20101231	2010	ASUR	ASURE SOFTWARE INC	USA	$5.84 	-0.194825223	($1.14)	$2.02 	$10.03 	$1.45 	$7.14 	56	0.883	0.368109322	1.764045631	0.704087121	2.30587966
20101231	2010	MEDQ	MEDQUIST INC	USA	$323.92 	0.095860681	$31.05 	$249.57 	$375.24 	$12.81 	$52.58 	6500	-0.8148	2.550460281	5.780490397	5.519743444	5.927565821
20100630	2010	ADAT	AUTHENTIDATE HOLDING CORP	USA	$20.54 	-0.438327492	($9.01)	$2.87 	$6.75 	$1.86 	$11.47 	59	0.387	0.622724716	3.022568928	1.053266187	1.908949737
20101231	2010	3INTZ	INTRUSION INC	USA	$1.00 	0.225548902	$0.23 	$1.98 	$5.59 	$1.40 	$3.31 	27	-0.3246	0.332894415	0.001998003	0.685115009	1.720621441
20100930	2010	DWCH	DATAWATCH CORP	USA	$11.49 	0.033080874	$0.38 	$4.04 	$17.67 	$2.66 	$12.01 	93	0.9554	0.97757396	2.441215961	1.396492186	2.872094633
20101231	2010	MGIC	MAGIC SOFTWARE ENTERPRISES	ISR	$111.95 	0.083742742	$9.38 	$46.88 	$88.58 	$2.07 	$27.79 	678	2.4747	0.728514324	4.718052343	3.847633807	4.48388352
20101231	2010	3DIRI	DIRECT INSITE CORP	USA	$6.71 	0.154064131	$1.03 	$7.93 	$9.05 	$1.75 		38	0.4239	0.561328606	1.902853517	2.070400797	2.202985728
20101231	2010	EEE	EVERGREEN ENERGY INC	USA	$29.56 	-0.688341566	($20.35)	$15.95 	$0.40 	$0.89 		23	-0.578	-0.118783536	3.386354435	2.769208014	-0.908818717
20110331	2010	CPWR	COMPUWARE CORP	USA	$2,038.38 	0.052709092	$107.44 	$238.78 	$928.93 	$69.20 	$489.50 	4396	4.3754	4.237000863	7.619909182	5.47555519	6.834033386
20101231	2010	IACI	IAC/INTERACTIVECORP	USA	$3,439.55 	0.028887176	$99.36 	$593.82 	$1,636.82 	$65.10 	$873.80 	3200	27.5092	4.175878465	8.143097091	6.386569507	7.400507559
20100731	2010	INTU	INTUIT INC	USA	$5,198.00 	0.110427087	$574.00 	$439.00 	$3,455.00 	$573.00 	$1,897.00 	7700	8.9881	6.350885717	8.556029215	6.084499413	8.147577736
20101231	2010	3ATTUF	ATTUNITY LTD	ISR	$10.71 	-0.14058851	($1.51)	$0.74 	$10.08 	$2.48 	$8.17 	49	0.0227	0.909064687	2.370710922	-0.305167387	2.310057108
20101231	2010	SPNS	SAPIENS INTERNATIONAL CORP	ISR	$55.07 	0.111714395	$6.15 	$23.27 	$52.24 	$3.29 	$15.60 	361	1.5407	1.191799003	4.008586944	3.147250921	3.955752768
20101231	2010	LNET	LODGENET INTERACTIVE CORP	USA	$444.01 	-0.026317212	($11.69)	$255.27 	$452.19 	$0.57 	$91.09 	1049	-4.4581	-0.567395975	6.095838076	5.542325726	6.11410908
20101231	2010	QMCI	QUOTEMEDIA INC	USA	$2.63 	-0.739642721	($1.95)	$3.11 	$7.81 	$1.22 	$5.54 	50	-0.0439	0.202124184	0.967364002	1.133013715	2.054764554
20101231	2010	INCY	INCYTE CORP	USA	$489.58 	-0.065047459	($31.85)	$155.11 	$169.88 	$123.88 		247	-0.719	4.819313355	6.193549923	5.044121649	5.135080532
20101231	2010	SIRI	SIRIUS XM RADIO INC	USA	$7,383.09 	0.005831572	$43.06 	$1,099.64 	$2,816.99 	$45.39 	$914.86 	1479	0.0528	3.815291817	8.906946987	7.002739042	7.943424928
20100630	2010	AZPN	ASPEN TECHNOLOGY INC	USA	$394.71 	-0.272210442	($107.45)	$61.81 	$166.34 	$48.23 	$208.48 	1289	1.5251	3.875939765	5.978158919	4.124065164	5.114057933
20101231	2010	3CMXX	CIMETRIX INC	USA	$2.45 	0.777460188	$1.90 	$1.52 	$6.81 	$0.85 	$3.26 	25	0.0119	-0.167235919	0.895679778	0.416075287	1.917951495
20100731	2010	ESIC	EASYLINK SERVICES INTL CORP	USA	$104.49 	0.163591295	$17.09 	$14.46 	$81.44 	$7.28 	$47.16 	282	2.1015	1.984443813	4.649053091	2.67152452	4.399903389
20101231	2010	3FIND	FINDEX.COM INC	USA	$0.67 	-0.73880597	($0.50)	$0.51 	$1.78 	$0.16 	$1.43 	10	-0.0169	-1.814005078	-0.400477567	-0.679244275	0.577175004
20101231	2010	ACIW	ACI WORLDWIDE INC	USA	$601.53 	0.04520979	$27.20 	$123.70 	$418.42 	$74.08 	$214.73 	2134	7.6826	4.305091593	6.399474747	4.817859279	6.036495273
20101231	2010	NATI	NATIONAL INSTRUMENTS CORP	USA	$959.68 	0.113700163	$109.12 	$161.18 	$873.22 	$158.15 	$545.86 	5280	9.4722	5.063537627	6.86660198	5.082540366	6.772187529
20101231	2010	SXCI	SXC HEALTH SOLUTIONS CORP	USA	$816.31 	0.079302078	$64.74 	$1,831.17 	$1,948.39 	$12.43 		1216	8.981	2.519951992	6.70479296	7.512711478	7.574758156
20101231	2010	3DVNTF	DIVERSINET CORP	CAN	$12.77 	0.146224937	$1.87 	$0.02 	$4.93 	$3.11 	$6.78 	36	0.2842	1.135265606	2.546942041	-3.772261063	1.595744585
20101231	2010	MMUS	MAKEMUSIC INC	USA	$22.62 	0.044737191	$1.01 	$1.76 	$17.15 	$5.52 	$13.84 	100	3.3078	1.709102236	3.118878678	0.567583958	2.841881549
20101231	2010	ATEA	ASTEA INTERNATIONAL INC	USA	$14.30 	-0.10979021	($1.57)	$10.91 	$21.39 	$3.04 	$9.91 	179	1.364	1.112186409	2.660259537	2.3896798	3.062736502
20101231	2010	GVP	GSE SYSTEMS INC	USA	$53.61 	-0.041947999	($2.25)	$33.90 	$47.21 	$1.60 	$10.97 	248	1.925	0.470003629	3.981810228	3.523503506	3.854669278
20101231	2010	SMSI	SMITH MICRO SOFTWARE INC	USA	$234.89 	0.052560326	$12.35 	$3.73 	$130.50 	$42.76 	$96.61 	549	6.2413	3.7555797	5.459125834	1.316140101	4.87138089
20100630	2010	EGAM	EGAMES INC	USA	$1.66 	-0.206979543	($0.34)	$1.46 	$3.60 	$0.93 	$2.67 	13	-0.0473	-0.071496002	0.508021696	0.379121133	1.281489247
20101231	2010	KKPNY	KONINKLIJKE KPN NV	NLD	$30,169.73 	0.078858259	$2,379.13 	$10,555.49 	$17,777.81 	$108.81 			2.9531	4.68956648	10.31459422	9.264401383	9.785706104
20101231	2010	TLK	TELEKOMUNIKASI INDONESIA	IDN	$11,243.00 	0.115627502	$1,300.00 	$3,003.00 	$7,735.00 	$1.00 	$550.00 	26847	10.1803	0	9.327500992	8.007367068	8.953510763
20101231	2010	ADVS	ADVENT SOFTWARE INC	USA	$490.83 	0.049208885	$24.15 	$70.47 	$283.50 	$51.42 	$158.27 	1051	10.5379	3.939949408	6.196089686	4.255215468	5.647215651
20101231	2010	ACCL	ACCELRYS INC	USA	$363.28 	-0.056727281	($20.61)	$21.00 	$80.21 	$22.08 	$68.63 	580	4.4433	3.094672221	5.895179392	3.04437957	4.384585857
20101231	2010	CTXS	CITRIX SYSTEMS INC	USA	$3,703.60 	0.074809645	$277.07 	$99.54 	$1,874.66 	$326.65 	$1,313.28 	5637	13.6167	5.788880077	8.217060599	4.60056962	7.536183656
20100930	2010	NUAN	NUANCE COMMUNICATIONS INC	USA	$3,769.70 	-0.005066452	($19.10)	$340.03 	$1,118.95 	$152.07 	$540.34 	6100	7.6945	5.024347517	8.234750436	5.829042672	7.020144237
20100630	2010	ADEP	ADEPT TECHNOLOGY INC	USA	$34.99 	-0.040809328	($1.43)	$27.92 	$51.63 	$5.65 	$23.12 	163	2.1058	1.7313015	3.555119464	3.329414909	3.944044792
20100630	2010	OTEX	OPEN TEXT CORP	CAN	$1,714.02 	0.051080965	$87.55 	$236.06 	$912.02 	$129.38 	$410.88 	3861	15.6803	4.862738352	7.446599101	5.464081774	6.815665209
20101231	2010	CSGS	CSG SYSTEMS INTL INC	USA	$879.70 	0.02549625	$22.43 	$252.85 	$549.38 	$78.05 	$148.39 	3512	6.9482	4.357349647	6.779578667	5.532796428	6.308788549
20101231	2010	PGI	PREMIERE GLOBAL SERVICES INC	USA	$541.66 	0.008918928	$4.83 	$179.14 	$441.75 	$14.14 	$194.75 	1700	4.6316	2.648724735	6.29463296	5.188156459	6.090750902
20100731	2010	IDT	IDT CORP	USA	$517.80 	0.039185392	$20.29 	$1,110.72 	$1,401.45 	$8.01 	$230.38 	1200	8.1233	2.080441042	6.249579411	7.012766434	7.24526198
20101231	2010	JDAS	JDA SOFTWARE GROUP INC	USA	$1,113.53 	0.015911589	$17.72 	$233.70 	$617.21 	$72.16 	$234.15 	3000	14.8859	4.278858159	7.015288632	5.454051078	6.425207702
20101231	2010	CIMT	CIMATRON LTD	ISR	$34.90 	0.045586086	$1.59 	$5.24 	$36.07 	$6.01 	$27.38 	280	1.9264	1.794090085	3.552515482	1.656321498	3.585572384
20101231	2010	YHOO	YAHOO INC	USA	$14,928.10 	0.082506325	$1,231.66 	$1,976.66 	$6,324.65 	$1,082.18 	$2,835.00 	13600	9.5949	6.986729108	9.61100089	7.589164842	8.752210134
20101231	2010	SSNC	SS&C TECHNOLOGIES HLDGS INC	USA	$1,275.73 	0.025407494	$32.41 	$125.20 	$328.91 	$31.44 	$83.13 	1399	11.7758	3.448144579	7.151270707	4.829944407	5.795768955
20101231	2010	DATA	DATATRAK INTERNATIONAL INC	USA	$2.69 	0.037588389	$0.10 	$1.17 	$7.39 	$0.92 	$6.10 	42	-0.0695	-0.085557888	0.98842533	0.157858085	2.000263044
20110430	2010	DAEG	DAEGIS INC	USA	$62.73 	-0.265645424	($16.67)	$8.05 	$46.99 	$7.74 	$30.87 			2.045884758	4.138903565	2.085796307	3.849998654
20101231	2010	ANSS	ANSYS INC	USA	$2,126.88 	0.071998556	$153.13 	$56.88 	$580.24 	$88.99 	$243.59 	1660	16.6937	4.488524004	7.662409515	4.040978947	6.363434917
20101231	2010	DASTY	DASSAULT SYSTEMS SA	FRA	$4,075.97 	0.071781914	$292.58 	$255.96 	$2,075.01 	$427.39 	$1,231.50 			6.057706304	8.31286428	5.545017275	7.637719324
20101231	2010	CHKP	CHECK POINT SOFTWARE TECHN	ISR	$3,605.30 	0.125600019	$452.83 	$105.21 	$1,097.87 	$105.75 	$398.29 	2239	13.0477	4.661058905	8.190160819	4.655929838	7.001125396
20101031	2010	VSNT	VERSANT CORP	USA	$39.13 	0.042270439	$1.65 	$1.50 	$15.77 	$3.78 	$11.64 	61	10.7202	1.329194769	3.66686388	0.406131553	2.757855723
20101231	2010	PEGA	PEGASYSTEMS INC	USA	$337.48 	-0.017455798	($5.89)	$116.73 	$336.60 	$55.19 	$196.46 	1509	5.2529	4.010836134	5.821509212	4.759897842	5.818892311
20101231	2010	MGT	MGT CAPITAL INVESTMENTS INC	GBR	$11.48 	-0.840972464	($9.65)	$11.74 	$0.54 	$1.58 		30	0.0503	0.454889991	2.440257898	2.462575829	-0.616186139
20101231	2010	BITS	BITSTREAM INC  -CL A	USA	$21.82 	-0.148338299	($3.24)	$10.64 	$23.14 	$7.18 	$14.65 	148	1.5653	1.971299383	3.082597807	2.364714465	3.141735568
20110131	2010	SEAC	SEACHANGE INTERNATIONAL INC	USA	$305.19 	0.096555927	$29.47 	$97.79 	$216.73 	$48.40 	$96.41 	1202	6.5691	3.879561795	5.72093781	4.582863226	5.378638497
20101231	2010	3GOJO	GRAPHON CORP	USA	$3.35 	-0.249850568	($0.84)	$0.70 	$7.52 	$2.47 	$7.06 	33	-0.0005	0.903002838	1.207765603	-0.352398387	2.017167122
20101231	2010	TISA	TOP IMAGE SYSTEMS LTD	ISR	$15.02 	-0.030617678	($0.46)	$8.09 	$21.76 	$1.65 	$11.65 	127	0.4565	0.498955451	2.709648923	2.090752333	3.08016533
20101231	2010	BPHX	BLUEPHOENIX SOLUTIONS LTD	ISR	$79.00 	-0.483601058	($38.20)	$26.77 	$57.12 	$6.69 	$28.59 	549	1.8965	1.900912783	4.369435194	3.287319212	4.045154318
20101231	2010	ERT	ERESEARCHTECHNOLOGY INC	USA	$214.84 	0.04594689	$9.87 	$55.92 	$140.99 	$5.09 	$45.82 	647	3.0827	1.627081348	5.369870292	4.023832681	4.948703151
20101231	2010	PROJ	DELTEK INC	USA	$392.12 	-0.01255244	($4.92)	$96.74 	$279.65 	$52.59 	$146.60 	1640	0.7469	3.962545002	5.971555164	4.572057978	5.633531669
20110331	2010	TTWO	TAKE-TWO INTERACTIVE SFTWR	USA	$971.66 	0.049871406	$48.46 	$685.45 	$1,136.88 	$69.58 	$356.14 	2118	7.1445	4.24241968	6.87900492	6.530081392	7.036039429
20100831	2010	SLP	SIMULATIONS PLUS INC	USA	$14.66 	0.147066849	$2.16 	$1.86 	$10.71 	$0.97 	$5.30 	40	0.824	-0.030459207	2.685122697	0.622188092	2.371364608
20110331	2010	EGHT	8X8 INC	USA	$26.58 	0.244282275	$6.49 	$21.29 	$70.16 	$4.82 	$40.67 	254	0.2543	1.572566438	3.280309531	3.058425343	4.250821107
20110131	2010	QADB	QAD INC	USA	$213.09 	0.012722085	$2.71 	$87.04 	$220.01 	$34.58 	$119.42 	1350	3.5143	3.543130878	5.361733383	4.466402249	5.39368209
20100630	2010	GCOM	GLOBECOMM SYSTEMS INC	USA	$240.71 	0.032827884	$7.90 	$169.40 	$227.82 	$3.34 	$41.34 	416	7.7416	1.20656943	5.483592889	5.132286395	5.428542675
20101231	2010	RLRN	RENAISSANCE LEARNING INC	USA	$53.79 	0.444105672	$23.89 	$24.92 	$130.09 	$16.37 	$68.51 	893	-1.197	2.795389302	3.985068985	3.215670694	4.868257266
20100630	2010	PVSW	PERVASIVE SOFTWARE INC	USA	$94.57 	0.043060329	$4.07 	$4.67 	$47.21 	$11.78 	$35.61 	229	4.8363	2.46597864	4.549287429	1.541159072	3.854669278
20101231	2010	RNWK	REALNETWORKS INC	USA	$565.44 	0.008909844	$5.04 	$121.32 	$401.73 	$100.96 	$271.78 	1528	3.033	4.614674873	6.337607726	4.798448168	5.995787689
20101231	2010	SAAS	INCONTACT INC	USA	$40.59 	-0.026019465	($1.06)	$41.15 	$82.16 	$5.27 	$36.51 	330	0.5237	1.662220098	3.70339854	3.717175323	4.408607707
20110131	2010	DSGX	DESCARTES SYSTEMS GROUP INC	CAN	$241.27 	0.047826285	$11.54 	$31.46 	$99.18 	$16.97 	$42.10 		3.3286	2.831506005	5.485912494	3.448557953	4.596885966
20101231	2010	VRSN	VERISIGN INC	USA	$2,444.01 	0.34000203	$830.97 	$89.02 	$680.58 	$53.66 	$274.76 	1048	3.916	3.982742386	7.801393775	4.488872297	6.522942437
20101231	2010	SAP	SAP AG	DEU	$27,653.92 	0.086896026	$2,403.02 	$4,463.69 	$16,546.44 	$2,294.21 	$6,651.75 	53513	10.9568	7.738143837	10.22752288	8.403731505	9.713926433
20100630	2010	NZT	TELECOM CORP OF NEW ZEALAND	NZL	$4,737.54 	0.055353235	$262.24 	$2,420.18 	$3,618.88 	$5.52 		8629	4.5613	1.708559003	8.463272659	7.79159761	8.19392097
20101231	2010	3ABTG	AMBIENT CORP	USA	$10.57 	-0.301333586	($3.19)	$11.64 	$20.36 	$6.07 	$11.55 	59	0.0037	1.80368804	2.358303582	2.454705141	3.013473955
20100930	2010	SOFO	SONIC FOUNDRY INC	USA	$18.27 	-0.00667871	($0.12)	$4.52 	$20.48 	$3.09 	$15.14 	90	1.9618	1.128171091	2.905096153	1.508954374	3.019253469
20101231	2010	ULTI	ULTIMATE SOFTWARE GROUP INC	USA	$249.56 	0.008643316	$2.16 	$87.36 	$227.81 	$42.22 	$120.32 	1134	2.8698	3.742941412	5.519687346	4.470026065	5.428516338
20101231	2010	IPLY	INTERPLAY ENTERTAINMENT CORP	USA	$0.29 	-3.553264605	($1.03)	$0.18 	$1.38 	$0.51 	$2.13 	11	-0.0232	-0.665532014	-1.234432012	-1.720369473	0.322083499
20101231	2010	MSTR	MICROSTRATEGY INC	USA	$381.57 	0.114769136	$43.79 	$93.29 	$454.58 	$50.57 	$297.90 	2597	14.0186	3.923279414	5.944283837	4.535734359	6.119367316
20100930	2010	DOX	AMDOCS LTD	GBR	$4,820.60 	0.071340853	$343.91 	$1,796.43 	$2,984.22 	$207.84 	$581.42 	19455	16.7283	5.336749307	8.48065451	7.493556085	8.00109469
20101231	2010	CSGP	COSTAR GROUP INC	USA	$439.65 	0.030226454	$13.29 	$72.26 	$226.26 	$17.35 	$113.37 	1389	18.3653	2.853592506	6.085974407	4.280201529	5.421684781
20101231	2010	RTLX	RETALIX LTD	ISR	$304.69 	0.035402964	$10.79 	$117.51 	$207.37 	$29.66 	$71.63 	1329	9.5644	3.389698185	5.71930143	4.766531946	5.334523926
20101231	2010	BIRT	ACTUATE CORP	USA	$195.63 	0.05442389	$10.65 	$18.77 	$123.67 	$24.85 	$88.00 	569	2.0154	3.212857753	5.276230232	2.932472934	4.817592469
20101231	2010	SCIL	SCIENTIFIC LEARNING CORP	USA	$31.80 	-0.304688237	($9.69)	$10.24 	$43.38 	$7.93 	$37.56 	212	0.2317	2.071031274	3.459560625	2.32630162	3.77009071
20101231	2010	EBAY	EBAY INC	USA	$22,003.76 	0.081847868	$1,800.96 	$1,991.93 	$9,156.27 	$908.43 	$4,326.87 	17700	11.7917	6.811722238	9.998968718	7.596858795	9.122194606
20101231	2010	GEOY	GEOEYE INC	USA	$1,269.09 	0.019413199	$24.64 	$104.01 	$330.35 	$1.65 	$56.28 	723	20.0881	0.498955451	7.146051447	4.644487048	5.800137563
20101231	2010	SCMWY	SWISSCOM AG	CHE	$22,485.86 	0.085963809	$1,932.97 	$8,096.92 	$12,806.06 	$29.89 		19547	12.8911	3.397390143	10.02064186	8.999238404	9.457673932
20101231	2010	INSP	INFOSPACE INC	USA	$361.74 	0.037880484	$13.70 	$154.92 	$246.84 	$6.80 	$78.69 	174	8.6119	1.916922612	5.890934015	5.0429024	5.508720097
20100930	2010	CNQR	CONCUR TECHNOLOGIES INC	USA	$1,043.75 	0.019718248	$20.58 	$65.12 	$292.94 	$28.00 	$162.80 	1200	12.1954	3.332097362	6.950579109	4.176277789	5.679954155
20101231	2010	VMII	VOICE MOBILITY INTL INC	CAN	$0.03 	-28.76470588	($0.98)	$0.86 	$0.10 	$0.01 		0	-0.1362	-4.268697949	-3.381394754	-0.15665381	-2.3330443
20110331	2010	3UDWK	US DATAWORKS INC	USA	$5.78 	-0.105135743	($0.61)	$2.50 	$7.28 	$0.97 	$4.74 	34	0.0002	-0.031490667	1.754922579	0.917490012	1.984581261
20100630	2010	EPAY	BOTTOMLINE TECHNOLOGIES INC	USA	$269.38 	0.014678041	$3.95 	$64.32 	$157.99 	$18.86 	$68.76 	747	6.9379	2.936937227	5.596130447	4.163932812	5.06253174
20101231	2010	INFA	INFORMATICA CORP	USA	$1,189.64 	0.072563067	$86.32 	$98.99 	$650.08 	$106.04 	$397.81 	2126	6.828	4.663844672	7.08140686	4.595039039	6.477089279
20101231	2010	RATE	BANKRATE INC	USA	$1,123.82 	-0.01915522	($21.53)	$85.33 	$220.60 	$8.72 	$64.00 	378	151.1492	2.165848569	7.024487986	4.446479215	5.396342041
20101231	2010	EDGR	EDGAR ONLINE INC	USA	$30.25 	-0.238983107	($7.23)	$7.83 	$19.47 	$1.85 	$14.62 	143	-0.0538	0.616266136	3.409463126	2.057579295	2.968772092
