Profit from Sales	Number Accounts	Early Commission	Early Selling	Log Profit	Log Accounts	Log Commission	Office	Office Dummy
8636.03	79	715.41	871658	9.063698265	4.369447852	6.572855805	Existing	0
6360.76	19	111.5	1733	8.757903146	2.944438979	4.714024591	New	1
14677.76	29	1126.18	34637	9.594088702	3.36729583	7.026586654	New	1
25254	26	556.2	124007	10.13673984	3.258096538	6.321127942	New	1
34547.65	104	1293.75	1067734	10.45009481	4.644390899	7.165300257	Existing	0
26880.4	16	312.5	123507	10.19915268	2.772588722	5.744604469	New	1
21728.33	25	1055	46483	9.986372218	3.218875825	6.961296046	New	1
21126.05	22	1062.5	87931	9.958262155	3.091042453	6.968379901	New	1
36011.06	148	154.62	76439	10.49158139	4.997212274	5.040970494	Existing	0
22678.42	19	952.99	94001	10.02916909	2.944438979	6.85960441	New	1
45948.23	80	397.5	2588003	10.73527061	4.382026635	5.985194934	Existing	0
12472.01	28	1551.63	178527	9.431242213	3.33220451	7.34706127	Existing	0
7594.49	9	282.73	9980	8.935178263	2.197224577	5.644492379	New	1
34921.8	10	475	20076	10.46086656	2.302585093	6.163314804	New	1
25259.93	13	575	444814	10.13697462	2.564949357	6.354370041	New	1
15825.51	14	111.1	1070944	9.669378474	2.63905733	4.710430697	Existing	0
11311.44	18	1199.5	130149	9.333569882	2.890371758	7.089660082	New	1
10184.67	8	216.8	7959	9.228638928	2.079441542	5.37897527	New	1
52180.22	16	7026.08	3670934	10.86245877	2.772588722	8.857384219	New	1
15532.44	18	170	12846	9.650686019	2.890371758	5.135798437	New	1
11822.38	11	1910.75	97536	9.377749624	2.397895273	7.555251114	New	1
99749.7	544	8675.78	24189182	11.51041933	6.298949247	9.068290514	Existing	0
13011.11	12	230	98287	9.473558887	2.48490665	5.438079309	New	1
20237.7	23	824.02	170237	9.915302481	3.135494216	6.714194801	New	1
30096.67	33	112.5	112903	10.31216981	3.496507561	4.722953222	New	1
50724.01	18	1030	166410	10.83415465	2.890371758	6.937314081	New	1
44280.7	29	5934.79	6922436.5	10.6983042	3.36729583	8.688586923	New	1
35985.28	28	1655.6	155852	10.49086524	3.33220451	7.41191876	Existing	0
69512.39	25	2486.5	5293863.5	11.14926029	3.218875825	7.818631378	New	1
97010.75	18	3616.53	22482417	11.48257708	2.890371758	8.193270282	New	1
103018.28	789	9013.69	30674908	11.54266173	6.670766321	9.106499812	Existing	0
37395.48	93	5087.88	2324781	10.52930512	4.532599493	8.53461652	Existing	0
46822.5	21	375	37331	10.75411914	3.044522438	5.926926026	New	1
15427.43	135	1100.04	1567208	9.643902373	4.905274778	7.003101822	Existing	0
9295.19	2	115	12261	9.137252341	0.693147181	4.744932128	Existing	0
6857.12	8	640.01	19877	8.833042807	2.079441542	6.461483801	New	1
16572.77	253	2680.02	3065574	9.715516266	5.533389489	7.893579536	Existing	0
14337.9	18	615.57	74322	9.57066166	2.890371758	6.422548668	New	1
17551.27	22	100	12873	9.772881591	3.091042453	4.605170186	New	1
26091.42	18	2681	160111	10.1693618	2.890371758	7.893945138	New	1
22139.47	9	426.84	611066	10.00511727	2.197224577	6.056409236	New	1
16774.71	256	2831.14	3192290	9.727627674	5.545177444	7.948434736	Existing	0
34569.87	37	10664.65	451978	10.45073777	3.610917913	9.274689813	New	1
15954.34	6	85.36	3145184.5	9.677486172	1.791759469	4.446877607	New	1
11608.54	20	1361.38	267115	9.359496313	2.995732274	7.21625417	New	1
21005.73	26	3162.41	103798	9.952550537	3.258096538	8.059089674	New	1
21511.53	11	2071.5	61950	9.976344349	2.397895273	7.636028262	New	1
34075	20	180	723325	10.43631926	2.995732274	5.192956851	Existing	0
25765.05	13	3776.87	3262264.5	10.1567742	2.564949357	8.236650903	New	1
27373.45	44	2129.08	790858	10.21732884	3.784189634	7.663445241	New	1
47661.82	182	3785.25	9296322	10.77188594	5.204006687	8.238867214	Existing	0
19221.66	22	792.22	20784	9.863793047	3.091042453	6.674839131	New	1
35672.07	24	2202.4	332491	10.48212331	3.17805383	7.697302954	Existing	0
27330.07	33	273.22	694931	10.21574284	3.496507561	5.610277331	New	1
31130.69	38	2384.51	486391	10.34594943	3.63758616	7.776748931	New	1
28031.19	12	683.25	425571	10.2410731	2.48490665	6.526860825	Existing	0
43286.54	10	436.3	63946	10.67559701	2.302585093	6.07833008	Existing	0
45218.01	149	4518.49	2846218	10.71925074	5.003946306	8.415933146	Existing	0
252.76	6	0	0	5.532440422	1.791759469	0	New	1
1472.97	25	287.5	81119	7.29503605	3.218875825	5.66122286	Existing	0
6318.76	27	175	23359	8.751278265	3.295836866	5.164785974	Existing	0
7722.17	47	316.1	566655	8.951850692	3.850147602	5.756058619	Existing	0
4801.6	14	12.5	75600	8.476704475	2.63905733	2.525728644	New	1
9750.36	12	0	271289	9.185059486	2.48490665	0	New	1
12361.34	6	100	1908	9.422329139	1.791759469	4.605170186	New	1
26619.79	38	2007.75	324438	10.1894102	3.63758616	7.604769971	Existing	0
17016.84	16	1134.53	444554	9.741958721	2.772588722	7.033973747	New	1
12856.31	8	244.25	131962	9.46159002	2.079441542	5.498192291	Existing	0
37046.11	210	1353.57	1921447	10.51991863	5.347107531	7.210500825	Existing	0
11566.61	16	643.64	148809	9.355877778	2.772588722	6.467139564	New	1
32713.58	14	0	119790	10.39554556	2.63905733	0	New	1
104163	372	3082.55	3127098	11.55371226	5.918893854	8.033512456	Existing	0
34228.77	85	2932.85	766395	10.4408218	4.442651256	7.983729925	Existing	0
45404.25	30	677.27	295857	10.72336099	3.401197382	6.518070012	New	1
17191.45	23	41.66	28775	9.752167446	3.135494216	3.729541436	Existing	0
18210.81	18	3175	102440	9.809770653	2.890371758	8.063062911	New	1
8051.68	12	100	46995	8.993636044	2.48490665	4.605170186	New	1
32212.43	23	980.75	308975	10.38010768	3.135494216	6.888317585	New	1
25898.84	21	1413.25	91759	10.16195346	3.044522438	7.253647296	New	1
24990.45	15	450	322078	10.12624903	2.708050201	6.109247583	New	1
44984.37	22	3650.59	2784897	10.71407038	3.091042453	8.202644077	Existing	0
48888.25	22	4410.84	4560229	10.79729236	3.091042453	8.391820426	Existing	0
55898.17	36	2165.32	5981021.5	10.93128692	3.583518938	7.680323436	New	1
30653.69	25	7966.88	649649	10.33050833	3.218875825	8.983048227	New	1
27442.16	14	1000	42924	10.2198358	2.63905733	6.907755279	Existing	0
84989.37	21	519.64	3551812	11.35028147	3.044522438	6.253136264	New	1
71487.83	22	1782.88	586842	11.1772825	3.091042453	7.485985313	New	1
9466.09	19	792.65	149509	9.155471218	2.944438979	6.675381762	New	1
16167.71	12	1944.98	50615	9.690771322	2.48490665	7.573006973	New	1
19122.05	13	600	38811	9.858597398	2.564949357	6.396929655	New	1
17731.46	36	1301.12	82075	9.783095742	3.583518938	7.170980711	New	1
12230.58	14	632.25	327186	9.411694652	2.63905733	6.449284886	New	1
31883.26	17	4781.75	763039	10.36983639	2.833213344	8.472561867	New	1
15602.35	28	331.7	25412	9.655176823	3.33220451	5.804230946	New	1
29461.59	21	2028.37	5436148	10.29084266	3.044522438	7.614987794	New	1
36987.87	19	3006.25	114080	10.5183453	2.944438979	8.008448734	New	1
21899.03	10	0	62089	9.994197623	2.302585093	0	New	1
49051.77	40	8697.69	766575	10.80063155	3.688879454	9.070812752	New	1
42266.85	198	4576.6	1458910	10.65175837	5.288267031	8.428711643	Existing	0
42345.61	38	2518.1	80164	10.65362003	3.63758616	7.831259928	Existing	0
62886.87	22	5937.46	2690274.5	11.04909268	3.091042453	8.689036711	New	1
4431.48	6	0	96691	8.396488893	1.791759469	0	New	1
7301.84	347	878.25	5713069	8.89588165	5.84932478	6.777931291	Existing	0
11979.67	65	215.13	789401	9.390966325	4.17438727	5.371242497	Existing	0
20149.15	36	3489.15	431423	9.910917383	3.583518938	8.157413433	New	1
39694.85	30	362.2	2290770	10.58897674	3.401197382	5.892196545	New	1
69472.96	35	14339.68	1081406	11.14869289	3.555348061	9.570785799	New	1
16826.18	49	1789	77341	9.730691286	3.891820298	7.489412084	New	1
24585.22	13	480	181329	10.10990073	2.564949357	6.173786104	Existing	0
42661.55	36	3456.47	2999960	10.66105333	3.583518938	8.148003116	Existing	0
55651.05	412	3162.08	10042745	10.92685622	6.021023349	8.058985318	Existing	0
35632.18	26	6156.94	197747	10.48100444	3.258096538	8.72533518	New	1
3739.58	12	861.35	349983	8.226728585	2.48490665	6.758500926	New	1
33445.05	187	623.75	1489954	10.41765907	5.231108617	6.435749647	Existing	0
35004.29	35	4154.22	390684	10.4632259	3.555348061	8.331879964	New	1
27381.92	17	367	44856	10.21763822	2.833213344	5.905361848	New	1
17596.68	50	882.36	261781	9.775465527	3.912023005	6.782600136	Existing	0
30235.75	21	2484.39	54387	10.31678028	3.044522438	7.817782436	Existing	0
47483.87	108	5234.34	1526908	10.76814535	4.682131227	8.562996041	Existing	0
14111.17	88	120.68	770888	9.554721961	4.477336814	4.793142414	Existing	0
21947.13	14	1125	44600	9.996391658	2.63905733	7.025538315	New	1
41373.81	16	17555.86	747946	10.63040335	2.772588722	9.773143076	New	1
29815.98	70	6956.46	841283	10.30279977	4.248495242	8.847426003	Existing	0
21577.67	30	1006.79	168456	9.979414263	3.401197382	6.914522331	New	1
82870.36	429	3161.79	6725649	11.32503274	6.061456919	8.058893602	Existing	0
35170.53	15	5174.27	4556972.5	10.4679638	2.708050201	8.551453545	New	1
7599.94	12	255.94	500739	8.935895632	2.48490665	5.544943042	Existing	0
16668.61	18	114.34	21658	9.721282589	2.890371758	4.739176466	New	1
9073.41	20	2159.59	240230	9.113103437	2.995732274	7.677673668	New	1
5827.76	7	289	18540	8.670387986	1.945910149	5.666426688	New	1
41081.79	26	4396.32	197843	10.62332024	3.258096538	8.388523106	New	1
45166.84	24	4600	145274	10.71811847	3.17805383	8.433811582	New	1
16848.78	32	0	42041	9.73203353	3.465735903	0	New	1
42533.14	27	272.33	360045	10.65803882	3.295836866	5.607014566	New	1
26349.16	21	560.31	636386	10.17919167	3.044522438	6.328490202	New	1
14699.69	29	1308.35	216955	9.595581684	3.36729583	7.17652208	New	1
17800.42	13	1700	61562	9.786977332	2.564949357	7.43838353	New	1
39214.83	23	4243.86	117173	10.57681027	3.135494216	8.353228511	New	1
14609.08	13	1432.95	511852	9.589398532	2.564949357	7.267490535	New	1
6927.3	27	8.75	40856	8.843225406	3.295836866	2.1690537	Existing	0
20034.23	273	824.35	2731288	9.90519759	5.609471795	6.714595197	Existing	0
57401.8	43	1580.68	565536	10.95783094	3.761200116	7.365610413	Existing	0
7104.59	20	1585.45	142076	8.868496333	2.995732274	7.368623558	New	1
52853.28	844	949.09	30233953	10.87527505	6.738152495	6.855503631	Existing	0
63167.85	51	3747.88	5167018	11.05355075	3.931825633	8.228945626	New	1
152807.06	1012	1563.75	41448217	11.93693136	6.91968385	7.354842062	Existing	0
17400.92	174	1071.54	1549326	9.764278357	5.159055299	6.976852145	Existing	0
5823.16	4	100	202075	8.669598349	1.386294361	4.605170186	New	1
9815.71	11	176.01	5181	9.191739442	2.397895273	5.170540812	New	1
17394.32	73	4202.9	1484218	9.763898995	4.290459441	8.343530042	Existing	0
44445	229	7779.63	6383026	10.70200775	5.433722004	8.959264058	Existing	0
73086.24	31	795.16	6150984.5	11.19939539	3.433987204	6.678543352	New	1
139434.44	85	11437.37	341749	11.84534981	4.442651256	9.344641343	New	1
7222.61	10	1826.46	99083	8.884971662	2.302585093	7.510134946	New	1
21958.63	14	37.5	475268	9.996915508	2.63905733	3.624340933	Existing	0
39753.77	206	4418.99	4695694	10.59045996	5.327876169	8.393666442	Existing	0
22284.04	40	1560.66	105302	10.01162601	3.688879454	7.352864088	Existing	0
34853.92	33	170.5	190191	10.45892089	3.496507561	5.138735297	New	1
39054.64	18	6727.8	5210127.5	10.57271697	2.890371758	8.814003475	New	1
47126.75	65	63.61	2622	10.76059606	4.17438727	4.152770691	New	1
37185.2	6	3964.03	6604317	10.52366611	1.791759469	8.285016464	New	1
36856.02	13	1612	175616	10.51477425	2.564949357	7.385230923	Existing	0
13330.91	10	3029.23	272814	9.497840678	2.302585093	8.016063741	Existing	0
32555.89	490	6012.05	9439993	10.39071358	6.194405391	8.701521068	Existing	0
15331.28	18	2057.48	178348	9.637650465	2.890371758	7.629237212	New	1
22317.29	26	519.22	180717	10.01311699	3.258096538	6.252327685	Existing	0
8516.35	12	75	17174	9.049743124	2.48490665	4.317488114	Existing	0
16115.11	41	1198.51	143671	9.68751262	3.713572067	7.088834398	Existing	0
17975.45	37	1297.02	227921	9.796762217	3.610917913	7.167824604	Existing	0
63902.95	25	6514.81	304268	11.06512081	3.218875825	8.781833326	New	1
25419.18	130	6909.73	1995818	10.14325929	4.86753445	8.840685842	Existing	0
13918.36	15	780.25	306216	9.540964111	2.708050201	6.659614381	New	1
12989.23	6	1100	33153	9.471875832	1.791759469	7.003065459	New	1
35470.04	43	5027.5	181731	10.47644368	3.761200116	8.522678122	New	1
20283.3	29	1153.93	207263	9.917553166	3.36729583	7.050928787	New	1
20730.13	17	306.14	394842	9.939343477	2.833213344	5.724042514	New	1
56233.95	86	6624.89	1126357	10.93727595	4.454347296	8.798589047	Existing	0
6770.24	6	350.66	27157	8.820291816	1.791759469	5.859817093	New	1
15865.94	12	1476.39	137387	9.671929952	2.48490665	7.297355198	New	1
26837.86	37	644.47	323869	10.19756886	3.610917913	6.468428274	New	1
85201.84	32	6051.99	5688294	11.35277831	3.465735903	8.708142423	New	1
14011	27	778.5	53445	9.547598014	3.295836866	6.657368991	Existing	0
46771.26	32	1887.98	165760	10.75302419	3.465735903	7.543262753	New	1
7595.86	11	1692.5	146663	8.935358641	2.397895273	7.433962005	New	1
16340.85	100	426	1668251	9.701423387	4.605170186	6.054439346	Existing	0
11637.3	10	686.6	243094	9.361970736	2.302585093	6.531751881	New	1
19041.16	7	2495.39	5357926	9.854358231	1.945910149	7.822200309	New	1
15827.16	185	1818.7	3091085	9.669482731	5.220355825	7.505877239	Existing	0
24764.72	234	485.94	4411251	10.11717534	5.455321115	6.186085159	Existing	0
50313.87	5	3751.68	2559036	10.82603606	1.609437912	8.229959019	New	1
13505.3	8	0	7213	9.51083748	2.079441542	0	New	1
50556.13	37	2461.84	2733353.5	10.83083948	3.610917913	7.808664317	New	1
6303.18	265	389.28	1202180	8.748809547	5.579729826	5.964298879	Existing	0
11205.58	10	50	149	9.324167148	2.302585093	3.912023005	New	1
14502.69	163	8386.33	1611876	9.582089428	5.093750201	9.034358278	Existing	0
23582.72	31	2177.92	343588	10.06826952	3.433987204	7.686125572	New	1
38953.06	24	950	64832	10.57011261	3.17805383	6.856461985	New	1
49587.45	19	4497.56	187705	10.81149306	2.944438979	8.411290306	New	1
36229.25	380	5983.83	10279020	10.49762208	5.940171253	8.69681611	Existing	0
68267.55	534	677.5	16280	11.13118982	6.280395839	6.518409553	Existing	0
23581.89	206	1597.77	3626314	10.06823432	5.327876169	7.376364186	Existing	0
27735.51	15	327	19833	10.23046882	2.708050201	5.789960171	New	1
14723.09	122	379.26	2762701	9.597172289	4.804021045	5.938221986	Existing	0
12285.46	34	5976.96	2171869	9.416171728	3.526360525	8.695667356	New	1
13175.76	19	1341.72	79365	9.486134057	2.944438979	7.201707652	New	1
85509.12	48	9802.82	8192616.5	11.35637832	3.871201011	9.190425378	New	1
17944.55	289	1734.57	4872414	9.795041727	5.666426688	7.458514823	Existing	0
15676.79	7	558	32493	9.659936554	1.945910149	6.324358962	Existing	0
9714.22	11	170	4896	9.18134607	2.397895273	5.135798437	New	1
25937.89	34	2074.34	537539	10.16346011	3.526360525	7.63739831	New	1
16054.65	59	1255.47	290628	9.683753806	4.077537444	7.135265283	Existing	0
10573.28	119	1571.26	2466723	9.266085343	4.779123493	7.359633124	Existing	0
38267.88	25	2104.71	96712	10.55236618	3.218875825	7.651932969	New	1
9210.88	45	3.75	47776	9.128140673	3.80666249	1.32175584	Existing	0
9560.84	15	1233.25	49034	9.165430868	2.708050201	7.11740824	Existing	0
33434.84	8	0	0	10.41735375	2.079441542	0	Existing	0
27387.11	28	601	841254	10.21782774	3.33220451	6.398594935	New	1
23736.99	12	1569.31	38888	10.07478987	2.48490665	7.358391311	Existing	0
14290.84	5	0	99119	9.567374052	1.609437912	0	New	1
41107.32	38	624.35	46668	10.62394149	3.63758616	6.436711109	New	1
35702.51	10	200	36116	10.48297627	2.302585093	5.298317367	New	1
36053.22	34	451.38	28175	10.49275146	3.526360525	6.112309557	New	1
2700.54	10	0	0	7.901207032	2.302585093	0	Existing	0
6505.16	10	1782.52	76297	8.780350987	2.302585093	7.485783372	New	1
10628.4	226	62.5	2137924	9.271284943	5.420534999	4.135166557	Existing	0
4109.63	23	0	17937	8.321088279	3.135494216	0	Existing	0
24862.01	70	668.79	285865	10.12109621	4.248495242	6.50547011	Existing	0
10919.83	14	1231.7	108024	9.298335681	2.63905733	7.116150608	New	1
14896.66	7	2350	102969	9.608892306	1.945910149	7.762170607	Existing	0
30279.32	255	1707.35	7187532	10.31822025	5.541263545	7.44269774	Existing	0
26922.13	203	640.66	3874419	10.2007039	5.313205979	6.462498895	Existing	0
10647.61	14	539.8	169768	9.273090733	2.63905733	6.291198701	Existing	0
46096.08	30	1650.79	110811	10.73848319	3.401197382	7.40900924	New	1
36494.7	33	3326.75	419865	10.50492232	3.496507561	8.10975113	New	1
9369.5	9	1913.96	33617	9.145215012	2.197224577	7.556929673	New	1
16842.94	23	4825.75	300036	9.731686857	3.135494216	8.481721442	New	1
17665.66	26	1426.54	224051	9.779377921	3.258096538	7.263007211	New	1
22148.19	8	85	23781	10.00551106	2.079441542	4.442651256	New	1
30030.33	22	316	10649	10.30996315	3.091042453	5.755742214	Existing	0
43319.52	44	2486.75	119454	10.67635862	3.784189634	7.818731916	New	1
8040.89	12	1227.43	56176	8.992295053	2.48490665	7.112677832	New	1
13223.49	34	2339.76	1172868	9.489750073	3.526360525	7.757803639	Existing	0
162381.38	29	7077.38	961419	11.99770304	3.36729583	8.864659062	New	1
15329.5	28	1773.29	247681	9.637534356	3.33220451	7.480591857	Existing	0
11163.61	25	175	30850	9.32041466	3.218875825	5.164785974	Existing	0
17654.42	62	302.5	524890	9.778741456	4.127134385	5.712081277	Existing	0
13429.82	10	0	0	9.505232887	2.302585093	0	Existing	0
17140.84	5	9875	345635	9.749219199	1.609437912	9.19776159	New	1
8326.07	7	871.86	41634	9.027146835	1.945910149	6.770628861	Existing	0
3204.97	8	3.6	12875	8.072458009	2.079441542	1.280933845	Existing	0
8144.77	45	138.8	378821	9.005131282	3.80666249	4.933034048	Existing	0
39791.57	27	5571.69	4930492.5	10.59141036	3.295836866	8.625453698	New	1
38365.73	74	1425.49	844222	10.55491989	4.304065093	7.262270893	New	1
30761.02	10	1997.88	183778	10.33400358	2.302585093	7.599841897	New	1
11676.58	63	6079.03	1772735	9.365340405	4.143134726	8.712600423	Existing	0
14931.1	308	593.51	7664558	9.611201565	5.730099783	6.386054063	Existing	0
22571.78	7	200	236540	10.02445573	1.945910149	5.298317367	New	1
34908.84	26	1818.96	2428169.5	10.46049537	3.258096538	7.506020188	New	1
37656.42	113	1530.08	1349428	10.53625874	4.727387819	7.333075301	Existing	0
24180.71	14	2537.69	109405	10.09331049	2.63905733	7.839009497	New	1
26708.16	46	5942.72	421183	10.19272442	3.828641396	8.68992222	New	1
47447.24	24	6261.87	9698829.5	10.76737364	3.17805383	8.742234142	New	1
40198.49	33	13973.93	858155	10.60158471	3.496507561	9.54494873	New	1
16852.98	24	2052.09	248174	9.732282775	3.17805383	7.626614065	New	1
20612.45	8	5.01	28781	9.933650541	2.079441542	1.611435915	New	1
