Date	Month	JC Penney Price	Lag 1 Price	Lag 2 Price	Lag 3 Price	JC Penney  Return	Lag 1 Return	Lag 2 Return
20020930	33	17.4501138	19.0285097	19.2915695	23.96617121	-0.082949	-0.013636	-0.19505
20021031	34	21.0179641	17.4501138	19.0285097	19.29156952	0.20446	-0.082949	-0.013636
20021129	35	26.1814263	21.0179641	17.4501138	19.02850968	0.245669	0.20446	-0.082949
20021231	36	25.3870557	26.1814263	21.0179641	17.45011383	-0.030341	0.245669	0.20446
20030131	37	21.5309904	25.3870557	26.1814263	21.0179641	-0.151891	-0.030341	0.245669
20030228	38	22.0417916	21.5309904	25.3870557	26.18142632	0.023724	-0.151891	-0.030341
20030331	39	21.8086115	22.0417916	21.5309904	25.38705567	-0.010579	0.023724	-0.151891
20030430	40	19.0825351	21.8086115	22.0417916	21.53099039	-0.125	-0.010579	0.023724
20030530	41	19.3733529	19.0825351	21.8086115	22.04179161	0.01524	-0.125	-0.010579
20030630	42	18.8476376	19.3733529	19.0825351	21.8086115	-0.027136	0.01524	-0.125
20030731	43	20.9225552	18.8476376	19.3733529	19.08253506	0.110089	-0.027136	0.01524
20030829	44	23.8953992	20.9225552	18.8476376	19.37335289	0.142088	0.110089	-0.027136
20030930	45	24.0643158	23.8953992	20.9225552	18.84763759	0.007069	0.142088	0.110089
20031031	46	26.7725379	24.0643158	23.8953992	20.92255517	0.112541	0.007069	0.142088
20031128	47	28.1649241	26.7725379	24.0643158	23.89539918	0.052008	0.112541	0.007069
20031231	48	29.7497643	28.1649241	26.7725379	24.06431576	0.05627	0.052008	0.112541
20040130	49	29.7780564	29.7497643	28.1649241	26.77253792	0.000951	0.05627	0.052008
20040227	50	35.1126165	29.7780564	29.7497643	28.16492407	0.179144	0.000951	0.05627
20040331	51	39.5599805	35.1126165	29.7780564	29.74976435	0.12666	0.179144	0.000951
20040430	52	38.6557185	39.5599805	35.1126165	29.77805638	-0.022858	0.12666	0.179144
20040528	53	40.8476523	38.6557185	39.5599805	35.11261651	0.056704	-0.022858	0.12666
20040630	54	43.1080797	40.8476523	38.6557185	39.55998051	0.055338	0.056704	-0.022858
20040730	55	45.808025	43.1080797	40.8476523	38.65571848	0.062632	0.055338	0.056704
20040831	56	43.8840879	45.808025	43.1080797	40.84765234	-0.042	0.062632	0.055338
20040930	57	40.4026755	43.8840879	45.808025	43.10807972	-0.079332	-0.042	0.062632
20041029	58	39.7556266	40.4026755	43.8840879	45.80802497	-0.016015	-0.079332	-0.042
20041130	59	44.3644567	39.7556266	40.4026755	43.88408792	0.115929	-0.016015	-0.079332
20041231	60	47.58261	44.3644567	39.7556266	40.40267546	0.072539	0.115929	-0.016015
20050131	61	49.2433858	47.58261	44.3644567	39.75562661	0.034903	0.072539	0.115929
20050228	62	51.283687	49.2433858	47.58261	44.36445665	0.041433	0.034903	0.072539
20050331	63	59.8482679	51.283687	49.2433858	47.58260997	0.167004	0.041433	0.034903
20050429	64	54.7936627	59.8482679	51.283687	49.24338581	-0.084457	0.167004	0.041433
20050531	65	57.509675	54.7936627	59.8482679	51.28368701	0.049568	-0.084457	0.167004
20050630	66	60.7688633	57.509675	54.7936627	59.84826788	0.056672	0.049568	-0.084457
20050729	67	65.0277883	60.7688633	57.509675	54.79366272	0.070084	0.056672	0.049568
20050831	68	56.328826	65.0277883	60.7688633	57.50967499	-0.133773	0.070084	0.056672
20050930	69	54.9272521	56.328826	65.0277883	60.76886329	-0.024882	-0.133773	0.070084
20051031	70	59.4504564	54.9272521	56.328826	65.02778831	0.082349	-0.024882	-0.133773
20051130	71	60.925125	59.4504564	54.9272521	56.32882598	0.024805	0.082349	-0.024882
20051230	72	64.5594915	60.925125	59.4504564	54.92725214	0.059653	0.024805	0.082349
20060131	73	64.9368417	64.5594915	60.925125	59.45045642	0.005845	0.059653	0.024805
20060228	74	68.2418672	64.9368417	64.5594915	60.92512499	0.050896	0.005845	0.059653
20060331	75	70.3016797	68.2418672	64.9368417	64.55949147	0.030184	0.050896	0.005845
20060428	76	76.3880476	70.3016797	68.2418672	64.9368417	0.086575	0.030184	0.050896
20060531	77	70.9968084	76.3880476	70.3016797	68.2418672	-0.070577	0.086575	0.030184
20060630	78	78.7803305	70.9968084	76.3880476	70.30167972	0.109632	-0.070577	0.086575
20060731	79	73.6808009	78.7803305	70.9968084	76.38804764	-0.064731	0.109632	-0.070577
20060831	80	73.7744492	73.6808009	78.7803305	70.9968084	0.001271	-0.064731	0.109632
20060929	81	80.0354654	73.7744492	73.6808009	78.7803305	0.084867	0.001271	-0.064731
20061031	82	88.2508658	80.0354654	73.7744492	73.68080092	0.102647	0.084867	0.001271
20061130	83	90.7260379	88.2508658	80.0354654	73.77444922	0.028047	0.102647	0.084867
20061229	84	90.7495359	90.7260379	88.2508658	80.0354654	0.000259	0.028047	0.102647
20070131	85	95.512253	90.7495359	90.7260379	88.25086582	0.052482	0.000259	0.028047
20070228	86	95.2418579	95.512253	90.7495359	90.72603786	-0.002831	0.052482	0.000259
20070330	87	96.5939113	95.2418579	95.512253	90.7495359	0.014196	-0.002831	0.052482
20070430	88	93.2196928	96.5939113	95.2418579	95.51225304	-0.034932	0.014196	-0.002831
20070531	89	94.8580289	93.2196928	96.5939113	95.24185785	0.017575	-0.034932	0.014196
20070629	90	85.3109477	94.8580289	93.2196928	96.59391127	-0.100646	0.017575	-0.034932
20070731	91	80.4313321	85.3109477	94.8580289	93.21969276	-0.057198	-0.100646	0.017575
20070831	92	81.2824565	80.4313321	85.3109477	94.85802886	0.010582	-0.057198	-0.100646
20070928	93	74.910806	81.2824565	80.4313321	85.31094769	-0.078389	0.010582	-0.057198
20071031	94	66.7187101	74.910806	81.2824565	80.4313321	-0.109358	-0.078389	0.010582
20071130	95	52.3404944	66.7187101	74.910806	81.28245646	-0.215505	-0.109358	-0.078389
20071231	96	52.1862994	52.3404944	66.7187101	74.91080598	-0.002946	-0.215505	-0.109358
20080131	97	56.40958	52.1862994	52.3404944	66.71871006	0.080927	-0.002946	-0.215505
20080229	98	55.0514629	56.40958	52.1862994	52.34049445	-0.024076	0.080927	-0.002946
20080331	99	44.9251317	55.0514629	56.40958	52.18629935	-0.183943	-0.024076	0.080927
20080430	100	50.8698947	44.9251317	55.0514629	56.40958	0.132326	-0.183943	-0.024076
20080530	101	48.1648372	50.8698947	44.9251317	55.05146295	-0.053176	0.132326	-0.183943
20080630	102	43.4369286	48.1648372	50.8698947	44.9251317	-0.098161	-0.053176	0.132326
20080731	103	37.1410064	43.4369286	48.1648372	50.86989468	-0.144944	-0.098161	-0.053176
20080829	104	46.9473092	37.1410064	43.4369286	48.16483716	0.264029	-0.144944	-0.098161
20080930	105	40.1648314	46.9473092	37.1410064	43.43692858	-0.14447	0.264029	-0.144944
20081031	106	29.0574481	40.1648314	46.9473092	37.1410064	-0.276545	-0.14447	0.264029
20081128	107	23.0685918	29.0574481	40.1648314	46.94730918	-0.206104	-0.276545	-0.14447
20081231	108	23.9310803	23.0685918	29.0574481	40.16483142	0.037388	-0.206104	-0.276545
20090130	109	20.5904451	23.9310803	23.0685918	29.05744812	-0.139594	0.037388	-0.206104
20090227	110	18.8448695	20.5904451	23.9310803	23.06859183	-0.084776	-0.139594	0.037388
20090331	111	24.6716655	18.8448695	20.5904451	23.93108034	0.309198	-0.084776	-0.139594
20090430	112	37.9724811	24.6716655	18.8448695	20.59044511	0.539113	0.309198	-0.084776
20090529	113	32.2809378	37.9724811	24.6716655	18.84486954	-0.149886	0.539113	0.309198
20090630	114	35.5226541	32.2809378	37.9724811	24.67166551	0.100422	-0.149886	0.539113
20090731	115	37.5518147	35.5226541	32.2809378	37.97248112	0.057123	0.100422	-0.149886
20090831	116	37.4148257	37.5518147	35.5226541	32.28093781	-0.003648	0.057123	0.100422
20090930	117	42.0356315	37.4148257	37.5518147	35.52265415	0.123502	-0.003648	0.057123
20091030	118	41.5125401	42.0356315	37.4148257	37.55181472	-0.012444	0.123502	-0.003648
20091130	119	36.0117964	41.5125401	42.0356315	37.4148257	-0.132508	-0.012444	0.123502
20091231	120	33.3428542	36.0117964	41.5125401	42.03563151	-0.074113	-0.132508	-0.012444
20100129	121	31.3630889	33.3428542	36.0117964	41.51254011	-0.059376	-0.074113	-0.132508
20100226	122	34.836645	31.3630889	33.3428542	36.01179644	0.110753	-0.059376	-0.074113
20100331	123	40.6343337	34.836645	31.3630889	33.34285417	0.166425	0.110753	-0.059376
20100430	124	37.0976026	40.6343337	34.836645	31.36308886	-0.087038	0.166425	0.110753
20100528	125	34.9610403	37.0976026	40.6343337	34.83664505	-0.057593	-0.087038	0.166425
20100630	126	27.3176829	34.9610403	37.0976026	40.6343337	-0.218625	-0.057593	-0.087038
20100730	127	31.5781214	27.3176829	34.9610403	37.09760256	0.155959	-0.218625	-0.057593
20100831	128	25.6163615	31.5781214	27.3176829	34.96104034	-0.188794	0.155959	-0.218625
20100930	129	34.8474736	25.6163615	31.5781214	27.31768289	0.36036	-0.188794	0.155959
20101029	130	40.2322795	34.8474736	25.6163615	31.5781214	0.154525	0.36036	-0.188794
20101130	131	42.9290491	40.2322795	34.8474736	25.61636155	0.06703	0.154525	0.36036
20101231	132	41.6903314	42.9290491	40.2322795	34.8474736	-0.028855	0.06703	0.154525
20110131	133	41.6387188	41.6903314	42.9290491	40.23227945	-0.001238	-0.028855	0.06703
20110228	134	45.3909919	41.6387188	41.6903314	42.92904914	0.090115	-0.001238	-0.028855
20110331	135	46.6244468	45.3909919	41.6387188	41.69033143	0.027174	0.090115	-0.001238
20110429	136	50.1819853	46.6244468	45.3909919	41.6387188	0.076302	0.027174	0.090115
20110531	137	46.2404914	50.1819853	46.6244468	45.39099195	-0.078544	0.076302	0.027174
20110630	138	45.0789303	46.2404914	50.1819853	46.62444676	-0.02512	-0.078544	0.076302
20110729	139	40.4065893	45.0789303	46.2404914	50.1819853	-0.103648	-0.02512	-0.078544
20110831	140	34.9813986	40.4065893	45.0789303	46.24049144	-0.134265	-0.103648	-0.02512
20110930	141	35.1784488	34.9813986	40.4065893	45.0789303	0.005633	-0.134265	-0.103648
20111031	142	42.4032931	35.1784488	34.9813986	40.40658933	0.205377	0.005633	-0.134265
20111130	143	42.3504162	42.4032931	35.1784488	34.98139862	-0.001247	0.205377	0.005633
20111230	144	46.4612017	42.3504162	42.4032931	35.17844883	0.097066	-0.001247	0.205377
