Date	Enron Price	Split Price	Market Cap ($M)	Return on Enron	Percentage Change, Enron	Return on Whole Market	Percentage Change, Whole Market	Shares (000)
1993.17	60.25	120.5	6978	0.08	7.73	0.02506723	2.506723	115811
1993.25	56.13	112.25	6500	-0.07	-6.85	-0.02539817	-2.539817	115811
1993.33	57	114	6601	0.02	2.18	0.02958919	2.958919	115811
1993.42	65.88	131.75	7841	0.16	15.57	0.005446434	0.5446434	119031
1993.5	65.25	130.5	7767	-0.01	-0.95	-0.000825313	-0.0825313	119031
1993.58	34.25	137	8154	0.06	5.52	0.03950907	3.950907	238062
1993.67	35	140	8332	0.02	2.19	0.000639675	0.06396749	238062
1993.75	33.88	135.5	8064	-0.03	-3.21	0.0180732	1.80732	238062
1993.83	31.13	124.5	7438	-0.08	-7.56	-0.01759283	-1.759283	238973
1993.92	29	116	6983	-0.07	-6.83	0.01948987	1.948987	240800
1994	32.88	131.5	7916	0.13	13.36	0.03145304	3.145304	240800
1994.08	31.88	127.5	7676	-0.03	-3.04	-0.02420365	-2.420365	240800
1994.17	30.5	122	7344	-0.04	-3.73	-0.045799	-4.5799	240800
1994.25	29.63	118.5	7379	-0.03	-2.87	0.009473312	0.9473312	249095
1994.33	30.5	122	7597	0.04	3.59	0.009359106	0.9359106	249095
1994.42	32.75	131	8216	0.07	7.38	-0.02790971	-2.790971	250871
1994.5	32.13	128.5	8059	-0.02	-1.91	0.03063457	3.063457	250871
1994.58	30.5	122	7652	-0.04	-4.47	0.0425963	4.25963	250871
1994.67	30.25	121	7612	-0.01	-0.82	-0.01836602	-1.836602	251625
1994.75	32.38	129.5	8146	0.07	7.02	0.01452085	1.452085	251625
1994.83	27	108	6830	-0.16	-15.98	-0.03721698	-3.721698	252962
1994.92	30.5	122	7715	0.13	12.96	0.0125966	1.25966	252962
1995	29.13	116.5	7368	-0.05	-4.51	0.02039707	2.039707	252962
1995.08	33	132	8348	0.14	13.99	0.03961619	3.961619	252962
1995.17	33	132	8348	0	0	0.02704193	2.704193	252962
1995.25	34	136	8557	0.03	3.03	0.02504914	2.504914	251675
1995.33	36.5	146	9186	0.08	7.94	0.03400795	3.400795	251675
1995.42	35.13	140.5	8846	-0.04	-3.77	0.03117408	3.117408	251846
1995.5	34.75	139	8752	-0.01	-1.07	0.04077579	4.077579	251846
1995.58	33.63	134.5	8474	-0.03	-2.66	0.009304444	0.9304444	252007
1995.67	33.5	134	8442	0	-0.37	0.03635669	3.635669	252007
1995.75	34.38	137.5	8663	0.03	2.61	-0.01132006	-1.132006	252007
1995.83	37.5	150	9436	0.1	9.71	0.04270585	4.270585	251625
1995.92	38.13	152.5	9593	0.02	1.67	0.01518494	1.518494	251625
1996	37	148	9310	-0.03	-2.95	0.02814557	2.814557	251625
1996.08	36.63	146.5	9216	0	-0.44	0.01630128	1.630128	251625
1996.17	36.88	147.5	9279	0.01	0.68	0.01093373	1.093373	251625
1996.25	40.25	161	10112	0.09	9.15	0.02551316	2.551316	251242
1996.33	40	160	10050	0	-0.09	0.02676425	2.676425	251242
1996.42	40.88	163.5	10303	0.02	2.19	-0.008278455	-0.8278455	252072
1996.5	39.38	157.5	9925	-0.04	-3.67	-0.05383595	-5.383595	252072
1996.58	40.13	160.5	10114	0.02	2.44	0.03247133	3.247133	252072
1996.67	40.75	163	10338	0.02	1.56	0.05298967	5.298967	253684
1996.75	46.5	186	11796	0.14	14.11	0.01361997	1.361997	253684
1996.83	45.88	183.5	11638	-0.01	-0.86	0.065513	6.5513	253684
1996.92	43.13	172.5	10973	-0.06	-5.99	-0.01136996	-1.136996	254446
1997	41.25	165	10496	-0.04	-4.35	0.05343754	5.343754	254446
1997.08	39.88	159.5	10146	-0.03	-2.79	-0.001155588	-0.1155588	254446
1997.17	38.13	152.5	9701	-0.04	-4.39	-0.04481585	-4.481585	254446
1997.25	37.63	150.5	9599	-0.01	-1.31	0.04229729	4.229729	255124
1997.33	40.75	163	10396	0.09	8.9	0.07162808	7.162808	255124
1997.42	40.81	163.25	10412	0	0.15	0.04413336	4.413336	255125
1997.5	37.88	151.5	11576	-0.07	-7.2	0.07651167	7.651167	305631
1997.58	38.5	154	11531	0.02	2.24	-0.0362365	-3.62365	299498
1997.67	38.5	154	11531	0	0	0.05845887	5.845887	299498
1997.75	38	152	11381	-0.01	-1.3	-0.03448803	-3.448803	299498
1997.83	38.69	154.75	11587	0.02	2.43	0.03049532	3.049532	299498
1997.92	41.56	166.25	12426	0.07	7.43	0.01774966	1.774966	298961
1998	41.44	165.75	12388	0	-0.3	0.004522636	0.4522636	298961
1998.08	47	188	14051	0.14	14	0.07321969	7.321969	298961
1998.17	46.38	185.5	13864	-0.01	-1.33	0.0513152	5.13152	298961
1998.25	49.19	196.75	15327	0.06	6.06	0.01087674	1.087674	311604
1998.33	50.13	200.5	16465	0.02	2.39	-0.02572607	-2.572607	328486
1998.42	54.06	216.25	17792	0.08	7.86	0.03200216	3.200216	329092
1998.5	52.94	211.75	17421	-0.02	-2.08	-0.02326044	-2.326044	329092
1998.58	42.31	169.25	13925	-0.2	-19.62	-0.157661	-15.7661	329092
1998.67	53.5	214	17627	0.26	26.44	0.06389582	6.389582	329481
1998.75	52.75	211	17380	-0.01	-1.4	0.07435209	7.435209	329481
1998.83	52.5	210	17298	0	0	0.06199213	6.199213	329481
1998.92	57.06	228.25	18872	0.09	8.69	0.0631737	6.31737	330728
1999	66	264	21828	0.16	15.66	0.03840321	3.840321	330728
1999.08	65	260	21497	-0.01	-1.14	-0.03803418	-3.803418	330728
1999.17	64.25	257	21249	-0.01	-1.15	0.03807275	3.807275	330728
1999.25	75.25	301	26416	0.17	17.12	0.0488878	4.88878	351041
1999.33	71.38	285.5	25240	-0.05	-4.82	-0.02067081	-2.067081	353624
1999.42	81.75	327	28909	0.15	14.54	0.05112657	5.112657	353624
1999.5	85.19	340.75	30124	0.04	4.2	-0.03049942	-3.049942	353624
1999.58	41.88	335	29616	-0.01	-1.39	-0.009980929	-0.9980929	707248
1999.67	41.06	328.5	29312	-0.02	-1.94	-0.02256262	-2.256262	713832
1999.75	39.94	319.5	28509	-0.03	-2.74	0.06214003	6.214003	713832
1999.83	38.06	304.5	27238	-0.04	-4.38	0.03698029	3.698029	715613
1999.92	44.38	355	31755	0.17	16.58	0.08397162	8.397162	715613
2000	67.88	543	48572	0.53	52.96	-0.039607	-3.9607	715613
2000.08	68.75	550	49198	0.01	1.47	0.03186377	3.186377	715613
2000.17	74.88	599	53582	0.09	8.91	0.05387296	5.387296	715613
2000.25	69.69	557.5	50497	-0.07	-6.93	-0.05968751	-5.968751	724621
2000.33	72.88	583	53348	0.05	4.75	-0.03888759	-3.888759	732044
2000.42	64.5	516	47217	-0.11	-11.49	0.05163629	5.163629	732044
2000.5	73.63	589	53897	0.14	14.15	-0.0177927	-1.77927	732044
2000.58	84.88	679	62716	0.15	15.28	0.07640832	7.640832	738917
2000.67	87.63	701	64748	0.03	3.39	-0.05129584	-5.129584	738917
2000.75	82.06	656.5	60637	-0.06	-6.35	-0.02455926	-2.455926	738917
2000.83	64.75	518	47845	-0.21	-20.94	-0.1030554	-10.30554	738917
2000.92	83.13	665	61422	0.28	28.38	0.01957216	1.957216	738917
2001	80	640	59113	-0.04	-3.76	0.03954633	3.954633	738917
2001.08	68.5	548	50616	-0.14	-14.22	-0.09926324	-9.926324	738917
2001.17	58.1	464.799988	43829	-0.15	-15.18	-0.07023959	-7.023959	754367
2001.25	62.72	501.76001	47314	0.08	7.95	0.0841507	8.41507	754367
2001.33	52.91	423.279999	39476	-0.15	-15.44	0.01061634	1.061634	746105
2001.42	49.1	392.799988	36634	-0.07	-7.2	-0.01731558	-1.731558	746105
2001.5	45.35	362.799988	33966	-0.08	-7.64	-0.0180848	-1.80848	748979
2001.58	34.99	279.920013	26237	-0.23	-22.57	-0.05963467	-5.963467	749857
2001.67	27.23	217.839996	20419	-0.22	-22.18	-0.09147193	-9.147193	749857
2001.75	13.9	111.199997	10423	-0.49	-48.95	0.02788064	2.788064	749857
2001.83	0.26	2.07999992	193	-0.98	-98.13	0.0786671	7.86671	743905
2001.92	0.6	4.80000019	446	1.31	130.77	0.01787852	1.787852	743905
2002						-0.01599994	-1.599994	743905
