Cal Date	Year	Month	Day	Pct Change Apple	Price Apple
20040609	2004	6	9	-0.4942	30.2
20040610	2004	6	10	1.7881	30.74
20040614	2004	6	14	-2.0169	30.12
20040615	2004	6	15	1.8924	30.69
20040616	2004	6	16	6.6797	32.74
20040617	2004	6	17	0.2138	32.81
20040618	2004	6	18	0.3048	32.91
20040621	2004	6	21	-1.7624	32.33
20040622	2004	6	22	2.0724	33
20040623	2004	6	23	2.1212	33.7
20040624	2004	6	24	-1.543	33.18
20040625	2004	6	25	1.5672	33.7
20040628	2004	6	28	-3.5905	32.49
20040629	2004	6	29	0.0308	32.5
20040630	2004	6	30	0.1231	32.54
20040701	2004	7	1	-0.7376	32.3
20040702	2004	7	2	-3.7771	31.08
20040706	2004	7	6	-0.4183	30.95
20040707	2004	7	7	-1.8094	30.39
20040708	2004	7	8	-0.8226	30.14
20040709	2004	7	9	-0.365	30.03
20040712	2004	7	12	-2.9637	29.14
20040713	2004	7	13	0.2745	29.22
20040714	2004	7	14	1.232	29.58
20040715	2004	7	15	11.3252	32.93
20040716	2004	7	16	-2.2168	32.2
20040719	2004	7	19	-0.7143	31.97
20040720	2004	7	20	0.7194	32.2
20040721	2004	7	21	-1.8012	31.62
20040722	2004	7	22	0.1898	31.68
20040723	2004	7	23	-3.0934	30.7
20040726	2004	7	26	1.8241	31.26
20040727	2004	7	27	3.7428	32.43
20040728	2004	7	28	-0.4934	32.27
20040729	2004	7	29	1.1466	32.64
20040730	2004	7	30	-0.9191	32.34
20040802	2004	8	2	-2.35	31.58
20040803	2004	8	3	-0.9183	31.29
20040804	2004	8	4	1.598	31.79
20040805	2004	8	5	-1.2583	31.39
20040806	2004	8	6	-5.129	29.78
20040809	2004	8	9	1.7461	30.3
20040810	2004	8	10	4.0264	31.52
20040811	2004	8	11	-1.618	31.01
20040812	2004	8	12	-2.0638	30.37
20040813	2004	8	13	1.5476	30.84
20040816	2004	8	16	-0.1946	30.78
20040817	2004	8	17	0.2924	30.87
20040818	2004	8	18	2.8183	31.74
20040819	2004	8	19	-3.2451	30.71
20040820	2004	8	20	0.2931	30.8
20040823	2004	8	23	0.9091	31.08
20040824	2004	8	24	2.7992	31.95
20040825	2004	8	25	3.4429	33.05
20040826	2004	8	26	4.8714	34.66
20040827	2004	8	27	-0.8944	34.35
20040830	2004	8	30	-0.6696	34.12
20040831	2004	8	31	1.0844	34.49
20040901	2004	9	1	3.9722	35.86
20040902	2004	9	2	-0.5577	35.66
20040903	2004	9	3	-1.2058	35.23
20040907	2004	9	7	1.5044	35.76
20040908	2004	9	8	1.6499	36.35
20040909	2004	9	9	-1.7882	35.7
20040910	2004	9	10	0.4762	35.87
20040913	2004	9	13	-0.7806	35.59
20040914	2004	9	14	-0.281	35.49
20040915	2004	9	15	-0.8171	35.2
20040916	2004	9	16	3.267	36.35
20040917	2004	9	17	2.1733	37.14
20040920	2004	9	20	1.5347	37.71
20040921	2004	9	21	0.7955	38.01
20040922	2004	9	22	-2.8677	36.92
20040923	2004	9	23	0.948	37.27
20040924	2004	9	24	0.0537	37.29
20040927	2004	9	27	0.6436	37.53
20040928	2004	9	28	1.3589	38.04
20040929	2004	9	29	1.6824	38.68
20040930	2004	9	30	0.181	38.75
20041001	2004	10	1	-0.2065	38.67
20041004	2004	10	4	0.3103	38.79
20041005	2004	10	5	1.4952	39.37
20041006	2004	10	6	3.2258	40.64
20041007	2004	10	7	-2.5098	39.62
20041008	2004	10	8	-1.4134	39.06
20041011	2004	10	11	-1.2033	38.59
20041012	2004	10	12	-0.7774	38.29
20041013	2004	10	13	3.813	39.75
20041014	2004	10	14	13.1572	44.98
20041015	2004	10	15	1.1561	45.5
20041018	2004	10	18	4.9451	47.75
20041019	2004	10	19	-0.6911	47.42
20041020	2004	10	20	0.1054	47.47
20041021	2004	10	21	0.9901	47.94
20041022	2004	10	22	-1.1055	47.41
20041025	2004	10	25	0.2953	47.55
20041026	2004	10	26	0.8833	47.97
20041027	2004	10	27	4.8572	50.3
20041028	2004	10	28	3.7575	52.19
20041029	2004	10	29	0.4024	52.4
20041101	2004	11	1	0.0954	52.45
20041102	2004	11	2	2.0019	53.5
20041103	2004	11	3	3.3832	55.31
20041104	2004	11	4	-1.5549	54.45
20041105	2004	11	5	0.4959	54.72
20041108	2004	11	8	-0.6213	54.38
20041109	2004	11	9	-0.6068	54.05
20041110	2004	11	10	1.2951	54.75
20041111	2004	11	11	1.0046	55.3
20041112	2004	11	12	0.3617	55.5
20041115	2004	11	15	-0.4685	55.24
20041116	2004	11	16	-0.5521	54.935
20041117	2004	11	17	-0.0637	54.9
20041118	2004	11	18	0.8925	55.39
20041119	2004	11	19	-0.3972	55.17
20041122	2004	11	22	11.2017	61.35
20041123	2004	11	23	-0.1304	61.27
20041124	2004	11	24	4.5373	64.05
20041126	2004	11	26	0.7806	64.55
20041129	2004	11	29	6.0263	68.44
20041130	2004	11	30	-2.031	67.05
20041201	2004	12	1	1.1037	67.79
20041202	2004	12	2	-3.8059	65.21
20041203	2004	12	3	-3.8798	62.68
20041206	2004	12	6	4.9458	65.78
20041207	2004	12	7	-4.3934	62.89
20041208	2004	12	8	0.6201	63.28
20041209	2004	12	9	1.122	63.99
20041210	2004	12	10	1.8128	65.15
20041213	2004	12	13	-0.3684	64.91
20041214	2004	12	14	0.5854	65.29
20041215	2004	12	15	-0.0459	65.26
20041216	2004	12	16	2.0472	66.596
20041217	2004	12	17	-2.4116	64.99
20041220	2004	12	20	-3.4928	62.72
20041221	2004	12	21	1.5466	63.69
20041222	2004	12	22	0.0942	63.75
20041223	2004	12	23	0.4078	64.01
20041227	2004	12	27	-1.3279	63.16
20041228	2004	12	28	1.6149	64.18
20041229	2004	12	29	0.4051	64.44
20041230	2004	12	30	0.5587	64.8
20041231	2004	12	31	-0.6173	64.4
20050103	2005	1	3	-1.7236	63.29
20050104	2005	1	4	1.027	63.94
20050105	2005	1	5	0.8758	64.5
20050106	2005	1	6	0.0775	64.55
20050107	2005	1	7	7.2812	69.25
20050110	2005	1	10	-0.4188	68.96
20050111	2005	1	11	-6.3805	64.56
20050112	2005	1	12	1.3941	65.46
20050113	2005	1	13	6.63	69.8
20050114	2005	1	14	0.5731	70.2
20050118	2005	1	18	0.641	70.65
20050119	2005	1	19	-1.0899	69.88
20050120	2005	1	20	0.83	70.46
20050121	2005	1	21	0.0426	70.49
20050124	2005	1	24	0.383	70.76
20050125	2005	1	25	1.8231	72.05
20050126	2005	1	26	0.2776	72.25
20050127	2005	1	27	0.5398	72.64
20050128	2005	1	28	1.8447	73.98
20050131	2005	1	31	3.947	76.9
20050201	2005	2	1	0.8192	77.53
20050202	2005	2	2	2.7086	79.63
20050203	2005	2	3	-2.2856	77.81
20050204	2005	2	4	1.3237	78.84
20050207	2005	2	7	0.1268	78.94
20050208	2005	2	8	2.4829	80.9
20050209	2005	2	9	-2.67	78.74
20050210	2005	2	10	-0.4826	78.36
20050211	2005	2	11	3.6371	81.21
20050214	2005	2	14	4.2113	84.63
20050215	2005	2	15	4.4665	88.41
20050216	2005	2	16	1.9455	90.13
20050217	2005	2	17	-2.5741	87.81
20050218	2005	2	18	-1.1388	86.81
20050222	2005	2	22	-1.7509	85.29
20050223	2005	2	23	3.4471	88.23
20050224	2005	2	24	0.7934	88.93
20050225	2005	2	25	0.0675	88.99
20050228	2005	2	28	0.8203	44.86
20050301	2005	3	1	-0.8025	44.5
20050302	2005	3	2	-0.8517	44.121
20050303	2005	3	3	-5.2832	41.79
20050304	2005	3	4	2.4408	42.81
20050307	2005	3	7	-0.1402	42.75
20050308	2005	3	8	-5.193	40.53
20050309	2005	3	9	-2.9114	39.35
20050310	2005	3	10	1.2198	39.83
20050311	2005	3	11	1.1047	40.27
20050314	2005	3	14	0.1242	40.32
20050315	2005	3	15	1.5873	40.96
20050316	2005	3	16	0.5371	41.18
20050317	2005	3	17	2.5983	42.25
20050318	2005	3	18	1.6805	42.96
20050321	2005	3	21	1.7225	43.7
20050322	2005	3	22	-1.9908	42.83
20050323	2005	3	23	-0.6538	42.55
20050324	2005	3	24	-0.1175	42.5
20050328	2005	3	28	0.0706	42.53
20050329	2005	3	29	-1.834	41.75
20050330	2005	3	30	2.515	42.8
20050331	2005	3	31	-2.6402	41.67
20050401	2005	4	1	-1.8718	40.89
20050404	2005	4	4	0.4891	41.09
20050405	2005	4	5	1.9469	41.89
20050406	2005	4	6	1.0504	42.33
20050407	2005	4	7	2.9057	43.56
20050408	2005	4	8	0.4132	43.74
20050411	2005	4	11	-4.161	41.92
20050412	2005	4	12	1.7653	42.66
20050413	2005	4	13	-3.7975	41.04
20050414	2005	4	14	-9.2105	37.26
20050415	2005	4	15	-5.1261	35.35
20050418	2005	4	18	0.7638	35.62
20050419	2005	4	19	4.1269	37.09
20050420	2005	4	20	-4.2599	35.51
20050421	2005	4	21	4.7029	37.18
20050422	2005	4	22	-4.5186	35.5
20050425	2005	4	25	4.169	36.98
20050426	2005	4	26	-2.1363	36.19
20050427	2005	4	27	-0.6632	35.95
20050428	2005	4	28	-1.1405	35.54
20050429	2005	4	29	1.4631	36.06
20050502	2005	5	2	1.0261	36.43
20050503	2005	5	3	-0.6039	36.21
20050504	2005	5	4	2.596	37.15
20050505	2005	5	5	-1.2651	36.68
20050506	2005	5	6	1.5267	37.24
20050509	2005	5	9	-0.725	36.97
20050510	2005	5	10	-1.4877	36.42
20050511	2005	5	11	-2.224	35.61
20050512	2005	5	12	-4.1561	34.13
20050513	2005	5	13	1.8752	34.77
20050516	2005	5	16	2.2433	35.55
20050517	2005	5	17	-0.5345	35.36
20050518	2005	5	18	1.3575	35.84
20050519	2005	5	19	4.7712	37.55
20050520	2005	5	20	0	37.55
20050523	2005	5	23	5.8855	39.76
20050524	2005	5	24	-0.1509	39.7
20050525	2005	5	25	0.2015	39.78
20050526	2005	5	26	2.4133	40.74
20050527	2005	5	27	-0.4418	40.56
20050531	2005	5	31	-1.9741	39.7593
20050601	2005	6	1	1.3599	40.3
20050602	2005	6	2	-0.6452	40.04
20050603	2005	6	3	-4.4955	38.24
20050606	2005	6	6	-0.8368	37.92
20050607	2005	6	7	-3.6392	36.54
20050608	2005	6	8	1.0399	36.92
20050609	2005	6	9	1.9773	37.65
20050610	2005	6	10	-4.8871	35.81
20050613	2005	6	13	0.2513	35.9
20050614	2005	6	14	0.2785	36
20050615	2005	6	15	3.1389	37.13
20050616	2005	6	16	2.2892	37.98
20050617	2005	6	17	0.8689	38.31
20050620	2005	6	20	-1.8272	37.61
20050621	2005	6	21	0.6647	37.86
20050622	2005	6	22	1.8225	38.55
20050623	2005	6	23	0.882	38.89
20050624	2005	6	24	-2.9056	37.76
20050627	2005	6	27	-1.7479	37.1
20050628	2005	6	28	0.566	37.31
20050629	2005	6	29	-2.5194	36.37
20050630	2005	6	30	1.2098	36.81
20050701	2005	7	1	-0.8422	36.5
20050705	2005	7	5	4.0548	37.98
20050706	2005	7	6	-1.5534	37.39
20050707	2005	7	7	0.6419	37.63
20050708	2005	7	8	1.6476	38.25
20050711	2005	7	11	-0.3922	38.1
20050712	2005	7	12	0.3675	38.24
20050713	2005	7	13	0.2876	38.35
20050714	2005	7	14	6.2582	40.75
20050715	2005	7	15	1.9632	41.55
20050718	2005	7	18	-0.1444	41.49
20050719	2005	7	19	4.0974	43.19
20050720	2005	7	20	1.0188	43.63
20050721	2005	7	21	-0.7793	43.29
20050722	2005	7	22	1.6401	44
20050725	2005	7	25	-0.4318	43.81
20050726	2005	7	26	-0.4109	43.63
20050727	2005	7	27	0.8251	43.99
20050728	2005	7	28	-0.4319	43.8
20050729	2005	7	29	-2.6256	42.65
20050801	2005	8	1	0.2345	42.75
20050802	2005	8	2	1.0292	43.19
20050803	2005	8	3	0.0695	43.22
20050804	2005	8	4	-1.18	42.71
20050805	2005	8	5	0.6556	42.99
20050808	2005	8	8	-0.7909	42.65
20050809	2005	8	9	2.7433	43.82
20050810	2005	8	10	-1.0041	43.38
20050811	2005	8	11	1.4292	44
20050812	2005	8	12	4.7727	46.1
20050815	2005	8	15	3.4273	47.68
20050816	2005	8	16	-2.9992	46.25
20050817	2005	8	17	1.9459	47.15
20050818	2005	8	18	-1.8028	46.3
20050819	2005	8	19	-1.0151	45.83
20050822	2005	8	22	0.0873	45.87
20050823	2005	8	23	-0.2834	45.74
20050824	2005	8	24	0.0656	45.77
20050825	2005	8	25	0.6336	46.06
20050826	2005	8	26	-0.6947	45.74
20050829	2005	8	29	0.2186	45.84
20050830	2005	8	30	1.5925	46.57
20050831	2005	8	31	0.6871	46.89
20050901	2005	9	1	-1.3436	46.26
20050902	2005	9	2	-0.0865	46.22
20050906	2005	9	6	5.582	48.8
20050907	2005	9	7	-0.2459	48.68
20050908	2005	9	8	2.2597	49.78
20050909	2005	9	9	3.0735	51.31
20050912	2005	9	12	0.1754	51.4
20050913	2005	9	13	-1.1284	50.82
20050914	2005	9	14	-2.381	49.61
20050915	2005	9	15	0.5241	49.87
20050916	2005	9	16	2.687	51.21
20050919	2005	9	19	2.7924	52.64
20050920	2005	9	20	1.0448	53.19
20050921	2005	9	21	-2.0305	52.11
20050922	2005	9	22	-0.403	51.9
20050923	2005	9	23	2.5048	53.2
20050926	2005	9	26	1.203	53.84
20050927	2005	9	27	-0.7429	53.44
20050928	2005	9	28	-4.4162	51.08
20050929	2005	9	29	2.4667	52.34
20050930	2005	9	30	2.4264	53.61
20051003	2005	10	3	1.5482	54.44
20051004	2005	10	4	-1.2674	53.75
20051005	2005	10	5	-1.8045	52.7801
20051006	2005	10	6	-2.0464	51.7
20051007	2005	10	7	-0.7737	51.3
20051010	2005	10	10	-1.8129	50.37
20051011	2005	10	11	2.4221	51.59
20051012	2005	10	12	-4.5358	49.25
20051013	2005	10	13	9.1168	53.74
20051014	2005	10	14	0.4838	54
20051017	2005	10	17	-1.037	53.44
20051018	2005	10	18	-2.3016	52.21
20051019	2005	10	19	5.2289	54.94
20051020	2005	10	20	2.1842	56.14
20051021	2005	10	21	-0.855	55.66
20051024	2005	10	24	2.0302	56.79
20051025	2005	10	25	-1.215	56.1
20051026	2005	10	26	1.6578	57.03
20051027	2005	10	27	-2.8406	55.41
20051028	2005	10	28	-1.6964	54.47
20051031	2005	10	31	5.7279	57.59
20051101	2005	11	1	-0.1563	57.5
20051102	2005	11	2	4.2609	59.95
20051103	2005	11	3	3.1691	61.8499
20051104	2005	11	4	-1.1316	61.15
20051107	2005	11	7	-1.5045	60.23
20051108	2005	11	8	-0.5479	59.9
20051109	2005	11	9	0.3506	60.11
20051110	2005	11	10	1.7801	61.18
20051111	2005	11	11	0.5884	61.54
20051114	2005	11	14	-0.1462	61.45
20051115	2005	11	15	1.3507	62.28
20051116	2005	11	16	4.2871	64.95
20051117	2005	11	17	-0.662	64.52
20051118	2005	11	18	0.062	64.56
20051121	2005	11	21	0.6196	64.96
20051122	2005	11	22	2.4015	66.52
20051123	2005	11	23	0.887	67.11
20051125	2005	11	25	3.3229	69.34
20051128	2005	11	28	0.4615	69.66
20051129	2005	11	29	-2.2395	68.1
20051130	2005	11	30	-0.4112	67.82
20051201	2005	12	1	5.5737	71.6001
20051202	2005	12	2	1.4384	72.63
20051205	2005	12	5	-1.1152	71.82
20051206	2005	12	6	3.105	74.05
20051207	2005	12	7	-0.1351	73.95
20051208	2005	12	8	0.1758	74.08
20051209	2005	12	9	0.3381	74.3305
20051212	2005	12	12	0.7796	74.91
20051213	2005	12	13	0.0934	74.98
20051214	2005	12	14	-3.9611	72.01
20051215	2005	12	15	0.2361	72.18
20051216	2005	12	16	-1.4824	71.11
20051219	2005	12	19	0.3797	71.38
20051220	2005	12	20	1.0227	72.11
20051221	2005	12	21	1.9276	73.5
20051222	2005	12	22	0.7075	74.02
20051223	2005	12	23	-0.9052	73.35
20051227	2005	12	27	1.1997	74.23
20051228	2005	12	28	-0.8891	73.57
20051229	2005	12	29	-2.8816	71.45
20051230	2005	12	30	0.6158	71.89
20060103	2006	1	3	3.9783	74.75
20060104	2006	1	4	0.2943	74.97
20060105	2006	1	5	-0.787	74.38
20060106	2006	1	6	2.5813	76.3
20060109	2006	1	9	-0.3277	76.05
20060110	2006	1	10	6.3248	80.86
20060111	2006	1	11	3.7596	83.9
20060112	2006	1	12	0.466	84.291
20060113	2006	1	13	1.541	85.5899
20060117	2006	1	17	-1.0279	84.7101
20060118	2006	1	18	-2.6207	82.4901
20060119	2006	1	19	-4.1885	79.035
20060120	2006	1	20	-3.7275	76.089
20060123	2006	1	23	2.0778	77.67
20060124	2006	1	24	-2.0986	76.04
20060125	2006	1	25	-2.4198	74.2
20060126	2006	1	26	-2.5202	72.33
20060127	2006	1	27	-0.4148	72.03
20060130	2006	1	30	4.1233	75
20060131	2006	1	31	0.68	75.51
20060201	2006	2	1	-0.1192	75.42
20060202	2006	2	2	-4.402	72.1
20060203	2006	2	3	-0.3509	71.847
20060206	2006	2	6	-6.3287	67.3
20060207	2006	2	7	0.4458	67.6
20060208	2006	2	8	1.7899	68.81
20060209	2006	2	9	-5.6097	64.95
20060210	2006	2	10	3.6336	67.31
20060213	2006	2	13	-3.8627	64.71
20060214	2006	2	14	4.5356	67.645
20060215	2006	2	15	2.3283	69.22
20060216	2006	2	16	1.9503	70.57
20060217	2006	2	17	-0.3968	70.29
20060221	2006	2	21	-1.7214	69.08
20060222	2006	2	22	3.2426	71.32
20060223	2006	2	23	0.6029	71.75
20060224	2006	2	24	-0.4042	71.46
20060227	2006	2	27	-0.6577	70.99
20060228	2006	2	28	-3.5216	68.49
20060301	2006	3	1	0.8906	69.1
20060302	2006	3	2	0.7381	69.61
20060303	2006	3	3	-2.7151	67.72
20060306	2006	3	6	-3.3077	65.48
20060307	2006	3	7	1.2676	66.31
20060308	2006	3	8	-0.9802	65.66
20060309	2006	3	9	-2.6348	63.93
20060310	2006	3	10	-1.1575	63.19
20060313	2006	3	13	3.9405	65.68
20060314	2006	3	14	2.497	67.32
20060315	2006	3	15	-1.6191	66.23
20060316	2006	3	16	-2.899	64.31
20060317	2006	3	17	0.5442	64.66
20060320	2006	3	20	-1.0362	63.99
20060321	2006	3	21	-3.4068	61.81
20060322	2006	3	22	-0.2265	61.67
20060323	2006	3	23	-2.4485	60.16
20060324	2006	3	24	-0.3324	59.96
20060327	2006	3	27	-0.7505	59.51
20060328	2006	3	28	-1.3443	58.71
20060329	2006	3	29	6.1659	62.33
20060330	2006	3	30	0.6738	62.75
20060331	2006	3	31	-0.0478	62.72
20060403	2006	4	3	-0.1116	62.65
20060404	2006	4	4	-2.3623	61.17
20060405	2006	4	5	9.8741	67.21
20060406	2006	4	6	5.9961	71.24
20060407	2006	4	7	-2.0354	69.79
20060410	2006	4	10	-1.6048	68.67
20060411	2006	4	11	-0.9902	67.99
20060412	2006	4	12	-1.8826	66.71
20060413	2006	4	13	-0.3613	66.469
20060417	2006	4	17	-2.4944	64.811
20060418	2006	4	18	2.174	66.22
20060419	2006	4	19	-0.8608	65.65
20060420	2006	4	20	3.016	67.63
20060421	2006	4	21	-0.8724	67.04
20060424	2006	4	24	-1.9242	65.75
20060425	2006	4	25	0.6388	66.17
20060426	2006	4	26	2.9923	68.15
20060427	2006	4	27	1.7755	69.36
20060428	2006	4	28	1.485	70.39
20060501	2006	5	1	-1.1223	69.6
20060502	2006	5	2	2.9023	71.62
20060503	2006	5	3	-0.6702	71.14
20060504	2006	5	4	-0.0141	71.13
20060505	2006	5	5	1.0685	71.89
20060508	2006	5	8	0	71.89
20060509	2006	5	9	-1.1963	71.03
20060510	2006	5	10	-0.6054	70.6
20060511	2006	5	11	-3.4703	68.15
20060512	2006	5	12	-0.6603	67.7
20060515	2006	5	15	0.1329	67.79
20060516	2006	5	16	-4.1452	64.98
20060517	2006	5	17	0.4309	65.26
20060518	2006	5	18	-3.1873	63.18
20060519	2006	5	19	2.1051	64.51
20060522	2006	5	22	-1.7517	63.38
20060523	2006	5	23	-0.3629	63.15
20060524	2006	5	24	0.3009	63.34
20060525	2006	5	25	1.563	64.33
20060526	2006	5	26	-1.2141	63.549
20060530	2006	5	30	-3.6649	61.22
20060531	2006	5	31	-2.3685	59.77
20060601	2006	6	1	4.0154	62.17
20060602	2006	6	2	-0.8203	61.66
20060605	2006	6	5	-2.6922	60
20060606	2006	6	6	-0.4617	59.723
20060607	2006	6	7	-1.939	58.565
20060608	2006	6	8	3.748	60.76
20060609	2006	6	9	-2.5016	59.24
20060612	2006	6	12	-3.7812	57
20060613	2006	6	13	2.3333	58.33
20060614	2006	6	14	-1.2344	57.61
20060615	2006	6	15	3.0724	59.38
20060616	2006	6	16	-3.065	57.56
20060619	2006	6	19	-0.6254	57.2
20060620	2006	6	20	0.472	57.47
20060621	2006	6	21	0.6786	57.86
20060622	2006	6	22	2.9727	59.58
20060623	2006	6	23	-1.2588	58.83
20060626	2006	6	26	0.272	58.99
20060627	2006	6	27	-2.6445	57.43
20060628	2006	6	28	-2.4552	56.02
20060629	2006	6	29	5.266	58.97
20060630	2006	6	30	-2.8828	57.27
20060703	2006	7	3	1.1874	57.95
20060705	2006	7	5	-1.6368	57.0015
20060706	2006	7	6	-2.1605	55.77
20060707	2006	7	7	-0.6634	55.4
20060710	2006	7	10	-0.722	55
20060711	2006	7	11	1.1818	55.65
20060712	2006	7	12	-4.8338	52.96
20060713	2006	7	13	-1.3406	52.25
20060714	2006	7	14	-3.0239	50.67
20060717	2006	7	17	3.355	52.37
20060718	2006	7	18	1.012	52.9
20060719	2006	7	19	2.2684	54.1
20060720	2006	7	20	11.8299	60.5
20060721	2006	7	21	0.3636	60.72
20060724	2006	7	24	1.1528	61.42
20060725	2006	7	25	0.8271	61.928
20060726	2006	7	26	3.1359	63.87
20060727	2006	7	27	-0.7359	63.4
20060728	2006	7	28	3.4543	65.59
20060731	2006	7	31	3.6134	67.96
20060801	2006	8	1	-1.1477	67.18
20060802	2006	8	2	1.4588	68.16
20060803	2006	8	3	2.098	69.59
20060804	2006	8	4	-1.8537	68.3
20060807	2006	8	7	-1.5959	67.21
20060808	2006	8	8	-3.6155	64.78
20060809	2006	8	9	-1.837	63.59
20060810	2006	8	10	0.7548	64.07
20060811	2006	8	11	-0.6555	63.65
20060814	2006	8	14	0.4556	63.94
20060815	2006	8	15	3.9256	66.45
20060816	2006	8	16	2.3025	67.98
20060817	2006	8	17	-0.5737	67.59
20060818	2006	8	18	0.4735	67.91
20060821	2006	8	21	-1.9879	66.56
20060822	2006	8	22	1.5926	67.62
20060823	2006	8	23	-0.4585	67.31
20060824	2006	8	24	0.7428	67.81
20060825	2006	8	25	1.3862	68.75
20060828	2006	8	28	-2.5745	66.98
20060829	2006	8	29	-0.7465	66.48
20060830	2006	8	30	0.722	66.96
20060831	2006	8	31	1.3292	67.85
20060901	2006	9	1	0.7811	68.38
20060905	2006	9	5	4.5335	71.48
20060906	2006	9	6	-2.0285	70.03
20060907	2006	9	7	3.9555	72.8
20060908	2006	9	8	-0.3846	72.52
20060911	2006	9	11	-0.0276	72.5
20060912	2006	9	12	0.1793	72.63
20060913	2006	9	13	2.1616	74.2
20060914	2006	9	14	-0.0404	74.17
20060915	2006	9	15	-0.0944	74.1
20060918	2006	9	18	-0.2834	73.89
20060919	2006	9	19	-0.1624	73.77
20060920	2006	9	20	2.0198	75.26
20060921	2006	9	21	-0.8105	74.65
