Areaname	State	Projects (per 1000 pop)	Pct Added Housing Sq Ft	Pct Change in Permits	Pct Added Housing Value	Empl Change (pct)	Median Age 2000	Percent Under 5	Percent Under 18	Percent Above 65	Employment Change	Unemployment 1990	Unemployment 2000	Unemployment 2008	School (pct)	School Percent HS	Change Housing Value (pct)	Rent (med) 1980	Rent (med)  2000	Income (household median) 1979	Income (median) 1989	Income (median) 1999	Income (median) 2000	Income (median) 2007	Poverty (pct) 2007	Pop Urban (pct) 2000	Pop Density 2008	Pop Female (pct) 2000	Pop White (pct) 2000	Pop Black (pct) 2000	Pop Asian (pct) 2000	Travel time work 2000	Income (per cap) 1980	Income (per cap) 1990	Income (per cap) 2000	---	Alabama	Arkansas	Florida	Georgia	Louisiana	Mississippi	North Carolina	South Carolina	Tennessee	Virginia	West Virginia	Area (sq mile)	Pop (urban) 2000	Pop (rural) 2000	School enroll (pub) 2004	School enroll (pub) 2006	Housing Med Value 1980	Housing Med Value 1990	Housing Med Value 2000	Housing permits 2005	Housing permits 2008	Housing value new 2005	Housing value new 2008	Pop 1980	Pop 1990	Pop 2000	Pop 2008
Drew, AR	AR	1.47344709	-83.333333	-53.84615385	-33.31598126	-0.025549	34	6.5	23.7	13.3	-477	8.9	5.9	7.4	17.959293	73.1	118.545455	157	374	11908	18906	28627	29483	33810	22.6	46.5149816	22.5434084	51.5	70.3	27.2	0.4	20.2	6789	11924	19244		0	1	0	0	0	0	0	0	0	0	0	828.18	8709	10014	3352	3353	27500	38700	60100	20	13	1921	1281	17910	17369	18723	18670
Fulton, AR	AR	0.09127212	0	0	19.46308725	0.02044832	43	5	20.1	21.3	239	6.4	3.9	4.8	14.1341547	72.2	99.6336996	161	337	9454	14950	25529	26153	30261	20.3	9.37124205	18.9077262	51	97.7	0.2	0.2	26.7	5543	10007	16213		0	1	0	0	0	0	0	0	0	0	0	618.16	1091	10551	1571	1652	27300	34000	54500	1	1	149	178	9975	10037	11642	11688
Greene, AR	AR	4.64841805	-34.158416	-20.10582011	-14.87025948	0.00911906	36.2	6.9	24.8	14.2	371	7	4.7	6.2	17.9087602	72.1	153.992395	160	431	11503	19940	30828	31818	37724	16.2	51.1076585	70.447265	51.2	97.4	0.1	0.2	19.2	6569	12131	19170		0	1	0	0	0	0	0	0	0	0	0	577.51	19079	18252	7024	7286	26300	39400	66800	227	189	17034	14501	30744	31804	37331	40684
Howard, AR	AR	0.90853971	-80	-400	-80.85451595	-0.0644135	36.1	7.3	25.3	14	-911	8.1	4.2	5.2	21.7846284	70.7	138.626609	147	369	11590	21277	28699	29424	32979	18.4	33.7692308	24.07647	51.2	73.6	21.9	0.5	19.2	7407	14533	21086		0	1	0	0	0	0	0	0	0	0	0	587.42	4829	9471	3090	3081	23300	36200	55600	20	4	1849	354	13459	13569	14300	14143
Miller, AR	AR	2.25340437	-44.047619	-33.33333333	-32.05206179	-0.0122611	34.9	6.7	25.2	14.1	-530	6.1	4.4	3.7	15.4305279	74.3	152.777778	171	439	12518	20232	30951	31402	37106	18.7	58.3636229	69.2746562	51.3	74	23	0.4	21.1	7612	12852	21001		0	1	0	0	0	0	0	0	0	0	0	623.98	23604	16839	6463	6670	25200	43200	63700	92	69	8221	5586	37766	38467	40443	43226
Monroe, AR	AR	1.34336833	100	50	80	-0.0489552	38.3	5.9	22.6	20.7	-417	7.7	5.1	5.9	18.560695	63.8	93.1506849	135	280	8515	13633	22632	23713	27141	27.2	37.4390482	14.0410451	53.1	59.4	38.8	0.1	21.5	5768	11149	17060		0	1	0	0	0	0	0	0	0	0	0	606.65	3839	6415	1707	1581	21900	32300	42300	1	2	90	162	14052	11333	10254	8518
Nevada, AR	AR	1.10984072	-99.315068	-17000	-99.90429874	0.03450912	37.7	6.6	22.9	16.7	316	10.5	4.7	6.4	16.2389429	69.1	128.888889	131	339	10380	18919	26962	27880	32306	21	30.4269211	14.770546	51.5	66.9	31.2	0.1	23.4	6607	11392	18886		0	1	0	0	0	0	0	0	0	0	0	619.95	3029	6926	1524	1487	18000	30000	41200	342	2	51201	49	11097	10101	9955	9157
Polk, AR	AR	0.54873645	-58.823529	-72.72727273	-40.30087094	-0.0309523	38.6	6.6	23.7	19.2	-627	4.7	4	4.8	19.9091672	72.6	133.061224	146	361	10056	17789	25180	26308	30935	19.4	25.6512927	23.5716447	50.8	94.7	0.2	0.2	20.4	6170	12276	17538		0	1	0	0	0	0	0	0	0	0	0	859.38	5189	15040	4042	4033	24500	36300	57100	19	11	1263	754	17007	17347	20229	20257
Pulaski, AR	AR	3.84404215	-57.165605	-116.0180995	-58.5497612	0.04471639	35	7.8	25.7	12.1	16849	5.5	3.7	4.4	14.8652988	84.4	112.718204	224	539	15652	26883	38120	38328	44909	15.5	87.2676873	488.826185	52.1	64	31.9	1.2	20.8	9776	18912	30006		0	1	0	0	0	0	0	0	0	0	0	770.82	315450	46024	54356	56012	40100	61300	85300	2387	1105	455194	188679	340613	349660	361474	376797
Randolph, AR	AR	0.30429659	-94.318182	-2000	-94.66342103	-0.0433991	38.8	5.9	22.2	18.1	-787	9.5	5.2	7.7	16.59314	69.2	109.958506	141	362	10785	16719	27583	28314	32600	17.4	31.2558395	27.820564	51	97	1	0.1	23.3	5793	11175	16792		0	1	0	0	0	0	0	0	0	0	0	651.82	5687	12508	2441	3009	24100	31300	50600	105	5	10681	570	16834	16558	18195	18134
St. Francis, AR	AR	1.66579587	-56.25	-471.4285714	-79.03494176	-0.0341738	33.8	7	25.5	12.7	-900	11.9	6.9	8.9	19.2132442	65.1	105.128205	159	403	9653	15029	26146	26282	28318	32.6	48.9140441	41.549918	48.6	48.4	49	0.6	22.2	6000	11175	16104		0	1	0	0	0	0	0	0	0	0	0	633.84	14346	14983	5341	5060	27300	38600	56000	40	7	1803	378	30858	28497	29329	26336
Searcy, AR	AR	0.37276342	-40	-66.66666667	-44.06779661	0.0319334	42.3	5.6	20.3	20.7	257	8.8	4.9	5	21.7569583	68	128	141	293	7602	13221	21397	22166	24515	23.9	0	12.0632541	50.5	97.3	0	0.1	32	5104	10147	15037		0	1	0	0	0	0	0	0	0	0	0	667.15	0	8261	1795	1751	20000	29400	45600	5	3	295	165	8847	7841	8261	8048
Sebastian, AR	AR	3.75108335	-35.483871	-45.08009153	-23.84442551	0.01324075	35.5	7.9	26.4	13	1619	7.3	3.3	4.6	15.6550043	76.6	132.698413	196	428	13762	24037	33889	35003	40545	16.1	79.0338139	228.021035	51.2	82.3	6.2	3.5	19.3	8844	16855	25309		0	1	0	0	0	0	0	0	0	0	0	536.24	90945	24126	19108	19142	31500	48600	73300	634	437	64535	49147	95172	99590	115071	122274
Sevier, AR	AR	0.38214541	-63.636364	-175	-92.38636364	0.02911799	33.6	9	29.5	13.1	481	4.4	3.8	3.7	20.2917852	64.6	111.020408	154	398	11992	19208	30144	30074	33281	18.4	36.6884559	29.2921233	50.2	79.6	4.9	0.1	22.2	7119	13342	18467		0	1	0	0	0	0	0	0	0	0	0	563.94	5781	9976	3417	3352	24500	35000	51700	11	4	880	67	14060	13637	15757	16519
Van Buren, AR	AR	2.05985348	277.777778	73.52941177	225.8606886	0.01737557	44.2	5.5	20.3	24.2	288	9.2	5.3	6.2	14.5761689	71.6	94.8012232	174	372	10668	17103	27004	27102	31924	17.1	0	23.2955264	50.8	96.8	0.3	0.2	32.9	5690	11566	17777		0	1	0	0	0	0	0	0	0	0	0	711.51	0	16192	2425	2416	32700	44300	63700	9	34	1249	4070	13357	14008	16192	16575
Washington, AR	AR	10.5989572	-63.380282	-40.37809016	-43.40066889	0.09752149	30.8	8.7	26.7	9.6	19095	3.8	2.9	3.9	17.2806341	79.5	145.504087	213	490	12800	23124	34691	35612	42909	15.4	69.5793044	206.169187	49.9	88	2.2	1.5	19.7	7258	15813	21809		0	1	0	0	0	0	0	0	0	0	0	949.72	109737	47978	30667	33836	36700	56500	90100	2896	2063	403056	228127	100494	113409	157715	195803
Bradford, FL	FL	2.11089953	-59.259259	-145.4545455	-50.40796736	0.06183648	37.2	5.9	20.2	13.4	1794	4.4	3.8	4.7	12.694747	74.2	145.547945	170	430	11816	24625	33140	32889	40542	16.9	34.9164367	98.9731518	44.1	76.3	20.8	0.6	27.9	5995	11650	18557		0	0	1	0	0	0	0	0	0	0	0	293.13	9109	16979	3831	3683	29200	49300	71700	108	44	8334	4133	20023	22515	26088	29012
Broward, FL	FL	1.82141437	-74.840676	-221.2107209	-68.79994073	0.12643884	37.8	6.3	23.2	14.5	221424	5.6	3.6	5.4	15.0073034	82	104.45151	312	757	16580	30571	41691	42690	52504	11.4	99.86063	1452.82396	51.7	70.6	20.5	2.3	27.4	12143	23203	30722		0	0	1	0	0	0	0	0	0	0	0	1205.4	1620756	2262	274591	262813	62900	91800	128600	6951	2164	1106812	345326	1018200	1255488	1623018	1751234
Calhoun, FL	FL	2.65455701	-48.275862	-93.33333333	-58.33439939	0.01564221	36.2	5.8	20.4	16.1	213	7.1	4.7	5.2	16.3545568	69.1	198.469388	140	353	10657	18615	26575	27027	28186	23.3	34.4549435	24.0027498	46	79.9	15.8	0.5	28	5303	10998	15908		0	0	1	0	0	0	0	0	0	0	0	567.31	4485	8532	2313	2227	19600	33200	58500	58	30	7817	3257	9294	11011	13017	13617
Clay, FL	FL	4.22440697	-81.336466	-452.0805369	-86.76152855	0.056099	35.9	6.7	24.2	10.6	10363	4.2	3	5.3	19.3317707	86.4	104.143126	268	668	18407	34860	48854	48988	58696	8	75.0649793	307.30981	50.8	87.4	6.7	2	33.5	9047	18227	26339		0	0	1	0	0	0	0	0	0	0	0	601.11	105702	35112	32605	35711	53100	82100	108400	4113	745	771086	102080	67052	105986	140814	184727
Dixie, FL	FL	3.8006342	-68.072289	-239.6226415	-65.76301521	0.04726884	40.7	5.8	19.8	20	707	7.2	4.4	7.3	14.9829511	65.9	202.45098	138	322	9631	15380	26082	26372	31018	21.6	24.2134953	21.2454369	46.7	88.8	9	0.2	30.2	5698	11163	15307		0	0	1	0	0	0	0	0	0	0	0	704.01	3348	10479	2144	2241	20400	37500	61700	180	53	18997	6504	7751	10585	13827	14957
Franklin, FL	FL	2.60818884	-90.322581	-950	-89.50997682	0.11131941	40.8	5.3	17.5	15.7	1247	5.3	3.9	4.4	11.7568291	68.3	361.842105	152	419	9444	17247	26756	27746	35182	18.6	26.8969883	20.5790499	43.5	81.2	16.3	0.2	19.9	5997	13020	20855		0	0	1	0	0	0	0	0	0	0	0	544.34	2974	8083	1371	1317	22800	51700	105300	252	24	50467	5294	7661	8967	11057	11202
Gilchrist, FL	FL	2.99215869	-55.882353	-112.5	-63.42852744	0.06736083	35.4	5.9	21.4	16.4	1158	7.6	3.6	5.6	16.7994881	72.4	185.714286	192	420	10778	20632	30328	30708	39383	15.4	0	49.27341	47.1	90.5	7	0.2	33.5	7094	11800	19455		0	0	1	0	0	0	0	0	0	0	0	348.89	0	14437	2858	2888	27300	45900	78000	102	48	12991	4751	5767	9667	14437	17191
Hardee, FL	FL	2.17566404	-52.941176	-112.5	-8.794562353	0.07525616	32.7	8.6	27	13.2	2174	11.4	5.9	6.5	17.4363057	58	126.61597	186	446	12028	22065	30183	29693	36590	24	52.5577251	45.3287306	45.6	70.7	8.3	0.3	26.7	8061	15097	16624		0	0	1	0	0	0	0	0	0	0	0	637.3	14158	12780	5146	5037	26300	40300	59600	119	56	7209	6575	19379	19499	26938	28888
Holmes, FL	FL	2.82437323	-5.5555556	-5.882352941	59.20686456	0.05748137	37.5	6	21.1	16.6	1111	6.7	4.8	4.9	17.5082781	65.2	165.09434	160	387	9880	17241	27923	27831	33321	19.8	21.110752	40.0621826	47	89.8	6.5	0.4	34	5408	10973	17611		0	0	1	0	0	0	0	0	0	0	0	482.45	3919	14645	3389	3384	21200	36200	56200	54	51	4312	6865	14723	15778	18564	19328
Lafayette, FL	FL	2.15858944	-51.724138	-107.1428571	-56.92062226	0.03818794	34.8	6.2	19.6	12.4	306	5.6	4	4.4	13.4032198	68.2	179.583333	145	420	11090	20744	30651	30008	36855	22	0	14.7612556	40.2	79.3	14.4	0.1	22.8	6493	11684	15015		0	0	1	0	0	0	0	0	0	0	0	542.84	0	7022	1058	1074	24000	43700	67100	29	14	5014	2160	4035	5578	7022	8013
Levy, FL	FL	2.87383969	-67.419355	-282.1782178	-64.78570576	0.06436898	41.1	6	21.6	19	2540	5.4	3.9	6.9	15.8565636	73.9	165.034965	165	413	10686	18807	26959	27724	34499	18.5	0	35.2831775	51.6	85.9	11	0.4	31.4	6617	12465	18146		0	0	1	0	0	0	0	0	0	0	0	1118.38	0	34450	6284	6257	28600	49100	75800	386	101	50258	17698	19870	25923	34450	39460
Marion, FL	FL	3.78398177	-82.895139	-554.3459175	-79.79589611	0.10495468	43.8	5.6	19.9	24.8	34596	5.8	4	7.7	12.915165	78.2	125.833333	216	513	11797	22452	31944	32532	39354	13	61.089697	208.775952	51.7	84.2	11.5	0.7	25.8	7548	15374	22645		0	0	1	0	0	0	0	0	0	0	0	1578.86	158171	100745	41205	42572	36000	61800	81300	7453	1139	953534	192653	122488	194833	258916	329628
Miami-Dade, FL	FL	2.02855926	-89.054626	-651.871042	-87.2704008	0.07442776	35.6	6.4	22.3	15.4	178496	7.8	5.1	5.8	14.7520374	67.9	116.783217	272	647	15571	26909	35966	33228	43495	15.3	99.2911037	1232.35923	51.7	69.7	20.3	1.4	30.1	10437	18374	25639		0	0	1	0	0	0	0	0	0	0	0	1946.06	2237388	15974	368933	353790	57200	86500	124000	26120	3474	3750503	477424	1625781	1937094	2253362	2398245
Monroe, FL	FL	3.73610746	-57.509881	-106.9230769	-32.41851688	0.04774165	42.6	4.5	15.6	15.9	3449	2.6	2.9	4	11.5955871	84.9	275.116641	277	820	13713	29351	42283	42447	55054	10.5	93.3144027	72.4669228	46.8	90.7	4.8	0.8	18.4	9060	22636	37028		0	0	1	0	0	0	0	0	0	0	0	996.91	74268	5321	8677	8377	64300	151200	241200	538	260	85846	58016	63188	78024	79589	72243
Okeechobee, FL	FL	4.61135318	-2.2099448	-2.259887006	133.7053713	0.02958448	36.7	7.4	24.5	16.7	1194	8.1	5.4	8	18.0604078	65.1	122.34957	213	486	12074	21427	30456	29896	36989	16.4	57.4881649	52.1474533	46.4	79.3	7.9	0.7	27.7	7102	13305	16999		0	0	1	0	0	0	0	0	0	0	0	773.94	20644	15266	7348	7289	34900	55600	77600	181	177	15769	36853	20264	29627	35910	40359
Orange, FL	FL	5.5498238	-77.23465	-219.125278	-71.06562551	0.11928214	33.3	7.5	25	9.9	127966	5.4	3.1	5.8	17.1817513	81.8	148.267898	252	699	15298	30252	41311	42656	50988	11.6	96.5984042	1182.215	50.5	68.6	18.2	3.4	26.6	9403	18713	27070		0	0	1	0	0	0	0	0	0	0	0	907.45	865854	30490	177235	184326	43300	81400	107500	17220	5396	2357376	682092	471016	677491	896344	1072801
Palm Beach, FL	FL	2.1195778	-85.291748	-472.1942281	-81.41234298	0.12532986	41.8	5.9	20.8	22.1	158579	7	4.2	6.6	13.6017507	83.6	135.130435	279	739	16665	32524	45062	42008	53500	10.2	98.3351957	640.943514	51.7	79.1	13.8	1.5	25.7	12945	29520	43116		0	0	1	0	0	0	0	0	0	0	0	1974.11	1112352	18832	175715	172102	57500	98400	135200	12491	2183	2702573	502345	576863	863518	1131184	1265293
Polk, FL	FL	5.98170735	-81.068447	-305.6325023	-64.52645698	0.0742791	38.6	7.2	24.1	17.5	43126	9.9	4.1	6.7	15.9838028	74.8	131.388889	219	501	14248	25216	36036	35438	44216	12.8	79.8086063	309.752558	50.9	79.6	13.5	0.9	25.4	9072	15852	23730		0	0	1	0	0	0	0	0	0	0	0	1874.38	386213	97711	86292	92801	36000	61000	83300	13179	3249	1514213	537145	321652	405382	483924	580594
