Date	Shipments (billion)	Shipments (billion, SA)	Month	Lag Shipments (billion, SA)	Lag 2	Lag 3	Lag 4	Lag 5	Lag 6
1998.125	$34.79 	$37.43 	Feb	$35.38 	37.522	36.536	36.886	37.834	37.934
1998.208333	$42.54 	$37.31 	Mar	$37.43 	35.376	37.522	36.536	36.886	37.834
1998.291667	$31.92 	$36.31 	Apr	$37.31 	37.431	35.376	37.522	36.536	36.886
1998.375	$32.84 	$36.14 	May	$36.31 	37.306	37.431	35.376	37.522	36.536
1998.458333	$43.70 	$37.26 	Jun	$36.14 	36.305	37.306	37.431	35.376	37.522
1998.541667	$30.80 	$36.06 	Jul	$37.26 	36.144	36.305	37.306	37.431	35.376
1998.625	$34.41 	$36.47 	Aug	$36.06 	37.263	36.144	36.305	37.306	37.431
1998.708333	$43.79 	$37.44 	Sep	$36.47 	36.062	37.263	36.144	36.305	37.306
1998.791667	$36.15 	$37.40 	Oct	$37.44 	36.47	36.062	37.263	36.144	36.305
1998.875	$38.03 	$37.96 	Nov	$37.40 	37.437	36.47	36.062	37.263	36.144
1998.958333	$45.49 	$38.04 	Dec	$37.96 	37.401	37.437	36.47	36.062	37.263
1999.041667	$30.86 	$37.55 	Jan	$38.04 	37.964	37.401	37.437	36.47	36.062
1999.125	$35.25 	$38.08 	Feb	$37.55 	38.041	37.964	37.401	37.437	36.47
1999.208333	$43.38 	$37.76 	Mar	$38.08 	37.549	38.041	37.964	37.401	37.437
1999.291667	$34.13 	$38.44 	Apr	$37.76 	38.08	37.549	38.041	37.964	37.401
1999.375	$36.10 	$39.31 	May	$38.44 	37.764	38.08	37.549	38.041	37.964
1999.458333	$45.40 	$39.35 	Jun	$39.31 	38.435	37.764	38.08	37.549	38.041
1999.541667	$34.87 	$40.58 	Jul	$39.35 	39.305	38.435	37.764	38.08	37.549
1999.625	$37.19 	$39.74 	Aug	$40.58 	39.353	39.305	38.435	37.764	38.08
1999.708333	$46.10 	$39.20 	Sep	$39.74 	40.575	39.353	39.305	38.435	37.764
1999.791667	$38.11 	$39.98 	Oct	$39.20 	39.741	40.575	39.353	39.305	38.435
1999.875	$39.48 	$39.55 	Nov	$39.98 	39.202	39.741	40.575	39.353	39.305
1999.958333	$46.20 	$38.49 	Dec	$39.55 	39.975	39.202	39.741	40.575	39.353
2000.041667	$33.73 	$40.21 	Jan	$38.49 	39.551	39.975	39.202	39.741	40.575
2000.125	$37.77 	$39.73 	Feb	$40.21 	38.492	39.551	39.975	39.202	39.741
2000.208333	$46.52 	$40.67 	Mar	$39.73 	40.208	38.492	39.551	39.975	39.202
2000.291667	$37.12 	$42.16 	Apr	$40.67 	39.728	40.208	38.492	39.551	39.975
2000.375	$39.44 	$42.61 	May	$42.16 	40.669	39.728	40.208	38.492	39.551
2000.458333	$49.11 	$42.21 	Jun	$42.61 	42.161	40.669	39.728	40.208	38.492
2000.541667	$37.15 	$43.09 	Jul	$42.21 	42.612	42.161	40.669	39.728	40.208
2000.625	$40.50 	$43.16 	Aug	$43.09 	42.205	42.612	42.161	40.669	39.728
2000.708333	$51.89 	$44.51 	Sep	$43.16 	43.094	42.205	42.612	42.161	40.669
2000.791667	$41.89 	$43.74 	Oct	$44.51 	43.162	43.094	42.205	42.612	42.161
2000.875	$42.61 	$42.72 	Nov	$43.74 	44.511	43.162	43.094	42.205	42.612
2000.958333	$52.91 	$44.56 	Dec	$42.72 	43.741	44.511	43.162	43.094	42.205
2001.041667	$35.70 	$42.22 	Jan	$44.56 	42.724	43.741	44.511	43.162	43.094
2001.125	$38.32 	$41.67 	Feb	$42.22 	44.562	42.724	43.741	44.511	43.162
2001.208333	$46.12 	$40.33 	Mar	$41.67 	42.224	44.562	42.724	43.741	44.511
2001.291667	$32.88 	$36.72 	Apr	$40.33 	41.674	42.224	44.562	42.724	43.741
2001.375	$32.78 	$35.43 	May	$36.72 	40.333	41.674	42.224	44.562	42.724
2001.458333	$41.77 	$36.35 	Jun	$35.43 	36.715	40.333	41.674	42.224	44.562
2001.541667	$29.82 	$34.40 	Jul	$36.35 	35.433	36.715	40.333	41.674	42.224
2001.625	$31.03 	$32.95 	Aug	$34.40 	36.347	35.433	36.715	40.333	41.674
2001.708333	$38.12 	$33.17 	Sep	$32.95 	34.401	36.347	35.433	36.715	40.333
2001.791667	$31.06 	$32.31 	Oct	$33.17 	32.945	34.401	36.347	35.433	36.715
2001.875	$31.93 	$32.01 	Nov	$32.31 	33.171	32.945	34.401	36.347	35.433
2001.958333	$39.95 	$33.15 	Dec	$32.01 	32.31	33.171	32.945	34.401	36.347
2002.041667	$26.80 	$31.42 	Jan	$33.15 	32.005	32.31	33.171	32.945	34.401
2002.125	$29.02 	$31.81 	Feb	$31.42 	33.145	32.005	32.31	33.171	32.945
2002.208333	$35.61 	$31.76 	Mar	$31.81 	31.419	33.145	32.005	32.31	33.171
2002.291667	$27.63 	$30.63 	Apr	$31.76 	31.806	31.419	33.145	32.005	32.31
2002.375	$28.63 	$30.67 	May	$30.63 	31.759	31.806	31.419	33.145	32.005
2002.458333	$34.20 	$30.42 	Jun	$30.67 	30.627	31.759	31.806	31.419	33.145
2002.541667	$25.99 	$29.60 	Jul	$30.42 	30.668	30.627	31.759	31.806	31.419
2002.625	$28.29 	$29.73 	Aug	$29.60 	30.423	30.668	30.627	31.759	31.806
2002.708333	$33.48 	$29.23 	Sep	$29.73 	29.595	30.423	30.668	30.627	31.759
2002.791667	$26.97 	$27.99 	Oct	$29.23 	29.733	29.595	30.423	30.668	30.627
2002.875	$28.37 	$28.67 	Nov	$27.99 	29.232	29.733	29.595	30.423	30.668
2002.958333	$32.33 	$27.45 	Dec	$28.67 	27.994	29.232	29.733	29.595	30.423
2003.041667	$24.50 	$28.02 	Jan	$27.45 	28.667	27.994	29.232	29.733	29.595
2003.125	$26.13 	$28.53 	Feb	$28.02 	27.446	28.667	27.994	29.232	29.733
2003.208333	$32.26 	$28.68 	Mar	$28.53 	28.019	27.446	28.667	27.994	29.232
2003.291667	$25.75 	$28.52 	Apr	$28.68 	28.527	28.019	27.446	28.667	27.994
2003.375	$26.74 	$28.64 	May	$28.52 	28.677	28.527	28.019	27.446	28.667
2003.458333	$33.43 	$29.60 	Jun	$28.64 	28.52	28.677	28.527	28.019	27.446
2003.541667	$25.38 	$28.81 	Jul	$29.60 	28.636	28.52	28.677	28.527	28.019
2003.625	$27.89 	$29.60 	Aug	$28.81 	29.597	28.636	28.52	28.677	28.527
2003.708333	$34.34 	$30.14 	Sep	$29.60 	28.812	29.597	28.636	28.52	28.677
2003.791667	$29.81 	$30.32 	Oct	$30.14 	29.604	28.812	29.597	28.636	28.52
2003.875	$29.89 	$30.48 	Nov	$30.32 	30.142	29.604	28.812	29.597	28.636
2003.958333	$36.15 	$30.58 	Dec	$30.48 	30.321	30.142	29.604	28.812	29.597
2004.041667	$26.10 	$29.75 	Jan	$30.58 	30.476	30.321	30.142	29.604	28.812
2004.125	$28.24 	$30.02 	Feb	$29.75 	30.583	30.476	30.321	30.142	29.604
2004.208333	$33.94 	$30.12 	Mar	$30.02 	29.749	30.583	30.476	30.321	30.142
2004.291667	$27.67 	$29.95 	Apr	$30.12 	30.018	29.749	30.583	30.476	30.321
2004.375	$28.46 	$30.62 	May	$29.95 	30.124	30.018	29.749	30.583	30.476
2004.458333	$33.61 	$30.27 	Jun	$30.62 	29.947	30.124	30.018	29.749	30.583
2004.541667	$26.91 	$30.26 	Jul	$30.27 	30.621	29.947	30.124	30.018	29.749
2004.625	$29.41 	$30.91 	Aug	$30.26 	30.273	30.621	29.947	30.124	30.018
2004.708333	$34.19 	$30.19 	Sep	$30.91 	30.261	30.273	30.621	29.947	30.124
2004.791667	$29.92 	$30.69 	Oct	$30.19 	30.909	30.261	30.273	30.621	29.947
2004.875	$30.85 	$31.01 	Nov	$30.69 	30.185	30.909	30.261	30.273	30.621
2004.958333	$36.26 	$30.92 	Dec	$31.01 	30.685	30.185	30.909	30.261	30.273
2005.041667	$27.01 	$30.75 	Jan	$30.92 	31.012	30.685	30.185	30.909	30.261
2005.125	$28.10 	$30.82 	Feb	$30.75 	30.917	31.012	30.685	30.185	30.909
2005.208333	$35.12 	$31.45 	Mar	$30.82 	30.75	30.917	31.012	30.685	30.185
2005.291667	$27.63 	$30.04 	Apr	$31.45 	30.82	30.75	30.917	31.012	30.685
2005.375	$28.75 	$31.15 	May	$30.04 	31.451	30.82	30.75	30.917	31.012
2005.458333	$35.02 	$31.18 	Jun	$31.15 	30.035	31.451	30.82	30.75	30.917
2005.541667	$26.36 	$29.92 	Jul	$31.18 	31.151	30.035	31.451	30.82	30.75
2005.625	$30.20 	$31.41 	Aug	$29.92 	31.178	31.151	30.035	31.451	30.82
2005.708333	$35.73 	$31.59 	Sep	$31.41 	29.919	31.178	31.151	30.035	31.451
2005.791667	$29.97 	$30.44 	Oct	$31.59 	31.413	29.919	31.178	31.151	30.035
2005.875	$30.74 	$31.33 	Nov	$30.44 	31.586	31.413	29.919	31.178	31.151
2005.958333	$38.26 	$33.03 	Dec	$31.33 	30.435	31.586	31.413	29.919	31.178
2006.041667	$26.88 	$30.90 	Jan	$33.03 	31.331	30.435	31.586	31.413	29.919
2006.125	$30.84 	$34.10 	Feb	$30.90 	33.03	31.331	30.435	31.586	31.413
2006.208333	$37.18 	$33.24 	Mar	$34.10 	30.9	33.03	31.331	30.435	31.586
2006.291667	$28.68 	$31.40 	Apr	$33.24 	34.099	30.9	33.03	31.331	30.435
2006.375	$30.75 	$33.02 	May	$31.40 	33.24	34.099	30.9	33.03	31.331
2006.458333	$37.34 	$33.37 	Jun	$33.02 	31.402	33.24	34.099	30.9	33.03
2006.541667	$28.53 	$31.71 	Jul	$33.37 	33.015	31.402	33.24	34.099	30.9
2006.625	$31.88 	$33.24 	Aug	$31.71 	33.372	33.015	31.402	33.24	34.099
2006.708333	$36.99 	$33.23 	Sep	$33.24 	31.705	33.372	33.015	31.402	33.24
2006.791667	$31.39 	$31.68 	Oct	$33.23 	33.241	31.705	33.372	33.015	31.402
2006.875	$33.02 	$33.10 	Nov	$31.68 	33.23	33.241	31.705	33.372	33.015
2006.958333	$37.35 	$32.59 	Dec	$33.10 	31.684	33.23	33.241	31.705	33.372
2007.041667	$28.88 	$32.18 	Jan	$32.59 	33.104	31.684	33.23	33.241	31.705
2007.125	$30.16 	$33.63 	Feb	$32.18 	32.593	33.104	31.684	33.23	33.241
2007.208333	$36.17 	$32.80 	Mar	$33.63 	32.177	32.593	33.104	31.684	33.23
2007.291667	$31.03 	$32.91 	Apr	$32.80 	33.626	32.177	32.593	33.104	31.684
2007.375	$31.03 	$33.35 	May	$32.91 	32.798	33.626	32.177	32.593	33.104
2007.458333	$36.90 	$33.46 	Jun	$33.35 	32.906	32.798	33.626	32.177	32.593
2007.541667	$28.31 	$31.37 	Jul	$33.46 	33.35	32.906	32.798	33.626	32.177
2007.625	$31.97 	$33.09 	Aug	$31.37 	33.461	33.35	32.906	32.798	33.626
2007.708333	$36.65 	$33.44 	Sep	$33.09 	31.368	33.461	33.35	32.906	32.798
2007.791667	$32.67 	$32.12 	Oct	$33.44 	33.087	31.368	33.461	33.35	32.906
2007.875	$33.26 	$33.36 	Nov	$32.12 	33.44	33.087	31.368	33.461	33.35
2007.958333	$38.70 	$34.40 	Dec	$33.36 	32.121	33.44	33.087	31.368	33.461
2008.041667	$31.51 	$34.38 	Jan	$34.40 	33.358	32.121	33.44	33.087	31.368
2008.125	$30.42 	$32.89 	Feb	$34.38 	34.402	33.358	32.121	33.44	33.087
2008.208333	$35.62 	$33.05 	Mar	$32.89 	34.381	34.402	33.358	32.121	33.44
2008.291667	$31.08 	$32.85 	Apr	$33.05 	32.886	34.381	34.402	33.358	32.121
2008.375	$30.86 	$33.10 	May	$32.85 	33.051	32.886	34.381	34.402	33.358
2008.458333	$34.81 	$31.58 	Jun	$33.10 	32.845	33.051	32.886	34.381	34.402
2008.541667	$30.95 	$32.84 	Jul	$31.58 	33.099	32.845	33.051	32.886	34.381
2008.625	$29.86 	$31.38 	Aug	$32.84 	31.575	33.099	32.845	33.051	32.886
2008.708333	$34.42 	$31.22 	Sep	$31.38 	32.844	31.575	33.099	32.845	33.051
2008.791667	$32.34 	$30.68 	Oct	$31.22 	31.375	32.844	31.575	33.099	32.845
2008.875	$28.18 	$28.69 	Nov	$30.68 	31.22	31.375	32.844	31.575	33.099
2008.958333	$33.87 	$30.56 	Dec	$28.69 	30.675	31.22	31.375	32.844	31.575
2009.041667	$25.37 	$27.36 	Jan	$30.56 	28.693	30.675	31.22	31.375	32.844
2009.125	$23.82 	$26.80 	Feb	$27.36 	30.56	28.693	30.675	31.22	31.375
2009.208333	$28.21 	$26.21 	Mar	$26.80 	27.357	30.56	28.693	30.675	31.22
2009.291667	$26.34 	$26.66 	Apr	$26.21 	26.803	27.357	30.56	28.693	30.675
2009.375	$24.22 	$26.30 	May	$26.66 	26.21	26.803	27.357	30.56	28.693
2009.458333	$27.90 	$25.56 	Jun	$26.30 	26.661	26.21	26.803	27.357	30.56
2009.541667	$27.80 	$28.71 	Jul	$25.56 	26.298	26.661	26.21	26.803	27.357
2009.625	$26.73 	$27.80 	Aug	$28.71 	25.564	26.298	26.661	26.21	26.803
2009.708333	$29.12 	$26.89 	Sep	$27.80 	28.708	25.564	26.298	26.661	26.21
2009.791667	$30.13 	$28.62 	Oct	$26.89 	27.8	28.708	25.564	26.298	26.661
2009.875	$27.81 	$27.98 	Nov	$28.62 	26.886	27.8	28.708	25.564	26.298
2009.958333	$30.52 	$27.83 	Dec	$27.98 	28.616	26.886	27.8	28.708	25.564
2010.041667	$28.23 	$30.22 	Jan	$27.83 	27.979	28.616	26.886	27.8	28.708
2010.125	$25.30 	$28.53 	Feb	$30.22 	27.834	27.979	28.616	26.886	27.8
2010.208333	$29.82 	$27.82 	Mar	$28.53 	30.218	27.834	27.979	28.616	26.886
2010.291667	$30.56 	$30.52 	Apr	$27.82 	28.534	30.218	27.834	27.979	28.616
2010.375	$28.07 	$30.26 	May	$30.52 	27.821	28.534	30.218	27.834	27.979
2010.458333	$30.34 	$28.48 	Jun	$30.26 	30.516	27.821	28.534	30.218	27.834
2010.541667	$31.26 	$31.75 	Jul	$28.48 	30.263	30.516	27.821	28.534	30.218
2010.625	$30.13 	$31.42 	Aug	$31.75 	28.484	30.263	30.516	27.821	28.534
2010.708333	$33.27 	$30.97 	Sep	$31.42 	31.748	28.484	30.263	30.516	27.821
2010.791667	$32.99 	$31.26 	Oct	$30.97 	31.419	31.748	28.484	30.263	30.516
2010.875	$31.06 	$31.30 	Nov	$31.26 	30.969	31.419	31.748	28.484	30.263
2010.958333	$33.18 	$30.43 	Dec	$31.30 	31.264	30.969	31.419	31.748	28.484
2011.041667	$29.50 	$31.01 	Jan	$30.43 	31.302	31.264	30.969	31.419	31.748
2011.125	$26.68 	$30.25 	Feb	$31.01 	30.43	31.302	31.264	30.969	31.419
2011.208333	$31.25 	$29.79 	Mar	$30.25 	31.013	30.43	31.302	31.264	30.969
2011.291667	$30.83 	$31.09 	Apr	$29.79 	30.25	31.013	30.43	31.302	31.264
2011.375	$28.67 	$30.84 	May	$31.09 	29.787	30.25	31.013	30.43	31.302
2011.458333	$32.28 	$30.47 	Jun	$30.84 	31.094	29.787	30.25	31.013	30.43
2011.541667	$30.07 	$30.99 	Jul	$30.47 	30.84	31.094	29.787	30.25	31.013
2011.625	$30.49 	$31.19 	Aug	$30.99 	30.467	30.84	31.094	29.787	30.25
2011.708333	$32.92 	$30.92 	Sep	$31.19 	30.99	30.467	30.84	31.094	29.787
2011.791667	$33.73 	$31.26 	Oct	$30.92 	31.185	30.99	30.467	30.84	31.094
2011.875	$29.70 	$30.32 	Nov	$31.26 	30.921	31.185	30.99	30.467	30.84
2011.958333	$32.57 	$30.05 	Dec	$30.32 	31.264	30.921	31.185	30.99	30.467
2012.041667	$28.08 	$29.92 	Jan	$30.05 	30.317	31.264	30.921	31.185	30.99
2012.125	$27.56 	$30.15 	Feb	$29.92 	30.054	30.317	31.264	30.921	31.185
2012.208333	$30.45 	$29.51 	Mar	$30.15 	29.916	30.054	30.317	31.264	30.921
