Date	Market Pct Change	SP 500 Pct Change
19911129	-3.7275	-4.3928
19911231	10.6778	11.1588
19920131	-0.1182	-1.99
19920228	1.3354	0.9565
19920331	-2.37	-2.1832
19920430	1.3419	2.7893
19920529	0.6439	0.0964
19920630	-1.9287	-1.7359
19920731	3.99	3.9374
19920831	-2.0822	-2.3998
19920930	1.2449	0.9106
19921030	1.0986	0.2106
19921130	4.0193	3.0262
19921231	1.7773	1.0108
19930129	1.2643	0.7046
19930226	0.5402	1.0484
19930331	2.5075	1.8697
19930430	-2.54	-2.5417
19930528	2.9598	2.2717
19930630	0.544	0.0755
19930730	-0.0795	-0.5327
19930831	3.9478	3.4432
19930930	0.0641	-0.9988
19931029	1.8065	1.9393
19931130	-1.7606	-1.2911
19931231	1.9513	1.0091
19940131	3.1467	3.2501
19940228	-2.4218	-3.0045
19940331	-4.5797	-4.5746
19940429	0.9476	1.1531
19940531	0.9359	1.2419
19940630	-2.7909	-2.6812
19940729	3.0632	3.1467
19940831	4.2598	3.7643
19940930	-1.8364	-2.6898
19941031	1.452	2.0834
19941130	-3.7216	-3.9505
19941230	1.2608	1.2299
19950131	2.0397	2.4278
19950228	3.9614	3.6074
19950331	2.7041	2.7329
19950428	2.5048	2.796
19950531	3.4007	3.6312
19950630	3.1168	2.1279
19950731	4.0776	3.1776
19950831	0.9306	-0.032
19950929	3.6358	4.0098
19951031	-1.1318	-0.4979
19951130	4.2705	4.1049
19951229	1.519	1.7444
19960131	2.8146	3.2617
19960229	1.6309	0.6934
19960329	1.0933	0.7917
19960430	2.5509	1.3431
19960531	2.68	2.2853
19960628	-0.8299	0.2257
19960731	-5.3819	-4.5748
19960830	3.2464	1.8814
19960930	5.3014	5.4173
19961031	1.3632	2.6131
19961129	6.5501	7.3376
19961231	-1.1358	-2.1505
19970131	5.3449	6.1317
19970228	-0.1144	0.5928
19970331	-4.4818	-4.2614
19970430	4.2303	5.8406
19970530	7.1624	5.8577
19970630	4.4145	4.3453
19970731	7.6503	7.8123
19970829	-3.6267	-5.7446
19970930	5.8433	5.3154
19971031	-3.4528	-3.4478
19971128	3.0458	4.4587
19971231	1.7771	1.5732
19980130	0.4529	1.015
19980227	7.323	7.0449
19980331	5.1322	4.9946
19980430	1.0862	0.9076
19980529	-2.5755	-1.8826
19980630	3.1954	3.9438
19980731	-2.3264	-1.1615
19980831	-15.7667	-14.5797
19980930	6.3836	6.2396
19981030	7.4357	8.0294
19981130	6.1986	5.9126
19981231	6.3053	5.6375
19990129	3.8346	4.1009
19990226	-3.8105	-3.2283
19990331	3.7862	3.8794
19990430	4.8986	3.7944
19990528	-2.0742	-2.497
19990630	5.0964	5.4438
19990730	-3.0612	-3.2046
19990831	-0.9995	-0.6254
19990930	-2.2839	-2.8552
19991029	6.2027	6.2539
19991130	3.6856	1.9062
19991231	8.3903	5.7844
20000131	-3.976	-5.0904
20000229	3.1745	-2.0108
20000331	5.3534	9.672
20000428	-5.9467	-3.0796
20000531	-3.9047	-2.1915
20000630	5.1649	2.3934
20000731	-1.7105	-1.6341
20000831	7.6372	6.0699
20000929	-5.1139	-5.3483
20001031	-2.4564	-0.4949
20001130	-10.2546	-8.0069
20001229	2.0346	0.4053
20010131	3.9533	3.4637
20010228	-9.9265	-9.2291
20010330	-7.0288	-6.4205
20010430	8.3904	7.6814
20010531	1.0561	0.509
20010629	-1.7481	-2.5004
20010731	-1.8349	-1.0772
20010831	-5.908	-6.4108
20010928	-9.154	-8.1723
20011031	2.7968	1.8099
20011130	7.8734	7.5176
20011231	1.7841	0.7574
20020131	-1.6061	-1.5574
20020228	-2.1706	-2.0766
20020328	4.4693	3.6739
20020430	-4.9649	-6.1418
20020531	-1.0458	-0.9081
20020628	-7.0243	-7.2465
20020731	-8.1137	-7.8995
20020830	0.7984	0.4881
20020930	-9.9975	-11.0013
20021031	7.4958	8.6436
20021129	6.1276	5.707
20021231	-5.3309	-6.0333
20030131	-2.343	-2.7415
20030228	-1.5408	-1.7004
20030331	1.0333	0.8358
20030430	8.2796	8.1044
20030530	6.3507	5.0899
20030630	1.6332	1.1322
20030731	2.3128	1.6224
20030829	2.4908	1.7873
20030930	-0.9102	-1.1944
20031031	6.0331	5.4962
20031128	1.6607	0.7129
20031231	4.5532	5.0765
20040130	2.3065	1.7276
20040227	1.5469	1.2209
20040331	-1.0685	-1.6359
20040430	-2.423	-1.6791
20040528	1.4127	1.2083
20040630	2.1563	1.7989
20040730	-3.7681	-3.4291
20040831	0.2714	0.2287
20040930	2.0555	0.9364
20041029	1.781	1.4014
20041130	4.8243	3.8595
20041231	3.518	3.2458
20050131	-2.6557	-2.529
20050228	2.2695	1.8903
20050331	-1.6938	-1.9118
20050429	-2.5182	-2.0109
20050531	3.7917	2.9952
20050630	1.153	-0.0143
20050729	4.3332	3.5968
20050831	-0.5943	-1.1222
20050930	1.061	0.6949
20051031	-2.0784	-1.7741
20051130	4.0406	3.5186
20051230	0.3476	-0.0952
20060131	4.0112	2.5467
20060228	-0.1644	0.0453
20060331	1.906	1.1065
20060428	1.2968	1.2187
20060531	-3.1042	-3.0917
20060630	-0.0396	0.0087
20060731	-0.1804	0.5086
20060831	2.5085	2.1274
20060929	1.9452	2.4566
20061031	3.7085	3.1508
20061130	2.3716	1.6467
20061229	1.0823	1.2616
20070131	1.9437	1.4059
20070228	-1.3998	-2.1846
20070330	1.2948	0.998
20070430	3.9896	4.3291
20070531	3.8894	3.2549
20070629	-1.4758	-1.7816
20070731	-3.1749	-3.1982
20070831	1.1626	1.2864
20070928	4.0909	3.5794
20071031	2.5852	1.4822
20071130	-4.9292	-4.4043
20071231	-0.4328	-0.8628
