Date	Apple Price	Stock Return	Market Return
19900510	41.375	-0.01194	0.004172
19900511	42.625	0.030211	0.019775
19900514	41.75	-0.020528	0.007841
19900515	41.75	0	-0.000891
19900516	41.5	-0.005988	-0.000747
19900517	41.5	0	0.002435
19900518	39.75	-0.042169	0.001087
19900521	39.5	-0.003522	0.009446
19900522	41.375	0.047468	0.001591
19900523	42	0.015106	0.002005
19900524	42	0	-0.000576
19900525	40	-0.047619	-0.00883
19900529	41	0.025	0.013671
19900530	41.375	0.009146	0.001209
19900531	41.25	-0.003021	0.001151
19900601	40.75	-0.012121	0.005492
19900604	40.75	0	0.010774
19900605	39.5	-0.030675	-0.00153
19900606	39.5	0	-0.003031
19900607	39	-0.012658	-0.004297
19900608	38.25	-0.019231	-0.010236
19900611	39	0.019608	0.006587
19900612	40.5	0.038462	0.010833
19900613	39.75	-0.018519	-0.00208
19900614	39.75	0	-0.004824
19900615	39.5	-0.006289	-0.000685
19900618	39.25	-0.006329	-0.014123
19900619	39.625	0.009554	0.003006
19900620	40	0.009464	0.001105
19900621	41.875	0.046875	0.002671
19900622	41.5	-0.008955	-0.010012
19900625	41.25	-0.006024	-0.007954
19900626	40.625	-0.015152	-0.000954
19900627	41.5	0.021538	0.006607
19900628	43	0.036145	0.006728
19900629	44.75	0.040698	0.002203
19900702	44	-0.01676	0.003126
19900703	44	0	0.001883
19900705	43.5	-0.011364	-0.009792
19900706	44.75	0.028736	0.006186
19900709	46.625	0.041899	0.002204
19900710	47	0.008043	-0.006086
19900711	47	0	0.01054
19900712	47.375	0.007979	0.010527
19900713	46.75	-0.013193	0.0047
19900716	45.625	-0.024064	0.004132
19900717	44.25	-0.030137	-0.004129
19900718	44.625	0.008475	-0.008366
19900719	41.75	-0.064426	0.001463
19900720	41	-0.017964	-0.007857
19900723	41.5	0.012195	-0.018045
19900724	42.125	0.01506	0.000485
19900725	42.25	0.002967	0.003915
19900726	41.375	-0.02071	-0.002186
19900727	41.375	0	-0.006223
19900730	42.375	0.024169	0.002877
19900731	42	-0.00885	0.001626
19900801	42.375	0.008929	-0.001431
19900802	43.5	0.026549	-0.011007
19900803	41.25	-0.051724	-0.017805
19900806	39.5	-0.042424	-0.031545
19900807	39.5	0	0.002032
19900808	40.125	0.015823	0.010735
19900809	39.5	-0.015576	0.005941
19900810	38.75	-0.018987	-0.010887
19900813	39.875	0.029032	0.006975
19900814	39.75	-0.003135	0.002558
19900815	39.25	-0.012579	0.002844
19900816	38.5	-0.019108	-0.020332
19900817	36.5	-0.051948	-0.014446
19900820	36.75	0.009863	-0.00083
19900821	36.25	-0.013605	-0.019041
19900822	35.125	-0.031034	-0.01479
19900823	34.5	-0.017794	-0.031435
19900824	35.5	0.028986	0.013849
19900827	37.75	0.06338	0.03053
19900828	38.125	0.009934	0.000966
19900829	37.25	-0.022951	0.007242
19900830	36.25	-0.026846	-0.013141
19900831	37	0.02069	0.009347
19900904	37	0	0.000922
19900905	36	-0.027027	0.003995
19900906	35.75	-0.006944	-0.009701
19900907	36.375	0.017483	0.007489
19900910	35.75	-0.017182	-0.003173
19900911	34	-0.048951	-0.001575
19900912	34	0	0.003114
19900913	33.75	-0.007353	-0.010233
19900914	34	0.007407	-0.005623
19900917	33.75	-0.007353	0.002191
19900918	33.375	-0.011111	0.001077
19900919	32.5	-0.026217	-0.004999
19900920	31.625	-0.026923	-0.015241
19900921	31.5	-0.003953	-0.001749
19900924	30.25	-0.039683	-0.02055
19900925	30	-0.008264	0.009761
19900926	29.75	-0.008333	-0.010293
19900927	28.25	-0.05042	-0.01432
19900928	29	0.026549	0.014281
19901001	30.5	0.051724	0.026022
19901002	29.625	-0.028689	0.002635
19901003	27	-0.088608	-0.010339
19901004	28	0.037037	0.001654
19901005	28	0	-0.00425
19901008	29.125	0.040179	0.005437
19901009	28	-0.038627	-0.024177
19901010	26.5	-0.053571	-0.015102
19901011	27.75	0.04717	-0.017225
19901012	28.25	0.018018	0.012247
19901015	27.75	-0.017699	0.008452
19901016	25	-0.099099	-0.013141
19901017	26.5	0.06	0.000051
19901018	28.5	0.075472	0.021595
19901019	31.375	0.100877	0.017335
19901022	31.125	-0.007968	0.00785
19901023	31	-0.004016	-0.0044
19901024	30.5	-0.016129	0.000212
19901025	30	-0.016393	-0.005624
19901026	30	0	-0.015956
19901029	29.875	-0.004167	-0.008942
19901030	30.375	0.016736	0.004255
19901031	30.75	0.012346	0.000644
19901101	30.5	-0.00813	0.008038
19901102	31.75	0.040984	0.014964
19901105	33.25	0.047244	0.009564
19901106	33.5	0.007519	-0.006525
19901107	33.25	-0.007463	-0.015161
19901108	34.5	0.037594	0.00405
19901109	35.5	0.028986	0.017564
19901112	36.25	0.021127	0.018471
19901113	36	-0.006897	-0.002921
19901114	37	0.027778	0.007986
19901115	36	-0.027027	-0.008507
19901116	35.125	-0.020972	-0.000187
19901119	36.375	0.035587	0.00566
19901120	35.5	-0.024055	-0.010211
19901121	36.125	0.017606	0.001002
19901123	36.375	0.00692	-0.001949
19901126	36.75	0.010309	0.003073
19901127	37.5	0.020408	0.00674
19901128	36.75	-0.02	0.000746
19901129	36.75	0	-0.003503
19901130	36.75	0	0.015779
19901203	38.125	0.037415	0.006589
19901204	38.5	0.009836	0.007183
19901205	40.125	0.042208	0.011524
19901206	41.25	0.028037	-0.001447
19901207	42.5	0.030303	-0.003235
19901210	41.75	-0.017647	0.002372
19901211	40	-0.041916	-0.005682
19901212	39.625	-0.009375	0.009204
19901213	40.75	0.028391	-0.000649
19901214	39.875	-0.021472	-0.007354
19901217	40.125	0.00627	-0.003769
19901218	42.25	0.05296	0.011516
19901219	41.875	-0.008876	0.001052
19901220	44	0.050746	0.000605
19901221	45	0.022727	0.003009
19901224	44	-0.022222	-0.003688
19901226	43.75	-0.005682	0.002637
19901227	43.5	-0.005714	-0.005724
19901228	43	-0.011494	0.000361
19901231	43	0	0.00498
19910102	43.5	0.011628	-0.008814
19910103	43	-0.011494	-0.01182
19910104	43.25	0.005814	-0.002309
19910107	43.25	0	-0.016347
19910108	43.25	0	-0.002727
19910109	45.25	0.046243	-0.009093
19910110	47.125	0.041436	0.00943
19910111	47	-0.002653	0.000868
19910114	46.25	-0.015957	-0.009509
19910115	46.75	0.010811	0.003182
19910116	49.75	0.064171	0.009465
19910117	51.25	0.030151	0.033071
19910118	50.25	-0.019512	0.009022
19910121	50.75	0.00995	-0.000753
19910122	51.25	0.009852	-0.0059
19910123	51.75	0.009756	0.005906
19910124	52.125	0.007246	0.014341
19910125	53.5	0.026379	0.004249
19910128	54.5	0.018692	0.001523
19910129	53.75	-0.013761	0.001067
19910130	55.5	0.032558	0.014962
19910131	55.5	0	0.009568
19910201	55.75	0.004505	0.000271
19910204	55.25	-0.008969	0.015715
19910205	57.75	0.045249	0.010277
19910206	56.875	-0.015152	0.017859
19910207	57.75	0.015385	-0.003433
19910208	59.875	0.036797	0.006692
19910211	61.375	0.025052	0.023407
19910212	60	-0.022403	-0.005439
19910213	60	0	0.008805
19910214	57.125	-0.047917	-0.011131
19910215	57.625	0.010853	0.011688
19910219	60	0.041215	0.001522
19910220	61	0.016667	-0.010218
19910221	59	-0.032787	-0.000247
19910222	59.75	0.012712	0.002227
19910225	58	-0.029289	0.00439
19910226	58.25	0.00431	-0.01048
19910227	58.25	0	0.011476
19910228	57.25	-0.017167	0.000805
19910301	57.75	0.008734	0.008371
19910304	58.375	0.010823	0.000792
19910305	63.125	0.08137	0.01872
19910306	63	-0.00198	-0.000997
19910307	67.25	0.06746	0.000183
19910308	65	-0.033457	-0.001836
19910311	63.5	-0.023077	-0.005632
19910312	62.875	-0.009843	-0.008147
19910313	66.25	0.053678	0.010826
19910314	65.25	-0.015094	-0.001447
19910315	66.25	0.015326	-0.002086
19910318	67.75	0.022642	-0.002448
19910319	69.5	0.02583	-0.012277
19910320	67.75	-0.02518	0.003677
19910321	64.75	-0.04428	-0.002437
19910322	63.25	-0.023166	0.001576
19910325	64.5	0.019763	0.006501
19910326	70	0.085271	0.016059
19910327	69.25	-0.010714	0.000049
19910328	68	-0.018051	-0.000331
19910401	68.5	0.007353	-0.007888
19910402	72.75	0.062044	0.019316
19910403	70	-0.037801	0.001303
19910404	71.5	0.021429	0.00319
19910405	69.375	-0.02972	-0.008957
19910408	70	0.009009	0.005881
19910409	68.75	-0.017857	-0.010069
19910410	66.875	-0.027273	-0.001836
19910411	71	0.061682	0.011524
19910412	71.75	0.010563	0.006035
19910415	62.25	-0.132404	0.001969
19910416	64.25	0.032129	0.014234
19910417	63.25	-0.015564	0.007752
19910418	61	-0.035573	-0.004857
19910419	59.625	-0.022541	-0.009834
19910422	61.5	0.031447	-0.009337
19910423	61.5	0	0.001777
19910424	60.75	-0.012195	0.002895
19910425	58.5	-0.037037	-0.007304
19910426	58.625	0.002137	-0.001376
19910429	58.25	-0.006397	-0.012575
19910430	55	-0.055794	0.002211
19910501	47.25	-0.140909	0.011984
19910502	49	0.037037	0.001921
19910503	49	0	0.000813
19910506	50.25	0.02551	-0.00158
19910507	50.625	0.007463	-0.005013
19910508	49.75	-0.017284	0.002349
19910509	50.75	0.020101	0.011485
19910510	51.25	0.009852	-0.015676
19910513	52.75	0.029268	0.001863
19910514	53.5	0.014218	-0.01186
19910515	50.5	-0.056075	-0.009835
19910516	49	-0.029703	0.009216
19910517	47	-0.040816	-0.000186
19910520	44.25	-0.055957	-0.00007
19910521	45.25	0.022599	0.007452
19910522	46.25	0.022099	0.002429
19910523	45.125	-0.024324	-0.001321
19910524	45.875	0.01662	0.006378
19910528	46	0.002725	0.010609
19910529	47	0.021739	0.002654
19910530	47.625	0.013298	0.010107
19910531	47	-0.013123	0.007129
19910603	49.25	0.047872	-0.002478
19910604	49.125	-0.002538	-0.000321
19910605	48	-0.022901	-0.005232
19910606	46.625	-0.028646	-0.003389
19910607	46.125	-0.010724	-0.009042
19910610	46	-0.00271	-0.002185
19910611	44.625	-0.029891	0.004423
19910612	42.375	-0.05042	-0.010463
19910613	42.125	-0.0059	0.002135
19910614	41.125	-0.023739	0.010403
19910617	42	0.021277	-0.003776
19910618	42.125	0.002976	-0.003599
19910619	41.75	-0.008902	-0.00926
19910620	42	0.005988	0.000214
19910621	42	0	0.004219
19910624	41.75	-0.005952	-0.01658
19910625	42.375	0.01497	-0.001745
19910626	43	0.014749	0.001374
19910627	42.5	-0.011628	0.006774
19910628	41.5	-0.023529	-0.0061
19910701	42.5	0.024096	0.01577
19910702	42.25	-0.005882	-0.001008
19910703	43.125	0.02071	-0.009233
19910705	45.625	0.057971	0.001917
19910708	46.75	0.024658	0.008085
19910709	46.875	0.002674	-0.000855
19910710	47.25	0.008	0.000403
19910711	46.75	-0.010582	0.00293
19910712	46.75	0	0.007604
19910715	45.5	-0.026738	0.006159
19910716	43.75	-0.038462	-0.001751
19910717	42.5	-0.028571	-0.000132
19910718	44.875	0.055882	0.009039
19910719	46	0.02507	-0.00193
19910722	46	0	-0.003426
19910723	45	-0.021739	-0.008418
19910724	45	0	-0.00271
19910725	45.25	0.005556	0.005391
19910726	44.875	-0.008287	0.000878
19910729	45.5	0.013928	0.004777
19910730	46.5	0.021978	0.008724
19910731	46.25	-0.005376	0.003966
19910801	49.125	0.062162	-0.000973
19910802	50	0.017812	0.00081
19910805	48.5	-0.03	-0.004847
19910806	49.5	0.020619	0.011971
19910807	50.375	0.017677	0.001146
19910808	50.5	0.002481	-0.001488
19910809	50.75	0.00495	-0.003926
19910812	51.75	0.019704	0.001982
19910813	53.5	0.033816	0.004441
19910814	54.875	0.025701	0.002254
19910815	53.25	-0.029613	-0.001344
19910816	53.25	0	-0.007974
19910819	50.5	-0.04939	-0.023035
19910820	51	0.009901	0.007132
19910821	53.75	0.053922	0.027107
19910822	54.25	0.009302	0.002228
19910823	53	-0.023041	0.006185
19910826	53	0	-0.000293
19910827	54	0.018868	-0.000905
19910828	53.25	-0.013889	0.008424
19910829	53	-0.004695	0.000026
19910830	53	0	-0.001436
19910903	52.5	-0.009434	-0.007347
19910904	51.5	-0.019048	-0.005381
19910905	51	-0.009709	-0.002511
19910906	51.5	0.009804	0.000119
19910909	53.25	0.033981	-0.000995
19910910	50.125	-0.058685	-0.010081
19910911	50.5	0.007481	0.001804
19910912	50.625	0.002475	0.006595
19910913	48.625	-0.039506	-0.008551
19910916	47.25	-0.028278	0.004196
19910917	49	0.037037	-0.000363
19910918	50.125	0.022959	0.003528
19910919	49.75	-0.007481	0.003244
19910920	50.625	0.017588	0.002259
19910923	49.5	-0.022222	-0.004284
19910924	50.25	0.015152	0.004593
19910925	50.5	0.004975	-0.001436
19910926	50	-0.009901	-0.000193
19910927	49	-0.02	-0.001545
19910930	49.5	0.010204	0.005513
19911001	50.75	0.025253	0.002719
19911002	49.75	-0.019704	-0.002353
19911003	47.75	-0.040201	-0.008871
19911004	48.25	0.010471	-0.005722
19911007	48.125	-0.002591	-0.005613
19911008	48.25	0.002597	0.002625
19911009	48	-0.005181	-0.008433
19911010	47.75	-0.005208	0.007057
19911011	48.5	0.015707	0.003053
19911014	49.875	0.028351	0.011939
19911015	52.5	0.052632	0.011918
19911016	53.5	0.019048	0.006821
19911017	52.375	-0.021028	-0.002357
19911018	55	0.050119	0.001822
19911021	54.75	-0.004545	-0.005528
19911022	54.5	-0.004566	-0.003841
19911023	53.125	-0.025229	-0.00046
19911024	52.125	-0.018824	-0.007671
19911025	51.25	-0.016787	-0.002846
19911028	51.5	0.004878	0.011442
19911029	51.75	0.004854	0.005904
19911030	49.75	-0.038647	0.005332
19911031	51.5	0.035176	0.001288
19911101	51	-0.009709	-0.002707
19911104	49.75	-0.02451	-0.002985
19911105	48.75	-0.020101	-0.002223
19911106	48	-0.015385	0.002808
19911107	49.75	0.036458	0.009024
19911108	53.25	0.070352	0.000282
19911111	53.75	0.00939	0.001574
19911112	54.5	0.013953	0.008721
19911113	54.125	-0.006881	0.001391
19911114	54.75	0.011547	-0.000989
19911115	50	-0.086758	-0.034075
19911118	52.125	0.0449	0.005155
19911119	51.25	-0.016787	-0.015422
19911120	50.5	-0.014634	-0.00122
19911121	51	0.009901	0.004232
19911122	51.25	0.004902	-0.009168
19911125	51.25	0	-0.003023
19911126	51.5	0.004878	0.004768
19911127	51	-0.009709	-0.001967
19911129	50.75	-0.004902	-0.001411
19911202	51.75	0.019704	0.013481
19911203	50.5	-0.024155	0.000812
19911204	50.5	0	-0.001296
19911205	50	-0.009901	-0.005043
19911206	48.75	-0.025	0.003775
19911209	49.125	0.007692	-0.002039
19911210	49.125	0	-0.001232
19911211	49	-0.002545	-0.002
19911212	49.375	0.007653	0.008725
19911213	50.375	0.020253	0.00707
19911216	50.5	0.002481	0.00153
19911217	50.5	0	-0.004854
19911218	51.75	0.024752	0.001107
19911219	50.75	-0.019324	-0.003844
19911220	50.25	-0.009852	0.009691
19911223	51.5	0.024876	0.022198
19911224	52.25	0.014563	0.00817
19911226	54.875	0.050239	0.013937
19911227	55	0.002278	0.006088
19911230	56.75	0.031818	0.020303
19911231	56.375	-0.006608	0.006061
19920102	59.5	0.055432	-0.000583
19920103	59	-0.008403	0.005578
19920106	58	-0.016949	0.000024
19920107	59.125	0.019397	0.000521
19920108	60.5	0.023256	0.003953
19920109	62.25	0.028926	0.002767
19920110	62.25	0	-0.005943
19920113	62	-0.004016	-0.000875
19920114	64.5	0.040323	0.013022
19920115	63.5	-0.015504	0.002924
19920116	62.75	-0.011811	-0.005343
19920117	64.75	0.031873	0.001251
19920120	64	-0.011583	-0.005995
19920121	61.125	-0.044922	-0.01105
19920122	63.5	0.038855	0.013437
19920123	64.5	0.015748	-0.004013
19920124	64.625	0.001938	0.001265
19920127	64.5	-0.001934	-0.001468
19920128	65.25	0.011628	0.000137
19920129	63.25	-0.030651	-0.009784
19920130	63.75	0.007905	0.004172
19920131	64.75	0.015686	-0.004814
19920203	65.75	0.015444	0.002602
19920204	65.75	0	0.009856
19920205	66.125	0.005703	0.002358
19920206	64.125	-0.030246	0.00053
19920207	64	-0.001949	-0.005354
19920210	63.125	-0.013672	0.004792
19920211	62.875	-0.00396	0.000311
19920212	65.25	0.037773	0.008712
19920213	64.25	-0.015326	-0.008016
19920214	64.125	-0.000078	-0.00206
19920218	62.75	-0.021442	-0.011548
19920219	62	-0.011952	0.000003
19920220	64.625	0.042339	0.012481
19920221	65	0.005803	-0.004985
19920224	66.125	0.017308	-0.000366
19920225	68.5	0.035917	-0.004186
19920226	69.875	0.020073	0.011716
19920227	68.5	-0.019678	-0.000873
19920228	67.5	-0.014599	-0.002337
19920302	67.25	-0.003704	0.000956
19920303	66.375	-0.013011	0.000522
19920304	65	-0.020716	-0.007032
19920305	63.5	-0.023077	-0.008409
19920306	64	0.007874	-0.005366
19920309	63.75	-0.003906	0.001415
19920310	63.75	0	0.0053
19920311	63.25	-0.007843	-0.007139
19920312	62.75	-0.007905	-0.001269
19920313	63.125	0.005976	0.004302
19920316	63.375	0.00396	0.000301
19920317	62.875	-0.00789	0.007309
19920318	63.75	0.013917	0.000023
19920319	63	-0.011765	0.001775
19920320	63.25	0.003968	0.001748
19920323	63	-0.003953	-0.002657
19920324	65	0.031746	-0.002587
19920325	64.5	-0.007692	-0.001182
19920326	64	-0.007752	-0.00097
19920327	61	-0.046875	-0.01042
19920330	58.125	-0.047131	-0.001864
19920331	58.25	0.002151	0.001499
19920401	59	0.012876	0.000199
19920402	58.75	-0.004237	-0.009476
19920403	59	0.004255	0.000389
19920406	60.75	0.029661	0.009009
19920407	57.25	-0.057613	-0.017749
19920408	55.875	-0.024017	-0.010245
19920409	57.25	0.024609	0.015969
19920410	55.5	-0.030568	0.007449
19920413	56.5	0.018018	0.004589
19920414	58.75	0.039823	0.013445
19920415	60.5	0.029787	0.007903
19920416	59	-0.024793	-0.002717
19920420	56.75	-0.038136	-0.014477
19920421	56.25	-0.008811	-0.001109
19920422	57.625	0.024444	-0.000164
19920423	57	-0.010846	0.002189
19920424	56.5	-0.008772	-0.004538
19920427	55.75	-0.013274	-0.002182
19920428	54.25	-0.026906	-0.000771
19920429	57	0.050691	0.00767
19920430	60.125	0.054825	0.008762
19920501	59.25	-0.014553	-0.004028
19920504	60.5	0.021097	0.009857
19920505	60.5	0	0.001794
19920506	61.75	0.020661	0.000613
19920507	60.75	-0.016194	-0.001468
19920508	62	0.020576	-0.000071
19920511	62.25	0.004032	0.005334
19920512	62.25	0	-0.004533
19920513	62.75	0.008032	-0.000286
19920514	61.375	-0.021912	-0.007546
19920515	60.625	-0.01222	-0.00571
19920518	60.375	-0.004124	0.005175
19920519	59.375	-0.016563	0.006919
19920520	60	0.010526	-0.00058
19920521	59.125	-0.014583	-0.005955
19920522	59.5	0.006342	0.002999
19920526	59.25	-0.004202	-0.00632
19920527	60.25	0.016878	0.001803
19920528	59.5	-0.012448	0.008451
19920529	59.75	0.004202	0.000277
19920601	57.5	-0.035649	0.004486
19920602	56.5	-0.017391	-0.005659
19920603	54.125	-0.042035	0.001748
19920604	54.5	0.006928	-0.002898
19920605	54.875	0.006881	-0.000672
19920608	54.25	-0.01139	-0.001225
19920609	54	-0.004608	-0.008088
19920610	53.75	-0.00463	-0.007014
19920611	53.875	0.002326	0.002346
19920612	54.625	0.013921	0.00252
19920615	52.625	-0.036613	-0.000185
19920616	49.25	-0.064133	-0.004517
19920617	47.5	-0.035533	-0.015125
19920618	45.25	-0.047368	-0.004254
19920619	44.75	-0.01105	0.006216
19920622	44.25	-0.011173	-0.002609
19920623	45.25	0.022599	0.00299
19920624	46	0.016575	-0.001138
19920625	45.625	-0.008152	-0.001573
19920626	45.25	-0.008219	0.000723
19920629	46.75	0.033149	0.013171
19920630	48	0.026738	0.001628
19920701	49	0.020833	0.010083
19920702	46.25	-0.056122	-0.002415
19920706	46.25	0	0.004058
19920707	44.25	-0.043243	-0.009925
19920708	45.75	0.033898	0.00154
19920709	45.875	0.002732	0.009399
19920710	46	0.002725	0.002065
19920713	47	0.021739	0.001624
19920714	47.5	0.010638	0.006371
19920715	48	0.010526	-0.000692
19920716	48.75	0.015625	0.000973
19920717	45	-0.076923	-0.004954
19920720	44.75	-0.005556	-0.004797
19920721	45.75	0.022346	0.001227
19920722	44.25	-0.032787	-0.006405
19920723	44.75	0.011299	0.002419
19920724	45.875	0.02514	-0.000369
19920727	45.25	-0.013624	0.000451
19920728	46.5	0.027624	0.012868
19920729	47.25	0.016129	0.010275
19920730	47.25	0	0.003704
19920731	46.75	-0.010582	0.001838
19920803	45.75	-0.02139	0.002292
19920804	45.5	-0.005464	-0.000991
19920805	44.75	-0.016484	-0.004968
19920806	44	-0.01676	-0.003483
19920807	43.375	-0.014205	-0.002139
19920810	44.125	0.017291	0.000168
19920811	43.5	-0.014164	-0.001201
19920812	44.125	0.014368	-0.003158
19920813	44.75	0.014164	0.000401
19920814	44.75	0	0.004855
19920817	44.75	0.002682	0.001962
19920818	44.75	0	0.000833
19920819	44.5	-0.005587	-0.006125
19920820	44.75	0.005618	-0.000383
19920821	44.75	0	-0.007046
19920824	43.25	-0.03352	-0.010949
19920825	44.375	0.026012	0.000547
19920826	44.25	-0.002817	0.00481
19920827	44.5	0.00565	0.0022
19920828	45	0.011236	0.002445
19920831	46	0.022222	-0.001002
19920901	46.5	0.01087	0.004349
19920902	48.5	0.043011	0.005335
19920903	47.75	-0.015464	0.001435
19920904	47.25	-0.010471	-0.001882
19920908	47.75	0.010582	-0.005567
19920909	49	0.026178	0.003932
19920910	49.25	0.005102	0.008028
19920911	47.625	-0.032995	0.000207
19920914	49.5	0.03937	0.01374
19920915	48.25	-0.025253	-0.010771
19920916	47	-0.025907	-0.00083
19920917	46	-0.021277	0.000292
19920918	46.5	0.01087	0.005153
19920921	46.5	0	-0.001364
19920922	45.75	-0.016129	-0.010037
19920923	47.5	0.038251	-0.000419
19920924	46.25	-0.026316	0.003425
19920925	45.5	-0.016216	-0.010143
19920928	44.75	-0.016484	0.002982
19920929	44.875	0.002793	0.000964
19920930	45.125	0.005571	0.003642
19921001	44.25	-0.019391	-0.004249
19921002	43.75	-0.011299	-0.012343
19921005	43.5	-0.005714	-0.007899
19921006	44.75	0.028736	0.001583
19921007	43.75	-0.022346	-0.005364
19921008	43.5	-0.005714	0.007878
19921009	43.375	-0.002874	-0.010087
19921012	44	0.014409	0.009082
19921013	45.375	0.03125	0.004532
19921014	46	0.013774	0.000254
19921015	45.5	-0.01087	0.00091
19921016	49	0.076923	0.004336
19921019	49	0	0.008911
19921020	49.125	0.002551	0.001839
19921021	48.5	-0.012723	0.001421
19921022	48.75	0.005155	-0.001535
19921023	48.75	0	-0.001115
19921026	51.5	0.05641	0.008038
19921027	51.5	0	0.000663
19921028	52.25	0.014563	0.004808
19921029	53.25	0.019139	0.002818
19921030	52.5	-0.014085	-0.003091
19921102	52.25	-0.004762	0.007907
19921103	52	-0.004785	-0.004733
19921104	52.5	0.009615	-0.004691
19921105	55	0.047619	0.004474
19921106	55.75	0.013636	0.000005
19921109	55.25	-0.008969	0.00318
19921110	56.25	0.0181	0.001504
19921111	56.75	0.008889	0.008493
19921112	56.875	0.002203	0.000923
19921113	56.25	-0.010989	-0.000181
19921116	57.375	0.02	-0.003262
19921117	55.25	-0.037037	-0.003996
19921118	57.75	0.045249	0.00796
19921119	58.25	0.008658	0.002509
19921120	57.5	-0.012876	0.006685
19921123	56.75	-0.013043	-0.002784
19921124	57.5	0.013216	0.005774
19921125	56.5	-0.017391	0.003953
19921127	56.5	0	0.002409
19921130	57.5	0.019823	0.003573
19921201	58.25	0.013043	-0.000409
19921202	57.25	-0.017167	-0.00178
19921203	57.5	0.004367	0.000827
19921204	56.875	-0.01087	0.005058
19921207	57.75	0.015385	0.006348
19921208	58.125	0.006494	0.003187
19921209	57.625	-0.008602	-0.002876
19921210	57.25	-0.006508	-0.002949
19921211	57.5	0.004367	-0.001572
19921214	57.25	-0.004348	-0.001607
19921215	56.375	-0.015284	-0.001854
19921216	55	-0.02439	-0.003267
19921217	56.875	0.034091	0.008797
19921218	58.25	0.024176	0.010622
19921221	59.625	0.023605	-0.000681
19921222	60.625	0.016771	-0.000417
19921223	59.75	-0.014433	-0.001198
19921224	59	-0.012552	0.00203
19921228	59.5	0.008475	-0.000752
19921229	59.625	0.002101	-0.000267
19921230	58.75	-0.014675	0.002177
19921231	59.75	0.017021	-0.001403
19930104	58.25	-0.025105	-0.002612
19930105	59.25	0.017167	-0.001476
19930106	61.75	0.042194	0.001458
19930107	61	-0.012146	-0.007365
