R&D Expense	Assets	Net Sales	Log R&D Expense	Log Assets	Log Net Sales	Log 10 R&D Expense	Log 10 Assets	Company	Industry
30.52	872.871	395.539	3.41838221	6.77178778	5.98024939	1.48458453	2.94095006	PHOTRONICS INC	SEMICONDUCTOR,RELATED DEVICE
1.393	1.43	9.002	0.33145969	0.35767444	2.19744677	0.14395112	0.15533604	SPESCOM SOFTWARE INC	CMP INTEGRATED SYS DESIGN
377.371	2989.839	1197.48	5.93322879	8.00297482	7.08797463	2.57676852	3.4756478	CADENCE DESIGN SYSTEMS INC	PREPACKAGED SOFTWARE
3.016	31.335	19.983	1.10393145	3.44473568	2.99488191	0.47943134	1.4960297	EBIX INC	PREPACKAGED SOFTWARE
2.519	28.263	11.985	0.923862	3.34155353	2.48365587	0.40122817	1.45121826	INTL MICROCOMPUTER SOFTWARE	PREPACKAGED SOFTWARE
78.248	493.666	397.558	4.35988327	6.20185918	5.98534084	1.89347325	2.69343322	FILENET CORP	PREPACKAGED SOFTWARE
71.088	1444.779	706.206	4.26391855	7.27571165	6.55990698	1.8517963	3.15980142	FAIR ISAAC CORP	CMP INTEGRATED SYS DESIGN
1.508	23.924	23.634	0.41078427	3.17488214	3.16268635	0.17840134	1.37883379	CAM COMM SOLUTIONS INC	CMP INTEGRATED SYS DESIGN
1.102	0.641	1.087	0.09712671	-0.4447258	0.08342161	0.04218159	-0.193142	SEDONA CORP	PREPACKAGED SOFTWARE
2.109	1.869	0	0.7462139	0.62540353		0.32407658	0.2716093	ANTS SOFTWARE INC	PREPACKAGED SOFTWARE
306.32	2549.462	1439.263	5.72463031	7.84363764	7.27188646	2.48617535	3.40644854	MAXIM INTEGRATED PRODUCTS	SEMICONDUCTOR,RELATED DEVICE
68.093	515.283	309.548	4.22087442	6.24471626	5.73511317	1.83310247	2.71204581	BORLAND SOFTWARE CORP	PREPACKAGED SOFTWARE
180.525	1746.666	1016.364	5.19586927	7.46546411	6.92398683	2.25653735	3.24220987	ALTERA CORP	SEMICONDUCTOR,RELATED DEVICE
105.938	1063.967	825.531	4.66285402	6.96975965	6.71602682	2.02505177	3.02692816	COGNOS INC	PREPACKAGED SOFTWARE
22.326	120.885	86.75	3.10575192	4.79483968	4.46303042	1.34881092	2.08237241	PHOENIX TECHNOLOGIES LTD	PREPACKAGED SOFTWARE
1.364	10.836	4.415	0.31042156	2.38287392	1.48500783	0.13481437	1.034869	LOGIC DEVICES INC	SEMICONDUCTOR,RELATED DEVICE
0.89	4.187	4.837	-0.1165338	1.43198449	1.57629469	-0.05061	0.62190296	TIME AMERICA INC	PREPACKAGED SOFTWARE
337.526	5614.221	2582.849	5.82164254	8.63305812	7.85664833	2.52830723	3.7492895	SYMANTEC CORP	PREPACKAGED SOFTWARE
3.114	16.424	46.045	1.13590807	2.79874368	3.82961918	0.49331861	1.21547894	TELTRONICS INC	CMP INTEGRATED SYS DESIGN
9.331	52.242	14.127	2.23334219	3.95588677	2.64808786	0.96992819	1.71801979	ZIX CORP	PREPACKAGED SOFTWARE
94.375	810.906	225.832	4.54727621	6.69815214	5.41979136	1.97485696	2.90897051	LATTICE SEMICONDUCTOR CORP	SEMICONDUCTOR,RELATED DEVICE
646	4370	3129	6.4707995	8.38251829	8.04846874	2.81023252	3.64048144	ELECTRONIC ARTS INC	PREPACKAGED SOFTWARE
107.992	666.382	660.029	4.68205715	6.50186308	6.49228377	2.03339158	2.82372326	PARAMETRIC TECHNOLOGY CORP	PREPACKAGED SOFTWARE
6.414	53.813	37.582	1.8584831	3.98551507	3.62652521	0.80712896	1.7308872	CEDARA SOFTWARE CORP	PREPACKAGED SOFTWARE
0.293	0.524	0.736	-1.2275827	-0.6462636	-0.3065252	-0.5331324	-0.2806687	PRISM SOFTWARE CORP	PREPACKAGED SOFTWARE
44.467	340.504	370.437	3.79474734	5.83042687	5.91468339	1.64803783	2.53212222	ASPECT COMMUNICATIONS CORP	PREPACKAGED SOFTWARE
1.394	14.19	11.615	0.33217731	2.65253749	2.45229737	0.14426277	1.1519824	NVE CORP	SEMICONDUCTOR,RELATED DEVICE
2.912	111.801	158.947	1.06884013	4.71672051	5.06857081	0.46419137	2.04844569	THREE-FIVE SYSTEMS INC	SEMICONDUCTOR,RELATED DEVICE
6.906	38.788	49.942	1.9323906	3.65811092	3.91086233	0.83922657	1.58869739	MDSI MOBILE DATA SOLUTIONS	PREPACKAGED SOFTWARE
3.691	132.466	90.311	1.30589742	4.88632601	4.50325927	0.56714405	2.12210442	INTEGRAL SYSTEMS INC	CMP INTEGRATED SYS DESIGN
314.646	3039.196	1573.233	5.7514482	8.01934829	7.36088802	2.49782222	3.48275871	XILINX INC	SEMICONDUCTOR,RELATED DEVICE
0.542	0.604	1.606	-0.6124893	-0.5041811	0.47374662	-0.2660007	-0.2189631	TOUCHSTONE SOFTWARE CORP	PREPACKAGED SOFTWARE
0.545	2.552	2.927	-0.6069695	0.93687737	1.07397801	-0.2636035	0.40688067	TMS INC	PREPACKAGED SOFTWARE
20.9	98.1	95.6	3.03974916	4.58598737	4.56017282	1.32014629	1.99166901	ZILOG INC	SEMICONDUCTOR,RELATED DEVICE
5.308	7.976	14.902	1.66921512	2.07643703	2.70149543	0.72493091	0.90178515	SIMTEK CORP	SEMICONDUCTOR,RELATED DEVICE
247.447	2323.523	1649.722	5.51119642	7.75083985	7.40836207	2.39348219	3.36614698	ATMEL CORP	SEMICONDUCTOR,RELATED DEVICE
120.492	507.024	297.383	4.79158336	6.22855834	5.69502087	2.08095821	2.70502852	PMC-SIERRA INC	SEMICONDUCTOR,RELATED DEVICE
40.352	377.596	272.14	3.69764096	5.93382484	5.60631664	1.60586506	2.57702739	INTEGRATED CIRCUIT SYSTEMS	SEMICONDUCTOR,RELATED DEVICE
62.971	446.814	362.662	4.1426743	6.1021424	5.89347127	1.79914059	2.65012677	PROGRESS SOFTWARE CORP	PREPACKAGED SOFTWARE
3.071	46.202	36.654	1.12200324	3.83302309	3.60152256	0.48727982	1.66466078	MEDIWARE INFORMATION SYSTEMS	CMP INTEGRATED SYS DESIGN
119.959	1183.522	788.536	4.78715002	7.07625002	6.67017806	2.07903284	3.07317634	SYBASE INC	PREPACKAGED SOFTWARE
72.959	747.393	756.731	4.28989764	6.61659115	6.62900784	1.86307887	2.87354903	THQ INC	PREPACKAGED SOFTWARE
1.573	8.278	10.4	0.45298462	2.11360139	2.34180581	0.19672872	0.91792542	AMERICAN EDUCATION CORP	PREPACKAGED SOFTWARE
3.204	5.098	8.991	1.16440003	1.62884831	2.19622408	0.50569251	0.70739983	ARTISOFT INC	PREPACKAGED SOFTWARE
112.233	659.018	218.775	4.72057707	6.49075085	5.3880438	2.05012057	2.81889728	VITESSE SEMICONDUCTOR CORP	SEMICONDUCTOR,RELATED DEVICE
1.181	7.156	2.194	0.16636154	1.96795117	0.78572636	0.0722499	0.85467033	SECURED SERVICES INC	CMP INTEGRATED SYS DESIGN
0.933	6.148	10.879	-0.0693501	1.81612683	2.38683433	-0.0301184	0.78873386	INFONOW CORP	PREPACKAGED SOFTWARE
286.919	2092.187	1092.104	5.65919995	7.64596521	6.99586139	2.45775931	3.3206005	SYNOPSYS INC	PREPACKAGED SOFTWARE
17.958	187.652	106.811	2.8880357	5.23458918	4.67106092	1.25425797	2.2733532	STELLENT INC	PREPACKAGED SOFTWARE
11.936	155.832	87.281	2.47955904	5.0487785	4.4691328	1.07685881	2.19265664	KOPIN CORP	SEMICONDUCTOR,RELATED DEVICE
0.712	0.95	0.312	-0.3396774	-0.0512933	-1.1647521	-0.14752	-0.0222764	GAMING & ENTERTNMNT GRP INC	PREPACKAGED SOFTWARE
2.378	94.237	19.242	0.8662598	4.54581289	2.95709539	0.37621185	1.97422145	AUTHENTIDATE HOLDING CORP	CMP INTEGRATED SYS DESIGN
16.651	73.892	7.007	2.81247027	4.30260457	1.94690965	1.22144032	1.86859742	UNIVERSAL DISPLAY CORP	SEMICONDUCTOR,RELATED DEVICE
2.549	5.316	6.019	0.93570113	1.67072114	1.79492113	0.40636984	0.72558497	INTRUSION INC	PREPACKAGED SOFTWARE
1.452	12.629	19.335	0.37294192	2.53599576	2.96191693	0.16196662	1.10136896	DATAWATCH CORP	PREPACKAGED SOFTWARE
44.122	505.83	450.694	3.78695852	6.22620064	6.11078862	1.64465519	2.70400458	KRONOS INC	PREPACKAGED SOFTWARE
3.845	80.285	65.167	1.3467736	4.3855828	4.17695321	0.58489634	1.90463441	MAGIC SOFTWARE ENTERPRISES	PREPACKAGED SOFTWARE
2.763	10.977	17.858	1.01631705	2.39580217	2.88245159	0.44138088	1.04048366	SPECTRUM SIGNAL PROCESSING	SEMICONDUCTOR,RELATED DEVICE
172.717	2237.676	910.542	5.15165442	7.71319311	6.81404003	2.23733509	3.3497972	MCAFEE INC	PREPACKAGED SOFTWARE
24.745	255.749	226.21	3.20862345	5.54419649	5.42146377	1.39348746	2.40781394	EPICOR SOFTWARE CORP	PREPACKAGED SOFTWARE
6.963	33.429	32.263	1.94061042	3.50942379	3.47392106	0.8427964	1.52412339	VERSO TECHNOLOGIES INC	CMP INTEGRATED SYS DESIGN
11.475	96.256	52.551	2.44017076	4.56701131	3.96178413	1.05975269	1.98342781	TRIDENT MICROSYSTEMS INC	SEMICONDUCTOR,RELATED DEVICE
2.35	21.699	13.403	0.85441533	3.07726618	2.59547856	0.37106786	1.33643972	ZI CORP	PREPACKAGED SOFTWARE
2.291	17.813	18.899	0.8289884	2.87992853	2.93910901	0.36002509	1.25073707	INSIGHTFUL CORP	PREPACKAGED SOFTWARE
36.886	628	306.87	3.60783208	6.44254017	5.72642421	1.56686156	2.79795964	CREE INC	SEMICONDUCTOR,RELATED DEVICE
281.129	2696.178	1867.663	5.63881364	7.89959049	7.5324432	2.44890565	3.43074856	INTUIT INC	PREPACKAGED SOFTWARE
93.04	1817.554	846.936	4.53302951	7.50524692	6.74162513	1.9686697	3.25948732	MICROCHIP TECHNOLOGY INC	SEMICONDUCTOR,RELATED DEVICE
1.188	6.273	7.4	0.17227122	1.83625471	2.00148	0.07481644	0.79747529	FIRSTWAVE TECHNOLOGIES INC	PREPACKAGED SOFTWARE
5.69	146.222	6.398	1.73871025	4.98512601	1.85598544	0.75511227	2.16501272	SAFLINK CORP	CMP INTEGRATED SYS DESIGN
5.639	33.653	57.828	1.72970674	3.51610221	4.05747309	0.75120209	1.52702379	RAMTRON INTERNATIONAL CORP	SEMICONDUCTOR,RELATED DEVICE
4.403	16.594	12.488	1.48228613	2.80904118	2.52476818	0.64374869	1.21995109	TARANTELLA INC	PREPACKAGED SOFTWARE
1.475	18.143	17.637	0.38865799	2.89828481	2.86999897	0.16879202	1.2587091	ATTUNITY LTD	PREPACKAGED SOFTWARE
45.36	315.29	165.536	3.81463066	5.75349285	5.10918869	1.65667305	2.4987102	ACTEL CORP	SEMICONDUCTOR,RELATED DEVICE
37.974	351.77	220.224	3.63690172	5.86297755	5.39464521	1.57948635	2.5462588	HUMMINGBIRD LTD	PREPACKAGED SOFTWARE
32.419	440.28	193.106	3.47874467	6.08741089	5.26323926	1.51079961	2.64372896	MANUGISTICS GROUP INC	PREPACKAGED SOFTWARE
47.765	235.325	224.074	3.86629315	5.46096754	5.41197635	1.67910978	2.37166807	SPSS INC	PREPACKAGED SOFTWARE
9.772	60.54	68.012	2.27952115	4.1033043	4.21968416	0.98998346	1.78204242	CAPTIVA SOFTWARE CORP	PREPACKAGED SOFTWARE
6.997	47.834	47.666	1.94548149	3.86773668	3.86421836	0.84491187	1.6797367	NETMANAGE INC	PREPACKAGED SOFTWARE
12.028	70.894	69.121	2.48723727	4.2611858	4.23585859	1.08019342	1.85060948	ALADDIN KNOWLEDGE SYS LTD	CMP INTEGRATED SYS DESIGN
74.624	2019.95	685.547	4.31246217	7.61082804	6.53021706	1.87287852	3.30534062	MERCURY INTERACTIVE CORP	PREPACKAGED SOFTWARE
0.284	1.583	1.254	-1.258781	0.45932178	0.22633844	-0.5466817	0.19948091	CAMINOSOFT CORP	PREPACKAGED SOFTWARE
298.909	1513.486	1996.717	5.70013918	7.32217088	7.59925961	2.47553899	3.17997841	ATI TECHNOLOGIES INC	SEMICONDUCTOR,RELATED DEVICE
19.571	157.157	23.599	2.97404888	5.05724531	3.16120434	1.29161302	2.19633373	ALLIANCE SEMICONDUCTOR CORP	SEMICONDUCTOR,RELATED DEVICE
358.544	5888.559	2041.874	5.88205139	8.68076659	7.62162329	2.55454246	3.77000903	VERITAS SOFTWARE CORP	PREPACKAGED SOFTWARE
98.41	843.881	436.168	4.58914242	6.73801149	6.07802749	1.99303923	2.92628121	MACROMEDIA INC	PREPACKAGED SOFTWARE
60.779	722.4	347.005	4.10724433	6.582579	5.84933919	1.78375355	2.85877774	TRIQUINT SEMICONDUCTOR INC	SEMICONDUCTOR,RELATED DEVICE
0.006	0.679	0.122	-5.1159958	-0.3871342	-2.1037342	-2.2218487	-0.1681302	MAGNITUDE INFORMATION SYS	PREPACKAGED SOFTWARE
21.351	202.845	124.673	3.06109858	5.31244214	4.82569431	1.32941822	2.30716431	MAPINFO CORP	PREPACKAGED SOFTWARE
95.864	1026.34	571.903	4.56293052	6.93375435	6.3489694	1.98165555	3.01129126	QLOGIC CORP	SEMICONDUCTOR,RELATED DEVICE
0.503	0.401	0.75	-0.6871651	-0.9137939	-0.2876821	-0.298432	-0.3968556	BRAINTECH INC	CMP INTEGRATED SYS DESIGN
28.492	222.721	185.689	3.34962335	5.40591987	5.22407323	1.45472294	2.34776117	MRO SOFTWARE INC	PREPACKAGED SOFTWARE
3.697	428.954	425.402	1.30752168	6.06134969	6.0530346	0.56784945	2.63241072	SYPRIS SOLUTIONS INC	SEMICONDUCTOR,RELATED DEVICE
9.294	73.122	64.779	2.22936903	4.29212928	4.17098148	0.96820267	1.86404806	TRIPOS INC	PREPACKAGED SOFTWARE
150.562	1922.928	925.631	5.01437496	7.5616043	6.83047567	2.17771538	3.28396302	BUSINESS OBJECTS SA  -ADR	PREPACKAGED SOFTWARE
7.42	96.727	47.812	2.00417906	4.57189258	3.86727665	0.87040391	1.98554772	CYBERGUARD CORP	PREPACKAGED SOFTWARE
9.469	20.925	20.637	2.24802331	3.04094462	3.02708558	0.97630412	1.32066547	MICRO LINEAR CORP	SEMICONDUCTOR,RELATED DEVICE
58.955	351.734	332.996	4.07677444	5.86287521	5.80813048	1.77052064	2.54621435	ASPEN TECHNOLOGY INC	PREPACKAGED SOFTWARE
0.978	2.358	4.542	-0.0222456	0.8578138	1.51336744	-0.0096611	0.3725438	CIMETRIX INC	PREPACKAGED SOFTWARE
1532	13800	8760	7.33432935	9.53242387	9.07795118	3.18525877	4.13987909	STMICROELECTRONICS NV  -ADR	SEMICONDUCTOR,RELATED DEVICE
10.288	138.346	78.036	2.33097817	4.92975779	4.35717026	1.01233096	2.14096661	CAPTARIS INC	PREPACKAGED SOFTWARE
4.785	27.185	30.915	1.56548602	3.30266535	3.4312415	0.67988194	1.43432934	APPLIX INC	PREPACKAGED SOFTWARE
42.776	334.267	257.551	3.7559772	5.81194007	5.55121776	1.63120017	2.5240935	MICREL INC	SEMICONDUCTOR,RELATED DEVICE
61.887	624.827	307.507	4.12531014	6.43747481	5.72849785	1.79159943	2.79575979	RSA SECURITY INC	PREPACKAGED SOFTWARE
3.795	140.188	111.999	1.33368441	4.94298438	4.71848994	0.57921178	2.14671084	APPLIED DIGITAL SOLUTIONS	CMP INTEGRATED SYS DESIGN
17.053	847.508	126.055	2.83632614	6.74230028	4.83671832	1.23180079	2.92814381	TOWER SEMICONDUCTOR LTD	SEMICONDUCTOR,RELATED DEVICE
1.843	7.519	16.158	0.61139468	2.01743315	2.78241528	0.26552534	0.87616008	CORVU CORP	PREPACKAGED SOFTWARE
0.837	1.249	3.531	-0.1779312	0.22234323	1.26158112	-0.0772745	0.09656244	TIMELINE INC	PREPACKAGED SOFTWARE
20.838	300.864	181.012	3.03677824	5.70665834	5.19856333	1.31885603	2.47837023	INTEGRATED SILICON SOLUTION	SEMICONDUCTOR,RELATED DEVICE
38.007	325.458	292.784	3.63777035	5.78523342	5.67943514	1.57986359	2.51249495	TRNSACTN SYS ARCHTCTS  -CL A	PREPACKAGED SOFTWARE
84.692	582.415	514.088	4.43902115	6.36718325	6.24239446	1.92784239	2.76523255	NATIONAL INSTRUMENTS CORP	PREPACKAGED SOFTWARE
45.841	303.497	212.3	3.82517889	5.71537173	5.35800037	1.66125408	2.4821544	SKILLSOFT PLC -ADR	PREPACKAGED SOFTWARE
33.306	185.895	91.35	3.50573756	5.225182	4.51469828	1.52252248	2.26926771	ANADIGICS INC	SEMICONDUCTOR,RELATED DEVICE
4.937	10.605	13.742	1.59675786	2.36132559	2.62045684	0.69346313	1.02551067	INTELIDATA TECHNOLOGIES CORP	PREPACKAGED SOFTWARE
46.03	154.708	33.687	3.82929336	5.04153947	3.51711201	1.66304097	2.18951277	TRANSWITCH CORP	SEMICONDUCTOR,RELATED DEVICE
1.154	7.308	7.045	0.14323417	1.98896964	1.95231815	0.06220581	0.86379854	DIVERSINET CORP	PREPACKAGED SOFTWARE
2.689	8.653	11.24	0.98916938	2.15790608	2.41947884	0.4295908	0.9371667	MAKEMUSIC INC	PREPACKAGED SOFTWARE
9.316	321.78	399.197	2.23173335	5.77386808	5.98945503	0.96922948	2.50755905	DENDRITE INTERNATIONAL INC	PREPACKAGED SOFTWARE
37.975	1009.942	1027.958	3.63692805	6.91764818	6.93532959	1.57949778	3.00429643	MEMC ELECTRONIC MATRIALS INC	SEMICONDUCTOR,RELATED DEVICE
1.431	13.754	19.317	0.3583735	2.62132969	2.96098554	0.15563963	1.13842902	ASTEA INTERNATIONAL INC	PREPACKAGED SOFTWARE
0.552	14.228	29.514	-0.5942072	2.65521185	3.38486473	-0.2580609	1.15314386	GSE SYSTEMS INC	PREPACKAGED SOFTWARE
0.022	3.574	0.412	-3.8167128	1.27368542	-0.8867319	-1.6575773	0.55315455	DIGITAL DESCRIPTOR SYS INC	CMP INTEGRATED SYS DESIGN
3.917	18.563	36.525	1.36532605	2.92117035	3.59799696	0.59295357	1.26864816	TOUCHTUNES MUSIC CORP	PREPACKAGED SOFTWARE
7.999	14.781	38.436	2.07931653	2.69334257	3.64899452	0.9030357	1.16970382	AXS-ONE INC	PREPACKAGED SOFTWARE
2.556	12.828	13.316	0.93844354	2.55163028	2.58896632	0.40756085	1.10815895	SMITH MICRO SOFTWARE INC	PREPACKAGED SOFTWARE
0.422	0.6	1.421	-0.86275	-0.5108256	0.35136085	-0.3746875	-0.2218487	PAPERCLIP SOFTWARE INC	PREPACKAGED SOFTWARE
37.467	283.744	257.278	3.62346055	5.64807242	5.55015721	1.57364892	2.45292669	ESS TECHNOLOGY INC	SEMICONDUCTOR,RELATED DEVICE
0.51	4.629	8.038	-0.6733446	1.53234086	2.0841803	-0.2924298	0.66548718	EGAMES INC	PREPACKAGED SOFTWARE
