Price	Mileage	Designation	Type	Location	Model Year	Age
$26,995 	40508	328	xi	Philadelphia	2007	4
$36,995 	31202	328	i	Philadelphia	2008	3
$36,995 	14600	328	i	Philadelphia	2009	2
$36,995 	1255	328	i	Philadelphia	2008	3
$28,841 	32523	328	xi	Philadelphia	2008	3
$39,593 	22764	328	i	Philadelphia	2008	3
$21,468 	54388	328	xi	Philadelphia	2007	4
$27,995 	32232	328	i	Philadelphia	2007	4
$39,995 	7177	328	i	Philadelphia	2010	1
$30,995 	21563	328	i	Philadelphia	2008	3
$25,995 	48870	328	i	Philadelphia	2008	3
$26,995 	19809	328	i	Philadelphia	2008	3
$33,871 	10510	328	i	Fort Washington, PA	2009	2
$28,981 	14295	328	i	Fort Washington, PA	2009	2
$33,798 	16348	328	i	Fort Washington, PA	2009	2
$29,777 	9877	328	i	Fort Washington, PA	2009	2
$29,777 	13129	328	i	Fort Washington, PA	2009	2
$29,777 	10672	328	i	Fort Washington, PA	2009	2
$26,584 	32220	328	i	Fort Washington, PA	2008	3
$27,472 	40338	328	xi	Fort Washington, PA	2008	3
$30,464 	27910	328	xi	Fort Washington, PA	2008	3
$28,457 	41503	328	xi	Fort Washington, PA	2008	3
$28,431 	35940	328	xi	Fort Washington, PA	2008	3
$29,453 	32629	328	xi	Fort Washington, PA	2008	3
$28,841 	32523	328	xi	Fort Washington, PA	2008	3
$35,871 	10913	328	xi	Fort Washington, PA	2010	1
$35,871 	10980	328	xi	Fort Washington, PA	2010	1
$35,871 	11609	328	xi	Fort Washington, PA	2010	1
$30,993 	39811	328	xi	Fort Washington, PA	2008	3
$32,993 	35870	328	xi	Fort Washington, PA	2008	3
$29,993 	25587	328	xi	Fort Washington, PA	2008	3
$35,989 	42058	328	i	Philadelphia	2008	3
$24,989 	37889	328	i	Philadelphia	2008	3
$24,989 	38869	328	i	Philadelphia	2008	3
$24,989 	23290	328	i	Philadelphia	2008	3
$28,989 	43113	328	i	Philadelphia	2008	3
$34,989 	14746	328	i	Philadelphia	2010	1
$30,989 	25124	328	xi	Philadelphia	2008	3
$38,900 	17171	328	i	Mt. Laurel NJ	2008	3
$25,900 	40457	328	i	Mt. Laurel NJ	2008	3
$29,900 	16683	328	i	Mt. Laurel NJ	2008	3
$29,900 	16683	328	i	Mt. Laurel NJ	2008	3
$29,900 	27184	328	i	Mt. Laurel NJ	2008	3
$27,900 	43290	328	i	Mt. Laurel NJ	2008	3
$28,995 	8884	328	i	King of Prussia, PA	2009	2
$24,995 	45281	328	i	King of Prussia, PA	2008	3
$24,995 	34946	328	i	King of Prussia, PA	2008	3
$35,995 	22743	328	i	King of Prussia, PA	2008	3
$36,995 	31205	328	i	King of Prussia, PA	2008	3
$24,753 	26995	328	i	King of Prussia, PA	2009	2
$32,771 	17243	328	xi	Springfield, MO	2010	1
$36,611 	14746	328	xi	Springfield, MO	2010	1
$38,998 	17135	328	xi	Springfield, MO	2010	1
$30,974 	12398	328	i	Springfield, MO	2009	2
$25,395 	39502	328	i	Springfield, MO	2008	3
$36,560 	16874	328	xi	Springfield, MO	2009	2
$34,971 	14421	328	xi	Springfield, MO	2010	1
$32,980 	26398	328	ci	Rogersville, AR	2008	3
$26,980 	50153	328	ci	Rogersville, AR	2007	4
$24,620 	36356	328	i	Waynesville, MO	2007	4
$25,962 	38300	328	i	Bentonville, AR	2008	3
$23,980 	45018	328	i	Rogersville, AR	2007	4
