Number Messages	Time (Clock)
24	22/09/2008 11:18 AM
5	22/09/2008 11:19 AM
35	22/09/2008 11:20 AM
14	22/09/2008 11:21 AM
24	22/09/2008 11:22 AM
10	22/09/2008 11:23 AM
15	22/09/2008 11:24 AM
6	22/09/2008 11:25 AM
10	22/09/2008 11:26 AM
21	22/09/2008 11:27 AM
16	22/09/2008 11:28 AM
38	22/09/2008 11:29 AM
17	22/09/2008 11:30 AM
22	22/09/2008 11:31 AM
11	22/09/2008 11:32 AM
8	22/09/2008 11:33 AM
24	22/09/2008 11:34 AM
23	22/09/2008 11:35 AM
12	22/09/2008 11:36 AM
4	22/09/2008 11:37 AM
13	22/09/2008 11:38 AM
5	22/09/2008 11:39 AM
22	22/09/2008 11:40 AM
17	22/09/2008 11:41 AM
8	22/09/2008 11:42 AM
18	22/09/2008 11:43 AM
10	22/09/2008 11:44 AM
29	22/09/2008 11:45 AM
32	22/09/2008 11:46 AM
19	22/09/2008 11:47 AM
23	22/09/2008 11:48 AM
13	22/09/2008 11:49 AM
8	22/09/2008 11:50 AM
18	22/09/2008 11:51 AM
14	22/09/2008 11:52 AM
30	22/09/2008 11:53 AM
4	22/09/2008 11:54 AM
11	22/09/2008 11:55 AM
12	22/09/2008 11:56 AM
22	22/09/2008 11:57 AM
17	22/09/2008 11:58 AM
17	22/09/2008 11:59 AM
24	22/09/2008 12:00 PM
10	22/09/2008 12:01 PM
8	22/09/2008 12:02 PM
14	22/09/2008 12:03 PM
30	22/09/2008 12:04 PM
25	22/09/2008 12:05 PM
10	22/09/2008 12:06 PM
23	22/09/2008 12:07 PM
18	22/09/2008 12:08 PM
20	22/09/2008 12:09 PM
11	22/09/2008 12:10 PM
16	22/09/2008 12:11 PM
28	22/09/2008 12:12 PM
3	22/09/2008 12:13 PM
34	22/09/2008 12:14 PM
23	22/09/2008 12:15 PM
25	22/09/2008 12:16 PM
7	22/09/2008 12:17 PM
28	22/09/2008 12:18 PM
15	22/09/2008 12:19 PM
22	22/09/2008 12:20 PM
24	22/09/2008 12:21 PM
13	22/09/2008 12:22 PM
4	22/09/2008 12:23 PM
11	22/09/2008 12:24 PM
26	22/09/2008 12:25 PM
5	22/09/2008 12:26 PM
26	22/09/2008 12:27 PM
6	22/09/2008 12:28 PM
27	22/09/2008 12:29 PM
22	22/09/2008 12:30 PM
14	22/09/2008 12:31 PM
17	22/09/2008 12:32 PM
8	22/09/2008 12:33 PM
16	22/09/2008 12:34 PM
14	22/09/2008 12:35 PM
32	22/09/2008 12:36 PM
20	22/09/2008 12:37 PM
6	22/09/2008 12:38 PM
18	22/09/2008 12:39 PM
10	22/09/2008 12:40 PM
4	22/09/2008 12:41 PM
9	22/09/2008 12:42 PM
22	22/09/2008 12:43 PM
21	22/09/2008 12:44 PM
22	22/09/2008 12:45 PM
11	22/09/2008 12:46 PM
20	22/09/2008 12:47 PM
20	22/09/2008 12:48 PM
7	22/09/2008 12:49 PM
28	22/09/2008 12:50 PM
11	22/09/2008 12:51 PM
27	22/09/2008 12:52 PM
37	22/09/2008 12:53 PM
13	22/09/2008 12:54 PM
10	22/09/2008 12:55 PM
22	22/09/2008 12:56 PM
15	22/09/2008 12:57 PM
13	22/09/2008 12:58 PM
23	22/09/2008 12:59 PM
19	22/09/2008 1:00 PM
6	22/09/2008 1:01 PM
21	22/09/2008 1:02 PM
7	22/09/2008 1:03 PM
26	22/09/2008 1:04 PM
11	22/09/2008 1:05 PM
9	22/09/2008 1:06 PM
16	22/09/2008 1:07 PM
20	22/09/2008 1:08 PM
21	22/09/2008 1:09 PM
7	22/09/2008 1:10 PM
18	22/09/2008 1:11 PM
3	22/09/2008 1:12 PM
10	22/09/2008 1:13 PM
7	22/09/2008 1:14 PM
23	22/09/2008 1:15 PM
24	22/09/2008 1:16 PM
23	22/09/2008 1:17 PM
32	22/09/2008 1:18 PM
10	22/09/2008 1:19 PM
21	22/09/2008 1:20 PM
14	22/09/2008 1:21 PM
6	22/09/2008 1:22 PM
13	22/09/2008 1:23 PM
6	22/09/2008 1:24 PM
5	22/09/2008 1:25 PM
11	22/09/2008 1:26 PM
23	22/09/2008 1:27 PM
4	22/09/2008 1:28 PM
9	22/09/2008 1:29 PM
3	22/09/2008 1:30 PM
16	22/09/2008 1:31 PM
20	22/09/2008 1:32 PM
5	22/09/2008 1:33 PM
11	22/09/2008 1:34 PM
11	22/09/2008 1:35 PM
9	22/09/2008 1:36 PM
24	22/09/2008 1:37 PM
20	22/09/2008 1:38 PM
11	22/09/2008 1:39 PM
14	22/09/2008 1:40 PM
11	22/09/2008 1:41 PM
10	22/09/2008 1:42 PM
18	22/09/2008 1:43 PM
13	22/09/2008 1:44 PM
35	22/09/2008 1:45 PM
20	22/09/2008 1:46 PM
11	22/09/2008 1:47 PM
22	22/09/2008 1:48 PM
2	22/09/2008 1:49 PM
15	22/09/2008 1:50 PM
11	22/09/2008 1:51 PM
5	22/09/2008 1:52 PM
38	22/09/2008 1:53 PM
25	22/09/2008 1:54 PM
31	22/09/2008 1:55 PM
24	22/09/2008 1:56 PM
20	22/09/2008 1:57 PM
39	22/09/2008 1:58 PM
4	22/09/2008 1:59 PM
25	22/09/2008 2:00 PM
9	22/09/2008 2:01 PM
27	22/09/2008 2:02 PM
9	22/09/2008 2:03 PM
35	22/09/2008 2:04 PM
25	22/09/2008 2:05 PM
6	22/09/2008 2:06 PM
18	22/09/2008 2:07 PM
18	22/09/2008 2:08 PM
15	22/09/2008 2:09 PM
15	22/09/2008 2:10 PM
24	22/09/2008 2:11 PM
14	22/09/2008 2:12 PM
5	22/09/2008 2:13 PM
27	22/09/2008 2:14 PM
7	22/09/2008 2:15 PM
2	22/09/2008 2:16 PM
11	22/09/2008 2:17 PM
4	22/09/2008 2:18 PM
11	22/09/2008 2:19 PM
27	22/09/2008 2:20 PM
3	22/09/2008 2:21 PM
26	22/09/2008 2:22 PM
17	22/09/2008 2:23 PM
23	22/09/2008 2:24 PM
11	22/09/2008 2:25 PM
8	22/09/2008 2:26 PM
11	22/09/2008 2:27 PM
15	22/09/2008 2:28 PM
22	22/09/2008 2:29 PM
22	22/09/2008 2:30 PM
4	22/09/2008 2:31 PM
9	22/09/2008 2:32 PM
12	22/09/2008 2:33 PM
17	22/09/2008 2:34 PM
20	22/09/2008 2:35 PM
32	22/09/2008 2:36 PM
20	22/09/2008 2:37 PM
27	22/09/2008 2:38 PM
13	22/09/2008 2:39 PM
13	22/09/2008 2:40 PM
10	22/09/2008 2:41 PM
5	22/09/2008 2:42 PM
20	22/09/2008 2:43 PM
13	22/09/2008 2:44 PM
10	22/09/2008 2:45 PM
10	22/09/2008 2:46 PM
12	22/09/2008 2:47 PM
20	22/09/2008 2:48 PM
21	22/09/2008 2:49 PM
25	22/09/2008 2:50 PM
8	22/09/2008 2:51 PM
17	22/09/2008 2:52 PM
11	22/09/2008 2:53 PM
14	22/09/2008 2:54 PM
24	22/09/2008 2:55 PM
25	22/09/2008 2:56 PM
11	22/09/2008 2:57 PM
13	22/09/2008 2:58 PM
10	22/09/2008 2:59 PM
9	22/09/2008 3:00 PM
10	22/09/2008 3:01 PM
22	22/09/2008 3:02 PM
27	22/09/2008 3:03 PM
26	22/09/2008 3:04 PM
17	22/09/2008 3:05 PM
23	22/09/2008 3:06 PM
7	22/09/2008 3:07 PM
17	22/09/2008 3:08 PM
22	22/09/2008 3:09 PM
8	22/09/2008 3:10 PM
23	22/09/2008 3:11 PM
11	22/09/2008 3:12 PM
12	22/09/2008 3:13 PM
8	22/09/2008 3:14 PM
23	22/09/2008 3:15 PM
8	22/09/2008 3:16 PM
6	22/09/2008 3:17 PM
12	22/09/2008 3:18 PM
16	22/09/2008 3:19 PM
5	22/09/2008 3:20 PM
15	22/09/2008 3:21 PM
17	22/09/2008 3:22 PM
19	22/09/2008 3:23 PM
13	22/09/2008 3:24 PM
21	22/09/2008 3:25 PM
23	22/09/2008 3:26 PM
11	22/09/2008 3:27 PM
10	22/09/2008 3:28 PM
15	22/09/2008 3:29 PM
9	22/09/2008 3:30 PM
21	22/09/2008 3:31 PM
18	22/09/2008 3:32 PM
21	22/09/2008 3:33 PM
22	22/09/2008 3:34 PM
18	22/09/2008 3:35 PM
32	22/09/2008 3:36 PM
16	22/09/2008 3:37 PM
12	22/09/2008 3:38 PM
22	22/09/2008 3:39 PM
16	22/09/2008 3:40 PM
20	22/09/2008 3:41 PM
17	22/09/2008 3:42 PM
3	22/09/2008 3:43 PM
26	22/09/2008 3:44 PM
8	22/09/2008 3:45 PM
24	22/09/2008 3:46 PM
17	22/09/2008 3:47 PM
18	22/09/2008 3:48 PM
9	22/09/2008 3:49 PM
18	22/09/2008 3:50 PM
14	22/09/2008 3:51 PM
23	22/09/2008 3:52 PM
18	22/09/2008 3:53 PM
1	22/09/2008 3:54 PM
8	22/09/2008 3:55 PM
15	22/09/2008 3:56 PM
11	22/09/2008 3:57 PM
29	22/09/2008 3:58 PM
4	22/09/2008 3:59 PM
25	22/09/2008 4:00 PM
8	22/09/2008 4:01 PM
9	22/09/2008 4:02 PM
18	22/09/2008 4:03 PM
8	22/09/2008 4:04 PM
14	22/09/2008 4:05 PM
16	22/09/2008 4:06 PM
3	22/09/2008 4:07 PM
39	22/09/2008 4:08 PM
16	22/09/2008 4:09 PM
13	22/09/2008 4:10 PM
19	22/09/2008 4:11 PM
10	22/09/2008 4:12 PM
23	22/09/2008 4:13 PM
28	22/09/2008 4:14 PM
18	22/09/2008 4:15 PM
9	22/09/2008 4:16 PM
19	22/09/2008 4:17 PM
12	22/09/2008 4:18 PM
8	22/09/2008 4:19 PM
21	22/09/2008 4:20 PM
11	22/09/2008 4:21 PM
24	22/09/2008 4:22 PM
7	22/09/2008 4:23 PM
11	22/09/2008 4:24 PM
19	22/09/2008 4:25 PM
10	22/09/2008 4:26 PM
21	22/09/2008 4:27 PM
9	22/09/2008 4:28 PM
6	22/09/2008 4:29 PM
13	22/09/2008 4:30 PM
10	22/09/2008 4:31 PM
18	22/09/2008 4:32 PM
18	22/09/2008 4:33 PM
8	22/09/2008 4:34 PM
16	22/09/2008 4:35 PM
25	22/09/2008 4:36 PM
17	22/09/2008 4:37 PM
3	22/09/2008 4:38 PM
38	22/09/2008 4:39 PM
16	22/09/2008 4:40 PM
29	22/09/2008 4:41 PM
19	22/09/2008 4:42 PM
29	22/09/2008 4:43 PM
9	22/09/2008 4:44 PM
6	22/09/2008 4:45 PM
16	22/09/2008 4:46 PM
23	22/09/2008 4:47 PM
20	22/09/2008 4:48 PM
19	22/09/2008 4:49 PM
18	22/09/2008 4:50 PM
16	22/09/2008 4:51 PM
28	22/09/2008 4:52 PM
12	22/09/2008 4:53 PM
10	22/09/2008 4:54 PM
12	22/09/2008 4:55 PM
11	22/09/2008 4:56 PM
11	22/09/2008 4:57 PM
29	22/09/2008 4:58 PM
11	22/09/2008 4:59 PM
10	23/09/2008 9:00 AM
23	23/09/2008 9:01 AM
12	23/09/2008 9:02 AM
13	23/09/2008 9:03 AM
9	23/09/2008 9:04 AM
9	23/09/2008 9:05 AM
24	23/09/2008 9:06 AM
18	23/09/2008 9:07 AM
14	23/09/2008 9:08 AM
3	23/09/2008 9:09 AM
6	23/09/2008 9:10 AM
8	23/09/2008 9:11 AM
31	23/09/2008 9:12 AM
41	23/09/2008 9:13 AM
11	23/09/2008 9:14 AM
19	23/09/2008 9:15 AM
4	23/09/2008 9:16 AM
16	23/09/2008 9:17 AM
16	23/09/2008 9:18 AM
5	23/09/2008 9:19 AM
2	23/09/2008 9:20 AM
10	23/09/2008 9:21 AM
14	23/09/2008 9:22 AM
25	23/09/2008 9:23 AM
10	23/09/2008 9:24 AM
6	23/09/2008 9:25 AM
17	23/09/2008 9:26 AM
10	23/09/2008 9:27 AM
4	23/09/2008 9:28 AM
30	23/09/2008 9:29 AM
15	23/09/2008 9:30 AM
14	23/09/2008 9:31 AM
15	23/09/2008 9:32 AM
13	23/09/2008 9:33 AM
15	23/09/2008 9:34 AM
14	23/09/2008 9:35 AM
12	23/09/2008 9:36 AM
17	23/09/2008 9:37 AM
11	23/09/2008 9:38 AM
7	23/09/2008 9:39 AM
21	23/09/2008 9:40 AM
1	23/09/2008 9:41 AM
8	23/09/2008 9:42 AM
17	23/09/2008 9:43 AM
17	23/09/2008 9:44 AM
9	23/09/2008 9:45 AM
16	23/09/2008 9:46 AM
6	23/09/2008 9:47 AM
12	23/09/2008 9:48 AM
7	23/09/2008 9:49 AM
9	23/09/2008 9:50 AM
15	23/09/2008 9:51 AM
6	23/09/2008 9:52 AM
16	23/09/2008 9:53 AM
15	23/09/2008 9:54 AM
11	23/09/2008 9:55 AM
20	23/09/2008 9:56 AM
11	23/09/2008 9:57 AM
25	23/09/2008 9:58 AM
28	23/09/2008 9:59 AM
15	23/09/2008 10:00 AM
14	23/09/2008 10:01 AM
10	23/09/2008 10:02 AM
32	23/09/2008 10:03 AM
17	23/09/2008 10:04 AM
38	23/09/2008 10:05 AM
8	23/09/2008 10:06 AM
18	23/09/2008 10:07 AM
9	23/09/2008 10:08 AM
13	23/09/2008 10:09 AM
16	23/09/2008 10:10 AM
8	23/09/2008 10:11 AM
22	23/09/2008 10:12 AM
13	23/09/2008 10:13 AM
19	23/09/2008 10:14 AM
11	23/09/2008 10:15 AM
19	23/09/2008 10:16 AM
16	23/09/2008 10:17 AM
14	23/09/2008 10:18 AM
25	23/09/2008 10:19 AM
16	23/09/2008 10:20 AM
16	23/09/2008 10:21 AM
8	23/09/2008 10:22 AM
23	23/09/2008 10:23 AM
13	23/09/2008 10:24 AM
20	23/09/2008 10:25 AM
9	23/09/2008 10:26 AM
23	23/09/2008 10:27 AM
29	23/09/2008 10:28 AM
31	23/09/2008 10:29 AM
7	23/09/2008 10:30 AM
9	23/09/2008 10:31 AM
4	23/09/2008 10:32 AM
21	23/09/2008 10:33 AM
26	23/09/2008 10:34 AM
10	23/09/2008 10:35 AM
6	23/09/2008 10:36 AM
14	23/09/2008 10:37 AM
3	23/09/2008 10:38 AM
15	23/09/2008 10:39 AM
18	23/09/2008 10:40 AM
11	23/09/2008 10:41 AM
7	23/09/2008 10:42 AM
28	23/09/2008 10:43 AM
15	23/09/2008 10:44 AM
4	23/09/2008 10:45 AM
25	23/09/2008 10:46 AM
21	23/09/2008 10:47 AM
19	23/09/2008 10:48 AM
13	23/09/2008 10:49 AM
22	23/09/2008 10:50 AM
24	23/09/2008 10:51 AM
25	23/09/2008 10:52 AM
3	23/09/2008 10:53 AM
11	23/09/2008 10:54 AM
17	23/09/2008 10:55 AM
3	23/09/2008 10:56 AM
13	23/09/2008 10:57 AM
12	23/09/2008 10:58 AM
18	23/09/2008 10:59 AM
28	23/09/2008 11:00 AM
10	23/09/2008 11:01 AM
29	23/09/2008 11:02 AM
10	23/09/2008 11:03 AM
17	23/09/2008 11:04 AM
6	23/09/2008 11:05 AM
17	23/09/2008 11:06 AM
1	23/09/2008 11:07 AM
25	23/09/2008 11:08 AM
21	23/09/2008 11:09 AM
7	23/09/2008 11:10 AM
17	23/09/2008 11:11 AM
19	23/09/2008 11:12 AM
14	23/09/2008 11:13 AM
19	23/09/2008 11:14 AM
28	23/09/2008 11:15 AM
9	23/09/2008 11:16 AM
4	23/09/2008 11:17 AM
16	23/09/2008 11:18 AM
6	23/09/2008 11:19 AM
17	23/09/2008 11:20 AM
3	23/09/2008 11:21 AM
12	23/09/2008 11:22 AM
23	23/09/2008 11:23 AM
8	23/09/2008 11:24 AM
1	23/09/2008 11:25 AM
10	23/09/2008 11:26 AM
36	23/09/2008 11:27 AM
22	23/09/2008 11:28 AM
17	23/09/2008 11:29 AM
13	23/09/2008 11:30 AM
16	23/09/2008 11:31 AM
10	23/09/2008 11:32 AM
17	23/09/2008 11:33 AM
25	23/09/2008 11:34 AM
23	23/09/2008 11:35 AM
10	23/09/2008 11:36 AM
31	23/09/2008 11:37 AM
11	23/09/2008 11:38 AM
29	23/09/2008 11:39 AM
15	23/09/2008 11:40 AM
29	23/09/2008 11:41 AM
32	23/09/2008 11:42 AM
22	23/09/2008 11:43 AM
18	23/09/2008 11:44 AM
2	23/09/2008 11:45 AM
25	23/09/2008 11:46 AM
18	23/09/2008 11:47 AM
15	23/09/2008 11:48 AM
6	23/09/2008 11:49 AM
19	23/09/2008 11:50 AM
22	23/09/2008 11:51 AM
9	23/09/2008 11:52 AM
15	23/09/2008 11:53 AM
1	23/09/2008 11:54 AM
31	23/09/2008 11:55 AM
18	23/09/2008 11:56 AM
6	23/09/2008 11:57 AM
12	23/09/2008 11:58 AM
15	23/09/2008 11:59 AM
17	23/09/2008 12:00 PM
13	23/09/2008 12:01 PM
8	23/09/2008 12:02 PM
18	23/09/2008 12:03 PM
17	23/09/2008 12:04 PM
17	23/09/2008 12:05 PM
9	23/09/2008 12:06 PM
25	23/09/2008 12:07 PM
30	23/09/2008 12:08 PM
25	23/09/2008 12:09 PM
14	23/09/2008 12:10 PM
9	23/09/2008 12:11 PM
9	23/09/2008 12:12 PM
3	23/09/2008 12:13 PM
32	23/09/2008 12:14 PM
8	23/09/2008 12:15 PM
14	23/09/2008 12:16 PM
27	23/09/2008 12:17 PM
15	23/09/2008 12:18 PM
34	23/09/2008 12:19 PM
10	23/09/2008 12:20 PM
8	23/09/2008 12:21 PM
24	23/09/2008 12:22 PM
13	23/09/2008 12:23 PM
4	23/09/2008 12:24 PM
15	23/09/2008 12:25 PM
13	23/09/2008 12:26 PM
22	23/09/2008 12:27 PM
19	23/09/2008 12:28 PM
23	23/09/2008 12:29 PM
20	23/09/2008 12:30 PM
6	23/09/2008 12:31 PM
11	23/09/2008 12:32 PM
10	23/09/2008 12:33 PM
16	23/09/2008 12:34 PM
22	23/09/2008 12:35 PM
10	23/09/2008 12:36 PM
5	23/09/2008 12:37 PM
10	23/09/2008 12:38 PM
13	23/09/2008 12:39 PM
16	23/09/2008 12:40 PM
22	23/09/2008 12:41 PM
13	23/09/2008 12:42 PM
31	23/09/2008 12:43 PM
16	23/09/2008 12:44 PM
11	23/09/2008 12:45 PM
8	23/09/2008 12:46 PM
6	23/09/2008 12:47 PM
21	23/09/2008 12:48 PM
17	23/09/2008 12:49 PM
5	23/09/2008 12:50 PM
26	23/09/2008 12:51 PM
15	23/09/2008 12:52 PM
2	23/09/2008 12:53 PM
16	23/09/2008 12:54 PM
6	23/09/2008 12:55 PM
27	23/09/2008 12:56 PM
13	23/09/2008 12:57 PM
16	23/09/2008 12:58 PM
18	23/09/2008 12:59 PM
29	23/09/2008 1:00 PM
13	23/09/2008 1:01 PM
10	23/09/2008 1:02 PM
5	23/09/2008 1:03 PM
10	23/09/2008 1:04 PM
24	23/09/2008 1:05 PM
35	23/09/2008 1:06 PM
21	23/09/2008 1:07 PM
6	23/09/2008 1:08 PM
17	23/09/2008 1:09 PM
32	23/09/2008 1:10 PM
8	23/09/2008 1:11 PM
15	23/09/2008 1:12 PM
25	23/09/2008 1:13 PM
21	23/09/2008 1:14 PM
17	23/09/2008 1:15 PM
13	23/09/2008 1:16 PM
20	23/09/2008 1:17 PM
13	23/09/2008 1:18 PM
11	23/09/2008 1:19 PM
23	23/09/2008 1:20 PM
30	23/09/2008 1:21 PM
20	23/09/2008 1:22 PM
18	23/09/2008 1:23 PM
10	23/09/2008 1:24 PM
25	23/09/2008 1:25 PM
11	23/09/2008 1:26 PM
13	23/09/2008 1:27 PM
13	23/09/2008 1:28 PM
1	23/09/2008 1:29 PM
23	23/09/2008 1:30 PM
17	23/09/2008 1:31 PM
4	23/09/2008 1:32 PM
7	23/09/2008 1:33 PM
11	23/09/2008 1:34 PM
9	23/09/2008 1:35 PM
35	23/09/2008 1:36 PM
9	23/09/2008 1:37 PM
23	23/09/2008 1:38 PM
21	23/09/2008 1:39 PM
16	23/09/2008 1:40 PM
9	23/09/2008 1:41 PM
10	23/09/2008 1:42 PM
18	23/09/2008 1:43 PM
11	23/09/2008 1:44 PM
34	23/09/2008 1:45 PM
12	23/09/2008 1:46 PM
30	23/09/2008 1:47 PM
15	23/09/2008 1:48 PM
16	23/09/2008 1:49 PM
19	23/09/2008 1:50 PM
30	23/09/2008 1:51 PM
16	23/09/2008 1:52 PM
4	23/09/2008 1:53 PM
20	23/09/2008 1:54 PM
13	23/09/2008 1:55 PM
25	23/09/2008 1:56 PM
7	23/09/2008 1:57 PM
15	23/09/2008 1:58 PM
16	23/09/2008 1:59 PM
21	23/09/2008 2:00 PM
13	23/09/2008 2:01 PM
17	23/09/2008 2:02 PM
2	23/09/2008 2:03 PM
18	23/09/2008 2:04 PM
12	23/09/2008 2:05 PM
2	23/09/2008 2:06 PM
18	23/09/2008 2:07 PM
25	23/09/2008 2:08 PM
17	23/09/2008 2:09 PM
19	23/09/2008 2:10 PM
7	23/09/2008 2:11 PM
7	23/09/2008 2:12 PM
32	23/09/2008 2:13 PM
23	23/09/2008 2:14 PM
10	23/09/2008 2:15 PM
15	23/09/2008 2:16 PM
16	23/09/2008 2:17 PM
21	23/09/2008 2:18 PM
15	23/09/2008 2:19 PM
16	23/09/2008 2:20 PM
23	23/09/2008 2:21 PM
30	23/09/2008 2:22 PM
1	23/09/2008 2:23 PM
25	23/09/2008 2:24 PM
26	23/09/2008 2:25 PM
14	23/09/2008 2:26 PM
10	23/09/2008 2:27 PM
24	23/09/2008 2:28 PM
23	23/09/2008 2:29 PM
16	23/09/2008 2:30 PM
6	23/09/2008 2:31 PM
8	23/09/2008 2:32 PM
8	23/09/2008 2:33 PM
15	23/09/2008 2:34 PM
29	23/09/2008 2:35 PM
23	23/09/2008 2:36 PM
13	23/09/2008 2:37 PM
23	23/09/2008 2:38 PM
27	23/09/2008 2:39 PM
11	23/09/2008 2:40 PM
25	23/09/2008 2:41 PM
9	23/09/2008 2:42 PM
13	23/09/2008 2:43 PM
12	23/09/2008 2:44 PM
18	23/09/2008 2:45 PM
5	23/09/2008 2:46 PM
12	23/09/2008 2:47 PM
16	23/09/2008 2:48 PM
21	23/09/2008 2:49 PM
19	23/09/2008 2:50 PM
8	23/09/2008 2:51 PM
13	23/09/2008 2:52 PM
14	23/09/2008 2:53 PM
4	23/09/2008 2:54 PM
30	23/09/2008 2:55 PM
4	23/09/2008 2:56 PM
10	23/09/2008 2:57 PM
23	23/09/2008 2:58 PM
10	23/09/2008 2:59 PM
9	23/09/2008 3:00 PM
11	23/09/2008 3:01 PM
36	23/09/2008 3:02 PM
9	23/09/2008 3:03 PM
18	23/09/2008 3:04 PM
22	23/09/2008 3:05 PM
16	23/09/2008 3:06 PM
27	23/09/2008 3:07 PM
26	23/09/2008 3:08 PM
4	23/09/2008 3:09 PM
7	23/09/2008 3:10 PM
8	23/09/2008 3:11 PM
19	23/09/2008 3:12 PM
26	23/09/2008 3:13 PM
8	23/09/2008 3:14 PM
20	23/09/2008 3:15 PM
21	23/09/2008 3:16 PM
4	23/09/2008 3:17 PM
28	23/09/2008 3:18 PM
13	23/09/2008 3:19 PM
19	23/09/2008 3:20 PM
8	23/09/2008 3:21 PM
16	23/09/2008 3:22 PM
16	23/09/2008 3:23 PM
16	23/09/2008 3:24 PM
9	23/09/2008 3:25 PM
24	23/09/2008 3:26 PM
21	23/09/2008 3:27 PM
13	23/09/2008 3:28 PM
11	23/09/2008 3:29 PM
12	23/09/2008 3:30 PM
38	23/09/2008 3:31 PM
22	23/09/2008 3:32 PM
