Persons	Household Income	Log10(Income)
1	50000	4.698970004
3	50000	4.698970004
2	50000	4.698970004
1	50000	4.698970004
2	50000	4.698970004
2	50130	4.700097705
5	50380	4.702258163
3	50400	4.702430536
6	50670	4.704750904
1	51000	4.707570176
4	51000	4.707570176
2	51400	4.710963119
1	52000	4.716003344
5	52000	4.716003344
2	52000	4.716003344
2	52300	4.718501689
3	53000	4.72427587
4	53000	4.72427587
2	53000	4.72427587
7	53610	4.729245807
5	55040	4.740678425
1	55050	4.740757323
2	56300	4.750508395
2	57000	4.755874856
9	57500	4.759667845
5	57600	4.760422483
3	58000	4.763427994
3	60000	4.77815125
1	60000	4.77815125
4	60200	4.779596491
2	60204	4.779625347
2	61000	4.785329835
4	61300	4.787460475
2	61500	4.788875116
2	61600	4.789580712
1	62000	4.79239169
5	62000	4.79239169
3	62500	4.795880017
2	63500	4.802773725
3	64000	4.806179974
3	64000	4.806179974
2	65100	4.813580989
4	65400	4.815577748
4	65500	4.8162413
2	65700	4.81756537
1	66030	4.819741297
2	66600	4.823474229
2	67000	4.826074803
5	67000	4.826074803
2	67000	4.826074803
2	67200	4.827369273
2	67500	4.829303773
6	67540	4.829561056
2	67810	4.831293744
5	69000	4.838849091
4	70000	4.84509804
1	70000	4.84509804
2	70300	4.846955325
2	70700	4.849419414
1	70770	4.849849196
5	71200	4.852479994
2	71600	4.854913022
2	72000	4.857332496
4	73000	4.86332286
2	74500	4.872156273
2	75000	4.875061263
3	75500	4.877946952
3	75700	4.87909588
2	76000	4.880813592
4	76000	4.880813592
5	76200	4.881954971
2	77000	4.886490725
3	77000	4.886490725
3	77270	4.888010912
2	77800	4.890979597
4	78500	4.894869657
2	78500	4.894869657
3	78500	4.894869657
2	79000	4.897627091
3	80000	4.903089987
3	80000	4.903089987
3	80000	4.903089987
4	80300	4.904715545
3	80400	4.905256049
2	81000	4.908485019
2	82000	4.913813852
2	82000	4.913813852
2	82800	4.918030337
4	82900	4.918554531
4	83000	4.919078092
3	83004	4.919099022
2	83600	4.922206277
3	84000	4.924279286
3	84000	4.924279286
3	85000	4.929418926
3	85000	4.929418926
2	85800	4.933487288
2	86000	4.934498451
6	87900	4.943988875
3	88000	4.944482672
2	88000	4.944482672
2	89000	4.949390007
2	89000	4.949390007
2	89300	4.950851459
4	90000	4.954242509
2	90000	4.954242509
4	90000	4.954242509
4	90700	4.957607287
5	90900	4.958563883
2	93200	4.969415912
2	93700	4.971739591
2	94700	4.976349979
2	95200	4.978636948
6	96000	4.982271233
2	96000	4.982271233
2	96900	4.986323777
4	97200	4.987666265
2	98000	4.991226076
4	98400	4.992995098
2	98500	4.993436231
6	100120	5.000520841
2	100800	5.003460532
4	100900	5.003891166
2	102600	5.011147361
2	103600	5.015359755
5	105000	5.021189299
5	112800	5.0523091
2	116500	5.066325925
4	117000	5.068185862
3	119000	5.075546961
2	121000	5.08278537
4	123040	5.090046323
3	123700	5.0923697
3	128200	5.107888025
2	129000	5.11058971
4	130300	5.114944416
4	132100	5.120902818
3	132410	5.121920786
3	132820	5.123263476
4	135200	5.130976692
4	135500	5.131939295
2	141000	5.149219113
2	143200	5.155943018
2	144200	5.15896526
1	148400	5.171433901
3	150000	5.176091259
3	150000	5.176091259
3	152000	5.181843588
3	155300	5.191171456
4	155800	5.192567453
2	163000	5.212187604
2	196600	5.293583514
2	198900	5.298634783
2	248000	5.394451681
5	310130	5.491543779
2	311000	5.492760389
2	316000	5.499687083
3	337000	5.527629901
4	426000	5.629409599
