Date	Month	Exxon-Mobil Price	Lag 1 Price	Lag 2 Price	Exxon-Mobil  Return	Lag 1 Return	Lag 2 Return
20060929	81	156.400433	157.728985	157.148948	-0.008423	0.003691	0.104156
20061031	82	166.469806	156.400433	157.728985	0.064382	-0.008423	0.003691
20061130	83	179.779067	166.469806	156.400433	0.07995	0.064382	-0.008423
20061229	84	179.357845	179.779067	166.469806	-0.002343	0.07995	0.064382
20070131	85	173.436166	179.357845	179.779067	-0.033016	-0.002343	0.07995
20070228	86	168.520985	173.436166	179.357845	-0.02834	-0.033016	-0.002343
20070330	87	177.384346	168.520985	173.436166	0.052595	-0.02834	-0.033016
20070430	88	186.623765	177.384346	168.520985	0.052087	0.052595	-0.02834
20070531	89	196.356941	186.623765	177.384346	0.052154	0.052087	0.052595
20070629	90	198.03324	196.356941	186.623765	0.008537	0.052154	0.052087
20070731	91	200.984331	198.03324	196.356941	0.014902	0.008537	0.052154
20070831	92	203.227115	200.984331	198.03324	0.011159	0.014902	0.008537
20070928	93	219.418017	203.227115	200.984331	0.079669	0.011159	0.014902
20071031	94	218.06684	219.418017	203.227115	-0.006158	0.079669	0.011159
20071130	95	212.187976	218.06684	219.418017	-0.026959	-0.006158	0.079669
20071231	96	222.968823	212.187976	218.06684	0.050808	-0.026959	-0.006158
20080131	97	205.619619	222.968823	212.187976	-0.07781	0.050808	-0.026959
20080229	98	207.904259	205.619619	222.968823	0.011111	-0.07781	0.050808
20080331	99	202.097908	207.904259	205.619619	-0.027928	0.011111	-0.07781
20080430	100	222.384092	202.097908	207.904259	0.100378	-0.027928	0.011111
20080530	101	213.041514	222.384092	202.097908	-0.042011	0.100378	-0.027928
20080630	102	211.529346	213.041514	222.384092	-0.007098	-0.042011	0.100378
20080731	103	193.047815	211.529346	213.041514	-0.087371	-0.007098	-0.042011
20080829	104	192.999746	193.047815	211.529346	-0.000249	-0.087371	-0.007098
20080930	105	187.331151	192.999746	193.047815	-0.029371	-0.000249	-0.087371
20081031	106	178.792035	187.331151	192.999746	-0.045583	-0.029371	-0.000249
20081128	107	194.302423	178.792035	187.331151	0.086751	-0.045583	-0.029371
20081231	108	193.526573	194.302423	178.792035	-0.003993	0.086751	-0.045583
20090130	109	185.405424	193.526573	194.302423	-0.041964	-0.003993	0.086751
20090227	110	165.575201	185.405424	193.526573	-0.106956	-0.041964	-0.003993
20090331	111	166.06282	165.575201	185.405424	0.002945	-0.106956	-0.041964
20090430	112	162.575667	166.06282	165.575201	-0.020999	0.002945	-0.106956
20090529	113	170.135111	162.575667	166.06282	0.046498	-0.020999	0.002945
20090630	114	171.508952	170.135111	162.575667	0.008075	0.046498	-0.020999
20090731	115	172.686532	171.508952	170.135111	0.006866	0.008075	0.046498
20090831	116	170.674907	172.686532	171.508952	-0.011649	0.006866	0.008075
20090930	117	169.342106	170.674907	172.686532	-0.007809	-0.011649	0.006866
20091030	118	176.894764	169.342106	170.674907	0.0446	-0.007809	-0.011649
20091130	119	186.323255	176.894764	169.342106	0.0533	0.0446	-0.007809
20091231	120	169.247101	186.323255	176.894764	-0.091648	0.0533	0.0446
20100129	121	159.914816	169.247101	186.323255	-0.05514	-0.091648	0.0533
20100226	122	162.372067	159.914816	169.247101	0.015366	-0.05514	-0.091648
20100331	123	167.318245	162.372067	159.914816	0.030462	0.015366	-0.05514
20100430	124	169.291597	167.318245	162.372067	0.011794	0.030462	0.015366
20100528	125	152.130169	169.291597	167.318245	-0.101372	0.011794	0.030462
20100630	126	143.60023	152.130169	169.291597	-0.05607	-0.101372	0.011794
20100730	127	150.1675	143.60023	152.130169	0.045733	-0.05607	-0.101372
20100831	128	149.840435	150.1675	143.60023	-0.002178	0.045733	-0.05607
20100930	129	156.63405	149.840435	150.1675	0.045339	-0.002178	0.045733
20101029	130	168.548263	156.63405	149.840435	0.076064	0.045339	-0.002178
20101130	131	177.445926	168.548263	156.63405	0.05279	0.076064	0.045339
20101231	132	186.527431	177.445926	168.548263	0.051179	0.05279	0.076064
20110131	133	205.812875	186.527431	177.445926	0.103392	0.051179	0.05279
20110228	134	219.307613	205.812875	186.527431	0.065568	0.103392	0.051179
20110331	135	215.717767	219.307613	205.812875	-0.016369	0.065568	0.103392
20110429	136	225.589659	215.717767	219.307613	0.045763	-0.016369	0.065568
20110531	137	215.230582	225.589659	215.717767	-0.04592	0.045763	-0.016369
20110630	138	209.841423	215.230582	225.589659	-0.025039	-0.04592	0.045763
20110729	139	205.741542	209.841423	215.230582	-0.019538	-0.025039	-0.04592
20110831	140	192.075366	205.741542	209.841423	-0.066424	-0.019538	-0.025039
20110930	141	188.468382	192.075366	205.741542	-0.018779	-0.066424	-0.019538
20111031	142	202.636681	188.468382	192.075366	0.075176	-0.018779	-0.066424
20111130	143	209.954297	202.636681	188.468382	0.036112	0.075176	-0.018779
20111230	144	221.229893	209.954297	202.636681	0.053705	0.036112	0.075176
