Change in Daily Sales	Region	Price Partition	Combined Factors	D(West)	D(Midwest)	D(South)	D(Northeast)	D(Sm Parts)	D(Sm Labor)	D(Total)
$173 	Northeast	Total	Northeast-Total	0	0	0	1	0	0	1
$390 	Northeast	Total	Northeast-Total	0	0	0	1	0	0	1
$161 	Northeast	Total	Northeast-Total	0	0	0	1	0	0	1
$532 	Northeast	Total	Northeast-Total	0	0	0	1	0	0	1
$717 	South	Small Labor	South-Small labor	0	0	1	0	0	1	0
$568 	South	Small Labor	South-Small labor	0	0	1	0	0	1	0
$487 	South	Small Labor	South-Small labor	0	0	1	0	0	1	0
$874 	South	Small Labor	South-Small labor	0	0	1	0	0	1	0
$609 	South	Small Labor	South-Small labor	0	0	1	0	0	1	0
$948 	South	Small Labor	South-Small labor	0	0	1	0	0	1	0
$491 	South	Small Labor	South-Small labor	0	0	1	0	0	1	0
$898 	South	Small Labor	South-Small labor	0	0	1	0	0	1	0
$743 	South	Small Labor	South-Small labor	0	0	1	0	0	1	0
$321 	South	Small Labor	South-Small labor	0	0	1	0	0	1	0
$450 	South	Small Parts	South-Small Parts	0	0	1	0	1	0	0
$107 	South	Small Parts	South-Small Parts	0	0	1	0	1	0	0
($184)	South	Small Parts	South-Small Parts	0	0	1	0	1	0	0
$46 	South	Small Parts	South-Small Parts	0	0	1	0	1	0	0
$24 	South	Small Parts	South-Small Parts	0	0	1	0	1	0	0
($80)	South	Small Parts	South-Small Parts	0	0	1	0	1	0	0
$287 	South	Small Parts	South-Small Parts	0	0	1	0	1	0	0
($1)	South	Small Parts	South-Small Parts	0	0	1	0	1	0	0
$226 	South	Small Parts	South-Small Parts	0	0	1	0	1	0	0
$248 	South	Small Parts	South-Small Parts	0	0	1	0	1	0	0
$392 	South	Total	South-Total	0	0	1	0	0	0	1
($53)	South	Total	South-Total	0	0	1	0	0	0	1
$432 	South	Total	South-Total	0	0	1	0	0	0	1
($10)	South	Total	South-Total	0	0	1	0	0	0	1
$557 	South	Total	South-Total	0	0	1	0	0	0	1
$124 	South	Total	South-Total	0	0	1	0	0	0	1
$110 	South	Total	South-Total	0	0	1	0	0	0	1
$287 	South	Total	South-Total	0	0	1	0	0	0	1
$688 	South	Total	South-Total	0	0	1	0	0	0	1
$439 	South	Total	South-Total	0	0	1	0	0	0	1
$248 	West	Small Labor	West-Small labor	1	0	0	0	0	1	0
$103 	West	Small Labor	West-Small labor	1	0	0	0	0	1	0
$86 	West	Small Labor	West-Small labor	1	0	0	0	0	1	0
$310 	West	Small Labor	West-Small labor	1	0	0	0	0	1	0
$79 	West	Small Labor	West-Small labor	1	0	0	0	0	1	0
$110 	West	Small Labor	West-Small labor	1	0	0	0	0	1	0
$496 	West	Small Labor	West-Small labor	1	0	0	0	0	1	0
$83 	West	Small Labor	West-Small labor	1	0	0	0	0	1	0
$271 	West	Small Labor	West-Small labor	1	0	0	0	0	1	0
$233 	West	Small Labor	West-Small labor	1	0	0	0	0	1	0
$61 	West	Small Parts	West-Small Parts	1	0	0	0	1	0	0
$467 	West	Small Parts	West-Small Parts	1	0	0	0	1	0	0
$378 	West	Small Parts	West-Small Parts	1	0	0	0	1	0	0
$258 	West	Small Parts	West-Small Parts	1	0	0	0	1	0	0
$248 	West	Small Parts	West-Small Parts	1	0	0	0	1	0	0
$375 	West	Small Parts	West-Small Parts	1	0	0	0	1	0	0
$519 	West	Small Parts	West-Small Parts	1	0	0	0	1	0	0
$594 	West	Small Parts	West-Small Parts	1	0	0	0	1	0	0
$361 	West	Small Parts	West-Small Parts	1	0	0	0	1	0	0
$101 	West	Small Parts	West-Small Parts	1	0	0	0	1	0	0
$634 	West	Total	West-Total	1	0	0	0	0	0	1
$83 	West	Total	West-Total	1	0	0	0	0	0	1
$637 	West	Total	West-Total	1	0	0	0	0	0	1
$247 	West	Total	West-Total	1	0	0	0	0	0	1
$272 	West	Total	West-Total	1	0	0	0	0	0	1
$124 	West	Total	West-Total	1	0	0	0	0	0	1
$557 	West	Total	West-Total	1	0	0	0	0	0	1
$54 	West	Total	West-Total	1	0	0	0	0	0	1
$138 	West	Total	West-Total	1	0	0	0	0	0	1
$342 	West	Total	West-Total	1	0	0	0	0	0	1
