CompanyName	TotalAssets	NetIncome	ReturnonAssets	CostofGoodsSold	TotalRevenue	Expense
PACIFIC SUNWEAR CALIF INC	401.28 	-96.65	-0.240851683	668.47 	929.51 	300.53 	11500
SHOE CARNIVAL INC	345.15 	26.82 	0.077709369	503.92 	739.19 	179.15 	4300
CHICOS FAS INC	1416.02 	115.39 	0.081491729	742.27 	1904.95 	889.63 	18900
OREILLY AUTOMOTIVE INC	5047.83 	419.37 	0.083079908	2608.30 	5397.53 	1887.32 	46858
PETSMART INC	2470.22 	239.87 	0.097103497	3803.34 	5693.80 	1225.80 	47000
SPARTAN STORES INC	751.40 	32.31 	0.04299597	1976.55 	2533.06 	452.86 	8600
BARNES and NOBLE INC	3596.47 	-73.92	-0.02055351	5205.71 	6998.57 	1619.72 	35000
COSTCO WHOLESALE CORP	23815.00 	1303.00 	0.054713416	67200.00 	77946.00 	7876.00 	147000
URBAN OUTFITTERS INC	1794.32 	272.96 	0.152123282	1245.08 	2274.10 	522.42 	16000
TALBOTS INC	668.52 	10.82 	0.016177623	693.73 	1252.36 	440.48 	9096
WEST MARINE INC	308.89 	13.23 	0.042821624	432.46 	622.80 	160.76 	3927
TRACTOR SUPPLY CO	1463.47 	167.97 	0.114776211	2434.67 	3638.34 	867.64 	14700
AMERN EAGLE OUTFITTERS INC	1880.00 	140.65 	0.074812314	1797.93 	2967.56 	713.20 	39900
NUTRISYSTEM INC	149.95 	33.64 	0.224316953	224.81 	509.52 	219.72 	647
PANTRY INC	1896.45 	-165.62	-0.087328957	5495.61 	6367.76 	639.87 	14419
DOLLAR TREE INC	2380.50 	397.30 	0.166897711	3608.80 	5882.40 	1457.60 	63860
PC MALL INC	334.09 	7.57 	0.022667477	1188.86 	1368.31 	156.83 	2657
BORDERS GROUP INC	964.70 	-299.00	-0.309940914	1823.10 	2274.90 	660.20 	16400
SYSTEMAX INC	894.10 	42.55 	0.047590874	3079.56 	3589.99 	422.91 	5600
STAR GAS PARTNERS  	582.51 	28.32 	0.048617358	904.05 	1212.78 	240.02 	2729
AMERIGAS PARTNERS  	1696.22 	165.21 	0.097400748	1396.78 	2320.34 	609.71 	5800
SUBURBAN PROPANE PRTNRS  	970.26 	115.32 	0.118850617	888.02 	1136.69 	61.66 	2598
COST PLUS INC	348.65 	2.86 	0.008197356	602.79 	916.56 	274.28 	5922
COLLECTIVE BRANDS INC	2268.50 	112.80 	0.049724488	2038.80 	3375.70 	1011.50 	29000
99 CENTS ONLY STORES	824.22 	74.31 	0.090156088	842.76 	1423.88 	433.83 	12000
RUSH ENTERPRISES INC	1167.93 	31.28 	0.026784071	1213.04 	1497.93 	227.47 	3010
STATER BROS HOLDINGS INC	1322.79 	24.58 	0.018585003	2625.59 	3606.84 	819.70 	16300
BIOSCRIP INC	663.99 	-69.14	-0.104131714	1369.65 	1638.62 	223.60 	2589
HOT TOPIC INC	310.61 	-8.24	-0.026512603	433.99 	708.24 	247.09 	8900
ABERCROMBIE and FITCH  	2947.90 	150.28 	0.050979646	1027.44 	3468.78 	1990.31 	85000
HIBBETT SPORTS INC	314.27 	46.40 	0.147646095	434.55 	664.95 	143.23 	6050
PENSKE AUTOMOTIVE GROUP INC	4069.83 	108.28 	0.026605767	9012.04 	10713.59 	1412.97 	14800
STAGE STORES INC	796.08 	37.64 	0.047281443	1004.27 	1470.59 	345.26 	13500
LITHIA MOTORS INC  	971.68 	13.72 	0.014118904	1750.17 	2131.60 	299.37 	4039
COLDWATER CREEK INC	506.72 	-44.11	-0.087051505	610.49 	981.10 	350.66 	9198
CARMAX INC	6839.91 	380.88 	0.055684659	7821.51 	9402.14 	905.09 	15565
AMAZON.COM INC	18797.00 	1152.00 	0.061286376	26009.00 	34204.00 	6131.00 	33700
BJS WHOLESALE CLUB INC	2321.68 	95.01 	0.040923471	9570.29 	10877.24 	946.41 	24800
PRICESMART INC	572.57 	49.32 	0.086129959	1145.00 	1395.89 	160.73 	4728
PETMED EXPRESS INC	106.29 	20.87 	0.19636456	147.69 	231.64 	49.56 	204
CHILDRENS PLACE RETAIL STRS	854.33 	83.12 	0.097297183	1010.85 	1674.00 	455.86 	20800
A.C. MOORE ARTS and CRAFTS INC	237.46 	-30.18	-0.127097231	246.15 	448.06 	214.00 	4710
GROUP 1 AUTOMOTIVE INC	2201.96 	50.30 	0.02284506	4632.14 	5509.17 	694.94 	7454
SONIC AUTOMOTIVE INC  	2250.76 	89.93 	0.039954878	5766.17 	6880.84 	896.30 	9200
PC CONNECTION INC	420.94 	22.96 	0.054546837	1738.87 	1974.20 	191.23 	1556
MARINEMAX INC	336.76 	2.50 	0.007414776	332.93 	450.34 	122.95 	1158
SCHOOL SPECIALTY INC	637.54 	-356.27	-0.558821038	437.54 	762.08 	274.76 	1919
HASTINGS ENTERTAINMENT INC	229.68 	1.71 	0.007423275	304.50 	521.06 	184.14 	5848
BELK INC	2389.63 	127.63 	0.053409083	2213.30 	3513.28 	920.17 	24000
DELIAS INC	139.70 	-21.64	-0.154921512	136.57 	220.70 	95.75 	2605
1-800-FLOWERS.COM	256.09 	-4.22	-0.016482744	398.94 	667.71 	240.14 	2200
GAIAM INC	207.80 	4.28 	0.020572963	133.75 	274.27 	129.69 	574
ASBURY AUTOMOTIVE GROUP INC	1486.30 	38.10 	0.025634125	3287.30 	3936.00 	498.60 	7100
BIG 5 SPORTING GOODS CORP	392.36 	20.56 	0.052406488	580.47 	897.61 	261.99 	8900
GAMESTOP CORP	5063.80 	408.00 	0.080571903	6936.10 	9473.70 	1700.30 	68000
ADVANCE AUTO PARTS INC	3354.22 	346.05 	0.103169533	2799.45 	5925.20 	2376.38 	51017
AEROPOSTALE INC	773.20 	231.34 	0.299198005	1455.55 	2400.43 	499.37 	17828
OVERSTOCK.COM INC	217.96 	13.89 	0.063722994	899.05 	1089.87 	166.34 	1500
TRAVELCENTERS OF AMERICA LLC	894.09 	-65.57	-0.073338337	5880.96 	5962.48 	80.56 	15170
KIRKLANDS INC	195.08 	26.43 	0.135490089	244.76 	415.30 	115.75 	3948
DICKS SPORTING GOODS INC	2597.54 	182.08 	0.070096045	3316.36 	4871.49 	1127.96 	26700
CONNS INC	849.03 	-1.01	-0.001188416	472.76 	789.67 	268.15 	27000
GOLFSMITH INTL HOLDINGS INC	175.03 	-5.49	-0.031383012	222.34 	351.85 	123.40 	1621
NEW YORK and CO INC	355.21 	-76.46	-0.215255764	746.44 	1021.70 	281.74 	7949
GENERAL NUTRITION CNTRS INC	2382.48 	98.17 	0.041206309	1133.04 	1822.40 	424.59 	13086
BUILD-A-BEAR WORKSHOP INC	275.79 	0.10 	0.000377093	213.26 	401.45 	164.32 	5500
INERGY LP	3097.10 	-23.80	-0.007684608	1165.90 	1786.00 	309.00 	3082
ZUMIEZ INC	301.63 	24.20 	0.080240426	289.65 	478.85 	130.93 	4840
CITI TRENDS INC	306.40 	20.85 	0.068054386	383.32 	622.53 	187.23 	5000
HARRY and DAVID HOLDINGS INC	243.21 	-39.23	-0.161290057	252.85 	426.77 	179.06 	1026
SUSSER HOLDINGS CORP	914.34 	0.79 	0.000859637	3626.85 	3930.63 	186.59 	7165
LIQUIDITY SERVICES INC	164.90 	12.01 	0.072848445	211.06 	286.79 	46.13 	704
DELEK US HOLDINGS INC	1144.60 	-79.90	-0.069806046	3641.90 	3755.60 	59.00 	3395
GENERAL FINANCE CORPDE	346.88 	-11.25	-0.032434848	87.81 	156.31 	37.67 	407
LIBERTY MEDIA INTERACTIVE	16294.00 	871.00 	0.05345526	6504.00 	8932.00 	749.00 	
LIBERTY MEDIA CORP -CONSOL	26600.00 	1892.00 	0.07112782	7788.00 	10982.00 	1274.00 	24073
SALLY BEAUTY HOLDINGS INC	1589.41 	143.83 	0.090491326	1511.72 	2916.09 	1012.32 	22900
CLEAN ENERGY FUELS CORP	583.50 	-2.52	-0.004311918	141.89 	211.83 	62.21 	710
US AUTO PARTS NETWORK INC	153.54 	-13.93	-0.090701264	163.20 	262.28 	82.83 	1621
HHGREGG INC	549.65 	48.21 	0.08770752	1447.89 	2077.65 	517.16 	5600
VITAMIN SHOPPE INC	485.72 	29.25 	0.060212017	501.95 	751.48 	169.37 	3581
ULTA SALON COSMETCS and FRAG	730.49 	71.03 	0.097236368	905.82 	1454.84 	365.20 	11700
LUMBER LIQUIDATORS HLDGS INC	242.29 	26.27 	0.108407281	398.68 	620.28 	173.17 	1191
TITAN MACHINERY INC	648.85 	22.34 	0.03443344	910.95 	1094.49 	130.54 	1874
VITACOST.COM INC	102.11 	-15.19	-0.148778219	164.21 	220.68 	57.05 	415
HSN INC	1345.74 	98.52 	0.073210858	1935.77 	2999.28 	823.40 	5800
PERFUMANIA HOLDINGS INC	300.47 	-3.72	-0.012393834	303.95 	484.80 	162.16 	1996
RUE21 INC	260.79 	30.24 	0.11597026	399.90 	634.73 	163.01 	7243
TOPS HOLDING CORP	680.35 	-26.95	-0.039617786	1619.48 	2257.54 	519.48 	12700
EXPRESS INC	862.75 	127.39 	0.147653605	1162.49 	1905.81 	463.01 	16000
FRESH MARKET INC	258.00 	22.92 	0.088817141	654.99 	974.21 	216.35 	7300
GORDMANS STORES INC	125.13 	15.60 	0.124650375	298.96 	523.32 	183.92 	4200
GNC HOLDINGS INC	2425.08 	96.57 	0.03982008	1132.89 	1822.17 	426.19 	13086
NGL ENERGY PARTNERS LP	163.83 	10.16 	0.062038783	893.94 	939.18 	29.36 	353
BLUESTEM BRANDS INC-REDH	614.00 	-11.52	-0.018768669	270.51 	521.31 	177.23 	831
TILLYS INC -REDH	130.97 	24.42 	0.186418679	215.70 	332.60 	75.68 	3100
BLUE NILE INC	151.81 	14.14 	0.093155305	257.82 	332.89 	50.65 	193
CABELAS INC	4531.18 	112.16 	0.024752719	1575.45 	2663.24 	817.53 	13700
