Name	Class	Vehicle Type	Transmission	Combined MPG	City MPG	Highway MPG	Weight (pounds)	Displacement (liters)	Horsepower	Air Aspiration	# Cylinders	Intake Valves Per Cyl	Exhaust Valves Per Cyl	# Gears	Drive System	THC	CO	CO2	NOx	PM	Energy Storage Device Desc	2Dr Pass Vol	2Dr Lugg Vol	4Dr Pass Vol	4Dr Lugg Vol	Htchbk Pass Vol	Htchbk Lugg Vol	Camless Valvetrain (Y or N)	Oil Viscosity	Test Veh Displ (L)	Air Aspir Method	Cyl Deact?	Var Valve Timing?
Volkswagen TIGUAN	Special Purpose Vehicle, SUV 2WD	Car	Manual	21	18	26	3875	2	200	Turbocharged	4	2	2	6	2-Wheel Drive, Front	0.2842	4.16	421	0.024									N	5W40	1.984	TC	N	Y
Audi TT COUPE QUATTRO	Subcompact Cars	Car	Semi-Automatic	26	23	31	3625	2	265	Turbocharged	4	2	2	6	All Wheel Drive	0.2841	2	378	0.043							74	13	N	5W40	1.984	TC	N	Y
Aston Martin Lagonda Ltd DB9	Minicompact Cars	Car	Manual	13	11	17	4500	5.9	470	Naturally Aspirated	12	2	2	6	2-Wheel Drive, Rear	0.01817	0.1251	649.27	0.0211			78	5					N	0W40	5.9	NA	N	N
Aston Martin Lagonda Ltd DB9	Minicompact Cars	Car	Semi-Automatic	15	13	20	4500	5.9	470	Naturally Aspirated	12	2	2	6	2-Wheel Drive, Rear	0.064	0.693	546.445	0.042			78	5					N	0W40	5.9	NA	N	N
Aston Martin Lagonda Ltd DBS	Minicompact Cars	Car	Manual	13	11	17	4500	5.9	510	Naturally Aspirated	12	2	2	6	2-Wheel Drive, Rear	0.029	0.174	650.6	0.041			78	5					N	0W40	5.9	NA	N	N
Aston Martin Lagonda Ltd DBS	Minicompact Cars	Car	Semi-Automatic	14	12	18	4500	5.9	510	Naturally Aspirated	12	2	2	6	2-Wheel Drive, Rear	0.041	0.393	612.598	0.023			78	5					N	0W40	5.9	NA	N	N
Aston Martin Lagonda Ltd Rapide	Subcompact Cars	Car	Semi-Automatic	15	13	19	4750	5.9	470	Naturally Aspirated	12	2	2	6	2-Wheel Drive, Rear	0.0388	0.3366	564.225	0.0369					83	14			N	0W40	5.9	NA	N	N
Aston Martin Lagonda Ltd V8 Vantage S	Two Seaters	Car	Automated Manual	16	14	21	4000	4.7	430	Naturally Aspirated	8	2	2	7	2-Wheel Drive, Rear	0.02898	0.64907	529.36	0.00786									N	10W60	4.7	NA	N	Y
Aston Martin Lagonda Ltd V8 Vantage	Two Seaters	Car	Automated Manual	16	14	20	4000	4.7	420	Naturally Aspirated	8	2	2	6	2-Wheel Drive, Rear	0.0365	1.1208	516.0957	0.0071									N	10W60	4.7	NA	N	Y
Aston Martin Lagonda Ltd V8 Vantage	Two Seaters	Car	Manual	15	13	19	4000	4.7	420	Naturally Aspirated	8	2	2	6	2-Wheel Drive, Rear	0.0358	0.7897	551.4037	0.0272									N	10W60	4.7	NA	N	Y
Aston Martin Lagonda Ltd Virage	Minicompact Cars	Car	Semi-Automatic	15	13	18	4500	5.9	490	Naturally Aspirated	12	2	2	6	2-Wheel Drive, Rear	0.05218	0.46034	569.26	0.02382			78	5					N	0W40	5.9	NA	N	N
Bentley Motors Ltd. Mulsanne	Midsize Cars	Car	Semi-Automatic	13	11	18	6000	6.8	505	Turbocharged	8	1	1	8	2-Wheel Drive, Rear	0.5966	4.4679	697	0.01					101	11			N	0W40 / VW50200/VW50500	6.8	TC	Y	Y
BMW 128i	Subcompact Cars	Both	Manual	22	18	28	3500	3	230	Naturally Aspirated	6	2	2	6	2-Wheel Drive, Rear	0.02157	0.0853	355.17	0.011			86	10							3	NA	N	Y
BMW 128i	Subcompact Cars	Car	Semi-Automatic	21	18	28	3625	3	230	Naturally Aspirated	6	2	2	6	2-Wheel Drive, Rear	0.0027404	0.0828431	237.49	0.0001098			86	10							3	NA	N	Y
BMW 135i Convertible	Subcompact Cars	Both	Manual	22	19	28	4000	3	300	Turbocharged	6	2	2	6	2-Wheel Drive, Rear	0.02448	0.3557	375.08	0.0124			78	8							3	TC	N	Y
BMW 135i	Subcompact Cars	Both	Manual	23	20	28	3625	3	300	Turbocharged	6	2	2	6	2-Wheel Drive, Rear	0.0179	0.5941	222.83	0.0029			86	10							3	TC	N	Y
BMW 550i	Midsize Cars	Car	Manual	17	15	22	4500	4.4	400	Turbocharged	8	2	2	6	2-Wheel Drive, Rear	0.0189	0.4591	488.43	0.0273					102	14			Y	0W30	4.4	TC	N	Y
BMW 650i Convertible	Compact Cars	Car	Manual	17	15	22	4750	4.4	400	Turbocharged	8	2	2	6	2-Wheel Drive, Rear	0.02613	0.5388	502.31	0.0195			89	12					Y	0W30	4.4	TC	N	Y
BMW 650i Coupe	Compact Cars	Car	Manual	17	15	22	4500	4.4	400	Turbocharged	8	2	2	6	2-Wheel Drive, Rear	0.02956	0.734	477.12	0.0172			87	16					Y	0W30	4.4	TC	N	Y
BMW 740Li	Large Cars	Car	Semi-Automatic	20	17	25	4750	3	315	Turbocharged	6	2	2	6	2-Wheel Drive, Rear	0.02647	0.1229	434.49	0.0352					115	14					3	TC	N	Y
BMW 750i	Large Cars	Car	Semi-Automatic	17	15	22	5000	4.4	400	Turbocharged	8	2	2	6	2-Wheel Drive, Rear	0.1280177	0.5211268	304.586091	0.0034047					106	14			Y	0W30	4.4	TC	N	Y
BMW M3 Convertible	Subcompact Cars	Car	Manual	16	13	20	4500	4	414	Naturally Aspirated	8	2	2	6	2-Wheel Drive, Rear	0.04785	0.2852	497.13	0.04			84	9					Y	0W30	4	NA	N	Y
Mini Mini Cooper Clubman	Subcompact Cars	Car	Manual	30	27	35	3000	1.6	122	Naturally Aspirated	4	2	2	6	2-Wheel Drive, Front	0.02459	0.2494	242.85	0.0102							80	17	Y	0W30	1.6	NA	N	Y
Mini Mini Cooper Convertible	Minicompact Cars	Car	Manual	30	27	35	3000	1.6	122	Naturally Aspirated	4	2	2	6	2-Wheel Drive, Front	0.02187	0.3159	176.57	0.0006			74	6					Y	0W30	1.6	NA	N	Y
Mini Mini Cooper Countryman	Compact Cars	Car	Manual	30	27	35	3250	1.6	122	Naturally Aspirated	4	2	2	6	2-Wheel Drive, Front	0.01471	0.1353	194.28	0.0014							87	16	Y	0W30	1.6	NA	N	Y
Mini Mini Cooper S Clubman	Subcompact Cars	Car	Manual	30	27	35	3125	1.6	180	Turbocharged	4	2	2	6	2-Wheel Drive, Front	0.00692	0.1467	255.98	0.0206							80	17	Y	0W30	1.6	TC	N	Y
Mini Mini Cooper S Convertible	Minicompact Cars	Car	Manual	30	27	35	3125	1.6	180	Turbocharged	4	2	2	6	2-Wheel Drive, Front	0.0098	0.1957	257.38	0.0208			74	6					Y	0W30	1.6	TC	N	Y
Mini Mini Cooper S Countryman All4	Compact Cars	Car	Manual	28	25	31	3500	1.6	180	Turbocharged	4	2	2	6	All Wheel Drive	0.01521	0.1854	203.25	0.0048					87	16			Y	0W30	1.6	TC	N	Y
Mini Mini Cooper S Countryman	Compact Cars	Car	Manual	29	26	32	3375	1.6	180	Turbocharged	4	2	2	6	2-Wheel Drive, Front	0.01739	0.1866	195.26	0.0424					87	16			Y	0W30	1.6	TC	N	Y
Mini Mini Cooper S	Minicompact Cars	Car	Manual	30	27	35	3000	1.6	180	Turbocharged	4	2	2	6	2-Wheel Drive, Front	0.00735	0.3269	258.66	0.0122			76	6					Y	0W30	1.6	TC	N	Y
Mini Mini Cooper	Minicompact Cars	Car	Manual	32	29	37	2875	1.6	122	Naturally Aspirated	4	2	2	6	2-Wheel Drive, Front	0.0229	0.1797	230	0.01			76	6					Y	0W30	1.6	NA	N	Y
BMW X5 xDrive35i	Special Purpose Vehicle, SUV 4WD	Truck	Semi-Automatic	19	16	23	5250	3	300	Turbocharged	6	2	2	8	All Wheel Drive	0.0411927	1.1170785	274.576399	0.0040312											3	TC	N	Y
BMW X5 xDriveM	Special Purpose Vehicle, SUV 4WD	Truck	Semi-Automatic	14	12	17	5500	4.4	555	Turbocharged	8	2	2	6	All Wheel Drive	0.0309975	0.5927623	600.346183	0.0098886											4.4	TC	N	Y
BMW X6 xDrive35i	Special Purpose Vehicle, SUV 4WD	Truck	Semi-Automatic	19	16	23	5000	3	300	Turbocharged	6	2	2	8	All Wheel Drive	0.11647	1.7355	262.19	0.0067											3	TC	N	Y
BMW X6 xDriveM	Special Purpose Vehicle, SUV 4WD	Truck	Semi-Automatic	14	12	17	5500	4.4	555	Turbocharged	8	2	2	6	All Wheel Drive	0.02527	0.354	553.27	0.0182											4.4	TC	N	Y
Chrysler 200	Midsize Cars	Both	Automatic	24	21	30	3750	2.4	173	Naturally Aspirated	4	2	2	4	2-Wheel Drive, Front	0.025901	0.354917	358.46755	0.013565					100	14			N	5W-20	2.4	NA	N	Y
Chrysler 300 AWD	Large Cars	Car	Automatic	21	18	27	4500	3.6	292	Naturally Aspirated	6	2	2	8	All Wheel Drive	0.089918	0.796228	370.22318	0.012585					106	16			N	5W-30	3.6	NA	N	Y
Chrysler 300 AWD	Large Cars	Car	Automatic	18	15	23	4750	5.7	359	Naturally Aspirated	8	1	1	5	All Wheel Drive	0.038666	0.485903	490.51335	0.013725					106	16			N	5W-20	5.7	NA	Y	Y
FIAT 500	Minicompact Cars	Car	Automatic	30	27	34	2750	1.4	100	Naturally Aspirated	4	2	2	6	2-Wheel Drive, Front											76	7	N	5W-30	1.4	NA	N	Y
FIAT 500	Minicompact Cars	Car	Manual	33	30	38	2750	1.4	100	Naturally Aspirated	4	2	2	5	2-Wheel Drive, Front	0.0642324	0.57178	259.986259	0.0221828							76	7	N	5W-30	1.4	NA	N	Y
Dodge Avenger	Midsize Cars	Both	Automatic	24	21	30	3750	2.4	283	Naturally Aspirated	4	2	2	4	2-Wheel Drive, Front									100	13			N	5W-20	2.4	NA	N	Y
Dodge Avenger	Midsize Cars	Both	Automatic	22	19	29	3875	3.6	283	Naturally Aspirated	6	2	2	6	2-Wheel Drive, Front	0.00286	0.066437	211.704	0.000816					100	13			N	10W-20	3.6	NA	N	Y
Dodge Caliber	Small Station Wagons	Both	Continuously Variable	24	23	27	3375	2	172	Naturally Aspirated	4	2	2	1	2-Wheel Drive, Front	0.023718	0.345222	301.656255	0.005468							96	16	N	5W-20	2	NA	N	Y
Dodge Caliber	Small Station Wagons	Both	Continuously Variable	24	22	27	3500	2.4	172	Naturally Aspirated	4	2	2	1	2-Wheel Drive, Front	0.00296	0.160691	230.965	0.00276							96	16	N	5W-20	2.4	NA	N	Y
Dodge Caliber	Small Station Wagons	Both	Manual	27	24	32	3250	2	158	Naturally Aspirated	4	2	2	5	2-Wheel Drive, Front	0.032481	0.350859	289.48641	0.007029							96	16	N	5W-20	2	NA	N	Y
Dodge Challenger	Midsize Cars	Car	Manual	18	15	23	4500	5.7	370	Naturally Aspirated	8	1	1	6	2-Wheel Drive, Rear	0.055278	0.577011	474.54975	0.035081			94	16					N	0W-40	5.7	NA	N	Y
Dodge Charger AWD	Large Cars	Car	Automatic	21	18	27	4500	3.6	292	Naturally Aspirated	6	2	2	8	All Wheel Drive	0.009747	0.093877	233.399	0.004041					105	16			N	5W-30	3.6	NA	N	Y
Dodge Charger	Large Cars	Car	Automatic	21	18	27	4250	3.6	292	Naturally Aspirated	6	2	2	5	2-Wheel Drive, Rear									105	16			N	5W30	3.6	NA	N	Y
Jeep Patriot 4WD	Special Purpose Vehicle, SUV 4WD	Truck	Continuously Variable	23	21	26	3750	2.4	172	Naturally Aspirated	4	2	2	1	4-Wheel Drive	0.041534	0.778643	348.88845	0.019891									N	5W-20	2.4	NA	N	Y
Dodge Ram 1500 2WD	Standard Pick-up Trucks 2WD	Truck	Automatic	16	14	20	5500	4.7	310	Naturally Aspirated	8	1	1	5	2-Wheel Drive, Rear	0.030971	0.790679	510.37403	0.025626									N	5W-20	4.7	NA	N	N
Dodge Ram 1500 4WD	Standard Pick-up Trucks 4WD	Truck	Automatic	16	14	19	5500	4.7	310	Naturally Aspirated	8	1	1	5	2-Wheel Drive, Rear	0.016888	0.32505	364.65	0.00494									N	5W-20	4.7	NA	N	N
Chrysler Town & Country	Special Purpose Vehicle, minivan 2WD	Both	Automatic	20	17	25	4750	3.6	283	Naturally Aspirated	6	2	2	6	2-Wheel Drive, Front	0.02769	0.363774	410.56653	0.007393									N	10W-20	3.6	NA	N	Y
Jeep Wrangler 4WD	Special Purpose Vehicle, SUV 4WD	Truck	Automatic	18	17	21	4750	3.6	290	Naturally Aspirated	6	2	2	5	4-Wheel Drive	0.037716	0.57661	447.34155	0.007772									N	5W-30	3.6	NA	N	Y
Jeep Wrangler 4WD	Special Purpose Vehicle, SUV 4WD	Car	Manual	18	17	21	4750	3.6	290	Naturally Aspirated	6	2	2	6	4-Wheel Drive	0.029053	0.876785	453.42397	0.033751									N	5W-30	3.6	NA	N	Y
Mitsubishi Motors North America ECLIPSE SPYDER	Minicompact Cars	Car	Semi-Automatic	23	20	27	3875	2.4	162	Naturally Aspirated	4	2	2	4	2-Wheel Drive, Front	0.02228	0.21196	347.36091	0.01284			76	5							2.378	NA	N	N
Mitsubishi Motors North America ECLIPSE SPYDER	Minicompact Cars	Car	Semi-Automatic	19	16	24	4000	3.8	260	Naturally Aspirated	6	2	2	5	2-Wheel Drive, Front	0.07256	1.01389	430.02114	0.00471			76	5							3.828	NA	N	N
Mitsubishi Motors North America ECLIPSE	Subcompact Cars	Car	Manual	23	20	28	3625	2.4	162	Naturally Aspirated	4	2	2	5	2-Wheel Drive, Front	0.02295	0.42309	346.76764	0.01087					82	16					2.378	NA	N	N
Mitsubishi Motors North America ECLIPSE	Subcompact Cars	Car	Semi-Automatic	23	20	28	3750	2.4	162	Naturally Aspirated	4	2	2	4	2-Wheel Drive, Front	0.0057	0.05844	225.74037	0.01797					82	16					2.378	NA	N	N
Mitsubishi Motors North America ECLIPSE	Subcompact Cars	Car	Semi-Automatic	20	17	25	3875	3.8	263	Naturally Aspirated	6	2	2	5	2-Wheel Drive, Front	0.04236	0.73785	419.53907	0.00066					82	16					3.828	NA	N	N
Mitsubishi Motors North America GALANT	Midsize Cars	Car	Semi-Automatic	24	21	30	3625	2.4	160	Naturally Aspirated	4	2	2	4	2-Wheel Drive, Front	0.03013	0.28682	332.14356	0.00696					101	13			N	5W20	2.378	NA	N	N
Subaru FORESTER AWD	Special Purpose Vehicle, SUV 4WD	Both	Manual	23	21	27	3625	2.5	170	Naturally Aspirated	4	2	2	5	All Wheel Drive	0.0068	0.06	338	0.015					108	34			N	5W30 GF4	2.5	NA	N	Y
Subaru FORESTER AWD	Special Purpose Vehicle, SUV 4WD	Both	Semi-Automatic	23	21	27	3750	2.5	224	Naturally Aspirated	4	2	2	4	All Wheel Drive	0.0272	0.4986	373.0975	0.0178					108	34			N	5W30 GF4	2.5	NA	N	Y
Subaru IMPREZA AWD	Compact Cars	Both	Continuously Variable	30	27	36	3375	2	148	Naturally Aspirated	4	2	2	1	All Wheel Drive	0.0105	0.22	261	0.014					96	12			N	5W30 GF4	2	NA	N	Y
Subaru IMPREZA AWD	Compact Cars	Both	Manual	28	25	34	3375	2	148	Naturally Aspirated	4	2	2	5	All Wheel Drive	0.0014	0.09	198	0.002					96	12			N	5W30 GF4	2	NA	N	Y
Subaru IMPREZA AWD	Compact Cars	Both	Manual	21	19	25	3750	2.5	305	Turbocharged	4	2	2	5	All Wheel Drive	0.0360452	0.5181203	432.536456	0.019763					96	12			N	5W30 GF4	2.5	TC	N	Y
Subaru IMPREZA WAGON/OUTBACK SPORT AWD	Small Station Wagons	Both	Continuously Variable	30	27	36	3375	2	148	Naturally Aspirated	4	2	2	1	All Wheel Drive	0.0173	0.27	262	0.021					97	22			N	5W30 GF4	2	NA	N	Y
Subaru IMPREZA WAGON/OUTBACK SPORT AWD	Small Station Wagons	Both	Manual	28	25	33	3375	2	148	Naturally Aspirated	4	2	2	5	All Wheel Drive	0.0185	0.51	289	0.015					97	22			N	5W30 GF4	2	NA	N	Y
Subaru TRIBECA AWD	Special Purpose Vehicle, SUV 4WD	Both	Semi-Automatic	18	16	21	4500	3.6	256	Naturally Aspirated	6	2	2	5	All Wheel Drive	0.0467	1.18	442	0.014					99	43			N	5W30 GF4	3.6	NA	N	Y
Ford Division E350 VAN	Vans, Cargo Types	Truck	Automatic	12	10	14	6000	6.8	305	Naturally Aspirated	10	1	1	5	2-Wheel Drive, Rear													N	5W-20 GF5	6.8	NA	N	N
Ford Division EDGE AWD	Special Purpose Vehicle, SUV 4WD	Truck	Semi-Automatic	21	18	25	4750	3.5	305	Naturally Aspirated	6	2	2	6	All Wheel Drive													N	5W-20 GF-5	3.5	NA	N	Y
Ford Division EDGE FWD	Special Purpose Vehicle, SUV 2WD	Truck	Automatic	24	21	30	4250	2	237	Turbocharged	4	2	2	6	2-Wheel Drive, Front	0.01278	0.44548	335.205	0.0405094									N	5W-30 GF-5	2	TC	N	Y
Ford Division ESCAPE AWD	Special Purpose Vehicle, SUV 4WD	Truck	Automatic	23	20	27	3750	2.5	171	Naturally Aspirated	4	2	2	6	All Wheel Drive													N	5W-20, GF-5	2.5	NA	N	Y
Ford Division EXPLORER FWD	Special Purpose Vehicle, SUV 2WD	Truck	Automatic	23	20	28	4750	2	237	Turbocharged	4	2	2	6	2-Wheel Drive, Front	0.0105201	0.383357	352.33	0.018644									N	5W-30 GF-5	2	TC	N	Y
Ford Division EXPLORER FWD	Special Purpose Vehicle, SUV 2WD	Truck	Semi-Automatic	20	18	25	4750	3.5	287	Naturally Aspirated	6	2	2	6	2-Wheel Drive, Front	0.025047	0.64062	398.458	0.0067214									N	5W-20 GF-5	3.5	NA	N	Y
Lincoln Truck MKX AWD	Special Purpose Vehicle, SUV 4WD	Truck	Semi-Automatic	19	17	23	4750	3.7	305	Naturally Aspirated	6	2	2	6	All Wheel Drive													N	5W-20 GF-5	3.7	NA	N	Y
Ford Division MUSTANG	Subcompact Cars	Car	Automatic	23	19	31	3750	3.7	300	Naturally Aspirated	6	2	2	6	2-Wheel Drive, Rear	0.0529196	0.5176819	374.227886	0.0076257			83	13					N	5W20 GF-4	3.7	NA	N	Y
Ford Division MUSTANG	Subcompact Cars	Car	Automatic	20	18	25	4000	5	400	Naturally Aspirated	8	2	1	6	2-Wheel Drive, Rear	0.0534647	0.647362	413.497	0.0165874			83	13					N	5W20 635A/ GF5	5	NA	N	Y
Ford Division MUSTANG	Subcompact Cars	Car	Manual	22	19	29	3750	3.7	300	Naturally Aspirated	6	2	2	6	2-Wheel Drive, Rear	0.0304099	0.443063	374.544	0.004259			83	13					N	5W20 GF-4	3.7	NA	N	Y
Ford Division MUSTANG	Subcompact Cars	Car	Manual	20	17	26	4000	5	400	Naturally Aspirated	8	2	1	6	2-Wheel Drive, Rear	0.0357148	0.651763	412.805	0.0130859			83	13					N	5W20 635A/ GF5	5	NA	N	Y
Ford Division MUSTANG	Subcompact Cars	Car	Manual	17	15	23	4000	5.4	550	Supercharged	8	2	2	6	2-Wheel Drive, Rear	0.0457575	0.559581	477.289	0.0341103			83	13					N	5W50 / 590A	5.4	SC	N	N
Ford Division TAURUS FWD	Large Cars	Car	Automatic	22	18	28	4500	3.5	263	Naturally Aspirated	6	2	2	6	All Wheel Drive									102	20			N	5W-20 GF-5	3.5	NA	N	Y
Saab 9-4X FWD	Special Purpose Vehicle, SUV 2WD	Truck	Semi-Automatic	20	18	25	4750	3	265	Naturally Aspirated	6	2	2	6	2-Wheel Drive, Front	0.02521	0.24056	392.24	0.00513									N	5W30	3	NA	N	Y
GMC C15 SIERRA 2WD XFE	Standard Pick-up Trucks 2WD	Truck	Automatic	18	15	22	5250	5.3	315	Naturally Aspirated	8	1	1	6	2-Wheel Drive, Rear	0.03489	0.54071	449.772	0.01874									N	5W30	5.3	NA	Y	Y
Chevrolet C15 SILVERADO 2WD XFE	Standard Pick-up Trucks 2WD	Truck	Automatic	18	15	22	5250	5.3	315	Naturally Aspirated	8	1	1	6	2-Wheel Drive, Rear	0.03489	0.54071	449.772	0.01874									N	5W30	5.3	NA	Y	Y
Chevrolet C15 SILVERADO 2WD	Standard Pick-up Trucks 2WD	Truck	Automatic	17	15	20	5000	4.3	195	Naturally Aspirated	6	1	1	4	2-Wheel Drive, Rear	0.04284	1.01883	486.34	0.01194									N	5W30	4.3	NA	N	N
Chevrolet C15 SILVERADO 2WD	Standard Pick-up Trucks 2WD	Truck	Automatic	16	14	19	5000	4.8	295	Naturally Aspirated	8	1	1	4	2-Wheel Drive, Rear	0.00392	0.28274	335.352	0.00042									N	5W30	4.8	NA	N	Y
Chevrolet C15 SILVERADO 2WD	Standard Pick-up Trucks 2WD	Truck	Automatic	17	15	21	6000	5.3	320	Naturally Aspirated	8	1	1	6	2-Wheel Drive, Rear	0.00415	0.06145	280.961	0.00054									N	5W30	5.3	NA	Y	Y
Chevrolet C15 SILVERADO 2WD	Standard Pick-up Trucks 2WD	Truck	Automatic	14	13	18	5500	6.2	403	Naturally Aspirated	8	1	1	6	2-Wheel Drive, Rear	0.0655586	2.32701	587.521	0.0166627									N	5W30	6.2	NA	N	Y
Chevrolet C1500 TAHOE 2WD HYBRID	Special Purpose Vehicle, SUV 2WD	Truck	Continuously Variable	21	20	23	6000	6	332	Naturally Aspirated	8	1	1	1	2-Wheel Drive, Rear	0.0159604	0.0174896	395.916	0.0078628		Battery(s)							N	5W30	6	NA	Y	Y
Chevrolet C1500 TAHOE 2WD	Special Purpose Vehicle, SUV 2WD	Truck	Automatic	17	15	21	6000	5.3	320	Naturally Aspirated	8	1	1	6	2-Wheel Drive, Rear	0.00415	0.06145	280.961	0.00054									N	5W30	5.3	NA	Y	Y
Chevrolet C2500 SUBURBAN 2WD	Special Purpose Vehicle, SUV 2WD	Truck	Automatic	12	10	16	6500	6	352	Naturally Aspirated	8	1	1	6	2-Wheel Drive, Rear	0.0848789	1.73506	695.174	0.0251621									N	5W30	6	NA	N	Y
Chevrolet CAMARO	Compact Cars	Car	Manual	20	17	28	4000	3.6	304	Naturally Aspirated	6	2	2	6	2-Wheel Drive, Rear	0.02968	0.13092	422.989	0.01158			93	11					N	5W30	3.6	NA	N	Y
Chevrolet CAMARO	Compact Cars	Car	Manual	19	16	24	4250	6.2	420	Naturally Aspirated	8	1	1	6	2-Wheel Drive, Rear	0.04987	0.95193	447.074	0.009			93	11					N	5W30	6.2	NA	N	N
Chevrolet CAMARO	Compact Cars	Car	Semi-Automatic	22	18	29	4000	3.6	304	Naturally Aspirated	6	2	2	6	2-Wheel Drive, Rear	0.01945	0.12439	379.669	0.00905			93	11					N	5W30	3.6	NA	N	Y
Chevrolet CAMARO	Compact Cars	Car	Semi-Automatic	18	15	24	4500	6.2	400	Naturally Aspirated	8	1	1	6	2-Wheel Drive, Rear	0.0493107	1.15571	494.671	0.0068121			93	11					N	5W30	6.2	NA	Y	Y
Chevrolet COLORADO 2WD	Small Pick-up Trucks 2WD	Truck	Automatic	21	18	25	3750	2.9	190	Naturally Aspirated	4	2	2	4	2-Wheel Drive, Rear	0.01816	0.42493	383.932	0.00462											2.9	NA	N	Y
Chevrolet COLORADO 2WD	Small Pick-up Trucks 2WD	Truck	Automatic	19	17	23	3625	3.7	245	Naturally Aspirated	5	2	2	4	2-Wheel Drive, Rear	0.00921	0.2758	302.376	0.00062									N	5W30	3.7	NA	N	Y
Chevrolet COLORADO 2WD	Small Pick-up Trucks 2WD	Truck	Manual	21	18	25	3875	2.9	190	Naturally Aspirated	4	2	2	5	2-Wheel Drive, Rear	0.0118	0.38364	387.29	0.01255											2.9	NA	N	Y
Chevrolet COLORADO 4WD	Small Pick-up Trucks 4WD	Truck	Automatic	20	17	23	4250	2.9	190	Naturally Aspirated	4	2	2	4	4-Wheel Drive	0.01816	0.42493	383.932	0.00462											2.9	NA	N	Y
Chevrolet COLORADO 4WD	Small Pick-up Trucks 4WD	Truck	Automatic	19	17	23	3875	3.7	245	Naturally Aspirated	5	2	2	4	4-Wheel Drive	0.01939	0.4751	426.795	0.00231									N	5W30	3.7	NA	N	Y
Chevrolet COLORADO 4WD	Small Pick-up Trucks 4WD	Truck	Manual	20	18	24	4000	2.9	190	Naturally Aspirated	4	2	2	5	4-Wheel Drive	0.0118	0.38364	387.29	0.01255											2.9	NA	N	Y
Chevrolet COLORADO CREW CAB 2WD	Small Pick-up Trucks 2WD	Truck	Automatic	16	14	20	4250	5.3	300	Naturally Aspirated	8	1	1	4	2-Wheel Drive, Rear	0.05319	1.37064	489.064	0.00318									N	5W30	5.3	NA	N	Y
Chevrolet COLORADO CREW CAB 4WD	Small Pick-up Trucks 4WD	Truck	Automatic	18	16	21	4500	3.7	245	Naturally Aspirated	5	2	2	4	4-Wheel Drive	0.02813	0.64693	456.314	0.00118									N	5W30	3.7	NA	N	Y
Chevrolet COLORADO CREW CAB 4WD	Small Pick-up Trucks 4WD	Truck	Automatic	16	14	19	4750	5.3	300	Naturally Aspirated	8	1	1	4	4-Wheel Drive	0.059	1.23	517	0.00657									N	5W30	5.3	NA	N	Y
Chevrolet CORVETTE	Two Seaters	Car	Manual	19	16	26	3625	6.2	420	Naturally Aspirated	8	1	1	6	2-Wheel Drive, Rear	0.07473	1.2601	439.324	0.01861									N	5W30	6.2	NA	N	N
