Lease Cost ($)	Square Feet	Cost per Sq Foot	1/Sq Feet	Parking/SqFt	Age	Parking	Location	Location Dummy	Dummy * 1/SqFt	Renovation	Leaselength	Distance to City (miles)	Drive Time to Airport (minutes)	Distance to Airport (miles)	Occupancy	Num Floors in Bldg	Num Floors in Lease	Sq Ft in Bldg	New Wiring	Lease is Renewable
112225	7197	15.5933028	0.00013895	0.00027789	25	2	Suburbs	0	0	13	6	4.29	26.11	13.8	0.61	19	5	30301.36	NO	NO
504164	30647	16.4506803	0.00003263	0.00022841	59	7	City	1	0.00003263	16	7	1.16	22.91	13.37	0.85	21	15	24262.02	NO	NO
1064665	62992	16.9015907	1.59E-05	7.94E-05	30	5	Suburbs	0	0	30	8	3.22	14.32	11.23	0.83	25	11	33143.45	NO	NO
157812	10695	14.7556802	9.35E-05	0	6	0	Suburbs	0	0	6	7	3.33	12.93	11.21	0.94	15	15	49096.12	NO	NO
981888	61534	15.9568369	1.63E-05	0.00011376	1	7	Suburbs	0	0	1	6	2.83	16.09	11.59	0.79	20	8	53750.22	YES	NO
112653	8825	12.7652125	0.00011331	0.00022663	1	2	Suburbs	0	0	1	6	5.15	44.95	19.35	0.59	12	7	43081.5	NO	NO
408380	24369	16.7581764	4.10E-05	0.00028725	78	7	City	1	4.10E-05	22	9	0.84	26.05	14.1	0.82	8	7	17003.15	NO	NO
551308	31364	17.5777324	3.19E-05	0.00022319	30	7	City	1	3.19E-05	30	4	0.83	27.5	14.49	0.93	53	45	36402.89	NO	NO
132458	6912	19.1634838	0.00014468	0.00014468	25	1	City	1	0.00014468	7	7	0.12	26.57	14.52	0.98	56	46	29249.08	YES	NO
466399	28349	16.4520442	3.53E-05	0.0001411	46	4	City	1	3.53E-05	21	10	1.33	21.83	13.13	0.99	23	17	16862.6	NO	NO
489413	29995	16.3164861	3.33E-05	6.67E-05	45	2	City	1	3.33E-05	23	10	1.45	27.49	14.98	0.68	35	19	24332.47	NO	NO
727057	43579	16.683655	2.29E-05	4.59E-05	41	2	City	1	2.29E-05	41	9	0.61	26.72	14.37	0.97	20	7	22622.29	NO	YES
60365	3782	15.9611317	0.00026441	0	29	0	Suburbs	0	0	29	8	2.73	15.22	11.86	0.65	12	7	11353.76	NO	NO
527078	31818	16.5654032	3.14E-05	0.00015714	16	5	Suburbs	0	0	16	9	2.38	18.02	12.61	0.97	17	1	60185.42	NO	NO
465335	29945	15.539656	3.34E-05	0.00016697	72	5	City	1	3.34E-05	15	7	1.26	29.9	15.52	0.79	10	8	16104.73	NO	NO
692087	39170	17.6688027	0.00002553	0.00010212	12	4	Suburbs	0	0	12	9	4.94	18.78	11.11	0.79	11	10	30010.89	NO	NO
1020102	66726	15.2879237	1.50E-05	0.00017984	16	12	Suburbs	0	0	16	3	3.51	17.43	12.08	0.74	21	1	75165.35	NO	NO
382421	26584	14.3853822	3.76E-05	0.00018808	2	5	Suburbs	0	0	2	9	3.46	34.71	16.73	0.73	16	8	43609.91	NO	NO
1043353	71103	14.6738253	1.41E-05	0	14	0	Suburbs	0	0	14	3	3.58	12.9	11.26	0.97	22	3	60769.23	NO	NO
20744	1234	16.8103728	0.00081037	0	15	0	Suburbs	0	0	15	6	3.67	24.34	13.66	0.81	21	9	43780.02	NO	NO
1711806	102869	16.64064	9.72E-06	0	26	0	Suburbs	0	0	9	3	5.71	19.98	10.3	0.95	12	8	34540.31	NO	NO
47412	2651	17.8845719	0.00037722	0	23	0	Suburbs	0	0	23	10	4.22	14.32	10.94	0.78	14	12	43421.29	NO	NO
240353	15439	15.5679124	6.48E-05	6.48E-05	5	1	Suburbs	0	0	5	6	1.78	31.11	15.87	0.97	9	1	15845.06	NO	NO
883371	53892	16.3915052	1.86E-05	0	20	0	Suburbs	0	0	7	3	4.7	23.04	12.58	0.75	20	8	32417.48	NO	NO
542066	29045	18.6629713	0.00003443	0.00024101	71	7	City	1	0.00003443	71	3	0.44	24.95	14.04	0.8	14	9	26298.74	NO	NO
480014	28756	16.6926554	3.48E-05	0.00024343	1	7	Suburbs	0	0	1	5	2.07	19.26	12.93	0.87	16	3	48698.26	NO	NO
951236	52620	18.077461	1.90E-05	0.00015203	43	8	City	1	1.90E-05	43	6	0.91	22.77	13.7	0.98	12	7	14051.24	NO	YES
246621	14593	16.899952	6.85E-05	0	6	0	Suburbs	0	0	6	6	4.71	14.62	10.35	0.97	18	11	41094.73	NO	NO
90036	5038	17.8713775	0.00019849	0	4	0	Suburbs	0	0	4	3	4.04	17.59	11.75	0.91	17	2	37203.14	YES	NO
64878	2844	22.8122363	0.00035162	0.00140647	49	4	City	1	0.00035162	30	3	0.24	25.28	14.25	0.98	24	1	25832.04	NO	NO
52000	3394	15.321155	0.00029464	0	15	0	Suburbs	0	0	15	9	1.75	32.86	16.17	0.59	11	3	43491.21	NO	NO
178953	12291	14.5596778	0.00008136	0.00032544	45	4	Suburbs	0	0	45	3	4.1	38.95	17.83	0.85	10	7	28234.36	NO	NO
20409	1172	17.4138225	0.00085324	0	23	0	Suburbs	0	0	23	4	5.26	25.7	12.88	0.87	14	12	40987.32	NO	NO
286348	20204	14.1728371	4.95E-05	0	38	0	Suburbs	0	0	38	3	5.65	45.62	19.49	0.54	11	10	27189.09	NO	NO
51787	2045	25.3237164	0.000489	0.00195599	49	4	City	1	0.000489	49	3	0.35	26.8	14.66	0.92	20	2	20437.08	NO	NO
340457	23751	14.334428	4.21E-05	4.21E-05	28	1	Suburbs	0	0	16	9	4.46	42.33	18.69	0.83	9	4	36567.71	NO	NO
106376	6579	16.1690226	0.000152	0.000608	30	4	Suburbs	0	0	15	7	1.86	19.03	12.83	0.97	10	2	27127.8	NO	NO
100786	6262	16.0948579	0.00015969	0	5	0	Suburbs	0	0	5	9	5.13	20.69	11.42	0.72	14	3	40210.11	NO	NO
53800	3075	17.495935	0.0003252	0.00065041	28	2	Suburbs	0	0	28	4	2.31	31.06	15.87	0.96	17	1	20755.09	NO	NO
310397	20536	15.1147741	4.87E-05	0	24	0	Suburbs	0	0	0	10	4.63	40.08	18.06	0.97	9	9	38500.27	NO	NO
43461	2040	21.3044118	0.0004902	0.00098039	48	2	City	1	0.0004902	16	3	1.01	22.15	13.43	0.95	26	14	32798.35	NO	NO
408079	22360	18.2504025	4.47E-05	4.47E-05	78	1	City	1	4.47E-05	52	5	0.9	23.29	13.56	1	4	1	5589.92	NO	YES
73429	4171	17.6046512	0.00023975	0.00023975	37	1	Suburbs	0	0	25	6	3.93	40.35	18.18	0.97	7	3	26358.09	NO	NO
170274	9210	18.4879479	0.00010858	0.00021716	77	2	City	1	0.00010858	39	10	1.43	23.43	13.97	0.98	9	1	22140.18	NO	NO
1225520	77992	15.7134065	1.28E-05	0.00006411	20	5	Suburbs	0	0	1	4	2.97	14.46	11.52	0.99	6	2	44861.4	NO	NO
416602	23549	17.6908574	4.25E-05	0.00016986	52	4	City	1	4.25E-05	3	7	0.69	23.59	13.88	0.79	23	17	19503.41	NO	NO
1268814	67177	18.8876252	1.49E-05	0.00016375	25	11	City	1	1.49E-05	25	10	0.15	25.52	14.29	0.77	37	31	18949.65	NO	YES
190133	11030	17.237806	9.07E-05	0.00036265	32	4	City	1	9.07E-05	32	5	1.34	21.81	13.13	0.78	44	39	51187.8	NO	NO
823714	43949	18.742497	2.28E-05	0	50	0	City	1	2.28E-05	50	3	0.61	24.81	14.23	0.97	20	10	9582.64	NO	NO
487227	35379	13.7716442	2.83E-05	0.00031092	44	11	Suburbs	0	0	19	6	3.09	37.62	17.46	0.94	9	7	22048.2	NO	NO
514796	31956	16.1095256	3.13E-05	0.00021905	10	7	Suburbs	0	0	10	4	2.32	17.04	12.14	0.9	14	9	30757.06	NO	NO
1350143	70714	19.0930085	1.41E-05	0.00014141	5	10	City	1	1.41E-05	5	3	0.64	28.43	15.05	0.79	68	39	50346.81	YES	NO
143330	9149	15.666193	0.0001093	0	12	0	Suburbs	0	0	12	9	5.25	21.65	11.56	0.97	16	6	42575.97	NO	NO
2553806	144597	17.6615421	6.92E-06	0.00008299	11	12	Suburbs	0	0	11	8	2.09	17.78	12.46	0.96	14	5	15879.37	YES	NO
450257	29469	15.2790051	3.39E-05	0.00027147	15	8	Suburbs	0	0	15	3	2.98	36.75	17.27	0.81	9	7	39302.43	NO	NO
864771	48638	17.7797401	0.00002056	0.00022616	48	11	City	1	0.00002056	24	5	0.3	26.69	14.48	0.8	20	6	42539.24	NO	NO
787238	42441	18.5489974	2.36E-05	7.07E-05	23	3	City	1	2.36E-05	0	7	0.12	26.39	14.51	0.98	56	47	35784	NO	NO
379098	24913	15.2168747	0.00004014	0.00012042	40	3	Suburbs	0	0	5	6	5.56	45.32	19.42	0.91	8	1	17914	NO	NO
218096	14114	15.4524586	7.09E-05	7.09E-05	2	1	Suburbs	0	0	2	10	4.67	15.86	10.71	0.9	5	1	38892.58	NO	NO
390806	24630	15.8670727	0.0000406	0	17	0	Suburbs	0	0	17	3	3.58	22.15	13.13	0.98	23	16	46318.63	NO	NO
2267764	136577	16.6042892	7.32E-06	6.59E-05	59	9	City	1	7.32E-06	59	4	1.4	21.23	13.04	0.75	15	9	19703.8	NO	NO
95399	5691	16.7631348	0.00017572	0	25	0	Suburbs	0	0	25	10	5.61	28.94	13.66	0.81	14	6	28480.31	NO	NO
115937	6287	18.4407508	0.00015906	0.00047718	45	3	City	1	0.00015906	45	5	0.36	26.54	14.61	0.97	30	18	31534.91	NO	YES
597697	41046	14.5616382	2.44E-05	9.75E-05	3	4	Suburbs	0	0	3	8	3.54	38.87	17.81	0.7	19	11	24824.6	NO	NO
29459	1903	15.4802943	0.00052549	0	37	0	Suburbs	0	0	37	10	5.51	42.71	18.63	0.8	4	1	27726.51	YES	NO
84636	5657	14.9612869	0.00017677	0.00053032	2	3	Suburbs	0	0	2	3	1.68	32.31	16.08	0.6	10	10	43613.97	NO	NO
149458	9300	16.0707527	0.00010753	0.00053763	29	5	Suburbs	0	0	13	4	3.24	38.34	17.62	0.84	18	9	35287.82	NO	NO
1667827	96635	17.2590366	1.03E-05	0.00011383	29	11	City	1	1.03E-05	16	9	1.27	21.03	13.21	0.86	44	29	33435.08	YES	NO
298459	17723	16.8402076	5.64E-05	0.0002257	1	4	Suburbs	0	0	1	8	2.42	16.7	12.27	0.44	9	3	30835.97	YES	NO
378054	20508	18.4344646	4.88E-05	0.00019505	43	4	City	1	4.88E-05	43	9	1.48	20.55	13.2	0.87	39	4	31766.43	NO	NO
194093	11113	17.4654009	9.00E-05	9.00E-05	5	1	City	1	9.00E-05	5	7	1.13	22.9	13.38	0.95	71	32	28136	YES	YES
213583	13553	15.7590939	7.38E-05	0.00014757	36	2	Suburbs	0	0	5	7	3.71	39.84	18.04	0.72	18	12	46253.17	NO	NO
101742	6330	16.0729858	0.00015798	0	20	0	Suburbs	0	0	9	9	2.61	15.71	11.91	0.58	20	20	34620.05	NO	NO
80573	4149	19.4198602	0.00024102	0.00048204	52	2	City	1	0.00024102	52	10	0.28	27.22	14.7	0.89	7	2	8305.66	NO	YES
767107	49028	15.6463042	2.04E-05	0.00018357	20	9	Suburbs	0	0	1	7	2.45	31.98	16.1	0.8	13	9	10145.86	NO	NO
199273	11739	16.975296	8.52E-05	8.52E-05	2	1	Suburbs	0	0	2	7	4.62	17.19	11.09	0.88	15	12	8076.15	YES	NO
161323	9458	17.0567773	0.00010573	0	60	0	City	1	0.00010573	15	9	0.77	23.94	13.72	0.94	10	10	26498.46	NO	NO
297568	17491	17.0126351	5.72E-05	0	23	0	Suburbs	0	0	23	3	5.59	21.45	11.04	1	27	23	57415.95	NO	NO
991909	58384	16.9893978	1.71E-05	0.00013702	15	8	Suburbs	0	0	15	8	3.9	12.67	10.99	0.93	7	5	35550.81	NO	NO
415569	28097	14.7905114	0.00003559	7.12E-05	32	2	Suburbs	0	0	2	10	6.3	46.92	19.73	0.95	15	1	17985.43	NO	NO
632897	37181	17.0220543	2.69E-05	8.07E-05	16	3	Suburbs	0	0	16	3	5.35	19.43	10.72	0.79	17	12	64552.71	NO	NO
42811	2374	18.0332772	0.00042123	0.00042123	24	1	Suburbs	0	0	24	3	1.59	29.35	15.44	0.92	16	1	27021.71	NO	NO
1165892	73286	15.9087957	1.36E-05	0	26	0	Suburbs	0	0	26	8	4.52	17.96	11.39	0.86	21	5	33370.14	NO	NO
155239	10124	15.3337614	9.88E-05	0	7	0	Suburbs	0	0	7	5	3.96	16.49	11.59	0.94	7	7	34783.64	NO	NO
1295344	79939	16.2041557	0.00001251	0.00021266	22	17	Suburbs	0	0	22	7	1.69	30.96	15.82	0.69	12	9	31254.28	NO	YES
113221	5693	19.8877569	0.00017565	0.00070262	48	4	City	1	0.00017565	48	8	0.83	28.48	14.79	0.94	31	31	22571.17	NO	NO
53611	2349	22.8229034	0.00042571	0.00170285	63	4	City	1	0.00042571	63	10	0.22	26.99	14.64	0.91	13	8	27523.59	NO	NO
22221	1339	16.5952203	0.00074683	0.0029873	41	4	Suburbs	0	0	14	7	1.97	33.89	16.38	0.52	14	4	54754.9	NO	NO
350015	23840	14.6818372	4.19E-05	0	13	0	Suburbs	0	0	13	8	2.62	35.04	16.85	0.9	6	2	39783.17	NO	NO
707741	42075	16.8209388	2.38E-05	7.13E-05	19	3	Suburbs	0	0	8	3	3.34	37.47	17.47	0.55	6	6	45114.45	NO	NO
551853	34882	15.8205665	2.87E-05	0	18	0	Suburbs	0	0	18	8	5.63	19.6	10.31	0.7	23	2	64074.99	NO	NO
41297	2218	18.6190261	0.00045086	0.00045086	45	1	City	1	0.00045086	45	4	0.31	25.12	14.13	0.98	11	6	15297.28	NO	NO
153451	10031	15.2976772	0.00009969	0.00039876	27	4	Suburbs	0	0	11	3	5.53	43	18.71	0.61	6	6	27419.76	YES	YES
562098	32049	17.5387064	3.12E-05	0.00021842	34	7	City	1	3.12E-05	7	9	0.96	23.15	13.51	0.8	40	22	24151.23	YES	NO
136492	8423	16.2046777	0.00011872	0	22	0	Suburbs	0	0	22	7	4.75	14.66	10.3	0.97	15	6	28265.25	NO	NO
351196	22619	15.5265927	0.00004421	0	13	0	Suburbs	0	0	0	9	2.91	37.06	17.29	0.63	11	7	40708.32	NO	NO
41015	1889	21.7125463	0.00052938	0.00158814	42	3	City	1	0.00052938	42	5	0.44	24.68	14	0.81	13	8	24421.24	NO	NO
147439	8827	16.7031834	0.00011329	0	6	0	Suburbs	0	0	6	3	5.32	19.22	10.7	0.88	11	1	26857.9	NO	NO
1321084	78048	16.926558	1.28E-05	7.69E-05	7	6	Suburbs	0	0	7	4	3.2	17.31	12.23	0.81	24	19	52187.96	YES	NO
175533	8698	20.1808462	0.00011497	0.00057484	71	5	City	1	0.00011497	21	6	0.1	25.75	14.32	0.88	13	7	5171.12	NO	NO
84169	5650	14.8971681	0.00017699	0.00017699	24	1	Suburbs	0	0	24	7	3.02	34.24	16.66	0.82	16	11	52638.57	YES	NO
263586	17467	15.0905135	0.00005725	0.00028625	1	5	Suburbs	0	0	1	3	4.94	23.12	12.37	0.49	8	2	42819.01	NO	NO
27373	1834	14.9252999	0.00054526	0	3	0	Suburbs	0	0	3	9	4.46	15.41	10.88	0.73	10	3	23301.23	YES	NO
550052	34024	16.1665883	2.94E-05	0.00014696	21	5	Suburbs	0	0	21	3	2.13	32.56	16.24	0.87	9	8	24073.39	NO	NO
106156	6030	17.6046434	0.00016584	0	12	0	City	1	0.00016584	0	10	0.58	24.45	13.9	0.92	64	41	37116.65	YES	NO
456299	26723	17.0751413	0.00003742	0.00022453	73	6	City	1	0.00003742	73	6	0.65	24.32	13.84	0.9	8	4	25416.5	NO	YES
520268	33194	15.6735555	3.01E-05	0.0001205	42	4	Suburbs	0	0	7	8	3.96	38.27	17.66	0.79	15	4	45604.02	NO	NO
179153	11231	15.9516517	0.00008904	0.00017808	13	2	Suburbs	0	0	13	4	4.07	16	11.4	0.76	17	14	58809.68	NO	NO
139348	9111	15.2944792	0.00010976	0.00043903	12	4	Suburbs	0	0	12	3	5.62	19.14	10.15	0.71	20	9	41002.44	NO	NO
25240	1460	17.2876712	0.00068493	0	49	0	Suburbs	0	0	28	3	4.07	38.33	17.66	0.86	12	10	30816.01	NO	NO
33312	1669	19.959257	0.00059916	0.00059916	52	1	City	1	0.00059916	15	9	0.22	26.59	14.48	0.91	19	19	22904.74	NO	NO
183631	10843	16.9354422	9.22E-05	9.22E-05	61	1	City	1	9.22E-05	4	6	1.32	21.38	13.11	0.84	7	5	13162.79	NO	NO
333598	19101	17.4649495	5.24E-05	0	43	0	City	1	5.24E-05	26	3	0.77	23.49	13.67	0.82	14	9	13392.83	NO	NO
165324	8890	18.5966254	0.00011249	0.00033746	72	3	City	1	0.00011249	35	8	0.91	23.01	13.53	1	4	3	22970.27	NO	NO
34005	1578	21.5494297	0.00063371	0.00126743	50	2	City	1	0.00063371	14	8	1.25	21.34	13.36	0.89	18	14	39362.65	NO	YES
278579	15011	18.5583239	6.66E-05	0	48	0	City	1	6.66E-05	21	10	0.39	24.58	14.04	0.98	25	17	15924.26	NO	YES
34884	1593	21.8983051	0.00062775	0.00125549	71	2	City	1	0.00062775	71	6	1.06	22.34	13.37	0.94	5	3	21739.98	NO	NO
39822	2304	17.2838542	0.00043403	0	16	0	Suburbs	0	0	1	9	3.42	26.02	14.24	0.9	16	16	17491.27	YES	NO
267176	17228	15.5082424	5.80E-05	0.00011609	18	2	Suburbs	0	0	18	5	3.38	37.58	17.5	0.67	7	2	5747.02	NO	NO
848745	46643	18.1966211	0.00002144	0	44	0	City	1	0.00002144	24	3	1.06	26.44	14.1	0.93	33	13	30589.83	NO	NO
39567	2321	17.0473934	0.00043085	0.0008617	11	2	Suburbs	0	0	11	9	1.88	33.19	16.29	0.76	9	7	15731.81	NO	NO
1229108	75222	16.339741	1.33E-05	9.31E-05	6	7	Suburbs	0	0	6	5	2.77	23.49	13.8	0.82	12	1	15024.29	NO	NO
286442	17513	16.3559641	0.0000571	0.0001713	62	3	City	1	0.0000571	62	10	1.07	28.25	14.58	0.83	15	9	15299.63	NO	NO
527301	32211	16.3702151	3.10E-05	0.00012418	8	4	Suburbs	0	0	8	6	2.67	30.27	15.63	0.95	13	5	38869.15	NO	NO
1384871	91777	15.0895213	1.09E-05	0	2	0	Suburbs	0	0	2	4	3.04	14.49	11.73	0.83	29	11	24402.82	NO	NO
131036	7387	17.7387302	0.00013537	0	40	0	City	1	0.00013537	12	5	0.65	28.22	14.8	0.9	29	27	38080.53	NO	NO
1842558	107732	17.1031634	9.28E-06	0	9	0	Suburbs	0	0	9	9	3.48	12.45	11.06	0.93	15	13	41256.69	NO	NO
2315053	143397	16.1443615	6.97E-06	0.00014645	37	21	Suburbs	0	0	21	3	1.56	30.92	15.79	0.76	15	1	34025.13	NO	NO
68775	4414	15.5811056	0.00022655	0	3	0	Suburbs	0	0	3	3	6.16	47.2	19.86	0.87	13	9	17177.51	NO	NO
347047	21404	16.2141189	0.00004672	0.00037376	37	8	Suburbs	0	0	15	10	5.28	41.68	18.37	0.9	9	5	13256.22	NO	NO
823152	46288	17.78327	2.16E-05	0.00017283	5	8	City	1	2.16E-05	5	7	0.38	26.46	14.38	0.96	73	21	41736.27	NO	NO
584418	33642	17.3716783	2.97E-05	8.92E-05	52	3	City	1	2.97E-05	15	6	1.19	23.06	13.86	0.98	17	12	31738.22	NO	NO
327494	19990	16.3828914	5.00E-05	0.00025013	3	5	Suburbs	0	0	3	3	1.57	29.64	15.51	0.77	18	13	52575.42	NO	NO
264553	19677	13.4447832	0.00005082	0	7	0	Suburbs	0	0	7	7	4.55	42.6	18.76	0.92	18	7	48728.85	NO	NO
144570	9286	15.5685979	0.00010769	0.00032307	10	3	Suburbs	0	0	10	10	1.59	31.68	15.94	0.58	11	4	41407.92	NO	NO
50915	3323	15.3219982	0.00030093	0.00030093	46	1	Suburbs	0	0	11	8	5.94	46.37	19.65	0.7	13	10	33743.72	NO	YES
283906	17985	15.7857103	5.56E-05	0	1	0	Suburbs	0	0	1	3	2.54	16.47	11.9	0.51	28	11	59216.05	YES	NO
