Company Name	Total Revenue	Total Assets	Cost of Goods Sold	Net Income	Revenue/Employee	Expense: R&D	Expense: Admin, Selling	# Employees	Book Value per Share	NAICS
DST SYSTEMS INC	$2,255.10 	$3,339.40 	$1,816.40 	$318.50 	201348.2143			11200	17.8056	518210
DISNEY (WALT) CO	$38,063.00 	$69,206.00 	$29,624.00 	$3,963.00 	255456.3758			149000	19.7791	515120
GANNETT CO	$5,438.68 	$6,816.84 	$2,970.99 	$588.20 	166830.6135		$1,185.46 	32600	9.0341	511110
GRAY TELEVISION INC	$346.06 	$1,242.29 	$196.35 	$23.16 	159400.2764		$13.55 	2171	2.2275	515120
LEE ENTERPRISES INC	$780.65 	$1,440.12 	$370.13 	$46.11 	114548.496		$238.19 	6815	1.2641	511110
HICKORY TECH CORP	$161.97 	$230.19 	$94.20 	$12.09 	349831.5335		$25.06 	463	3.1058	517110
MCGRAW-HILL COMPANIES	$6,168.33 	$7,046.56 	$2,335.43 	$828.06 	297197.35		$2,246.60 	20755	7.1851	511130
MEDIA GENERAL  -CL A	$678.12 	$1,179.97 	$445.21 	($22.64)	145831.1828		$107.89 	4650	7.1141	511110
MEREDITH CORP	$1,387.73 	$1,727.32 	$573.34 	$103.96 	430303.876		$584.39 	3225	15.1568	511120
VERAMARK TECHNOLOGIES INC	$13.17 	$12.87 	$2.23 	$0.61 	138578.9474	$1.39 	$8.90 	95	0.0437	511210
NEW ULM TELECOM INC	$31.92 	$120.44 	$11.84 	$2.05 	243656.4886		$6.19 	131	10.2534	517110
NEW YORK TIMES CO  -CL A	$2,393.46 	$3,285.74 	$961.78 	$107.70 	322830.1861		$1,054.20 	7414	4.5153	511110
NEWTEK BUSINESS SERVICES INC	$112.72 	$165.02 	$106.21 	$1.44 	398300.3534			283	1.522	518210
SUREWEST COMMUNICATIONS	$243.50 	$603.18 	$105.23 	$3.36 	297676.0391		$59.83 	818	19.6205	517919
SHENANDOAH TELECOMMUN CO	$194.89 	$466.44 	$74.47 	$18.08 	306429.2453		$45.55 	636	8.0071	517210
PERVASIP CORP	$1.45 	$0.21 	$0.95 	($3.41)	160666.6667		$2.37 	9	-2.5915	517110
AT&T INC	$124,280.00 	$268,488.00 	$52,263.00 	$19,864.00 	466184.0279	$1,345.00 	$33,065.00 	266590	18.8877	517110
TELEPHONE & DATA SYSTEMS INC	$4,986.83 	$7,762.52 	$1,922.33 	$143.86 	402163.629		$2,008.97 	12400	36.6949	517210
SPRINT NEXTEL CORP	$32,563.00 	$51,654.00 	$17,492.00 	($3,465.00)	814075		$9,438.00 	40000	4.8681	517210
COVER-ALL TECHNOLOGIES INC	$17.46 	$19.51 	$9.94 	$2.95 	212890.2439	$0.85 	$4.17 	82	0.6081	511210
WARWICK VALLEY TELEPHONE CO	$24.43 	$53.08 	$12.00 	$2.85 	218089.2857		$13.06 	112	6.6282	517110
WESTWOOD ONE INC	$362.55 	$288.27 	$340.60 	($31.26)	241697.3333		$12.31 	1500	-0.2811	512290
WILEY (JOHN) & SONS  -CL A	$1,742.55 	$2,430.14 	$493.18 	$171.89 	341676.6667		$910.85 	5100	16.1075	511120
MICROSOFT CORP	$62,484.00 	$86,113.00 	$9,888.00 	$18,760.00 	702067.4157	$8,714.00 	$25,932.00 	89000	5.3271	511210
ORACLE CORP	$35,622.00 	$73,535.00 	$8,030.00 	$8,547.00 	329833.3333	$4,519.00 	$12,188.00 	108000	7.8485	511210
SUNGARD DATA SYSTEMS INC	$4,992.00 	$12,968.00 	$1,990.00 	($570.00)	248358.209	$370.00 	$1,511.00 	20100		511210
DIRECTV	$24,102.00 	$17,909.00 	$12,105.00 	$2,198.00 	960239.0438		$5,619.00 	25100	-0.24	515210
JOURNAL COMMUNICATIONS INC	$376.76 	$431.77 	$183.06 	$34.38 	144907.3077		$116.05 	2600	3.7737	515120
CABLEVISION SYS CORP  -CL A	$7,231.25 	$8,840.69 	$3,007.88 	$360.95 	398679.5126		$1,703.17 	18138	-21.3308	515210
ADOBE SYSTEMS INC	$3,800.00 	$8,141.15 	$211.43 	$774.68 	416803.7732	$680.33 	$2,308.03 	9117	10.3455	511210
DAILY JOURNAL CORP	$37.58 	$88.92 	$17.48 	$7.67 	178952.381		$8.04 	210	43.929	511110
FISERV INC	$4,133.00 	$8,281.00 	$2,054.00 	$496.00 	217526.3158		$740.00 	19000	21.9809	518210
CARMIKE CINEMAS INC	$491.26 	$454.76 	$411.07 	($12.58)	79685.64477		$17.57 	6165	0.0077	512131
BROADCAST INTERNATIONAL INC	$7.31 	$10.71 	$4.38 	($18.66)	178365.8537	$2.71 	$7.11 	41	-0.2149	517911
CORELOGIC INC	$1,623.27 	$3,219.83 	$1,402.60 	($67.33)	160975.0099			10084	13.371	519130
RENTRAK CORP	$97.09 	$76.18 	$54.15 	($0.77)	229522.4586		$39.71 	423	5.0141	512120
COMVERSE TECHNOLOGY INC	$1,623.43 	$2,813.92 	$632.68 	($132.32)	275157.1186	$253.09 	$942.40 	5900	2.0193	511210
NEWS CORP	$32,778.00 	$54,384.00 	$21,015.00 	$2,539.00 	642705.8824		$6,119.00 	51000	9.5821	515210
COMPUMED INC	$1.76 	$0.74 	$0.74 	($0.38)	176200	$0.01 	$1.25 	10	0.0115	518210
GENERAL COMMUNICATION  -CL A	$651.25 	$1,351.76 	$211.62 	$8.96 	393504.5317	$0.00 	$226.81 	1655	4.2538	517110
CADENCE DESIGN SYSTEMS INC	$935.95 	$1,732.12 	$88.10 	$126.54 	203468.2609	$376.41 	$758.17 	4600	1.0357	511210
LEVEL 3 COMMUNICATIONS INC	$3,651.00 	$8,355.00 	$1,490.00 	($622.00)	663818.1818		$1,373.00 	5500	-0.094	517110
EBIX INC	$132.19 	$303.30 	$29.60 	$59.02 	112118.7447	$13.61 	$45.54 	1179	6.4211	511210
CBS CORP	$14,059.80 	$26,142.60 	$8,985.30 	$724.20 	553971.6312		$2,705.50 	25380	14.4378	515120
ANTS SOFTWARE INC	$6.18 	$29.20 	$5.83 	($42.43)	90941.17647	$3.32 	$16.15 	68	-0.0736	511210
TIGERLOGIC CORP	$13.67 	$40.04 	$1.37 	($2.98)	140927.8351	$5.96 	$14.77 	97	1.2052	511210
MCCLATCHY CO  -CL A	$1,375.23 	$3,136.36 	$645.97 	$36.27 	162307.5652		$347.12 	8473	2.5817	511110
US CELLULAR CORP	$4,177.68 	$5,933.61 	$1,597.91 	$132.32 	467615.9615		$1,796.62 	8934	40.6862	517210
EW SCRIPPS  -CL A	$776.89 	$827.54 	$686.52 	$130.51 	168889.1304			4600	10.0948	511110
BMC SOFTWARE INC	$2,065.30 	$4,485.40 	$323.30 	$456.20 	333112.9032	$176.50 	$1,001.00 	6200	9.3843	511210
UNITRONIX CORP	$0.02 	$0.07 	$0.01 	($0.33)			$0.24 		-0.0145	511210
STUDIO ONE MEDIA INC	$0.21 	$2.87 	$0.38 	($5.33)	7629.62963	$0.01 	$4.82 	27	0.0418	512240
CKX INC	$273.72 	$460.83 	$132.01 	($13.89)	583633.2623		$81.49 	469	2.6405	512110
ODYSSEY PICTURES CORP	$1.20 	$0.07 	$0.43 	$0.05 	401333.3333		$0.58 	3	-0.0511	512120
EMMIS COMMUNICATIONS CP-CL A	$251.31 	$472.48 	$199.98 	($15.56)	205995.082		$12.11 	1220	-5.5137	515112
THOMSON-REUTERS CORP	$13,070.00 	$35,531.00 	$9,598.00 	$909.00 	225734.0242			57900	23.0527	519130
SYMANTEC CORP	$6,190.00 	$12,719.00 	$673.00 	$597.00 	332795.6989	$862.00 	$3,860.00 	18600	5.9736	511210
ZIX CORP	$33.07 	$66.85 	$5.06 	$41.21 	268829.2683	$5.09 	$21.19 	123	0.6979	518210
ELECTRONIC ARTS INC	$3,589.00 	$4,928.00 	$1,383.00 	($276.00)	469457.1615	$1,153.00 	$2,201.00 	7645	7.7098	511210
FISHER COMMUNICATIONS INC	$175.93 	$320.89 	$82.81 	$9.75 	212471.0145		$58.62 	828	18.797	515120
OUTDOOR CHANNEL HLDGS INC	$83.34 	$153.65 	$37.25 	$1.24 	438642.1053	$0.00 	$38.17 	190	5.346	515120
PARAMETRIC TECHNOLOGY CORP	$1,010.05 	$1,307.06 	$261.12 	$24.37 	189965.9583	$201.57 	$611.97 	5317	6.452	511210
NTN BUZZTIME INC	$25.31 	$13.13 	$3.53 	($0.40)	188873.1343		$18.91 	134	0.1544	515120
SAFE TECHNOLOGIES INTL	$0.13 	$0.08 	$0.09 	($0.61)	62500		$0.64 	2	-0.0008	517110
PROGRESS SOFTWARE CORP	$530.33 	$936.82 	$68.35 	$48.57 	336505.7107	$90.64 	$310.09 	1576	15.5198	511210
THQ INC	$665.26 	$774.41 	$197.39 	($136.10)	380147.4286	$79.37 	$278.56 	1750	3.0283	511210
ARI NETWORK SERVICES INC	$21.48 	$19.78 	$3.30 	$0.78 	146149.6599		$14.55 	147	0.6718	519130
ATLANTIC TELE-NETWORK INC	$619.15 	$828.20 	$490.37 	$38.45 	350790.3683			1765	18.4469	517210
USA MOBILITY INC	$233.25 	$230.66 	$73.37 	$77.90 	431951.8519		$75.20 	540	8.3559	517210
SYNOPSYS INC	$1,380.66 	$3,286.54 	$191.73 	$237.06 	205853.7349	$449.23 	$881.99 	6707	14.1446	511210
TIME WARNER INC	$26,888.00 	$66,524.00 	$14,349.00 	$2,578.00 	867354.8387		$6,162.00 	31000	29.9727	515120
ASURE SOFTWARE INC	$10.03 	$5.84 	$2.02 	($1.14)	179160.7143	$1.45 	$7.14 	56	0.883	511210
FIRST DATA CORP	$10,380.40 	$37,544.10 	$6,676.50 	($1,021.80)	423689.7959		$1,579.70 	24500	594300	518210
MEDQUIST INC	$375.24 	$323.92 	$249.57 	$31.05 	57729.23077	$12.81 	$52.58 	6500	-0.8148	518210
AUTHENTIDATE HOLDING CORP	$6.75 	$20.54 	$2.87 	($9.01)	114338.9831	$1.86 	$11.47 	59	0.387	511210
INTRUSION INC	$5.59 	$1.00 	$1.98 	$0.23 	206962.963	$1.40 	$3.31 	27	-0.3246	511210
DATAWATCH CORP	$17.67 	$11.49 	$4.04 	$0.38 	190043.0108	$2.66 	$12.01 	93	0.9554	511210
DIRECT INSITE CORP	$9.05 	$6.71 	$7.93 	$1.03 	238210.5263	$1.75 		38	0.4239	518210
EVERGREEN ENERGY INC	$0.40 	$29.56 	$15.95 	($20.35)	17521.73913	$0.89 		23	-0.578	511210
FLINT TELECOM GROUP INC	$34.06 	$1.68 	$32.50 	($28.87)	4865857.143		$6.95 	7	-0.1356	517919
INFORMATION ARCHITECTS CORP	$0.00 	$0.00 	$0.00 	($0.45)		$0.00 	$0.45 	0	-0.0002	511210
COMPUWARE CORP	$928.93 	$2,038.38 	$238.78 	$107.44 	211312.5569	$69.20 	$489.50 	4396	4.3754	511210
HMS HOLDINGS CORP	$302.87 	$352.91 	$183.86 	$40.09 	174462.5576		$35.81 	1736	11.0725	518210
IAC/INTERACTIVECORP	$1,636.82 	$3,439.55 	$593.82 	$99.36 	511504.6875	$65.10 	$873.80 	3200	27.5092	519130
SAGA COMMUNICATIONS  -CL A	$127.82 	$199.80 	$92.31 	$15.14 	110092.1619			1161	18.8153	515112
PRIMEDIA INC	$232.22 	$212.73 	$54.64 	$18.26 	284930.0614		$111.49 	815	-2.1193	511120
INTUIT INC	$3,455.00 	$5,198.00 	$439.00 	$574.00 	448701.2987	$573.00 	$1,897.00 	7700	8.9881	511210
INNODATA ISOGEN INC	$61.51 	$52.25 	$44.18 	($0.75)	12156.71937	$0.00 	$17.26 	5060	1.5678	518210
LODGENET INTERACTIVE CORP	$452.19 	$444.01 	$255.27 	($11.69)	431070.5434	$0.57 	$91.09 	1049	-4.4581	517410
QUOTEMEDIA INC	$7.81 	$2.63 	$3.11 	($1.95)	156100	$1.22 	$5.54 	50	-0.0439	511210
INCYTE CORP	$169.88 	$489.58 	$155.11 	($31.85)	687765.1822	$123.88 		247	-0.719	517110
UTD ARTISTS THEATRE CIRCUIT	$210.70 	$112.20 	$185.90 	$4.00 	119512.1951		$6.40 	1763		512131
KIWIBOX COM INC	$0.00 	$0.17 	$1.14 	($3.97)	285.7142857	$0.00 		7	-0.0147	519130
MODUSLINK GLOBAL SOLUTIONS	$924.00 	$525.79 	$790.53 	($17.79)	209999.0909	$0.00 	$92.06 	4400	7.2881	519130
SIRIUS XM RADIO INC	$2,816.99 	$7,383.09 	$1,099.64 	$43.06 	1904659.905	$45.39 	$914.86 	1479	0.0528	515112
ASPEN TECHNOLOGY INC	$166.34 	$394.71 	$61.81 	($107.45)	129048.8751	$48.23 	$208.48 	1289	1.5251	511210
CIMETRIX INC	$6.81 	$2.45 	$1.52 	$1.90 	272280	$0.85 	$3.26 	25	0.0119	511210
EASYLINK SERVICES INTL CORP	$81.44 	$104.49 	$14.46 	$17.09 	288804.9645	$7.28 	$47.16 	282	2.1015	519130
FINDEX.COM INC	$1.78 	$0.67 	$0.51 	($0.50)	178100	$0.16 	$1.43 	10	-0.0169	511210
UNILAVA CORP	$5.31 	$4.50 	$2.35 	($1.00)	160818.1818		$3.58 	33	-0.0093	519130
ACI WORLDWIDE INC	$418.42 	$601.53 	$123.70 	$27.20 	196074.9766	$74.08 	$214.73 	2134	7.6826	511210
NATIONAL INSTRUMENTS CORP	$873.22 	$959.68 	$161.18 	$109.12 	165382.5758	$158.15 	$545.86 	5280	9.4722	511210
SXC HEALTH SOLUTIONS CORP	$1,948.39 	$816.31 	$1,831.17 	$64.74 	1602293.586	$12.43 		1216	8.981	511210
READING INTL INC  -CL A	$229.82 	$430.35 	$180.77 	($12.65)	108969.6539		$17.78 	2109	4.9021	512131
LIBERTY MEDIA CAPITAL GROUP	$708.00 	$8,189.00 	$511.00 	$815.00 			$305.00 		33.6953	515120
SINCLAIR BROADCAST GP  -CL A	$767.19 	$1,485.92 	$282.08 	$76.15 	326462.1277		$184.81 	2350	-2.0583	515120
GLOWPOINT INC	$27.55 	$8.36 	$19.62 	($2.66)	252752.2936		$9.35 	109	-0.1784	517919
DISH NETWORK CORP	$12,640.74 	$9,632.15 	$7,386.94 	$984.73 	574579.2727		$2,103.56 	22000	-2.5583	515210
MAKEMUSIC INC	$17.15 	$22.62 	$1.76 	$1.01 	171480	$5.52 	$13.84 	100	3.3078	511210
CINEMARK USA INC  -CL A	$2,141.14 	$3,427.97 	$1,583.36 	$147.39 	97324.72727		$107.02 	22000	5592.9348	512131
ASTEA INTERNATIONAL INC	$21.39 	$14.30 	$10.91 	($1.57)	119474.8603	$3.04 	$9.91 	179	1.364	511210
GSE SYSTEMS INC	$47.21 	$53.61 	$33.90 	($2.25)	190375	$1.60 	$10.97 	248	1.925	511210
SMITH MICRO SOFTWARE INC	$130.50 	$234.89 	$3.73 	$12.35 	237706.7395	$42.76 	$96.61 	549	6.2413	511210
EGAMES INC	$3.60 	$1.66 	$1.46 	($0.34)	277076.9231	$0.93 	$2.67 	13	-0.0473	511210
ADVENT SOFTWARE INC	$283.50 	$490.83 	$70.47 	$24.15 	269744.0533	$51.42 	$158.27 	1051	10.5379	511210
ACCELRYS INC	$80.21 	$363.28 	$21.00 	($20.61)	138284.4828	$22.08 	$68.63 	580	4.4433	511210
CITRIX SYSTEMS INC	$1,874.66 	$3,703.60 	$99.54 	$277.07 	332563.7751	$326.65 	$1,313.28 	5637	13.6167	511210
NUANCE COMMUNICATIONS INC	$1,118.95 	$3,769.70 	$340.03 	($19.10)	183434.0984	$152.07 	$540.34 	6100	7.6945	511210
ADEPT TECHNOLOGY INC	$51.63 	$34.99 	$27.92 	($1.43)	316730.0614	$5.65 	$23.12 	163	2.1058	511210
EDOORWAYS INTERNATIONAL CORP	$0.00 	$1.44 	$0.00 	($0.81)			$0.81 		-0.007	519130
NEW FRONTIER MEDIA INC	$48.71 	$61.47 	$13.49 	($0.73)	295206.0606		$29.39 	165	2.6895	515210
GEOS COMMUNICATIONS INC	$0.08 	$6.80 	$6.70 	($12.22)	2371.428571			35	-0.4828	517919
PAID INC	$7.20 	$3.26 	$4.64 	($3.31)	248103.4483		$5.83 	29	0.0081	518210
CSG SYSTEMS INTL INC	$549.38 	$879.70 	$252.85 	$22.43 	156429.1002	$78.05 	$148.39 	3512	6.9482	518210
PREMIERE GLOBAL SERVICES INC	$441.75 	$541.66 	$179.14 	$4.83 	259854.7059	$14.14 	$194.75 	1700	4.6316	517919
EARTHLINK INC	$622.21 	$1,523.92 	$234.63 	$81.48 	332733.6898		$178.42 	1870	6.9926	519130
IDT CORP	$1,401.45 	$517.80 	$1,110.72 	$20.29 	1167874.167	$8.01 	$230.38 	1200	8.1233	517110
JDA SOFTWARE GROUP INC	$617.21 	$1,113.53 	$233.70 	$17.72 	205736.3333	$72.16 	$234.15 	3000	14.8859	511210
SAPIENT CORP	$863.52 	$623.72 	$587.72 	$43.81 	95786.9107		$189.71 	9015	3.2321	511210
YAHOO INC	$6,324.65 	$14,928.10 	$1,976.66 	$1,231.66 	465047.8677	$1,082.18 	$2,835.00 	13600	9.5949	519130
SYKES ENTERPRISES INC	$1,158.72 	$794.60 	$702.67 	($10.27)	26698.57143		$319.78 	43400	12.4124	518210
SS&C TECHNOLOGIES HLDGS INC	$328.91 	$1,275.73 	$125.20 	$32.41 	235100.0715	$31.44 	$83.13 	1399	11.7758	511210
DATATRAK INTERNATIONAL INC	$7.39 	$2.69 	$1.17 	$0.10 	175976.1905	$0.92 	$6.10 	42	-0.0695	511210
DAEGIS INC	$46.99 	$62.73 	$8.05 	($16.67)		$7.74 	$30.87 			511210
ANSYS INC	$580.24 	$2,126.88 	$56.88 	$153.13 	349539.759	$88.99 	$243.59 	1660	16.6937	511210
FACTSET RESEARCH SYSTEMS INC	$641.06 	$644.61 	$169.21 	$150.21 	155748.0564		$212.88 	4116	10.9162	519130
VERSANT CORP	$15.77 	$39.13 	$1.50 	$1.65 	258459.0164	$3.78 	$11.64 	61	10.7202	511210
PEGASYSTEMS INC	$336.60 	$337.48 	$116.73 	($5.89)	223060.9675	$55.19 	$196.46 	1509	5.2529	511210
PEERLESS SYSTEMS CORP	$6.17 	$14.56 	$1.82 	$4.13 	1233000	$0.00 	$3.38 	5	3.5098	511210
BITSTREAM INC  -CL A	$23.14 	$21.82 	$10.64 	($3.24)	156378.3784	$7.18 	$14.65 	148	1.5653	511210
SEACHANGE INTERNATIONAL INC	$216.73 	$305.19 	$97.79 	$29.47 	180305.3245	$48.40 	$96.41 	1202	6.5691	511210
PRIMUS TELECOMM GROUP INC	$764.95 	$514.46 	$488.61 	($19.09)	457504.1866		$198.20 	1672	8.1002	517110
GRAPHON CORP	$7.52 	$3.35 	$0.70 	($0.84)	227787.8788	$2.47 	$7.06 	33	-0.0005	511210
MONSTER WORLDWIDE INC	$919.19 	$1,978.00 	$856.90 	($32.36)	157125.812			5850	9.319	519130
ERESEARCHTECHNOLOGY INC	$140.99 	$214.84 	$55.92 	$9.87 	217916.5379	$5.09 	$45.82 	647	3.0827	511210
EPIQ SYSTEMS INC	$247.17 	$478.22 	$100.69 	$13.93 	449392.7273		$84.06 	550	9.1848	511210
DELTEK INC	$279.65 	$392.12 	$96.74 	($4.92)	170517.0732	$52.59 	$146.60 	1640	0.7469	511210
TAKE-TWO INTERACTIVE SFTWR	$1,136.88 	$971.66 	$685.45 	$48.46 	536768.6497	$69.58 	$356.14 	2118	7.1445	511210
SIMULATIONS PLUS INC	$10.71 	$14.66 	$1.86 	$2.16 	267800	$0.97 	$5.30 	40	0.824	511210
8X8 INC	$70.16 	$26.58 	$21.29 	$6.49 	276232.2835	$4.82 	$40.67 	254	0.2543	517110
ONSTREAM MEDIA CORP	$16.69 	$20.71 	$5.57 	($9.28)	166940		$12.56 	100	1.3981	519130
QAD INC	$220.01 	$213.09 	$87.04 	$2.71 	162971.8519	$34.58 	$119.42 	1350	3.5143	511210
GLOBECOMM SYSTEMS INC	$227.82 	$240.71 	$169.40 	$7.90 	547637.0192	$3.34 	$41.34 	416	7.7416	517919
VIRTRA SYSTEMS INC	$6.60 	$9.29 	$1.79 	$1.02 	164875		$2.63 	40	0.0556	511210
RENAISSANCE LEARNING INC	$130.09 	$53.79 	$24.92 	$23.89 	145681.9709	$16.37 	$68.51 	893	-1.197	511210
XO HOLDINGS INC -CL A	$1,529.24 	$1,133.43 	$869.37 	($11.84)	418511.4943		$469.12 	3654	-1.0545	517110
PERVASIVE SOFTWARE INC	$47.21 	$94.57 	$4.67 	$4.07 	206170.3057	$11.78 	$35.61 	229	4.8363	511210
ABOVENET INC	$409.70 	$807.80 	$142.80 	$69.40 	592052.0231		$97.20 	692	21.4156	517919
REALNETWORKS INC	$401.73 	$565.44 	$121.32 	$5.04 	262914.267	$100.96 	$271.78 	1528	3.033	511210
MDU COMMUNICATIONS INTL INC	$25.93 	$28.85 	$12.12 	($8.37)	192096.2963		$12.45 	135	0.0084	517410
INCONTACT INC	$82.16 	$40.59 	$41.15 	($1.06)	248954.5455	$5.27 	$36.51 	330	0.5237	517919
VERISIGN INC	$680.58 	$2,444.01 	$89.02 	$830.97 	649406.4886	$53.66 	$274.76 	1048	3.916	519130
AMBIENT CORP	$20.36 	$10.57 	$11.64 	($3.19)	345050.8475	$6.07 	$11.55 	59	0.0037	517919
DIGERATI TECHNOLOGIES INC	$20.94 	$0.90 	$19.38 	($0.40)	1903545.455		$1.67 	11	-0.0189	517110
AMERICAN TOWER CORP	$1,985.34 	$10,368.01 	$510.46 	$372.94 	1148256.218		$229.77 	1729	8.7827	517410
NW TECH CAPITAL INC	$0.15 	$0.14 	$0.09 	$1.18 			$0.31 		0	517110
MANGO CAPITAL INC	$0.00 	$3.79 	$0.00 	($0.44)	0	$0.00 	$0.49 	8	0.2291	511210
NETSOL TECHNOLOGIES INC	$36.78 	$72.14 	$11.57 	$1.39 	49502.01884		$10.71 	743	0.966	511210
MULTIBAND CORP	$265.59 	$111.67 	$186.29 	$14.69 	82946.28357		$57.17 	3202	0.5247	515210
SONIC FOUNDRY INC	$20.48 	$18.27 	$4.52 	($0.12)	227511.1111	$3.09 	$15.14 	90	1.9618	511210
INNOTRAC CORP	$79.62 	$32.79 	$43.05 	($2.69)	63695.2		$35.61 	1250	1.6561	518210
MEDISWIPE INC	$0.03 	$0.24 	$0.14 	($0.10)	10666.66667			3	0.0007	511210
ULTIMATE SOFTWARE GROUP INC	$227.81 	$249.56 	$87.36 	$2.16 	200891.5344	$42.22 	$120.32 	1134	2.8698	511210
INTERPLAY ENTERTAINMENT CORP	$1.38 	$0.29 	$0.18 	($1.03)	125454.5455	$0.51 	$2.13 	11	-0.0232	511210
NEWMARKET TECHNOLOGY INC	$118.32 	$71.93 	$101.04 	$2.59 	236632	$0.00 	$11.76 	500	3.6842	517919
MICROSTRATEGY INC	$454.58 	$381.57 	$93.29 	$43.79 	175039.2761	$50.57 	$297.90 	2597	14.0186	511210
CUMULUS MEDIA INC	$263.33 	$319.64 	$161.86 	$29.40 	113603.5375		$18.52 	2318	-8.1278	515112
COSTAR GROUP INC	$226.26 	$439.65 	$72.26 	$13.29 	162894.1685	$17.35 	$113.37 	1389	18.3653	517110
ACTUATE CORP	$123.67 	$195.63 	$18.77 	$10.65 	217340.949	$24.85 	$88.00 	569	2.0154	511210
CONVERSION SERVICES INTL INC	$17.72 	$3.75 	$12.81 	($0.77)	253100		$5.03 	70	-0.0355	518210
SCIENTIFIC LEARNING CORP	$43.38 	$31.80 	$10.24 	($9.69)	204641.5094	$7.93 	$37.56 	212	0.2317	511210
LEAP WIRELESS INTL INC	$2,697.20 	$4,834.82 	$1,430.13 	($871.95)	618340.8987		$774.49 	4362	11.618	517210
EBAY INC	$9,156.27 	$22,003.76 	$1,991.93 	$1,800.96 	517303.6158	$908.43 	$4,326.87 	17700	11.7917	517919
ALLBRITTON COMMUNICATIONS CO	$201.20 	$132.36 	$109.14 	$25.17 	247478.4748		$6.18 	813	-19435.8	515120
GEOEYE INC	$330.35 	$1,269.09 	$104.01 	$24.64 	456908.7137	$1.65 	$56.28 	723	20.0881	517410
THEGLOBE.COM INC	$0.00 	$0.01 	$0.00 	($0.06)			$0.35 		-0.0071	519130
WEBMD HEALTH CORP	$534.52 	$942.20 	$187.83 	$54.07 	327925.7669		$206.37 	1630	12.5658	519130
SPINE PAIN MANAGEMENT INC	$3.39 	$3.33 	$1.43 	$1.10 	847500	$0.00 	$0.86 	4	0.1019	519130
COMPUTER SERVICES INC	$163.78 	$136.12 	$109.67 	$24.02 	178599.7819			917	7.3174	518210
PARK CITY GROUP INC	$10.88 	$12.05 	$4.43 	$0.18 	209134.6154		$4.79 	52	0.3906	511210
INTERNET AMERICA INC	$7.42 	$6.59 	$4.90 	($0.98)	190256.4103		$2.32 	39	0.0965	519130
INFOSPACE INC	$246.84 	$361.74 	$154.92 	$13.70 	1418591.954	$6.80 	$78.69 	174	8.6119	519130
CONCUR TECHNOLOGIES INC	$292.94 	$1,043.75 	$65.12 	$20.58 	244113.3333	$28.00 	$162.80 	1200	12.1954	511210
US DATAWORKS INC	$7.28 	$5.78 	$2.50 	($0.61)	214000	$0.97 	$4.74 	34	0.0002	511210
SPANISH BROADCASTING SYS INC	$136.12 	$474.82 	$97.13 	$15.04 	273887.3239			497	-0.7459	51311
ENTERCOM COMMUNICATIONS CORP	$391.45 	$901.03 	$258.90 	$46.44 	165028.2462		$21.95 	2372	4.4832	515112
BOTTOMLINE TECHNOLOGIES INC	$157.99 	$269.38 	$64.32 	$3.95 	211499.3307	$18.86 	$68.76 	747	6.9379	511210
AUTOBYTEL INC	$51.53 	$37.83 	$31.79 	($8.56)	433058.8235		$29.63 	119	0.5057	519130
