datadate	Fiscal Year	tic	Company Name	Nation	NAICS Sector	Total Assets	Return on Assets	Net Income	Cost of Goods Sold	Total Revenue	Expense: R&D	Expense: Admin, Selling	# Employees	Book Value per Share	log(R&D)	log(assets)	Sector Dummy	Interaction	log(cgs)	log(revenue)
20100630	2010	MSFT	MICROSOFT CORP	USA	Information	$86,113.00 	0.217853286	$18,760.00 	$9,888.00 	$62,484.00 	$8,714.00 	$25,932.00 	89000	5.3271	9.072686207	11.36341567	1	11.36341567	9.19907718	11.0426658
20110531	2010	ORCL	ORACLE CORP	USA	Information	$73,535.00 	0.116230367	$8,547.00 	$8,030.00 	$35,622.00 	$4,519.00 	$12,188.00 	108000	7.8485	8.416046009	11.20551676	1	11.20551676	8.990939807	10.4807187
20101231	2010	1027B	SUNGARD DATA SYSTEMS INC	USA	Information	$12,968.00 	-0.043954349	($570.00)	$1,990.00 	$4,992.00 	$370.00 	$1,511.00 	20100		5.913503006	9.470240063	1	9.470240063	7.595889918	8.51559191
20101231	2010	REFR	RESEARCH FRONTIERS INC	USA	Prof Services	$7.79 	-0.497752087	($3.88)	$4.62 	$0.77 	$1.41 		12	0.4087	0.340037303	2.052198805	0	0	1.529311868	-0.263965546
20101130	2010	ADBE	ADOBE SYSTEMS INC	USA	Information	$8,141.15 	0.095156113	$774.68 	$211.43 	$3,800.00 	$680.33 	$2,308.03 	9117	10.3455	6.522580914	9.004686481	1	9.004686481	5.353903434	8.242756346
20101231	2010	3BCST	BROADCAST INTERNATIONAL INC	USA	Information	$10.71 	-1.742670401	($18.66)	$4.38 	$7.31 	$2.71 	$7.11 	41	-0.2149	0.99768637	2.371177885	1	2.371177885	1.476591999	1.989653586
20101231	2010	CERN	CERNER CORP	USA	Prof Services	$2,422.79 	0.097933374	$237.27 	$964.11 	$1,850.22 	$203.86 	$335.19 	8200	22.8895	5.317418768	7.792675048	0	0	6.871203322	7.523060911
20110131	2010	CMVT	COMVERSE TECHNOLOGY INC	USA	Information	$2,813.92 	-0.047024047	($132.32)	$632.68 	$1,623.43 	$253.09 	$942.40 	5900	2.0193	5.533741206	7.942334519	1	7.942334519	6.449960023	7.392294626
20100930	2010	CMPD	COMPUMED INC	USA	Information	$0.74 	-0.510121457	($0.38)	$0.74 	$1.76 	$0.01 	$1.25 	10	0.0115	-5.298317367	-0.299754654	1	-0.299754654	-0.303811454	0.566449528
20101231	2010	CDNS	CADENCE DESIGN SYSTEMS INC	USA	Information	$1,732.12 	0.073053999	$126.54 	$88.10 	$935.95 	$376.41 	$758.17 	4600	1.0357	5.930686945	7.457099062	1	7.457099062	4.478415778	6.84156633
20101231	2010	EBIX	EBIX INC	USA	Information	$303.30 	0.194589515	$59.02 	$29.60 	$132.19 	$13.61 	$45.54 	1179	6.4211	2.610584366	5.714722415	1	5.714722415	3.387740577	4.884225152
20101231	2010	TEF	TELEFONICA SA	ESP	Information	$172,198.45 	0.078343285	$13,490.59 	$58,346.45 	$81,762.25 	$1,057.54 		285106	21.5881	6.96369979	12.05640286	1	12.05640286	10.97415375	11.31157095
20100930	2010	FICO	FAIR ISAAC CORP	USA	Prof Services	$1,123.72 	0.057360579	$64.46 	$160.92 	$605.64 	$73.58 	$298.84 	2157	11.908	4.29838684	7.02439633	0	0	5.080876275	6.406290704
20101231	2010	3ANTS	ANTS SOFTWARE INC	USA	Information	$29.20 	-1.453013699	($42.43)	$5.83 	$6.18 	$3.32 	$16.15 	68	-0.0736	1.200867989	3.374168709	1	3.374168709	1.762845459	1.821965311
20110331	2010	TIGR	TIGERLOGIC CORP	USA	Information	$40.04 	-0.074404316	($2.98)	$1.37 	$13.67 	$5.96 	$14.77 	97	1.2052	1.784399115	3.689829003	1	3.689829003	0.312618558	2.615203651
20100930	2010	LDR	LANDAUER INC	USA	Prof Services	$150.70 	0.157097733	$23.67 	$37.80 	$114.37 	$2.29 	$33.22 	540	8.3349	0.826366024	5.015264563	0	0	3.632229734	4.739412576
20110331	2010	BMC	BMC SOFTWARE INC	USA	Information	$4,485.40 	0.101707763	$456.20 	$323.30 	$2,065.30 	$176.50 	$1,001.00 	6200	9.3843	5.173320876	8.408582957	1	8.408582957	5.778580685	7.633030773
20110331	2010	VOD	VODAFONE GROUP PLC	GBR	Information	$242,677.86 	0.052691441	$12,787.05 	$36,810.90 	$73,634.64 	$460.58 	$13,427.36 	83862	27.2422	6.132482223	12.39949015	1	12.39949015	10.51354933	11.20687089
20100630	2010	3SOMD	STUDIO ONE MEDIA INC	USA	Information	$2.87 	-1.856545961	($5.33)	$0.38 	$0.21 	$0.01 	$4.82 	27	0.0418	-5.11599581	1.055008651	1	1.055008651	-0.95972029	-1.57987911
20101231	2010	COMT.1	COMAMTECH INC -OLD	CAN	Information	$8.91 	-0.37432675	($3.34)	$0.03 	$1.26 	$0.83 	$4.43 	2	3.9299	-0.181521877	2.187398683	1	2.187398683	-3.688879454	0.232697764
20110331	2010	SYMC	SYMANTEC CORP	USA	Information	$12,719.00 	0.046937652	$597.00 	$673.00 	$6,190.00 	$862.00 	$3,860.00 	18600	5.9736	6.759255271	9.450852218	1	9.450852218	6.51174533	8.730690366
20101231	2010	ZIXI	ZIX CORP	USA	Information	$66.85 	0.616481182	$41.21 	$5.06 	$33.07 	$5.09 	$21.19 	123	0.6979	1.627081348	4.202481221	1	4.202481221	1.621761662	3.498505564
20110331	2010	ERTS	ELECTRONIC ARTS INC	USA	Information	$4,928.00 	-0.056006494	($276.00)	$1,383.00 	$3,589.00 	$1,153.00 	$2,201.00 	7645	7.7098	7.05012252	8.502688505	1	8.502688505	7.232010332	8.185628891
20100930	2010	PMTC	PARAMETRIC TECHNOLOGY CORP	USA	Information	$1,307.06 	0.018643311	$24.37 	$261.12 	$1,010.05 	$201.57 	$611.97 	5317	6.452	5.306121832	7.17553868	1	7.17553868	5.564972412	6.917754124
20101231	2010	TI	TELECOM ITALIA SPA - NEW	ITA	Information	$118,267.92 	0.035015876	$4,141.26 	$21,437.40 	$36,922.32 	$926.18 		84129	19.8424	6.831064281	11.68070787	1	11.68070787	9.972892153	10.5165715
20100930	2010	ISYS	INTEGRAL SYSTEMS INC	USA	Prof Services	$217.82 	-0.010999858	($2.40)	$102.14 	$177.90 	$10.11 	$69.49 	690	6.6312	2.31332719	5.383673625	0	0	4.626383582	5.181193489
20101130	2010	PRGS	PROGRESS SOFTWARE CORP	USA	Information	$936.82 	0.051846507	$48.57 	$68.35 	$530.33 	$90.64 	$310.09 	1576	15.5198	4.506928714	6.842494364	1	6.842494364	4.224700084	6.273505111
20100630	2010	MEDW	MEDIWARE INFORMATION SYSTEMS	USA	Prof Services	$69.42 	0.046701239	$3.24 	$13.90 	$47.62 	$4.92 	$22.40 	275	5.8617	1.592495192	4.24017501	0	0	2.63188884	3.863168839
20110331	2010	THQI	THQ INC	USA	Information	$774.41 	-0.17574525	($136.10)	$197.39 	$665.26 	$79.37 	$278.56 	1750	3.0283	4.374170859	6.652094993	1	6.652094993	5.285201731	6.500174935
20101031	2010	SNPS	SYNOPSYS INC	USA	Information	$3,286.54 	0.07213146	$237.06 	$191.73 	$1,380.66 	$449.23 	$881.99 	6707	14.1446	6.10753278	8.097590923	1	8.097590923	5.256072485	7.230317649
20101231	2010	ASUR	ASURE SOFTWARE INC	USA	Information	$5.84 	-0.194825223	($1.14)	$2.02 	$10.03 	$1.45 	$7.14 	56	0.883	0.368109322	1.764045631	1	1.764045631	0.704087121	2.30587966
20101231	2010	MEDQ	MEDQUIST INC	USA	Information	$323.92 	0.095860681	$31.05 	$249.57 	$375.24 	$12.81 	$52.58 	6500	-0.8148	2.550460281	5.780490397	1	5.780490397	5.519743444	5.927565821
20100630	2010	ADAT	AUTHENTIDATE HOLDING CORP	USA	Information	$20.54 	-0.438327492	($9.01)	$2.87 	$6.75 	$1.86 	$11.47 	59	0.387	0.622724716	3.022568928	1	3.022568928	1.053266187	1.908949737
20101231	2010	3INTZ	INTRUSION INC	USA	Information	$1.00 	0.225548902	$0.23 	$1.98 	$5.59 	$1.40 	$3.31 	27	-0.3246	0.332894415	0.001998003	1	0.001998003	0.685115009	1.720621441
20100930	2010	DWCH	DATAWATCH CORP	USA	Information	$11.49 	0.033080874	$0.38 	$4.04 	$17.67 	$2.66 	$12.01 	93	0.9554	0.97757396	2.441215961	1	2.441215961	1.396492186	2.872094633
20101231	2010	MGIC	MAGIC SOFTWARE ENTERPRISES	ISR	Information	$111.95 	0.083742742	$9.38 	$46.88 	$88.58 	$2.07 	$27.79 	678	2.4747	0.728514324	4.718052343	1	4.718052343	3.847633807	4.48388352
20101231	2010	3DIRI	DIRECT INSITE CORP	USA	Information	$6.71 	0.154064131	$1.03 	$7.93 	$9.05 	$1.75 		38	0.4239	0.561328606	1.902853517	1	1.902853517	2.070400797	2.202985728
20101231	2010	EEE	EVERGREEN ENERGY INC	USA	Information	$29.56 	-0.688341566	($20.35)	$15.95 	$0.40 	$0.89 		23	-0.578	-0.118783536	3.386354435	1	3.386354435	2.769208014	-0.908818717
20110331	2010	CPWR	COMPUWARE CORP	USA	Information	$2,038.38 	0.052709092	$107.44 	$238.78 	$928.93 	$69.20 	$489.50 	4396	4.3754	4.237000863	7.619909182	1	7.619909182	5.47555519	6.834033386
20101231	2010	IACI	IAC/INTERACTIVECORP	USA	Information	$3,439.55 	0.028887176	$99.36 	$593.82 	$1,636.82 	$65.10 	$873.80 	3200	27.5092	4.175878465	8.143097091	1	8.143097091	6.386569507	7.400507559
20101231	2010	3APNT	APPLIED NANOTECH HOLDINGS	USA	Prof Services	$3.84 	0.106919875	$0.41 	$7.56 	$8.04 	$2.62 		28	0.0074	0.961264098	1.346513491	0	0	2.022474286	2.084802148
20101231	2010	SCON	SUPERCONDUCTOR TECHNOLOGIES	USA	Prof Services	$12.57 	-0.952183945	($11.97)	$8.04 	$8.55 	$5.07 	$11.75 	79	0.4003	1.622748927	2.531233465	0	0	2.084553454	2.145580344
20100731	2010	INTU	INTUIT INC	USA	Information	$5,198.00 	0.110427087	$574.00 	$439.00 	$3,455.00 	$573.00 	$1,897.00 	7700	8.9881	6.350885717	8.556029215	1	8.556029215	6.084499413	8.147577736
20101231	2010	PGSVY	PGS-PETROLEUM GEO-SERVICES	NOR	Prof Services	$3,001.51 	-0.002534394	($7.61)	$594.04 	$1,135.13 	$21.79 	$77.81 	2090	7.9252	3.081497041	8.006869775	0	0	6.386944974	7.034505985
20101231	2010	3ATTUF	ATTUNITY LTD	ISR	Information	$10.71 	-0.14058851	($1.51)	$0.74 	$10.08 	$2.48 	$8.17 	49	0.0227	0.909064687	2.370710922	1	2.370710922	-0.305167387	2.310057108
20101231	2010	SPNS	SAPIENS INTERNATIONAL CORP	ISR	Information	$55.07 	0.111714395	$6.15 	$23.27 	$52.24 	$3.29 	$15.60 	361	1.5407	1.191799003	4.008586944	1	4.008586944	3.147250921	3.955752768
20100930	2010	ARWR	ARROWHEAD RESEARCH CORP	USA	Prof Services	$12.36 	-0.467341157	($5.77)	$3.96 	$0.62 	$1.11 	$4.81 	18	0.1261	0.105260511	2.514060839	0	0	1.375991468	-0.478035801
20101231	2010	LNET	LODGENET INTERACTIVE CORP	USA	Information	$444.01 	-0.026317212	($11.69)	$255.27 	$452.19 	$0.57 	$91.09 	1049	-4.4581	-0.567395975	6.095838076	1	6.095838076	5.542325726	6.11410908
20101231	2010	QMCI	QUOTEMEDIA INC	USA	Information	$2.63 	-0.739642721	($1.95)	$3.11 	$7.81 	$1.22 	$5.54 	50	-0.0439	0.202124184	0.967364002	1	0.967364002	1.133013715	2.054764554
20101231	2010	INCY	INCYTE CORP	USA	Information	$489.58 	-0.065047459	($31.85)	$155.11 	$169.88 	$123.88 		247	-0.719	4.819313355	6.193549923	1	6.193549923	5.044121649	5.135080532
20101231	2010	FALC	FALCONSTOR SOFTWARE INC	USA	Prof Services	$76.55 	-0.462159514	($35.38)	$16.88 	$82.84 	$25.85 	$77.94 	501	0.8656	3.252271916	4.337878803	0	0	2.826010999	4.416959321
20101231	2010	SIRI	SIRIUS XM RADIO INC	USA	Information	$7,383.09 	0.005831572	$43.06 	$1,099.64 	$2,816.99 	$45.39 	$914.86 	1479	0.0528	3.815291817	8.906946987	1	8.906946987	7.002739042	7.943424928
20100630	2010	AZPN	ASPEN TECHNOLOGY INC	USA	Information	$394.71 	-0.272210442	($107.45)	$61.81 	$166.34 	$48.23 	$208.48 	1289	1.5251	3.875939765	5.978158919	1	5.978158919	4.124065164	5.114057933
20101231	2010	3CMXX	CIMETRIX INC	USA	Information	$2.45 	0.777460188	$1.90 	$1.52 	$6.81 	$0.85 	$3.26 	25	0.0119	-0.167235919	0.895679778	1	0.895679778	0.416075287	1.917951495
20100731	2010	ESIC	EASYLINK SERVICES INTL CORP	USA	Information	$104.49 	0.163591295	$17.09 	$14.46 	$81.44 	$7.28 	$47.16 	282	2.1015	1.984443813	4.649053091	1	4.649053091	2.67152452	4.399903389
20101231	2010	3FIND	FINDEX.COM INC	USA	Information	$0.67 	-0.73880597	($0.50)	$0.51 	$1.78 	$0.16 	$1.43 	10	-0.0169	-1.814005078	-0.400477567	1	-0.400477567	-0.679244275	0.577175004
20101231	2010	ACIW	ACI WORLDWIDE INC	USA	Information	$601.53 	0.04520979	$27.20 	$123.70 	$418.42 	$74.08 	$214.73 	2134	7.6826	4.305091593	6.399474747	1	6.399474747	4.817859279	6.036495273
20101231	2010	NATI	NATIONAL INSTRUMENTS CORP	USA	Information	$959.68 	0.113700163	$109.12 	$161.18 	$873.22 	$158.15 	$545.86 	5280	9.4722	5.063537627	6.86660198	1	6.86660198	5.082540366	6.772187529
20101231	2010	SXCI	SXC HEALTH SOLUTIONS CORP	USA	Information	$816.31 	0.079302078	$64.74 	$1,831.17 	$1,948.39 	$12.43 		1216	8.981	2.519951992	6.70479296	1	6.70479296	7.512711478	7.574758156
20101231	2010	3DVNTF	DIVERSINET CORP	CAN	Information	$12.77 	0.146224937	$1.87 	$0.02 	$4.93 	$3.11 	$6.78 	36	0.2842	1.135265606	2.546942041	1	2.546942041	-3.772261063	1.595744585
20101231	2010	MMUS	MAKEMUSIC INC	USA	Information	$22.62 	0.044737191	$1.01 	$1.76 	$17.15 	$5.52 	$13.84 	100	3.3078	1.709102236	3.118878678	1	3.118878678	0.567583958	2.841881549
20101231	2010	3CICN	CICERO INC	USA	Prof Services	$4.76 	-0.096408318	($0.46)	$1.04 	$2.98 	$0.88 	$4.11 	31	-0.1743	-0.132389188	1.56045773	0	0	0.035367144	1.090580117
20101231	2010	ATEA	ASTEA INTERNATIONAL INC	USA	Information	$14.30 	-0.10979021	($1.57)	$10.91 	$21.39 	$3.04 	$9.91 	179	1.364	1.112186409	2.660259537	1	2.660259537	2.3896798	3.062736502
20101231	2010	GVP	GSE SYSTEMS INC	USA	Information	$53.61 	-0.041947999	($2.25)	$33.90 	$47.21 	$1.60 	$10.97 	248	1.925	0.470003629	3.981810228	1	3.981810228	3.523503506	3.854669278
20101231	2010	SMSI	SMITH MICRO SOFTWARE INC	USA	Information	$234.89 	0.052560326	$12.35 	$3.73 	$130.50 	$42.76 	$96.61 	549	6.2413	3.7555797	5.459125834	1	5.459125834	1.316140101	4.87138089
20100630	2010	EGAM	EGAMES INC	USA	Information	$1.66 	-0.206979543	($0.34)	$1.46 	$3.60 	$0.93 	$2.67 	13	-0.0473	-0.071496002	0.508021696	1	0.508021696	0.379121133	1.281489247
20101231	2010	KKPNY	KONINKLIJKE KPN NV	NLD	Information	$30,169.73 	0.078858259	$2,379.13 	$10,555.49 	$17,777.81 	$108.81 			2.9531	4.68956648	10.31459422	1	10.31459422	9.264401383	9.785706104
20101231	2010	TLK	TELEKOMUNIKASI INDONESIA	IDN	Information	$11,243.00 	0.115627502	$1,300.00 	$3,003.00 	$7,735.00 	$1.00 	$550.00 	26847	10.1803	0	9.327500992	1	9.327500992	8.007367068	8.953510763
20101231	2010	ADVS	ADVENT SOFTWARE INC	USA	Information	$490.83 	0.049208885	$24.15 	$70.47 	$283.50 	$51.42 	$158.27 	1051	10.5379	3.939949408	6.196089686	1	6.196089686	4.255215468	5.647215651
20100630	2010	PRXL	PAREXEL INTERNATIONAL CORP	USA	Prof Services	$1,220.71 	0.034031015	$41.54 	$909.40 	$1,335.88 	$21.00 	$263.13 	9720	7.5222	3.044522438	7.107187936	0	0	6.81278834	7.197341787
20101231	2010	ACCL	ACCELRYS INC	USA	Information	$363.28 	-0.056727281	($20.61)	$21.00 	$80.21 	$22.08 	$68.63 	580	4.4433	3.094672221	5.895179392	1	5.895179392	3.04437957	4.384585857
20101231	2010	CTXS	CITRIX SYSTEMS INC	USA	Information	$3,703.60 	0.074809645	$277.07 	$99.54 	$1,874.66 	$326.65 	$1,313.28 	5637	13.6167	5.788880077	8.217060599	1	8.217060599	4.60056962	7.536183656
20100930	2010	NUAN	NUANCE COMMUNICATIONS INC	USA	Information	$3,769.70 	-0.005066452	($19.10)	$340.03 	$1,118.95 	$152.07 	$540.34 	6100	7.6945	5.024347517	8.234750436	1	8.234750436	5.829042672	7.020144237
20100630	2010	ADEP	ADEPT TECHNOLOGY INC	USA	Information	$34.99 	-0.040809328	($1.43)	$27.92 	$51.63 	$5.65 	$23.12 	163	2.1058	1.7313015	3.555119464	1	3.555119464	3.329414909	3.944044792
20100630	2010	OTEX	OPEN TEXT CORP	CAN	Information	$1,714.02 	0.051080965	$87.55 	$236.06 	$912.02 	$129.38 	$410.88 	3861	15.6803	4.862738352	7.446599101	1	7.446599101	5.464081774	6.815665209
20101231	2010	PPDI	PHARMACEUTICAL PROD DEV INC	USA	Prof Services	$1,992.05 	0.06226814	$124.04 	$763.29 	$1,470.57 	$16.73 	$454.69 	11000	10.7544	2.817382818	7.59691753	0	0	6.637640658	7.29340536
20101231	2010	NICE	NICE SYSTEMS LTD	ISR	Prof Services	$1,534.42 	0.03174298	$48.71 	$231.17 	$689.45 	$97.08 	$346.86 	2794	18.3131	4.575566283	7.335906435	0	0	5.443144719	6.535895629
20101231	2010	DGIT	DG FASTCHANNEL INC	USA	Prof Services	$520.00 	0.07993977	$41.57 	$78.96 	$247.53 	$10.60 	$57.89 	897	17.7964	2.360948336	6.253836504	0	0	4.368979388	5.511523707
20101231	2010	CSGS	CSG SYSTEMS INTL INC	USA	Information	$879.70 	0.02549625	$22.43 	$252.85 	$549.38 	$78.05 	$148.39 	3512	6.9482	4.357349647	6.779578667	1	6.779578667	5.532796428	6.308788549
20101231	2010	PGI	PREMIERE GLOBAL SERVICES INC	USA	Information	$541.66 	0.008918928	$4.83 	$179.14 	$441.75 	$14.14 	$194.75 	1700	4.6316	2.648724735	6.29463296	1	6.29463296	5.188156459	6.090750902
20101231	2010	VTRO	VERTRO INC	USA	Prof Services	$11.56 	0.247210449	$2.86 	$1.83 	$35.89 	$1.84 	$32.79 	49	0.6749	0.607589292	2.447637365	0	0	0.602675277	3.580570151
20100731	2010	IDT	IDT CORP	USA	Information	$517.80 	0.039185392	$20.29 	$1,110.72 	$1,401.45 	$8.01 	$230.38 	1200	8.1233	2.080441042	6.249579411	1	6.249579411	7.012766434	7.24526198
20101231	2010	JDAS	JDA SOFTWARE GROUP INC	USA	Information	$1,113.53 	0.015911589	$17.72 	$233.70 	$617.21 	$72.16 	$234.15 	3000	14.8859	4.278858159	7.015288632	1	7.015288632	5.454051078	6.425207702
20101231	2010	CIMT	CIMATRON LTD	ISR	Information	$34.90 	0.045586086	$1.59 	$5.24 	$36.07 	$6.01 	$27.38 	280	1.9264	1.794090085	3.552515482	1	3.552515482	1.656321498	3.585572384
20101231	2010	YHOO	YAHOO INC	USA	Information	$14,928.10 	0.082506325	$1,231.66 	$1,976.66 	$6,324.65 	$1,082.18 	$2,835.00 	13600	9.5949	6.986729108	9.61100089	1	9.61100089	7.589164842	8.752210134
20110131	2010	STRM	STREAMLINE HEALTH SOLUTIONS	USA	Prof Services	$16.02 	-0.184264752	($2.95)	$7.27 	$17.61 	$1.76 	$8.17 	92	0.669	0.565313809	2.773525783	0	0	1.983343552	2.868239753
20101231	2010	FCN	FTI CONSULTING INC	USA	Prof Services	$2,414.36 	0.029776019	$71.89 	$784.48 	$1,401.46 	$25.30 	$341.31 	3527	25.2973	3.230804396	7.789189106	0	0	6.665015979	7.245270543
20101231	2010	SSNC	SS&C TECHNOLOGIES HLDGS INC	USA	Information	$1,275.73 	0.025407494	$32.41 	$125.20 	$328.91 	$31.44 	$83.13 	1399	11.7758	3.448144579	7.151270707	1	7.151270707	4.829944407	5.795768955
20101231	2010	3APVS	APPLIED VISUAL SCIENCES INC	USA	Prof Services	$0.76 	-4.821664465	($3.65)	$0.05 	$0.11 	$0.16 	$4.60 	21	-0.1236	-1.851509474	-0.278392026	0	0	-3.101092789	-2.207274913
20101231	2010	DATA	DATATRAK INTERNATIONAL INC	USA	Information	$2.69 	0.037588389	$0.10 	$1.17 	$7.39 	$0.92 	$6.10 	42	-0.0695	-0.085557888	0.98842533	1	0.98842533	0.157858085	2.000263044
20110430	2010	DAEG	DAEGIS INC	USA	Information	$62.73 	-0.265645424	($16.67)	$8.05 	$46.99 	$7.74 	$30.87 			2.045884758	4.138903565	1	4.138903565	2.085796307	3.849998654
20101231	2010	ANSS	ANSYS INC	USA	Information	$2,126.88 	0.071998556	$153.13 	$56.88 	$580.24 	$88.99 	$243.59 	1660	16.6937	4.488524004	7.662409515	1	7.662409515	4.040978947	6.363434917
20101231	2010	BVSN	BROADVISION INC	USA	Prof Services	$68.15 	-0.042317173	($2.88)	$6.19 	$21.82 	$7.30 	$18.87 	169	12.1278	1.987326253	4.221740505	0	0	1.822773523	3.082689482
