Sales (Dollars)	Volume (Gallons)	Washes	DayWeek	Price (cents)	Weekend
1586	2567	319	sat	136.9	1
2293	3682	237	mon	136.9	0
2381	3476	454	tue	136.9	0
2957	4352	267	wed	136.9	0
2533	3829	304	thu	136.9	0
2721	3772	293	fri	136.9	0
2079	3826	120	mon	136.9	0
2170	3169	86	tue	136.9	0
2174	3737	256	wed	136.9	0
2240	3612	170	thu	136.9	0
2489	3749	74	fri	136.9	0
1849	2511	95	sat	135.9	1
2403	4028	324	mon	135.9	0
2477	3572	710	tue	139.9	0
2535	3621	763	wed	139.9	0
2262	3930	600	thu	139.9	0
2966	4338	627	fri	139.9	0
2048	1677	313	sat	139.9	1
2414	3673	344	mon	139.9	0
2416	3811	323	tue	139.9	0
2323	3286	228	wed	139.9	0
1645	1985	178	fri	139.9	0
1509	1849	162	sat	139.9	1
2410	3066	244	tue	139.9	0
2175	3115	185	wed	139.9	0
