Name	Class	Vehicle Type	Transmission	Combined MPG	Weight (pounds)	Displacement (liters)	Horsepower	Air Aspiration	# Cylinders	City MPG	Highway MPG	log10(MPG)	log10(HP)	log10(displacement)	log10(weight)	Truck Dummy	SUV Dummy	Truck * log HP	SUV * log HP
Aston Martin Lagonda Ltd V8 Vantage	Two Seaters	car	Manual	15	4000	4.7	420	Naturally Aspirated	8	13	19	1.176091259	2.62324929	0.672097858	3.602059991	0	0	0	0
Aston Martin Lagonda Ltd Virage	Minicompact Cars	car	Semi-Automatic	15	4500	5.9	490	Naturally Aspirated	12	13	18	1.176091259	2.69019608	0.770852012	3.653212514	0	0	0	0
Bentley Motors Ltd. Mulsanne	Midsize Cars	car	Semi-Automatic	13	6000	6.8	505	Turbocharged	8	11	18	1.113943352	2.703291378	0.832508913	3.77815125	0	0	0	0
BMW 128i	Subcompact Cars	car	Manual	22	3500	3	230	Naturally Aspirated	6	18	28	1.342422681	2.361727836	0.477121255	3.544068044	0	0	0	0
BMW 128i	Subcompact Cars	car	Semi-Automatic	21	3625	3	230	Naturally Aspirated	6	18	28	1.322219295	2.361727836	0.477121255	3.559308011	0	0	0	0
BMW 135i Convertible	Subcompact Cars	car	Manual	22	4000	3	300	Turbocharged	6	19	28	1.342422681	2.477121255	0.477121255	3.602059991	0	0	0	0
BMW 135i	Subcompact Cars	car	Manual	23	3625	3	300	Turbocharged	6	20	28	1.361727836	2.477121255	0.477121255	3.559308011	0	0	0	0
BMW 550i	Midsize Cars	car	Manual	17	4500	4.4	400	Turbocharged	8	15	22	1.230448921	2.602059991	0.643452677	3.653212514	0	0	0	0
BMW 650i Convertible	Compact Cars	car	Manual	17	4750	4.4	400	Turbocharged	8	15	22	1.230448921	2.602059991	0.643452677	3.67669361	0	0	0	0
BMW 650i Coupe	Compact Cars	car	Manual	17	4500	4.4	400	Turbocharged	8	15	22	1.230448921	2.602059991	0.643452677	3.653212514	0	0	0	0
BMW 740Li	Large Cars	car	Semi-Automatic	20	4750	3	315	Turbocharged	6	17	25	1.301029996	2.498310554	0.477121255	3.67669361	0	0	0	0
BMW 750i	Large Cars	car	Semi-Automatic	17	5000	4.4	400	Turbocharged	8	15	22	1.230448921	2.602059991	0.643452677	3.698970004	0	0	0	0
BMW M3 Convertible	Subcompact Cars	car	Manual	16	4500	4	414	Naturally Aspirated	8	13	20	1.204119983	2.617000341	0.602059991	3.653212514	0	0	0	0
Mini Mini Cooper Clubman	Subcompact Cars	car	Manual	30	3000	1.6	122	Naturally Aspirated	4	27	35	1.477121255	2.086359831	0.204119983	3.477121255	0	0	0	0
Mini Mini Cooper Convertible	Minicompact Cars	car	Manual	30	3000	1.6	122	Naturally Aspirated	4	27	35	1.477121255	2.086359831	0.204119983	3.477121255	0	0	0	0
Mini Mini Cooper Countryman	Compact Cars	car	Manual	30	3250	1.6	122	Naturally Aspirated	4	27	35	1.477121255	2.086359831	0.204119983	3.511883361	0	0	0	0
Mini Mini Cooper S Clubman	Subcompact Cars	car	Manual	30	3125	1.6	180	Turbocharged	4	27	35	1.477121255	2.255272505	0.204119983	3.494850022	0	0	0	0
Mini Mini Cooper S Convertible	Minicompact Cars	car	Manual	30	3125	1.6	180	Turbocharged	4	27	35	1.477121255	2.255272505	0.204119983	3.494850022	0	0	0	0
Mini Mini Cooper S Countryman All4	Compact Cars	car	Manual	28	3500	1.6	180	Turbocharged	4	25	31	1.447158031	2.255272505	0.204119983	3.544068044	0	0	0	0
Mini Mini Cooper S Countryman	Compact Cars	car	Manual	29	3375	1.6	180	Turbocharged	4	26	32	1.462397998	2.255272505	0.204119983	3.528273777	0	0	0	0
Mini Mini Cooper S	Minicompact Cars	car	Manual	30	3000	1.6	180	Turbocharged	4	27	35	1.477121255	2.255272505	0.204119983	3.477121255	0	0	0	0
Mini Mini Cooper	Minicompact Cars	car	Manual	32	2875	1.6	122	Naturally Aspirated	4	29	37	1.505149978	2.086359831	0.204119983	3.458637849	0	0	0	0
BMW X5 xDrive35i	Special Purpose Vehicle, SUV 4WD	suv	Semi-Automatic	19	5250	3	300	Turbocharged	6	16	23	1.278753601	2.477121255	0.477121255	3.720159303	0	1	0	2.477121255
BMW X5 xDriveM	Special Purpose Vehicle, SUV 4WD	suv	Semi-Automatic	14	5500	4.4	555	Turbocharged	8	12	17	1.146128036	2.744292983	0.643452677	3.74036269	0	1	0	2.744292983
BMW X6 xDrive35i	Special Purpose Vehicle, SUV 4WD	suv	Semi-Automatic	19	5000	3	300	Turbocharged	6	16	23	1.278753601	2.477121255	0.477121255	3.698970004	0	1	0	2.477121255
BMW X6 xDriveM	Special Purpose Vehicle, SUV 4WD	suv	Semi-Automatic	14	5500	4.4	555	Turbocharged	8	12	17	1.146128036	2.744292983	0.643452677	3.74036269	0	1	0	2.744292983
Chrysler 200	Midsize Cars	car	Automatic	24	3750	2.4	173	Naturally Aspirated	4	21	30	1.380211242	2.238046103	0.380211242	3.574031268	0	0	0	0
Chrysler 300 AWD	Large Cars	car	Automatic	21	4500	3.6	292	Naturally Aspirated	6	18	27	1.322219295	2.465382851	0.556302501	3.653212514	0	0	0	0
Chrysler 300 AWD	Large Cars	car	Automatic	18	4750	5.7	359	Naturally Aspirated	8	15	23	1.255272505	2.555094449	0.755874856	3.67669361	0	0	0	0
FIAT 500	Minicompact Cars	car	Automatic	30	2750	1.4	100	Naturally Aspirated	4	27	34	1.477121255	2	0.146128036	3.439332694	0	0	0	0
FIAT 500	Minicompact Cars	car	Manual	33	2750	1.4	100	Naturally Aspirated	4	30	38	1.51851394	2	0.146128036	3.439332694	0	0	0	0
Dodge Avenger	Midsize Cars	car	Automatic	24	3750	2.4	283	Naturally Aspirated	4	21	30	1.380211242	2.451786436	0.380211242	3.574031268	0	0	0	0
Dodge Avenger	Midsize Cars	car	Automatic	22	3875	3.6	283	Naturally Aspirated	6	19	29	1.342422681	2.451786436	0.556302501	3.588271707	0	0	0	0
Dodge Caliber	Small Station Wagons	suv	Continuously Variable	24	3375	2	172	Naturally Aspirated	4	23	27	1.380211242	2.235528447	0.301029996	3.528273777	0	1	0	2.235528447
Dodge Caliber	Small Station Wagons	suv	Continuously Variable	24	3500	2.4	172	Naturally Aspirated	4	22	27	1.380211242	2.235528447	0.380211242	3.544068044	0	1	0	2.235528447
Dodge Caliber	Small Station Wagons	suv	Manual	27	3250	2	158	Naturally Aspirated	4	24	32	1.431363764	2.198657087	0.301029996	3.511883361	0	1	0	2.198657087
Dodge Challenger	Midsize Cars	car	Manual	18	4500	5.7	370	Naturally Aspirated	8	15	23	1.255272505	2.568201724	0.755874856	3.653212514	0	0	0	0
Dodge Charger AWD	Large Cars	car	Automatic	21	4500	3.6	292	Naturally Aspirated	6	18	27	1.322219295	2.465382851	0.556302501	3.653212514	0	0	0	0
Dodge Charger	Large Cars	car	Automatic	21	4250	3.6	292	Naturally Aspirated	6	18	27	1.322219295	2.465382851	0.556302501	3.62838893	0	0	0	0
Jeep Patriot 4WD	Special Purpose Vehicle, SUV 4WD	suv	Continuously Variable	23	3750	2.4	172	Naturally Aspirated	4	21	26	1.361727836	2.235528447	0.380211242	3.574031268	0	1	0	2.235528447
Dodge Ram 1500 2WD	Standard Pick-up Trucks 2WD	truck	Automatic	16	5500	4.7	310	Naturally Aspirated	8	14	20	1.204119983	2.491361694	0.672097858	3.74036269	1	0	2.491361694	0
Dodge Ram 1500 4WD	Standard Pick-up Trucks 4WD	truck	Automatic	16	5500	4.7	310	Naturally Aspirated	8	14	19	1.204119983	2.491361694	0.672097858	3.74036269	1	0	2.491361694	0
Chrysler Town & Country	Special Purpose Vehicle, minivan 2WD	suv	Automatic	20	4750	3.6	283	Naturally Aspirated	6	17	25	1.301029996	2.451786436	0.556302501	3.67669361	0	1	0	2.451786436
Jeep Wrangler 4WD	Special Purpose Vehicle, SUV 4WD	suv	Automatic	18	4750	3.6	290	Naturally Aspirated	6	17	21	1.255272505	2.462397998	0.556302501	3.67669361	0	1	0	2.462397998
Jeep Wrangler 4WD	Special Purpose Vehicle, SUV 4WD	suv	Manual	18	4750	3.6	290	Naturally Aspirated	6	17	21	1.255272505	2.462397998	0.556302501	3.67669361	0	1	0	2.462397998
Mitsubishi Motors North America ECLIPSE SPYDER	Minicompact Cars	car	Semi-Automatic	23	3875	2.4	162	Naturally Aspirated	4	20	27	1.361727836	2.209515015	0.380211242	3.588271707	0	0	0	0
Mitsubishi Motors North America ECLIPSE SPYDER	Minicompact Cars	car	Semi-Automatic	19	4000	3.8	260	Naturally Aspirated	6	16	24	1.278753601	2.414973348	0.579783597	3.602059991	0	0	0	0
Mitsubishi Motors North America ECLIPSE	Subcompact Cars	car	Manual	23	3625	2.4	162	Naturally Aspirated	4	20	28	1.361727836	2.209515015	0.380211242	3.559308011	0	0	0	0
Mitsubishi Motors North America ECLIPSE	Subcompact Cars	car	Semi-Automatic	23	3750	2.4	162	Naturally Aspirated	4	20	28	1.361727836	2.209515015	0.380211242	3.574031268	0	0	0	0
Mitsubishi Motors North America ECLIPSE	Subcompact Cars	car	Semi-Automatic	20	3875	3.8	263	Naturally Aspirated	6	17	25	1.301029996	2.419955749	0.579783597	3.588271707	0	0	0	0
Mitsubishi Motors North America GALANT	Midsize Cars	car	Semi-Automatic	24	3625	2.4	160	Naturally Aspirated	4	21	30	1.380211242	2.204119983	0.380211242	3.559308011	0	0	0	0
Subaru FORESTER AWD	Special Purpose Vehicle, SUV 4WD	suv	Manual	23	3625	2.5	170	Naturally Aspirated	4	21	27	1.361727836	2.230448921	0.397940009	3.559308011	0	1	0	2.230448921
Subaru FORESTER AWD	Special Purpose Vehicle, SUV 4WD	suv	Semi-Automatic	23	3750	2.5	224	Naturally Aspirated	4	21	27	1.361727836	2.350248018	0.397940009	3.574031268	0	1	0	2.350248018
Subaru IMPREZA AWD	Compact Cars	car	Continuously Variable	30	3375	2	148	Naturally Aspirated	4	27	36	1.477121255	2.170261715	0.301029996	3.528273777	0	0	0	0
Subaru IMPREZA AWD	Compact Cars	car	Manual	28	3375	2	148	Naturally Aspirated	4	25	34	1.447158031	2.170261715	0.301029996	3.528273777	0	0	0	0
Subaru IMPREZA AWD	Compact Cars	car	Manual	21	3750	2.5	305	Turbocharged	4	19	25	1.322219295	2.484299839	0.397940009	3.574031268	0	0	0	0
Subaru IMPREZA WAGON/OUTBACK SPORT AWD	Small Station Wagons	suv	Continuously Variable	30	3375	2	148	Naturally Aspirated	4	27	36	1.477121255	2.170261715	0.301029996	3.528273777	0	1	0	2.170261715
Subaru IMPREZA WAGON/OUTBACK SPORT AWD	Small Station Wagons	suv	Manual	28	3375	2	148	Naturally Aspirated	4	25	33	1.447158031	2.170261715	0.301029996	3.528273777	0	1	0	2.170261715
Subaru TRIBECA AWD	Special Purpose Vehicle, SUV 4WD	suv	Semi-Automatic	18	4500	3.6	256	Naturally Aspirated	6	16	21	1.255272505	2.408239965	0.556302501	3.653212514	0	1	0	2.408239965
Ford Division E350 VAN	Vans, Cargo Types	suv	Automatic	12	6000	6.8	305	Naturally Aspirated	10	10	14	1.079181246	2.484299839	0.832508913	3.77815125	0	1	0	2.484299839
Ford Division EDGE AWD	Special Purpose Vehicle, SUV 4WD	suv	Semi-Automatic	21	4750	3.5	305	Naturally Aspirated	6	18	25	1.322219295	2.484299839	0.544068044	3.67669361	0	1	0	2.484299839
Ford Division EDGE FWD	Special Purpose Vehicle, SUV 2WD	suv	Automatic	24	4250	2	237	Turbocharged	4	21	30	1.380211242	2.374748346	0.301029996	3.62838893	0	1	0	2.374748346
Ford Division ESCAPE AWD	Special Purpose Vehicle, SUV 4WD	suv	Automatic	23	3750	2.5	171	Naturally Aspirated	4	20	27	1.361727836	2.23299611	0.397940009	3.574031268	0	1	0	2.23299611
Ford Division EXPLORER FWD	Special Purpose Vehicle, SUV 2WD	suv	Automatic	23	4750	2	237	Turbocharged	4	20	28	1.361727836	2.374748346	0.301029996	3.67669361	0	1	0	2.374748346
Ford Division EXPLORER FWD	Special Purpose Vehicle, SUV 2WD	suv	Semi-Automatic	20	4750	3.5	287	Naturally Aspirated	6	18	25	1.301029996	2.457881897	0.544068044	3.67669361	0	1	0	2.457881897
Lincoln Truck MKX AWD	Special Purpose Vehicle, SUV 4WD	suv	Semi-Automatic	19	4750	3.7	305	Naturally Aspirated	6	17	23	1.278753601	2.484299839	0.568201724	3.67669361	0	1	0	2.484299839
Ford Division MUSTANG	Subcompact Cars	car	Automatic	23	3750	3.7	300	Naturally Aspirated	6	19	31	1.361727836	2.477121255	0.568201724	3.574031268	0	0	0	0
Ford Division MUSTANG	Subcompact Cars	car	Automatic	20	4000	5	400	Naturally Aspirated	8	18	25	1.301029996	2.602059991	0.698970004	3.602059991	0	0	0	0
Ford Division MUSTANG	Subcompact Cars	car	Manual	22	3750	3.7	300	Naturally Aspirated	6	19	29	1.342422681	2.477121255	0.568201724	3.574031268	0	0	0	0
Ford Division MUSTANG	Subcompact Cars	car	Manual	20	4000	5	400	Naturally Aspirated	8	17	26	1.301029996	2.602059991	0.698970004	3.602059991	0	0	0	0
Ford Division MUSTANG	Subcompact Cars	car	Manual	17	4000	5.4	550	Supercharged	8	15	23	1.230448921	2.74036269	0.73239376	3.602059991	0	0	0	0
Ford Division TAURUS FWD	Large Cars	car	Automatic	22	4500	3.5	263	Naturally Aspirated	6	18	28	1.342422681	2.419955749	0.544068044	3.653212514	0	0	0	0
Saab 9-4X FWD	Special Purpose Vehicle, SUV 2WD	suv	Semi-Automatic	20	4750	3	265	Naturally Aspirated	6	18	25	1.301029996	2.423245874	0.477121255	3.67669361	0	1	0	2.423245874
GMC C15 SIERRA 2WD XFE	Standard Pick-up Trucks 2WD	truck	Automatic	18	5250	5.3	315	Naturally Aspirated	8	15	22	1.255272505	2.498310554	0.72427587	3.720159303	1	0	2.498310554	0
Chevrolet C15 SILVERADO 2WD XFE	Standard Pick-up Trucks 2WD	truck	Automatic	18	5250	5.3	315	Naturally Aspirated	8	15	22	1.255272505	2.498310554	0.72427587	3.720159303	1	0	2.498310554	0
Chevrolet C15 SILVERADO 2WD	Standard Pick-up Trucks 2WD	truck	Automatic	17	5000	4.3	195	Naturally Aspirated	6	15	20	1.230448921	2.290034611	0.633468456	3.698970004	1	0	2.290034611	0
Chevrolet C15 SILVERADO 2WD	Standard Pick-up Trucks 2WD	truck	Automatic	16	5000	4.8	295	Naturally Aspirated	8	14	19	1.204119983	2.469822016	0.681241237	3.698970004	1	0	2.469822016	0
Chevrolet C15 SILVERADO 2WD	Standard Pick-up Trucks 2WD	truck	Automatic	17	6000	5.3	320	Naturally Aspirated	8	15	21	1.230448921	2.505149978	0.72427587	3.77815125	1	0	2.505149978	0
Chevrolet C15 SILVERADO 2WD	Standard Pick-up Trucks 2WD	truck	Automatic	14	5500	6.2	403	Naturally Aspirated	8	13	18	1.146128036	2.605305046	0.79239169	3.74036269	1	0	2.605305046	0
Chevrolet C1500 TAHOE 2WD HYBRID	Special Purpose Vehicle, SUV 2WD	suv	Continuously Variable	21	6000	6	332	Naturally Aspirated	8	20	23	1.322219295	2.521138084	0.77815125	3.77815125	0	1	0	2.521138084
Chevrolet C1500 TAHOE 2WD	Special Purpose Vehicle, SUV 2WD	suv	Automatic	17	6000	5.3	320	Naturally Aspirated	8	15	21	1.230448921	2.505149978	0.72427587	3.77815125	0	1	0	2.505149978
Chevrolet C2500 SUBURBAN 2WD	Special Purpose Vehicle, SUV 2WD	suv	Automatic	12	6500	6	352	Naturally Aspirated	8	10	16	1.079181246	2.546542664	0.77815125	3.812913357	0	1	0	2.546542664
Chevrolet CAMARO	Compact Cars	car	Manual	20	4000	3.6	304	Naturally Aspirated	6	17	28	1.301029996	2.482873584	0.556302501	3.602059991	0	0	0	0
Chevrolet CAMARO	Compact Cars	car	Manual	19	4250	6.2	420	Naturally Aspirated	8	16	24	1.278753601	2.62324929	0.79239169	3.62838893	0	0	0	0
Chevrolet CAMARO	Compact Cars	car	Semi-Automatic	22	4000	3.6	304	Naturally Aspirated	6	18	29	1.342422681	2.482873584	0.556302501	3.602059991	0	0	0	0
Chevrolet CAMARO	Compact Cars	car	Semi-Automatic	18	4500	6.2	400	Naturally Aspirated	8	15	24	1.255272505	2.602059991	0.79239169	3.653212514	0	0	0	0
Chevrolet COLORADO 2WD	Small Pick-up Trucks 2WD	truck	Automatic	21	3750	2.9	190	Naturally Aspirated	4	18	25	1.322219295	2.278753601	0.462397998	3.574031268	1	0	2.278753601	0
Chevrolet COLORADO 2WD	Small Pick-up Trucks 2WD	truck	Automatic	19	3625	3.7	245	Naturally Aspirated	5	17	23	1.278753601	2.389166084	0.568201724	3.559308011	1	0	2.389166084	0
Chevrolet COLORADO 2WD	Small Pick-up Trucks 2WD	truck	Manual	21	3875	2.9	190	Naturally Aspirated	4	18	25	1.322219295	2.278753601	0.462397998	3.588271707	1	0	2.278753601	0
Chevrolet COLORADO 4WD	Small Pick-up Trucks 4WD	truck	Automatic	20	4250	2.9	190	Naturally Aspirated	4	17	23	1.301029996	2.278753601	0.462397998	3.62838893	1	0	2.278753601	0
Chevrolet COLORADO 4WD	Small Pick-up Trucks 4WD	truck	Automatic	19	3875	3.7	245	Naturally Aspirated	5	17	23	1.278753601	2.389166084	0.568201724	3.588271707	1	0	2.389166084	0
Chevrolet COLORADO 4WD	Small Pick-up Trucks 4WD	truck	Manual	20	4000	2.9	190	Naturally Aspirated	4	18	24	1.301029996	2.278753601	0.462397998	3.602059991	1	0	2.278753601	0
Chevrolet COLORADO CREW CAB 2WD	Small Pick-up Trucks 2WD	truck	Automatic	16	4250	5.3	300	Naturally Aspirated	8	14	20	1.204119983	2.477121255	0.72427587	3.62838893	1	0	2.477121255	0
Chevrolet COLORADO CREW CAB 4WD	Small Pick-up Trucks 4WD	truck	Automatic	18	4500	3.7	245	Naturally Aspirated	5	16	21	1.255272505	2.389166084	0.568201724	3.653212514	1	0	2.389166084	0
Chevrolet COLORADO CREW CAB 4WD	Small Pick-up Trucks 4WD	truck	Automatic	16	4750	5.3	300	Naturally Aspirated	8	14	19	1.204119983	2.477121255	0.72427587	3.67669361	1	0	2.477121255	0
Chevrolet CORVETTE	Two Seaters	car	Manual	19	3625	6.2	420	Naturally Aspirated	8	16	26	1.278753601	2.62324929	0.79239169	3.559308011	0	0	0	0
Chevrolet CORVETTE	Two Seaters	car	Manual	18	3500	7	505	Naturally Aspirated	8	15	24	1.255272505	2.703291378	0.84509804	3.544068044	0	0	0	0
Chevrolet CORVETTE	Two Seaters	car	Semi-Automatic	18	3625	6.2	420	Naturally Aspirated	8	15	25	1.255272505	2.62324929	0.79239169	3.559308011	0	0	0	0
Chevrolet CRUZE ECO	Midsize Cars	car	Automatic	31	3375	1.4	140	Turbocharged	4	26	39	1.491361694	2.146128036	0.146128036	3.528273777	0	0	0	0
Chevrolet CRUZE	Midsize Cars	car	Manual	30	3250	1.4	138	Turbocharged	4	26	38	1.477121255	2.139879086	0.146128036	3.511883361	0	0	0	0
Chevrolet CRUZE	Midsize Cars	car	Manual	29	3375	1.8	138	Naturally Aspirated	4	25	36	1.462397998	2.139879086	0.255272505	3.528273777	0	0	0	0
Chevrolet CRUZE	Midsize Cars	car	Semi-Automatic	30	3375	1.4	140	Turbocharged	4	26	38	1.477121255	2.146128036	0.146128036	3.528273777	0	0	0	0
Chevrolet CRUZE	Midsize Cars	car	Semi-Automatic	27	3375	1.8	140	Naturally Aspirated	4	22	35	1.431363764	2.146128036	0.255272505	3.528273777	0	0	0	0
Cadillac CTS AWD	Midsize Cars	car	Semi-Automatic	21	4500	3	265	Naturally Aspirated	6	18	26	1.322219295	2.423245874	0.477121255	3.653212514	0	0	0	0
Cadillac CTS AWD	Midsize Cars	car	Semi-Automatic	21	4500	3.6	304	Naturally Aspirated	6	18	27	1.322219295	2.482873584	0.556302501	3.653212514	0	0	0	0
Cadillac CTS WAGON	Small Station Wagons	suv	Semi-Automatic	21	4750	3.6	304	Naturally Aspirated	6	18	26	1.322219295	2.482873584	0.556302501	3.67669361	0	1	0	2.482873584
Cadillac CTS	Midsize Cars	car	Manual	19	4250	3	265	Naturally Aspirated	6	16	26	1.278753601	2.423245874	0.477121255	3.62838893	0	0	0	0
Cadillac CTS	Midsize Cars	car	Manual	16	4500	6.2	550	Supercharged	8	14	19	1.204119983	2.74036269	0.79239169	3.653212514	0	0	0	0
Cadillac CTS	Midsize Cars	car	Semi-Automatic	22	4250	3	265	Naturally Aspirated	6	18	27	1.342422681	2.423245874	0.477121255	3.62838893	0	0	0	0
Cadillac CTS	Midsize Cars	car	Semi-Automatic	14	4500	6.2	550	Supercharged	8	12	18	1.146128036	2.74036269	0.79239169	3.653212514	0	0	0	0
Chevrolet EQUINOX AWD	Special Purpose Vehicle, SUV 4WD	suv	Automatic	23	4250	2.4	182	Naturally Aspirated	4	20	29	1.361727836	2.260071388	0.380211242	3.62838893	0	1	0	2.260071388
Chevrolet EQUINOX AWD	Special Purpose Vehicle, SUV 4WD	suv	Automatic	19	4500	3	264	Naturally Aspirated	6	16	23	1.278753601	2.421603927	0.477121255	3.653212514	0	1	0	2.421603927
Chevrolet EQUINOX FWD	Special Purpose Vehicle, SUV 2WD	suv	Automatic	26	4000	2.4	182	Naturally Aspirated	4	22	32	1.414973348	2.260071388	0.380211242	3.602059991	0	1	0	2.260071388
Cadillac ESCALADE 2WD	Special Purpose Vehicle, SUV 2WD	suv	Automatic	16	6000	6.2	403	Naturally Aspirated	8	14	18	1.204119983	2.605305046	0.79239169	3.77815125	0	1	0	2.605305046
Cadillac ESCALADE 4WD HYBRID	Special Purpose Vehicle, SUV 4WD	suv	Continuously Variable	21	6500	6	332	Naturally Aspirated	8	20	23	1.322219295	2.521138084	0.77815125	3.812913357	0	1	0	2.521138084
Cadillac ESCALADE AWD	Special Purpose Vehicle, SUV 4WD	suv	Automatic	15	6000	6.2	403	Naturally Aspirated	8	13	18	1.176091259	2.605305046	0.79239169	3.77815125	0	1	0	2.605305046
Chevrolet G1500 EXPRESS 2WD CARGO	Vans, Cargo Types	suv	Automatic	15	5500	5.3	301	Naturally Aspirated	8	13	18	1.176091259	2.478566496	0.72427587	3.74036269	0	1	0	2.478566496
Chevrolet G2500 EXPRESS 2WD CARGO MDPV	Vans, Cargo Types	suv	Automatic	12	7000	6	323	Naturally Aspirated	8	10	15	1.079181246	2.509202522	0.77815125	3.84509804	0	1	0	2.509202522
Chevrolet G3500 EXPRESS 2WD PASS MDPV	Vans, Passenger Type	suv	Automatic	13	6500	4.8	280	Naturally Aspirated	8	11	17	1.113943352	2.447158031	0.681241237	3.812913357	0	1	0	2.447158031
Chevrolet G3500 EXPRESS 2WD PASS MDPV	Vans, Passenger Type	suv	Automatic	12	6500	6	323	Naturally Aspirated	8	11	16	1.079181246	2.509202522	0.77815125	3.812913357	0	1	0	2.509202522
Chevrolet H1500 EXPRESS AWD CARGO	Vans, Cargo Types	suv	Automatic	14	5500	5.3	301	Naturally Aspirated	8	13	17	1.146128036	2.478566496	0.72427587	3.74036269	0	1	0	2.478566496
Chevrolet IMPALA	Large Cars	car	Automatic	22	3875	3.6	280	Naturally Aspirated	6	18	30	1.342422681	2.447158031	0.556302501	3.588271707	0	0	0	0
Chevrolet K15 SILVERADO 4WD	Standard Pick-up Trucks 4WD	truck	Automatic	15	5250	4.3	195	Naturally Aspirated	6	14	18	1.176091259	2.290034611	0.633468456	3.720159303	1	0	2.290034611	0
Chevrolet K15 SILVERADO 4WD	Standard Pick-up Trucks 4WD	truck	Automatic	15	5500	4.8	295	Naturally Aspirated	8	13	18	1.176091259	2.469822016	0.681241237	3.74036269	1	0	2.469822016	0
Chevrolet K15 SILVERADO 4WD	Standard Pick-up Trucks 4WD	truck	Automatic	17	6000	5.3	320	Naturally Aspirated	8	15	21	1.230448921	2.505149978	0.72427587	3.77815125	1	0	2.505149978	0
Chevrolet K15 SILVERADO 4WD	Standard Pick-up Trucks 4WD	truck	Automatic	14	5500	6.2	403	Naturally Aspirated	8	12	18	1.146128036	2.605305046	0.79239169	3.74036269	1	0	2.605305046	0
