DATE	Real GNP	Real Disposal Income	Real Debt	Real Compensation Index	Real Output Index	CPI	Nominal Debt
1/1/1992	8192.3	6080.1	126.9161119	83.481	72.62	30.04	3812.56
4/1/1992	8278.3	6126.7	127.6971106	83.6	73.153	30.11	3844.96
7/1/1992	8359.1	6157.8	129.0881671	84.351	73.886	30.17	3894.59
10/1/1992	8447.8	6245.4	131.1453161	83.99	74.445	30.21	3961.9
1/1/1993	8472.8	6153.8	132.3005952	83.712	73.903	30.24	4000.77
4/1/1993	8518	6249.5	134.4723602	83.438	73.583	30.21	4062.41
7/1/1993	8570.1	6262.8	136.8223031	83.449	73.87	30.22	4134.77
10/1/1993	8663	6355.1	138.8642668	83.234	74.388	30.28	4204.81
1/1/1994	8755.9	6329.7	140.5969757	83.964	74.794	30.42	4276.96
4/1/1994	8870	6437.7	143.2521396	83.391	74.728	30.38	4352
7/1/1994	8924	6485	145.8489138	82.709	74.287	30.38	4430.89
10/1/1994	9022.1	6571	149.1938776	82.805	74.972	30.38	4532.51
1/1/1995	9056.1	6613.6	151.510184	82.941	74.72	30.44	4611.97
4/1/1995	9078.7	6614.2	153.9406168	82.758	74.836	30.48	4692.11
7/1/1995	9137.3	6663.7	156.668961	82.863	74.939	30.51	4779.97
10/1/1995	9214.6	6703.2	159.1499344	83.242	75.505	30.48	4850.89
1/1/1996	9285	6774.6	162.5394953	83.379	76.163	30.51	4959.08
4/1/1996	9434.1	6847.4	164.7141457	83.455	77.011	30.61	5041.9
7/1/1996	9511.9	6905.7	166.7321603	83.612	77.258	30.69	5117.01
10/1/1996	9621.4	6943.6	168.6543089	83.289	77.306	30.75	5186.12
1/1/1997	9685	7005.7	171.4700521	83.358	77.033	30.72	5267.56
4/1/1997	9837.4	7058.3	173.8373984	83.828	77.935	30.75	5345.5
7/1/1997	9951.3	7139.1	176.0386615	84.286	78.588	30.78	5418.47
10/1/1997	10019.8	7238.3	177.824158	85.353	78.895	30.88	5491.21
1/1/1998	10124.7	7402.9	180.8739496	86.863	79.345	30.94	5596.24
4/1/1998	10212.5	7508.6	184.9155613	87.791	79.832	30.91	5715.74
7/1/1998	10331.5	7587.5	187.4311571	88.775	80.91	30.94	5799.12
10/1/1998	10512.2	7643.1	191.1612278	88.737	81.538	30.95	5916.44
1/1/1999	10619	7694.9	195.2724338	89.919	82.325	30.98	6049.54
4/1/1999	10707.5	7712.5	198.9774266	89.463	82.396	31.01	6170.29
7/1/1999	10839.7	7762.4	203.2672469	89.518	83.077	31.02	6305.35
10/1/1999	11045.6	7884.1	206.2338164	90.748	84.505	31.05	6403.56
1/1/2000	11069.2	8049.8	210.3030888	93.225	84.188	31.08	6536.22
4/1/2000	11288.1	8132.3	214.7914524	92.808	86.092	31.12	6684.31
7/1/2000	11292.8	8218.6	219.2547261	93.88	86.105	31.21	6842.94
10/1/2000	11386.8	8230.9	223.76512	93.784	86.955	31.25	6992.66
1/1/2001	11333.9	8292.7	228.3842711	95.014	86.67	31.28	7143.86
4/1/2001	11416.9	8270	233.9856138	94.644	88.234	31.28	7319.07
7/1/2001	11360.3	8480.6	239.4487384	94.698	88.777	31.31	7497.14
10/1/2001	11468.8	8381.7	243.8441683	95.746	90.033	31.38	7651.83
1/1/2002	11523.3	8607.6	249.2700127	96.403	91.944	31.48	7847.02
4/1/2002	11564.5	8655	254.1448909	96.559	92.053	31.61	8033.52
7/1/2002	11638.7	8625.3	260.3828372	96.566	92.92	31.58	8222.89
10/1/2002	11661.7	8645.7	268.2158479	96.432	92.866	31.55	8462.21
1/1/2003	11694.9	8677.5	275.216635	97.003	93.71	31.62	8702.35
4/1/2003	11808.1	8808.8	283.8394945	98.817	94.983	31.65	8983.52
7/1/2003	12000.8	8932.1	291.0992126	99.438	97.165	31.75	9242.4
10/1/2003	12136	8983.5	298.3924647	99.886	97.532	31.85	9503.8
1/1/2004	12234	9023.4	305.4256587	98.558	97.675	31.88	9736.97
4/1/2004	12285.1	9112.6	312.3456983	99.193	98.467	32.08	10020.05
7/1/2004	12386.7	9173.5	319.2327533	100.103	98.631	32.18	10272.91
10/1/2004	12460.7	9301.8	327.3962206	99.822	98.764	32.28	10568.35
1/1/2005	12623.4	9188.5	334.6200927	100.139	99.779	32.35	10824.96
4/1/2005	12667.7	9253.2	343.9660284	100.107	99.574	32.38	11137.62
7/1/2005	12776.9	9308.4	352.7506934	100.025	100.342	32.45	11446.76
10/1/2005	12812.4	9359.3	359.6529862	99.697	100.303	32.65	11742.67
1/1/2006	12974.7	9534.6	369.0439695	100.472	100.924	32.75	12086.19
4/1/2006	13021.6	9619.1	378.3369863	100.028	101.031	32.85	12428.37
7/1/2006	13009.6	9665.3	386.078163	99.379	100.478	32.88	12694.25
10/1/2006	13107.3	9792	392.1576549	102.142	101.146	32.92	12909.83
1/1/2007	13122.6	9836.3	399.5264438	102.134	101.111	32.9	13144.42
4/1/2007	13248.4	9851	405.6366667	101.283	101.927	33	13386.01
7/1/2007	13405.8	9889.7	412.0660606	101.33	103.116	33	13598.18
10/1/2007	13511	9944.1	416.2277946	101.74	103.643	33.1	13777.14
1/1/2008	13431.7	10087.4	419.6706949	102.098	103.012	33.1	13891.1
4/1/2008	13476.6	10288.5	417.3009009	100.448	103.562	33.3	13896.12
7/1/2008	13367.4	10053.7	415.2227545	99.753	103.374	33.4	13868.44
10/1/2008	12991.9	10047.9	411.8441791	102.728	102.491	33.5	13796.78
1/1/2009	12785.6	9951	409.7267857	102.62	102.835	33.6	13766.82
4/1/2009	12770.7	9957.3	406.7581602	103.816	104.831	33.7	13707.75
7/1/2009	12844.9	9819.6	401.9684366	103.479	106.499	33.9	13626.73
10/1/2009	12971.6	9805.4	398.9632353	103.08	107.941	34	13564.75
1/1/2010	13092.9	9922.5	395.8266862	103.127	109.174	34.1	13497.69
4/1/2010	13238.4	10057.8	392.4991228	103.922	109.492	34.2	13423.47
7/1/2010	13328.9	10114.4	389.1769679	104.037	110.051	34.3	13348.77
10/1/2010	13383.9	10152	387.3281977	103.49	110.658	34.4	13324.09
1/1/2011	13432.2	10183.2	384.4394203	103.568	110.492	34.5	13263.16
4/1/2011	13504.2	10169.7	381.7659942	102.48	110.463	34.7	13247.28
7/1/2011	13567.9	10121.6	378.4406877	101.655	111.096	34.9	13207.58
