Date	Apple Return	Market Return	IBM Return	Price Apple	Treasury Bill	Inflation (CPI)	Market Excess Return	Apple Excess Return
19991130	0.221529	0.036814	0.050204	97.875	0.003811	0.000595	0.033003	0.217718
19991231	0.050447	0.083721	0.046695	102.8125	0.003764	0	0.079957	0.046683
20000131	0.009119	-0.039588	0.040556	103.75	0.004343	0.002971	-0.043931	0.004776
20000229	0.104819	0.031844	-0.083563	114.625	0.004295	0.005924	0.027549	0.100524
20000331	0.184842	0.053523	0.148418	135.8125	0.004377	0.008245	0.049146	0.180465
20000428	-0.086516	-0.059466	-0.055085	124.0625	0.004595	0.000584	-0.064061	-0.091111
20000531	-0.322922	-0.039047	-0.03583	84	0.004782	0.001168	-0.043829	-0.327704
20000630	0.247024	0.05164	0.020373	52.375	0.003744	0.005248	0.047896	0.24328
20000731	-0.029833	-0.017106	0.026241	50.8125	0.004772	0.00232	-0.021878	-0.034605
20000831	0.199262	0.075811	0.175142	60.9375	0.005002	0	0.070809	0.19426
20000929	-0.577436	-0.051138	-0.147727	25.75	0.005093	0.005208	-0.056231	-0.582529
20001031	-0.240291	-0.024557	-0.124444	19.5625	0.005217	0.001727	-0.029774	-0.245508
20001130	-0.15655	-0.102534	-0.049442	16.5	0.004966	0.000575	-0.1075	-0.161516
20001229	-0.098485	0.020299	-0.090909	14.875	0.004909	-0.000574	0.01539	-0.103394
20010131	0.453782	0.039524	0.317647	21.625	0.005243	0.006322	0.034281	0.448539
20010228	-0.156069	-0.099267	-0.106875	18.25	0.003653	0.003998	-0.10292	-0.159722
20010330	0.209315	-0.070286	-0.037237	22.07	0.00432	0.002275	-0.074606	0.204995
20010430	0.154961	0.083911	0.19713	25.49	0.003864	0.003973	0.080047	0.151097
20010531	-0.21734	0.010566	-0.027792	19.95	0.003183	0.004522	0.007383	-0.220523
20010629	0.165413	-0.017474	0.010733	23.25	0.002778	0.001688	-0.020252	0.162635
20010731	-0.191828	-0.018316	-0.068938	18.79	0.002999	-0.002809	-0.021315	-0.194827
20010831	-0.012773	-0.059095	-0.048665	18.55	0.002996	0	-0.062091	-0.015769
20010928	-0.163881	-0.091543	-0.082341	15.51	0.00273	0.004507	-0.094273	-0.166611
20011031	0.132173	0.02797	0.17826	17.56	0.002154	-0.003365	0.025816	0.130019
20011130	0.212984	0.078735	0.07088	21.3	0.001749	-0.001688	0.076986	0.211235
20011231	0.028169	0.017844	0.046457	21.9	0.001484	-0.003946	0.01636	0.026685
20020131	0.128767	-0.016046	-0.108052	24.72	0.00139	0.002264	-0.017436	0.127377
20020228	-0.122168	-0.021713	-0.089258	21.7	0.001285	0.003953	-0.022998	-0.123453
20020328	0.090783	0.044688	0.059927	23.67	0.001341	0.005624	0.043347	0.089442
20020430	0.025349	-0.049654	-0.194615	24.27	0.001546	0.005593	-0.0512	0.023803
20020531	-0.039967	-0.010478	-0.037727	23.3	0.001442	0	-0.01192	-0.041409
20020628	-0.239485	-0.070251	-0.105034	17.72	0.001312	0.000556	-0.071563	-0.240797
20020731	-0.138826	-0.081135	-0.022222	15.26	0.001507	0.001112	-0.082642	-0.140333
20020830	-0.033421	0.007965	0.072869	14.75	0.001402	0.003331	0.006563	-0.034823
20020930	-0.016949	-0.099965	-0.226453	14.5	0.001414	0.00166	-0.101379	-0.018363
20021031	0.108276	0.074926	0.353799	16.07	0.001334	0.001657	0.073592	0.106942
20021129	-0.03547	0.061275	0.10299	15.5	0.001166	0	0.060109	-0.036636
20021231	-0.075484	-0.053316	-0.108375	14.33	0.001079	-0.002206	-0.054395	-0.076563
20030131	0.002093	-0.023392	0.009032	14.36	0.000934	0.004422	-0.024326	0.001159
20030228	0.045265	-0.01539	-0.001279	15.01	0.000871	0.007705	-0.016261	0.044394
20030331	-0.057961	0.010325	0.006158	14.14	0.00102	0.006008	0.009305	-0.058981
20030430	0.005658	0.082762	0.082494	14.22	0.000939	-0.002172	0.081823	0.004719
20030530	0.262307	0.063471	0.038869	17.95	0.000903	-0.001632	0.062568	0.261404
20030630	0.061838	0.016335	-0.062926	19.06	0.000984	0.00109	0.015351	0.060854
20030731	0.105981	0.023112	-0.015152	21.08	0.000674	0.001089	0.022438	0.105307
20030829	0.072581	0.024966	0.011323	22.61	0.000689	0.003806	0.024277	0.071892
20030930	-0.083591	-0.009112	0.077064	20.72	0.000865	0.00325	-0.009977	-0.084456
20031031	0.10473	0.060318	0.013019	22.89	0.0007	-0.00108	0.059618	0.10403
20031128	-0.086501	0.016594	0.013634	20.91	0.000725	-0.002703	0.015869	-0.087226
20031231	0.021999	0.045528	0.023636	21.37	0.000831	-0.001084	0.044697	0.021168
20040130	0.055685	0.023048	0.070673	22.56	0.000696	0.004883	0.022352	0.054989
20040227	0.060284	0.015459	-0.025899	23.92	0.000623	0.0054	0.014836	0.059661
20040331	0.130435	-0.010694	-0.04829	27.04	0.000844	0.006445	-0.011538	0.129591
20040430	-0.046598	-0.024231	-0.039961	25.78	0.000795	0.003202	-0.025026	-0.047393
20040528	0.088441	0.014125	0.006805	28.06	0.000603	0.005851	0.013522	0.087838
20040630	0.159658	0.021582	-0.004967	32.54	0.000817	0.003173	0.020765	0.158841
20040730	-0.006146	-0.037667	-0.012252	32.34	0.000919	-0.001581	-0.038586	-0.007065
20040831	0.066481	0.002713	-0.025267	34.49	0.001116	0.000528	0.001597	0.065365
20040930	0.123514	0.020546	0.012398	38.75	0.001185	0.002111	0.019361	0.122329
20041029	0.352258	0.017805	0.046769	52.4	0.001129	0.005266	0.016676	0.351129
20041130	0.27958	0.04821	0.052033	67.05	0.001541	0.000524	0.046669	0.278039
20041231	-0.039523	0.035179	0.046053	64.4	0.001672	-0.003665	0.033507	-0.041195
20050131	0.194099	-0.026556	-0.052343	76.9	0.001661	0.002102	-0.028217	0.192438
20050228	0.16671	0.022672	-0.007065	44.86	0.001641	0.005768	0.021031	0.165069
20050331	-0.07111	-0.016935	-0.012962	41.67	0.002123	0.007821	-0.019058	-0.073233
20050429	-0.134629	-0.025186	-0.16415	36.06	0.002072	0.006725	-0.027258	-0.136701
20050531	0.102587	0.037955	-0.008248	39.7593	0.002395	-0.001028	0.03556	0.100192
20050630	-0.074179	0.011534	-0.017869	36.81	0.002263	0.000514	0.009271	-0.076442
20050729	0.158653	0.043327	0.124798	42.65	0.002383	0.004627	0.040944	0.15627
20050831	0.099414	-0.005946	-0.031632	46.89	0.00292	0.005118	-0.008866	0.096494
20050930	0.143314	0.010565	-0.004962	53.61	0.002848	0.01222	0.007717	0.140466
20051031	0.07424	-0.020801	0.020693	57.59	0.002728	0.002012	-0.023529	0.071512
20051130	0.177635	0.040385	0.088178	67.82	0.003045	-0.008032	0.03734	0.17459
20051230	0.060012	0.003455	-0.075366	71.89	0.00316	-0.004049	0.000295	0.056852
20060131	0.050355	0.040033	-0.010949	75.51	0.003488	0.007622	0.036545	0.046867
20060228	-0.092968	-0.00164	-0.010578	68.49	0.003322	0.002017	-0.004962	-0.09629
20060331	-0.084246	0.019055	0.027792	62.72	0.003642	0.005536	0.015413	-0.087888
20060428	0.12229	0.012962	-0.001576	70.39	0.003559	0.008509	0.009403	0.118731
20060531	-0.150874	-0.031048	-0.02599	59.77	0.004195	0.004963	-0.035243	-0.155069
20060630	-0.041827	-0.000408	-0.038548	57.27	0.00397	0.001975	-0.004378	-0.045797
20060731	0.18666	-0.001904	0.00768	67.96	0.003976	0.002957	-0.00588	0.182684
20060831	-0.001619	0.025061	0.049864	67.85	0.004283	0.001966	0.020778	-0.005902
20060929	0.134562	0.019424	0.01198	76.98	0.004047	-0.004904	0.015377	0.130515
20061031	0.053261	0.037126	0.1268	81.08	0.004076	-0.005421	0.03305	0.049185
20061130	0.130488	0.023705	-0.001191	91.66	0.004243	-0.001487	0.019462	0.126245
20061229	-0.074405	0.010833	0.056897	84.84	0.004036	0.001489	0.006797	-0.078441
20070131	0.01049	0.019428	0.020587	85.73	0.004328	0.003053	0.0151	0.006162
20070228	-0.013064	-0.013957	-0.059607	84.61	0.003837	0.00535	-0.017794	-0.016901
20070330	0.098097	0.012949	0.014203	92.91	0.004257	0.009106	0.008692	0.09384
20070430	0.074158	0.039821	0.084341	99.8	0.004348	0.006496	0.035473	0.06981
20070531	0.214339	0.038932	0.046864	121.191	0.004046	0.006111	0.034886	0.210293
20070629	0.007005	-0.014756	-0.012664	122.04	0.003918	0.001938	-0.018674	0.003087
20070731	0.079646	-0.031756	0.051306	131.75999	0.003962	-0.000254	-0.035718	0.075684
20070831	0.051002	0.011656	0.058202	138.48	0.004205	-0.001834	0.007451	0.046797
20070928	0.108247	0.04086	0.009512	153.47	0.003347	0.002756	0.037513	0.1049
20071031	0.237701	0.025835	-0.014261	189.95	0.003212	0.002139	0.022623	0.234489
20071130	-0.040695	-0.049222	-0.090768	182.22	0.003395	0.00594	-0.052617	-0.04409
20071231	0.087038	-0.004419	0.027762	198.08	0.002921	-0.000671	-0.00734	0.084117
20080131	-0.31664	-0.062151	-0.009158	135.36	0.00243	0.004971	-0.064581	-0.31907
20080229	-0.076389	-0.021653	0.066754	125.02	0.001325	0.002904	-0.022978	-0.077714
20080331	0.147816	-0.01042	0.011242	143.5	0.001869	0.008668	-0.012289	0.145947
20080430	0.212195	0.051105	0.048289	173.95	0.001025	0.006065	0.05008	0.21117
20080530	0.085082	0.023843	0.076471	188.75	0.000946	0.008421	0.022897	0.084136
20080630	-0.112901	-0.078434	-0.084215	167.44	0.00175	0.010077	-0.080184	-0.114651
20080731	-0.050705	-0.01333	0.079727	158.95	0.00144	0.005251	-0.01477	-0.052145
20080829	0.066562	0.010564	-0.044929	169.53	0.001282	-0.003992	0.009282	0.06528
20080930	-0.329558	-0.098005	-0.039185	113.66	0.00153	-0.001383	-0.099535	-0.331088
20081031	-0.053405	-0.184603	-0.205113	107.59	0.000792	-0.010101	-0.185395	-0.054197
20081128	-0.138675	-0.084615	-0.116919	92.67	0.000228	-0.019153	-0.084843	-0.138903
20081231	-0.07899	0.022149	0.031373	85.35	0.000029	-0.010342	0.02212	-0.079019
20090130	0.056005	-0.077332	0.088997	90.13	0.000023	0.004352	-0.077355	0.055982
20090227	-0.009098	-0.100184	0.009602	89.31	0.000147	0.004973	-0.100331	-0.009245
20090331	0.177024	0.086693	0.052809	105.12	0.000159	0.002432	0.086534	0.176865
20090430	0.197013	0.109359	0.065229	125.83	0.000125	0.002496	0.109234	0.196888
20090529	0.079313	0.067789	0.035074	135.81	0.000017	0.002889	0.067772	0.079296
20090630	0.048745	-0.003098	-0.017501	142.42999	0.000075	0.00859	-0.003173	0.04867
20090731	0.14716	0.081718	0.129381	163.39	0.000119	-0.001586	0.081599	0.147041
20090831	0.0295	0.031466	0.005681	168.21001	0.000116	0.002243	0.03135	0.029384
20090930	0.101896	0.045235	0.013215	185.35001	0.000079	0.000625	0.045156	0.101817
20091030	0.016995	-0.027998	0.008361	188.5	0.00004	0.000963	-0.028038	0.016955
20091130	0.060531	0.057099	0.052152	199.91	0.000004	0.000708	0.057095	0.060527
20091231	0.054134	0.028419	0.036011	210.73199	0.000062	-0.001761	0.028357	0.054072
20100129	-0.088591	-0.037098	-0.065011	192.063	0.000028	0.003417	-0.037126	-0.088619
20100226	0.06538	0.034775	0.043468	204.62	0.00001	0.000249	0.034765	0.06537
20100331	0.14847	0.063605	0.008572	235	0.000068	0.004106	0.063537	0.148402
20100430	0.111021	0.020011	0.005848	261.09	0.000111	0.001737	0.0199	0.11091
20100528	-0.016125	-0.079141	-0.023953	256.88	0.000112	0.000775	-0.079253	-0.016237
20100630	-0.020827	-0.050721	-0.01421	251.53	0.000127	-0.000976	-0.050848	-0.020954
20100730	0.022741	0.071554	0.039844	257.25	0.000142	0.000211	0.071412	0.022599
20100831	-0.055005	-0.042818	-0.035981	243.10001	0.000126	0.001381	-0.042944	-0.055131
20100930	0.167215	0.091518	0.089418	283.75	0.000125	0.000582	0.091393	0.16709
20101029	0.060723	0.038532	0.070523	300.98001	0.000112	0.001245	0.03842	0.060611
20101130	0.03379	0.005165	-0.010376	311.14999	0.000114	0.000421	0.005051	0.033676
20101231	0.03667	0.067152	0.037466	322.56	0.00014	0.001718	0.067012	0.03653
20110131	0.051959	0.019157	0.103843	339.32001	0.000066	0.004763	0.019091	0.051893
20110228	0.040935	0.038164	0.003272	353.20999	0.000122	0.004931	0.038042	0.040813
20110331	-0.013314	0.003374	0.007351	348.50751	0.000067	0.009751	0.003307	-0.013381
20110429	0.004656	0.028689	0.046054	350.13	0.000053	0.006439	0.028636	0.004603
20110531	-0.006569	-0.014933	-0.005276	347.82999	0.000013	0.004704	-0.014946	-0.006582
20110630	-0.03496	-0.018395	0.015509	335.67001	0.000035	-0.001071	-0.01843	-0.034995
20110729	0.163285	-0.02247	0.060041	390.48001	-0.000028	0.000886	-0.022442	0.163313
20110831	-0.014469	-0.057471	-0.050536	384.82999	0.000083	0.002758	-0.057554	-0.014552
20110930	-0.009121	-0.084873	0.017218	381.32001	-0.000001	-0.00029	-0.084872	-0.00912
20111031	0.061523	0.113984	0.055813	404.78	0.000014	0.00092	0.11397	0.061509
20111130	-0.055783	-0.006225	0.022315	382.20001	0.000004	0.00001	-0.006229	-0.055787
20111230	0.059655	0.003701	-0.021915	405	0	0.00208	0.003701	0.059655
