datadate	Fiscal Year	tic	Company Name	Nation	Total Assets	Return on Assets	Net Income	Cost of Goods Sold	Total Revenue	Expense: R&D	Expense: Admin, Selling	# Employees	Book Value per Share	Description	NAICS	cusip
20101231	2010	T	AT&T INC	USA	$268,488.00 	0.073984685	$19,864.00 	$52,263.00 	$124,280.00 	$1,345.00 	$33,065.00 	266590	18.8877	AT&T Inc., together with its subsidiaries, provides telecommunication services to consumers, businesses, and other service providers worldwide.	517110	00206R102
20101231	2010	COVR	COVER-ALL TECHNOLOGIES INC	USA	$19.51 	0.15128376	$2.95 	$9.94 	$17.46 	$0.85 	$4.17 	82	0.6081	Cover-All Technologies Inc., through its subsidiary, Cover-All Systems, Inc., provides software products and services for the property and casualty insurance industry primarily in the United States and Puerto Rico.	511210	222892101
20100731	2010	3SNDTF	SAND TECHNOLOGY INC  -CL A	CAN	$2.06 	-0.352455032	($0.73)	$1.16 	$6.38 	$2.10 	$5.52 	44	-0.1498	Sand Technology Inc., together with its subsidiaries, engages in the design, development, marketing, and support of software products and services that enable users to retrieve usable business information from large amounts of data.	511210	799774302
20100630	2010	MSFT	MICROSOFT CORP	USA	$86,113.00 	0.217853286	$18,760.00 	$9,888.00 	$62,484.00 	$8,714.00 	$25,932.00 	89000	5.3271	Microsoft Corporation develops, manufactures, licenses, and supports a range of software products and services for various computing devices worldwide. The company's Windows & Windows Live Division segment offers Windows operating system, Windows Live, and Internet Explorer.	511210	594918104
20110531	2010	ORCL	ORACLE CORP	USA	$73,535.00 	0.116230367	$8,547.00 	$8,030.00 	$35,622.00 	$4,519.00 	$12,188.00 	108000	7.8485	Oracle Corporation, an enterprise software company, develops, manufactures, markets, distributes, and services database and middleware software, applications software, and hardware systems worldwide.	511210	68389X105
20101231	2010	1027B	SUNGARD DATA SYSTEMS INC	USA	$12,968.00 	-0.043954349	($570.00)	$1,990.00 	$4,992.00 	$370.00 	$1,511.00 	20100		SunGard Data Systems Inc. provides software and processing solutions in the United States and internationally.	511210	867363939
20101130	2010	ADBE	ADOBE SYSTEMS INC	USA	$8,141.15 	0.095156113	$774.68 	$211.43 	$3,800.00 	$680.33 	$2,308.03 	9117	10.3455	Adobe Systems Incorporated operates as a diversified software company in the Americas, Europe, the Middle East, Africa, and Asia.	511210	00724F101
20101231	2010	3BCST	BROADCAST INTERNATIONAL INC	USA	$10.71 	-1.742670401	($18.66)	$4.38 	$7.31 	$2.71 	$7.11 	41	-0.2149	Broadcast International, Inc. engages in the installation, management, and support of private communication networks for large organizations in the United States.	517911	11131M100
20110131	2010	CMVT	COMVERSE TECHNOLOGY INC	USA	$2,813.92 	-0.047024047	($132.32)	$632.68 	$1,623.43 	$253.09 	$942.40 	5900	2.0193	Comverse Technology, Inc., through its subsidiaries, provides software-based products, systems, and related services that offer prepaid, postpaid, and converged billing and active customer management for wireless, wireline, and cable network operators.	511210	205862402
20100930	2010	CMPD	COMPUMED INC	USA	$0.74 	-0.510121457	($0.38)	$0.74 	$1.76 	$0.01 	$1.25 	10	0.0115	CompuMed, Inc., a medical telemedicine and ehealth provider, focuses on the diagnosis, monitoring, and management of cardiovascular diseases and osteoporosis.	518210	204914402
20101231	2010	CDNS	CADENCE DESIGN SYSTEMS INC	USA	$1,732.12 	0.073053999	$126.54 	$88.10 	$935.95 	$376.41 	$758.17 	4600	1.0357	Cadence Design Systems, Inc. develops electronic design automation software and hardware for customers worldwide. Its products and services are used to design and develop integrated circuits (ICs), and electronics systems.	511210	127387108
20101231	2010	EBIX	EBIX INC	USA	$303.30 	0.194589515	$59.02 	$29.60 	$132.19 	$13.61 	$45.54 	1179	6.4211	Ebix, Inc. provides on-demand software and e-commerce solutions to the insurance industry.	511210	278715206
20101231	2010	TEF	TELEFONICA SA	ESP	$172,198.45 	0.078343285	$13,490.59 	$58,346.45 	$81,762.25 	$1,057.54 		285106	21.5881	Telefonica, S.A. provides fixed and mobile telephony services primarily in Spain, rest of Europe, and Latin America.	517210	879382208
20101231	2010	3ANTS	ANTS SOFTWARE INC	USA	$29.20 	-1.453013699	($42.43)	$5.83 	$6.18 	$3.32 	$16.15 	68	-0.0736	ANTs software, inc. provides database migration solutions. The company develops and sells ANTs Compatibility Server (ACS), a middleware solution that accelerates database consolidation between database vendors, enabling application portability.	511210	37271103
20110331	2010	TIGR	TIGERLOGIC CORP	USA	$40.04 	-0.074404316	($2.98)	$1.37 	$13.67 	$5.96 	$14.77 	97	1.2052	TigerLogic Corporation engages in the design, development, sale, and support of software infrastructure, Internet search enhancement tools, and a social media content aggregation platform in North America, the United Kingdom, France, and Germany.	511210	8867EQ101
20110331	2010	BMC	BMC SOFTWARE INC	USA	$4,485.40 	0.101707763	$456.20 	$323.30 	$2,065.30 	$176.50 	$1,001.00 	6200	9.3843	BMC Software, Inc. develops software that provides system and service management solutions for enterprises in the United States and internationally. The company operates in two segments, Enterprise Service Management and Mainframe Service Management.	511210	55921100
20110331	2010	VOD	VODAFONE GROUP PLC	GBR	$242,677.86 	0.052691441	$12,787.05 	$36,810.90 	$73,634.64 	$460.58 	$13,427.36 	83862	27.2422	Vodafone Group plc provides mobile communications in Europe, Africa, the Asia Pacific, the Middle East, and the United States.	517210	92857W209
20100630	2010	3SOMD	STUDIO ONE MEDIA INC	USA	$2.87 	-1.856545961	($5.33)	$0.38 	$0.21 	$0.01 	$4.82 	27	0.0418	Studio One Media, Inc. engages in the development and manufacture of an interactive audio/video recording and conferencing studio designed for installation in shopping malls and other pedestrian high traffic public areas in the United States.	512240	86400R105
20101231	2010	COMT.1	COMAMTECH INC -OLD	CAN	$8.91 	-0.37432675	($3.34)	$0.03 	$1.26 	$0.83 	$4.43 	2	3.9299	As of June 15, 2011, Comamtech Inc. was acquired by Decisionpoint Systems, Inc., in a reverse merger transaction. Comamtech Inc. engages in developing, marketing, and selling search technology in the United States, Europe, and Canada.	511210	19999Z931
20110331	2010	SYMC	SYMANTEC CORP	USA	$12,719.00 	0.046937652	$597.00 	$673.00 	$6,190.00 	$862.00 	$3,860.00 	18600	5.9736	Symantec Corporation provides security, storage, and systems management solutions to secure and manage information. It operates in four segments: Consumer, Security and Compliance, Storage and Server Management, and Services.	511210	871503108
20101231	2010	ZIXI	ZIX CORP	USA	$66.85 	0.616481182	$41.21 	$5.06 	$33.07 	$5.09 	$21.19 	123	0.6979	Zix Corporation provides Internet-based applications in a Software-as-a-Service model to connect, protect, and deliver information, enabling the use of the Internet for applications requiring security in the healthcare, finance, insurance, and government sectors primarily in the United States.	518210	98974P100
20110331	2010	ERTS	ELECTRONIC ARTS INC	USA	$4,928.00 	-0.056006494	($276.00)	$1,383.00 	$3,589.00 	$1,153.00 	$2,201.00 	7645	7.7098	Electronic Arts Inc. develops, markets, publishes, and distributes game software and content for video game consoles, personal computers, mobile phones, tablets and electronic readers, hand held game players, and the Internet.	511210	285512109
20100930	2010	PMTC	PARAMETRIC TECHNOLOGY CORP	USA	$1,307.06 	0.018643311	$24.37 	$261.12 	$1,010.05 	$201.57 	$611.97 	5317	6.452	Parametric Technology Corporation develops, markets, and supports product lifecycle management (PLM) software solutions and services that help companies design products, manage product information, and improve product development processes worldwide.	511210	699173209
20101231	2010	TI	TELECOM ITALIA SPA - NEW	ITA	$118,267.92 	0.035015876	$4,141.26 	$21,437.40 	$36,922.32 	$926.18 		84129	19.8424	Telecom Italia S.p.A., together with its subsidiaries, provides fixed-line and mobile telecommunications, Internet, and media services. The company also operates in office and system solutions.	517110	87927Y102
20101130	2010	PRGS	PROGRESS SOFTWARE CORP	USA	$936.82 	0.051846507	$48.57 	$68.35 	$530.33 	$90.64 	$310.09 	1576	15.5198	Progress Software Corporation operates as an enterprise software company worldwide.	511210	743312100
20110331	2010	THQI	THQ INC	USA	$774.41 	-0.17574525	($136.10)	$197.39 	$665.26 	$79.37 	$278.56 	1750	3.0283	THQ Inc. engages in developing, publishing, and distributing interactive entertainment software for various game systems.	511210	872443403
20101031	2010	SNPS	SYNOPSYS INC	USA	$3,286.54 	0.07213146	$237.06 	$191.73 	$1,380.66 	$449.23 	$881.99 	6707	14.1446	Synopsys, Inc. provides technology solutions used to develop electronics and electronic systems worldwide.	511210	871607107
20101231	2010	ASUR	ASURE SOFTWARE INC	USA	$5.84 	-0.194825223	($1.14)	$2.02 	$10.03 	$1.45 	$7.14 	56	0.883	Asure Software, Inc. provides workforce management software and services. Its software empowers small to mid-size organizations and divisions of large enterprises to operate efficiently, increase worker productivity, and reduce costs.	511210	04649U102
20101231	2010	MEDQ	MEDQUIST INC	USA	$323.92 	0.095860681	$31.05 	$249.57 	$375.24 	$12.81 	$52.58 	6500	-0.8148	MedQuist Inc. provides integrated clinical documentation solutions for healthcare system in the United States. It offers medical transcription technology and services, maintenance services, digital dictation, speech recognition, and electronic signature services.	518210	584949101
20100630	2010	ADAT	AUTHENTIDATE HOLDING CORP	USA	$20.54 	-0.438327492	($9.01)	$2.87 	$6.75 	$1.86 	$11.47 	59	0.387	Authentidate Holding Corp. provides secure health information exchange, workflow management services, and telehealth solutions worldwide. The company's software and Web-based services eliminate paper and manual work steps from clinical and administrative processes.	511210	52666104
20101231	2010	3INTZ	INTRUSION INC	USA	$1.00 	0.225548902	$0.23 	$1.98 	$5.59 	$1.40 	$3.31 	27	-0.3246	Intrusion Inc. develops, markets, and supports entity identification, data mining, regulated information compliance, data privacy protection, and network intrusion prevention/detection products in the United States.	511210	4.61E+209
20100930	2010	DWCH	DATAWATCH CORP	USA	$11.49 	0.033080874	$0.38 	$4.04 	$17.67 	$2.66 	$12.01 	93	0.9554	Datawatch Corporation designs, develops, manufactures, markets, and supports business computer software products primarily in the United States and the United Kingdom.	511210	237917208
20101231	2010	MGIC	MAGIC SOFTWARE ENTERPRISES	ISR	$111.95 	0.083742742	$9.38 	$46.88 	$88.58 	$2.07 	$27.79 	678	2.4747	Magic Software Enterprises Ltd. develops, markets, and supports software development and deployment technology, and applications. It offers uniPaaS, an application platform for software development and deployment; and iBOLT, a platform for business integration and business process management.	511210	559166103
20101231	2010	3DIRI	DIRECT INSITE CORP	USA	$6.71 	0.154064131	$1.03 	$7.93 	$9.05 	$1.75 		38	0.4239	Direct Insite Corp., a software as a service provider (SaaS), markets Invoices On-Line, an integrated transaction based electronic invoice presentment and payment service that processes transactional data for invoice presentment purposes.	518210	25457C207
20101231	2010	EEE	EVERGREEN ENERGY INC	USA	$29.56 	-0.688341566	($20.35)	$15.95 	$0.40 	$0.89 		23	-0.578	Evergreen Energy Inc. operates as a cleaner coal technology, energy production, and environmental solutions company in the United States. It operates two clean energy business units that own two proprietary technologies: K-Fuel, and the GreenCert suite of software and services.	511210	30024B203
20110331	2010	CPWR	COMPUWARE CORP	USA	$2,038.38 	0.052709092	$107.44 	$238.78 	$928.93 	$69.20 	$489.50 	4396	4.3754	Compuware Corporation provides software products, professional services, and application services to various commercial and government organizations.	511210	205638109
20101231	2010	IACI	IAC/INTERACTIVECORP	USA	$3,439.55 	0.028887176	$99.36 	$593.82 	$1,636.82 	$65.10 	$873.80 	3200	27.5092	IAC/InterActiveCorp engages in the Internet business in the United States and internationally. The company operates in four segments: Search, Match, ServiceMagic, and Media and Other.	519130	44919P508
20100731	2010	INTU	INTUIT INC	USA	$5,198.00 	0.110427087	$574.00 	$439.00 	$3,455.00 	$573.00 	$1,897.00 	7700	8.9881	Intuit Inc. provides business and financial management solutions for small and medium-sized businesses, consumers, accounting professionals, and financial institutions in the United States, Canada, India, and the United Kingdom.	511210	461202103
20101231	2010	3ATTUF	ATTUNITY LTD	ISR	$10.71 	-0.14058851	($1.51)	$0.74 	$10.08 	$2.48 	$8.17 	49	0.0227	Attunity Ltd., together with its subsidiaries, provides software for real-time data integration and event capture applications worldwide.	511210	M15332105
20101231	2010	SPNS	SAPIENS INTERNATIONAL CORP	ISR	$55.07 	0.111714395	$6.15 	$23.27 	$52.24 	$3.29 	$15.60 	361	1.5407	Sapiens International Corporation N.V. provides information technology (IT) solutions for the insurance industry. It primarily offers Sapiens INSIGHT, a suite of modular business software solutions for the property and casualty, life insurance, and pension markets.	511210	N7716A151
20101231	2010	LNET	LODGENET INTERACTIVE CORP	USA	$444.01 	-0.026317212	($11.69)	$255.27 	$452.19 	$0.57 	$91.09 	1049	-4.4581	LodgeNet Interactive Corporation provides interactive media and connectivity solutions for the hospitality industry in the United States, Canada, and Mexico.	517410	540211109
20101231	2010	QMCI	QUOTEMEDIA INC	USA	$2.63 	-0.739642721	($1.95)	$3.11 	$7.81 	$1.22 	$5.54 	50	-0.0439	Quotemedia, Inc. develops financial software and distributes market data and research information to online brokerages, clearing firms, banks, media properties, public companies, and financial service corporations worldwide.	511210	749114104
20101231	2010	INCY	INCYTE CORP	USA	$489.58 	-0.065047459	($31.85)	$155.11 	$169.88 	$123.88 		247	-0.719	Incyte Corporation focuses on the discovery and development of proprietary small molecule drugs for hematologic and oncology indications, and inflammatory and autoimmune diseases.	517110	45337C102
20101231	2010	SIRI	SIRIUS XM RADIO INC	USA	$7,383.09 	0.005831572	$43.06 	$1,099.64 	$2,816.99 	$45.39 	$914.86 	1479	0.0528	Sirius XM Radio Inc. provides satellite radio services in the United States and Canada.	515112	82967N108
20100630	2010	AZPN	ASPEN TECHNOLOGY INC	USA	$394.71 	-0.272210442	($107.45)	$61.81 	$166.34 	$48.23 	$208.48 	1289	1.5251	Aspen Technology, Inc., together with its subsidiaries, provides integrated process optimization software solutions for manufacturers in process industries, and engineering and construction firms.	511210	45327103
20101231	2010	3CMXX	CIMETRIX INC	USA	$2.45 	0.777460188	$1.90 	$1.52 	$6.81 	$0.85 	$3.26 	25	0.0119	Cimetrix Incorporated, a software company, engages in the design, development, marketing, and support of factory automation solutions for the semiconductor and electronics industries worldwide.	511210	1.72E+104
20100731	2010	ESIC	EASYLINK SERVICES INTL CORP	USA	$104.49 	0.163591295	$17.09 	$14.46 	$81.44 	$7.28 	$47.16 	282	2.1015	EasyLink Services International Corporation provides value added services that facilitate the electronic exchange of documents and information between enterprises, their trading communities, and their customers.	519130	277858106
20101231	2010	3FIND	FINDEX.COM INC	USA	$0.67 	-0.73880597	($0.50)	$0.51 	$1.78 	$0.16 	$1.43 	10	-0.0169	FindEx.com Inc. engages in the development, publishing, marketing, distribution, and direct sale of consumer and business software products worldwide.	511210	33831D107
20101231	2010	ACIW	ACI WORLDWIDE INC	USA	$601.53 	0.04520979	$27.20 	$123.70 	$418.42 	$74.08 	$214.73 	2134	7.6826	ACI Worldwide, Inc. develops, markets, installs, and supports software products and services to facilitate electronic payments worldwide.	511210	4498101
20101231	2010	NATI	NATIONAL INSTRUMENTS CORP	USA	$959.68 	0.113700163	$109.12 	$161.18 	$873.22 	$158.15 	$545.86 	5280	9.4722	National Instruments Corporation manufactures and supplies measurement and automation products. It provides application software and modular hardware that combines with industry-standard computers, networks, and third party devices to create measurement, automation, and embedded systems.	511210	636518102
20101231	2010	SXCI	SXC HEALTH SOLUTIONS CORP	USA	$816.31 	0.079302078	$64.74 	$1,831.17 	$1,948.39 	$12.43 		1216	8.981	SXC Health Solutions Corp. provides pharmacy benefit management (PBM) services and healthcare information technology solutions to the healthcare benefits management industry in North America.	511210	78505P100
20101231	2010	3DVNTF	DIVERSINET CORP	CAN	$12.77 	0.146224937	$1.87 	$0.02 	$4.93 	$3.11 	$6.78 	36	0.2842	Diversinet Corp. provides applications that securely connect people with their healthcare information through providers and payers.	511210	25536K303
20101231	2010	MMUS	MAKEMUSIC INC	USA	$22.62 	0.044737191	$1.01 	$1.76 	$17.15 	$5.52 	$13.84 	100	3.3078	MakeMusic, Inc. develops and markets proprietary music technology solutions.	511210	56086P202
20101231	2010	ATEA	ASTEA INTERNATIONAL INC	USA	$14.30 	-0.10979021	($1.57)	$10.91 	$21.39 	$3.04 	$9.91 	179	1.364	Astea International Inc. develops, markets, and supports service management software solutions worldwide. It licenses its solutions to various companies that sell and service equipment, and/or sell and deliver professional services.	511210	4.62E+211
20101231	2010	GVP	GSE SYSTEMS INC	USA	$53.61 	-0.041947999	($2.25)	$33.90 	$47.21 	$1.60 	$10.97 	248	1.925	GSE Systems, Inc. provides simulation and educational solutions and services to nuclear and fossil electric utility, and chemical and petrochemical industries in the United States, Europe, and Asia.	511210	36227K106
20101231	2010	SMSI	SMITH MICRO SOFTWARE INC	USA	$234.89 	0.052560326	$12.35 	$3.73 	$130.50 	$42.76 	$96.61 	549	6.2413	Smith Micro Software, Inc. designs, develops, and markets software products and services primarily for the mobile computing and communications industries worldwide. The company operates in two segments, Wireless, and Productivity and Graphics segments.	511210	832154108
20100630	2010	EGAM	EGAMES INC	USA	$1.66 	-0.206979543	($0.34)	$1.46 	$3.60 	$0.93 	$2.67 	13	-0.0473	eGames, Inc. develops, publishes, markets, and sells software games primarily for the personal computer (PC) in North America and internationally. The company publishes third-party PC game titles and develops its own proprietary PC game titles for distribution at retail and on the Internet.	511210	282253103
20101231	2010	KKPNY	KONINKLIJKE KPN NV	NLD	$30,169.73 	0.078858259	$2,379.13 	$10,555.49 	$17,777.81 	$108.81 			2.9531	Koninklijke KPN N.V., through its subsidiaries, provides telecommunications, and information, communication, and technology (ICT) services primarily in the Netherlands, Belgium, and Germany. It offers fixed and mobile telephony, Internet, and TV services to consumers.	517110	780641205
20101231	2010	TLK	TELEKOMUNIKASI INDONESIA	IDN	$11,243.00 	0.115627502	$1,300.00 	$3,003.00 	$7,735.00 	$1.00 	$550.00 	26847	10.1803	Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk provides telecommunication and network services worldwide.	517210	715684106
20101231	2010	ADVS	ADVENT SOFTWARE INC	USA	$490.83 	0.049208885	$24.15 	$70.47 	$283.50 	$51.42 	$158.27 	1051	10.5379	Advent Software, Inc. provides software and services that automate work flows and data across investment management organizations, as well as the information flows between an investment management organization and external parties.	511210	7974108
20101231	2010	ACCL	ACCELRYS INC	USA	$363.28 	-0.056727281	($20.61)	$21.00 	$80.21 	$22.08 	$68.63 	580	4.4433	Accelrys, Inc. engages in the design, development, marketing, and support of software based solutions that facilitate the discovery and development of products and processes in the pharmaceutical, biotechnology, energy, chemicals, aerospace, and consumer packaged goods industries worldwide.	511210	00430U103
20101231	2010	CTXS	CITRIX SYSTEMS INC	USA	$3,703.60 	0.074809645	$277.07 	$99.54 	$1,874.66 	$326.65 	$1,313.28 	5637	13.6167	Citrix Systems, Inc. designs, develops, and markets technology solutions that deliver information technology services on-demand worldwide.	511210	177376100
20100930	2010	NUAN	NUANCE COMMUNICATIONS INC	USA	$3,769.70 	-0.005066452	($19.10)	$340.03 	$1,118.95 	$152.07 	$540.34 	6100	7.6945	Nuance Communications, Inc. provides voice and language solutions for businesses and consumers worldwide.	511210	67020Y100
20100630	2010	ADEP	ADEPT TECHNOLOGY INC	USA	$34.99 	-0.040809328	($1.43)	$27.92 	$51.63 	$5.65 	$23.12 	163	2.1058	Adept Technology, Inc., together with its subsidiaries, provides intelligent robotics systems and services for packaging, solar, medical, disk drive/electronics, machine tool automation, and automotive electronics sectors.	511210	6854202
20100630	2010	OTEX	OPEN TEXT CORP	CAN	$1,714.02 	0.051080965	$87.55 	$236.06 	$912.02 	$129.38 	$410.88 	3861	15.6803	Open Text Corporation develops, markets, sells, licenses, and supports enterprise content management (ECM) solutions primarily in North America and Europe.	511210	683715106
20101231	2010	CSGS	CSG SYSTEMS INTL INC	USA	$879.70 	0.02549625	$22.43 	$252.85 	$549.38 	$78.05 	$148.39 	3512	6.9482	CSG Systems International, Inc. provides outsourced customer care and billing solutions primarily to the cable and direct broadcast satellite industry in North America. It offers Advanced Convergent Platform, a customer care and billing solution, and related services and software products.	518210	126349109
20101231	2010	PGI	PREMIERE GLOBAL SERVICES INC	USA	$541.66 	0.008918928	$4.83 	$179.14 	$441.75 	$14.14 	$194.75 	1700	4.6316	Premiere Global Services, Inc. (PGi) provides virtual meetings solutions. People around the world come together using its video, Web, and audio conferencing solutions. The company primarily offers three solutions, including iMeet, GlobalMeet, and ReadyConference.	517919	740585104
20100731	2010	IDT	IDT CORP	USA	$517.80 	0.039185392	$20.29 	$1,110.72 	$1,401.45 	$8.01 	$230.38 	1200	8.1233	IDT Corporation operates as a telecommunications and energy company. It operates in three segments: Telecom Platform Services, Consumer Phone Services, and Genie Energy.	517110	448947507
20101231	2010	JDAS	JDA SOFTWARE GROUP INC	USA	$1,113.53 	0.015911589	$17.72 	$233.70 	$617.21 	$72.16 	$234.15 	3000	14.8859	JDA Software Group, Inc. provides enterprise software solutions to enable planning, optimization, and execution of merchandising and supply chain processes primarily in the Americas, Europe, and the Asia Pacific.	511210	46612K108
20101231	2010	CIMT	CIMATRON LTD	ISR	$34.90 	0.045586086	$1.59 	$5.24 	$36.07 	$6.01 	$27.38 	280	1.9264	Cimatron Ltd. designs, develops, manufactures, markets, and supports computer-aided design/computer aided manufacturing (CAD/CAM) software products.	511210	M23798107
20101231	2010	YHOO	YAHOO INC	USA	$14,928.10 	0.082506325	$1,231.66 	$1,976.66 	$6,324.65 	$1,082.18 	$2,835.00 	13600	9.5949	Yahoo! Inc., together with its consolidated subsidiaries, operates as a digital media company that delivers personalized digital content and experiences, across devices and worldwide.	519130	984332106
20101231	2010	SSNC	SS&C TECHNOLOGIES HLDGS INC	USA	$1,275.73 	0.025407494	$32.41 	$125.20 	$328.91 	$31.44 	$83.13 	1399	11.7758	SS&C Technologies Holdings, Inc. provides software products and software-enabled services to the financial service providers.	511210	78467J100
20101231	2010	DATA	DATATRAK INTERNATIONAL INC	USA	$2.69 	0.037588389	$0.10 	$1.17 	$7.39 	$0.92 	$6.10 	42	-0.0695	DATATRAK International, Inc., a technology and services company, provides electronic clinical solutions for the clinical trials industry primarily in the United States.	511210	238134100
20110430	2010	DAEG	DAEGIS INC	USA	$62.73 	-0.265645424	($16.67)	$8.05 	$46.99 	$7.74 	$30.87 			Daegis Inc. provides application development, data management, migration, and archiving software solutions worldwide.	511210	233720101
20101231	2010	ANSS	ANSYS INC	USA	$2,126.88 	0.071998556	$153.13 	$56.88 	$580.24 	$88.99 	$243.59 	1660	16.6937	ANSYS, Inc. engages in the development and marketing of engineering simulation software and services used by engineers and designers in aerospace, automotive, manufacturing, electronics, biomedical, energy, and defense industries.	511210	03662Q105
20101231	2010	DASTY	DASSAULT SYSTEMS SA	FRA	$4,075.97 	0.071781914	$292.58 	$255.96 	$2,075.01 	$427.39 	$1,231.50 			Dassault Systemes S.A. provides 3D and product lifecycle management solutions in France and internationally.	511210	237545108
20101231	2010	CHKP	CHECK POINT SOFTWARE TECHN	ISR	$3,605.30 	0.125600019	$452.83 	$105.21 	$1,097.87 	$105.75 	$398.29 	2239	13.0477	Check Point Software Technologies Ltd. develops, markets, and supports a range of software, and combined hardware and software products and services for information technology (IT) security applications worldwide.	511210	M22465104
20101031	2010	VSNT	VERSANT CORP	USA	$39.13 	0.042270439	$1.65 	$1.50 	$15.77 	$3.78 	$11.64 	61	10.7202	Versant Corporation engages in the design, development, and marketing of object-oriented database management system products to solve complex data management and data integration problems of enterprises.	511210	925284309
20101231	2010	PEGA	PEGASYSTEMS INC	USA	$337.48 	-0.017455798	($5.89)	$116.73 	$336.60 	$55.19 	$196.46 	1509	5.2529	Pegasystems Inc. develops, markets, licenses, and supports software to automate various business processes worldwide. The company offers PegaRULES Process Commander (PRPC) that provides capabilities designed to model, execute, monitor, and analyze results.	511210	705573103
20101231	2010	MGT	MGT CAPITAL INVESTMENTS INC	GBR	$11.48 	-0.840972464	($9.65)	$11.74 	$0.54 	$1.58 		30	0.0503	MGT Capital Investments, Inc., through its subsidiaries, engages in the medical imaging business in United Kingdom, other parts of Europe, the United States, Japan, and China.	511210	55302P103
20101231	2010	BITS	BITSTREAM INC  -CL A	USA	$21.82 	-0.148338299	($3.24)	$10.64 	$23.14 	$7.18 	$14.65 	148	1.5653	Bitstream Inc. operates as a software development company worldwide. It provides mobile browsing technology products, including BOLT Browser, a WebKit based browser for mobile phones; BOLT Lite, a lower version of BOLT Browser; and BOLT Library SDK, a software developers kit.	511210	91736108
20110131	2010	SEAC	SEACHANGE INTERNATIONAL INC	USA	$305.19 	0.096555927	$29.47 	$97.79 	$216.73 	$48.40 	$96.41 	1202	6.5691	SeaChange International, Inc. develops, manufactures, and markets digital video systems, as well as provides related services to cable system operators, and telecommunications and broadcast television companies worldwide.	511210	811699107
20101231	2010	3GOJO	GRAPHON CORP	USA	$3.35 	-0.249850568	($0.84)	$0.70 	$7.52 	$2.47 	$7.06 	33	-0.0005	GraphOn Corporation engages in the development, marketing, sale, and support of business connectivity software. The company provides Unix, Linux, and Windows server based software, focusing on Web enabling applications.	511210	388707101
