Name	Weight (1000 lbs)	Combined MPG	Gallons per 100 miles	Residual MPG	Scrambled Residual 1	Scrambled Residual 2	Residual Gal /100 miles	Horsepower
Cadillac SRX 2WD	4.67	19	5.263157895	-0.082397996	2.043759136	-5.378835273	-0.248331797	280
GMC TERRAIN FWD	4.2	20	5	-1.519700075	-1.919091043	-1.608707387	0.054474504	264
Chevrolet TRAVERSE AWD	5.2	19	5.263157895	2.666049029	-9.179139789	0.947017344	-0.88654674	288
Honda CIVIC HF	3.04	33	3.03030303	5.464830964	0.464830964	0.755056341	-0.518374666	140
Honda FIT	2.84	31	3.225806452	2.427681143	-2.586265237	2.184623939	-0.082035417	117
Honda FIT	2.66	29	3.448275862	-0.505753696	-0.082397996	-6.778987531	0.357186239	117
Acura MDX 4WD	4.98	18	5.555555556	0.525184226	-0.453134914	6.495007595	-0.329229669	300
Acura TL 2WD	3.97	23	4.347826087	0.287577631	4.451645875	-2.312270111	-0.320738208	280
Acura TL 4WD	4.35	20	5	-0.74183771	0.799179351	2.125031968	-0.126152367	305
Acura TL 4WD	4.24	21	4.761904762	-0.312270111	1.672260928	0.347169602	-0.2317879	305
Acura TSX	3.64	24	4.166666667	-0.423719574	2.065439996	-2.386569753	-0.104518512	201
Acura TSX	3.99	26	3.846153846	3.391292613	-0.675272549	5.918363295	-0.846494031	201
Acura TSX	4.07	23	4.347826087	0.806152541	-1.193847459	1.842541071	-0.441156122	280
Acura ZDX 4WD	4.82	19	5.263157895	0.695464369	3.242693329	-4.808402871	-0.428958668	300
HYUNDAI MOTOR COMPANY ACCENT	2.87	33	3.03030303	4.583253616	-4.423719574	2.043759136	-0.313664212	138
HYUNDAI MOTOR COMPANY ACCENT	2.67	34	2.941176471	4.546103795	4.205543508	0.865744513	-0.161954944	138
HYUNDAI MOTOR COMPANY ELANTRA TOURING	3.46	26	3.846153846	0.642845587	-0.971709825	2.288338921	-0.208279088	138
HYUNDAI MOTOR COMPANY ELANTRA TOURING	3.48	26	3.846153846	0.746560569	-0.748810899	-1.008859646	-0.232362671	138
HYUNDAI MOTOR COMPANY ELANTRA	2.92	33	3.03030303	4.842541071	-0.608707387	0.76900272	-0.373873169	148
HYUNDAI MOTOR COMPANY ELANTRA	3.07	33	3.03030303	5.620403437	-3.987178786	0.087120856	-0.55450004	148
HYUNDAI MOTOR COMPANY EQUUS	4.82	18	5.555555556	-0.304535631	-3.660564878	-0.505753696	-0.136561007	429
HYUNDAI MOTOR COMPANY GENESIS COUPE	3.66	23	4.347826087	-1.320004592	2.257400999	-7.364127602	0.052557325	210
HYUNDAI MOTOR COMPANY GENESIS COUPE	3.64	20	5	-4.423719574	-4.223262799	2.257400999	0.728814821	306
HYUNDAI MOTOR COMPANY GENESIS COUPE	3.87	24	4.166666667	0.76900272	4.539891896	5.471804153	-0.381479714	210
HYUNDAI MOTOR COMPANY GENESIS COUPE	3.64	20	5	-4.423719574	-0.912117853	-1.957002155	0.728814821	306
HYUNDAI MOTOR COMPANY GENESIS R SPEC	4.46	19	5.263157895	-1.171405308	-0.697714699	-3.838579502	0.004545822	429
HYUNDAI MOTOR COMPANY GENESIS	4.29	22	4.545454546	0.947017344	-1.23797047	3.679995408	-0.508447074	333
HYUNDAI MOTOR COMPANY GENESIS	4.44	20	5	-0.27512029	1.317754262	2.065439996	-0.23452849	385
HYUNDAI MOTOR COMPANY GENESIS	4.42	20	5	-0.378835273	-2.171405308	-0.453134914	-0.210444907	429
HYUNDAI MOTOR COMPANY SONATA	3.76	26	3.846153846	2.198570319	1.864983222	3.939282863	-0.569532829	274
HYUNDAI MOTOR COMPANY SONATA	3.38	28	3.571428571	2.227985659	0.042997846	-3.127282298	-0.386670032	190
HYUNDAI MOTOR COMPANY SONATA	3.62	28	3.571428571	3.472565444	2.169154978	1.659075839	-0.675673025	198
HYUNDAI MOTOR COMPANY VELOSTER	3.07	32	3.125	4.620403437	2.666049029	-2.534407746	-0.45980307	138
HYUNDAI MOTOR COMPANY VELOSTER	3.04	32	3.125	4.464830964	-1.20158194	-0.748810899	-0.423677696	138
KIA MOTORS CORPORATION FORTE ECO	3.07	30	3.333333333	2.620403437	5.464830964	-0.556849896	-0.251469737	154
KIA MOTORS CORPORATION FORTE KOUP	3.2	29	3.448275862	2.29455082	0.755056341	3.19235842	-0.293070496	156
KIA MOTORS CORPORATION FORTE KOUP	3.15	26	3.846153846	-0.964736635	0.347169602	2.858010032	0.165016445	173
KIA MOTORS CORPORATION FORTE KOUP	3.04	28	3.571428571	0.464830964	-6.764279861	2.620403437	0.022750876	156
KIA MOTORS CORPORATION FORTE	3.08	29	3.448275862	1.672260928	4.590988096	-0.423719574	-0.148568999	154
KIA MOTORS CORPORATION FORTE	3.26	26	3.846153846	-0.394304234	-1.578530756	-7.482550255	0.03255674	173
KIA MOTORS CORPORATION FORTE	3.16	29	3.448275862	2.087120856	3.391292613	1.25816229	-0.24490333	156
KIA MOTORS CORPORATION FORTE	3.23	26	3.846153846	-0.549876707	-2.645857208	-2.297562441	0.068682114	173
KIA MOTORS CORPORATION OPTIMA	3.74	26	3.846153846	2.094855337	0.597961286	-0.697714699	-0.545449247	274
KIA MOTORS CORPORATION OPTIMA	3.66	28	3.571428571	3.679995408	-0.853287172	-0.422958283	-0.72384019	166
KIA MOTORS CORPORATION OPTIMA	3.58	28	3.571428571	3.26513548	-0.964736635	-1.21628961	-0.627505859	200
KIA MOTORS CORPORATION RIO	2.88	33	3.03030303	4.635111107	-1.171405308	-2.171405308	-0.325706003	138
KIA MOTORS CORPORATION RIO	2.74	34	2.941176471	4.909106232	-1.519700075	-2.978683014	-0.246247484	138
KIA MOTORS CORPORATION RONDO	3.8	22	4.545454546	-1.593999717	3.939282863	-3.978683014	0.081600704	175
KIA MOTORS CORPORATION RONDO	4.07	21	4.761904762	-1.193847459	-1.21628961	-0.74183771	-0.027077447	192
KIA MOTORS CORPORATION SEDONA	4.76	21	4.761904762	2.384319423	0.176889459	0.21403928	-0.857961052	271
KIA MOTORS CORPORATION SOUL ECO	2.99	32	3.125	4.205543508	0.821621502	-0.652830398	-0.363468739	138
KIA MOTORS CORPORATION SOUL ECO	3.22	30	3.333333333	3.398265802	1.118058778	-0.726368749	-0.432096608	164
KIA MOTORS CORPORATION SOUL	3	30	3.333333333	2.257400999	-1.008859646	2.614952829	-0.167177197	138
KIA MOTORS CORPORATION SOUL	3.29	29	3.448275862	2.76126824	5.23572014	-0.519700075	-0.401446618	164
KIA MOTORS CORPORATION SOUL	2.92	30	3.333333333	1.842541071	-1.608707387	4.451645875	-0.070842866	138
KIA MOTORS CORPORATION SOUL	3.15	29	3.448275862	2.035263365	-7.127282298	-1.320004592	-0.232861539	164
MASERATI Granturismo Convertible	4.65	15	6.666666667	-4.186112979	-0.394304234	2.77597591	1.179260558	434
MASERATI GRANTURISMO	4.53	15	6.666666667	-4.808402871	-0.505753696	0.525184226	1.323762054	434
Mercedes-Benz C 250	3.8	25	4	1.406000283	-1.037513695	4.464830964	-0.463853841	201
Mercedes-Benz C 300 4MATIC	4.05	20	5	-2.297562441	4.464830964	1.976432684	0.235101374	228
Mercedes-Benz C 350 (Coupe)	4.04	22	4.545454546	-0.349419932	-1.186112979	3.26513548	-0.207402289	302
Mercedes-Benz C 350	4.11	23	4.347826087	1.013582505	1.281365732	-0.622653767	-0.489323287	302
Mercedes-Benz C 63 AMG	4.15	15	6.666666667	-6.778987531	-1.141228677	2.931548383	1.781350127	451
Mercedes-Benz CL 550 4MATIC	4.92	18	5.555555556	0.21403928	2.71093333	1.021316986	-0.256978921	429
Mercedes-Benz CL 600	5.33	14	7.142857143	-1.659803588	2.546103795	4.590988096	0.83660922	510
Mercedes-Benz CL 63 AMG	5.32	18	5.555555556	2.288338921	0.229508241	-5.27512029	-0.738650576	536
Mercedes-Benz CL 65 AMG	5.28	14	7.142857143	-1.919091043	1.686968598	-0.816137352	0.896818177	621
Mercedes-Benz CLS 550 4MATIC	4.72	19	5.263157895	0.176889459	5.020555695	0.162181789	-0.308540754	402
Mercedes-Benz CLS 550	4.56	20	5	0.347169602	2.879690892	1.672260928	-0.379029986	402
Mercedes-Benz CLS 63 AMG	4.56	19	5.263157895	-0.652830398	6.495007595	2.427681143	-0.115872092	518
Mercedes-Benz E 350 (CONVERTIBLE)	4.13	22	4.545454546	0.117297487	-1.127282298	-1.341685452	-0.315778411	302
Mercedes-Benz E 350 (coupe)	3.99	22	4.545454546	-0.608707387	-2.386569753	-3.912117853	-0.147193332	302
Mercedes-Benz G 550	6.09	13	7.692307692	1.281365732	1.525184226	-1.578530756	0.470883624	382
Mercedes-Benz GL 450 4MATIC	6	15	6.666666667	2.814648312	-2.986417495	-1.593999717	-0.446381279	335
Mercedes-Benz GL 550 4MATIC	6.03	14	7.142857143	1.970220786	4.590988096	-4.186112979	-0.006316177	382
Mercedes-Benz GLK 350 4MATIC	4.5	18	5.555555556	-1.963975344	0.991140355	-0.259651329	0.248776318	268
Mercedes-Benz GLK 350	4.38	18	5.555555556	-2.586265237	0.894398562	-2.586265237	0.393277814	268
Mercedes-Benz ML 350 4MATIC	4.89	19	5.263157895	1.058466807	-3.223262799	-0.349419932	-0.513251207	302
Mercedes-Benz R 350 4MATIC	5.44	18	5.555555556	2.910628814	-2.312270111	-5.75654538	-0.883152073	302
Mercedes-Benz S 550 4MATIC	5.26	18	5.555555556	1.977193975	-1.385808462	-2.038274986	-0.666399828	429
Mercedes-Benz S 550	5.08	19	5.263157895	2.043759136	1.962486305	1.406000283	-0.742045244	429
Mercedes-Benz S 600	5.14	14	7.142857143	-2.645095917	0.865744513	0.932309674	1.065403256	510
Mercedes-Benz S 63 AMG	5.32	18	5.555555556	2.288338921	2.125031968	-2.645095917	-0.738650576	536
Mercedes-Benz S 65 AMG	5.6	14	7.142857143	-0.259651329	2.657553258	-2.438427244	0.511480853	621
Mercedes-Benz SL 550	4.45	17	5.882352941	-3.223262799	-1.164432119	0.014343796	0.63578266	382
Mercedes-Benz SL 63 AMG	4.74	14	7.142857143	-4.719395559	1.021316986	1.361877272	1.547074912	518
Mercedes-Benz SLK 350	3.7	23	4.347826087	-1.112574628	3.398265802	4.635111107	0.00439016	302
Mercedes-Benz SLS AMG	3.89	16	6.25	-7.127282298	0.746560569	0.746560569	1.677770036	563
Mitsubishi Motors Corporation OUTLANDER 2WD	3.99	22	4.545454546	-0.608707387	1.080147666	3.398265802	-0.147193332	230
Mitsubishi Motors Corporation OUTLANDER 4WD	4.17	21	4.761904762	-0.675272549	-7.023567316	0.991140355	-0.14749536	230
Mitsubishi Motors Corporation OUTLANDER 4WD	4.12	24	4.166666667	2.065439996	-0.016594126	0.102589817	-0.682524499	168
Porsche Cayenne S	4.91	18	5.555555556	0.162181789	3.19235842	-0.394304234	-0.244937129	400
Porsche Cayenne Turbo	5.23	17	5.882352941	0.821621502	-2.926825523	-5.21628961	-0.303477068	500
