Units	Total Cost	Total Labor Hours	Total Material Cost ($)	Average Cost ($/unit)	Material Cost ($/unit)	1/Units	Labor Hours (Hrs/unit)	Machine Hours (Hrs/unit)	Break_Down (per run)	Detail	Rush	Plant	Plant Dummy	Plant Dummy * Mat Cost/Unit	Residual Average Cost ($/unit)
150	4743	52.5	191.823	31.62	1.27882	0.00666667	0.35	0.033	2	NONE	RUSH	OLD	0	0	-5.2339041
400	16148	153.2	511.9992	40.37	1.279998	0.0025	0.383	0.05	4	DETAIL	NONE	OLD	0	0	3.51288933
130	5521.1	47.71	166.8303	42.47	1.28331	0.00769231	0.367	0.017	0	NONE	RUSH	OLD	0	0	5.6038739
1200	37728	339.6	1585.9296	31.44	1.321608	0.00083333	0.283	0.017	0	DETAIL	NONE	NEW	1	1.321608	-5.0225195
200	8026	103.4	265.2536	40.13	1.326268	0.005	0.517	0.017	0	DETAIL	NONE	NEW	1	1.326268	3.65479576
280	9077.6	60.76	371.39872	32.42	1.326424	0.00357143	0.217	0.033	6	NONE	RUSH	OLD	0	0	-4.5634846
120	3912	45.96	162.03336	32.6	1.350278	0.00833333	0.383	0.017	0	NONE	RUSH	OLD	0	0	-4.4484164
110	5448.3	60.5	149.42917	49.53	1.358447	0.00909091	0.55	0.017	2	DETAIL	NONE	OLD	0	0	12.4593471
600	14880	100.2	820.1232	24.8	1.366872	0.00166667	0.167	0.017	4	NONE	RUSH	OLD	0	0	-12.293586
700	21945	186.9	978.3879	31.35	1.397697	0.00142857	0.267	0.033	4	DETAIL	NONE	OLD	0	0	-5.8274934
700	17640	256.9	978.4544	25.2	1.397792	0.00142857	0.367	0.05	6	DETAIL	NONE	OLD	0	0	-11.977752
130	6021.6	60.71	181.94202	46.32	1.399554	0.00769231	0.467	0.017	0	NONE	RUSH	NEW	1	1.399554	9.64530753
240	8928	60	335.94432	37.2	1.399768	0.00416667	0.25	0.017	6	NONE	RUSH	OLD	0	0	0.01686928
190	5289.6	72.77	268.92866	27.84	1.415414	0.00526316	0.383	0.017	0	DETAIL	RUSH	NEW	1	1.415414	-8.8778642
180	4807.8	68.94	257.472	26.71	1.4304	0.00555556	0.383	0.033	1	NONE	RUSH	OLD	0	0	-10.556513
400	15252	93.2	573.0912	38.13	1.432728	0.0025	0.233	0.017	0	NONE	RUSH	NEW	1	1.432728	1.36500621
500	18645	200	717.717	37.29	1.435434	0.002	0.4	0.017	1	DETAIL	NONE	NEW	1	1.435434	0.51764034
180	8596.8	63	258.3846	47.76	1.43547	0.00555556	0.35	0.033	0	NONE	RUSH	NEW	1	1.43547	10.9875423
1400	46970	186.2	2021.0344	33.55	1.443596	0.00071429	0.133	0.017	0	NONE	RUSH	NEW	1	1.443596	-3.244577
400	15884	160	585.6952	39.71	1.464238	0.0025	0.4	0.017	1	DETAIL	NONE	NEW	1	1.464238	2.85923438
200	7604	56.6	295.92	38.02	1.4796	0.005	0.283	0.017	0	NONE	RUSH	NEW	1	1.4796	1.12741823
200	9226	70	304.014	46.13	1.52007	0.005	0.35	0.017	2	DETAIL	NONE	NEW	1	1.52007	9.12725683
130	5206.5	52	197.83335	40.05	1.521795	0.00769231	0.4	0	0	DETAIL	RUSH	OLD	0	0	2.53470556
800	28272	266.4	1220.288	35.34	1.52536	0.00125	0.333	0.05	3	NONE	RUSH	OLD	0	0	-2.1849985
160	6088	69.28	245.03808	38.05	1.531488	0.00625	0.433	0.033	0	DETAIL	NONE	OLD	0	0	0.50832072
180	6919.2	75.06	280.19736	38.44	1.556652	0.00555556	0.417	0.033	1	DETAIL	NONE	OLD	0	0	0.82982303
150	5319	67.5	234.759	35.46	1.56506	0.00666667	0.45	0.033	0	DETAIL	NONE	OLD	0	0	-2.173064
2000	59600	766	3132.15	29.8	1.566075	0.0005	0.383	0.05	15	DETAIL	NONE	OLD	0	0	-7.8358269
800	33816	146.4	1260.8992	42.27	1.576124	0.00125	0.183	0.033	5	NONE	RUSH	OLD	0	0	4.60681925
130	5591.3	65	205.74021	43.01	1.582617	0.00769231	0.5	0.033	2	DETAIL	NONE	OLD	0	0	5.32914498
130	6055.4	58.5	205.91142	46.58	1.583934	0.00769231	0.45	0.05	3	NONE	RUSH	OLD	0	0	8.89556004
500	18080	116.5	798.405	36.16	1.59681	0.002	0.233	0.017	2	NONE	RUSH	NEW	1	1.59681	-1.0516334
160	8649.6	77.28	257.21136	54.06	1.607571	0.00625	0.483	0.05	2	NONE	RUSH	OLD	0	0	16.3112189
190	4873.5	72.77	307.94022	25.65	1.620738	0.00526316	0.383	0.017	0	NONE	RUSH	NEW	1	1.620738	-11.626767
600	22218	180	974.4336	37.03	1.624056	0.00166667	0.3	0.033	5	DETAIL	NONE	OLD	0	0	-0.7636541
120	4126.8	54	195.9228	34.39	1.63269	0.00833333	0.45	0.017	0	NONE	NONE	NEW	1	1.63269	-2.9193006
110	5377.9	55	179.59832	48.89	1.632712	0.00909091	0.5	0.017	0	DETAIL	NONE	NEW	1	1.632712	11.5806396
110	5096.3	56.87	190.36875	46.33	1.730625	0.00909091	0.517	0.033	0	DETAIL	NONE	OLD	0	0	8.24625965
300	12258	84.9	521.8668	40.86	1.739556	0.00333333	0.283	0.017	0	DETAIL	NONE	NEW	1	1.739556	3.25980474
190	6534.1	72.77	331.2498	34.39	1.74342	0.00526316	0.383	0.033	1	NONE	RUSH	OLD	0	0	-3.728569
180	8424	117	314.4042	46.8	1.74669	0.00555556	0.65	0.05	0	DETAIL	NONE	OLD	0	0	8.6725299
130	5448.3	67.21	227.7184	41.91	1.75168	0.00769231	0.517	0.017	0	DETAIL	NONE	NEW	1	1.75168	4.2768026
300	8550	80.1	532.8576	28.5	1.776192	0.00333333	0.267	0.017	7	NONE	RUSH	OLD	0	0	-9.707776
110	4437.4	51.37	195.60222	40.34	1.778202	0.00909091	0.467	0.017	0	DETAIL	NONE	OLD	0	0	2.12675263
250	12020	91.75	445.6015	48.08	1.782406	0.004	0.367	0.033	9	DETAIL	NONE	OLD	0	0	9.85530913
190	9427.8	91.77	341.506	49.62	1.7974	0.00526316	0.483	0.033	0	DETAIL	NONE	OLD	0	0	11.3544947
250	6875	87.5	451.39625	27.5	1.805585	0.004	0.35	0.017	1	DETAIL	NONE	NEW	1	1.805585	-10.27993
210	10269	115.5	381.66156	48.9	1.817436	0.0047619	0.55	0.05	3	NONE	RUSH	OLD	0	0	10.5799557
190	9861	79.23	345.667	51.9	1.8193	0.00526316	0.417	0.033	1	DETAIL	NONE	OLD	0	0	13.5748818
110	3433.1	64.13	200.39965	31.21	1.821815	0.00909091	0.583	0.033	0	NONE	RUSH	OLD	0	0	-7.1219642
700	37051	338.1	1277.3068	52.93	1.824724	0.00142857	0.483	0.033	8	DETAIL	NONE	OLD	0	0	14.5901174
150	5886	75	276.1824	39.24	1.841216	0.00666667	0.5	0.017	0	DETAIL	NONE	OLD	0	0	0.85522531
110	5894.9	69.63	204.27165	53.59	1.857015	0.00909091	0.633	0.05	2	DETAIL	NONE	OLD	0	0	15.1622196
180	7025.4	75.06	341.51634	39.03	1.897313	0.00555556	0.417	0.05	0	NONE	RUSH	OLD	0	0	0.49252641
300	10629	114.9	569.6445	35.43	1.898815	0.00333333	0.383	0.033	0	NONE	NONE	NEW	1	1.898815	-2.6037064
110	5386.7	64.13	211.26248	48.97	1.920568	0.00909091	0.583	0.017	1	DETAIL	NONE	NEW	1	1.920568	10.8770808
210	10061.1	115.5	403.61643	47.91	1.921983	0.0047619	0.55	0.067	1	DETAIL	NONE	OLD	0	0	9.30537342
130	6137.3	78	251.04365	47.21	1.931105	0.00769231	0.6	0.033	0	DETAIL	NONE	NEW	1	1.931105	9.0883986
600	15198	199.8	1186.8792	25.33	1.978132	0.00166667	0.333	0.033	2	NONE	RUSH	OLD	0	0	-13.427467
210	10304.7	126	415.9596	49.07	1.98076	0.0047619	0.6	0.033	8	NONE	RUSH	OLD	0	0	10.3053794
140	3432.8	77	277.52634	24.52	1.982331	0.00714286	0.55	0.033	0	NONE	RUSH	OLD	0	0	-14.248897
600	22182	280.2	1191.0744	36.97	1.985124	0.00166667	0.467	0.05	7	NONE	RUSH	OLD	0	0	-1.8064996
300	7938	95.1	598.59	26.46	1.9953	0.00333333	0.317	0.017	1	DETAIL	NONE	NEW	1	1.9953	-11.836343
120	4376.4	63.96	241.84428	36.47	2.015369	0.00833333	0.533	0.067	0	NONE	NONE	OLD	0	0	-2.388828
800	26312	133.6	1625.7984	32.89	2.032248	0.00125	0.167	0.017	7	NONE	RUSH	OLD	0	0	-6.0147735
250	9590	129.25	516.9875	38.36	2.06795	0.004	0.517	0.017	0	DETAIL	NONE	NEW	1	2.06795	-0.1341005
150	7449	77.55	311.0679	49.66	2.073786	0.00666667	0.517	0.017	1	DETAIL	NONE	NEW	1	2.073786	11.1500136
300	13635	129.9	626.5584	45.45	2.088528	0.00333333	0.433	0.05	7	DETAIL	NONE	OLD	0	0	6.39202943
140	5887	74.62	292.92984	42.05	2.092356	0.00714286	0.533	0.033	1	NONE	RUSH	NEW	1	2.092356	3.48946515
120	5632.8	90	251.2818	46.94	2.094015	0.00833333	0.75	0.033	0	DETAIL	NONE	OLD	0	0	7.86709354
300	15366	114.9	631.9467	51.22	2.106489	0.00333333	0.383	0.05	9	DETAIL	NONE	OLD	0	0	12.1131387
120	6124.8	60	256.65024	51.04	2.138752	0.00833333	0.5	0.033	0	DETAIL	NONE	OLD	0	0	11.8453171
400	13144	140	855.5624	32.86	2.138906	0.0025	0.35	0.033	6	NONE	RUSH	OLD	0	0	-6.3351021
150	5700	52.5	321.12045	38	2.140803	0.00666667	0.35	0.017	1	NONE	RUSH	OLD	0	0	-1.2002658
500	15785	100	1072.516	31.57	2.145032	0.002	0.2	0.033	8	NONE	RUSH	OLD	0	0	-7.6417773
290	9860	106.43	629.4479	34	2.17051	0.00344828	0.367	0.017	0	DETAIL	NONE	NEW	1	2.17051	-4.773274
180	5068.8	75.06	396.864	28.16	2.2048	0.00555556	0.417	0.033	0	NONE	RUSH	OLD	0	0	-11.214469
180	7633.8	77.94	397.4175	42.41	2.207875	0.00555556	0.433	0.017	1	DETAIL	RUSH	NEW	1	2.207875	3.53501654
210	5193.3	77.07	465.36903	24.73	2.216043	0.0047619	0.367	0.05	4	NONE	RUSH	OLD	0	0	-14.675073
260	6783.4	130	578.344	26.09	2.2244	0.00384615	0.5	0.017	3	DETAIL	NONE	OLD	0	0	-13.337821
270	7800.3	116.91	604.78272	28.89	2.239936	0.0037037	0.433	0.017	0	DETAIL	NONE	NEW	1	2.239936	-10.072255
800	24872	240	1793.7096	31.09	2.242137	0.00125	0.3	0.033	8	DETAIL	NONE	OLD	0	0	-8.3861021
1100	36300	256.3	2482.5372	33	2.256852	0.00090909	0.233	0.017	0	NONE	RUSH	NEW	1	2.256852	-6.0083014
270	11726.1	67.5	609.83226	43.43	2.258638	0.0037037	0.25	0.033	2	NONE	RUSH	OLD	0	0	3.90898134
600	14250	199.8	1366.344	23.75	2.27724	0.00166667	0.333	0.017	0	NONE	RUSH	NEW	1	2.27724	-15.313799
1000	24270	200	2288.815	24.27	2.288815	0.001	0.2	0.033	8	NONE	RUSH	OLD	0	0	-15.333162
170	7179.1	85	391.89488	42.23	2.305264	0.00588235	0.5	0.05	0	NONE	RUSH	OLD	0	0	2.58206299
120	5388	63.96	276.7602	44.9	2.306335	0.00833333	0.533	0.05	1	NONE	RUSH	OLD	0	0	5.24914767
160	5267.2	80	371.98656	32.92	2.324916	0.00625	0.5	0.033	1	DETAIL	NONE	OLD	0	0	-6.7814308
120	5686.8	68.04	281.2302	47.39	2.343585	0.00833333	0.567	0.05	1	NONE	RUSH	OLD	0	0	7.63775127
300	11562	114.9	705.126	38.54	2.35042	0.00333333	0.383	0.017	0	DETAIL	NONE	NEW	1	2.35042	-0.7229982
400	13936	146.8	941.4272	34.84	2.353568	0.0025	0.367	0.033	4	DETAIL	NONE	OLD	0	0	-4.939423
210	8061.9	101.43	495.3333	38.39	2.35873	0.0047619	0.483	0.067	7	NONE	RUSH	OLD	0	0	-1.4034742
300	16095	174.9	711.3213	53.65	2.371071	0.00333333	0.583	0.05	3	DETAIL	NONE	OLD	0	0	13.822933
300	10788	110.1	721.5744	35.96	2.405248	0.00333333	0.367	0.017	0	DETAIL	NONE	NEW	1	2.405248	-3.4522428
170	6869.7	76.5	411.1569	40.41	2.41857	0.00588235	0.45	0.017	0	DETAIL	NONE	NEW	1	2.41857	0.961494
110	5227.2	58.63	266.4816	47.52	2.42256	0.00909091	0.533	0.033	0	NONE	RUSH	NEW	1	2.42256	8.06063302
130	7335.9	80.21	318.48531	56.43	2.449887	0.00769231	0.617	0.033	0	NONE	RUSH	OLD	0	0	16.3883918
180	5238	63	444.75192	29.1	2.470844	0.00555556	0.35	0.033	0	NONE	RUSH	OLD	0	0	-10.998654
200	4888	96.6	496.4344	24.44	2.482172	0.005	0.483	0.05	1	DETAIL	NONE	OLD	0	0	-15.68949
250	11045	83.25	621.13725	44.18	2.484549	0.004	0.333	0.017	5	NONE	RUSH	OLD	0	0	4.04404007
300	10542	110.1	748.3476	35.14	2.494492	0.00333333	0.367	0.017	3	DETAIL	NONE	NEW	1	2.494492	-4.5151696
130	4397.9	54.21	328.81875	33.83	2.529375	0.00769231	0.417	0.033	0	NONE	RUSH	OLD	0	0	-6.4279786
130	5471.7	52	331.1022	42.09	2.54694	0.00769231	0.4	0.033	1	NONE	RUSH	OLD	0	0	1.78420859
140	4698.4	77	357.58128	33.56	2.554152	0.00714286	0.55	0.05	0	NONE	RUSH	OLD	0	0	-6.7654228
400	14132	153.2	1039.1964	35.33	2.597991	0.0025	0.383	0.05	7	DETAIL	NONE	OLD	0	0	-5.1147548
110	5327.3	58.63	287.84217	48.43	2.616747	0.00909091	0.533	0.017	0	DETAIL	NONE	NEW	1	2.616747	8.4420461
140	5013.4	67.62	366.46344	35.81	2.617596	0.00714286	0.483	0.017	0	NONE	RUSH	NEW	1	2.617596	-4.1802649
170	6269.6	53.89	452.08695	36.88	2.659335	0.00588235	0.317	0.033	1	NONE	RUSH	OLD	0	0	-3.7317363
1200	38832	360	3200.6988	32.36	2.667249	0.00083333	0.3	0.017	1	NONE	RUSH	NEW	1	2.667249	-7.7654229
200	9218	106.6	536.767	46.09	2.683835	0.005	0.533	0.033	1	DETAIL	NONE	OLD	0	0	5.41157342
400	17988	106.8	1089.4212	44.97	2.723553	0.0025	0.267	0.033	3	NONE	RUSH	OLD	0	0	4.183459
1600	46368	480	4361.984	28.98	2.72624	0.000625	0.3	0.033	16	DETAIL	NONE	OLD	0	0	-11.813855
500	19405	166.5	1381.1655	38.81	2.762331	0.002	0.333	0.017	0	DETAIL	NONE	NEW	1	2.762331	-1.574241
210	5155.5	94.5	580.53576	24.55	2.764456	0.0047619	0.45	0.017	0	NONE	RUSH	NEW	1	2.764456	-15.840025
290	11231.7	120.93	810.9966	38.73	2.79654	0.00344828	0.417	0.033	3	DETAIL	NONE	OLD	0	0	-2.2552153
300	12963	159.9	859.695	43.21	2.86565	0.00333333	0.533	0.067	4	DETAIL	NONE	OLD	0	0	2.03666371
1400	56280	303.8	4172.9786	40.2	2.980699	0.00071429	0.217	0.033	23	NONE	RUSH	OLD	0	0	-1.2865055
110	5089.7	62.37	328.8879	46.27	2.98989	0.00909091	0.567	0.017	1	DETAIL	NONE	NEW	1	2.98989	5.26633183
110	5189.8	66	330.70026	47.18	3.006366	0.00909091	0.6	0.033	2	DETAIL	NONE	OLD	0	0	5.62362759
1300	39715	217.1	3919.8185	30.55	3.015245	0.00076923	0.167	0.017	19	NONE	RUSH	OLD	0	0	-11.030542
160	6081.6	74.72	486.00416	38.01	3.037526	0.00625	0.467	0.05	2	DETAIL	NONE	OLD	0	0	-3.6311915
400	17356	126.8	1219.884	43.39	3.04971	0.0025	0.317	0.05	5	NONE	RUSH	OLD	0	0	1.71564301
180	6188.4	102.06	551.6208	34.38	3.06456	0.00555556	0.567	0.067	0	DETAIL	NONE	OLD	0	0	-7.3347795
180	5248.8	90	553.068	29.16	3.0726	0.00555556	0.5	0.05	1	DETAIL	NONE	OLD	0	0	-12.576665
600	24054	190.2	1867.977	40.09	3.113295	0.00166667	0.317	0.017	0	DETAIL	NONE	NEW	1	3.113295	-1.2495829
100	3986	53.3	316.4976	39.86	3.164976	0.01	0.533	0.033	0	DETAIL	NONE	OLD	0	0	-2.1281169
110	4791.6	55	352.36674	43.56	3.203334	0.00909091	0.5	0.017	0	NONE	RUSH	NEW	1	3.203334	1.97532637
180	7452	99	584.3376	41.4	3.24632	0.00555556	0.55	0.067	0	DETAIL	NONE	OLD	0	0	-0.8095394
150	6099	70.05	492.036	40.66	3.28024	0.00666667	0.467	0.033	0	NONE	RUSH	NEW	1	3.28024	-1.1340157
120	6441.6	69.96	393.74712	53.68	3.281226	0.00833333	0.583	0.033	0	DETAIL	NONE	OLD	0	0	11.3754446
1800	40500	480.6	5970.888	22.5	3.31716	0.00055556	0.267	0.033	15	NONE	RUSH	OLD	0	0	-19.90237
600	22398	190.2	2003.1456	37.33	3.338576	0.00166667	0.317	0.017	0	DETAIL	NONE	NEW	1	3.338576	-4.6228092
220	7821	80.74	742.74222	35.55	3.376101	0.00454545	0.367	0.033	6	NONE	RUSH	OLD	0	0	-7.0128099
150	7177.5	77.55	513.4995	47.85	3.42333	0.00666667	0.517	0.05	1	DETAIL	NONE	OLD	0	0	5.15863031
100	6143	60	344.4576	61.43	3.444576	0.01	0.6	0.05	1	DETAIL	NONE	OLD	0	0	18.6807976
240	12960	120	847.15848	54	3.529827	0.00416667	0.5	0.05	7	NONE	RUSH	OLD	0	0	11.01874
180	7034.4	99	642.16152	39.08	3.567564	0.00555556	0.55	0.017	1	NONE	RUSH	NEW	1	3.567564	-3.4961263
190	7945.8	85.5	681.12739	41.82	3.584881	0.00526316	0.45	0.033	2	DETAIL	NONE	OLD	0	0	-1.3111198
230	12765	99.59	828.33787	55.5	3.601469	0.00434783	0.433	0.05	5	DETAIL	NONE	OLD	0	0	12.3237269
300	10929	84.9	1094.3901	36.43	3.647967	0.00333333	0.283	0.033	5	NONE	RUSH	OLD	0	0	-6.8728431
130	5246.8	49.79	487.916	40.36	3.7532	0.00769231	0.383	0.017	0	NONE	RUSH	OLD	0	0	-3.2292927
190	7248.5	107.73	719.06678	38.15	3.784562	0.00526316	0.567	0.05	0	DETAIL	NONE	OLD	0	0	-5.5246616
190	7653.2	79.23	720.42585	40.28	3.791715	0.00526316	0.417	0.017	0	DETAIL	NONE	OLD	0	0	-3.4141324
290	9862.9	116	1103.63473	34.01	3.805637	0.00344828	0.4	0.017	0	NONE	RUSH	NEW	1	3.805637	-9.2141731
170	8498.3	99.11	662.5903	49.99	3.89759	0.00588235	0.583	0.017	1	DETAIL	RUSH	NEW	1	3.89759	6.51552613
100	4319	55	391.3779	43.19	3.913779	0.01	0.55	0.033	0	NONE	RUSH	OLD	0	0	-0.8363969
300	10143	99.9	1181.7018	33.81	3.939006	0.00333333	0.333	0.05	2	NONE	RUSH	OLD	0	0	-10.285066
110	5371.3	56.87	442.10936	48.83	4.019176	0.00909091	0.517	0.033	0	NONE	RUSH	NEW	1	4.019176	5.02456284
600	27792	210	2438.3232	46.32	4.063872	0.00166667	0.35	0.017	0	NONE	RUSH	NEW	1	4.063872	2.39289805
100	4317	65	414.3137	43.17	4.143137	0.01	0.65	0.033	0	DETAIL	RUSH	NEW	1	4.143137	-0.9728653
220	13455.2	91.74	918.9345	61.16	4.176975	0.00454545	0.417	0.033	7	NONE	RUSH	OLD	0	0	16.4171702
180	10377	66.06	757.25208	57.65	4.206956	0.00555556	0.367	0.017	0	NONE	RUSH	NEW	1	4.206956	13.3334161
230	12806.4	126.5	974.2616	55.68	4.23592	0.00434783	0.55	0.067	5	NONE	RUSH	OLD	0	0	10.7767189
120	6890.4	68.04	525.084	57.42	4.3757	0.00833333	0.567	0.017	0	NONE	RUSH	NEW	1	4.3757	12.6440863
140	5667.2	81.62	626.7492	40.48	4.47678	0.00714286	0.583	0.017	0	NONE	RUSH	NEW	1	4.47678	-4.5710586
400	17648	140	1800.9936	44.12	4.502484	0.0025	0.35	0.033	3	DETAIL	NONE	OLD	0	0	-1.5088819
900	35604	344.7	4276.2096	39.56	4.751344	0.00111111	0.383	0.05	2	DETAIL	RUSH	OLD	0	0	-6.7462915
230	14839.6	103.5	1184.40478	64.52	5.149586	0.00434783	0.45	0.033	5	DETAIL	NONE	OLD	0	0	17.1296734
1000	53710	283	5769.36	53.71	5.76936	0.001	0.283	0.017	4	NONE	NONE	OLD	0	0	4.632617
100	5622	61.7	606.373	56.22	6.06373	0.01	0.617	0.05	1	NONE	RUSH	OLD	0	0	6.34132685
1700	69445	538.9	11152.6902	40.85	6.560406	0.00058824	0.317	0.017	3	DETAIL	NONE	NEW	1	6.560406	-9.8727948
1200	44808	320.4	7911.6912	37.34	6.593076	0.00083333	0.267	0.033	15	NONE	RUSH	OLD	0	0	-13.97958
170	8423.5	82.11	1122.9894	49.55	6.60582	0.00588235	0.483	0.05	1	DETAIL	NONE	OLD	0	0	-1.8042698
1700	105043	623.9	12778.3968	61.79	7.516704	0.00058824	0.367	0.067	14	NONE	RUSH	OLD	0	0	7.95625751
