Price ($, using Credit Card)	Weight (carats)	Clarity	Color	Depth %	Table %	Cut
$1,566.00 	0.47	VVS1	F	65.5	56	Average
$1,449.00 	0.46	VVS1	F	67.7	60	Premium
$1,036.00 	0.33	VVS1	F	63.7	62	Ideal
$1,301.00 	0.42	VVS1	F	67.7	55	Average
$1,220.00 	0.39	VVS1	F	64.4	54	Average
$902.00 	0.39	VVS1	F	68.7	70	Ideal
$1,324.00 	0.43	VVS1	F	69.6	58	Good
$1,113.00 	0.34	IF	F	58.6	62	Good
$1,420.00 	0.39	IF	F	67.4	54	Average
$1,330.00 	0.38	IF	F	66.9	54	Average
$1,182.00 	0.37	IF	F	67.8	56	Average
$1,062.00 	0.33	IF	F	60.8	62	Good
$913.00 	0.37	SI1	E	66.5	57	Average
$1,156.00 	0.45	SI1	E	65.2	57	Average
$1,277.00 	0.48	SI1	E	68.8	54	Average
$996.00 	0.44	SI1	E	67.3	59	Good
$790.00 	0.31	SI1	E	67	55	Average
$831.00 	0.36	SI1	E	69.7	57	Average
$1,049.00 	0.45	SI1	E	66.2	57	Average
$1,040.00 	0.4	VS2	E	67.4	56	Average
$1,128.00 	0.45	VS2	E	65.5	56	Average
$775.00 	0.3	VS2	E	67.9	59	Good
$776.00 	0.41	VS2	E	67.2	65	Ideal
$834.00 	0.34	VS2	E	65.6	56	Average
$1,144.00 	0.43	VS2	E	60.4	60	Good
$864.00 	0.36	VS2	E	60.2	65	Good
$789.00 	0.33	VS2	E	59.4	64	Good
$1,058.00 	0.41	VS2	E	69.7	58	Good
$1,040.00 	0.4	VS2	E	68.8	57	Average
$1,068.00 	0.39	VS2	E	69.8	56	Average
$1,041.00 	0.39	VS2	E	69.4	60	Premium
$1,111.00 	0.44	VS2	E	69.4	58	Good
$1,504.00 	0.48	VS2	E	69.3	57	Average
$1,075.00 	0.42	VS2	E	64.2	54	Average
$1,181.00 	0.45	VS2	E	68.4	57	Average
$1,234.00 	0.45	VS2	E	64.9	58	Good
$1,389.00 	0.46	VS2	E	69.5	58	Good
$879.00 	0.37	VS2	E	69.6	60	Premium
$970.00 	0.37	VS1	E	70	50	Poor
$970.00 	0.37	VS1	E	66.4	54	Average
$1,143.00 	0.38	VS1	E	69.4	60	Premium
$1,193.00 	0.38	VS1	E	62.4	61	Premium
$1,143.00 	0.38	VS1	E	0.6	44	Poor
$1,143.00 	0.38	VS1	E	60.5	60	Good
$1,292.00 	0.45	VS1	E	66.8	61	Premium
$1,172.00 	0.42	VS1	E	65.8	56	Average
$866.00 	0.31	VS1	E	68.9	59	Good
$849.00 	0.32	VS1	E	62.5	59	Good
$1,164.00 	0.39	VS1	E	69.9	56	Average
$1,132.00 	0.4	VS1	E	61.3	61	Premium
$953.00 	0.36	VS1	E	65.4	60	Premium
$914.00 	0.36	VS1	E	69.2	55	Average
$812.00 	0.39	VS1	E	62.6	72	Ideal
$882.00 	0.34	VS1	E	63.4	60	Premium
$1,030.00 	0.34	VVS2	E	67.8	57	Average
$1,050.00 	0.35	VVS2	E	66.1	58	Good
$1,260.00 	0.39	VVS2	E	68	55	Average
$1,609.00 	0.47	VVS2	E	68.2	59	Good
$1,308.00 	0.41	VVS2	E	61.4	57	Average
$1,408.00 	0.41	VVS1	E	60.1	62	Good
$1,577.00 	0.46	VVS1	E	62.5	62	Ideal
$1,392.00 	0.38	VVS1	E	66.7	62	Ideal
$1,330.00 	0.38	VVS1	E	63	59	Good
$1,021.00 	0.32	VVS1	E	72	57	Average
$1,067.00 	0.32	VVS1	E	56.2	59	Average
$1,108.00 	0.36	VVS1	E	69.6	60	Premium
$1,159.00 	0.36	VVS1	E	65	55	Average
$1,001.00 	0.42	VVS1	E	65.9	73	Premium
$1,019.00 	0.43	VVS1	E	66.9	64	Ideal
$1,128.00 	0.46	VVS1	E	69.9	73	Premium
$809.00 	0.36	VVS1	E	67.6	62	Ideal
$1,598.00 	0.47	IF	E	70	59	Good
$1,504.00 	0.42	IF	E	61.4	62	Premium
$1,504.00 	0.42	IF	E	59.7	63	Good
$1,176.00 	0.47	SI1	D	67.5	58	Good
$815.00 	0.33	SI1	D	60.7	62	Good
$895.00 	0.34	SI1	D	68.4	57	Average
$862.00 	0.34	SI1	D	67.1	59	Good
$858.00 	0.36	SI1	D	68.1	60	Premium
$1,027.00 	0.44	SI1	D	66.6	59	Good
$1,072.00 	0.41	SI1	D	65	60	Premium
$1,009.00 	0.4	SI1	D	67.1	58	Good
$1,100.00 	0.39	VS2	D	71.4	55	Average
$1,120.00 	0.4	VS2	D	69.9	58	Good
$901.00 	0.33	VS2	D	68.5	58	Good
$901.00 	0.33	VS2	D	67.6	59	Good
$882.00 	0.34	VS2	D	69.6	61	Premium
$882.00 	0.34	VS2	D	71.4	58	Good
$1,527.00 	0.49	VS2	D	64.6	59	Good
$953.00 	0.36	VS2	D	67.1	60	Premium
$914.00 	0.36	VS2	D	62.9	60	Premium
$970.00 	0.37	VS2	D	68.1	57	Average
$1,177.00 	0.47	VS2	D	61.1	76	Good
$882.00 	0.3	VS2	D	63.4	60	Premium
$1,094.00 	0.43	VS2	D	67.4	55	Average
$849.00 	0.32	VS2	D	63.6	58	Good
$955.00 	0.34	VS2	D	66	57	Average
$866.00 	0.31	VS2	D	67.9	59	Good
$1,218.00 	0.45	VS2	D	69.5	58	Good
$1,144.00 	0.44	VS2	D	65.8	59	Good
$1,427.00 	0.46	VS2	D	67.1	60	Premium
$1,571.00 	0.49	VS2	D	67	61	Premium
$1,425.00 	0.49	VS2	D	69.2	58	Good
$1,080.00 	0.38	VS2	D	60.3	61	Good
$970.00 	0.37	VS2	D	68.6	53	Average
$1,080.00 	0.38	VS2	D	66.4	60	Premium
$1,080.00 	0.38	VS2	D	68.8	58	Good
$1,205.00 	0.38	VS1	D	68.4	58	Good
$1,260.00 	0.38	VS1	D	69.3	58	Good
$986.00 	0.34	VS1	D	70	62	Ideal
$1,609.00 	0.47	VS1	D	66.3	55	Average
$1,641.00 	0.48	VS1	D	66.1	60	Premium
$1,104.00 	0.42	VS1	D	64.2	60	Premium
$1,430.00 	0.45	VS1	D	69.5	57	Average
$1,237.00 	0.42	VS1	D	70	56	Average
$948.00 	0.32	VS1	D	67.2	59	Good
$968.00 	0.31	VS1	D	63.5	62	Ideal
$1,175.00 	0.48	VS1	D	63.3	77	Good
$1,005.00 	0.35	VS1	D	69.5	56	Average
$1,116.00 	0.39	VS1	D	66.3	56	Average
$1,387.00 	0.49	VS1	D	77.8	77	Good
$1,092.00 	0.47	VS1	D	67.1	69	Ideal
$1,251.00 	0.4	VS1	D	64.4	60	Premium
$986.00 	0.34	VS1	D	66.3	53	Average
$1,325.00 	0.49	VS1	D	66.5	67	Ideal
$1,172.00 	0.39	VS1	D	64.9	59	Good
$1,215.00 	0.41	VS1	D	69.6	59	Good
$978.00 	0.36	VS1	D	67.3	58	Good
$1,071.00 	0.36	VS1	D	65.2	58	Good
$1,091.00 	0.37	VS1	D	68.6	57	Average
$1,091.00 	0.37	VS1	D	65.5	58	Good
$1,091.00 	0.37	VS1	D	67.2	56	Average
$986.00 	0.34	VS1	D	68.6	61	Premium
$1,025.00 	0.36	VS1	D	67.9	58	Good
$1,080.00 	0.36	VVS2	D	66	58	Good
$1,166.00 	0.41	VVS2	D	64.5	65	Ultra
$1,324.00 	0.39	VVS2	D	68.8	59	Good
$1,299.00 	0.38	VVS2	D	67	58	Good
$1,085.00 	0.34	VVS2	D	59.1	63	Good
$1,316.00 	0.43	VVS2	D	66.5	57	Average
$997.00 	0.3	VVS2	D	71.5	58	Good
$1,019.00 	0.31	VVS2	D	67	61	Premium
$1,130.00 	0.36	VVS2	D	64.6	60	Premium
$1,381.00 	0.44	VVS2	D	61.2	60	Premium
$1,334.00 	0.42	VVS2	D	68.7	57	Average
$1,737.00 	0.48	VVS2	D	68.7	56	Average
$1,587.00 	0.48	VVS2	D	66.1	58	Good
$1,359.00 	0.38	VVS2	D	66.4	57	Average
$1,203.00 	0.37	VVS2	D	60.7	65	Good
$1,243.00 	0.37	VVS1	D	68.1	59	Good
$1,392.00 	0.38	VVS1	D	60.8	64	Good
$1,664.00 	0.46	VVS1	D	62.3	63	Ideal
$1,504.00 	0.46	VVS1	D	59.9	63	Good
$1,071.00 	0.32	VVS1	D	57.5	65	Average
$1,071.00 	0.3	VVS1	D	62.4	59	Good
$1,589.00 	0.46	VVS1	D	66.2	55	Average
$1,641.00 	0.49	VVS1	D	66.2	58	Good
$1,117.00 	0.34	VVS1	D	66.3	58	Good
$1,109.00 	0.45	VVS1	D	68.1	73	Premium
$1,457.00 	0.43	VVS1	D	68.9	58	Good
$1,531.00 	0.43	VVS1	D	63.1	61	Premium
$1,488.00 	0.39	VVS1	D	67.6	58	Good
$1,488.00 	0.39	VVS1	D	65.6	58	Good
$1,476.00 	0.41	VVS1	D	65.8	58	Good
$1,163.00 	0.36	VVS1	D	67.1	57	Average
$1,172.00 	0.32	IF	D	67.3	59	Good
$1,099.00 	0.62	SI2	J	61.2	76	Good
$1,160.00 	0.56	VS2	J	69	77	Good
$1,247.00 	0.62	SI1	I	68.7	79	Good
$1,399.00 	0.65	VS2	I	72.1	76	Good
$1,162.00 	0.52	VS2	I	67	81	Average
$1,251.00 	0.61	VS2	I	59.4	88	Poor
$1,276.00 	0.5	VS2	I	73.1	58	Good
$1,211.00 	0.58	VS1	I	65.6	80	Average
$1,392.00 	0.63	VVS2	I	69.8	75	Premium
$1,160.00 	0.56	VVS2	I	66.4	67	Ideal
$1,471.00 	0.59	VVS2	I	67.1	71	Ideal
$1,268.00 	0.52	VVS2	I	68.3	61	Premium
$1,380.00 	0.57	VVS1	I	61.8	64	Premium
$1,415.00 	0.56	SI1	H	66.3	58	Good
$1,276.00 	0.5	SI1	H	65.4	61	Premium
$1,323.00 	0.56	SI1	H	65.4	57	Average
$1,377.00 	0.54	SI1	H	66.3	59	Good
$1,642.00 	0.59	VS2	H	67.6	57	Average
$1,590.00 	0.57	VS2	H	60.1	64	Good
$1,301.00 	0.5	VS2	H	68.5	59	Good
$1,376.00 	0.58	VS2	H	69	59	Good
$1,641.00 	0.62	VS2	H	51	52	Poor
$1,453.00 	0.54	VS2	H	68.3	64	Ideal
$1,173.00 	0.52	VS1	H	71.1	80	Average
$1,470.00 	0.51	VS1	H	67.8	56	Average
$1,638.00 	0.58	VS1	H	69	74	Premium
$1,644.00 	0.55	VS1	H	68.5	59	Good
$1,852.00 	0.64	VS1	H	68	55	Average
$1,522.00 	0.5	VS1	H	71.5	59	Good
$1,569.00 	0.52	VS1	H	67.3	61	Premium
$2,049.00 	0.67	VS1	H	65.9	60	Premium
$1,926.00 	0.64	VVS2	H	68	60	Premium
$1,469.00 	0.55	VVS2	H	68.3	59	Good
$1,510.00 	0.57	VVS2	H	69.5	68	Ideal
$2,013.00 	0.63	VVS2	H	69.4	59	Good
$1,990.00 	0.63	VVS2	H	67.2	56	Average
$1,984.00 	0.59	VVS1	H	64.7	62	Ideal
$1,498.00 	0.53	VVS1	H	69.9	67	Ultra
$1,866.00 	0.63	VVS1	H	67.2	66	Ideal
$1,564.00 	0.56	VVS1	H	67.8	62	Ideal
$1,368.00 	0.51	VVS1	H	69.5	57	Average
$2,350.00 	0.68	VVS1	H	68.1	0	
$1,689.00 	0.51	VVS1	H	63.1	61	Premium
$1,782.00 	0.54	VVS1	H	71.5	53	Average
$1,455.00 	0.51	VVS1	H	69.9	70	Ideal
$1,952.00 	0.58	VVS1	H	68.6	58	Good
$2,136.00 	0.63	VVS1	H	60	59	Good
$1,415.00 	0.58	SI1	G	67.7	58	Good
$1,364.00 	0.56	SI1	G	66.1	75	Premium
$1,372.00 	0.52	SI1	G	68.9	57	Average
$1,642.00 	0.67	SI1	G	68.1	57	Average
$1,279.00 	0.5	SI1	G	68.3	61	Premium
$1,158.00 	0.59	SI1	G	68.9	69	Ideal
$1,303.00 	0.56	SI1	G	69.7	66	Ideal
$1,465.00 	0.59	SI1	G	66.4	69	Ideal
$1,303.00 	0.51	VS2	G	65.6	56	Average
$1,250.00 	0.58	VS2	G	76.8	55	Average
$1,633.00 	0.64	VS2	G	65.7	61	Premium
$1,394.00 	0.51	VS2	G	69.5	65	Ultra
$1,496.00 	0.6	VS2	G	71.8	76	Good
$1,833.00 	0.61	VS2	G	61.4	59	Good
$1,980.00 	0.67	VS2	G	68	57	Average
$1,668.00 	0.63	VS2	G	65.3	79	Good
$1,644.00 	0.55	VS2	G	65	58	Good
$1,750.00 	0.55	VS1	G	68.2	57	Average
$1,810.00 	0.57	VS1	G	67.9	61	Premium
$1,524.00 	0.5	VS1	G	62.3	63	Ideal
$1,596.00 	0.53	VS1	G	67.5	54	Average
$1,206.00 	0.5	VS1	G	76.6	58	Good
$1,365.00 	0.5	VS1	G	68.7	68	Ultra
$1,654.00 	0.59	VS1	G	66.4	64	Ideal
$1,432.00 	0.5	VVS2	G	68.8	65	Ideal
$1,347.00 	0.5	VVS2	G	69	60	Premium
$1,581.00 	0.52	VVS2	G	67	57	Average
$1,751.00 	0.53	VVS2	G	69.3	58	Good
$1,922.00 	0.66	VVS1	G	67.5	58	Good
$1,944.00 	0.62	VVS1	G	65.4	62	Ideal
$1,914.00 	0.61	VVS1	G	60.8	60	Good
$1,556.00 	0.51	VVS1	G	64.7	62	Ideal
$2,286.00 	0.62	VVS1	G	66	59	Good
$1,628.00 	0.58	VVS1	G	69.7	61	Premium
$1,977.00 	0.63	IF	G	70.1	73	Premium
$1,858.00 	0.59	IF	G	68.1	70	Ideal
$986.00 	0.5	SI2	F	65.2	69	Ideal
$1,282.00 	0.54	SI2	F	64.2	79	Good
$1,756.00 	0.59	SI1	F	69.4	57	Average
$1,644.00 	0.55	SI1	F	66.7	59	Good
$1,672.00 	0.56	SI1	F	67.8	57	Average
$1,717.00 	0.63	SI1	F	64.8	57	Average
$1,569.00 	0.52	SI1	F	68.7	57	Average
$1,702.00 	0.6	SI1	F	69.1	59	Good
$1,447.00 	0.5	SI1	F	65.1	54	Average
$1,493.00 	0.55	SI1	F	68.3	59	Good
$1,470.00 	0.51	SI1	F	64.7	61	Premium
$1,420.00 	0.51	VS2	F	67.2	59	Good
$1,569.00 	0.58	VS2	F	66.4	62	Ideal
$1,595.00 	0.55	VS2	F	69.4	67	Ultra
$1,926.00 	0.62	VS2	F	65.1	59	Good
$1,926.00 	0.62	VS2	F	58.6	63	Good
$1,237.00 	0.52	VS2	F	65.8	65	Ideal
$1,897.00 	0.61	VS2	F	64.7	61	Premium
$1,896.00 	0.58	VS2	F	69.6	58	Good
$1,313.00 	0.5	VS2	F	61.7	72	Premium
$2,137.00 	0.65	VS2	F	66.7	60	Premium
$2,014.00 	0.65	VS2	F	64	63	Ideal
$1,803.00 	0.55	VS2	F	60	63	Good
$1,463.00 	0.53	VS2	F	66.6	62	Ideal
$1,732.00 	0.54	VS2	F	67.8	59	Good
$1,661.00 	0.64	VS2	F	72.5	76	Good
$2,154.00 	0.68	VS2	F	68.8	59	Good
$1,896.00 	0.58	VS2	F	65.8	61	Premium
$2,041.00 	0.59	VS1	F	66.5	60	Premium
$1,822.00 	0.68	VS1	F	76.5	65	Good
$1,801.00 	0.53	VS1	F	67.9	59	Good
$2,350.00 	0.66	VS1	F	69.5	59	Good
$1,813.00 	0.61	VS1	F	69.4	59	Good
$2,098.00 	0.6	VS1	F	65	58	Good
$1,449.00 	0.53	VS1	F	68.5	75	Premium
$1,763.00 	0.57	VS1	F	72.8	75	Premium
$1,792.00 	0.62	VS1	F	63.7	65	Ultra
$2,040.00 	0.62	VS1	F	68.2	69	Ultra
$1,673.00 	0.56	VS1	F	69.4	63	Ideal
$1,579.00 	0.55	VS1	F	68.6	63	Ideal
$1,378.00 	0.5	VS1	F	64.6	63	Ideal
$1,737.00 	0.51	VS1	F	68.9	57	Average
$1,557.00 	0.66	VS1	F	68.3	67	Ideal
$1,587.00 	0.62	VVS2	F	68.4	77	Good
$1,576.00 	0.52	VVS2	F	69.9	64	Ultra
$1,650.00 	0.5	VVS2	F	70.7	60	Premium
$2,313.00 	0.65	VVS2	F	68.1	58	Good
$2,105.00 	0.56	VVS2	F	65.9	58	Good
$2,419.00 	0.64	VVS2	F	68.9	59	Good
$2,069.00 	0.55	VVS2	F	62.6	63	Ideal
$2,069.00 	0.55	VVS2	F	68	57	Average
$1,658.00 	0.51	VVS1	F	70.3	77	Good
$1,658.00 	0.51	VVS1	F			
$1,902.00 	0.59	VVS1	F			
$1,736.00 	0.52	VVS1	F	69.6	61	Premium
$1,600.00 	0.5	VVS1	F	69.9	69	Ideal
$1,978.00 	0.54	IF	F	60	66	Good
$1,847.00 	0.6	IF	F	64.7	68	Ideal
$1,456.00 	0.58	SI2	E	66.9	57	Average
$1,719.00 	0.59	SI1	E	67.4	57	Average
$2,090.00 	0.68	SI1	E	69.2	57	Average
$2,152.00 	0.66	SI1	E	68.5	57	Average
$1,548.00 	0.51	SI1	E	69.3	56	Average
$1,582.00 	0.54	SI1	E	69	59	Good
$1,604.00 	0.5	SI1	E	67.6	64	Ultra
$1,780.00 	0.56	SI1	E	69.5	55	Average
$1,870.00 	0.59	SI1	E	68.5	60	Premium
$1,467.00 	0.51	SI1	E	68.8	58	Good
$1,573.00 	0.55	SI1	E	67.1	59	Good
$1,579.00 	0.55	VS2	E	65.4	63	Ideal
$1,378.00 	0.5	VS2	E	67.2	61	Premium
$1,737.00 	0.51	VS2	E	69	59	Good
$1,294.00 	0.5	VS2	E	68.8	70	Ideal
$1,553.00 	0.6	VS2	E	67.8	69	Ultra
$1,180.00 	0.56	VS2	E	66.7	76	Good
$2,098.00 	0.6	VS2	E	69.4	60	Premium
$2,041.00 	0.59	VS2	E	69	59	Good
$2,008.00 	0.58	VS2	E	69.2	59	Good
$2,008.00 	0.58	VS2	E	65.4	56	Average
$2,418.00 	0.68	VS2	E	69.3	59	Good
$2,350.00 	0.66	VS2	E	66.2	58	Good
$1,951.00 	0.53	VS1	E	68.8	57	Average
$1,847.00 	0.5	VS1	E	67.6	58	Good
$1,986.00 	0.54	VS1	E	68	57	Average
$1,901.00 	0.55	VS1	E	65.7	59	Good
$1,355.00 	0.53	VS1	E	69	64	Ideal
$1,751.00 	0.52	VS1	E	57.5	74	Average
$2,058.00 	0.65	VS1	E	64.1	62	Ideal
$1,376.00 	0.54	VS1	E	65.3	67	Ideal
$1,679.00 	0.64	VS1	E	61.9	70	Premium
$1,534.00 	0.52	VS1	E			
$1,590.00 	0.51	VS1	E	69.9	65	Ideal
$2,143.00 	0.6	VS1	E	68.8	60	Premium
$1,633.00 	0.54	VS1	E	69.4	67	Ideal
$1,681.00 	0.51	VS1	E	67	59	Good
$1,708.00 	0.55	VS1	E	67.5	66	Ultra
$2,206.00 	0.67	VS1	E	69.9	60	Premium
$2,001.00 	0.65	VS1	E	68.2	66	Ideal
$1,697.00 	0.59	VS1	E	69.4	65	Ideal
$1,697.00 	0.59	VS1	E	72.3	66	Ideal
$1,555.00 	0.52	VS1	E	75.4	60	Premium
$1,829.00 	0.55	VS1	E	69.3	63	Ideal
$1,861.00 	0.56	VS1	E	69	60	Premium
$1,903.00 	0.59	VS1	E	67.5	63	Ideal
$1,661.00 	0.55	VS1	E	69.3	68	Ideal
$1,555.00 	0.52	VS1	E	68.4	59	Good
$1,327.00 	0.55	VS1	E	62.1	74	Premium
$1,739.00 	0.61	VVS2	E	69.7	63	Ideal
$1,840.00 	0.58	VVS2	E	69.9	69	Ideal
$1,690.00 	0.53	VVS2	E	67.6	63	Ideal
$1,750.00 	0.55	VVS2	E	63.4	54	Average
$2,360.00 	0.64	VVS2	E	68.3	57	Average
$1,798.00 	0.54	VVS2	E	68.2	59	Good
$1,963.00 	0.61	VVS2	E	68.9	68	Ideal
$2,140.00 	0.58	VVS2	E	65.9	73	Premium
$1,933.00 	0.6	VVS2	E	81.9	67	Average
$2,301.00 	0.53	VVS1	E	64	63	Ideal
$1,744.00 	0.57	VVS1	E	70.8	63	Ideal
$2,357.00 	0.63	VVS1	E	60.4	62	Good
$2,696.00 	0.61	VVS1	E	61.4	64	Premium
$2,857.00 	0.64	VVS1	E	68.4	56	Average
$2,526.00 	0.57	VVS1	E	65.2	58	Good
$1,685.00 	0.6	VVS1	E	72.2	64	Ideal
$1,967.00 	0.58	VVS1	E	65.7	65	Ideal
$1,954.00 	0.51	VVS1	E	66.9	56	Average
$1,659.00 	0.59	VVS1	E	73	69	Ideal
$2,475.00 	0.61	VVS1	E	66.3	58	Good
$2,021.00 	0.67	VVS1	E	69.8	73	Premium
$2,436.00 	0.55	IF	E	67.5	57	Average
$1,129.00 	0.53	SI2	D	64.4	69	Ideal
$1,544.00 	0.52	SI1	D	65.6	57	Average
