Balance M1	Balance M2	Balance M3	Balance M4
317.64	402.53	1877.13	1933.48
86.47	0	188.57	297.66
4669.13	1663.76	66	0
275.17	251.06	244.77	462.47
0	0	0	257.3
251.39	227	70.35	261.01
0	0	0	200
37.63	24.18	3626.24	3621.21
240.6	212	225.59	241.45
143.67	2751.86	2853.9	2939.24
0	1932.04	2002.04	0
417.69	187.76	17.69	328.08
380	365.45	1914.84	1865.04
87.48	74.29	65.44	205.26
7741.84	7881.87	80.36	158.25
561.52	112.05	167.09	229.66
135.89	432.02	341.63	2873.03
0	0	0	4826.96
105.69	0	0	268.74
347.56	206.73	186.48	233.1
9.67	4311.08	4219.95	4229.38
0	0	0	167.38
0	35.54	232.13	227.29
59.83	157.22	253.26	346.77
0	0	0	718.43
0	0	11874	12156.2
0	0	0	3093.81
254.54	53.01	0	281.1
258.02	258.68	229.96	229.96
0	90.43	142.84	295.79
6044	44	6000	0
92.46	97.24	29.3	316.08
260.35	0	168.58	167.28
55.69	1973.71	2000.89	1969.61
662.63	24.07	2128.14	541.51
22.11	260.3	70.25	240.94
4749.26	0	0	0
400.57	257.38	253.43	248.55
0	0	3118.65	3167.71
336.44	380.04	225.55	187.07
0	0	150.31	398.47
127.84	188.63	171.7	217.94
79.47	127.84	188.63	171.7
-0.1	3181.9	3205.95	3244.69
0	2251.6	2000	2000
0	0	34.08	2930.51
5175.05	6178.75	1389.76	1054.82
63.15	111.38	131.81	519.79
0	0	0	2830.66
380.74	243.6	242.53	430.17
176.67	133.23	100.42	238.48
0	0	0	306.33
14.47	261.91	221.77	230.56
0	4478.57	4397.84	4368.85
3409.22	3662.05	438.83	565.53
273.55	220.29	226.51	183.95
1025.32	839.36	68.77	829.34
73.82	98.16	132.18	166.03
4836.05	5735.62	1177.91	474.35
151.86	492.67	202.6	279.47
312.73	188.16	235.42	232.31
175.73	183.16	149.31	156.86
158.21	165.81	173.05	180.52
454.31	420.21	2194.27	2166.23
44.28	72.46	33.29	200.19
191.07	213.16	229.72	253.17
266.22	39.87	21.37	1426.91
39	137.01	233.22	327.7
0	39	137.01	233.22
32.47	0	154.77	345.89
567.95	85.96	175	287.92
593.72	567.95	85.96	175
468.71	503.82	223.97	270.4
554.98	1203.01	2751.8	2238.16
237.19	935.21	1844.1	4166.03
285.14	566	242.37	246.23
1387.14	640.72	168.8	215.03
0	1953.81	2076.18	2113.4
56.46	43.93	2602.39	2543.37
89.27	63.58	0	440.44
205.34	40.9	21	166.53
32.95	19.95	0	824.38
221.49	368.21	22.51	188.35
0	0	0	1548.18
125.41	184.64	143.19	193.19
186.33	258.43	161.57	915.27
408.73	635.18	236.09	769.6
0	0	0	1494.66
482.02	367.13	216.57	226.58
120.46	316.35	216.09	420.93
19.95	2	2	710.19
212.46	345.6	222.75	1963.6
0	15.8	156.42	454.9
178.6	0	15.8	156.42
187.69	118.53	173.48	194.54
0	60	254	485.66
482.61	525.17	3461.27	3528.06
0	0	0	5012.29
-180	8063.68	7944.48	7985.01
345.19	141.8	170.01	1696.56
0	0	0	4213.56
326.38	49.33	109.25	247.47
83.15	75.92	3495.15	3507.16
216.48	237.53	253.94	215.79
0	2133.67	2145.39	2209.86
0	0	0	484.77
536.85	292.88	184.92	322.92
98.9	272.94	210.58	221.35
246.35	387.91	17.68	858.15
8686.12	7417.92	707.55	399.33
0	15.38	0	150.42
179.13	196.25	203.17	180.46
0	0	0	594.3
182.74	170.13	0	339.65
0	0	0	1179.78
0	5475.26	4316.79	3058.98
0	0	0	5475.26
126.65	103.19	207.74	270
0	126.65	103.19	207.74
0	0	0	317
0	158.08	154.68	200.31
156.08	80.95	27.21	262.33
0	0	22	556.43
8520	99.1	21.8	11
812.81	453.47	226.72	212.85
317.29	252.62	248.36	254.17
167.72	165.02	162.46	159.7
219.5	216.17	212.43	209.22
121.21	11574.8	90.86	1089.89
0	0	0	673.04
0	3732.47	3732.54	4342.65
0	0	0	3732.47
234.59	3202.92	3175.06	3179.48
199.43	295.41	234.59	3202.92
82.64	106.06	153.76	200.6
94.96	82.64	106.06	153.76
0	0	0	1450.22
0	44.73	0	729.84
481.75	141.78	116.06	258.22
1316.28	1267.72	1242.37	1228.46
7406.46	7277.43	7142.47	7212.01
10353.4	10157.3	9973.59	9793.83
9126.16	8970.24	8919.49	8888.41
5927.69	5819.27	5709.5	5726.32
9329.15	9114.61	8924.6	8752.37
7460.26	7321.28	7188.26	7060.97
4588.71	4505.88	4531.93	4538.63
9179.06	8982.68	8803.45	8840.1
5582.19	5435.22	5301.16	5173.2
7676.31	7517.17	7364.22	7229.64
1984.74	1952.01	1919.82	1887.52
0	0	0	0
4872.67	4806.77	4850.74	4898.55
5455.15	5311.58	5180.9	5080.39
5343.22	5255.15	5169.86	5088.03
11158.8	11009.7	10862.5	10716.9
9794.45	9669.37	9534.47	9416.62
9857.02	9918.2	9932.33	9776.32
14430.8	14159.5	13869	14280.4
6344.1	6172.12	6026.36	6004.46
7781.89	7581	7392.93	7213.3
5686.06	5694.09	5577.73	5593.23
4041.66	3938.15	3834.36	3726.34
6412.48	6267.14	6147.15	6005.79
2801.71	2738.79	2672.76	2599.68
9490.61	9276.17	9114.67	8793.4
2461.61	2490.92	2517.66	2542.01
4939.69	4981.58	4930.19	4776.29
1843.95	1774.93	1697.42	1636.62
3724.8	3663.23	3602.51	3542.63
14961.6	15114.9	14706.6	14754.8
1031.15	995.23	958.3	920.51
688.35	463.83	94.56	77.51
4100.51	4198.88	4261.01	4389.14
1173.53	1261.16	1378.52	1500.65
567.03	93.72	134.27	182.22
9140.35	9330.06	9353.83	9177.03
866.25	1007.28	934.31	907.55
1810.92	1831.02	1875.39	1894.14
0	0	0	20
0	0	712.86	0
132.92	289.64	1043.5	570.03
0	0	20	0
0	0	0	0
147.92	24.75	0	147.92
5301.4	5317.32	5352.9	5387.4
1473.58	475.7	631.59	881.45
98.34	128.48	193.17	109.21
4467.73	4336.21	4228.94	4149.05
0	0	10.95	0
602.44	168.93	69.04	41.04
0	0	0	324.04
3233.37	3254.6	3270.4	3322.55
468.58	549.08	341.65	334.56
0	0	0	0
4913.64	4913.64	4913.64	4913.64
2660.5	2776.28	2710.9	2646.33
0	0	0	18.33
3383.42	3401.82	3566.23	3572.15
7160.12	7050.7	6967.36	6860.36
1454.39	1457.83	1461.26	1459.7
1209.53	261.35	1153.29	53.6
8174.81	8204.76	8376.67	8656.39
8195.49	8184.79	8213.04	8349.16
0	21.06	173.37	478.44
123.89	0	0	0
12.95	12.95	12.95	0
30	30	30	30
3832.7	3827.88	3845.72	3863.46
1312.78	1457.3	1432.86	835.63
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2181.88	2081.85	2089.3	2126.29
4972.27	4953.23	4671.65	4691.08
0	20	40.75	0
829	620	248	124
1692.66	1685.75	1654.59	1469
7055.63	7055.63	7055.63	7055.63
1815.76	1979.98	1944.04	2007.03
6295.32	6170.14	6074.22	6069.25
0	0	0	20
0	0	0	0
3402.82	3389.34	3134.87	2738.78
6270.38	6261.16	6295.63	6284.99
15.9	7.95	60.9	25.95
810.99	844.12	868.98	875.99
915.6	908.03	888.45	858.55
1603.84	1634.61	1471.57	1523.42
20	20	0	0
4779.99	4930.99	4857.8	4752.32
4005.4	4028.73	4115.4	4137.93
26.81	0	0	0
3271.26	3365.61	3304.31	3395.3
9392.65	9235.94	9260.11	9270.94
159.76	240.87	1034.4	106.23
5042.3	5047.71	5082.64	5092.37
8907.98	8949.28	9031.55	9231.71
5039.49	5276.06	5295.6	5215.77
0	0	0	0
9770.02	9775.64	9836.16	9613.97
0	0	0	0
511.32	399.79	587.68	276.66
8344.6	8428.07	8310.79	8393.09
0	0	0	0
135.44	162.2	208.13	243.43
7057.31	7057.31	7057.31	7057.31
1891.2	1896.28	1900.96	1942.82
0	0	38.18	0
0	0	0	0
25	25	0	0
8781.21	8772.35	8820.41	8486.32
0	0	0	0
61.37	80.05	93.95	83.02
0	0	0	0
5000.78	5046.18	4968.6	4982.23
0	4992.56	4919.54	4885.48
0	0	0	0
1381.59	1569.59	1613.19	1507.49
1798.8	1899.32	1986.01	1990.64
1616.58	1574.71	1637.4	1798.8
42.66	107	141.92	432.72
0	0	0	0
136.2	135.32	40.14	66.94
108.07	347.64	258.16	505.92
0	0	0	0
5776.1	4513.37	3366.26	2468.43
0	0	0	0
1025.28	962.31	342.25	108.5
6679.01	6878.61	6903.92	6937.22
370.84	614.25	1194.3	1565.88
689.63	868.63	211.08	86.75
0	0	0	0
0	0	0	0
869.97	653.98	482.25	642.77
385.34	532.97	998.18	504.71
2017.34	2269.18	963.55	410.69
9329.03	9441.5	9427.64	13.92
1314.49	1158.81	639.14	349.69
6613.36	4418.45	1970.94	1314.49
304.24	436.04	421.65	577.5
2826.96	2890.44	2838.51	2879.84
391.65	239.03	125.44	163.63
0	0	0	0
483.65	574.19	335.58	109.12
306.35	271.09	189.5	64.31
0	0	0	0
0	0	0	0
2593.93	1915.22	809.94	3491.3
0	0	0	0
0	0	0	0
0	2605.31	2980.24	3466.24
110.26	102.17	149.33	72.94
2907.21	2879.25	3172.85	3195.16
0	0	0	0
815.03	1048.27	908.44	892.65
0	0	0	0
4020.01	4063.99	4103.38	3456.58
3964.36	3997.4	4020.01	4063.99
679.05	1529.88	2357.13	1226.01
177.67	194.41	0	0
3297.82	478.56	2321.41	424.96
231.84	197.23	274.33	252.87
1831.45	1854.87	1881.01	1886.02
4731.2	4820.1	4878.72	4827.54
4934.9	4863.77	5088.32	4996.78
3.99	7.98	31.97	92.99
92	21.92	17.93	21.8
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
27.71	27.35	26.99	26.63
3734.59	3766.21	3797.6	3829.62
0	0	0	14.25
4839.3	4872.19	4905.82	4856.41
413.15	271.06	271.59	865.65
0	0	0	0
0	0	0	0
1984.86	1954.78	1985.21	1980.18
4005.83	4027.72	4049.66	4072.04
4679.18	4694.71	4721.96	4727.15
66.14	352.23	5.67	456.94
282.94	39.44	33.8	230.91
1495.19	671.03	660.9	609
2885.89	2957.56	2901.3	2962.87
16.4	1137.01	1120.61	0
237.6	0	38.75	368.21
0	0	0	0
28.11	67	136.91	42.35
13	28.11	67	136.91
0	0	0	0
0	108.24	62.79	204.61
1925.03	773.44	519.54	175.78
6720.94	6561.66	5892.31	5639.39
1028.03	845.43	474.11	1086.34
88.93	234.35	69.08	169.76
11449.8	11240.6	11041.5	10812.9
0	168	168	47.62
0	0	0	0
447.11	1003.53	148	139.5
0	0	0	0
0	326	63.73	210.6
496.28	611.44	426.49	311.41
3400.67	3622.61	3274.75	3543.83
6367.97	6450.2	6158.27	6258.81
0	0	0	0
484.2	115.33	700.75	118.93
1032.95	1394.73	1622.74	926.66
1301.92	341.75	404.71	418.13
293.16	255.85	253.54	251.23
11.52	383.05	1299.17	411.42
-30.42	271.53	360.51	0
5449.06	5351.21	5464	5138.62
0	0	0	0
2668.34	865.47	963.76	1106.85
784.98	0	43.29	167.72
32.04	19.34	40.27	784.98
0	252.05	2687.51	3584.92
187	149.6	299.2	149.6
0	0	0	0
0	0	0	0
4261.82	4328.82	4395.82	4462.82
2316.61	2323.16	2332.35	2337.5
5762.01	6058.77	5967.75	6228.09
6472.79	6309.87	6156.63	6020.3
0	0	0	0
12.18	12	0	0
12.36	12.18	12	0
4878.77	4698.71	4717.49	4643.81
7895.13	7895.13	7895.13	7895.13
2205.41	2279.21	2265.49	2210.13
2475.96	2417.28	2374.2	2412.6
1254.05	1258.67	1288.81	1266.4
3754.06	3822.69	3736.86	3643.73
0	0	0	82.13
2954	2887.42	2873.64	2828.11
3207.29	3859.69	3770.95	3666.37
5908.29	5908.29	5784.8	5651.44
3226.44	3233.65	3232.89	3238.1
3318.64	3320.64	3303.16	3290.2
1011.15	977.97	961.98	945.53
6991.58	6991.58	6991.58	6991.58
5180.84	5304.54	5300.05	4980.73
3345.2	3488.56	3515.4	3456.32
1440.13	1466.89	1440.58	1445.56
1443.7	1447.7	1568.11	1431.83
1493.68	1465.28	1399.23	1434.28
1416.56	1416.56	1416.56	1416.56
2002.16	2016.33	2031.54	1999.89
4901.75	5119.22	4993.88	5035.13
0	0	0	0
3987.12	3933.26	3980.88	3796.49
2826.91	2721.62	2774.88	2748.95
4365.09	4262.97	4258.31	4316.34
6235.75	6285.42	6171.07	6325.04
3593.98	3397.33	3456.23	3464.28
0	0	0	0
0	0	0	0
1338.49	1367.36	1372.32	1347.48
2489.55	2442.07	2644.78	3095.53
2795.95	2850.59	2947.79	2926.79
12.18	12	0	0
1405.1	1371.68	1406.31	1305.48
1647.81	1665.05	1629.48	1429.94
855.51	801.94	442.13	320.75
1430.76	1435.64	1393.56	1368.15
3594.54	3569.72	3586.35	3578.14
3572.19	3248.54	219.08	3735.15
1610.18	1593.21	1551.03	1565.86
0	0	1452.86	1508.46
0	82.99	27.9	13.95
503.42	781.22	980.16	1223.18
3927.88	3905.27	0	0
1820.53	1776.05	1751.14	1713.9
0	0	0	195.64
230.86	863.94	1660.06	367.82
80.84	42.48	164.16	24
561.52	112.05	167.09	229.66
0	0	0	0
10.54	35.45	0	8.5
0	0	0	0
3506.44	3692.28	2351.92	2441.81
299	732.82	0	0
0	0	0	0
2700	2800	2900	2950
1832.82	1858.74	1276.44	166.37
7336.64	7248.29	7282.42	6931.29
7349.68	7388.29	7336.64	7248.29
4571.21	4571.21	4571.21	4571.21
7021.41	6964.19	6435.14	4026.59
55	69.95	55	110.95
1722.26	1698.97	1774.53	1748.15
0	0	0	0
0	0	0	0
6871.51	6900	6927.27	6650
1017.68	145.09	49.53	344.05
0	0	0	0
6014.64	6066.01	6200.69	6091.01
0	0	0	0
0	0	0	0
149.77	0	0	11.28
0	0	0	0
30	29.5	29	28.5
376.67	1656.73	725.79	61.05
1361.34	1317.86	1315.36	1294.05
0	0	53.76	12
3432.13	3412.15	3406.16	3410.73
0	0	0	0
0	0	0	0
5983.87	5983.87	5983.87	5983.87
59.83	157.22	253.26	346.77
8019.53	8106.28	8146.59	8153.23
8.95	8.95	17.9	8.95
0	0	0	0
168.31	159.73	110.1	206.73
5039.85	4674.32	4701.61	4584.61
0	0	0	0
5020.94	5020.94	5020.94	5020.94
1286.45	1258	1343.04	1245.35
2375.82	2338.19	2427.49	2388.21
0	0	0	0
1543.83	1530.67	556.78	0
162.55	0	0	122.89
433.58	325	883.72	533.51
5741.92	5996.42	5903.4	5802.86
0	0	0	0
1451.75	1465.64	1542.09	1361.71
961.76	504.79	605.82	445.82
350.2	0	85	0
1819.96	1798.7	2308.71	2760.02
0	30	30	0
127.38	0	181.22	232.83
192.47	187.32	344.72	34.4
142.84	295.79	169.04	327.33
5152.07	5177.86	5177.72	4996.92
1377.95	1584.89	984.67	121.37
0	0	0	0
0	0	0	0
58.19	120.33	0	163.33
0	0	0	91.07
4820.92	4846.15	4840.96	4836.07
2584.02	2642.04	2597.26	2523.73
869.04	654.03	903.22	1384.25
625.18	369.15	132.02	126.85
1262.29	1247.4	1513.29	1454.32
4683.01	4641.25	4533.19	4612.4
0	0	0	0
10.83	47.33	20.22	66.59
666.19	1288.81	1289.61	1158.62
0	0	0	0
3749.11	3748.44	3848.44	3813.52
475.06	300	775.46	788.84
2020.64	1722.31	1799.57	1120.46
0	0	0	0
5322.92	5311.98	5215.14	5224.23
0	0	0	0
92.08	44	556.86	540.93
191.08	42.13	238.52	95.7
2412.2	2104.53	2131.02	2024.03
2102.57	2172.49	2239.08	2251.7
234.52	82.8	203.1	42.18
0	0	1200	1167.76
0	0	0	0
1436.78	1385.11	1371.46	1363.72
0	0	0	0
962.74	887.83	1836.75	1315.89
1602.41	1602.41	1602.41	1602.41
1487.34	1653.88	1653.88	1737.15
0	0	12	0
12.5	12	0	0
0	0	0	90.64
1419.05	1376.05	1380.89	1276.03
0	0	23.95	146.55
304.93	498.94	541.5	548.3
3611.74	3631.55	3650.12	3661.24
0	0	0	0
250.92	346.19	390.65	364.68
1105.8	1010.97	777.37	800.59
2204.77	1975.09	1764.97	1739.46
10631.1	10631.1	10631.1	10631.1
0	0	0	0
0	1373.19	1342.72	1342.61
1789.84	1734.29	1782.09	1749.91
1829.74	1782.26	1789.84	1734.29
1873.11	1830.86	1829.74	1782.26
-27.21	27.21	0	0
1765.74	1773.64	1779.95	1785.41
738.96	828.41	719.31	856.04
27.99	0	143.68	146
0	0	0	0
5398.89	5401.53	5275.06	5356.41
0	0	0	0
4199.17	4241.17	4241.17	4283.17
3809.57	4401.09	4493.92	4481.77
0	0	0	0
2182.18	2165.85	2156.6	2130.66
0	0	0	0
3402.78	3393.84	3318.77	3321.45
1061.59	945.71	1212.31	1294.29
798.06	886.93	975.28	1061.59
22.71	0	0	0
717.97	681.38	719.96	683.05
0	0	0	0
329.33	373.54	417.85	410.95
0	0	0	0
7312.85	7263.69	7107.96	7013.13
2725.25	2676.52	2754.45	2717.3
570.84	0	0	0
0	79.95	0	0
2055.86	1900.81	1581.2	1396.03
3460.01	3085.58	3031.16	3062.99
3659.06	3665.34	3671.47	3677.6
3667.83	3659.06	3665.34	3671.47
1118.87	1085.15	1168.01	1137.79
0	0	0	0
0	0	0	0
0	0	0	0
2909.8	2909.8	2909.8	2909.8
12.5	12	0	0
0	0	0	0
7990.24	7947.35	7961.45	7975.34
0	0	0	0
27.82	690.85	20.99	163.85
2948.34	2858.66	2847.48	2836.32
0	0	4478.57	4397.84
4158.57	4281.87	4203.94	4522.19
247.98	0	89.92	71.93
1006.18	1002.45	971.27	788.36
3409.22	3662.05	438.83	565.53
226.51	183.95	144.97	96.54
44.91	57.87	76.53	83.4
2978.43	2985.05	2996.85	3010.55
13	12.5	12	0
5386.11	5261.68	5379.89	5355.13
1695.09	1816.96	1923.82	1647.48
1929.29	1441.88	641.27	4836.05
42.74	91.28	129.25	156.75
0	0	0	0
2417.06	2347.49	2292.92	2323.35
279.47	339.67	182.99	311.78
322.71	322.71	0	0
640	523.6	0	68.01
114.95	224.34	133.82	164.06
1483.16	1505.32	1549.34	1557.85
4364.7	4239.42	2697.52	2500.23
1272.85	507.31	519.65	65.04
3018.77	2821	2398.13	2430.77
0	0	0	0
993.13	933.51	884.06	919.48
420.31	322.03	320.39	195.19
546.39	578.37	609.36	533.97
4689.38	4703.74	4718.13	4761.85
3698.5	3687.45	3710.21	3220.1
56.98	0	0	81.52
842.79	817.33	668.15	514.5
0	0	0	0
12	0	0	0
540.8	516.51	530.01	548.29
7165.33	7307.65	7300.7	7293.39
2806.87	2867.74	2824.59	2885.8
2180.62	2163.61	2421.17	2571.03
10192	9720.2	9297.12	9197.52
366.45	328.35	302.83	346.65
0	0	3500	0
292.84	519.28	907.89	942.55
0	0	0	0.53
237.19	935.21	1844.1	4166.03
172.37	244.6	102.25	160.96
1010.09	994.81	1535.27	917.89
0	0	0	0
75.38	93.36	78.84	106.8
1489.31	1456.78	1350.55	1455.04
0	0	0	0
4793.74	4203.41	4567.51	4167.58
76.3	76.3	12	0
1304.95	61.13	50.21	70.52
2894.01	3209.56	3474.05	3712.71
0	0	0	0
0	0	0	0
752.79	872.06	647.93	616.62
0	0	0	0
1487.4	1484.6	1498.39	1522.69
3361.27	3310.27	3319.05	3402.53
0	0	0	0
3339.55	3360.7	3384.18	3403.86
3319.38	3339.55	3360.7	3384.18
1151.6	1351.5	1328.09	1337.32
0	0	0	0
10735.6	10431.1	10207.8	10905.9
0	0	0	0
469.89	1432.93	1398.18	1226.31
0	0	328.26	328.26
0	0	0	0
957.17	960	947.14	951.66
17.5	17.5	17.5	17.5
1183.86	1120.61	1127.01	1143.39
12909.1	12909.1	12909.1	12670.1
2796.94	2753.09	2581.16	2581.9
696.38	700.14	333.66	438.52
628.86	40.85	20	274.31
537.4	538.81	529.52	542.1
3086.05	2800.28	2528.42	2437.11
103.89	103.89	93.89	93.89
3475.92	3519.45	3548.64	3339.76
0	0	0	0
4705.49	4841.17	4837.78	4778.25
777.2	813.81	844.6	870.45
41.15	40.2	79.89	109.87
1204.99	1302.2	900	958.6
0	0	0	0
131.38	40.97	0	46.73
0	0	145	145
1619.7	1459.76	1262	1290.86
792.52	792.52	792.52	792.52
3485.93	3680.28	3344.15	3384.59
0	0	0	0
1422.26	1428.36	1432.7	1439.45
2201.79	2209.15	2129.51	2052.4
5707.64	5707.64	5707.64	5707.64
4781.66	4870.14	5149.53	5269.45
1256.41	1108.21	460.76	844.3
3566.43	3663.93	3760.73	3652.51
0	0	0	0
479.49	506.91	488.86	400.11
167.63	162.4	357.18	345.02
1971.59	1971.59	1971.59	1971.59
0	91.89	91.89	0
6326.09	6198.74	6112.1	5954.76
0.15	0	45.24	164.8
483.97	453.51	97.73	70.91
676.42	527.1	247.89	132.79
0	0	0	0
2360.53	2367.48	2374.19	2380.91
666.11	64.02	37.53	154.9
3804.27	3774.59	3685.34	3655.93
303.95	131.73	84.97	199.57
100.22	41.72	0	0
12.5	12	0	0
8.95	8.95	8.95	8.95
191.4	202.1	247.92	243.85
660.71	581.33	1061	971.19
995.55	752.4	1076.6	397.7
3638.1	3594.26	3190.62	2770.39
17	299.5	575.32	285.05
419.09	98.05	17	299.5
0	0	8.95	0
0	8.88	8.95	29.52
0	0	0	0
0	0	0	0
0	21.36	21.36	0
24.94	24.94	0	0
182.9	279.07	374.24	506.52
371.87	215.74	102.8	0
572.62	572.62	0	0
0	74.34	22.84	28.14
16.37	343.34	15.67	37.14
8183.57	8433.57	8683.57	9182.16
0	0	0	0
1271.47	994.81	1058.12	1102.4
125.01	698.11	884.11	144.85
35.47	0	20	0
1697.06	591.45	296.03	673.89
1745.88	2688.41	2602.67	2262.96
0	0	0	0
0	0	0	0
1671.46	1676.08	1687.66	1696.1
1650.46	1663.47	1654.75	1700.38
0	0	0	0
3421.35	3491.72	3575.14	3607.32
3057.6	2373.22	1169.03	628.7
141.8	170.01	1696.56	1521.11
613.07	446.57	40.85	0
2115.89	1908.44	2037.11	2611.06
1034.45	1148.24	536.85	292.88
0	32.23	125.9	98.9
1740.74	1692.98	1664.29	1689.91
88.51	124.65	152.11	248.62
3182.12	3187.11	3129.24	3134.63
2697.04	2697.04	2697.04	2697.04
3105.25	1729.46	1901.01	1685.38
0	0	0	0
544.92	561.64	583.33	609.32
5709.81	4992.13	3646.55	2281.42
8.69	109.33	135.52	386.76
4000.29	4068.19	3977.24	3925.71
0	0	0	0
8686.12	7417.92	707.55	399.33
814.92	559.02	580.02	568.23
0	0	12	0
12.16	12	0	0
0	0	0	0
0	0	0	12
0	0	0	0
2165.68	2139.64	2071.31	2085.26
7965.58	7965.58	7965.58	7808.33
5979.16	5989.89	6013.93	6035.67
0	0	0	0
5257.77	5257.77	5257.77	5257.77
0	0	0	0
1987.43	2160.33	2148.08	1969.86
1727.39	2032.78	1987.43	2160.33
1307.42	1357.38	1400	1400
996.39	1004.17	905.36	889.58
2959.83	2996.99	2897.72	2958.99
0	0	0	0
85.4	382.92	37.68	0
0	0	0	0
0	0	0	12
5097.97	5057.25	4940.4	4949.22
0	0	0	0
7868.69	7963.34	7944.55	8001.19
0	0	0	0
1011.04	802.3	376.69	0
3669.56	6334	6032.26	6120.63
149.9	109.66	182.74	170.13
0	0	0	0
493	493	0	0
4265.41	4221.38	4111.02	4035.58
0	0	0	0
0	0	0	0
0	5475.26	4316.79	3058.98
1885.35	1932.71	1912.85	1919.45
1166.25	1579.31	926.46	549.26
3118.14	489.24	263.61	1070.92
0	126.65	103.19	207.74
3988.48	3893.69	3900.69	3345.39
0	79.31	76.3	2950.83
0.5	12	0	0
6087.47	6104.91	6197.21	6317.88
61.92	60.82	45	60.6
0	0	0	0
62	112.91	146.77	87.85
0	0	0	0
0	205.98	0	0
0	0	0	0
2816.13	1242.55	1006.38	487.65
0	0	0	0
0	0	0	0
27.56	0	440.36	13.2
0	0	0	0
0	0	0	0
0	0	0	0
8.95	8.95	8.95	8.95
3584.65	3637.06	3700.73	3805.79
801.15	3524.58	3584.65	3637.06
0	0	0	0
0	0	0	0
6137.54	6014.23	6124.7	6089.87
0	0	0	0
178.19	0	0	0
49.02	122.47	178.19	0
5244.38	5329.38	5528.92	5549.74
0	0	0	0
1482.66	1487.85	1492.86	1497.81
8536.72	8540.51	8474.99	8568.39
193.09	0	46.7	322.23
7349	7472.75	7498.36	7428.87
7114.44	7140.41	7158.41	7153.43
5596.63	5654.61	5632.9	5658.06
2786.13	2792.66	2853.88	2841.85
5491.21	5499.56	5615.7	5640.64
6010.86	5915.17	5940.48	5965.77
5995.22	6010.86	5915.17	5940.48
2965.39	3060.54	3099.79	3194.16
30.28	30.28	0	0
0	0	0	0
167.72	165.02	162.46	159.7
219.5	216.17	212.43	209.22
0	0	0	0
200.11	0	0	0
6339.77	6489.83	6771.42	6296.59
918.21	977.94	1034.34	1116.64
1452.34	1451.03	1451.36	1479.43
1992.46	1038.28	739.26	829.72
115.33	113.55	111.62	109.95
0	0	0	0
646.44	583.8	479.44	424.75
0	0	0	0
5168.12	5056.81	4655.87	4678.2
5026.69	5141.18	5244.4	5330.38
0	0	0	20.9
3853.07	3853.07	3853.07	3853.07
0	0	0	0
0	0	0	0
316.49	425.6	355.65	135.46
0	89.95	0	0
0	0	0	0
0	0	20	0
19.18	0	53.75	158.21
0	0	0	0
-22	21	20.5	20
0	0	0	0
0	0	0	0
2592.97	2807.37	2967.82	3076.74
2239.02	2432.77	2592.97	2807.37
2200.7	2207.18	2139.22	2027.17
0	0	780.48	780.48
459.53	346.79	0	0
120.3	143.51	191.04	172.31
64.74	0	0	72.63
