Time	Lowes Gross Profit (million)	Bank Loans, Real Estate (billion)	Quarter	Pct Change Gross Profit	Pct Change Loans
1998.5	$882.14 	$1,271.00 	3	-10.613481	0.84900421
1998.75	$874.38 	$1,298.90 	4	-0.8791171	2.19512195
1999	$1,007.09 	$1,321.40 	1	15.1776116	1.73223497
1999.25	$1,187.29 	$1,340.20 	2	17.8927405	1.42273346
1999.5	$1,089.55 	$1,370.90 	3	-8.2319677	2.29070288
1999.75	$1,096.66 	$1,431.90 	4	0.65238002	4.44963163
2000	$1,248.12 	$1,497.00 	1	13.8109728	4.54640687
2000.25	$1,452.03 	$1,563.50 	2	16.3375039	4.44221777
2000.5	$1,299.37 	$1,612.80 	3	-10.513234	3.15318196
2000.75	$1,291.25 	$1,632.30 	4	-0.6248403	1.20907738
2001	$1,493.53 	$1,654.80 	1	15.6650943	1.37842308
2001.25	$1,717.71 	$1,691.40 	2	15.0100199	2.21174764
2001.5	$1,590.89 	$1,706.60 	3	-7.383036	0.89866383
2001.75	$1,565.72 	$1,738.00 	4	-1.5823857	1.83991562
2002	$1,922.72 	$1,764.10 	1	22.8015316	1.50172612
2002.25	$2,202.04 	$1,795.00 	2	14.5271131	1.75160138
2002.5	$1,965.22 	$1,868.30 	3	-10.754674	4.08356546
2002.75	$1,936.02 	$1,977.40 	4	-1.4854347	5.83953327
2003	$2,219.00 	$2,061.20 	1	14.6163477	4.23788814
2003.25	$2,626.00 	$2,127.90 	2	18.3415953	3.23597904
2003.5	$2,441.00 	$2,211.40 	3	-7.0449353	3.92405658
2003.75	$2,321.00 	$2,206.40 	4	-4.916018	-0.2261011
2004	$2,870.00 	$2,254.50 	1	23.6535976	2.18002175
2004.25	$3,389.00 	$2,377.40 	2	18.0836237	5.45131958
2004.5	$3,051.00 	$2,437.90 	3	-9.9734435	2.54479684
2004.75	$2,989.00 	$2,523.80 	4	-2.0321206	3.52352434
2005	$3,398.00 	$2,610.50 	1	13.6835062	3.43529598
2005.25	$4,027.00 	$2,701.50 	2	18.5108888	3.48592224
2005.5	$3,580.00 	$2,814.80 	3	-11.100074	4.19396632
2005.75	$3,785.00 	$2,893.80 	4	5.72625698	2.80659372
2006	$4,169.00 	$2,968.70 	1	10.1453104	2.58829221
2006.25	$4,477.00 	$3,057.90 	2	7.3878628	3.00468218
2006.5	$3,865.00 	$3,133.80 	3	-13.669868	2.48209556
2006.75	$3,687.00 	$3,331.80 	4	-4.6054334	6.31820793
2007	$4,259.00 	$3,389.50 	1	15.513968	1.73179663
2007.25	$4,884.00 	$3,407.90 	2	14.6748063	0.54285293
2007.5	$3,963.00 	$3,468.20 	3	-18.857494	1.76941812
2007.75	$3,621.00 	$3,573.70 	4	-8.6298259	3.04192376
2008	$4,166.00 	$3,626.10 	1	15.0510909	1.46626745
2008.25	$4,982.00 	$3,645.70 	2	19.5871339	0.54052563
2008.5	$3,985.00 	$3,639.00 	3	-20.012043	-0.1837781
2008.75	$3,368.00 	$3,818.90 	4	-15.483061	4.94366584
2009	$4,196.00 	$3,817.80 	1	24.584323	-0.0288041
2009.25	$4,822.00 	$3,859.60 	2	14.9189704	1.09487139
2009.5	$3,891.00 	$3,803.50 	3	-19.307341	-1.4535185
2009.75	$3,554.00 	$3,771.30 	4	-8.6610126	-0.8465887
2010	$4,358.00 	$3,727.40 	1	22.6223973	-1.1640548
2010.25	$5,007.00 	$3,699.90 	2	14.8921524	-0.7377797
2010.5	$4,061.00 	$3,650.10 	3	-18.893549	-1.3459823
2010.75	$3,726.00 	$3,615.80 	4	-8.2491997	-0.9397003
2011	$4,319.00 	$3,569.40 	1	15.9151906	-1.2832568
2011.25	$5,016.00 	$3,505.90 	2	16.1379949	-1.7790105
2011.5	$4,036.00 	$3,485.60 	3	-19.53748	-0.5790239
2011.75	$3,979.00 	$3,487.20 	4	-1.4122894	0.04590314
