Profit from Sales	Number Accounts	Early Commission	Early Selling	Log Profit	Log Accounts	Log Commission	Office	Office Dummy	Office Dummy * Log Accounts
16874.92	13	1407.5	157430	9.73358377	2.56494936	7.24957036	New	1	2.564949358
15384.9	19	555	27893	9.64114179	2.94443898	6.31896811	New	1	2.944438979
62262.42	102	12064.97	1186360	11.0391133	4.62497281	9.39806149	New	1	4.624972813
22275.43	265	526.65	6548739	10.0112396	5.57972983	6.26653619	Existing	0	0
16761.63	16	250	71955	9.72684762	2.77258872	5.52146092	New	1	2.772588722
11289.15	8	1405.7	69321	9.33159737	2.07944154	7.24829068	New	1	2.079441542
32324.12	22	245	116962	10.383569	3.09104245	5.50125821	New	1	3.091042453
15812.08	16	671.79	46958	9.66852948	2.77258872	6.50994579	New	1	2.772588722
19751.74	10	3232.54	425457	9.89099687	2.30258509	8.08102348	Existing	0	0
15982.33	22	2554.25	97736	9.67923902	3.09104245	7.84551392	New	1	3.091042453
59382.43	42	2527.72	557151	10.9917537	3.73766962	7.83507299	New	1	3.737669618
22468.04	79	705.7	1618132	10.0198491	4.36944785	6.55919022	Existing	0	0
28713.75	24	497	253535	10.2651314	3.17805383	6.20859003	Existing	0	0
64575.98	22	11215.39	2019010	11.0755978	3.09104245	9.32504222	New	1	3.091042453
47495.21	465	3255.66	11548394	10.7683841	6.14203741	8.0881503	Existing	0	0
48592.06	123	517.74	2688428	10.7912154	4.81218436	6.24947319	Existing	0	0
72825.9	46	2407.16	6137511	11.1958269	3.8286414	7.78620291	New	1	3.828641397
44477.72	95	3015.43	1336877	10.7027437	4.55387689	8.01149772	Existing	0	0
6252.96	5	4102.61	161202	8.74081023	1.60943791	8.31937864	New	1	1.609437912
1113.08	17	595	15843	7.01488623	2.83321334	6.38856141	New	1	2.833213344
5747.08	12	1501.04	114209	8.65644718	2.48490665	7.31391348	New	1	2.48490665
8518.93	8	533	70823	9.05004603	2.07944154	6.27852142	Existing	0	0
6605.32	10	297.38	30465	8.79563066	2.30258509	5.69501078	Existing	0	0
8887.47	67	1110.69	295060	9.0923977	4.20469262	7.01273672	Existing	0	0
7416.68	15	173.45	191180	8.9114868	2.7080502	5.15588937	New	1	2.708050201
4961.22	3	210	14668	8.50940696	1.09861229	5.34710753	New	1	1.098612289
8363.74	14	860.44	44519	9.03166097	2.63905733	6.75744389	New	1	2.63905733
9983.25	13	50	1010	9.20866397	2.56494936	3.91202301	New	1	2.564949358
13889.28	28	4565.56	393246	9.5388726	3.33220451	8.42629646	Existing	0	0
9799.45	166	129.33	2213105	9.19008154	5.11198779	4.86236728	Existing	0	0
16659.74	23	815	52224	9.72075031	3.13549422	6.70318811	Existing	0	0
14260.92	9	1.25	46	9.56527821	2.19722458	0.22314355	Existing	0	0
14660.48	99	1512.71	554503	9.59291072	4.59511985	7.32165802	Existing	0	0
61972.32	34	1985	227016	11.0344431	3.52636052	7.59337419	New	1	3.526360525
32810.16	300	2685.91	6264743	10.3984935	5.70378247	7.89577487	Existing	0	0
10539.01	6	150	260834	9.26283889	1.79175947	5.01063529	New	1	1.791759469
18454.67	9	255	18691	9.82307273	2.19722458	5.54126355	New	1	2.197224577
42002.73	285	1126.66	7965483	10.6454899	5.65248918	7.02701278	Existing	0	0
23715.78	69	305.31	840724	10.0738959	4.2341065	5.72132765	Existing	0	0
18577.19	20	933.01	321497	9.82968976	2.99573227	6.83841592	New	1	2.995732274
18699.78	1	0	0	9.83626704	0	0	New	1	0
13885.68	5	0	2278	9.53861337	1.60943791	0	New	1	1.609437912
7258.09	5	12.5	231	8.88987199	1.60943791	2.52572864	New	1	1.609437912
38955.43	22	145.13	44142	10.5701735	3.09104245	4.97762989	New	1	3.091042453
31315.78	35	3037.91	5210470.5	10.3518774	3.55534806	8.01892506	New	1	3.555348062
27539.01	12	6080.21	286691	10.2233588	2.48490665	8.71279451	New	1	2.48490665
22450.38	19	6230.49	5908253.5	10.0190628	2.94443898	8.73721026	New	1	2.944438979
22466.15	29	4034.69	491844	10.019765	3.36729583	8.30268475	New	1	3.36729583
29199.51	11	2125	71998	10.2819072	2.39789527	7.66152708	New	1	2.397895273
17124.11	25	600	88797	9.74824269	3.21887582	6.39692966	New	1	3.218875825
34256.52	33	2719.41	482630	10.4416322	3.49650756	7.90817022	New	1	3.496507562
26424.79	16	50	497430	10.1820579	2.77258872	3.91202301	New	1	2.772588722
40710.8	28	1086.82	167658	10.6142487	3.33220451	6.99101128	New	1	3.33220451
29702.1	15	0	8950542	10.298973	2.7080502	0	Existing	0	0
66672.52	46	10502.91	5755783.5	11.1075482	3.8286414	9.25940764	New	1	3.828641397
18091.06	18	1496.47	95191	9.80317317	2.89037176	7.31086428	Existing	0	0
37131.31	24	2819.12	340817.5	10.5222158	3.17805383	7.94418006	New	1	3.17805383
102919.87	1240	10140.2	37168711	11.541706	7.12286666	9.224263	Existing	0	0
79929.16	48	6604.06	1854714	11.288896	3.87120101	8.79543989	New	1	3.871201011
14913.94	192	1411.44	592686	9.61005163	5.25749537	7.25236574	Existing	0	0
13365.13	11	816.32	25582	9.50040436	2.39789527	6.70480643	New	1	2.397895273
18661.84	34	5728.39	246926	9.83423608	3.52636052	8.65318979	New	1	3.526360525
19805.54	18	1877.38	257345	9.89371698	2.89037176	7.53763247	New	1	2.890371758
12905.67	7	150	394996	9.46542203	1.94591015	5.01063529	New	1	1.945910149
5456.59	89	141	685566	8.60457933	4.48863637	4.94875989	Existing	0	0
9894.48	8	791.75	50148	9.1997323	2.07944154	6.67424569	New	1	2.079441542
10935.03	12	135.63	251355	9.29972668	2.48490665	4.90993059	New	1	2.48490665
6093.8	10	654.11	44392	8.71502714	2.30258509	6.48327553	New	1	2.302585093
5178.85	6	1204.41	118237	8.5523383	1.79175947	7.0937451	New	1	1.791759469
18085.34	7	1087.23	49818	9.80285694	1.94591015	6.99138846	New	1	1.945910149
31104.03	131	1564.77	2444971	10.3450927	4.87519732	7.35549413	Existing	0	0
24981.67	243	4836.86	1939871	10.1258976	5.49306144	8.48402103	Existing	0	0
11018.8	3	0	0	9.30735818	1.09861229	0	Existing	0	0
15357.85	19	772.69	44234	9.63938202	2.94443898	6.64987793	New	1	2.944438979
16155.15	201	2164.16	817620	9.68999416	5.30330491	7.67978757	Existing	0	0
45410.21	10	5275	206383	10.7234922	2.30258509	8.57073396	New	1	2.302585093
29305	32	2389.74	657264	10.2855134	3.4657359	7.77893985	Existing	0	0
16258.35	17	7.4	19156	9.6963619	2.83321334	2.00148	Existing	0	0
25025.39	21	675	300200	10.1276462	3.04452244	6.51471269	Existing	0	0
36220.26	82	1801.57	2117805	10.4973739	4.40671925	7.49641379	Existing	0	0
6206.8	67	849.72	420876	8.73340074	4.20469262	6.74490688	Existing	0	0
10012.98	5	330	163153	9.21163753	1.60943791	5.79909265	Existing	0	0
11242.64	11	958.19	41812	9.32746897	2.39789527	6.86504609	Existing	0	0
11417.53	15	2069.17	129222	9.34290517	2.7080502	7.63490284	Existing	0	0
28486.22	26	3010.21	157605	10.2571757	3.25809654	8.00976512	New	1	3.258096538
14450.21	17	225	850202	9.57846423	2.83321334	5.4161004	Existing	0	0
43176.28	24	6769.52	206863	10.6730465	3.17805383	8.82018546	Existing	0	0
8636.03	79	715.41	871658	9.06369827	4.36944785	6.5728558	Existing	0	0
6360.76	19	111.5	1733	8.75790315	2.94443898	4.71402459	New	1	2.944438979
14677.76	29	1126.18	34637	9.5940887	3.36729583	7.02658665	New	1	3.36729583
25254	26	556.2	124007	10.1367398	3.25809654	6.32112794	New	1	3.258096538
34547.65	104	1293.75	1067734	10.4500948	4.6443909	7.16530026	Existing	0	0
26880.4	16	312.5	123507	10.1991527	2.77258872	5.74460447	New	1	2.772588722
21728.33	25	1055	46483	9.98637222	3.21887582	6.96129605	New	1	3.218875825
21126.05	22	1062.5	87931	9.95826216	3.09104245	6.9683799	New	1	3.091042453
36011.06	148	154.62	76439	10.4915814	4.99721227	5.04097049	Existing	0	0
22678.42	19	952.99	94001	10.0291691	2.94443898	6.85960441	New	1	2.944438979
45948.23	80	397.5	2588003	10.7352706	4.38202663	5.98519493	Existing	0	0
12472.01	28	1551.63	178527	9.43124221	3.33220451	7.34706127	Existing	0	0
7594.49	9	282.73	9980	8.93517826	2.19722458	5.64449238	New	1	2.197224577
34921.8	10	475	20076	10.4608666	2.30258509	6.1633148	New	1	2.302585093
25259.93	13	575	444814	10.1369746	2.56494936	6.35437004	New	1	2.564949358
15825.51	14	111.1	1070944	9.66937847	2.63905733	4.7104307	Existing	0	0
11311.44	18	1199.5	130149	9.33356988	2.89037176	7.08966008	New	1	2.890371758
10184.67	8	216.8	7959	9.22863893	2.07944154	5.37897527	New	1	2.079441542
52180.22	16	7026.08	3670934	10.8624588	2.77258872	8.85738422	New	1	2.772588722
15532.44	18	170	12846	9.65068602	2.89037176	5.13579844	New	1	2.890371758
11822.38	11	1910.75	97536	9.37774962	2.39789527	7.55525111	New	1	2.397895273
99749.7	544	8675.78	24189182	11.5104193	6.29894925	9.06829051	Existing	0	0
13011.11	12	230	98287	9.47355889	2.48490665	5.43807931	New	1	2.48490665
20237.7	23	824.02	170237	9.91530248	3.13549422	6.7141948	New	1	3.135494216
30096.67	33	112.5	112903	10.3121698	3.49650756	4.72295322	New	1	3.496507562
50724.01	18	1030	166410	10.8341546	2.89037176	6.93731408	New	1	2.890371758
44280.7	29	5934.79	6922436.5	10.6983042	3.36729583	8.68858692	New	1	3.36729583
35985.28	28	1655.6	155852	10.4908652	3.33220451	7.41191876	Existing	0	0
69512.39	25	2486.5	5293863.5	11.1492603	3.21887582	7.81863138	New	1	3.218875825
97010.75	18	3616.53	22482417	11.4825771	2.89037176	8.19327028	New	1	2.890371758
103018.28	789	9013.69	30674908	11.5426617	6.67076632	9.10649981	Existing	0	0
37395.48	93	5087.88	2324781	10.5293051	4.53259949	8.53461652	Existing	0	0
46822.5	21	375	37331	10.7541191	3.04452244	5.92692603	New	1	3.044522438
15427.43	135	1100.04	1567208	9.64390237	4.90527478	7.00310182	Existing	0	0
9295.19	2	115	12261	9.13725234	0.69314718	4.74493213	Existing	0	0
6857.12	8	640.01	19877	8.83304281	2.07944154	6.4614838	New	1	2.079441542
16572.77	253	2680.02	3065574	9.71551627	5.53338949	7.89357954	Existing	0	0
14337.9	18	615.57	74322	9.57066166	2.89037176	6.42254867	New	1	2.890371758
17551.27	22	100	12873	9.77288159	3.09104245	4.60517019	New	1	3.091042453
26091.42	18	2681	160111	10.1693618	2.89037176	7.89394514	New	1	2.890371758
22139.47	9	426.84	611066	10.0051173	2.19722458	6.05640924	New	1	2.197224577
16774.71	256	2831.14	3192290	9.72762767	5.54517744	7.94843474	Existing	0	0
34569.87	37	10664.65	451978	10.4507378	3.61091791	9.27468981	New	1	3.610917913
15954.34	6	85.36	3145184.5	9.67748617	1.79175947	4.44687761	New	1	1.791759469
11608.54	20	1361.38	267115	9.35949631	2.99573227	7.21625417	New	1	2.995732274
21005.73	26	3162.41	103798	9.95255054	3.25809654	8.05908967	New	1	3.258096538
21511.53	11	2071.5	61950	9.97634435	2.39789527	7.63602826	New	1	2.397895273
34075	20	180	723325	10.4363193	2.99573227	5.19295685	Existing	0	0
25765.05	13	3776.87	3262264.5	10.1567742	2.56494936	8.2366509	New	1	2.564949358
27373.45	44	2129.08	790858	10.2173288	3.78418963	7.66344524	New	1	3.784189634
47661.82	182	3785.25	9296322	10.7718859	5.20400669	8.23886721	Existing	0	0
19221.66	22	792.22	20784	9.86379305	3.09104245	6.67483913	New	1	3.091042453
35672.07	24	2202.4	332491	10.4821233	3.17805383	7.69730295	Existing	0	0
27330.07	33	273.22	694931	10.2157428	3.49650756	5.61027733	New	1	3.496507562
31130.69	38	2384.51	486391	10.3459494	3.63758616	7.77674893	New	1	3.63758616
28031.19	12	683.25	425571	10.2410731	2.48490665	6.52686082	Existing	0	0
43286.54	10	436.3	63946	10.675597	2.30258509	6.07833008	Existing	0	0
45218.01	149	4518.49	2846218	10.7192507	5.00394631	8.41593315	Existing	0	0
252.76	6	0	0	5.53244042	1.79175947	0	New	1	1.791759469
1472.97	25	287.5	81119	7.29503605	3.21887582	5.66122286	Existing	0	0
6318.76	27	175	23359	8.75127827	3.29583687	5.16478597	Existing	0	0
7722.17	47	316.1	566655	8.95185069	3.8501476	5.75605862	Existing	0	0
4801.6	14	12.5	75600	8.47670447	2.63905733	2.52572864	New	1	2.63905733
9750.36	12	0	271289	9.18505949	2.48490665	0	New	1	2.48490665
12361.34	6	100	1908	9.42232914	1.79175947	4.60517019	New	1	1.791759469
26619.79	38	2007.75	324438	10.1894102	3.63758616	7.60476997	Existing	0	0
17016.84	16	1134.53	444554	9.74195872	2.77258872	7.03397375	New	1	2.772588722
12856.31	8	244.25	131962	9.46159002	2.07944154	5.49819229	Existing	0	0
37046.11	210	1353.57	1921447	10.5199186	5.34710753	7.21050083	Existing	0	0
11566.61	16	643.64	148809	9.35587778	2.77258872	6.46713956	New	1	2.772588722
32713.58	14	0	119790	10.3955456	2.63905733	0	New	1	2.63905733
104163	372	3082.55	3127098	11.5537123	5.91889385	8.03351246	Existing	0	0
34228.77	85	2932.85	766395	10.4408218	4.44265126	7.98372993	Existing	0	0
45404.25	30	677.27	295857	10.723361	3.40119738	6.51807001	New	1	3.401197382
17191.45	23	41.66	28775	9.75216745	3.13549422	3.72954144	Existing	0	0
18210.81	18	3175	102440	9.80977065	2.89037176	8.06306291	New	1	2.890371758
8051.68	12	100	46995	8.99363604	2.48490665	4.60517019	New	1	2.48490665
32212.43	23	980.75	308975	10.3801077	3.13549422	6.88831759	New	1	3.135494216
25898.84	21	1413.25	91759	10.1619535	3.04452244	7.2536473	New	1	3.044522438
24990.45	15	450	322078	10.126249	2.7080502	6.10924758	New	1	2.708050201
44984.37	22	3650.59	2784897	10.7140704	3.09104245	8.20264408	Existing	0	0
48888.25	22	4410.84	4560229	10.7972924	3.09104245	8.39182043	Existing	0	0
55898.17	36	2165.32	5981021.5	10.9312869	3.58351894	7.68032344	New	1	3.583518939
30653.69	25	7966.88	649649	10.3305083	3.21887582	8.98304823	New	1	3.218875825
27442.16	14	1000	42924	10.2198358	2.63905733	6.90775528	Existing	0	0
84989.37	21	519.64	3551812	11.3502815	3.04452244	6.25313626	New	1	3.044522438
71487.83	22	1782.88	586842	11.1772825	3.09104245	7.48598531	New	1	3.091042453
9466.09	19	792.65	149509	9.15547122	2.94443898	6.67538176	New	1	2.944438979
16167.71	12	1944.98	50615	9.69077132	2.48490665	7.57300697	New	1	2.48490665
19122.05	13	600	38811	9.8585974	2.56494936	6.39692966	New	1	2.564949358
17731.46	36	1301.12	82075	9.78309574	3.58351894	7.17098071	New	1	3.583518939
12230.58	14	632.25	327186	9.41169465	2.63905733	6.44928489	New	1	2.63905733
31883.26	17	4781.75	763039	10.3698364	2.83321334	8.47256187	New	1	2.833213344
15602.35	28	331.7	25412	9.65517682	3.33220451	5.80423095	New	1	3.33220451
29461.59	21	2028.37	5436148	10.2908427	3.04452244	7.61498779	New	1	3.044522438
36987.87	19	3006.25	114080	10.5183453	2.94443898	8.00844873	New	1	2.944438979
21899.03	10	0	62089	9.99419762	2.30258509	0	New	1	2.302585093
49051.77	40	8697.69	766575	10.8006315	3.68887945	9.07081275	New	1	3.688879454
42266.85	198	4576.6	1458910	10.6517584	5.28826703	8.42871164	Existing	0	0
42345.61	38	2518.1	80164	10.65362	3.63758616	7.83125993	Existing	0	0
62886.87	22	5937.46	2690274.5	11.0490927	3.09104245	8.68903671	New	1	3.091042453
4431.48	6	0	96691	8.39648889	1.79175947	0	New	1	1.791759469
7301.84	347	878.25	5713069	8.89588165	5.84932478	6.77793129	Existing	0	0
11979.67	65	215.13	789401	9.39096633	4.17438727	5.3712425	Existing	0	0
20149.15	36	3489.15	431423	9.91091738	3.58351894	8.15741343	New	1	3.583518939
39694.85	30	362.2	2290770	10.5889767	3.40119738	5.89219655	New	1	3.401197382
69472.96	35	14339.68	1081406	11.1486929	3.55534806	9.5707858	New	1	3.555348062
16826.18	49	1789	77341	9.73069129	3.8918203	7.48941208	New	1	3.891820298
24585.22	13	480	181329	10.1099007	2.56494936	6.1737861	Existing	0	0
42661.55	36	3456.47	2999960	10.6610533	3.58351894	8.14800312	Existing	0	0
55651.05	412	3162.08	10042745	10.9268562	6.02102335	8.05898532	Existing	0	0
35632.18	26	6156.94	197747	10.4810044	3.25809654	8.72533518	New	1	3.258096538
3739.58	12	861.35	349983	8.22672858	2.48490665	6.75850093	New	1	2.48490665
33445.05	187	623.75	1489954	10.4176591	5.23110862	6.43574965	Existing	0	0
35004.29	35	4154.22	390684	10.4632259	3.55534806	8.33187996	New	1	3.555348062
27381.92	17	367	44856	10.2176382	2.83321334	5.90536185	New	1	2.833213344
17596.68	50	882.36	261781	9.77546553	3.91202301	6.78260014	Existing	0	0
30235.75	21	2484.39	54387	10.3167803	3.04452244	7.81778244	Existing	0	0
47483.87	108	5234.34	1526908	10.7681454	4.68213123	8.56299604	Existing	0	0
14111.17	88	120.68	770888	9.55472196	4.47733681	4.79314241	Existing	0	0
21947.13	14	1125	44600	9.99639166	2.63905733	7.02553831	New	1	2.63905733
41373.81	16	17555.86	747946	10.6304034	2.77258872	9.77314308	New	1	2.772588722
29815.98	70	6956.46	841283	10.3027998	4.24849524	8.847426	Existing	0	0
21577.67	30	1006.79	168456	9.97941426	3.40119738	6.91452233	New	1	3.401197382
82870.36	429	3161.79	6725649	11.3250327	6.06145692	8.0588936	Existing	0	0
35170.53	15	5174.27	4556972.5	10.4679638	2.7080502	8.55145355	New	1	2.708050201
7599.94	12	255.94	500739	8.93589563	2.48490665	5.54494304	Existing	0	0
16668.61	18	114.34	21658	9.72128259	2.89037176	4.73917647	New	1	2.890371758
9073.41	20	2159.59	240230	9.11310344	2.99573227	7.67767367	New	1	2.995732274
5827.76	7	289	18540	8.67038799	1.94591015	5.66642669	New	1	1.945910149
41081.79	26	4396.32	197843	10.6233202	3.25809654	8.38852311	New	1	3.258096538
45166.84	24	4600	145274	10.7181185	3.17805383	8.43381158	New	1	3.17805383
16848.78	32	0	42041	9.73203353	3.4657359	0	New	1	3.465735903
42533.14	27	272.33	360045	10.6580388	3.29583687	5.60701457	New	1	3.295836866
26349.16	21	560.31	636386	10.1791917	3.04452244	6.3284902	New	1	3.044522438
14699.69	29	1308.35	216955	9.59558168	3.36729583	7.17652208	New	1	3.36729583
17800.42	13	1700	61562	9.78697733	2.56494936	7.43838353	New	1	2.564949358
39214.83	23	4243.86	117173	10.5768103	3.13549422	8.35322851	New	1	3.135494216
14609.08	13	1432.95	511852	9.58939853	2.56494936	7.26749054	New	1	2.564949358
6927.3	27	8.75	40856	8.84322541	3.29583687	2.1690537	Existing	0	0
20034.23	273	824.35	2731288	9.90519759	5.6094718	6.7145952	Existing	0	0
57401.8	43	1580.68	565536	10.9578309	3.76120012	7.36561041	Existing	0	0
7104.59	20	1585.45	142076	8.86849633	2.99573227	7.36862356	New	1	2.995732274
52853.28	844	949.09	30233953	10.8752751	6.73815249	6.85550363	Existing	0	0
63167.85	51	3747.88	5167018	11.0535507	3.93182563	8.22894563	New	1	3.931825633
152807.06	1012	1563.75	41448217	11.9369314	6.91968385	7.35484206	Existing	0	0
17400.92	174	1071.54	1549326	9.76427836	5.1590553	6.97685215	Existing	0	0
5823.16	4	100	202075	8.66959835	1.38629436	4.60517019	New	1	1.386294361
9815.71	11	176.01	5181	9.19173944	2.39789527	5.17054081	New	1	2.397895273
17394.32	73	4202.9	1484218	9.763899	4.29045944	8.34353004	Existing	0	0
44445	229	7779.63	6383026	10.7020077	5.433722	8.95926406	Existing	0	0
73086.24	31	795.16	6150984.5	11.1993954	3.4339872	6.67854335	New	1	3.433987205
139434.44	85	11437.37	341749	11.8453498	4.44265126	9.34464134	New	1	4.442651257
7222.61	10	1826.46	99083	8.88497166	2.30258509	7.51013495	New	1	2.302585093
21958.63	14	37.5	475268	9.99691551	2.63905733	3.62434093	Existing	0	0
39753.77	206	4418.99	4695694	10.59046	5.32787617	8.39366644	Existing	0	0
22284.04	40	1560.66	105302	10.011626	3.68887945	7.35286409	Existing	0	0
34853.92	33	170.5	190191	10.4589209	3.49650756	5.1387353	New	1	3.496507562
39054.64	18	6727.8	5210127.5	10.572717	2.89037176	8.81400347	New	1	2.890371758
47126.75	65	63.61	2622	10.7605961	4.17438727	4.15277069	New	1	4.17438727
37185.2	6	3964.03	6604317	10.5236661	1.79175947	8.28501646	New	1	1.791759469
36856.02	13	1612	175616	10.5147742	2.56494936	7.38523092	Existing	0	0
13330.91	10	3029.23	272814	9.49784068	2.30258509	8.01606374	Existing	0	0
32555.89	490	6012.05	9439993	10.3907136	6.19440539	8.70152107	Existing	0	0
15331.28	18	2057.48	178348	9.63765046	2.89037176	7.62923721	New	1	2.890371758
22317.29	26	519.22	180717	10.013117	3.25809654	6.25232769	Existing	0	0
8516.35	12	75	17174	9.04974312	2.48490665	4.31748811	Existing	0	0
16115.11	41	1198.51	143671	9.68751262	3.71357207	7.0888344	Existing	0	0
17975.45	37	1297.02	227921	9.79676222	3.61091791	7.1678246	Existing	0	0
63902.95	25	6514.81	304268	11.0651208	3.21887582	8.78183333	New	1	3.218875825
25419.18	130	6909.73	1995818	10.1432593	4.86753445	8.84068584	Existing	0	0
13918.36	15	780.25	306216	9.54096411	2.7080502	6.65961438	New	1	2.708050201
12989.23	6	1100	33153	9.47187583	1.79175947	7.00306546	New	1	1.791759469
35470.04	43	5027.5	181731	10.4764437	3.76120012	8.52267812	New	1	3.761200116
20283.3	29	1153.93	207263	9.91755317	3.36729583	7.05092879	New	1	3.36729583
20730.13	17	306.14	394842	9.93934348	2.83321334	5.72404251	New	1	2.833213344
56233.95	86	6624.89	1126357	10.9372759	4.4543473	8.79858905	Existing	0	0
6770.24	6	350.66	27157	8.82029182	1.79175947	5.85981709	New	1	1.791759469
15865.94	12	1476.39	137387	9.67192995	2.48490665	7.2973552	New	1	2.48490665
26837.86	37	644.47	323869	10.1975689	3.61091791	6.46842827	New	1	3.610917913
85201.84	32	6051.99	5688294	11.3527783	3.4657359	8.70814242	New	1	3.465735903
14011	27	778.5	53445	9.54759801	3.29583687	6.65736899	Existing	0	0
46771.26	32	1887.98	165760	10.7530242	3.4657359	7.54326275	New	1	3.465735903
7595.86	11	1692.5	146663	8.93535864	2.39789527	7.433962	New	1	2.397895273
16340.85	100	426	1668251	9.70142339	4.60517019	6.05443935	Existing	0	0
11637.3	10	686.6	243094	9.36197074	2.30258509	6.53175188	New	1	2.302585093
19041.16	7	2495.39	5357926	9.85435823	1.94591015	7.82220031	New	1	1.945910149
15827.16	185	1818.7	3091085	9.66948273	5.22035583	7.50587724	Existing	0	0
24764.72	234	485.94	4411251	10.1171753	5.45532112	6.18608516	Existing	0	0
50313.87	5	3751.68	2559036	10.8260361	1.60943791	8.22995902	New	1	1.609437912
13505.3	8	0	7213	9.51083748	2.07944154	0	New	1	2.079441542
50556.13	37	2461.84	2733353.5	10.8308395	3.61091791	7.80866432	New	1	3.610917913
6303.18	265	389.28	1202180	8.74880955	5.57972983	5.96429888	Existing	0	0
11205.58	10	50	149	9.32416715	2.30258509	3.91202301	New	1	2.302585093
14502.69	163	8386.33	1611876	9.58208943	5.0937502	9.03435828	Existing	0	0
23582.72	31	2177.92	343588	10.0682695	3.4339872	7.68612557	New	1	3.433987205
38953.06	24	950	64832	10.5701126	3.17805383	6.85646198	New	1	3.17805383
49587.45	19	4497.56	187705	10.8114931	2.94443898	8.41129031	New	1	2.944438979
36229.25	380	5983.83	10279020	10.4976221	5.94017125	8.69681611	Existing	0	0
68267.55	534	677.5	16280	11.1311898	6.28039584	6.51840955	Existing	0	0
23581.89	206	1597.77	3626314	10.0682343	5.32787617	7.37636419	Existing	0	0
27735.51	15	327	19833	10.2304688	2.7080502	5.78996017	New	1	2.708050201
14723.09	122	379.26	2762701	9.59717229	4.80402104	5.93822199	Existing	0	0
12285.46	34	5976.96	2171869	9.41617173	3.52636052	8.69566736	New	1	3.526360525
13175.76	19	1341.72	79365	9.48613406	2.94443898	7.20170765	New	1	2.944438979
85509.12	48	9802.82	8192616.5	11.3563783	3.87120101	9.19042538	New	1	3.871201011
17944.55	289	1734.57	4872414	9.79504173	5.66642669	7.45851482	Existing	0	0
15676.79	7	558	32493	9.65993655	1.94591015	6.32435896	Existing	0	0
9714.22	11	170	4896	9.18134607	2.39789527	5.13579844	New	1	2.397895273
25937.89	34	2074.34	537539	10.1634601	3.52636052	7.63739831	New	1	3.526360525
16054.65	59	1255.47	290628	9.68375381	4.07753744	7.13526528	Existing	0	0
10573.28	119	1571.26	2466723	9.26608534	4.77912349	7.35963312	Existing	0	0
38267.88	25	2104.71	96712	10.5523662	3.21887582	7.65193297	New	1	3.218875825
9210.88	45	3.75	47776	9.12814067	3.80666249	1.32175584	Existing	0	0
9560.84	15	1233.25	49034	9.16543087	2.7080502	7.11740824	Existing	0	0
33434.84	8	0	0	10.4173537	2.07944154	0	Existing	0	0
27387.11	28	601	841254	10.2178277	3.33220451	6.39859493	New	1	3.33220451
23736.99	12	1569.31	38888	10.0747899	2.48490665	7.35839131	Existing	0	0
14290.84	5	0	99119	9.56737405	1.60943791	0	New	1	1.609437912
41107.32	38	624.35	46668	10.6239415	3.63758616	6.43671111	New	1	3.63758616
35702.51	10	200	36116	10.4829763	2.30258509	5.29831737	New	1	2.302585093
36053.22	34	451.38	28175	10.4927515	3.52636052	6.11230956	New	1	3.526360525
2700.54	10	0	0	7.90120703	2.30258509	0	Existing	0	0
6505.16	10	1782.52	76297	8.78035099	2.30258509	7.48578337	New	1	2.302585093
10628.4	226	62.5	2137924	9.27128494	5.420535	4.13516656	Existing	0	0
