Name	Company	TICKER	Total Compensation ($ Million)	Total Revenue ($ Billion)	Log Total Compensation	Log Total Revenue
Joel S. Marcus, J.D., CPA	ALEXANDRIA R E EQUITIES INC	ARE	$8.53 	$0.49 	6.931	-0.312
Thomas Prescott	ALIGN TECHNOLOGY INC	ALGN	$4.04 	$0.37 	6.607	-0.428
Paul J. Evanson	ALLEGHENY ENERGY INC	AYE	$12.97 		7.113	
L. Patrick Hassey	ALLEGHENY TECHNOLOGIES INC	ATI	$18.18 	$4.05 	7.26	0.607
Maurice J. Gallagher, Jr.	ALLEGIANT TRAVEL CO	ALGT	$0.71 	$0.66 	5.849	-0.178
David E.I. Pyott	ALLERGAN INC	AGN	$12.65 	$4.92 	7.102	0.692
Alan R. Hodnik	ALLETE INC	ALE	$1.28 	$0.91 	6.108	-0.043
Edward J. Heffernan	ALLIANCE DATA SYSTEMS CORP	ADS	$5.92 	$2.79 	6.772	0.446
Robert E. Harrison	ALLIANCE ONE INTL INC	AOI	$5.11 	$2.09 	6.708	0.321
William D. Harvey	ALLIANT ENERGY CORP	LNT	$5.16 	$3.42 	6.712	0.534
Mark W. DeYoung	ALLIANT TECHSYSTEMS INC	ATK	$10.05 	$4.84 	7.002	0.685
Glen E. Tullman	ALLSCRIPTS HEALTHCARE SOLTNS	MDRX	$4.51 		6.654	
Thomas J. Wilson, II	ALLSTATE CORP	ALL	$9.30 	$31.31 	6.968	1.496
William B. Yarmuth	ALMOST FAMILY INC	AFAM	$1.23 	$0.34 	6.091	-0.472
Kevin S. Crutchfield	ALPHA NATURAL RESOURCES INC	ANR	$9.98 	$3.92 	6.999	0.593
John P. Daane	ALTERA CORP	ALTR	$7.83 	$1.95 	6.894	0.291
Michael E. Szymanczyk	ALTRIA GROUP INC	MO	$24.05 	$16.89 	7.381	1.228
Jeffrey P. Bezos	AMAZON.COM INC	AMZN	$1.68 	$34.20 	6.226	1.534
Hamid R. Moghadam	AMB PROPERTY CORP	AMB	$6.51 		6.814	
David W. Wallis	AMBAC FINANCIAL GROUP INC	ABKFQ	$3.03 	$0.47 	6.481	-0.328
Lawrence E. Washow	AMCOL INTERNATIONAL CORP	ACO	$5.05 	$0.85 	6.703	-0.069
William F. Borne	AMEDISYS INC	AMED	$2.19 	$1.63 	6.34	0.213
Thomas R. Voss	AMEREN CORP	AEE	$4.72 	$7.64 	6.674	0.883
William C. Bayless, Jr.	AMERICAN CAMPUS COMMUNITIES	ACC	$1.87 	$0.34 	6.271	-0.465
Malon Wilkus	AMERICAN CAPITAL LTD	ACAS	$8.66 	$0.60 	6.937	-0.222
Michael G. Morris	AMERICAN ELECTRIC POWER CO	AEP	$9.03 	$14.43 	6.956	1.159
Kenneth I. Chenault	AMERICAN EXPRESS CO	AXP	$16.81 	$30.24 	7.226	1.481
Carl H. Lindner, III	AMERICAN FINANCIAL GROUP INC	AFG	$8.25 	$4.52 	6.916	0.655
Zev Weiss	AMERICAN GREETINGS  -CL A	AM	$3.88 	$1.60 	6.589	0.204
Robert Herman Benmosche	AMERICAN INTERNATIONAL GROUP	AIG	$8.42 	$76.79 	6.926	1.885
Anthony P. Bihl, III	AMERICAN MEDICAL SYSTMS HLDS	AMMD	$3.01 		6.478	
Joseph Carleone, Ph.D.	AMERICAN PACIFIC CORP	APFC	$0.55 	$0.18 	5.742	-0.754
Wallace E. Boston, Ed.D	AMERICAN PUBLIC EDUCATION	APEI	$1.66 	$0.20 	6.22	-0.703
Anthony R. Fabiano	AMERICAN SCIENCE ENGINEERING	ASEI	$1.58 	$0.28 	6.198	-0.555
Robert J. Sprowls	AMERICAN STATES WATER CO	AWR	$1.11 	$0.40 	6.047	-0.399
James D. Taiclet, Jr.	AMERICAN TOWER CORP	AMT	$6.21 	$1.99 	6.793	0.298
Eric G. Wintemute	AMERICAN VANGUARD CORP	AVD	$0.80 	$0.23 	5.903	-0.639
Daniel E. Berce	AMERICREDIT CORP	ACF	$2.62 		6.418	
James G. Carlson	AMERIGROUP CORP	AGP	$10.49 	$5.80 	7.021	0.764
Jim Cracchiolo	AMERIPRISE FINANCIAL INC	AMP	$17.71 	$10.02 	7.248	1.001
C. Allen Bradley, Jr.	AMERISAFE INC	AMSF	$0.78 	$0.25 	5.894	-0.605
R. David Yost	AMERISOURCEBERGEN CORP	ABC	$7.43 	$77.95 	6.871	1.892
James V. O'Donnell	AMERN EAGLE OUTFITTERS INC	AEO	$9.22 	$2.97 	6.964	0.472
Frank S. Hermance	AMETEK INC	AME	$7.81 	$2.47 	6.893	0.393
Kevin W. Sharer	AMGEN INC	AMGN	$21.14 	$15.05 	7.325	1.178
Susan R. Salka	AMN HEALTHCARE SERVICES INC	AHS	$2.60 	$0.69 	6.416	-0.162
R. Adam Norwitt	AMPHENOL CORP	APH	$6.93 	$3.55 	6.841	0.551
Gerard Arpey	AMR CORP/DE	AMR	$5.95 	$22.17 	6.775	1.346
Christopher A. Holden	AMSURG CORP	AMSG	$2.01 	$0.71 	6.304	-0.148
James T. Hackett	ANADARKO PETROLEUM CORP	APC	$24.33 	$10.84 	7.386	1.035
Jerald G. Fishman	ANALOG DEVICES	ADI	$13.93 	$2.76 	7.144	0.441
Jim Green	ANALOGIC CORP	ALOG	$2.07 	$0.42 	6.315	-0.373
Andrew K. Borgstrom	ANALYSTS INTERNATIONAL CORP	ANLY	$0.49 	$0.11 	5.694	-0.972
Chris Michael Bauer	ANCHOR BANCORP INC/WI	ABCW	$0.67 	$0.22 	5.828	-0.668
Mike Anderson	ANDERSONS INC	ANDE	$2.08 	$3.39 	6.317	0.531
Robert J. Eck	ANIXTER INTL INC	AXE	$3.98 	$5.47 	6.6	0.738
Katherine Lawther Krill	ANN INC	ANN	$10.33 	$1.98 	7.014	0.297
James E. Cashman, III	ANSYS INC	ANSS	$3.89 	$0.58 	6.59	-0.236
Tim Armstrong	AOL INC	AOL	$15.30 	$2.42 	7.185	0.383
Greg C. Case	AON CORP	AON	$20.78 	$8.51 	7.318	0.93
G. Steven Farris	APACHE CORP	APA	$19.29 	$12.18 	7.285	1.086
Terry Considine, J.D.	APARTMENT INVST & MGMT CO	AIV	$4.11 	$1.13 	6.614	0.054
Russell Huffer	APOGEE ENTERPRISES INC	APOG	$2.63 	$0.58 	6.42	-0.234
Gregory W. Cappelli	APOLLO GROUP INC  -CL A	APOL	$1.66 	$4.93 	6.22	0.692
Steven P. Jobs	APPLE INC	AAPL	$0.00 	$65.23 	0	1.814
David L. Pugh	APPLIED INDUSTRIAL TECH INC	AIT	$5.76 	$1.89 	6.76	0.277
David L. Pugh	APPLIED INDUSTRIAL TECH INC	AIT	$7.38 	$1.89 	6.868	0.277
Michael R. Splinter	APPLIED MATERIALS INC	AMAT	$9.75 	$9.55 	6.989	0.98
Paramesh Gopi, Ph.D.	APPLIED MICRO CIRCUITS CORP	AMCC	$1.53 	$0.25 	6.185	-0.606
William B. Van Vleet, III	APPLIED SIGNAL TECHNOLOGY	APSG	$2.31 		6.364	
J. Ross Craft, P.E	APPROACH RESOURCES INC	AREX	$1.33 	$0.06 	6.124	-1.24
Norman C. Payson, M.D.	APRIA HEALTHCARE GROUP INC	3274B	$1.14 	$2.08 	6.057	0.318
Peter H. Pfeiffer	APTARGROUP INC	ATR	$3.14 	$2.08 	6.497	0.317
Nicholas DeBenedictis	AQUA AMERICA INC	WTR	$3.53 	$0.73 	6.547	-0.139
Joseph Neubauer	ARAMARK CORP	2646B	$7.01 	$12.57 	6.846	1.099
William T. Kerr	ARBITRON INC	ARB	$4.66 	$0.40 	6.668	-0.403
Constantine P. Iordanou	ARCH CAPITAL GROUP LTD	ACGL	$9.48 	$3.18 	6.977	0.503
Michael E. Campbell	ARCH CHEMICALS INC	ARJ	$8.38 	$1.38 	6.923	0.139
Steven F. Leer	ARCH COAL INC	ACI	$4.16 	$3.19 	6.62	0.503
Patricia Woertz	ARCHER-DANIELS-MIDLAND CO	ADM	$11.45 	$61.68 	7.059	1.79
Patricia Woertz	ARCHER-DANIELS-MIDLAND CO	ADM	$11.08 	$61.68 	7.045	1.79
Christopher A. Twomey	ARCTIC CAT INC	ACAT	$1.82 	$0.47 	6.26	-0.333
Bob Calderoni	ARIBA INC	ARBA	$6.71 	$0.36 	6.826	-0.442
Judy R. McReynolds	ARKANSAS BEST CORP	ABFS	$1.00 	$1.66 	5.999	0.22
Paolo Pucci	ARQULE INC	ARQL	$1.50 	$0.03 	6.175	-1.534
Robert J. Stanzione	ARRIS GROUP INC	ARRS	$3.56 	$1.09 	6.551	0.036
Michael J. Long	ARROW ELECTRONICS INC	ARW	$6.36 	$18.75 	6.803	1.273
David F. Fitzgerald	ARTHROCARE CORP	ARTC	$2.74 	$0.36 	6.438	-0.449
J. Patrick Gallagher, Jr.	ARTHUR J GALLAGHER & CO	AJG	$3.81 	$1.86 	6.581	0.27
David R. Jaffe	ASCENA RETAIL GROUP INC	ASNA	$6.75 	$2.38 	6.829	0.376
James J. O'Brien	ASHLAND INC	ASH	$8.83 	$9.01 	6.946	0.955
Chris O. O'Kane	ASPEN INSURANCE HOLDINGS LTD	AHL	$4.58 	$2.18 	6.661	0.339
Mark E. Fusco	ASPEN TECHNOLOGY INC	AZPN	$6.05 	$0.17 	6.782	-0.779
Philip B. Flynn	ASSOCIATED BANC-CORP	ASBC	$5.03 	$1.15 	6.702	0.061
Robert B. Pollock	ASSURANT INC	AIZ	$7.87 	$8.52 	6.896	0.93
J. Don Brock, Ph.D., P.E.	ASTEC INDUSTRIES INC	ASTE	$0.99 	$0.77 	5.994	-0.113
George L. Engelke, Jr.	ASTORIA FINANCIAL CORP	AF	$3.12 	$0.93 	6.495	-0.031
Randall L. Stephenson	AT&T INC	T	$27.34 	$124.28 	7.437	2.094
Michael T. Prior	ATLANTIC TELE-NETWORK INC	ATNI	$1.63 	$0.62 	6.211	-0.208
William J. Flynn	ATLAS AIR WORLDWIDE HLDG INC	AAWW	$5.91 	$1.34 	6.772	0.126
Steve Laub	ATMEL CORP	ATML	$19.38 	$1.64 	7.287	0.216
Douglas A. Neugold	ATMI INC	ATMI	$1.75 	$0.37 	6.244	-0.435
Robert W. Best	ATMOS ENERGY CORP	ATO	$3.53 	$4.79 	6.547	0.68
Robert J. Saltiel	ATWOOD OCEANICS	ATW	$1.82 	$0.65 	6.259	-0.187
Patrick M. Lavelle	AUDIOVOX CORP  -CL A	VOXX	$1.77 	$0.56 	6.247	-0.251
Carl Bass	AUTODESK INC	ADSK	$6.06 	$1.95 	6.783	0.29
Gary C. Butler	AUTOMATIC DATA PROCESSING	ADP	$9.12 	$8.93 	6.96	0.951
Michael J. Jackson	AUTONATION INC	AN	$6.77 	$12.46 	6.83	1.096
William C. Rhodes, III	AUTOZONE INC	AZO	$3.81 	$7.36 	6.581	0.867
Bryce Blair	AVALONBAY COMMUNITIES INC	AVB	$4.32 	$0.90 	6.635	-0.048
Dean A. Scarborough	AVERY DENNISON CORP	AVY	$12.14 	$6.51 	7.084	0.814
Gary G. Greenfield	AVID TECHNOLOGY INC	AVID	$4.29 	$0.68 	6.632	-0.168
Ronald L. Nelson	AVIS BUDGET GROUP INC	CAR	$13.09 	$5.19 	7.117	0.715
Scott L. Morris	AVISTA CORP	AVA	$3.25 	$1.56 	6.511	0.193
Roy A. Vallee	AVNET INC	AVT	$9.33 	$19.16 	6.97	1.282
Roy A. Vallee	AVNET INC	AVT	$11.10 	$19.16 	7.045	1.282
Andrea Jung	AVON PRODUCTS	AVP	$13.17 	$10.86 	7.119	1.036
John S. Gilbertson	AVX CORP	AVX	$1.35 	$1.65 	6.131	0.218
Edmund C. Reiter	AWARE INC	AWRE	$0.87 	$0.02 	5.94	-1.628
Mary G. Puma	AXCELIS TECHNOLOGIES INC	ACLS	$0.76 	$0.28 	5.881	-0.56
John R. Charman	AXIS CAPITAL HOLDINGS LTD	AXS	$9.60 	$3.55 	6.982	0.55
Morris S. Young, Ph.D.	AXT INC	AXTI	$1.11 	$0.10 	6.046	-1.02
David H. Dingus	AZZ INC	AZZ	$2.03 	$0.38 	6.308	-0.419
Daniel W. Rumsey	AZZURRA HOLDING CORP	WVWCQ	$0.01 	$0.00 	4.138	
David L. Wenner	B&G FOODS INC	BGS	$2.29 	$0.51 	6.359	-0.29
Richard A. Meeusen	BADGER METER INC	BMI	$1.37 	$0.28 	6.135	-0.558
Chadwick C. Deaton	BAKER HUGHES INC	BHI	$9.44 	$14.41 	6.975	1.159
Dino A. Rossi	BALCHEM CORP  -CL B	BCPC	$1.64 	$0.26 	6.213	-0.593
R. David Hoover	BALL CORP	BLL	$10.47 	$7.63 	7.02	0.883
Richard M. Haddrill	BALLY TECHNOLOGIES INC	BYI	$2.66 	$0.78 	6.424	-0.109
Aubrey B. Patterson, Jr.	BANCORPSOUTH INC	BXS	$2.76 	$0.85 	6.442	-0.072
J. Coley Clark	BANCTEC INC-REDH	BTEC	$1.10 	$0.25 	6.041	-0.595
Michael T. Crowley, Jr.	BANK MUTUAL CORP	BKMU	$1.57 	$0.15 	6.196	-0.815
Brian T. Moynihan	BANK OF AMERICA CORP	BAC	$1.94 	$134.19 	6.288	2.128
Al Landon	BANK OF HAWAII CORP	BOH	$2.21 	$0.72 	6.344	-0.142
Robert P. Kelly	BANK OF NEW YORK MELLON CORP	BK	$19.38 	$14.48 	7.287	1.161
George Gleason	BANK OF THE OZARKS INC	OZRK	$2.20 	$0.19 	6.342	-0.714
Alan B. Levan	BANKATLANTIC BANCORP  -CL A	BBX	$0.88 	$0.28 	5.946	-0.548
Thomas R. Evans	BANKRATE INC	RATE	$1.03 	$0.22 	6.015	-0.656
Timothy M. Ring	BARD (C.R.) INC	BCR	$10.12 	$2.72 	7.005	0.435
William J. Lynch, Jr.	BARNES & NOBLE INC	BKS	$1.60 	$7.00 	6.205	0.845
Gregory F. Milzcik	BARNES GROUP INC	B	$7.30 	$1.13 	6.864	0.054
Aaron W. Regent, C.A	BARRICK GOLD CORP	ABX	$9.31 	$10.92 	6.969	1.038
Kenneth V. Huseman	BASIC ENERGY SERVICES INC	BAS	$2.48 	$0.73 	6.395	-0.138
Robert H. Spilman, Jr.	BASSETT FURNITURE INDS	BSET	$0.46 	$0.24 	5.663	-0.628
Robert L. Parkinson, Jr.	BAXTER INTERNATIONAL INC	BAX	$11.50 	$13.06 	7.061	1.116
Kelly S. King	BB&T CORP	BBT	$10.38 	$11.07 	7.016	1.044
Amin J. Khoury	BE AEROSPACE INC	BEAV	$9.33 	$1.98 	6.97	0.298
Ian McCarthy	BEAZER HOMES USA INC	BZH	$6.89 	$1.01 	6.838	0.004
Scott T. Garrett	BECKMAN COULTER INC	BEC	$6.06 	$3.66 	6.782	0.564
Edward J. Ludwig	BECTON DICKINSON & CO	BDX	$10.01 	$7.37 	7	0.868
Steven H. Temares	BED BATH & BEYOND INC	BBBY	$15.48 	$8.76 	7.19	0.942
Daniel Bernstein	BEL FUSE INC	BELFB	$0.50 	$0.30 	5.696	-0.519
John S. Stroup	BELDEN INC	BDC	$5.46 	$1.62 	6.737	0.209
Dunia A. Shive	BELO CORP  -SER A COM	BLC	$3.62 	$0.69 	6.558	-0.163
Henry J. Theisen	BEMIS CO INC	BMS	$9.70 	$4.84 	6.987	0.684
Cary T. Fu	BENCHMARK ELECTRONICS INC	BHE	$1.49 	$2.40 	6.173	0.381
William R. Berkley	BERKLEY (W R) CORP	WRB	$24.63 	$4.73 	7.392	0.675
Warren E. Buffett	BERKSHIRE HATHAWAY	BRK.B	$0.53 	$135.03 	5.72	2.13
Brian J. Dunn	BEST BUY CO INC	BBY	$5.03 	$50.27 	6.702	1.701
Steven G. Miller	BIG 5 SPORTING GOODS CORP	BGFV	$1.02 	$0.90 	6.008	-0.047
Steven S. Fishman	BIG LOTS INC	BIG	$13.39 	$4.95 	7.127	0.695
Sardar Biglari	BIGLARI HOLDINGS INC	BH	$2.12 	$0.67 	6.327	-0.173
Fredrick J. Barrett	BILL BARRETT CORP	BBG	$2.12 	$0.70 	6.326	-0.156
Marc D. Grodman, M.D.	BIO REFERENCE LABS	BRLI	$1.19 	$0.46 	6.075	-0.339
Norman D. Schwartz	BIO-RAD LABORATORIES INC	BIO	$3.95 	$1.93 	6.597	0.285
George A. Scangos, Ph.D.	BIOGEN IDEC INC	BIIB	$9.41 	$4.72 	6.973	0.674
Federico Pignatelli	BIOLASE TECHNOLOGY INC	BLTI	$0.08 	$0.03 	4.881	-1.581
Alan D. Gold	BIOMED REALTY TRUST INC	BMR	$5.03 	$0.39 	6.702	-0.415
Gerald W. Deitchle, CPA	BJ'S RESTAURANTS INC	BJRI	$2.51 	$0.51 	6.4	-0.289
Laura J. Sen	BJ'S WHOLESALE CLUB INC	BJ	$4.05 	$10.88 	6.607	1.037
R. Terry Blakemore	BLACK BOX CORP	BBOX	$3.82 	$1.07 	6.582	0.029
David R. Emery	BLACK HILLS CORP	BKH	$2.69 	$1.31 	6.43	0.116
Marc E. Chardon	BLACKBAUD INC	BLKB	$4.55 	$0.33 	6.658	-0.485
Laurence Douglas Fink	BLACKROCK INC	BLK	$23.84 	$8.61 	7.377	0.935
Alan Bennett	BLOCK H & R INC	HRB	$5.67 	$3.77 	6.754	0.577
James W. Keyes	BLOCKBUSTER INC	BLOAQ	$0.75 	$3.24 	5.875	0.511
Joshua L. Collins	BLOUNT INTL INC	BLT	$2.78 	$0.61 	6.445	-0.214
Brian M. NeSmith	BLUE COAT SYSTEMS INC	BCSI	$2.39 	$0.49 	6.379	-0.312
Diane M. Irvine	BLUE NILE INC	NILE	$1.74 	$0.33 	6.239	-0.478
Robert B. Goergen, Sr.	BLYTH INC	BTH	$1.82 	$0.90 	6.26	-0.045
Robert E. Beauchamp	BMC SOFTWARE INC	BMC	$12.67 	$2.07 	7.103	0.315
Steven A. Davis	BOB EVANS FARMS	BOBE	$3.59 	$1.68 	6.555	0.225
W. James McNerney, Jr.	BOEING CO	BA	$19.74 	$64.31 	7.295	1.808
Clyde B. Anderson	BOOKS-A-MILLION INC	BAMM	$1.49 	$0.50 	6.174	-0.305
Michael J. Edwards	BORDERS GROUP INC	BGPIQ	$2.30 	$2.28 	6.362	0.357
Timothy M. Manganello	BORGWARNER INC	BWA	$12.06 	$5.65 	7.081	0.752
Martin F. Roper	BOSTON BEER INC  -CL A	SAM	$1.09 	$0.46 	6.039	-0.334
Timothy Landon Vaill	BOSTON PRIVATE FINL HOLDINGS	BPFH	$3.32 	$0.36 	6.521	-0.442
Mortimer B. Zuckerman	BOSTON PROPERTIES INC	BXP	$8.10 	$1.60 	6.908	0.203
J. Raymond Elliott	BOSTON SCIENTIFIC CORP	BSX	$4.92 	$7.81 	6.692	0.892
Robert A. Eberle	BOTTOMLINE TECHNOLOGIES INC	EPAY	$1.63 	$0.16 	6.212	-0.801
Keith Smith	BOYD GAMING CORP	BYD	$3.41 	$2.14 	6.532	0.331
Frank M. Jaehnert	BRADY CORP	BRC	$3.96 	$1.26 	6.597	0.1
Constance B. Moore	BRE PROPERTIES INC	BRE	$2.83 	$0.35 	6.451	-0.459
John S. Shiely	BRIGGS & STRATTON	BGG	$9.04 	$2.03 	6.956	0.307
Todd J. Teske	BRIGGS & STRATTON	BGG	$4.58 	$2.03 	6.661	0.307
Robert J. Laikin	BRIGHTPOINT INC	CELL	$4.86 	$3.59 	6.687	0.555
Douglas H. Brooks	BRINKER INTL INC	EAT	$3.09 	$2.86 	6.491	0.456
Douglas H. Brooks	BRINKER INTL INC	EAT	$3.62 	$2.86 	6.559	0.456
Michael T. Dan	BRINKS CO	BCO	$6.44 	$3.12 	6.809	0.494
Lamberto Andreotti	BRISTOL-MYERS SQUIBB CO	BMY	$11.77 	$19.48 	7.071	1.29
William E. Chiles	BRISTOW GROUP INC	BRS	$3.84 	$1.23 	6.584	0.091
Scott A. McGregor	BROADCOM CORP  -CL A	BRCM	$9.02 	$6.82 	6.955	0.834
Richard J. Daly	BROADRIDGE FINANCIAL SOLUTNS	BR	$6.66 	$2.21 	6.824	0.344
Pehong Chen	BROADVISION INC	BVSN	$0.37 	$0.02 	5.567	-1.661
Michael Klayko	BROCADE COMMUNICATIONS SYS	BRCD	$4.81 	$2.09 	6.682	0.321
Paul A. Perrault	BROOKLINE BANCORP INC	BRKL	$1.06 	$0.14 	6.024	-0.87
Robert J. Lepofsky	BROOKS AUTOMATION INC	BRKS	$1.29 	$0.59 	6.111	-0.227
J. Powell Brown, CPCU	BROWN & BROWN INC	BRO	$1.78 	$0.97 	6.25	-0.012
Ronald A. Fromm	BROWN SHOE CO INC	BWS	$5.37 	$2.50 	6.73	0.399
Paul C. Varga	BROWN-FORMAN  -CL B	BF.B	$7.08 	$2.59 	6.85	0.413
Dustan E. McCoy	BRUNSWICK CORP	BC	$6.62 	$3.40 	6.821	0.532
John B. Crowe	BUCKEYE TECHNOLOGIES INC	BKI	$1.62 	$0.76 	6.209	-0.121
John B. Crowe	BUCKEYE TECHNOLOGIES INC	BKI	$2.97 	$0.76 	6.473	-0.121
Dennis H. Nelson	BUCKLE INC	BKE	$5.27 	$0.95 	6.722	-0.022
Timothy W. Sullivan	BUCYRUS INTERNATIONAL INC	BUCY	$6.26 	$3.65 	6.797	0.562
Sally Smith	BUFFALO WILD WINGS INC	BWLD	$1.97 	$0.61 	6.294	-0.212
John W. Chidsey, J.D.	BURGER KING HOLDINGS INC	BKC	$5.67 		6.753	
Thomas A. Kingsbury	BURLINGTON COAT FACTORY WRHS	0015B	$1.91 	$3.70 	6.28	0.568
John P. Wiehoff	C H ROBINSON WORLDWIDE INC	CHRW	$4.46 	$9.27 	6.649	0.967
Jeffrey A. Graves, Ph.D.	C&D TECHNOLOGIES INC	CHHP	$1.21 	$0.36 	6.082	-0.45
William E. McCracken	CA INC	CA	$8.03 	$4.43 	6.905	0.646
Thomas L. Millner	CABELAS INC	CAB	$2.97 	$2.66 	6.473	0.425
James L. Dolan	CABLEVISION SYS CORP  -CL A	CVC	$13.44 	$7.23 	7.129	0.859
Patrick M. Prevost	CABOT CORP	CBT	$5.62 	$2.89 	6.75	0.461
William P. Noglows	CABOT MICROELECTRONICS CORP	CCMP	$3.64 	$0.41 	6.561	-0.389
Dan O. Dinges	CABOT OIL & GAS CORP	COG	$7.02 	$0.84 	6.846	-0.074
Paul M. Cofoni	CACI INTL INC  -CL A	CACI	$5.09 	$3.15 	6.707	0.498
Lip-Bu Tan	CADENCE DESIGN SYSTEMS INC	CDNS	$3.23 	$0.94 	6.509	-0.029
Gary W. Loveman	CAESARS ENTERTAINMENT CORP	0086B	$18.27 	$8.82 	7.262	0.945
Adolphus B. Baker	CAL-MAINE FOODS INC	CALM	$0.66 		5.817	
